#EXPORTTYPE:                 ,DATA ALL                                                                     
#FILE:                       ,2024_03_12_PS_ULINE_350C_isotherm_1pt_min_SCB_with_100C_stabilization.ngb-ss5
#FORMAT:                     ,NETZSCH5                                                                     
#FTYPE:                      ,ANSI                                                                         
#IDENTITY:                   ,styrofoam                                                                    
#DECIMAL:                    ,POINT                                                                        
#SEPARATOR:                  ,COMMA                                                                        
#MTYPE:                      ,TIC                                                                          
#INSTRUMENT:                 ,NETZSCH STA 449F5                                                            
#PROJECT:                    ,005a-E                                                                       
#DATE/TIME:                  ,3/12/2024 11:20:11 AM (UTC-4)                                                
#CORR. FILE:                 ,                                                                             
#TEMPCAL:                    ,28-06-2023 13:26                                                             
#SENSITIVITY:                ,28-06-2023 13:53                                                             
#LABORATORY:                 ,Tran/AAG                                                                     
#OPERATOR:                   ,Stanley                                                                      
#REMARK:                     ,                                                                             
#SAMPLE:                     ,ULINE_styrofoam_peanuts                                                      
#SAMPLE MASS /mg:            ,5.47                                                                         
#MATERIAL:                   ,                                                                             
#REFERENCE:                  ,                                                                             
#REFERENCE MASS /mg:         ,0                                                                            
#TYPE OF CRUCIBLE:           ,Al2O3 85 µl, open                                                            
#SAMPLE CRUCIBLE MASS /mg:   ,0                                                                            
#REFERENCE CRUCIBLE MASS /mg:,0                                                                            
#DSC RANGE /µV:              ,5000                                                                         
#TG RANGE /mg:               ,35000                                                                        
                             ,                                                                             

##Temp./°C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 26.64900,  0.01003,1.114750e-11,1.021862e-09,6.619555e-11,2.364934e-10,1.257896e-12,7.852380e-10,2.074337e-13,9.582245e-13,6.693840e-14,1.299191e-13,2.460194e-13,1.260234e-12,4.749255e-12,3.647207e-08,2.821922e-10,3.424644e-12,1.427650e-12,8.366877e-09,6.789207e-12,3.089809e-11,1.269245e-13,2.982616e-11,2.021694e-13,6.358982e-12,1.861679e-12,1.044780e-08,1.345634e-12,8.892161e-13,2.260315e-12,1.616623e-10,3.066063e-12,8.656603e-13,1.267338e-13,2.055523e-12,1.413250e-13,7.286936e-13,9.619629e-13,2.614498e-13,1.236057e-13,1.446056e-13,1.858997e-13,1.594067e-13,2.300930e-13,1.623821e-13,5.751610e-14,6.732279e-13,9.985923e-14,1.039600e-13,1.443386e-13,2.774613e-12,1.506329e-13,2.357578e-13,8.864402e-14,9.257317e-14,1.065350e-13,5.978584e-14,9.032249e-14,4.422188e-14,8.997917e-14,1.324749e-13,1.905155e-13,2.307796e-13,7.430178e-13,2.789402e-13,7.479668e-14,5.635261e-14,4.244804e-14,7.618904e-14,6.487846e-14,7.353783e-14,6.777763e-14,4.256248e-14,3.327370e-14,3.277779e-14,6.825447e-14,2.253532e-14,1.689434e-13,1.366329e-13,4.790306e-14,6.861687e-14,6.079674e-14,2.461433e-14,4.246712e-14,3.556252e-14,1.582146e-14,2.936363e-14,4.380226e-14,4.147530e-14,1.010036e-13,1.427174e-13,7.328707e-13,2.922535e-13,3.781319e-14,1.961708e-14,3.922463e-14,3.624916e-14,4.448891e-14,6.022453e-14,2.385139e-14,3.001213e-14,5.415916e-14,3.781319e-14,6.163597e-14,4.248619e-14,3.685951e-14,8.599281e-14,4.132271e-14,1.993465e-13,4.582405e-14,1.233101e-14,1.832008e-14,3.191948e-14,1.236057e-13,4.637718e-14,2.827644e-14,2.879143e-14,3.682137e-14,3.235817e-14,1.000000e-17,1.475334e-14,4.549026e-15,5.213737e-14,2.970695e-14,3.029823e-14,2.264976e-14,7.753372e-15,2.774239e-14,4.822731e-14,3.088951e-14,1.000000e-17,4.078865e-14,1.950264e-14,8.229256e-14,3.378868e-14,1.000000e-17,1.791954e-14
 26.99300,  0.19002,1.035213e-11,1.038075e-09,6.617647e-11,2.387307e-10,1.301765e-12,7.763593e-10,2.455997e-13,1.001750e-12,1.032734e-13,1.700115e-13,2.538395e-13,1.221858e-12,4.948916e-12,3.690752e-08,2.833366e-10,3.266334e-12,1.441002e-12,8.421427e-09,6.861687e-12,3.065968e-11,1.151180e-13,2.937984e-11,1.718807e-13,6.421066e-12,1.944610e-12,1.029826e-08,1.345634e-12,8.683115e-13,2.316830e-12,1.629097e-10,3.079414e-12,8.777720e-13,1.442432e-13,2.107383e-12,1.463985e-13,7.197291e-13,9.489357e-13,2.586460e-13,1.167965e-13,1.505756e-13,2.046299e-13,1.279926e-13,1.927090e-13,1.626682e-13,8.082390e-14,6.576258e-13,9.669304e-14,1.309299e-13,1.263905e-13,2.738316e-12,1.911449e-13,2.474880e-13,5.675316e-14,7.971764e-14,1.080036e-13,9.434700e-14,7.348060e-14,4.363060e-14,8.589745e-14,1.676464e-13,1.668644e-13,2.271557e-13,7.565028e-13,2.472591e-13,8.183479e-14,4.881859e-14,3.092766e-14,1.700401e-14,3.884316e-14,7.775306e-14,8.452416e-14,2.175331e-14,4.019737e-14,4.483223e-14,5.331993e-14,3.111839e-14,1.920605e-13,1.275539e-13,2.289772e-14,3.874779e-14,4.315376e-14,4.765511e-14,2.816200e-14,5.019188e-14,3.922463e-14,1.866341e-14,2.459526e-14,5.890846e-14,1.180935e-13,1.646709e-13,7.183748e-13,2.753162e-13,2.408028e-14,1.479149e-14,2.358437e-14,2.264976e-14,5.312920e-14,2.728462e-14,1.912117e-14,1.893044e-14,8.749962e-14,3.205299e-14,4.904747e-14,3.201485e-14,4.685402e-14,7.731438e-14,5.881310e-14,1.930523e-13,3.792763e-14,1.833916e-14,1.240730e-14,2.829552e-14,8.406639e-14,3.952980e-14,4.300118e-14,3.867149e-14,5.846024e-15,2.079964e-14,8.249283e-15,5.534172e-14,3.716469e-14,1.084328e-14,7.619858e-15,1.515389e-14,2.644539e-14,3.081322e-14,2.402306e-14,4.250527e-14,1.219749e-14,6.666184e-15,3.060341e-14,1.471520e-14,6.003380e-14,6.030082e-14,9.698868e-15,3.546715e-14
 27.38300,  0.36763,1.045513e-11,1.037693e-09,6.714159e-11,2.384579e-10,1.194954e-12,7.767827e-10,2.775860e-13,1.023246e-12,8.700371e-14,1.224613e-13,2.660084e-13,1.241180e-12,5.004458e-12,3.681368e-08,2.848625e-10,3.336906e-12,1.463890e-12,8.447176e-09,6.806374e-12,3.021717e-11,8.509636e-14,2.959919e-11,1.791477e-13,6.296631e-12,1.906616e-12,1.025440e-08,1.383781e-12,1.000404e-12,2.308845e-12,1.638576e-10,3.067970e-12,8.487421e-13,1.230907e-13,2.009022e-12,1.788235e-13,7.638270e-13,9.235483e-13,2.723599e-13,1.019764e-13,1.165676e-13,1.870441e-13,1.211262e-13,1.755047e-13,2.268887e-13,5.524635e-14,6.786257e-13,7.109642e-14,1.105213e-13,1.349545e-13,2.914670e-12,1.788426e-13,2.373791e-13,3.014565e-14,9.593010e-14,8.812904e-14,4.977226e-14,6.621361e-14,4.757881e-14,1.089191e-13,1.811314e-13,1.486492e-13,1.993465e-13,7.063776e-13,2.735806e-13,5.602837e-14,4.553795e-14,4.441261e-14,4.250527e-14,3.426552e-14,6.079674e-14,3.470421e-14,5.103111e-14,1.530647e-14,5.124092e-14,6.318093e-14,9.317398e-15,1.943874e-13,1.083660e-13,3.581047e-14,6.655693e-14,1.845360e-14,4.588127e-14,2.999306e-14,4.836082e-14,2.163887e-14,1.021385e-14,3.720284e-14,3.581047e-14,9.058952e-14,1.631832e-13,7.066065e-13,2.237606e-13,4.345894e-14,1.818657e-14,3.437996e-14,4.336357e-14,2.240181e-14,2.297401e-14,3.647804e-14,2.507210e-14,4.723549e-14,2.596855e-14,4.788399e-14,3.680229e-14,2.938271e-14,8.231163e-14,1.622200e-14,1.745129e-13,4.656792e-14,1.326561e-14,1.904488e-14,1.858711e-14,1.051235e-13,7.094383e-14,4.641533e-14,1.362801e-14,3.134727e-14,6.017685e-15,1.439095e-14,1.000000e-17,2.491951e-14,1.254082e-14,7.925033e-15,9.126663e-15,2.963066e-14,1.196861e-14,2.282143e-14,1.505852e-14,2.474785e-14,1.000000e-17,1.948357e-14,9.374618e-15,7.258415e-14,3.691673e-14,3.653526e-14,8.344650e-15
 27.68600,  0.54514,1.051807e-11,1.040173e-09,6.738192e-11,2.400219e-10,1.263618e-12,7.723157e-10,2.430248e-13,1.076728e-12,7.100105e-14,1.072597e-13,2.330494e-13,1.275226e-12,4.945445e-12,3.712458e-08,2.867699e-10,3.264427e-12,1.370430e-12,8.455760e-09,6.878853e-12,3.115559e-11,1.218319e-13,2.921200e-11,2.123737e-13,6.467968e-12,1.861793e-12,1.023017e-08,1.366615e-12,9.697067e-13,2.242940e-12,1.634456e-10,3.121376e-12,8.975130e-13,1.350117e-13,2.171661e-12,1.401615e-13,7.687288e-13,9.903061e-13,2.578068e-13,1.031971e-13,1.516819e-13,1.705074e-13,1.227284e-13,1.947880e-13,1.850605e-13,6.323814e-14,6.661135e-13,1.025105e-13,7.418632e-14,1.489544e-13,2.919419e-12,1.613331e-13,1.980114e-13,5.644798e-14,7.653236e-14,7.899284e-14,8.111000e-14,8.717537e-14,6.735802e-14,6.917000e-14,1.632023e-13,1.389599e-13,1.997089e-13,7.789332e-13,2.511311e-13,8.004188e-14,3.060341e-14,5.232811e-14,5.524635e-14,4.086495e-14,9.215355e-14,5.360603e-14,4.364967e-14,1.526833e-14,5.978584e-14,5.690575e-14,4.124642e-14,1.864719e-13,1.125240e-13,6.094933e-14,4.155159e-14,4.944801e-14,2.242088e-14,7.696152e-15,6.581306e-14,4.466057e-14,2.884865e-14,2.753258e-14,4.509926e-14,1.260281e-13,1.180363e-13,7.442767e-13,3.012753e-13,5.078316e-14,1.505852e-14,3.935814e-14,1.770973e-14,3.907204e-14,2.846718e-14,6.666184e-15,6.551743e-15,8.332252e-14,2.793312e-14,2.655983e-14,5.997658e-14,1.387596e-14,1.273632e-13,7.600784e-15,1.460934e-13,3.500938e-14,2.768517e-14,2.423286e-14,1.481056e-14,9.594917e-14,9.942055e-14,2.419472e-14,3.422737e-14,2.921105e-14,1.132011e-14,2.118111e-14,2.293587e-14,2.205849e-14,1.181602e-14,3.235817e-14,2.751350e-14,2.572060e-14,1.629829e-14,3.876686e-14,2.867699e-14,4.224777e-15,4.072189e-15,1.736641e-14,2.486229e-14,8.639336e-14,3.573418e-14,2.903938e-14,1.000000e-17
 28.13900,  0.72627,1.034069e-11,1.044750e-09,6.740099e-11,2.385037e-10,1.280785e-12,7.670457e-10,2.384090e-13,1.032897e-12,9.299278e-14,1.508617e-13,2.386951e-13,1.226188e-12,4.959769e-12,3.715643e-08,2.858162e-10,3.245354e-12,1.456261e-12,8.448702e-09,6.920814e-12,3.113079e-11,9.339332e-14,2.907085e-11,1.828861e-13,6.244637e-12,1.875641e-12,1.013614e-08,1.294136e-12,7.944780e-13,2.245972e-12,1.639187e-10,3.022194e-12,8.153635e-13,1.435947e-13,2.172882e-12,1.607037e-13,7.618052e-13,9.738457e-13,2.641201e-13,1.082897e-13,1.114941e-13,1.804638e-13,1.107121e-13,2.222347e-13,1.623821e-13,5.759239e-14,6.653124e-13,7.460594e-14,1.215839e-13,1.288319e-13,2.879422e-12,1.302814e-13,2.278042e-13,8.202553e-14,9.095192e-14,7.819176e-14,6.926537e-14,7.939339e-14,4.675865e-14,7.369042e-14,1.449299e-13,1.260090e-13,2.028561e-13,7.183558e-13,2.306461e-13,5.414009e-14,2.717018e-14,3.907204e-14,5.948067e-14,4.073143e-14,7.317543e-14,5.331993e-14,4.281044e-14,4.977226e-14,2.179146e-14,5.236626e-14,2.684593e-14,1.638699e-13,1.209927e-13,4.586220e-14,5.795479e-14,1.896858e-14,1.412392e-14,1.654625e-14,2.623558e-14,2.606392e-14,3.129005e-14,5.927086e-14,4.574776e-14,9.024620e-14,1.395893e-13,7.504183e-13,2.881908e-13,4.818916e-14,8.287430e-15,1.385689e-14,1.879692e-14,2.766609e-14,4.117012e-14,2.333641e-14,2.787590e-14,8.889198e-14,2.562523e-14,8.141517e-14,4.631996e-14,5.101204e-14,9.837151e-14,1.717568e-14,1.856899e-13,4.237175e-14,1.601219e-14,5.712509e-15,3.437996e-14,7.639885e-14,3.235817e-14,7.410049e-15,3.016472e-14,5.759239e-14,3.886223e-14,2.566338e-14,3.137589e-15,3.445625e-14,2.202034e-14,9.679794e-15,3.312111e-14,2.621651e-14,1.971245e-14,2.844811e-14,6.983757e-14,5.636215e-15,1.173019e-15,1.870155e-14,1.851082e-14,6.924629e-14,2.461433e-14,2.009392e-14,2.732277e-14
 28.62700,  0.89951,1.060772e-11,1.051235e-09,6.708627e-11,2.394268e-10,1.240730e-12,7.584531e-10,2.530766e-13,1.006271e-12,6.848335e-14,1.739407e-13,2.540302e-13,1.226531e-12,5.151725e-12,3.747591e-08,2.879143e-10,3.510475e-12,1.370430e-12,8.510310e-09,6.915092e-12,3.068066e-11,1.160717e-13,2.861690e-11,1.511860e-13,6.028305e-12,1.902553e-12,1.004840e-08,1.420021e-12,9.339243e-13,2.298501e-12,1.641380e-10,3.104210e-12,8.925158e-13,1.566601e-13,2.146217e-12,1.407528e-13,6.959254e-13,9.037882e-13,2.826977e-13,1.224804e-13,1.164913e-13,1.760578e-13,1.078129e-13,1.923656e-13,2.227688e-13,7.971764e-14,7.039934e-13,7.922172e-14,1.027966e-13,1.649761e-13,2.926248e-12,1.027584e-13,2.235127e-13,1.973152e-14,7.811547e-14,7.660865e-14,7.769585e-14,8.549690e-14,3.746986e-14,1.211453e-13,1.676083e-13,1.611805e-13,1.952457e-13,7.809359e-13,2.444363e-13,7.058143e-14,3.970146e-14,3.844261e-14,4.712105e-14,6.024361e-14,6.770134e-14,6.985664e-14,3.804207e-14,1.923561e-14,2.512932e-14,3.821373e-14,1.000000e-17,1.947880e-13,1.324177e-13,5.105018e-14,4.450798e-14,1.942635e-14,4.616737e-14,4.555702e-14,3.121376e-14,3.668785e-14,2.354622e-14,4.803658e-14,4.153252e-14,8.955955e-14,1.446819e-13,7.126909e-13,3.072834e-13,4.895210e-14,1.137733e-14,4.780769e-14,3.022194e-14,5.593300e-14,1.931191e-14,3.251076e-14,2.820015e-14,6.243706e-14,3.874779e-14,6.188393e-14,1.654625e-14,3.613472e-14,9.558677e-14,2.688408e-14,1.723003e-13,2.972603e-14,3.403664e-14,2.617836e-14,2.390861e-14,8.791923e-14,6.974220e-14,3.001213e-14,1.688004e-15,2.234459e-14,4.248619e-14,2.270698e-14,3.117561e-14,7.152557e-16,2.966881e-14,1.000000e-17,1.503944e-14,6.361008e-15,2.289772e-14,3.767967e-14,5.503655e-14,8.897781e-15,1.707077e-15,2.892494e-14,1.553536e-14,8.887291e-14,4.863739e-16,1.000000e-17,5.429268e-14
 29.26800,  1.07508,1.069736e-11,1.052952e-09,6.713396e-11,2.399323e-10,1.255989e-12,7.541616e-10,2.273464e-13,9.810746e-13,1.055050e-13,1.387501e-13,2.281475e-13,1.276733e-12,5.160193e-12,3.733133e-08,2.875328e-10,3.306389e-12,1.484871e-12,8.566195e-09,6.955147e-12,3.156382e-11,1.057720e-13,2.850819e-11,1.598072e-13,5.917546e-12,1.911022e-12,1.000739e-08,1.393318e-12,8.375841e-13,2.234337e-12,1.647655e-10,3.182411e-12,8.533770e-13,1.121998e-13,2.259915e-12,1.613331e-13,7.368380e-13,9.453690e-13,2.620030e-13,1.223469e-13,1.296139e-13,1.975727e-13,1.300335e-13,1.776409e-13,1.821995e-13,4.952431e-14,7.188898e-13,7.317543e-14,9.543419e-14,1.831341e-13,2.828248e-12,1.636982e-13,2.196026e-13,3.880501e-14,7.796288e-14,8.393287e-14,9.785652e-14,8.498192e-14,4.561424e-14,1.376247e-13,1.556492e-13,1.306248e-13,2.022266e-13,7.848078e-13,2.589893e-13,8.959770e-14,4.931450e-14,6.358146e-14,5.324364e-14,3.445625e-14,7.773400e-14,3.294945e-14,2.314568e-14,2.768517e-14,4.614830e-14,3.182411e-14,3.132820e-14,1.500034e-13,1.248646e-13,1.496315e-14,6.600380e-14,4.313469e-14,4.527092e-14,2.360344e-14,2.501488e-14,1.189232e-14,2.823830e-14,4.908562e-14,7.018089e-14,1.343632e-13,1.476955e-13,7.550913e-13,3.048229e-13,4.012108e-14,8.821487e-15,2.423286e-14,1.666069e-14,2.568245e-14,1.593590e-14,1.904488e-14,9.965897e-15,8.744240e-14,2.211571e-14,9.787559e-14,3.943443e-14,1.559258e-14,1.076794e-13,2.604485e-14,1.503467e-13,2.219200e-14,3.296852e-14,3.197670e-14,4.073143e-14,4.815102e-14,7.578850e-14,4.832268e-14,1.830101e-14,1.730919e-14,1.368523e-14,1.910210e-14,4.151344e-14,1.700401e-14,1.516342e-15,2.066612e-14,1.000000e-17,2.688408e-14,9.107590e-15,1.706123e-14,2.408028e-14,1.507759e-14,2.598762e-14,2.678871e-14,1.671791e-14,8.280754e-14,1.687050e-14,3.996849e-14,8.230209e-15
 30.05800,  1.25742,1.100254e-11,1.056385e-09,6.760126e-11,2.411854e-10,1.318932e-12,7.450292e-10,2.643681e-13,1.084605e-12,7.861137e-14,1.458645e-13,2.402973e-13,1.384116e-12,5.088630e-12,3.750776e-08,2.890587e-10,3.371239e-12,1.515388e-12,8.586222e-09,6.991386e-12,3.143030e-11,1.005459e-13,2.768993e-11,1.879025e-13,5.935322e-12,1.873466e-12,9.867394e-09,1.441002e-12,1.019478e-12,2.272606e-12,1.643345e-10,3.052711e-12,7.936961e-13,1.244068e-13,2.242253e-12,1.447964e-13,7.584483e-13,9.420503e-13,2.868557e-13,1.353741e-13,1.770687e-13,1.918507e-13,1.544666e-13,2.046680e-13,1.714420e-13,8.580208e-14,7.125193e-13,6.030082e-14,9.488106e-14,1.513195e-13,2.835553e-12,1.697445e-13,2.148914e-13,5.030632e-14,8.395195e-14,1.080608e-13,7.239342e-14,9.133339e-14,4.225731e-14,1.161861e-13,1.605129e-13,1.430035e-13,1.714992e-13,7.214075e-13,2.556705e-13,7.613182e-14,1.997948e-14,5.843163e-14,5.177498e-14,3.407478e-14,8.889198e-14,4.969597e-14,3.781319e-14,2.499580e-14,5.356788e-14,5.881310e-14,3.048897e-14,2.181530e-13,1.054287e-13,1.454353e-14,8.730888e-14,2.263069e-14,4.277229e-14,5.299568e-14,4.565239e-14,2.219200e-14,9.641647e-15,4.513741e-14,2.650261e-14,1.064396e-13,1.366139e-13,6.820208e-13,2.591038e-13,4.567146e-14,3.939629e-14,1.191139e-14,1.690865e-14,1.826286e-14,3.993034e-14,2.062797e-14,3.674507e-14,6.688118e-14,3.163338e-14,5.385399e-14,4.200935e-14,2.400398e-14,8.082390e-14,2.209663e-14,1.543903e-13,2.598762e-14,1.204491e-14,1.681328e-14,2.198219e-14,9.373665e-14,6.764412e-14,3.312111e-14,2.676964e-14,1.933098e-14,1.603127e-14,5.006790e-15,6.933212e-15,1.160622e-14,1.872063e-14,1.854897e-14,1.135826e-14,2.348900e-14,2.946854e-15,3.359794e-14,5.232811e-14,3.664970e-14,1.990318e-14,1.000000e-17,3.024101e-14,7.870674e-14,3.819466e-14,1.286507e-14,9.059906e-16
 30.71700,  1.43349,1.067257e-11,1.062489e-09,6.711298e-11,2.407162e-10,1.309395e-12,7.376592e-10,2.380657e-13,1.065360e-12,8.084297e-14,1.316547e-13,2.718639e-13,1.280509e-12,5.062327e-12,3.765501e-08,2.886772e-10,3.384590e-12,1.463890e-12,8.630663e-09,7.048606e-12,3.149325e-11,9.654045e-14,2.787685e-11,1.591206e-13,5.963341e-12,1.852333e-12,9.818375e-09,1.416206e-12,8.751208e-13,2.320530e-12,1.655494e-10,3.108024e-12,8.743197e-13,1.047230e-13,2.178032e-12,1.726246e-13,7.260996e-13,9.097201e-13,2.677250e-13,1.313686e-13,1.294804e-13,1.677036e-13,1.387501e-13,1.828289e-13,2.089214e-13,5.421638e-14,6.891352e-13,1.016903e-13,1.455402e-13,1.381397e-13,2.892678e-12,1.573849e-13,2.115917e-13,7.538795e-14,6.749153e-14,9.932518e-14,8.427620e-14,9.636879e-14,5.103111e-14,9.594917e-14,1.499844e-13,1.504612e-13,1.954365e-13,7.352549e-13,2.233410e-13,6.094933e-14,3.794670e-14,3.699303e-14,5.579948e-14,4.221916e-14,8.139611e-14,4.477501e-14,4.158974e-14,3.830910e-14,4.870415e-14,3.199577e-14,1.000000e-17,1.801777e-13,1.225567e-13,4.366875e-14,4.427910e-14,4.084587e-14,4.178047e-14,2.013206e-14,1.816750e-14,4.200935e-14,3.277779e-14,4.462242e-14,5.623817e-14,1.049328e-13,1.731586e-13,6.727702e-13,2.916241e-13,5.196571e-14,7.886886e-15,5.286217e-14,1.713753e-14,5.208015e-14,2.982139e-14,4.206657e-14,1.545906e-14,8.889198e-14,2.665520e-14,6.325722e-14,1.753807e-14,2.486229e-14,9.680748e-14,1.946449e-14,1.475048e-13,3.191948e-14,3.869057e-14,3.113747e-14,3.960610e-14,9.188652e-14,7.641792e-14,4.979133e-14,5.902290e-14,3.615379e-14,2.806663e-14,5.064011e-15,3.573418e-14,1.084328e-14,1.000000e-17,2.146721e-14,1.774788e-14,1.816750e-14,3.117561e-14,2.699852e-14,2.942085e-14,1.364708e-14,2.007484e-14,2.696037e-14,5.922318e-15,7.224083e-14,3.485679e-14,1.708031e-14,2.272606e-14
 31.66000,  1.61339,1.077175e-11,1.062489e-09,6.732851e-11,2.407162e-10,1.227379e-12,7.347200e-10,2.487659e-13,1.057883e-12,6.573677e-14,1.316738e-13,2.501011e-13,1.380874e-12,5.294509e-12,3.796018e-08,2.915382e-10,3.348350e-12,1.372337e-12,8.588129e-09,7.044792e-12,3.146464e-11,9.835243e-14,2.788448e-11,1.818943e-13,5.923554e-12,1.858780e-12,9.739983e-09,1.299858e-12,9.082896e-13,2.284806e-12,1.649639e-10,3.304481e-12,8.318621e-13,1.218700e-13,2.226613e-12,1.400089e-13,7.251650e-13,9.343630e-13,3.026485e-13,1.327038e-13,1.482105e-13,2.114963e-13,9.888649e-14,2.127552e-13,1.826000e-13,5.589485e-14,6.924921e-13,8.255958e-14,1.124859e-13,1.371098e-13,2.891267e-12,1.402950e-13,2.078152e-13,4.572868e-14,7.073402e-14,8.694649e-14,7.531166e-14,7.746696e-14,3.878593e-14,1.250935e-13,1.808071e-13,1.631069e-13,1.941776e-13,7.170397e-13,2.665424e-13,5.679131e-14,4.330635e-14,2.385139e-14,2.142906e-14,5.215645e-14,8.526802e-14,3.741264e-14,2.018928e-14,4.088402e-14,3.710747e-14,4.342079e-14,4.059792e-14,2.009869e-13,9.545326e-14,3.022194e-14,7.353783e-14,2.909660e-14,1.814842e-14,3.653526e-14,5.267143e-14,3.825188e-14,2.305031e-14,2.367973e-14,5.534172e-14,1.175785e-13,1.511860e-13,6.885439e-13,2.695561e-13,2.726555e-14,1.410484e-14,2.577782e-14,1.000000e-17,4.799843e-14,4.019737e-14,5.047798e-14,1.000000e-17,7.225990e-14,3.096580e-14,4.607201e-14,4.956245e-14,2.745628e-14,8.505822e-14,1.547813e-14,1.732731e-13,1.692772e-14,1.374245e-14,3.800392e-14,3.909111e-14,1.059437e-13,5.171776e-14,2.999306e-14,2.495766e-14,1.883507e-14,2.297401e-14,2.390861e-14,7.543564e-15,2.203941e-14,2.846718e-14,7.162094e-15,2.285957e-14,1.282692e-14,3.805160e-15,1.126289e-14,3.043175e-14,1.767159e-14,1.816750e-14,2.034187e-14,1.908302e-14,9.249687e-14,2.871514e-14,1.564980e-14,3.787041e-14
