#EXPORTTYPE:                 ,DATA SINGLE                                                                  
#FILE:                       ,2024_03_12_PS_ULINE_350C_isotherm_1pt_min_SCB_with_100C_stabilization.ngb-ss5
#FORMAT:                     ,NETZSCH5                                                                     
#FTYPE:                      ,ANSI                                                                         
#IDENTITY:                   ,styrofoam                                                                    
#DECIMAL:                    ,POINT                                                                        
#SEPARATOR:                  ,COMMA                                                                        
#MTYPE:                      ,TG                                                                           
#INSTRUMENT:                 ,NETZSCH STA 449F5                                                            
#PROJECT:                    ,005a-E                                                                       
#DATE/TIME:                  ,3/12/2024 11:20:11 AM (UTC-4)                                                
#CORR. FILE:                 ,                                                                             
#TEMPCAL:                    ,28-06-2023 13:26                                                             
#SENSITIVITY:                ,28-06-2023 13:53                                                             
#LABORATORY:                 ,Tran/AAG                                                                     
#OPERATOR:                   ,Stanley                                                                      
#REMARK:                     ,                                                                             
#SAMPLE:                     ,ULINE_styrofoam_peanuts                                                      
#SAMPLE MASS /mg:            ,5.47                                                                         
#MATERIAL:                   ,                                                                             
#REFERENCE:                  ,                                                                             
#REFERENCE MASS /mg:         ,0                                                                            
#TYPE OF CRUCIBLE:           ,Al2O3 85 µl, open                                                            
#SAMPLE CRUCIBLE MASS /mg:   ,0                                                                            
#REFERENCE CRUCIBLE MASS /mg:,0                                                                            
#DSC RANGE /µV:              ,5000                                                                         
#TG RANGE /mg:               ,35000                                                                        
#TAU-R:                      ,---                                                                          
#CORR. CODE:                 ,000                                                                          
#EXO:                        ,-1                                                                           
#RANGE:                      ,30°C....800°C/0.0....10.0K/min                                               
#SEGMENT:                    ,S1-5/5                                                                       
#SEG. 1:                     ,30°C/10.0(K/min)/100°C                                                       
#SEG. 2:                     ,100°C/00:10/100°C                                                            
#SEG. 3:                     ,100°C/10.0(K/min)/350°C                                                      
#SEG. 4:                     ,350°C/04:00/350°C                                                            
#SEG. 5:                     ,350°C/10.0(K/min)/800°C                                                      

##Temp./°C,Time/min,Mass/%,Segment
 26.64900,  0.00000,    100.00000,1
 26.83300,  0.10000,     99.90676,1
 27.01700,  0.20000,     99.85521,1
 27.22800,  0.30000,     99.83656,1
 27.41600,  0.40000,     99.88611,1
 27.62400,  0.50000,     99.88611,1
 27.86200,  0.60000,     99.91718,1
 28.10400,  0.70000,    100.03510,1
 28.37000,  0.80000,    100.14881,1
 28.69100,  0.90000,    100.25229,1
 29.02400,  1.00000,    100.40530,1
 29.39200,  1.10000,    100.53565,1
 29.78400,  1.20000,    100.68867,1
 30.22700,  1.30000,    100.86033,1
 30.69400,  1.40000,    100.98446,1
 31.16400,  1.50000,    101.12907,1
 31.66000,  1.60000,     88.83583,1
 32.20500,  1.70000,     94.73218,1
 32.75400,  1.80000,     96.42194,1
 33.33200,  1.90000,     96.82102,1
 33.92300,  2.00000,     97.04863,1
 34.53900,  2.10000,     97.16033,1
 35.18000,  2.20000,     97.32157,1
 35.83400,  2.30000,     97.39196,1
 36.48200,  2.40000,     97.46015,1
 37.16500,  2.50000,     97.58428,1
 37.87800,  2.60000,     97.63382,1
 38.61200,  2.70000,     97.69799,1
 39.34700,  2.80000,     97.78903,1
 40.09600,  2.90000,     97.84077,1
 40.86600,  3.00000,     97.92340,1
 41.65500,  3.10000,     97.97934,1
 42.45600,  3.20000,     98.05996,1
 43.28600,  3.30000,     98.11371,1
 44.12000,  3.40000,     98.19232,1
 44.97700,  3.50000,     98.24406,1
 45.86900,  3.60000,     98.32468,1
 46.75900,  3.70000,     98.41773,1
 47.67200,  3.80000,     98.48391,1
 48.61000,  3.90000,     98.55210,1
 49.57500,  4.00000,     98.63693,1
 50.54500,  4.10000,     98.72596,1
 51.53100,  4.20000,     98.80859,1
 52.54300,  4.30000,     98.83547,1
 53.57200,  4.40000,     98.91828,1
 54.62100,  4.50000,     99.01335,1
 55.68600,  4.60000,     99.04022,1
 56.75100,  4.70000,     99.08373,1
 57.85100,  4.80000,     99.19122,1
 58.95800,  4.90000,     99.24095,1
 60.07900,  5.00000,     99.29250,1
 61.21600,  5.10000,     99.37952,1
 62.35200,  5.20000,     99.40420,1
 63.50300,  5.30000,     99.43327,1
 64.65700,  5.40000,     99.52431,1
 65.83100,  5.50000,     99.57386,1
 67.01900,  5.60000,     99.62358,1
 68.20400,  5.70000,     99.64826,1
 69.40500,  5.80000,     99.70000,1
 70.62100,  5.90000,     99.75594,1
 71.82100,  6.00000,     99.79927,1
 73.03800,  6.10000,     99.83236,1
 74.25600,  6.20000,     99.85722,1
 75.49600,  6.30000,     99.90896,1
 76.73300,  6.40000,     99.96069,1
 77.97300,  6.50000,     99.98537,1
 79.21700,  6.60000,     99.98537,1
 80.47500,  6.70000,    100.06819,1
 81.72600,  6.80000,    100.09305,1
 82.99900,  6.90000,    100.09305,1
 84.25834,  7.00000,    100.12933,2
 85.51911,  7.10000,    100.14253,2
 86.74477,  7.20000,    100.16153,2
 87.92481,  7.30000,    100.16124,2
 89.06053,  7.40000,    100.14410,2
 90.16005,  7.50000,    100.07927,2
 91.21878,  7.60000,    100.02997,2
 92.21469,  7.70000,     99.98819,2
 93.18542,  7.80000,     99.87474,2
 94.08437,  7.90000,     99.79436,2
 94.96297,  8.00000,     99.68562,2
 95.77847,  8.10000,     99.60610,2
 96.54060,  8.20000,     99.46904,2
 97.26803,  8.30000,     99.39783,2
 97.96931,  8.40000,     99.28109,2
 98.61583,  8.50000,     99.21565,2
 99.22109,  8.60000,     99.09177,2
 99.80690,  8.70000,     98.97224,2
100.35916,  8.80000,     98.92233,2
100.89380,  8.90000,     98.79223,2
101.39437,  9.00000,     98.68776,2
101.87841,  9.10000,     98.61775,2
102.35856,  9.20000,     98.54888,2
102.81275,  9.30000,     98.48306,2
103.25078,  9.40000,     98.45231,2
103.65988,  9.50000,     98.39046,2
104.08595,  9.60000,     98.33017,2
104.47568,  9.70000,     98.29080,2
104.85260,  9.80000,     98.21735,2
105.23300,  9.90000,     98.18246,2
105.60072, 10.00000,     98.14277,2
105.94652, 10.10000,     98.05091,2
106.29077, 10.20000,     98.03037,2
106.60901, 10.30000,     97.97636,2
106.91006, 10.40000,     97.92400,2
107.20312, 10.50000,     97.87431,2
107.47510, 10.60000,     97.81604,2
107.73416, 10.70000,     97.77120,2
107.96621, 10.80000,     97.71803,2
108.22013, 10.90000,     97.64266,2
108.41875, 11.00000,     97.57731,2
108.61799, 11.10000,     97.55835,2
108.80495, 11.20000,     97.49229,2
108.95999, 11.30000,     97.38764,2
109.11030, 11.40000,     97.33502,2
109.24471, 11.50000,     97.29386,2
109.38300, 11.60000,     97.24425,2
109.47528, 11.70000,     97.18054,2
109.58817, 11.80000,     97.12847,2
109.67572, 11.90000,     97.05396,2
109.75482, 12.00000,     96.98713,2
109.81329, 12.10000,     96.94075,2
109.87810, 12.20000,     96.90379,2
