#EXPORTTYPE:                 ,DATA ALL                                                                                   
#FILE:                       ,2024_03_13_PS-SCF3_P40042_Mn_1200_350C_isotherm_1pt_min_SCB_with_100C_stabilization.ngb-ss5
#FORMAT:                     ,NETZSCH5                                                                                   
#FTYPE:                      ,ANSI                                                                                       
#IDENTITY:                   ,PS-1.2K-SCF3                                                                               
#DECIMAL:                    ,POINT                                                                                      
#SEPARATOR:                  ,COMMA                                                                                      
#MTYPE:                      ,TIC                                                                                        
#INSTRUMENT:                 ,NETZSCH STA 449F5                                                                          
#PROJECT:                    ,005a-E                                                                                     
#DATE/TIME:                  ,3/13/2024 8:20:00 PM (UTC-4)                                                               
#CORR. FILE:                 ,                                                                                           
#TEMPCAL:                    ,28-06-2023 13:26                                                                           
#SENSITIVITY:                ,28-06-2023 13:53                                                                           
#LABORATORY:                 ,Tran/AAG                                                                                   
#OPERATOR:                   ,Stanley                                                                                    
#REMARK:                     ,                                                                                           
#SAMPLE:                     ,005a-F1v2                                                                                  
#SAMPLE MASS /mg:            ,5.27                                                                                       
#MATERIAL:                   ,                                                                                           
#REFERENCE:                  ,-----                                                                                      
#REFERENCE MASS /mg:         ,0                                                                                          
#TYPE OF CRUCIBLE:           ,Al2O3 85 µl, open                                                                          
#SAMPLE CRUCIBLE MASS /mg:   ,0                                                                                          
#REFERENCE CRUCIBLE MASS /mg:,0                                                                                          
#DSC RANGE /µV:              ,5000                                                                                       
#TG RANGE /mg:               ,35000                                                                                      
                             ,                                                                                           

##Temp./°C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 29.36400,  0.01028,1.140118e-11,1.137447e-09,7.876497e-11,2.825330e-10,1.130104e-12,5.586486e-10,1.850796e-13,9.569276e-13,6.894112e-14,1.596737e-13,2.583218e-13,1.423026e-12,5.697647e-12,4.049791e-08,3.212929e-10,3.645897e-12,1.549721e-12,9.520066e-09,7.597923e-12,3.471285e-11,1.458454e-13,2.142429e-11,2.264500e-13,4.749007e-12,1.833851e-12,7.306963e-09,1.622200e-12,1.160622e-12,2.621651e-12,1.542178e-10,3.163338e-12,8.855539e-13,1.585674e-13,2.976182e-12,2.144146e-13,1.023246e-12,1.353389e-12,3.979021e-13,2.016354e-13,1.858425e-13,3.331095e-13,2.755833e-13,3.128344e-13,2.239704e-13,1.253986e-13,9.735977e-13,1.388264e-13,1.100063e-13,2.193928e-13,3.938421e-12,2.261829e-13,2.963543e-13,1.019573e-13,1.350117e-13,1.600361e-13,8.454323e-14,1.217365e-13,5.692482e-14,1.524448e-13,2.151966e-13,2.088070e-13,2.803326e-13,1.102191e-12,4.438692e-13,1.076984e-13,5.068779e-14,8.828163e-14,5.148888e-14,8.431434e-14,1.590633e-13,7.946968e-14,6.724357e-14,4.347801e-14,7.258415e-14,5.282402e-14,4.736900e-14,3.039265e-13,1.819706e-13,6.186485e-14,1.091671e-13,7.576942e-14,7.571220e-14,6.318093e-14,5.879402e-14,4.040718e-14,4.406929e-14,5.843163e-14,1.047611e-13,1.818371e-13,2.437878e-13,1.045257e-12,3.617769e-13,6.827355e-14,2.982139e-14,7.521630e-14,3.951073e-14,3.682137e-14,6.630898e-14,1.475334e-14,3.628731e-14,6.222725e-14,2.345085e-14,9.646416e-14,6.747246e-14,6.409645e-14,1.157093e-13,3.947258e-14,3.020763e-13,3.943443e-14,4.189491e-14,2.543449e-14,2.341270e-14,1.351261e-13,1.054096e-13,4.174233e-14,3.479958e-14,4.057884e-14,2.669334e-14,4.666329e-14,5.555153e-14,2.385139e-14,2.224922e-14,2.253532e-14,4.065514e-14,2.453804e-14,1.793861e-14,2.377510e-14,3.708839e-14,4.204750e-14,3.577232e-14,3.315926e-14,5.322456e-14,9.438515e-14,5.095482e-14,4.841805e-14,4.052162e-14
 29.66600,  0.18274,1.167011e-11,1.144123e-09,7.968431e-11,2.863534e-10,1.221657e-12,5.594764e-10,1.988697e-13,9.400475e-13,9.472847e-14,1.811504e-13,3.179079e-13,1.542712e-12,5.706421e-12,4.108004e-08,3.203392e-10,3.693581e-12,1.521110e-12,9.486878e-09,7.678032e-12,3.518969e-11,1.421833e-13,2.105808e-11,2.592373e-13,4.822039e-12,1.796848e-12,7.298571e-09,1.605034e-12,1.179695e-12,2.554893e-12,1.551105e-10,3.170967e-12,8.712488e-13,1.635838e-13,2.984307e-12,2.039623e-13,1.069595e-12,1.354038e-12,3.945070e-13,1.537609e-13,2.015400e-13,3.392321e-13,2.707005e-13,2.981281e-13,2.595806e-13,7.628441e-14,8.698756e-13,9.289742e-14,1.406765e-13,2.187061e-13,3.949636e-12,2.621174e-13,3.250414e-13,1.167393e-13,1.219082e-13,1.671314e-13,1.353550e-13,1.477146e-13,4.307747e-14,1.540661e-13,2.154446e-13,2.154446e-13,2.663708e-13,9.555924e-13,4.266268e-13,7.958412e-14,5.717277e-14,8.997917e-14,7.220268e-14,7.769585e-14,1.478481e-13,8.561134e-14,6.365776e-14,3.188133e-14,5.711555e-14,8.564949e-14,4.109383e-14,3.116703e-13,1.871967e-13,3.449440e-14,9.478569e-14,4.345894e-14,5.959511e-14,4.101753e-14,1.486778e-14,7.054329e-14,3.638267e-14,2.474785e-14,6.802559e-14,1.772213e-13,2.744389e-13,1.039802e-12,3.695971e-13,4.145622e-14,2.881050e-14,6.049156e-14,6.089211e-14,6.783486e-14,4.046440e-14,1.856804e-14,5.524635e-14,9.997368e-14,2.562523e-14,1.014614e-13,8.051872e-14,4.382133e-14,9.947777e-14,4.935265e-14,2.896404e-13,2.293587e-14,5.598068e-15,3.710747e-14,2.228737e-14,1.622677e-13,8.347511e-14,5.177498e-14,7.063866e-14,4.485130e-14,1.355171e-14,2.251625e-14,5.045891e-14,3.294945e-14,3.600120e-14,2.732277e-14,2.293587e-14,3.647804e-14,1.845360e-14,3.844261e-14,3.304482e-14,1.916885e-15,2.728462e-14,4.456520e-14,3.338814e-14,8.585930e-14,5.427361e-14,2.945900e-14,2.207756e-14
 29.95200,  0.36268,1.182461e-11,1.146603e-09,7.985407e-11,2.854589e-10,1.233101e-12,5.524612e-10,2.106380e-13,1.023189e-12,1.010418e-13,1.774120e-13,2.816486e-13,1.418315e-12,5.684047e-12,4.084105e-08,3.188133e-10,3.762245e-12,1.532555e-12,9.521782e-09,7.588387e-12,3.501421e-11,1.053715e-13,2.145481e-11,1.961041e-13,4.721503e-12,1.846058e-12,7.245356e-09,1.582146e-12,1.175880e-12,2.633095e-12,1.545554e-10,3.190040e-12,8.329874e-13,1.661396e-13,3.121942e-12,2.098751e-13,1.044875e-12,1.383621e-12,3.949839e-13,1.574421e-13,1.868153e-13,3.407580e-13,2.517986e-13,3.098583e-13,2.153301e-13,7.067680e-14,8.693224e-13,1.061916e-13,1.307583e-13,2.360439e-13,3.998674e-12,2.457714e-13,2.891445e-13,8.732796e-14,1.119709e-13,1.521587e-13,1.230335e-13,1.364231e-13,7.864952e-14,1.622486e-13,1.741123e-13,1.762676e-13,2.740574e-13,9.514534e-13,4.395968e-13,9.394646e-14,4.866600e-14,8.370399e-14,8.065223e-14,6.295204e-14,1.596928e-13,5.146980e-14,4.736900e-14,7.235527e-14,1.101494e-14,9.343147e-14,4.651070e-14,2.513790e-13,1.846218e-13,5.124092e-14,9.699822e-14,5.208015e-14,4.752159e-14,2.558708e-14,5.980492e-14,6.125450e-14,2.606392e-14,5.076408e-14,6.823540e-14,1.819515e-13,2.011395e-13,1.038276e-12,3.319842e-13,4.471779e-14,4.271507e-14,4.948616e-14,1.082420e-14,6.251335e-14,4.036903e-14,2.755165e-14,2.429008e-14,1.058102e-13,3.363609e-14,6.474495e-14,7.708549e-14,5.164146e-14,9.652138e-14,7.151604e-14,2.722073e-13,4.675865e-14,3.809929e-14,3.794670e-14,1.818657e-14,1.264095e-13,9.358406e-14,5.883217e-14,3.586769e-14,5.150795e-14,4.359245e-14,4.521370e-14,3.226280e-14,3.987312e-14,2.228737e-14,3.298759e-14,1.000000e-17,3.382683e-14,2.247810e-14,2.512932e-14,3.981590e-14,4.950523e-14,3.308296e-14,2.120018e-14,9.489059e-15,5.173683e-14,5.009651e-14,3.256798e-14,1.589775e-14
 30.25900,  0.53664,1.170826e-11,1.153278e-09,8.008486e-11,2.872842e-10,1.173973e-12,5.499626e-10,2.080059e-13,1.001197e-12,8.170128e-14,1.807308e-13,3.203493e-13,1.476871e-12,5.915199e-12,4.131617e-08,3.211021e-10,3.567696e-12,1.557350e-12,9.522927e-09,7.685661e-12,3.463274e-11,1.049900e-13,2.102184e-11,2.137661e-13,4.747710e-12,1.856377e-12,7.263476e-09,1.574516e-12,1.221657e-12,2.663612e-12,1.545554e-10,3.167152e-12,9.440911e-13,1.277828e-13,3.067544e-12,1.834583e-13,1.065570e-12,1.398383e-12,3.712374e-13,1.651859e-13,2.008724e-13,3.131586e-13,2.540874e-13,2.923107e-13,2.334881e-13,7.418632e-14,8.998018e-13,1.097202e-13,1.226521e-13,2.178478e-13,3.951410e-12,2.789402e-13,2.978230e-13,8.406639e-14,1.010990e-13,1.446247e-13,1.426792e-13,1.191044e-13,5.803108e-14,1.163959e-13,1.934719e-13,1.674175e-13,2.681637e-13,9.825814e-13,4.019648e-13,9.280205e-14,4.885674e-14,9.110451e-14,7.451057e-14,5.726814e-14,1.181126e-13,8.299828e-14,5.660057e-14,7.677078e-15,3.216743e-14,6.100655e-14,5.974770e-14,3.044224e-13,1.814556e-13,3.958702e-14,1.016140e-13,6.207466e-14,3.489494e-14,5.671501e-14,5.473137e-14,6.590843e-14,3.983498e-14,6.476402e-14,5.772591e-14,1.847172e-13,2.189350e-13,1.069118e-12,3.504855e-13,5.248070e-14,2.715111e-14,6.619453e-14,3.819466e-14,5.469322e-14,4.628182e-14,3.169060e-14,3.083229e-14,1.035595e-13,3.750801e-14,7.496834e-14,6.888390e-14,4.544258e-14,9.022713e-14,2.930641e-14,3.106785e-13,3.039360e-14,1.721382e-14,3.655434e-14,1.294136e-14,1.256847e-13,1.036167e-13,6.638527e-14,4.078865e-14,3.657341e-14,3.594399e-14,1.360893e-14,3.561973e-14,2.842903e-14,9.279251e-15,1.170158e-14,3.106117e-14,2.318382e-14,2.457619e-14,3.676414e-14,2.497673e-14,4.609108e-14,3.746986e-14,4.908562e-14,2.705574e-14,5.394935e-14,4.162788e-14,4.181862e-14,2.491951e-14
 30.66100,  0.70948,1.187420e-11,1.157093e-09,8.081728e-11,2.854817e-10,1.187325e-12,5.493140e-10,2.270031e-13,9.390939e-13,8.643151e-14,1.645756e-13,2.818966e-13,1.487800e-12,5.861031e-12,4.155363e-08,3.241539e-10,3.603935e-12,1.532555e-12,9.600556e-09,7.773399e-12,3.472429e-11,9.293556e-14,2.090168e-11,2.179623e-13,4.654497e-12,1.750690e-12,7.171923e-09,1.696587e-12,1.217842e-12,2.741814e-12,1.561977e-10,3.119469e-12,8.526903e-13,1.534557e-13,3.052419e-12,1.985455e-13,1.034404e-12,1.400405e-12,4.004580e-13,1.467419e-13,1.896763e-13,2.832890e-13,2.770138e-13,2.974415e-13,2.762318e-13,8.370399e-14,9.264093e-13,1.209927e-13,1.239491e-13,2.629757e-13,3.900426e-12,2.132702e-13,3.143030e-13,1.012898e-13,1.056004e-13,1.798916e-13,1.288891e-13,1.265812e-13,5.665779e-14,1.397419e-13,2.048016e-13,1.741886e-13,2.651119e-13,1.048423e-12,3.650385e-13,8.202553e-14,5.667687e-14,9.665489e-14,7.512093e-14,4.651070e-14,1.192188e-13,7.311821e-14,4.527092e-14,5.467415e-14,2.949715e-14,5.698204e-14,3.436088e-14,2.830028e-13,1.672459e-13,3.235817e-14,7.281303e-14,7.010460e-14,5.711555e-14,4.548073e-14,8.557320e-14,3.994942e-14,1.914024e-14,3.291130e-14,9.829521e-14,1.936817e-13,2.295589e-13,1.075259e-12,3.664309e-13,7.477760e-14,3.024101e-14,3.487587e-14,6.246567e-15,6.422997e-14,4.052162e-14,3.651619e-14,4.193306e-14,8.757592e-14,1.793861e-14,8.934974e-14,6.091118e-14,3.048897e-14,1.278591e-13,5.251884e-14,3.076649e-13,3.619194e-14,4.591942e-14,3.731728e-14,4.668236e-14,1.321125e-13,9.171486e-14,4.172325e-14,3.149986e-14,5.631447e-14,5.322456e-14,2.118111e-14,1.284599e-14,1.503944e-14,4.853249e-14,2.730370e-14,4.506111e-14,2.556801e-14,3.611565e-14,3.232002e-14,3.188133e-14,4.794121e-14,1.721382e-14,3.647804e-14,2.419472e-14,7.678032e-14,4.017830e-14,1.290321e-14,1.246452e-14
 31.10800,  0.88226,1.183605e-11,1.157284e-09,8.112627e-11,2.910283e-10,1.099586e-12,5.438037e-10,2.112293e-13,1.071597e-12,6.722451e-14,1.665401e-13,2.882480e-13,1.348125e-12,5.945660e-12,4.124598e-08,3.201485e-10,3.674507e-12,1.608849e-12,9.596741e-09,7.826805e-12,3.518969e-11,1.212215e-13,2.118969e-11,2.202892e-13,4.606165e-12,1.801311e-12,7.109934e-09,1.561165e-12,1.179695e-12,2.619743e-12,1.564762e-10,3.149986e-12,8.706194e-13,1.629925e-13,3.029340e-12,1.411915e-13,1.010734e-12,1.364471e-12,4.162317e-13,1.503849e-13,1.970386e-13,3.423983e-13,2.730656e-13,3.105450e-13,2.504826e-13,7.775306e-14,8.767992e-13,1.110935e-13,1.202297e-13,2.218914e-13,3.986009e-12,2.610683e-13,3.328043e-13,1.219845e-13,1.112843e-13,1.404285e-13,1.194668e-13,1.356792e-13,5.970955e-14,1.178455e-13,1.971149e-13,1.808262e-13,2.573681e-13,1.043083e-12,4.259592e-13,9.793282e-14,4.517555e-14,9.085655e-14,9.913445e-14,8.566857e-14,1.538181e-13,4.591942e-14,5.230903e-14,4.361153e-14,5.110741e-14,5.843163e-14,3.975868e-14,3.122616e-13,2.027416e-13,6.165505e-14,7.527351e-14,5.940437e-14,6.558418e-14,5.564690e-14,6.299019e-14,3.867149e-14,3.256798e-14,4.574776e-14,6.432534e-14,1.850605e-13,2.286625e-13,1.050483e-12,3.574854e-13,6.184578e-14,2.861977e-14,3.378868e-14,2.171516e-14,5.650520e-14,1.641274e-14,2.760887e-14,1.000000e-17,7.964134e-14,3.579140e-14,8.280754e-14,4.868508e-14,3.485679e-14,1.090908e-13,5.162239e-14,3.259188e-13,5.072594e-14,2.537727e-14,2.396584e-14,3.315926e-14,1.181889e-13,1.302433e-13,6.096840e-14,1.715660e-14,4.897118e-14,5.197525e-15,3.352165e-14,4.303932e-14,3.104210e-14,3.058433e-14,2.219200e-14,3.652573e-15,4.025459e-14,2.364159e-14,2.232552e-14,2.995491e-14,1.009941e-14,8.077621e-15,1.059532e-14,3.144264e-14,9.688377e-14,3.754616e-14,2.118111e-14,2.148628e-14
 31.65200,  1.05631,1.183796e-11,1.163387e-09,8.092219e-11,2.872956e-10,1.143455e-12,5.394664e-10,1.833820e-13,9.161096e-13,6.926537e-14,1.705265e-13,3.197962e-13,1.468002e-12,5.946480e-12,4.135451e-08,3.218651e-10,3.756523e-12,1.671791e-12,9.610665e-09,7.981301e-12,3.479868e-11,1.097012e-13,2.074337e-11,2.142620e-13,4.446082e-12,1.786815e-12,7.066065e-09,1.612663e-12,1.162529e-12,2.785682e-12,1.559554e-10,3.161430e-12,8.499438e-13,1.562023e-13,3.157609e-12,1.508427e-13,1.104709e-12,1.402808e-12,3.295046e-13,1.688290e-13,1.787281e-13,3.536326e-13,2.991772e-13,3.082180e-13,2.393055e-13,5.209923e-14,8.309084e-13,1.230717e-13,1.235294e-13,1.871777e-13,4.049391e-12,2.326298e-13,2.834988e-13,9.755135e-14,1.089573e-13,1.572704e-13,1.099682e-13,1.430035e-13,5.517006e-14,1.073360e-13,1.890469e-13,2.097988e-13,3.143984e-13,1.054317e-12,3.769785e-13,9.997368e-14,3.273964e-14,9.516716e-14,6.897926e-14,5.955696e-14,1.134014e-13,8.261681e-14,4.002571e-14,4.031181e-14,2.327919e-14,7.309913e-14,4.229546e-14,2.883434e-13,1.634312e-13,4.511833e-14,8.685112e-14,3.796578e-14,6.188393e-14,4.034996e-14,4.355431e-14,4.870415e-14,1.744270e-14,5.463600e-14,4.935265e-14,1.701260e-13,2.247143e-13,1.066638e-12,3.784472e-13,3.726005e-14,2.484322e-14,5.228996e-14,5.419731e-14,4.277229e-14,4.969597e-14,3.643990e-14,2.196312e-14,8.889198e-14,3.464699e-14,8.387566e-14,5.122185e-14,3.884316e-14,1.190472e-13,2.951622e-14,2.742481e-13,5.393028e-14,3.621101e-14,3.962517e-14,1.730919e-14,1.401615e-13,6.827355e-14,6.525993e-14,3.714561e-14,3.102303e-14,3.409386e-14,3.968239e-14,4.040718e-14,3.939629e-14,1.425743e-14,2.007484e-14,9.584427e-15,2.943992e-14,4.345894e-14,3.037453e-14,3.956795e-14,1.000000e-17,2.346992e-14,1.929283e-14,2.816200e-14,7.401466e-14,2.255440e-14,1.702309e-14,3.846169e-14
 32.40800,  1.23133,1.171207e-11,1.163769e-09,8.018404e-11,2.880891e-10,1.156807e-12,5.363078e-10,2.197170e-13,9.859383e-13,9.333611e-14,1.448154e-13,2.753734e-13,1.461459e-12,5.699172e-12,4.154105e-08,3.235817e-10,3.722191e-12,1.513481e-12,9.654152e-09,7.687568e-12,3.538424e-11,1.211834e-13,2.031040e-11,2.151585e-13,4.505724e-12,1.740829e-12,7.028872e-09,1.666069e-12,1.133919e-12,2.762794e-12,1.562683e-10,3.052711e-12,8.798128e-13,1.591587e-13,3.004582e-12,1.977062e-13,1.031009e-12,1.344177e-12,3.871637e-13,1.690960e-13,1.538181e-13,3.183085e-13,2.763271e-13,3.071499e-13,2.614689e-13,5.066871e-14,8.357912e-13,1.226902e-13,1.023197e-13,1.904964e-13,3.999838e-12,1.999569e-13,2.802372e-13,1.063252e-13,1.312923e-13,1.725483e-13,1.068401e-13,1.464176e-13,5.642891e-14,1.285839e-13,1.879025e-13,1.701641e-13,2.514362e-13,1.033584e-12,3.970438e-13,1.110363e-13,5.290031e-14,7.042884e-14,7.582665e-14,5.284309e-14,1.554394e-13,7.231713e-14,4.067421e-14,2.854347e-14,3.233909e-14,6.934166e-14,2.146721e-14,2.908039e-13,1.430607e-13,3.920555e-14,7.851600e-14,5.105018e-14,5.669594e-14,5.452156e-14,4.755974e-14,3.935814e-14,1.690865e-14,4.824638e-14,6.621361e-14,1.937771e-13,2.346134e-13,9.754288e-13,3.571612e-13,3.750801e-14,2.890587e-14,6.468773e-14,5.860329e-14,7.386207e-14,3.966331e-14,1.717568e-14,2.364159e-14,6.770134e-14,1.761437e-14,5.900383e-14,5.751610e-14,2.022743e-14,1.008892e-13,2.438545e-14,3.393084e-13,2.142906e-14,2.827644e-14,3.258705e-14,4.105568e-14,1.409817e-13,1.068974e-13,6.451607e-14,2.732277e-14,5.970955e-14,1.112938e-14,1.431465e-14,4.721642e-14,3.960610e-14,3.252029e-15,6.017685e-15,3.239632e-14,1.858711e-14,2.228737e-14,2.362251e-14,4.921913e-14,1.370430e-14,4.456520e-14,2.356529e-14,3.237724e-14,8.545875e-14,5.164146e-14,2.934456e-14,2.776146e-14
 32.97600,  1.40324,1.179409e-11,1.168919e-09,8.059412e-11,2.860997e-10,1.170158e-12,5.331950e-10,2.216053e-13,1.053687e-12,8.107185e-14,1.570415e-13,3.102017e-13,1.509048e-12,5.724578e-12,4.163947e-08,3.235817e-10,3.735542e-12,1.540184e-12,9.699166e-09,7.893562e-12,3.567606e-11,1.244640e-13,2.027798e-11,2.299976e-13,4.454150e-12,1.770603e-12,6.954676e-09,1.633644e-12,1.172066e-12,2.669334e-12,1.559974e-10,3.102302e-12,8.735186e-13,1.569843e-13,2.993062e-12,1.933384e-13,1.072303e-12,1.428672e-12,4.023081e-13,1.729107e-13,1.417065e-13,3.662974e-13,2.371883e-13,3.036213e-13,2.667141e-13,7.294655e-14,8.656031e-13,1.243305e-13,1.187992e-13,2.237606e-13,4.080271e-12,2.351284e-13,2.882862e-13,1.084232e-13,1.233196e-13,1.710415e-13,1.245403e-13,1.280498e-13,6.964684e-14,1.088619e-13,1.743794e-13,1.866436e-13,2.440929e-13,1.008750e-12,4.190737e-13,9.480477e-14,2.205849e-14,6.228447e-14,5.633354e-14,5.459785e-14,1.519108e-13,8.545875e-14,5.616188e-14,3.886223e-14,4.439354e-14,5.383491e-14,3.571510e-14,2.716923e-13,1.574421e-13,6.102562e-14,8.135796e-14,5.467415e-14,6.278038e-14,4.761696e-14,6.222725e-14,5.726814e-14,2.509117e-14,3.863335e-14,9.440422e-14,1.611614e-13,2.470875e-13,1.019527e-12,3.245836e-13,5.108833e-14,1.112938e-14,4.559517e-14,2.776146e-14,3.096580e-14,5.175591e-14,4.036903e-14,4.912376e-14,9.816170e-14,4.454613e-14,9.659767e-14,6.615639e-14,2.623558e-14,1.133060e-13,3.209114e-14,3.058529e-13,4.950523e-14,3.741264e-14,5.102158e-15,2.322197e-14,1.397610e-13,1.021481e-13,3.129005e-14,4.734993e-14,5.187035e-14,4.136086e-14,4.771233e-14,9.794235e-15,2.938271e-14,2.627373e-14,3.159523e-14,3.853798e-14,1.919746e-14,1.013756e-14,1.751900e-14,5.566597e-14,4.334450e-14,2.787590e-14,4.084587e-14,3.347397e-15,8.973121e-14,4.998207e-14,4.179954e-14,4.433632e-14
 33.84500,  1.57937,1.193905e-11,1.167965e-09,8.041674e-11,2.860768e-10,1.189232e-12,5.287490e-10,1.828289e-13,9.628784e-13,8.074760e-14,1.685619e-13,2.647877e-13,1.482745e-12,5.850922e-12,4.137511e-08,3.266335e-10,3.634453e-12,1.692772e-12,9.638894e-09,7.895470e-12,3.556162e-11,1.239681e-13,2.054500e-11,2.385426e-13,4.438910e-12,1.669723e-12,6.942469e-09,1.696587e-12,1.160622e-12,2.678871e-12,1.557628e-10,3.138542e-12,8.981234e-13,1.530933e-13,2.947419e-12,1.855564e-13,1.082603e-12,1.358730e-12,3.663927e-13,1.854610e-13,1.869869e-13,3.251177e-13,2.490330e-13,2.937603e-13,2.683735e-13,1.056194e-13,8.121401e-13,1.284504e-13,1.825237e-13,1.702404e-13,4.047864e-12,2.217960e-13,2.954197e-13,9.196281e-14,7.220268e-14,1.370525e-13,8.654594e-14,1.060200e-13,2.718925e-14,1.580143e-13,2.043819e-13,2.017498e-13,2.780819e-13,1.054908e-12,4.173571e-13,9.411812e-14,6.129265e-14,8.372307e-14,8.448601e-14,7.287025e-14,1.503658e-13,7.029533e-14,5.637169e-14,5.358696e-14,5.169868e-14,7.315636e-14,1.763344e-14,2.855778e-13,1.689434e-13,4.134178e-14,8.242607e-14,4.652977e-14,6.287575e-14,5.101204e-14,4.815102e-14,4.347801e-14,4.422188e-14,3.565788e-14,1.120281e-13,1.538372e-13,2.590275e-13,9.896004e-13,3.727633e-13,4.614830e-14,3.371239e-14,3.026009e-14,4.990578e-14,5.980492e-14,5.398750e-14,4.511833e-14,1.521111e-14,8.572579e-14,3.361702e-14,7.018089e-14,5.618095e-14,4.586220e-14,1.323605e-13,1.576424e-14,3.502375e-13,2.680778e-14,1.187325e-14,4.940986e-14,2.036095e-14,1.230144e-13,8.505822e-14,3.357887e-14,1.944542e-14,5.009651e-14,2.306938e-14,7.104874e-15,5.825996e-14,3.256798e-14,1.507759e-14,3.819466e-14,2.953529e-14,3.031730e-14,1.458168e-14,1.032829e-14,4.586220e-14,4.809380e-14,1.614571e-14,4.557610e-14,2.890587e-14,7.092476e-14,2.120018e-14,2.516746e-14,3.680229e-14
