#EXPORTTYPE:                 ,DATA ALL                                    
#FILE:                       ,2024_03_13_PS_P40042_Mn_1200_dynamic.ngb-ss5
#FORMAT:                     ,NETZSCH5                                    
#FTYPE:                      ,ANSI                                        
#IDENTITY:                   ,PS-1.2K                                     
#DECIMAL:                    ,POINT                                       
#SEPARATOR:                  ,COMMA                                       
#MTYPE:                      ,TIC                                         
#INSTRUMENT:                 ,NETZSCH STA 449F5                           
#PROJECT:                    ,                                            
#DATE/TIME:                  ,3/14/2024 11:54:37 AM (UTC-4)               
#CORR. FILE:                 ,                                            
#TEMPCAL:                    ,28-06-2023 13:26                            
#SENSITIVITY:                ,28-06-2023 13:53                            
#LABORATORY:                 ,Tran/AAG                                    
#OPERATOR:                   ,Stanley                                     
#REMARK:                     ,                                            
#SAMPLE:                     ,P40042                                      
#SAMPLE MASS /mg:            ,5.69                                        
#MATERIAL:                   ,                                            
#REFERENCE:                  ,-----                                       
#REFERENCE MASS /mg:         ,0                                           
#TYPE OF CRUCIBLE:           ,Al2O3 85 µl, open                           
#SAMPLE CRUCIBLE MASS /mg:   ,0                                           
#REFERENCE CRUCIBLE MASS /mg:,0                                           
#DSC RANGE /µV:              ,5000                                        
#TG RANGE /mg:               ,35000                                       
                             ,                                            

##Temp./°C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 31.92900,  0.01331,6.869122e-12,6.722886e-10,5.166155e-11,1.975109e-10,2.026558e-12,1.593113e-09,1.761341e-13,5.639177e-13,3.066063e-14,8.065223e-14,1.805210e-13,9.808648e-13,4.183077e-12,2.571766e-08,1.975060e-10,2.549171e-12,1.011848e-12,6.188303e-09,5.166054e-12,2.215671e-11,1.015759e-13,6.295687e-11,1.863956e-13,1.285458e-11,4.349709e-12,2.048275e-08,1.555443e-12,7.548624e-13,1.570312e-12,8.251673e-11,1.776695e-12,5.375201e-13,9.509087e-14,1.349403e-12,1.461697e-13,6.598193e-13,9.315210e-13,2.725124e-13,1.503849e-13,1.475048e-13,2.339077e-13,2.240086e-13,1.512241e-13,1.724148e-13,6.012917e-14,4.725748e-13,9.490013e-14,1.511669e-13,2.306843e-13,2.004024e-12,2.710438e-13,2.018452e-13,1.041508e-13,9.118080e-14,1.212215e-13,9.587288e-14,8.185387e-14,5.986214e-14,1.121807e-13,1.733875e-13,1.961422e-13,2.086353e-13,8.343035e-13,3.742701e-13,1.017857e-13,7.081031e-14,8.685112e-14,8.097649e-14,5.270958e-14,1.644993e-13,6.871223e-14,6.699562e-14,5.133629e-14,6.264687e-14,8.797645e-14,4.666329e-14,5.039698e-13,3.226572e-13,8.433342e-14,3.067970e-14,3.264427e-14,3.249168e-14,3.573418e-14,4.950523e-14,4.460335e-14,1.648903e-14,4.000664e-14,3.203392e-14,1.320744e-13,1.765728e-13,5.259234e-13,1.707935e-13,2.642631e-14,2.091408e-14,4.658699e-14,5.047798e-14,4.462242e-14,2.642631e-14,4.551888e-14,3.350258e-14,6.937980e-14,2.343178e-14,4.004478e-14,5.377769e-14,2.593040e-14,5.766869e-14,4.456520e-14,1.443386e-13,2.547264e-14,3.617287e-14,4.170418e-14,3.771782e-14,9.905815e-14,8.883476e-14,3.825188e-14,4.431724e-14,2.642631e-14,1.929283e-14,2.907753e-14,5.816459e-14,1.395226e-14,3.954887e-14,2.795219e-14,3.138542e-14,3.361702e-14,2.902031e-14,1.133919e-14,5.616188e-14,3.216743e-14,2.327919e-14,5.240440e-14,1.235008e-14,4.715920e-14,2.802849e-14,5.719185e-14,2.932548e-14
 31.93300,  0.19456,6.706921e-12,6.770760e-10,5.148989e-11,1.993934e-10,2.112389e-12,1.610661e-09,1.711750e-13,5.141169e-13,1.818657e-14,3.592491e-14,1.344585e-13,9.445297e-13,4.360727e-12,2.605774e-08,1.988411e-10,2.436638e-12,9.856522e-13,6.165415e-09,5.230903e-12,2.245808e-11,1.227856e-13,6.330210e-11,1.695156e-13,1.299953e-11,4.223824e-12,2.067062e-08,1.519203e-12,6.601626e-13,1.641228e-12,8.191591e-11,1.761436e-12,4.808527e-13,1.137066e-13,1.382819e-12,1.147938e-13,7.019907e-13,9.362131e-13,2.685070e-13,1.205730e-13,1.741505e-13,2.443790e-13,2.285481e-13,1.828480e-13,1.632595e-13,6.402016e-14,4.634196e-13,9.871483e-14,1.347256e-13,1.964283e-13,2.031128e-12,3.197771e-13,2.011204e-13,7.916451e-14,9.276390e-14,1.052189e-13,8.616447e-14,1.173115e-13,4.240990e-14,7.658959e-14,1.649380e-13,1.378155e-13,2.268314e-13,8.917337e-13,3.631693e-13,1.106739e-13,5.867958e-14,9.451866e-14,6.178856e-14,6.382942e-14,1.456547e-13,7.933617e-14,7.128715e-14,3.596306e-14,1.343727e-14,7.075310e-14,4.139900e-14,5.451685e-13,3.494936e-13,5.799294e-14,7.300377e-14,3.825188e-14,4.164696e-14,4.990578e-14,5.028724e-14,3.071785e-14,9.851456e-15,1.364708e-14,6.590843e-14,1.394558e-13,1.876926e-13,4.991061e-13,1.735020e-13,3.396034e-14,2.305031e-14,4.908562e-14,3.424644e-14,4.239082e-14,4.968643e-15,3.544807e-14,2.272606e-14,6.699562e-14,1.290321e-14,4.717827e-14,5.084038e-14,5.795479e-14,7.409095e-14,2.039909e-14,1.361942e-13,3.647804e-14,4.982948e-14,6.186485e-14,4.167557e-15,1.006412e-13,7.021904e-14,5.967140e-14,2.236366e-14,2.081871e-14,1.954079e-14,3.687858e-14,3.846169e-14,1.000000e-17,1.944542e-14,1.095772e-14,2.581596e-14,1.000000e-17,1.478195e-15,2.800941e-14,4.454613e-14,2.154350e-14,2.377510e-14,2.509117e-14,2.371788e-14,5.822182e-14,2.728462e-14,2.617836e-14,2.587318e-14
 31.94500,  0.37508,7.086713e-12,6.758496e-10,5.180842e-11,1.987793e-10,2.158165e-12,1.616573e-09,1.525402e-13,4.790789e-13,1.345634e-14,2.966881e-14,1.306820e-13,9.402191e-13,4.279475e-12,2.606080e-08,1.992226e-10,2.438545e-12,9.451974e-13,6.163698e-09,5.446434e-12,2.186870e-11,1.393223e-13,6.271845e-11,2.019978e-13,1.296329e-11,4.456520e-12,2.073032e-08,1.555443e-12,6.114107e-13,1.572964e-12,8.208186e-11,1.734734e-12,5.069834e-13,1.041698e-13,1.441528e-12,1.540279e-13,6.875521e-13,9.434998e-13,2.772427e-13,1.281643e-13,1.614857e-13,2.009678e-13,2.366734e-13,1.894474e-13,1.693821e-13,4.942894e-14,4.634768e-13,8.130074e-14,1.385975e-13,2.363872e-13,2.092945e-12,3.170687e-13,1.978779e-13,7.609367e-14,5.635261e-14,1.170063e-13,7.685661e-14,1.031399e-13,5.867958e-14,1.169300e-13,1.964474e-13,1.600361e-13,2.391910e-13,8.356577e-13,3.484637e-13,8.280754e-14,7.109642e-14,6.375313e-14,6.396293e-14,4.231453e-14,1.451588e-13,4.921913e-14,5.463600e-14,4.548073e-14,3.314018e-14,7.670402e-14,2.810478e-14,4.859835e-13,4.216677e-13,4.363060e-14,7.004738e-14,5.482674e-14,2.064705e-14,3.525734e-14,4.523277e-14,1.881599e-14,4.868508e-14,4.714012e-14,6.066323e-14,1.274967e-13,2.047443e-13,4.761988e-13,1.742268e-13,1.711845e-14,5.904198e-14,3.931999e-14,4.053116e-15,3.331184e-14,1.591682e-14,3.628731e-14,1.608849e-14,5.265236e-14,9.660721e-15,4.763603e-14,5.072594e-14,3.279686e-14,7.203102e-14,3.361702e-14,1.406765e-13,2.768517e-14,2.755165e-14,3.401756e-14,2.009392e-14,8.910179e-14,1.244450e-13,4.780769e-14,2.026558e-14,2.594948e-14,3.989220e-14,1.889229e-14,2.106666e-14,2.181053e-14,1.580238e-14,2.062797e-14,2.778053e-14,4.366875e-14,1.715660e-14,1.134872e-15,1.530647e-14,2.263069e-14,4.525185e-14,1.172066e-14,5.884171e-15,3.985405e-14,2.537727e-14,9.126663e-15,3.233909e-14
 31.96700,  0.55076,6.662022e-12,6.756150e-10,5.189043e-11,1.978580e-10,2.165794e-12,1.612759e-09,1.415539e-13,4.917246e-13,4.663467e-15,6.583214e-14,1.813412e-13,9.473145e-13,4.158473e-12,2.574189e-08,1.984596e-10,2.421379e-12,1.006126e-12,6.141573e-09,5.034446e-12,2.219868e-11,9.911537e-14,6.318575e-11,1.885509e-13,1.278782e-11,4.370689e-12,2.070457e-08,1.538277e-12,6.648165e-13,1.595756e-12,8.155733e-11,1.730919e-12,5.038172e-13,8.713722e-14,1.355811e-12,1.250553e-13,6.917673e-13,9.745133e-13,2.713680e-13,1.573086e-13,1.683712e-13,2.511883e-13,2.270603e-13,1.885891e-13,1.469898e-13,6.854057e-14,4.227930e-13,1.165104e-13,9.671211e-14,2.489567e-13,2.077515e-12,3.149325e-13,1.688671e-13,7.473946e-14,1.110935e-13,1.710796e-13,7.575035e-14,1.148892e-13,3.655434e-14,8.492470e-14,1.725864e-13,1.506519e-13,2.447986e-13,8.685976e-13,3.565699e-13,9.484291e-14,2.835274e-14,6.466865e-14,5.202293e-14,7.061958e-14,1.166058e-13,6.979942e-14,3.306389e-14,2.570152e-14,1.296043e-14,7.967949e-14,3.663063e-14,5.346018e-13,2.991772e-13,5.705833e-14,6.548881e-14,3.773689e-14,4.225731e-14,5.139351e-14,3.118515e-15,2.488136e-14,1.688957e-14,1.069069e-14,3.338814e-14,1.316738e-13,1.762104e-13,4.767710e-13,1.681232e-13,3.457069e-14,3.636360e-14,4.237175e-14,1.542091e-14,4.366875e-14,4.160881e-14,3.184318e-14,2.211571e-14,4.302025e-14,2.022743e-14,4.857063e-14,4.742623e-14,4.042625e-14,5.290031e-14,4.290581e-14,1.303768e-13,4.323006e-14,1.687050e-14,4.769325e-14,3.129005e-14,1.333904e-13,9.284019e-14,3.203392e-14,4.200935e-14,1.961708e-14,1.006126e-14,3.806114e-14,2.621651e-14,3.912926e-14,1.006126e-14,2.532005e-14,1.000000e-17,3.567696e-14,2.287865e-14,8.668899e-15,3.626823e-14,2.291679e-14,1.288414e-14,1.000000e-17,5.693436e-15,5.431175e-14,1.095772e-14,2.655983e-14,2.650261e-14
 32.00400,  0.72878,6.842248e-12,6.694866e-10,5.175310e-11,1.988804e-10,2.148628e-12,1.620007e-09,1.654911e-13,5.169207e-13,2.985001e-15,6.178856e-14,1.586437e-13,9.903252e-13,4.297575e-12,2.583420e-08,1.978874e-10,2.490044e-12,9.315974e-13,6.144625e-09,5.131721e-12,2.204609e-11,9.766579e-14,6.309420e-11,1.914120e-13,1.323414e-11,4.260063e-12,2.094623e-08,1.507759e-12,6.651789e-13,1.519538e-12,8.206850e-11,1.721382e-12,4.844576e-13,1.089191e-13,1.362525e-12,1.227665e-13,7.190424e-13,9.442246e-13,2.419567e-13,1.098156e-13,1.705647e-13,2.029705e-13,2.315998e-13,2.237225e-13,1.723194e-13,2.709389e-14,4.469210e-13,7.939339e-14,1.266384e-13,2.415752e-13,1.986801e-12,2.660847e-13,2.019024e-13,7.161140e-14,8.538246e-14,1.377201e-13,8.616447e-14,1.066494e-13,4.891395e-14,9.966850e-14,1.531124e-13,1.589108e-13,2.578259e-13,8.124262e-13,4.152018e-13,8.925438e-14,4.349709e-14,9.419441e-14,5.892753e-14,3.027916e-14,1.296139e-13,5.629540e-14,3.355980e-14,2.198219e-14,2.982139e-14,5.339623e-14,4.620552e-14,5.070788e-13,3.678423e-13,3.127098e-14,5.705833e-14,3.380775e-14,3.966331e-14,3.897667e-14,1.725197e-14,2.102852e-14,3.579140e-14,4.631996e-14,4.240990e-14,1.168156e-13,1.808071e-13,5.051714e-13,1.770687e-13,5.246162e-14,1.410484e-14,3.792763e-14,3.487587e-14,3.727913e-14,9.298325e-15,7.314682e-15,2.603531e-15,7.269859e-14,3.123283e-14,2.470970e-14,4.794121e-14,8.649826e-15,6.352425e-14,2.902031e-14,1.837254e-13,5.131721e-14,3.481865e-14,2.842903e-14,2.190590e-14,1.070309e-13,9.882927e-14,4.851341e-14,1.290321e-14,3.151894e-14,6.322861e-15,2.072334e-14,3.243446e-14,2.423286e-14,1.000000e-17,1.732826e-14,1.168251e-14,4.347801e-14,3.722191e-14,3.428459e-14,3.003120e-14,1.889229e-14,7.600784e-15,3.537178e-14,3.724098e-14,3.315926e-14,3.920555e-14,3.302574e-14,1.299858e-14
 32.04700,  0.90405,6.621586e-12,6.731984e-10,5.140024e-11,1.988441e-10,2.017021e-12,1.617336e-09,1.431751e-13,4.942233e-13,1.000000e-17,6.043434e-14,1.476765e-13,8.912379e-13,4.235529e-12,2.570374e-08,1.978874e-10,2.470970e-12,9.073168e-13,6.127459e-09,5.366325e-12,2.207279e-11,9.102821e-14,6.351190e-11,2.079868e-13,1.334095e-11,4.338265e-12,2.076446e-08,1.500130e-12,6.819064e-13,1.463252e-12,8.200937e-11,1.818657e-12,5.286127e-13,9.064674e-14,1.432029e-12,1.484203e-13,6.527430e-13,9.539330e-13,2.607441e-13,1.387310e-13,1.686382e-13,1.938915e-13,2.245235e-13,1.822186e-13,1.650715e-13,5.959511e-14,4.413897e-13,6.575585e-14,1.157474e-13,2.725124e-13,2.041084e-12,3.068638e-13,1.984692e-13,4.837990e-14,8.831978e-14,9.455681e-14,7.266044e-14,9.566307e-14,7.262230e-14,8.561134e-14,1.738644e-13,1.857471e-13,2.081966e-13,8.483225e-13,3.614336e-13,8.566857e-14,4.668236e-14,9.175301e-14,7.407189e-14,4.031181e-14,1.598644e-13,4.197121e-14,3.310203e-14,6.148338e-14,4.460335e-14,5.904198e-14,2.467155e-14,5.367380e-13,3.465563e-13,4.540444e-14,5.572319e-14,3.510475e-14,3.109932e-14,1.481056e-14,3.640175e-14,1.387596e-14,1.719475e-14,1.683235e-14,6.178856e-14,1.423359e-13,2.172184e-13,5.209261e-13,1.804066e-13,3.090858e-14,2.362251e-14,6.585121e-14,4.099846e-14,5.871773e-14,2.470970e-14,2.081871e-14,1.000000e-17,5.686760e-14,3.106117e-14,6.445885e-14,4.166603e-14,3.462791e-14,6.279946e-14,1.259804e-14,1.697254e-13,3.373146e-14,1.156807e-14,9.069443e-15,2.474785e-14,1.085567e-13,9.200096e-14,4.557610e-14,1.000000e-17,2.196312e-14,2.028465e-14,2.957344e-14,3.197670e-14,1.151085e-14,1.187325e-14,2.814293e-14,3.016472e-14,4.427910e-14,2.972603e-14,3.260612e-14,3.182411e-14,2.364159e-14,2.146721e-14,3.832817e-14,6.513596e-15,2.671242e-14,3.317833e-14,1.282692e-14,1.240730e-14
 32.12200,  1.08407,6.690918e-12,6.711289e-10,5.133158e-11,1.982986e-10,2.154350e-12,1.619816e-09,1.614284e-13,4.668337e-13,1.000000e-17,6.237984e-14,1.319408e-13,9.061152e-13,4.345774e-12,2.582848e-08,1.980782e-10,2.516746e-12,9.436905e-13,6.116396e-09,5.238533e-12,2.175808e-11,8.448601e-14,6.351381e-11,2.032948e-13,1.315975e-11,4.303932e-12,2.091095e-08,1.543999e-12,7.084185e-13,1.592113e-12,8.166033e-11,1.780510e-12,5.078226e-13,6.829262e-14,1.412040e-12,1.318073e-13,7.143694e-13,8.532244e-13,2.797604e-13,1.094532e-13,1.598835e-13,2.299023e-13,2.650929e-13,1.841640e-13,1.653004e-13,3.687858e-14,4.684931e-13,6.587028e-14,1.412106e-13,2.392292e-13,2.032558e-12,2.833271e-13,1.938152e-13,8.227348e-14,9.337425e-14,1.146412e-13,1.068974e-13,6.831169e-14,6.144523e-14,9.022713e-14,1.894665e-13,1.762295e-13,2.015018e-13,8.400064e-13,3.355128e-13,9.842873e-14,3.638267e-14,7.729530e-14,3.701210e-14,3.264427e-14,1.363277e-13,7.370948e-14,5.877495e-14,1.877785e-14,2.045631e-14,5.707741e-14,6.096840e-14,5.352884e-13,2.873325e-13,5.398750e-14,6.505012e-14,2.194405e-14,3.060341e-14,2.894402e-14,1.912117e-14,1.866341e-14,3.668785e-14,1.107216e-14,4.714012e-14,1.035404e-13,1.968670e-13,5.110270e-13,1.400089e-13,4.714012e-14,4.768372e-17,4.303932e-14,2.774239e-14,2.617836e-14,2.333641e-14,1.626015e-14,3.302574e-14,8.208275e-14,3.207207e-14,6.104470e-14,4.866600e-14,1.101494e-14,5.732536e-14,2.047539e-14,1.546383e-13,2.188682e-14,7.390976e-15,3.161430e-14,2.663612e-14,1.039600e-13,7.969856e-14,2.219200e-14,3.890037e-14,3.693581e-14,3.352165e-14,7.429123e-15,2.192497e-14,1.839638e-14,2.791405e-14,1.080513e-14,5.598068e-15,2.602577e-14,1.000000e-17,3.195762e-14,4.626274e-14,2.001762e-14,7.295608e-15,3.487587e-14,3.350258e-14,4.031181e-14,3.420830e-14,2.425194e-14,2.478599e-14
 32.19700,  1.26186,6.895520e-12,6.671521e-10,5.157763e-11,1.981727e-10,2.104759e-12,1.637363e-09,1.406765e-13,4.651934e-13,1.000000e-17,4.792214e-14,1.578426e-13,9.928239e-13,4.313674e-12,2.559864e-08,1.975060e-10,2.495766e-12,9.582817e-13,6.121164e-09,5.206108e-12,2.192402e-11,8.839607e-14,6.356340e-11,2.079296e-13,1.306820e-11,4.416465e-12,2.100155e-08,1.454353e-12,6.468111e-13,1.552745e-12,8.162600e-11,1.769066e-12,4.857164e-13,8.536339e-14,1.308662e-12,1.297092e-13,7.210642e-13,9.227281e-13,2.677441e-13,1.338291e-13,1.312351e-13,2.122212e-13,2.003765e-13,1.835918e-13,1.399326e-13,5.110741e-14,4.160982e-13,7.967949e-14,1.243496e-13,2.345371e-13,2.127487e-12,2.987385e-13,1.970959e-13,7.187843e-14,7.836342e-14,1.202869e-13,7.884025e-14,1.030636e-13,7.161140e-14,9.425163e-14,1.765156e-13,1.476955e-13,2.567196e-13,7.930666e-13,3.748804e-13,1.016903e-13,5.158424e-14,1.059437e-13,6.051064e-14,6.718636e-14,1.307774e-13,4.124642e-14,6.409645e-14,3.592491e-14,1.839638e-14,7.727623e-14,5.038261e-14,5.208117e-13,3.651339e-13,6.691933e-14,5.751610e-14,1.828194e-14,4.054069e-14,2.459526e-14,3.445625e-14,2.762794e-14,3.480911e-15,2.327919e-14,7.412910e-14,1.010799e-13,1.863956e-13,5.104357e-13,1.480770e-13,3.714561e-14,2.072334e-14,2.503395e-14,1.589775e-14,3.277779e-14,2.346992e-14,2.816200e-14,1.635552e-14,7.086754e-14,3.790855e-14,3.680229e-14,5.843163e-14,4.038811e-14,5.471229e-14,2.493858e-14,1.761723e-13,1.906395e-14,4.464150e-14,1.217842e-14,4.757881e-14,1.101780e-13,7.802010e-14,4.504204e-14,2.012253e-15,4.527092e-14,2.741814e-14,2.667427e-14,3.973961e-14,1.883507e-14,2.946854e-15,1.000000e-17,2.463341e-14,3.712654e-14,1.414299e-14,2.003670e-14,3.172874e-14,1.803398e-14,3.352165e-14,3.337860e-16,1.214027e-14,2.219200e-14,3.928184e-14,1.191139e-14,1.957893e-14
 32.29400,  1.43662,6.797921e-12,6.679722e-10,5.192095e-11,1.971313e-10,2.120018e-12,1.632595e-09,1.197910e-13,4.394823e-13,3.064156e-14,6.678581e-14,1.414585e-13,9.463799e-13,4.309973e-12,2.577488e-08,1.973152e-10,2.568245e-12,1.013385e-12,6.083781e-09,5.076408e-12,2.178478e-11,1.307774e-13,6.447893e-11,1.798725e-13,1.325703e-11,4.601478e-12,2.070457e-08,1.494408e-12,5.889612e-13,1.491405e-12,8.188730e-11,1.776695e-12,4.973131e-13,9.938240e-14,1.334258e-12,1.504993e-13,6.308848e-13,9.630691e-13,2.497387e-13,1.219463e-13,1.498890e-13,2.311039e-13,2.282619e-13,2.169704e-13,1.500225e-13,4.134178e-14,4.529291e-13,9.461403e-14,1.146221e-13,2.352428e-13,2.091591e-12,3.192812e-13,1.901150e-13,6.331444e-14,5.906105e-14,1.322269e-13,8.963585e-14,1.101971e-13,6.724357e-14,8.608818e-14,1.654720e-13,1.292324e-13,2.706623e-13,8.337504e-13,3.308588e-13,7.702827e-14,4.658699e-14,7.849694e-14,6.175041e-14,5.438805e-14,1.122951e-13,4.614830e-14,4.464150e-14,3.714561e-14,3.809929e-14,7.037163e-14,3.033638e-14,5.079943e-13,2.916431e-13,5.690575e-14,4.731178e-14,3.565788e-14,3.720284e-14,3.716469e-14,3.121376e-14,1.307488e-14,4.830361e-14,5.658150e-14,1.795769e-14,1.584911e-13,1.908207e-13,5.459124e-13,1.271915e-13,3.422737e-14,2.736092e-14,4.529953e-15,2.699852e-14,1.807213e-14,9.355545e-15,2.322197e-14,2.091408e-14,4.454613e-14,3.014565e-14,6.474495e-14,3.869057e-14,3.495216e-14,5.637169e-14,2.297401e-14,1.611805e-13,1.402855e-14,2.390861e-14,2.074242e-14,2.678871e-14,7.069588e-14,1.064396e-13,4.084587e-14,3.134727e-14,3.090858e-14,3.157615e-14,3.281593e-14,1.000000e-17,7.257461e-15,2.387047e-14,6.494522e-15,2.284050e-14,1.000000e-17,2.398491e-14,3.577232e-14,1.351357e-14,4.243851e-15,7.886886e-15,1.528740e-14,2.352714e-14,4.614830e-14,3.197670e-14,6.780625e-15,1.554489e-15
 32.38900,  1.61788,6.818501e-12,6.665379e-10,5.123430e-11,1.953747e-10,2.144813e-12,1.637936e-09,1.586056e-13,5.424601e-13,1.358986e-14,3.701210e-14,1.335239e-13,9.420883e-13,4.262308e-12,2.552540e-08,1.971245e-10,2.469063e-12,9.378541e-13,6.084162e-09,5.202293e-12,2.205372e-11,1.029682e-13,6.390291e-11,1.644611e-13,1.305485e-11,4.363060e-12,2.111751e-08,1.519203e-12,6.847292e-13,1.501991e-12,8.144480e-11,1.725197e-12,4.992205e-13,9.186745e-14,1.289359e-12,1.265621e-13,6.798464e-13,8.868128e-13,2.651692e-13,1.181889e-13,1.735020e-13,2.265072e-13,2.209377e-13,1.494694e-13,1.444721e-13,4.385948e-14,4.339892e-13,9.602547e-14,1.421070e-13,2.316189e-13,2.050964e-12,2.888775e-13,1.848698e-13,6.701469e-14,6.590843e-14,1.074505e-13,8.593559e-14,6.472587e-14,5.822182e-14,8.296013e-14,1.784992e-13,1.770115e-13,2.312946e-13,8.622843e-13,3.897387e-13,8.118629e-14,4.839897e-14,6.815910e-14,7.323265e-14,7.081031e-14,1.268291e-13,6.793022e-14,5.400658e-14,2.268791e-14,2.469063e-14,5.387306e-14,1.481056e-14,5.564219e-13,3.079128e-13,4.054069e-14,5.497932e-14,4.061699e-14,3.197670e-14,1.925469e-14,2.079964e-14,4.048348e-14,2.598762e-14,4.195213e-14,4.792214e-14,1.397800e-13,1.730061e-13,5.205637e-13,1.497555e-13,1.936913e-14,1.492500e-14,2.038002e-14,1.128197e-14,2.526283e-14,1.940727e-14,1.755714e-14,2.442360e-14,6.333351e-14,2.926826e-14,4.748344e-14,5.883217e-14,8.153915e-15,4.555702e-14,2.945900e-14,1.768398e-13,2.009392e-14,9.260178e-15,2.522469e-14,1.238823e-14,1.058674e-13,7.115364e-14,4.940986e-14,3.266335e-14,3.502846e-14,3.109932e-14,1.086235e-14,2.655983e-14,3.605843e-14,3.510475e-14,3.767013e-15,5.159378e-15,2.669334e-14,1.614571e-14,3.191948e-14,4.029274e-14,1.000000e-17,1.877785e-14,2.512932e-14,7.257461e-15,3.935814e-14,2.535820e-14,1.608849e-14,2.163887e-14
