#EXPORTTYPE:                 ,DATA ALL                                    
#FILE:                       ,2024_03_13_PS_P40042_Mn_1200_dynamic.ngb-ss5
#FORMAT:                     ,NETZSCH5                                    
#FTYPE:                      ,ASCII                                       
#IDENTITY:                   ,PS-1.2K                                     
#DECIMAL:                    ,POINT                                       
#SEPARATOR:                  ,COMMA                                       
#MTYPE:                      ,DSC                                         
#INSTRUMENT:                 ,NETZSCH STA 449F5                           
#PROJECT:                    ,                                            
#DATE/TIME:                  ,3/14/2024 11:54:37 AM (UTC-4)               
#CORR. FILE:                 ,                                            
#TEMPCAL:                    ,28-06-2023 13:26                            
#SENSITIVITY:                ,28-06-2023 13:53                            
#LABORATORY:                 ,Tran/AAG                                    
#OPERATOR:                   ,Stanley                                     
#REMARK:                     ,                                            
#SAMPLE:                     ,P40042                                      
#SAMPLE MASS /mg:            ,5.69                                        
#MATERIAL:                   ,                                            
#REFERENCE:                  ,-----                                       
#REFERENCE MASS /mg:         ,0                                           
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                           
#SAMPLE CRUCIBLE MASS /mg:   ,0                                           
#REFERENCE CRUCIBLE MASS /mg:,0                                           
#DSC RANGE /‘V:              ,5000                                        
#TG RANGE /mg:               ,35000                                       
#TAU-R:                      ,---                                         
#CORR. CODE:                 ,000                                         
#EXO:                        ,-1                                          
#RANGE:                      ,100›C/1.0(K/min)/400›C                      
#SEGMENT:                    ,S3/4                                        
#SEG. 3:                     ,100›C/1.0(K/min)/400›C                      

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),Sensit./(uV/mW)
107.03000, 21.00000,-3.939993e-03,103.88102,50.00000,20.00000,0.91915
109.03000, 30.34249,      0.17760,103.33993,50.00000,20.00000,0.91857
111.03000, 32.66902,      0.23395,103.36188,50.00000,20.00000,0.91797
113.03000, 34.68583,      0.26164,103.35439,50.00000,20.00000,0.91734
115.03000, 36.60419,      0.27505,103.34507,50.00000,20.00000,0.91669
117.03000, 38.49144,      0.28154,103.31956,50.00000,20.00000,0.91602
119.03000, 40.39063,      0.28238,103.25039,50.00000,20.00000,0.91533
121.03000, 42.31782,      0.28043,103.21301,50.00000,20.00000,0.91461
123.03000, 44.26304,      0.28069,103.16926,50.00000,20.00000,0.91388
125.03000, 46.22532,      0.28151,103.15782,50.00000,20.00000,0.91312
127.03000, 48.20958,      0.28008,103.12374,50.00000,20.00000,0.91235
129.03000, 50.20628,      0.28256,103.09095,50.00000,20.00000,0.91155
131.03000, 52.19852,      0.28400,103.09551,50.00000,20.00000,0.91074
133.03000, 54.20242,      0.28521,103.08102,50.00000,20.00000,0.90990
135.03000, 56.20674,      0.28645,103.07804,50.00000,20.00000,0.90904
137.03000, 58.21324,      0.28896,103.08200,50.00000,20.00000,0.90816
139.03000, 60.21968,      0.28955,103.06887,50.00000,20.00000,0.90727
141.03000, 62.22475,      0.29006,103.09382,50.00000,20.00000,0.90635
143.03000, 64.22353,      0.29301,103.10100,50.00000,20.00000,0.90541
145.03000, 66.22641,      0.29390,103.09373,50.00000,20.00000,0.90446
147.03000, 68.21008,      0.29468,103.09094,50.00000,20.00000,0.90348
149.03000, 70.21184,      0.29413,103.14151,50.00000,20.00000,0.90249
151.03000, 72.20903,      0.29527,103.14952,50.00000,20.00000,0.90148
153.03000, 74.20196,      0.29617,103.17582,50.00000,20.00000,0.90045
155.03000, 76.19816,      0.29698,103.19508,50.00000,20.00000,0.89940
157.03000, 78.19755,      0.29645,103.21846,50.00000,20.00000,0.89833
159.03000, 80.20167,      0.29486,103.21292,50.00000,20.00000,0.89725
161.03000, 82.19002,      0.29844,103.22127,50.00000,20.00000,0.89615
163.03000, 84.19106,      0.29592,103.31546,50.00000,20.00000,0.89503
165.03000, 86.18986,      0.29759,103.35687,50.00000,20.00000,0.89389
167.03000, 88.19059,      0.29847,103.37464,50.00000,20.00000,0.89273
169.03000, 90.18777,      0.30059,103.37680,50.00000,20.00000,0.89156
171.03000, 92.18686,      0.30006,103.40064,50.00000,20.00000,0.89037
173.03000, 94.19453,      0.29844,103.42342,50.00000,20.00000,0.88917
175.03000, 96.19574,      0.29791,103.43754,50.00000,20.00000,0.88794
177.03000, 98.19675,      0.29778,103.47240,50.00000,20.00000,0.88670
179.03000,100.20049,      0.29650,103.51528,50.00000,20.00000,0.88545
181.03000,102.20029,      0.29496,103.54306,50.00000,20.00000,0.88418
183.03000,104.19107,      0.29216,103.56490,50.00000,20.00000,0.88289
185.03000,106.18902,      0.29244,103.61126,50.00000,20.00000,0.88159
187.03000,108.18740,      0.29210,103.61251,50.00000,20.00000,0.88027
189.03000,110.18470,      0.28680,103.61892,50.00000,20.00000,0.87894
191.03000,112.19077,      0.28582,103.64345,50.00000,20.00000,0.87759
193.03000,114.19539,      0.28402,103.68719,50.00000,20.00000,0.87623
195.03000,116.19529,      0.28381,103.65985,50.00000,20.00000,0.87485
197.03000,118.19040,      0.28066,103.65294,50.00000,20.00000,0.87346
199.03000,120.19363,      0.27707,103.65433,50.00000,20.00000,0.87206
201.03000,122.19770,      0.27366,103.68829,50.00000,20.00000,0.87064
203.03000,124.20368,      0.27365,103.67635,50.00000,20.00000,0.86920
205.03000,126.19852,      0.27260,103.67674,50.00000,20.00000,0.86776
207.03000,128.18736,      0.27117,103.71907,50.00000,20.00000,0.86630
209.03000,130.18590,      0.26554,103.72399,50.00000,20.00000,0.86482
211.03000,132.18491,      0.26293,103.71609,50.00000,20.00000,0.86334
213.03000,134.20560,      0.25957,103.71624,50.00000,20.00000,0.86184
215.03000,136.20327,      0.25704,103.70431,50.00000,20.00000,0.86033
217.03000,138.20307,      0.25210,103.67632,50.00000,20.00000,0.85880
219.03000,140.20634,      0.25191,103.66928,50.00000,20.00000,0.85726
221.03000,142.19977,      0.24805,103.64638,50.00000,20.00000,0.85572
223.03000,144.19627,      0.24350,103.64439,50.00000,20.00000,0.85416
225.03000,146.19819,      0.23844,103.62056,50.00000,20.00000,0.85258
227.03000,148.19619,      0.24641,103.62142,50.00000,20.00000,0.85100
229.03000,150.19582,      0.24359,103.58251,50.00000,20.00000,0.84941
231.03000,152.19769,      0.23675,103.54513,50.00000,20.00000,0.84780
233.03000,154.19874,      0.23216,103.52320,50.00000,20.00000,0.84618
235.03000,156.19881,      0.23021,103.48137,50.00000,20.00000,0.84456
237.03000,158.20502,      0.22495,103.46179,50.00000,20.00000,0.84292
239.03000,160.20436,      0.22123,103.41179,50.00000,20.00000,0.84127
241.03000,162.20681,      0.21276,103.37941,50.00000,20.00000,0.83962
243.03000,164.20552,      0.20941,103.32326,50.00000,20.00000,0.83795
245.03000,166.20772,      0.20474,103.24425,50.00000,20.00000,0.83627
247.03000,168.20678,      0.19764,103.17919,50.00000,20.00000,0.83459
249.03000,170.21089,      0.19210,103.13081,50.00000,20.00000,0.83289
251.03000,172.21477,      0.18608,103.07099,50.00000,20.00000,0.83119
253.03000,174.21120,      0.17970,102.99750,50.00000,20.00000,0.82947
255.03000,176.21957,      0.17594,102.90227,50.00000,20.00000,0.82775
257.03000,178.22015,      0.16779,102.85729,50.00000,20.00000,0.82602
