#EXPORTTYPE:                 ,DATA ALL                                 
#FILE:                       ,2024_03_13_Styrofoam-SCF3_dynamic.ngb-ss5
#FORMAT:                     ,NETZSCH5                                 
#FTYPE:                      ,ANSI                                     
#IDENTITY:                   ,Styrofoam-SCF3                           
#DECIMAL:                    ,POINT                                    
#SEPARATOR:                  ,COMMA                                    
#MTYPE:                      ,TIC                                      
#INSTRUMENT:                 ,NETZSCH STA 449F5                        
#PROJECT:                    ,                                         
#DATE/TIME:                  ,3/15/2024 4:44:01 AM (UTC-4)             
#CORR. FILE:                 ,                                         
#TEMPCAL:                    ,28-06-2023 13:26                         
#SENSITIVITY:                ,28-06-2023 13:53                         
#LABORATORY:                 ,Tran/AAG                                 
#OPERATOR:                   ,Stanley                                  
#REMARK:                     ,                                         
#SAMPLE:                     ,005a-F4                                  
#SAMPLE MASS /mg:            ,5.42                                     
#MATERIAL:                   ,                                         
#REFERENCE:                  ,-----                                    
#REFERENCE MASS /mg:         ,0                                        
#TYPE OF CRUCIBLE:           ,Al2O3 85 µl, open                        
#SAMPLE CRUCIBLE MASS /mg:   ,0                                        
#REFERENCE CRUCIBLE MASS /mg:,0                                        
#DSC RANGE /µV:              ,5000                                     
#TG RANGE /mg:               ,35000                                    
                             ,                                         

##Temp./°C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 32.00700,  0.01344,5.903946e-12,5.841175e-10,5.222994e-11,2.030098e-10,2.356529e-12,1.882648e-09,1.798534e-13,3.534800e-13,3.281593e-14,5.084038e-14,1.514912e-13,8.961016e-13,4.367175e-12,2.313607e-08,1.782417e-10,2.310753e-12,8.816630e-13,5.541712e-09,4.633904e-12,1.990795e-11,1.245785e-13,7.440668e-11,2.080059e-13,1.525211e-11,5.200386e-12,2.387555e-08,2.924919e-12,1.231194e-12,1.477242e-12,6.478411e-11,1.360893e-12,3.888804e-13,8.854866e-14,1.050960e-12,1.324940e-13,6.300837e-13,8.823878e-13,2.382946e-13,2.464771e-13,2.283382e-13,8.613878e-13,1.849815e-12,2.274799e-13,1.358890e-13,4.096031e-14,3.279597e-13,8.233070e-14,1.486301e-13,2.027416e-13,1.615173e-12,1.717091e-13,1.703167e-13,1.467991e-13,1.183605e-13,6.631952e-13,1.111507e-13,1.163578e-13,4.889488e-14,9.736061e-14,1.438046e-13,1.559734e-13,1.882458e-13,7.365137e-13,4.027277e-13,1.081753e-13,5.892753e-14,8.076668e-14,6.546974e-14,1.084995e-13,9.597695e-13,9.800911e-14,6.457329e-14,5.326271e-14,3.586769e-14,3.413200e-14,3.886223e-14,2.147388e-13,1.149845e-13,2.324104e-14,5.763054e-14,3.216743e-14,3.949165e-14,6.192207e-14,4.582405e-14,4.473686e-14,2.951622e-14,2.381325e-14,6.867408e-14,1.691914e-13,2.185535e-13,3.857714e-13,1.414204e-13,3.430367e-14,3.069877e-14,2.839088e-14,3.035545e-14,2.739906e-14,2.022743e-14,2.795219e-14,2.949715e-14,3.933907e-14,2.081871e-14,4.656792e-14,6.840706e-14,2.879143e-14,4.294395e-14,3.989220e-14,1.449299e-13,3.178597e-14,1.067162e-14,2.100944e-14,1.154900e-14,9.524345e-14,9.829521e-14,2.003670e-14,2.543449e-14,2.963066e-14,8.687973e-15,2.230644e-14,1.811028e-14,3.129005e-14,1.639366e-14,1.194954e-14,1.763344e-14,3.979683e-14,1.082420e-14,4.429817e-14,5.337715e-14,2.034187e-14,1.393318e-14,4.075050e-14,1.738548e-14,3.531456e-14,2.560615e-14,2.299309e-14,2.470970e-14
 31.99600,  0.19317,5.920044e-12,5.862938e-10,5.250651e-11,2.048141e-10,2.291679e-12,1.894283e-09,1.497936e-13,4.044253e-13,1.938820e-14,4.120827e-14,1.230335e-13,9.273439e-13,4.403204e-12,2.319481e-08,1.774788e-10,2.263069e-12,8.814341e-13,5.553156e-09,4.662513e-12,1.981640e-11,1.078701e-13,7.475382e-11,1.784420e-13,1.544094e-11,5.431175e-12,2.424481e-08,2.837181e-12,1.158714e-12,1.484871e-12,6.428820e-11,1.414299e-12,3.834635e-13,8.444786e-14,1.050559e-12,1.048565e-13,5.799586e-13,8.818728e-13,2.800846e-13,2.363872e-13,2.566051e-13,8.070284e-13,1.843921e-12,2.066135e-13,1.157665e-13,1.404762e-14,3.490931e-13,8.278846e-14,1.101208e-13,1.728153e-13,1.579601e-12,1.929951e-13,1.786137e-13,1.527500e-13,1.086140e-13,5.569560e-13,9.764671e-14,5.038261e-14,3.296852e-14,8.124352e-14,1.499653e-13,1.300907e-13,2.294636e-13,7.293039e-13,3.440386e-13,7.645607e-14,5.181312e-14,7.615089e-14,3.188133e-14,7.178307e-14,9.312922e-13,9.493828e-14,2.947807e-14,3.020286e-14,2.408028e-14,6.579399e-14,5.011559e-14,2.587986e-13,1.068592e-13,2.957344e-14,5.410194e-14,3.146171e-14,1.551628e-14,3.146171e-14,3.422737e-14,1.288414e-14,7.104874e-15,4.389763e-14,7.836342e-14,1.325130e-13,2.266407e-13,4.224306e-13,1.141643e-13,3.144264e-14,7.867813e-15,1.591682e-14,4.010201e-14,5.009651e-14,2.451897e-14,1.000000e-17,5.177498e-14,5.591393e-14,3.581047e-14,3.979683e-14,5.732536e-14,1.587868e-14,3.893852e-14,9.126663e-15,1.356792e-13,2.745628e-14,5.383491e-14,2.381325e-14,3.638267e-14,7.664681e-14,7.271766e-14,3.911018e-14,4.895210e-14,1.694679e-14,3.806114e-14,4.854202e-15,1.000000e-17,1.217842e-14,2.139091e-14,6.971359e-15,9.450912e-15,3.588676e-14,3.415108e-14,1.610756e-14,3.100395e-14,3.638267e-14,1.811028e-14,2.310753e-14,2.610207e-14,2.554893e-14,1.732826e-14,7.085800e-15,4.733086e-14
 32.00200,  0.36700,5.961300e-12,5.858589e-10,5.264955e-11,2.053539e-10,2.404213e-12,1.905346e-09,1.386738e-13,4.284960e-13,1.252174e-14,5.093574e-14,9.016990e-14,8.743769e-13,4.238276e-12,2.324383e-08,1.765251e-10,2.308845e-12,8.104807e-13,5.508715e-09,4.712105e-12,1.997852e-11,9.003639e-14,7.467371e-11,1.884556e-13,1.518154e-11,5.383491e-12,2.415917e-08,2.894402e-12,1.172066e-12,1.471519e-12,6.461816e-11,1.349449e-12,4.132182e-13,8.593559e-14,1.006137e-12,1.209927e-13,5.866915e-13,8.688837e-13,2.570248e-13,2.054501e-13,2.596378e-13,8.337122e-13,1.921265e-12,2.242947e-13,1.449490e-13,3.182411e-14,3.007603e-13,5.524635e-14,1.071453e-13,1.731777e-13,1.511298e-12,1.451588e-13,1.737118e-13,1.206303e-13,1.339626e-13,6.308657e-13,9.253502e-14,6.421089e-14,3.539085e-14,1.080418e-13,1.636600e-13,1.350498e-13,2.238750e-13,7.248408e-13,3.629023e-13,1.067829e-13,4.965782e-14,5.639076e-14,8.252144e-14,1.191997e-13,9.006792e-13,1.030636e-13,4.036903e-14,2.840996e-14,2.020836e-14,7.533073e-14,2.963066e-14,1.908588e-13,8.664131e-14,4.521370e-14,2.909660e-14,4.248619e-14,4.132271e-14,2.642631e-14,3.233909e-14,2.488136e-14,4.303932e-14,1.305580e-14,7.460594e-14,1.809597e-13,2.448940e-13,4.210955e-13,1.121616e-13,2.617836e-14,3.333092e-14,1.761437e-14,3.993034e-14,2.207756e-14,4.298210e-14,1.353264e-14,1.616478e-14,3.891945e-14,2.873421e-14,4.834175e-14,3.344536e-14,1.688957e-14,6.417275e-14,1.115799e-15,1.494122e-13,3.121376e-14,3.914833e-14,1.002312e-14,5.236626e-14,1.065159e-13,1.009464e-13,4.168510e-14,3.016472e-14,1.965523e-14,1.166344e-14,3.741264e-14,1.908302e-14,1.091957e-14,1.242638e-14,1.273155e-14,4.391670e-14,4.320145e-15,1.425743e-14,2.062797e-14,5.009651e-14,1.177788e-14,1.988411e-14,1.427650e-14,2.840996e-14,3.973961e-14,4.450798e-14,1.988411e-14,4.811287e-14
 32.04200,  0.54108,5.714451e-12,5.817753e-10,5.276209e-11,2.050983e-10,2.381325e-12,1.897717e-09,1.455784e-13,3.520304e-13,6.494522e-15,6.119728e-14,9.203911e-14,9.023386e-13,4.269499e-12,2.315877e-08,1.763344e-10,2.327919e-12,8.298784e-13,5.508906e-09,4.696846e-12,2.018261e-11,1.362324e-13,7.509524e-11,1.562405e-13,1.538944e-11,5.331993e-12,2.416241e-08,2.844810e-12,1.235008e-12,1.368523e-12,6.479173e-11,1.404762e-12,4.202563e-13,9.139061e-14,1.055995e-12,9.474754e-14,6.001955e-13,8.161837e-13,2.487659e-13,2.200031e-13,2.803135e-13,8.036143e-13,1.850139e-12,2.075481e-13,1.250553e-13,4.689217e-14,3.658015e-13,8.656502e-14,8.904457e-14,1.682377e-13,1.505252e-12,2.208233e-13,1.666546e-13,1.607609e-13,1.369572e-13,5.560786e-13,8.179664e-14,1.005650e-13,5.864143e-14,6.773949e-14,1.664638e-13,1.374531e-13,2.088070e-13,6.833750e-13,3.692728e-13,8.608818e-14,4.675865e-14,6.627083e-14,6.131172e-14,7.664681e-14,9.241968e-13,9.259224e-14,4.708290e-14,3.922463e-14,5.023003e-14,4.780769e-14,2.331734e-14,2.292728e-13,1.031590e-13,1.297951e-14,3.788948e-14,3.155708e-14,2.251625e-14,2.945900e-14,4.124642e-14,2.726555e-14,3.165245e-14,4.111290e-14,4.433632e-14,1.136303e-13,2.368450e-13,3.566843e-13,1.179218e-13,4.481316e-14,5.817413e-16,3.832817e-14,2.927780e-15,6.503105e-14,1.749992e-14,2.448082e-14,7.638931e-15,6.138801e-14,3.180504e-14,5.953788e-14,5.343437e-14,1.622200e-14,3.022194e-14,3.478050e-14,1.628017e-13,1.894951e-14,1.593590e-14,1.915932e-14,1.688957e-14,1.064014e-13,1.064777e-13,4.546165e-14,3.815651e-14,6.570816e-15,1.801491e-14,2.766609e-14,2.455711e-14,2.823830e-14,2.158165e-14,2.251625e-14,2.732277e-14,1.267433e-14,5.540848e-15,5.140305e-15,5.105018e-14,4.687309e-14,2.100944e-14,1.593590e-14,2.272606e-14,3.405571e-14,4.477501e-14,2.532005e-14,1.936913e-14
 32.08300,  0.72195,5.670200e-12,5.822521e-10,5.249125e-11,2.046444e-10,2.438545e-12,1.893902e-09,1.369953e-13,3.721529e-13,1.000000e-17,3.623009e-14,1.048946e-13,8.791262e-13,4.367346e-12,2.300446e-08,1.763344e-10,2.266884e-12,7.955271e-13,5.506045e-09,4.820823e-12,1.968288e-11,9.995460e-14,7.529741e-11,1.780033e-13,1.561451e-11,5.204201e-12,2.431729e-08,2.842903e-12,1.202583e-12,1.484871e-12,6.421381e-11,1.330376e-12,4.357630e-13,6.272316e-14,1.023265e-12,1.059246e-13,6.283480e-13,8.025080e-13,2.681446e-13,2.157879e-13,2.605915e-13,8.165270e-13,1.882126e-12,1.967526e-13,1.137638e-13,6.566048e-14,3.592593e-13,3.663063e-14,7.582665e-14,1.558781e-13,1.517535e-12,1.798534e-13,1.213741e-13,1.438046e-13,1.321125e-13,5.488879e-13,7.523536e-14,6.268501e-14,4.017830e-14,7.798195e-14,1.016140e-13,1.481724e-13,1.869678e-13,7.694155e-13,3.855806e-13,8.938790e-14,4.296303e-14,8.028984e-14,5.679131e-14,9.490013e-14,9.604561e-13,8.828163e-14,4.162788e-14,2.076149e-14,4.712105e-14,5.099297e-14,2.171516e-14,2.086925e-13,1.227856e-13,2.840996e-14,4.385948e-14,3.655434e-14,2.308845e-14,3.916740e-14,3.161430e-14,3.182411e-14,7.925033e-15,3.695488e-14,2.915382e-14,1.628590e-13,2.670765e-13,4.073626e-13,1.064396e-13,2.989769e-14,2.051353e-14,1.845360e-14,1.132011e-14,3.222465e-14,4.275322e-14,3.995895e-15,1.353264e-14,3.819466e-14,5.059242e-14,3.935814e-14,3.491402e-14,1.978874e-14,6.494522e-15,3.405571e-14,1.268101e-13,2.198219e-14,2.360344e-14,1.563072e-14,2.282143e-14,8.206368e-14,8.671761e-14,4.036903e-14,7.486343e-15,1.999855e-14,2.858162e-14,1.290321e-14,3.010750e-14,2.131462e-14,1.748085e-14,2.017021e-14,2.039909e-14,1.383781e-14,3.293037e-14,3.483772e-14,5.188942e-14,1.000000e-17,2.308845e-14,1.378059e-14,2.993584e-14,3.920555e-14,8.516312e-15,5.216599e-15,1.828194e-14
 32.12400,  0.90282,6.080853e-12,5.802532e-10,5.257135e-11,2.034790e-10,2.419472e-12,1.901722e-09,1.488781e-13,3.566843e-13,1.969337e-14,2.682686e-14,1.493168e-13,9.264284e-13,4.384627e-12,2.310670e-08,1.763344e-10,2.221107e-12,8.315950e-13,5.501658e-09,4.754066e-12,1.965809e-11,1.241779e-13,7.529169e-11,1.658916e-13,1.543903e-11,5.379677e-12,2.435258e-08,2.850533e-12,1.194954e-12,1.463890e-12,6.432825e-11,1.404762e-12,4.509646e-13,7.451057e-14,1.068641e-12,1.089001e-13,5.568605e-13,8.853632e-13,2.839184e-13,2.266789e-13,2.749920e-13,8.693797e-13,1.828491e-12,2.242374e-13,1.253796e-13,5.482674e-14,3.434282e-13,7.868767e-14,8.879661e-14,1.606846e-13,1.420528e-12,1.688862e-13,1.559734e-13,1.303959e-13,1.144314e-13,5.674273e-13,1.087856e-13,6.930351e-14,5.661964e-14,5.694389e-14,1.529217e-13,1.240826e-13,2.224636e-13,7.129389e-13,4.297739e-13,9.881019e-14,6.344795e-14,6.468773e-14,4.866600e-14,9.318352e-14,9.552681e-13,9.242058e-14,7.447242e-14,4.235268e-14,2.907753e-14,5.883217e-14,4.157066e-14,2.487659e-13,1.119137e-13,2.200127e-14,4.981041e-14,3.264427e-14,2.789497e-14,3.050804e-14,4.508018e-14,1.000000e-17,2.875328e-14,2.434730e-14,5.604744e-14,1.156330e-13,2.544117e-13,4.242998e-13,1.372433e-13,3.254890e-14,2.474785e-14,1.061440e-14,5.636215e-15,4.761696e-14,2.400398e-14,1.915932e-14,1.116753e-14,5.061150e-14,2.766609e-14,3.590584e-14,2.556801e-14,2.352714e-14,4.841805e-14,8.325577e-15,1.355267e-13,6.723404e-15,1.755714e-14,4.956245e-14,3.098488e-14,8.627892e-14,8.032799e-14,3.659248e-14,1.543999e-14,3.361702e-14,4.824638e-14,1.376152e-14,1.782417e-14,3.557205e-15,1.013756e-14,1.347542e-14,1.000000e-17,4.031181e-14,1.080513e-14,5.731583e-15,4.616737e-14,5.044937e-15,9.946823e-15,1.000000e-17,3.115654e-14,1.343727e-14,2.345085e-14,1.774788e-14,3.148079e-14
 32.20800,  1.07604,5.860974e-12,5.799977e-10,5.279642e-11,2.047531e-10,2.392769e-12,1.924038e-09,1.317120e-13,3.459650e-13,1.349449e-14,4.622459e-14,8.782387e-14,9.006029e-13,4.376272e-12,2.292130e-08,1.765251e-10,2.299309e-12,8.097941e-13,5.490405e-09,4.672051e-12,1.958942e-11,1.173306e-13,7.587152e-11,1.885509e-13,1.513386e-11,5.167961e-12,2.447464e-08,2.892494e-12,1.130104e-12,1.423836e-12,6.513125e-11,1.353264e-12,3.930384e-13,6.495476e-14,9.759057e-13,8.597374e-14,6.148440e-13,8.264452e-13,2.487469e-13,2.433491e-13,2.497959e-13,8.166224e-13,1.841804e-12,2.014828e-13,1.141643e-13,3.731728e-14,3.795916e-13,7.119178e-14,9.621620e-14,1.541614e-13,1.578438e-12,1.645756e-13,1.288128e-13,1.117802e-13,1.088619e-13,5.519777e-13,8.292198e-14,5.915642e-14,2.978325e-14,7.294655e-14,1.655102e-13,1.494122e-13,2.157116e-13,7.269389e-13,3.534227e-13,7.893562e-14,7.199287e-14,8.646965e-14,7.939339e-14,9.020805e-14,9.682953e-13,1.311779e-13,4.599571e-14,2.087593e-14,3.277779e-14,5.606651e-14,2.732277e-14,2.105999e-13,8.774757e-14,6.971359e-15,8.572579e-14,3.092766e-14,4.124642e-14,2.795219e-14,1.152992e-14,2.800941e-14,3.550529e-14,6.971359e-15,1.822472e-14,1.518726e-13,2.347088e-13,4.041773e-13,1.276875e-13,1.477242e-14,2.358437e-14,3.756523e-14,5.223274e-14,4.534721e-14,1.355171e-14,2.951622e-14,2.419472e-14,4.427910e-14,1.835823e-14,3.886223e-14,4.332542e-14,1.955986e-14,4.027367e-14,4.568100e-15,9.741783e-14,3.081322e-14,2.343178e-14,6.151199e-15,2.888679e-14,1.048183e-13,5.970955e-14,3.836632e-14,1.000000e-17,1.717568e-14,3.022194e-14,1.029015e-14,2.190590e-14,2.085686e-14,2.530098e-14,4.796982e-15,1.000404e-14,2.032280e-14,1.910210e-14,4.873276e-15,3.235817e-14,2.348900e-14,3.401756e-14,4.281998e-15,4.042625e-14,2.970695e-14,2.068520e-14,3.325462e-14,1.498222e-14
 32.32800,  1.25140,5.861584e-12,5.765319e-10,5.191332e-11,2.052280e-10,2.495766e-12,1.920033e-09,1.373386e-13,3.948694e-13,2.450943e-15,2.526283e-14,8.641243e-14,9.048754e-13,4.394755e-12,2.291844e-08,1.763344e-10,2.240181e-12,8.311373e-13,5.451494e-09,4.721641e-12,1.962566e-11,1.162624e-13,7.574755e-11,1.315785e-13,1.563740e-11,5.375862e-12,2.433960e-08,2.816200e-12,1.164436e-12,1.534462e-12,6.462389e-11,1.383781e-12,3.858858e-13,7.090568e-14,1.011783e-12,1.110554e-13,6.080729e-13,8.176142e-13,2.460957e-13,1.799297e-13,2.949047e-13,8.241564e-13,1.852905e-12,1.774311e-13,1.121616e-13,3.600120e-14,3.680903e-13,7.012367e-14,7.002831e-14,1.490688e-13,1.547881e-12,1.780987e-13,1.439762e-13,1.513386e-13,9.789467e-14,5.920702e-13,9.163856e-14,6.855965e-14,6.573677e-14,7.618904e-14,1.383495e-13,1.364803e-13,1.798344e-13,7.359988e-13,3.810984e-13,9.530067e-14,5.003929e-14,7.420540e-14,4.843712e-14,6.346703e-14,9.594834e-13,1.007938e-13,5.261421e-14,3.491402e-14,2.402306e-14,5.080223e-14,2.800941e-14,1.994419e-13,1.049137e-13,3.039360e-14,4.975319e-14,3.455162e-14,3.827095e-14,2.112389e-14,5.712509e-15,1.761437e-14,2.678871e-14,2.802849e-14,4.046440e-14,1.180553e-13,2.770138e-13,4.157358e-13,1.055241e-13,1.093864e-14,2.908707e-15,5.692482e-14,3.842354e-14,3.603935e-14,4.117012e-14,1.639366e-14,3.998756e-14,7.565498e-14,1.841545e-14,4.994392e-14,2.968788e-14,3.542900e-14,3.899574e-14,1.368523e-14,1.315021e-13,2.705574e-14,1.000000e-17,8.783340e-15,2.038002e-14,7.618904e-14,6.987572e-14,3.817558e-14,3.481865e-14,3.338814e-14,2.364159e-14,1.511574e-14,2.757072e-14,1.231194e-14,4.968643e-15,2.379417e-14,4.101753e-14,4.426003e-14,2.060890e-14,2.829552e-14,3.682137e-14,1.000000e-17,1.820564e-14,2.026558e-14,1.498222e-14,1.656532e-14,2.068520e-14,1.742363e-14,6.008148e-16
 32.37400,  1.42447,5.750538e-12,5.766273e-10,5.206209e-11,2.047436e-10,2.474785e-12,1.920414e-09,1.723576e-13,3.931338e-13,1.000000e-17,4.775047e-14,9.552955e-14,8.279139e-13,4.398226e-12,2.291958e-08,1.746178e-10,2.276421e-12,8.813387e-13,5.457216e-09,4.666328e-12,1.952076e-11,8.461952e-14,7.598788e-11,1.763439e-13,1.546574e-11,5.379677e-12,2.461293e-08,2.903938e-12,1.189232e-12,1.435280e-12,6.459146e-11,1.391411e-12,3.762537e-13,5.404472e-14,9.934723e-13,9.581566e-14,5.856424e-13,8.044535e-13,2.152348e-13,2.141094e-13,2.786159e-13,8.673388e-13,1.854355e-12,2.209377e-13,1.261044e-13,5.694389e-14,3.533655e-13,5.938530e-14,1.124096e-13,1.786137e-13,1.534988e-12,1.764393e-13,1.684093e-13,1.121807e-13,1.202106e-13,5.875116e-13,9.850502e-14,5.246162e-14,5.848884e-14,9.030342e-14,1.867962e-13,1.481152e-13,2.204037e-13,7.413012e-13,4.396158e-13,9.453773e-14,3.008842e-14,7.353783e-14,5.307197e-14,6.714821e-14,9.167391e-13,1.127911e-13,2.415657e-14,2.936363e-14,4.176140e-14,6.377220e-14,3.981590e-14,1.929379e-13,9.669304e-14,2.532005e-14,2.800941e-14,2.781868e-14,1.454353e-14,1.849175e-14,2.661705e-14,4.225731e-14,3.994942e-14,1.116753e-14,4.330635e-14,1.643658e-13,2.097034e-13,4.028040e-13,8.547783e-14,5.559921e-15,2.106666e-14,2.669334e-14,2.142906e-14,4.786491e-14,2.413750e-14,2.131462e-14,2.339363e-14,4.618645e-14,3.623009e-14,2.665520e-14,3.321647e-14,6.194115e-14,1.843453e-14,1.639366e-14,1.205921e-13,1.418114e-14,2.417564e-14,2.619743e-14,3.649711e-14,8.215904e-14,6.478310e-14,2.316475e-14,1.889229e-14,1.408577e-14,1.399040e-14,7.905960e-15,1.933098e-14,3.266335e-14,8.134842e-15,1.488686e-14,1.742363e-14,2.642631e-14,1.036644e-14,3.991127e-14,3.277779e-14,2.142906e-14,3.523826e-14,3.540993e-14,2.469063e-14,2.448082e-14,2.314568e-14,1.206398e-14,2.720833e-14
 32.49600,  1.60197,5.745006e-12,5.738082e-10,5.184084e-11,2.037136e-10,2.360344e-12,1.915646e-09,1.685429e-13,4.210764e-13,1.000000e-17,4.323006e-14,1.339245e-13,8.805758e-13,4.346327e-12,2.295220e-08,1.748085e-10,2.219200e-12,7.930094e-13,5.429560e-09,4.679680e-12,1.961040e-11,7.994652e-14,7.612139e-11,1.736927e-13,1.579761e-11,5.337715e-12,2.459748e-08,2.913475e-12,1.276970e-12,1.461983e-12,6.437212e-11,1.395226e-12,3.478342e-13,7.475853e-14,9.687531e-13,1.098537e-13,5.648142e-13,8.578021e-13,2.220058e-13,1.818562e-13,2.859783e-13,7.961565e-13,1.898796e-12,1.803493e-13,1.055050e-13,3.565788e-14,3.322893e-13,4.155159e-14,9.123802e-14,1.626301e-13,1.501685e-12,1.704121e-13,1.609325e-13,1.228046e-13,1.142406e-13,6.196505e-13,7.319450e-14,7.178307e-14,4.075050e-14,7.670402e-14,1.761913e-13,1.684284e-13,1.928043e-13,7.818514e-13,3.722483e-13,8.791923e-14,6.234169e-14,4.714012e-14,9.352684e-14,1.023960e-13,8.882242e-13,9.848594e-14,4.441261e-14,5.354881e-14,3.773689e-14,5.467415e-14,6.321907e-14,1.978016e-13,1.204205e-13,3.296852e-14,4.080772e-14,3.331184e-14,2.682686e-14,3.933907e-14,2.629280e-14,2.474785e-14,1.000000e-17,2.165794e-14,5.843163e-14,1.295567e-13,2.173519e-13,3.773600e-13,9.467125e-14,3.819466e-14,1.507759e-14,1.408577e-14,2.804756e-14,2.603531e-15,3.359794e-14,1.664162e-14,1.212120e-14,5.820274e-14,3.653526e-14,2.164841e-15,3.903389e-14,3.077507e-14,3.735542e-14,3.300667e-14,1.323795e-13,5.083084e-15,3.897667e-14,2.444267e-14,1.116753e-14,1.049900e-13,7.224083e-14,2.148628e-14,3.067970e-14,2.145767e-15,3.042221e-15,2.308845e-14,2.200127e-14,1.555443e-14,3.123283e-14,7.534027e-16,9.145737e-15,2.398491e-14,6.017685e-15,2.779961e-14,2.081871e-14,3.499031e-14,3.805160e-15,2.844811e-14,1.872063e-14,1.925469e-14,2.467155e-14,7.028580e-15,2.129555e-14
