#EXPORTTYPE:                 ,DATA ALL                                                                                        
#FILE:                       ,2024_03_27_PS-SCF3_P40042_rGPC_Mn_1200_350C_isotherm_1pt_min_SCB_with_100C_stabilization.ngb-ss5
#FORMAT:                     ,NETZSCH5                                                                                        
#FTYPE:                      ,ANSI                                                                                            
#IDENTITY:                   ,polystyrene-scf3                                                                                
#DECIMAL:                    ,POINT                                                                                           
#SEPARATOR:                  ,COMMA                                                                                           
#MTYPE:                      ,TIC                                                                                             
#INSTRUMENT:                 ,NETZSCH STA 449F5                                                                               
#PROJECT:                    ,PS-SCF3                                                                                         
#DATE/TIME:                  ,3/27/2024 1:25:16 PM (UTC-4)                                                                    
#CORR. FILE:                 ,                                                                                                
#TEMPCAL:                    ,28-06-2023 13:26                                                                                
#SENSITIVITY:                ,28-06-2023 13:53                                                                                
#LABORATORY:                 ,Tran/AAG                                                                                        
#OPERATOR:                   ,Stanley                                                                                         
#REMARK:                     ,                                                                                                
#SAMPLE:                     ,005a-F1v2-rGPC                                                                                  
#SAMPLE MASS /mg:            ,3.19                                                                                            
#MATERIAL:                   ,                                                                                                
#REFERENCE:                  ,-----                                                                                           
#REFERENCE MASS /mg:         ,0                                                                                               
#TYPE OF CRUCIBLE:           ,Al2O3 85 µl, open                                                                               
#SAMPLE CRUCIBLE MASS /mg:   ,0                                                                                               
#REFERENCE CRUCIBLE MASS /mg:,0                                                                                               
#DSC RANGE /µV:              ,5000                                                                                            
#TG RANGE /mg:               ,35000                                                                                           
                             ,                                                                                                

##Temp./°C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 27.73200,  0.01363,5.363002e-12,5.552840e-10,3.945643e-11,1.498634e-10,2.186775e-12,1.818180e-09,1.448154e-13,4.339510e-13,3.865242e-14,4.660606e-14,1.349163e-13,6.707865e-13,2.788975e-12,2.179462e-08,1.627922e-10,2.297401e-12,7.198626e-13,4.977327e-09,4.294395e-12,1.747990e-11,1.254559e-13,7.214266e-11,1.231289e-13,1.480961e-11,4.078865e-12,2.355359e-08,1.143455e-12,3.640658e-13,7.822138e-13,7.487589e-11,1.259804e-12,4.280955e-13,7.651329e-14,6.183153e-13,8.963585e-14,1.696491e-13,1.595402e-13,9.701729e-14,4.889488e-14,1.330280e-13,7.107735e-14,7.554054e-14,6.970406e-14,1.028728e-13,4.895210e-14,1.934910e-13,4.765511e-14,6.352425e-14,6.909370e-14,8.051974e-13,7.588387e-14,1.041508e-13,7.891655e-14,6.180764e-14,3.256798e-14,8.294105e-14,5.896568e-14,3.045082e-14,6.031990e-14,7.639885e-14,8.084297e-14,8.082390e-14,1.782322e-13,1.021862e-13,5.141258e-14,3.302574e-14,7.142067e-14,4.004478e-14,4.708290e-14,5.568504e-14,5.715370e-14,3.626823e-14,5.150795e-14,3.642082e-14,4.031181e-14,3.834724e-14,4.427910e-14,4.263878e-14,2.463341e-14,3.600120e-14,3.033638e-14,4.162788e-14,4.628182e-14,3.129005e-14,3.125191e-14,4.832268e-14,3.750801e-14,4.038811e-14,4.847527e-14,5.930900e-14,6.922722e-14,6.556511e-14,4.410744e-14,2.497673e-14,2.921105e-14,3.451347e-14,4.555702e-14,1.940727e-14,5.312920e-14,2.703667e-14,4.036903e-14,4.212380e-14,4.399300e-14,1.690865e-14,3.977775e-14,4.662514e-14,5.061150e-14,4.220009e-14,5.655289e-15,3.375053e-14,2.808571e-14,5.505562e-14,4.244804e-14,5.085945e-14,4.122734e-14,3.439903e-14,6.121635e-14,5.291939e-14,2.823830e-14,2.968788e-14,2.493858e-14,5.408287e-14,1.713753e-14,2.657890e-14,2.285957e-14,4.212380e-14,2.724647e-14,4.044533e-14,9.069443e-15,2.932548e-14,1.200676e-14,3.518105e-14,6.180764e-14,3.172874e-14,3.071785e-14,2.045631e-14
 28.00500,  0.19001,5.564227e-12,5.698276e-10,3.992182e-11,1.513282e-10,2.230644e-12,1.801395e-09,1.659870e-13,4.362398e-13,1.286507e-14,6.249428e-14,1.250362e-13,6.765276e-13,2.919972e-12,2.181770e-08,1.648903e-10,2.264976e-12,7.288080e-13,5.013758e-09,4.366874e-12,1.782894e-11,1.140690e-13,7.146364e-11,1.024914e-13,1.484394e-11,4.099846e-12,2.318699e-08,1.101494e-12,3.836733e-13,7.783991e-13,7.545382e-11,1.225471e-12,4.007822e-13,6.644249e-14,5.786807e-13,6.268501e-14,1.634121e-13,1.675510e-13,1.014233e-13,5.509376e-14,1.217937e-13,5.677223e-14,7.172584e-14,8.410454e-14,6.768227e-14,4.235268e-14,1.931858e-13,6.239891e-14,7.279396e-14,7.147789e-14,8.513933e-13,3.605843e-14,8.847237e-14,5.417824e-14,5.871773e-14,4.687309e-14,5.295753e-14,5.286217e-14,4.736900e-14,5.688667e-14,4.826546e-14,8.374214e-14,8.328438e-14,1.654148e-13,8.181572e-14,6.535530e-14,3.628731e-14,5.122185e-14,4.292488e-14,5.322456e-14,6.541252e-14,4.069328e-14,4.155159e-14,4.078865e-14,6.666184e-15,1.755714e-14,2.701759e-14,4.189491e-14,3.748894e-14,3.716469e-14,2.638817e-14,1.885414e-14,3.590584e-14,4.704476e-14,5.660057e-14,3.853798e-14,2.348900e-14,1.648903e-14,3.397941e-14,4.504204e-14,5.465508e-14,6.855965e-14,4.660606e-14,3.338814e-14,2.417564e-14,3.083229e-14,2.104759e-14,1.553536e-14,5.120277e-14,2.038002e-14,1.488686e-14,2.314568e-14,2.038002e-14,1.929283e-14,3.649711e-14,2.324104e-14,4.244804e-14,2.800941e-14,5.757332e-14,1.029015e-14,2.276421e-14,1.175880e-14,4.965782e-14,4.931450e-14,4.490852e-14,3.506660e-14,4.248619e-14,3.407478e-14,2.299309e-14,3.827095e-14,2.509117e-14,1.591682e-14,3.422737e-14,3.424644e-14,1.687050e-14,3.748894e-14,1.221657e-14,4.836082e-14,3.432274e-14,3.193855e-14,2.116203e-14,2.903938e-14,3.052711e-14,6.571769e-14,6.379128e-14,1.130104e-14,1.078606e-14
 28.30400,  0.36912,5.755744e-12,5.774894e-10,4.039294e-11,1.523582e-10,2.120018e-12,1.765156e-09,1.460743e-13,3.969485e-13,1.526833e-14,3.287315e-14,1.048946e-13,5.944353e-13,2.925866e-12,2.238114e-08,1.675606e-10,2.240181e-12,7.384974e-13,5.088526e-09,4.391670e-12,1.813030e-11,1.179790e-13,6.979662e-11,9.982109e-14,1.456547e-11,4.034996e-12,2.310746e-08,1.088142e-12,3.704745e-13,8.294970e-13,7.549578e-11,1.223564e-12,4.098421e-13,8.482933e-14,5.487162e-13,7.967949e-14,1.642895e-13,1.385021e-13,8.736610e-14,5.785942e-14,9.171486e-14,6.802559e-14,7.143974e-14,8.591652e-14,9.224891e-14,4.149437e-14,1.939487e-13,4.300118e-14,3.237724e-14,3.619194e-14,8.446223e-13,3.062248e-14,1.072597e-13,5.240440e-14,4.649162e-14,3.415108e-14,6.579399e-14,3.865242e-14,4.675865e-14,8.421898e-14,5.019188e-14,8.231163e-14,8.149147e-14,1.846409e-13,1.075649e-13,2.551079e-14,2.301216e-14,4.519463e-14,2.625465e-14,5.051613e-14,5.288124e-14,2.358437e-14,5.354881e-14,5.188942e-14,3.464699e-14,3.092766e-14,3.115654e-14,6.186485e-14,3.800392e-14,5.276680e-14,3.582954e-14,2.017021e-14,2.587318e-14,7.548332e-14,1.706123e-14,3.266335e-14,3.376961e-14,5.042076e-14,3.497124e-14,4.641533e-14,5.841255e-14,6.447792e-14,7.987023e-14,5.372047e-14,3.117561e-14,5.846024e-15,3.146171e-14,3.907204e-14,4.160881e-14,1.362801e-14,3.987312e-14,3.123283e-14,3.348350e-14,4.878044e-14,2.921105e-14,7.123947e-15,5.791664e-14,5.379677e-14,5.406380e-14,2.606392e-14,1.244545e-14,1.211166e-15,2.873421e-14,3.970146e-14,4.214287e-14,3.142357e-14,1.690865e-14,3.191948e-14,3.777504e-14,1.568794e-14,9.317398e-15,3.918648e-14,1.551628e-14,2.245903e-14,1.406670e-14,1.374245e-14,2.957344e-14,3.113747e-14,4.460335e-14,1.845360e-14,1.534462e-14,2.867699e-14,1.931191e-14,3.680229e-14,2.739906e-14,3.872871e-14,3.596306e-14
 28.57300,  0.54586,5.747238e-12,5.895477e-10,4.043490e-11,1.526252e-10,2.236366e-12,1.737690e-09,1.421833e-13,3.943735e-13,2.898216e-14,3.737450e-14,7.676124e-14,6.707102e-13,2.988008e-12,2.239640e-08,1.704216e-10,2.352714e-12,6.704050e-13,5.166155e-09,4.366874e-12,1.824093e-11,1.251507e-13,6.772333e-11,1.040363e-13,1.399326e-11,4.078865e-12,2.246602e-08,1.059532e-12,3.891283e-13,7.709414e-13,7.545191e-11,1.280785e-12,4.204089e-13,5.526543e-14,5.738550e-13,5.228996e-14,2.036571e-13,1.394177e-13,8.559227e-14,6.358146e-14,8.736610e-14,7.376671e-14,7.311821e-14,5.709648e-14,8.196831e-14,3.994942e-14,2.211857e-13,5.537987e-14,4.963875e-14,5.660057e-14,8.354860e-13,6.005287e-14,1.003742e-13,5.452156e-14,3.666878e-14,5.930900e-14,5.379677e-14,6.791115e-14,5.024910e-14,4.450798e-14,6.670952e-14,5.839348e-14,7.807732e-14,1.455402e-13,6.054878e-14,5.017280e-14,5.171776e-14,3.453255e-14,4.370689e-14,2.066612e-14,4.920006e-14,2.881050e-14,3.983498e-14,2.821922e-14,3.125191e-14,2.976418e-14,2.583504e-14,3.180504e-14,4.231453e-14,4.046440e-14,3.924370e-14,5.818367e-14,1.667976e-14,3.460884e-14,2.737999e-14,2.902031e-14,3.203392e-14,2.663612e-14,3.720284e-14,4.097939e-14,3.344536e-14,5.005836e-14,3.952980e-14,2.741814e-14,1.000000e-17,4.355431e-14,3.211021e-14,3.260612e-14,1.988411e-14,8.554458e-15,2.205849e-14,4.260063e-14,2.993584e-14,4.023552e-14,2.005577e-14,3.941536e-14,3.682137e-14,2.678871e-14,4.767418e-14,6.608963e-15,2.512932e-14,4.151344e-14,3.136635e-14,6.415367e-14,1.301765e-14,1.360893e-14,1.233101e-14,2.474785e-14,1.591682e-14,2.297401e-14,3.367424e-14,1.494408e-14,4.218101e-14,1.000000e-17,3.239632e-14,2.718925e-14,3.886223e-14,3.392220e-14,2.596855e-14,1.000000e-17,1.732826e-14,4.784584e-14,1.135826e-14,1.461983e-14,4.641533e-14,5.216599e-15,3.394127e-14
 28.99400,  0.72619,5.841881e-12,5.980488e-10,3.994471e-11,1.531249e-10,2.099037e-12,1.698208e-09,1.518917e-13,4.502016e-13,1.000000e-17,5.305290e-14,1.203251e-13,7.191950e-13,2.939561e-12,2.284787e-08,1.721382e-10,2.295494e-12,7.269389e-13,5.213648e-09,4.359245e-12,1.845646e-11,1.153469e-13,6.685168e-11,1.023960e-13,1.367664e-11,3.703117e-12,2.215531e-08,1.147270e-12,3.571039e-13,8.083063e-13,7.557779e-11,1.242638e-12,4.017550e-13,5.497932e-14,5.436617e-13,6.981849e-14,1.383877e-13,1.592541e-13,1.085949e-13,6.381035e-14,8.784294e-14,5.585670e-14,4.338265e-14,8.557320e-14,8.395195e-14,5.154610e-14,1.930141e-13,5.763054e-14,4.599571e-14,6.670952e-14,8.520419e-13,6.947517e-14,7.557869e-14,3.821373e-14,4.517555e-14,4.616737e-14,5.370140e-14,3.439903e-14,4.755974e-14,6.037712e-14,4.273415e-14,5.026817e-14,7.567406e-14,1.802540e-13,8.294105e-14,4.038811e-14,4.733086e-14,3.067970e-14,5.564690e-14,2.820015e-14,4.359245e-14,3.745079e-14,3.252983e-14,1.448631e-14,2.982139e-14,3.117561e-14,1.707077e-15,2.903938e-14,1.961708e-14,2.238274e-14,3.621101e-14,3.951073e-14,1.530647e-14,1.666069e-14,3.439903e-14,3.258705e-14,6.818772e-15,2.804756e-14,4.567146e-14,3.880501e-14,3.111839e-14,8.881569e-14,4.017830e-14,3.102303e-14,3.159523e-14,2.213478e-14,2.186775e-14,2.604485e-14,1.897812e-15,4.071236e-14,3.983498e-14,2.478599e-14,2.028465e-14,4.397392e-14,4.595756e-14,1.210213e-14,2.108574e-14,4.628182e-14,5.240440e-14,2.472877e-14,1.765251e-14,2.720833e-14,2.419472e-14,4.462242e-14,3.191948e-14,2.421379e-14,5.617142e-15,1.543999e-14,2.545357e-14,3.258705e-14,1.513481e-14,1.107216e-14,1.555443e-14,3.737450e-14,4.258156e-14,3.457069e-14,2.444267e-14,3.098488e-14,3.527641e-14,2.987862e-14,1.730919e-14,3.853798e-14,1.822472e-14,4.960060e-14,2.585411e-14,4.611015e-14,1.774788e-14
 29.50600,  0.90545,5.944096e-12,6.082188e-10,4.019075e-11,1.509544e-10,2.100944e-12,1.656437e-09,1.264286e-13,4.197222e-13,1.230240e-15,6.321907e-14,8.784294e-14,6.590372e-13,2.923482e-12,2.324574e-08,1.755714e-10,2.243996e-12,7.147127e-13,5.326945e-09,4.565239e-12,1.855946e-11,1.233196e-13,6.528765e-11,1.043415e-13,1.361561e-11,3.634453e-12,2.174007e-08,1.078606e-12,3.849131e-13,7.642847e-13,7.537752e-11,1.248360e-12,4.161173e-13,5.475044e-14,5.515963e-13,7.607460e-14,1.672077e-13,1.598453e-13,9.659767e-14,3.930092e-14,1.031399e-13,7.580757e-14,6.266594e-14,4.382133e-14,1.008129e-13,1.982689e-14,1.986980e-13,6.657600e-14,4.578591e-14,7.716179e-14,9.295565e-13,4.782677e-14,5.063057e-14,2.432823e-14,5.646706e-14,6.457329e-14,5.265236e-14,5.354881e-14,5.398750e-14,4.191399e-14,4.761696e-14,4.714012e-14,6.060600e-14,1.347446e-13,9.903908e-14,3.682137e-14,3.567696e-14,3.632546e-14,4.570961e-14,3.691673e-14,4.944801e-14,3.813743e-14,5.261421e-14,3.628731e-14,2.354622e-14,3.069877e-14,2.594948e-14,3.279686e-14,8.153915e-15,4.315376e-14,2.171516e-14,5.434990e-14,6.274223e-14,5.091667e-14,2.688408e-14,1.755714e-14,3.247261e-14,2.280235e-14,1.770973e-14,1.629829e-14,4.847527e-14,8.429528e-14,6.144523e-14,4.372597e-14,3.039360e-14,2.743721e-14,3.447533e-14,2.396584e-14,4.509926e-14,1.767159e-14,1.852989e-14,2.705574e-14,6.125450e-14,2.470970e-14,9.603500e-15,3.123283e-14,1.902580e-14,3.495216e-14,3.283501e-14,3.697395e-14,1.208305e-14,3.085136e-14,2.737999e-14,1.639366e-14,1.923561e-14,3.056526e-14,1.441002e-14,3.006935e-14,1.833916e-14,1.185417e-14,1.986504e-14,2.861977e-14,1.692772e-14,2.743721e-14,6.818772e-15,2.884865e-14,1.000000e-17,3.636360e-14,4.239082e-14,2.287865e-14,7.371902e-15,4.439354e-14,1.536369e-14,5.650520e-14,2.015114e-14,1.948357e-14,1.841545e-14
 30.03200,  1.08212,6.073262e-12,6.197868e-10,4.076678e-11,1.516162e-10,2.066612e-12,1.627636e-09,1.550770e-13,4.257685e-13,1.505852e-14,3.598213e-14,1.041508e-13,6.737810e-13,3.062013e-12,2.374051e-08,1.788139e-10,2.385139e-12,7.636553e-13,5.449968e-09,4.612922e-12,1.891231e-11,1.157284e-13,6.370646e-11,1.029110e-13,1.335049e-11,3.499031e-12,2.119915e-08,1.080513e-12,3.456980e-13,8.123308e-13,7.516199e-11,1.200676e-12,3.964335e-13,4.473686e-14,5.910593e-13,5.034447e-14,1.977444e-13,1.628780e-13,7.637977e-14,4.843712e-14,7.622719e-14,7.443428e-14,7.830620e-14,6.814003e-14,7.946968e-14,2.505302e-14,1.872349e-13,3.260612e-14,4.340172e-14,7.933617e-14,8.132464e-13,7.767677e-14,9.198189e-14,4.746437e-14,5.763054e-14,3.012657e-14,3.531456e-14,5.576134e-14,2.509117e-14,5.608559e-14,4.034996e-14,6.909370e-14,6.501198e-14,1.413631e-13,8.427620e-14,3.363609e-14,1.608849e-14,6.419182e-14,2.900124e-14,3.767967e-14,5.990029e-14,4.542351e-14,5.082130e-14,3.989220e-14,3.468514e-14,1.048088e-14,2.617836e-14,2.800941e-14,2.625465e-14,1.528740e-14,3.727913e-14,5.995750e-14,3.825188e-14,1.971245e-14,4.216194e-14,3.067970e-14,4.311562e-14,2.661705e-14,5.445480e-15,3.134727e-14,2.671242e-14,7.636070e-14,7.050514e-14,2.476692e-14,2.482414e-14,1.540184e-14,2.236366e-14,3.582954e-14,2.001762e-14,2.079964e-14,3.094673e-14,2.217293e-14,2.183914e-15,4.546165e-14,2.608299e-14,2.961159e-14,2.373695e-14,3.338814e-14,4.338265e-14,9.393692e-15,5.426407e-15,1.437187e-14,3.943443e-14,5.867958e-14,2.209663e-14,2.566338e-14,4.244804e-14,3.815651e-14,4.029274e-14,1.690865e-14,1.835823e-14,2.160072e-14,2.984047e-14,1.000000e-17,3.216743e-14,7.829666e-15,1.397133e-14,1.734734e-14,4.576683e-14,1.601219e-14,2.169609e-14,1.126289e-14,3.298759e-14,3.884316e-14,3.035545e-14,1.870155e-14,2.270698e-14
 30.75300,  1.26472,5.989167e-12,6.360718e-10,4.041964e-11,1.507179e-10,2.102852e-12,1.582432e-09,1.386547e-13,4.274851e-13,1.000000e-17,2.369881e-14,9.156227e-14,6.655413e-13,3.079389e-12,2.429059e-08,1.828194e-10,2.394676e-12,7.914644e-13,5.521685e-09,4.744529e-12,1.962757e-11,1.059628e-13,6.249719e-11,1.118946e-13,1.296329e-11,3.466606e-12,2.062790e-08,1.124382e-12,3.881556e-13,8.826357e-13,7.542521e-11,1.196861e-12,3.972345e-13,7.464409e-14,5.952555e-13,5.387306e-14,1.921558e-13,1.595783e-13,1.054287e-13,5.717277e-14,8.278846e-14,6.766319e-14,8.051872e-14,3.897667e-14,1.118946e-13,5.337715e-14,1.890850e-13,2.263069e-14,3.403664e-14,5.606651e-14,7.989603e-13,4.681587e-14,5.047798e-14,4.353523e-14,6.064415e-14,3.569603e-14,5.539894e-14,4.199028e-14,1.006126e-14,3.451347e-14,4.792214e-14,6.228447e-14,7.414818e-14,1.271915e-13,7.021904e-14,3.539085e-14,5.101204e-14,2.230644e-14,4.050255e-14,3.918648e-14,5.135536e-14,1.465797e-14,1.448631e-14,1.141548e-14,4.561424e-14,4.082680e-14,5.082130e-14,4.410744e-14,3.464699e-14,1.605034e-14,3.437996e-14,2.942085e-14,2.968788e-14,3.050804e-14,7.040978e-14,3.590584e-14,4.288674e-14,3.779411e-14,2.688408e-14,4.431724e-14,4.456520e-14,7.573128e-14,3.836632e-14,2.116203e-14,1.427650e-14,5.127907e-14,2.537727e-14,1.896858e-14,1.069069e-14,1.061440e-14,2.507210e-14,3.247261e-14,3.167152e-14,3.565788e-14,3.451347e-14,4.439354e-14,2.087593e-14,4.863739e-16,3.279686e-14,2.181053e-14,1.700401e-14,1.971245e-14,2.934456e-14,5.541801e-14,2.667427e-14,2.287865e-14,1.309395e-14,6.196022e-14,5.769730e-15,3.006935e-14,4.396439e-15,4.380226e-14,2.991676e-14,2.161980e-14,1.433373e-14,2.181053e-14,1.746178e-14,2.268791e-14,4.420280e-14,3.737450e-14,4.155159e-14,2.886772e-14,1.000000e-17,4.420280e-14,2.995491e-14,3.081322e-14,1.095772e-14
 31.47000,  1.44359,6.211525e-12,6.529804e-10,4.081827e-11,1.518947e-10,1.837730e-12,1.551151e-09,1.694202e-13,4.627520e-13,1.582146e-14,3.293037e-14,1.108646e-13,6.865221e-13,3.021405e-12,2.475579e-08,1.870155e-10,2.394676e-12,7.624728e-13,5.674082e-09,4.683494e-12,1.996708e-11,1.133823e-13,6.051355e-11,1.213169e-13,1.283741e-11,3.428459e-12,2.029354e-08,1.130104e-12,3.906733e-13,7.642084e-13,7.563310e-11,1.154900e-12,4.044062e-13,7.193566e-14,5.575281e-13,6.993294e-14,1.538754e-13,1.641750e-13,9.526253e-14,5.793571e-14,1.053143e-13,7.876396e-14,6.726265e-14,3.439903e-14,8.028984e-14,6.651878e-14,2.100086e-13,5.419731e-14,3.520012e-14,5.560875e-14,8.956820e-13,6.138801e-14,6.043434e-14,3.249168e-14,4.626274e-14,4.616737e-14,1.730919e-14,1.637459e-14,2.459526e-14,6.909370e-14,5.656242e-14,1.006985e-13,8.690834e-14,1.454639e-13,9.863853e-14,4.998207e-14,4.052162e-14,2.448082e-14,4.490852e-14,2.852440e-14,5.822182e-14,4.176140e-14,2.808571e-14,3.624916e-14,3.617287e-14,5.665779e-14,1.513481e-14,3.033638e-14,5.103111e-14,2.886772e-14,5.536079e-14,4.649162e-14,3.455162e-14,8.344650e-15,2.079964e-14,4.340172e-14,2.367973e-14,4.925728e-14,2.020836e-14,4.225731e-14,5.805016e-14,8.399010e-14,4.462242e-14,2.869606e-14,8.935928e-15,3.272056e-14,3.384590e-14,3.008842e-14,1.406670e-14,1.864433e-14,6.003380e-14,3.800392e-14,3.671646e-15,2.705574e-14,3.479958e-14,4.186630e-15,2.516746e-14,1.624107e-14,2.966881e-14,5.833626e-14,2.015114e-14,1.965523e-14,3.542900e-14,4.355431e-14,2.640724e-14,3.136635e-14,1.942635e-14,4.038811e-14,1.000000e-17,4.927635e-14,3.102303e-14,3.094673e-14,1.465797e-14,3.163338e-14,2.217293e-14,4.336357e-14,3.728866e-15,2.663612e-14,3.714561e-14,4.202843e-14,2.852440e-14,3.329277e-14,2.305031e-14,4.944801e-14,3.808022e-14,3.685951e-14,5.197525e-15
 32.29300,  1.62150,6.425034e-12,6.698242e-10,4.121500e-11,1.531593e-10,1.812935e-12,1.506329e-09,1.672459e-13,4.869944e-13,1.332283e-14,3.384590e-14,1.191425e-13,6.640345e-13,3.133309e-12,2.523987e-08,1.921654e-10,2.514839e-12,7.345682e-13,5.822092e-09,4.864692e-12,2.040195e-11,1.065159e-13,5.968386e-11,9.951592e-14,1.264667e-11,3.106117e-12,2.001926e-08,1.082420e-12,3.733736e-13,8.141810e-13,7.580858e-11,1.227379e-12,3.479868e-13,4.876137e-14,6.071955e-13,4.855156e-14,1.513195e-13,1.277256e-13,9.062767e-14,6.022453e-14,9.499550e-14,6.299019e-14,6.672859e-14,5.801201e-14,1.000309e-13,2.949715e-14,2.097988e-13,5.496025e-14,3.727913e-14,3.294945e-14,8.967882e-13,4.128456e-14,7.199287e-14,3.643990e-14,5.389214e-14,7.401466e-14,3.407478e-14,4.431724e-14,3.003120e-14,7.122993e-14,6.243706e-14,7.174492e-14,6.550789e-14,1.263905e-13,7.313728e-14,4.588127e-14,5.028724e-14,3.129005e-14,5.204201e-14,3.943443e-14,4.376412e-14,2.360344e-14,4.195213e-14,2.606392e-14,4.758835e-15,3.792763e-14,2.177238e-14,3.363609e-14,3.636360e-14,2.869606e-14,2.638817e-14,3.228188e-14,3.747940e-15,1.765251e-14,1.936913e-14,2.562523e-14,5.483627e-15,1.383781e-14,2.928734e-14,4.628182e-14,4.366875e-14,6.436348e-14,4.349709e-14,4.706383e-14,3.590584e-14,2.999306e-14,1.067162e-14,2.638817e-14,2.783775e-14,4.368782e-14,2.120018e-14,2.034187e-14,3.121376e-14,1.662254e-14,3.291130e-14,3.935814e-14,3.825188e-14,1.860619e-14,2.573967e-14,3.989220e-14,2.440453e-14,2.293587e-14,5.061150e-14,3.842354e-14,4.780769e-14,4.752159e-14,3.270149e-14,1.158714e-14,6.628037e-15,4.992485e-14,2.139091e-14,1.441002e-14,3.151894e-14,1.276970e-14,2.966881e-14,1.605034e-14,2.030373e-14,1.935005e-14,3.916740e-14,3.140450e-14,3.195762e-14,2.884865e-14,3.216743e-14,4.485130e-14,2.999306e-14,4.353523e-14,1.252174e-14
