Baseline 100%T,,Baseline 0%T,,thf_blank,,001G_1mg_ml,,005P_1mg_ml,,005P_0.6mg_ml,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800,92.9378891,800,0.001338420669,800,0.0002426969877,800,0.0002868335578,800,0.002901938977,800,0.003573438153,
799,92.95669556,799,0.000492466439,799,0.0003955105494,799,0.0004713544331,799,0.002996753668,799,0.003655947512,
798,92.92552185,798,0.001094024396,798,0.0002391745365,798,0.0003604822559,798,0.002883280627,798,0.003485647263,
797,92.92276001,797,0.001278956654,797,0.0001905107347,797,0.0003691613383,797,0.002872075653,797,0.003505166387,
796,92.92919922,796,0.001138436026,796,0.000251011108,796,0.0003621403303,796,0.002912910189,796,0.00359614566,
795,92.9372406,795,0.001234803232,795,0.000332943484,795,0.0004277691478,795,0.002939935308,795,0.003693174571,
794,92.95541382,794,0.001115079154,794,0.0005117563414,794,0.0004480323987,794,0.002956146142,794,0.003721553832,
793,92.96560669,793,0.000949858455,793,0.0004618958919,793,0.0004746196209,793,0.002977570286,793,0.003896752838,
792,92.96303558,792,0.0009276443161,792,0.0003775296791,792,0.0005020637182,792,0.002896075603,792,0.003783932189,
791,92.97341156,791,0.001073604799,791,0.0004278986889,791,0.0004806576762,791,0.002930422779,791,0.003634881461,
790,92.98239136,790,0.00107018766,790,0.0003291353351,790,0.0004985132255,790,0.002803132404,790,0.003668477992,
789,92.99333954,789,0.0009739313973,789,0.0003427877964,789,0.0004075327597,789,0.002858030843,789,0.003730222117,
788,93.01947784,788,0.0009361556149,788,0.000395899202,788,0.0005176135455,788,0.002882420784,788,0.003746880218,
787,93.01870728,787,0.0006079086452,787,0.0003226071713,787,0.0003218559432,787,0.002822542796,787,0.003671532497,
786,93.04128265,786,0.0007308583008,786,0.0003305083374,786,0.0004857369931,786,0.002847946947,786,0.003788710805,
785,93.04112244,785,0.0008982848376,785,0.0003746538714,785,0.0004552880127,785,0.002697289689,785,0.003622247605,
784,93.0641098,784,0.001043096767,784,0.0002890353499,784,0.0003833073133,784,0.002736727009,784,0.003605098464,
783,93.11257172,783,0.0008436929202,783,0.0004079991195,783,0.0005231338437,783,0.002969099442,783,0.003847207408,
782,93.11363983,782,0.0005323378718,782,0.0003896809358,782,0.0004439641198,782,0.002860975219,782,0.003716201754,
781,93.13549042,781,0.0007776739076,781,0.0003658710339,781,0.0003992156417,781,0.00295690191,781,0.003651927458,
780,93.1512146,780,0.0007105130935,780,0.000386882748,780,0.0004432903952,780,0.002919373102,780,0.00371755939,
779,93.16730499,779,0.0008497991948,779,0.0002924545843,779,0.0003753274796,779,0.002810635837,779,0.003651797073,
778,93.19073486,778,0.0006396538811,778,0.0003448862408,778,0.0004162905097,778,0.002702394966,778,0.003644487821,
777,93.21303558,777,0.0008545999881,777,0.0002920919214,777,0.0004079473147,777,0.002830723999,777,0.003713068785,
776,93.2321701,776,0.0007708121557,776,0.0003101728507,776,0.0003865718318,776,0.002760068048,776,0.00366552826,
775,93.27574158,775,0.0005939326365,775,0.0003968060191,775,0.0004406214284,775,0.002829030389,775,0.00374348578,
774,93.29470825,774,0.0008371422882,774,0.0003390313941,774,0.0004300752771,774,0.002787057776,774,0.003708134172,
773,93.33007813,773,0.0006447116612,773,0.000445726153,773,0.0004560913076,773,0.002917444566,773,0.003767533926,
772,93.35191345,772,0.0005054242793,772,0.0003405598691,772,0.0003956141882,772,0.002813553903,772,0.003694558283,
771,93.39311981,771,0.0006955675781,771,0.0004154095368,771,0.0004345320922,771,0.002882550936,771,0.00377322617,
770,93.41516113,770,0.0007234163932,770,0.0003613890149,770,0.0004403104831,770,0.002830646001,770,0.003738289932,
769,93.460495,769,0.0006983346539,769,0.0004423057253,769,0.0004110565642,769,0.002885834314,769,0.003779153572,
768,93.48078918,768,0.0005632261746,768,0.000391183683,768,0.0004236751411,768,0.002816420048,768,0.003742102068,
