#EXPORTTYPE:                 ,DATA ALL                      
#FILE:                       ,2024_01_12_SL_001G.ngb-ss5    
#FORMAT:                     ,NETZSCH5                      
#FTYPE:                      ,ASCII                         
#IDENTITY:                   ,polystyrene                   
#DECIMAL:                    ,POINT                         
#SEPARATOR:                  ,COMMA                         
#MTYPE:                      ,DSC                           
#INSTRUMENT:                 ,NETZSCH STA 449F5             
#PROJECT:                    ,2024_01_08_SL_007B            
#DATE/TIME:                  ,1/12/2024 5:46:24 PM (UTC-5)  
#CORR. FILE:                 ,                              
#TEMPCAL:                    ,28-06-2023 13:26              
#SENSITIVITY:                ,28-06-2023 13:53              
#LABORATORY:                 ,Tran/AAG                      
#OPERATOR:                   ,Stanley                       
#REMARK:                     ,                              
#SAMPLE:                     ,001G                          
#SAMPLE MASS /mg:            ,15.20                         
#MATERIAL:                   ,                              
#REFERENCE:                  ,                              
#REFERENCE MASS /mg:         ,0                             
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open             
#SAMPLE CRUCIBLE MASS /mg:   ,0                             
#REFERENCE CRUCIBLE MASS /mg:,0                             
#DSC RANGE /‘V:              ,5000                          
#TG RANGE /mg:               ,35000                         
#TAU-R:                      ,---                           
#CORR. CODE:                 ,000                           
#EXO:                        ,-1                            
#RANGE:                      ,20›C....800›C/0.0....10.0K/min
#SEGMENT:                    ,S1-5/5                        
#SEG. 1:                     ,20›C/10.0(K/min)/100›C        
#SEG. 2:                     ,100›C/00:10/100›C             
#SEG. 3:                     ,100›C/10.0(K/min)/350›C       
#SEG. 4:                     ,350›C/04:00/350›C             
#SEG. 5:                     ,350›C/10.0(K/min)/800›C       

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 41.11100,  0.00000,      0.47665,    100.00000,50.00000,20.00000,1.886318e-07,0.92521,1
 41.60700,  0.10000,      0.44071,     99.93454,50.00000,20.00000,1.892647e-07,0.92526,1
 42.08400,  0.20000,      0.40900,     99.86750,50.00000,20.00000,1.897868e-07,0.92532,1
 42.51600,  0.30000,      0.37991,     99.81618,50.00000,20.00000,1.900036e-07,0.92536,1
 42.94500,  0.40000,      0.35445,     99.77750,50.00000,20.00000,1.904273e-07,0.92541,1
 43.36900,  0.50000,      0.33193,     99.74250,50.00000,20.00000,1.913862e-07,0.92545,1
 43.78100,  0.60000,      0.31207,     99.70158,50.00000,20.00000,1.925519e-07,0.92549,1
 44.16500,  0.70000,      0.29454,     99.67250,50.00000,20.00000,1.938509e-07,0.92552,1
 44.53100,  0.80000,      0.27831,     99.64276,50.00000,20.00000,1.955748e-07,0.92556,1
 44.87300,  0.90000,      0.26382,     99.61224,50.00000,20.00000,1.977153e-07,0.92559,1
 45.21000,  1.00000,      0.25037,     99.59289,50.00000,20.00000,2.000384e-07,0.92562,1
 45.54300,  1.10000,      0.23680,     99.54974,50.00000,20.00000,2.025259e-07,0.92565,1
 45.85900,  1.20000,      0.22438,     99.51921,50.00000,20.00000,2.052092e-07,0.92567,1
 46.13600,  1.30000,      0.21315,     99.48796,50.00000,20.00000,2.077542e-07,0.92569,1
 46.42000,  1.40000,      0.20176,     99.46191,50.00000,20.00000,2.099528e-07,0.92572,1
 46.69300,  1.50000,      0.19031,     99.43513,50.00000,20.00000,2.126992e-07,0.92574,1
 46.92400,  1.60000,      0.17946,     99.39414,50.00000,20.00000,2.166851e-07,0.92576,1
 47.15800,  1.70000,      0.16916,     98.68336,50.00000,20.00000,2.214688e-07,0.92577,1
 47.37300,  1.80000,      0.15907,     97.73592,50.00000,20.00000,2.265005e-07,0.92579,1
 47.57900,  1.90000,      0.14937,     97.51039,50.00000,20.00000,2.312957e-07,0.92580,1
 47.75600,  2.00000,      0.13966,     97.45605,50.00000,20.00000,2.353740e-07,0.92582,1
 47.93300,  2.10000,      0.13060,     97.41362,50.00000,20.00000,2.383126e-07,0.92583,1
 48.07200,  2.20000,      0.12171,     97.38757,50.00000,20.00000,2.402964e-07,0.92584,1
 48.21800,  2.30000,      0.11298,     97.36678,50.00000,20.00000,2.417957e-07,0.92585,1
 48.37200,  2.40000,      0.10452,     97.32211,50.00000,20.00000,2.427952e-07,0.92586,1
 48.47700,  2.50000, 9.698604e-02,     97.30796,50.00000,20.00000,2.432018e-07,0.92587,1
 48.61000,  2.60000, 8.917862e-02,     97.30349,50.00000,20.00000,2.433918e-07,0.92587,1
 48.72300,  2.70000, 8.283517e-02,     97.30349,50.00000,20.00000,2.436931e-07,0.92588,1
 48.84600,  2.80000, 7.708811e-02,     97.29678,50.00000,20.00000,2.439576e-07,0.92589,1
 48.95100,  2.90000, 7.226281e-02,     97.27520,50.00000,20.00000,2.440428e-07,0.92590,1
 49.06700,  3.00000, 6.944331e-02,     97.26625,50.00000,20.00000,2.439657e-07,0.92590,1
 49.18300,  3.10000, 6.776228e-02,     97.26625,50.00000,20.00000,2.437955e-07,0.92591,1
 49.29400,  3.20000, 6.727390e-02,     97.26625,50.00000,20.00000,2.436406e-07,0.92592,1
 49.44000,  3.30000, 6.884533e-02,     97.26625,50.00000,20.00000,2.435605e-07,0.92593,1
 49.57500,  3.40000, 7.160937e-02,     97.27520,50.00000,20.00000,2.435590e-07,0.92593,1
 49.74700,  3.50000, 7.697518e-02,     97.28414,50.00000,20.00000,2.434644e-07,0.92594,1
 49.92200,  3.60000, 8.385868e-02,     97.28638,50.00000,20.00000,2.430746e-07,0.92595,1
 50.13500,  3.70000, 9.198860e-02,     97.30197,50.00000,20.00000,2.426688e-07,0.92596,1
 50.36500,  3.80000,      0.10250,     97.33250,50.00000,20.00000,2.425528e-07,0.92598,1
 50.62000,  3.90000,      0.11410,     97.36079,50.00000,20.00000,2.424202e-07,0.92599,1
 50.89800,  4.00000,      0.12727,     97.39059,50.00000,20.00000,2.420305e-07,0.92600,1
 51.20600,  4.10000,      0.14261,     97.42184,50.00000,20.00000,2.416654e-07,0.92602,1
 51.54700,  4.20000,      0.15892,     97.45829,50.00000,20.00000,2.414695e-07,0.92604,1
 51.89700,  4.30000,      0.17610,     97.50072,50.00000,20.00000,2.411817e-07,0.92605,1
 52.28300,  4.40000,      0.19447,     97.52974,50.00000,20.00000,2.407171e-07,0.92607,1
 52.71500,  4.50000,      0.21403,     97.57888,50.00000,20.00000,2.402814e-07,0.92608,1
 53.14600,  4.60000,      0.23370,     97.61013,50.00000,20.00000,2.399353e-07,0.92610,1
 53.64900,  4.70000,      0.25419,     97.64289,50.00000,20.00000,2.395818e-07,0.92612,1
 54.13400,  4.80000,      0.27472,     97.67638,50.00000,20.00000,2.391720e-07,0.92613,1
 54.67000,  4.90000,      0.29515,     97.72105,50.00000,20.00000,2.386936e-07,0.92615,1
 55.23300,  5.00000,      0.31623,     97.75974,50.00000,20.00000,2.381645e-07,0.92616,1
 55.81400,  5.10000,      0.33709,     97.79322,50.00000,20.00000,2.376122e-07,0.92617,1
 56.42100,  5.20000,      0.35752,     97.83717,50.00000,20.00000,2.370315e-07,0.92618,1
 57.05800,  5.30000,      0.37843,     97.86691,50.00000,20.00000,2.364132e-07,0.92619,1
 57.72000,  5.40000,      0.39951,     97.90263,50.00000,20.00000,2.357794e-07,0.92620,1
 58.39800,  5.50000,      0.41972,     97.93243,50.00000,20.00000,2.351671e-07,0.92620,1
 59.09500,  5.60000,      0.44032,     97.98079,50.00000,20.00000,2.346321e-07,0.92620,1
 59.82900,  5.70000,      0.45994,     98.01276,50.00000,20.00000,2.341351e-07,0.92620,1
 60.57000,  5.80000,      0.47961,     98.05816,50.00000,20.00000,2.334881e-07,0.92619,1
 61.33000,  5.90000,      0.49913,     98.08724,50.00000,20.00000,2.326251e-07,0.92618,1
 62.12400,  6.00000,      0.51854,     98.12441,50.00000,20.00000,2.316407e-07,0.92617,1
 62.94000,  6.10000,      0.53752,     98.14750,50.00000,20.00000,2.307018e-07,0.92615,1
 63.76800,  6.20000,      0.55655,     98.18546,50.00000,20.00000,2.299994e-07,0.92612,1
 64.61000,  6.30000,      0.57494,     98.21743,50.00000,20.00000,2.294142e-07,0.92610,1
 65.47700,  6.40000,      0.59372,     98.24204,50.00000,20.00000,2.286882e-07,0.92606,1
 66.34600,  6.50000,      0.61277,     98.28447,50.00000,20.00000,2.279413e-07,0.92602,1
 67.24900,  6.60000,      0.63128,     98.31717,50.00000,20.00000,2.273557e-07,0.92598,1
 68.19200,  6.70000,      0.65002,     98.35441,50.00000,20.00000,2.267135e-07,0.92593,1
 69.12900,  6.80000,      0.66817,     98.38862,50.00000,20.00000,2.258802e-07,0.92587,1
 70.08900,  6.90000,      0.68686,     98.41842,50.00000,20.00000,2.251658e-07,0.92580,1
 71.05400,  7.00000,      0.70497,     98.44743,50.00000,20.00000,2.246962e-07,0.92573,1
 72.03800,  7.10000,      0.72352,     98.47796,50.00000,20.00000,2.241232e-07,0.92565,1
 73.05000,  7.20000,      0.74186,     98.49882,50.00000,20.00000,2.233776e-07,0.92557,1
 74.05900,  7.30000,      0.75962,     98.52934,50.00000,20.00000,2.227650e-07,0.92548,1
 75.09800,  7.40000,      0.77814,     98.55164,50.00000,20.00000,2.222957e-07,0.92538,1
 76.15100,  7.50000,      0.79576,     98.59184,50.00000,20.00000,2.217791e-07,0.92527,1
 77.23600,  7.60000,      0.81344,     98.61934,50.00000,20.00000,2.212673e-07,0.92515,1
 78.31400,  7.70000,      0.83091,     98.63724,50.00000,20.00000,2.208741e-07,0.92502,1
 79.39300,  7.80000,      0.84813,     98.66776,50.00000,20.00000,2.205292e-07,0.92489,1
 80.51900,  7.90000,      0.86514,     98.69750,50.00000,20.00000,2.201359e-07,0.92474,1
 81.61916,  8.00000,      0.88159,     98.71872,50.00000,20.00000,2.196754e-07,0.92459,2
 82.76520,  8.10000,      0.89694,     98.73297,50.00000,20.00000,2.191772e-07,0.92443,2
 83.87067,  8.20000,      0.90646,     98.75501,50.00000,20.00000,2.187261e-07,0.92426,2
 84.97225,  8.30000,      0.91002,     98.75994,50.00000,20.00000,2.183737e-07,0.92409,2
 86.04331,  8.40000,      0.90818,     98.75995,50.00000,20.00000,2.181111e-07,0.92391,2
 87.09341,  8.50000,      0.90120,     98.75558,50.00000,20.00000,2.178333e-07,0.92374,2
 88.09797,  8.60000,      0.89009,     98.74462,50.00000,20.00000,2.173673e-07,0.92356,2
 89.06628,  8.70000,      0.87462,     98.71818,50.00000,20.00000,2.167837e-07,0.92338,2
 89.99296,  8.80000,      0.85631,     98.69192,50.00000,20.00000,2.162986e-07,0.92321,2
 90.87158,  8.90000,      0.83400,     98.66679,50.00000,20.00000,2.159474e-07,0.92304,2
 91.73948,  9.00000,      0.81016,     98.61965,50.00000,20.00000,2.156740e-07,0.92287,2
 92.54995,  9.10000,      0.78392,     98.58240,50.00000,20.00000,2.154130e-07,0.92271,2
 93.32070,  9.20000,      0.75629,     98.55172,50.00000,20.00000,2.151236e-07,0.92255,2
 94.04304,  9.30000,      0.72746,     98.50389,50.00000,20.00000,2.148572e-07,0.92240,2
