#EXPORTTYPE:                 ,DATA ALL                     
#FILE:                       ,2024_01_13_SL_005K.ngb-ss5   
#FORMAT:                     ,NETZSCH5                     
#FTYPE:                      ,ASCII                        
#IDENTITY:                   ,SCF3-PS                      
#DECIMAL:                    ,POINT                        
#SEPARATOR:                  ,COMMA                        
#MTYPE:                      ,TIC                          
#INSTRUMENT:                 ,NETZSCH STA 449F5            
#PROJECT:                    ,2024_01_08_SL_007B           
#DATE/TIME:                  ,1/13/2024 11:38:44 AM (UTC-5)
#CORR. FILE:                 ,                             
#TEMPCAL:                    ,28-06-2023 13:26             
#SENSITIVITY:                ,28-06-2023 13:53             
#LABORATORY:                 ,Tran/AAG                     
#OPERATOR:                   ,Stanley                      
#REMARK:                     ,                             
#SAMPLE:                     ,005K                         
#SAMPLE MASS /mg:            ,15.25                        
#MATERIAL:                   ,                             
#REFERENCE:                  ,                             
#REFERENCE MASS /mg:         ,0                            
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open            
#SAMPLE CRUCIBLE MASS /mg:   ,0                            
#REFERENCE CRUCIBLE MASS /mg:,0                            
#DSC RANGE /‘V:              ,5000                         
#TG RANGE /mg:               ,35000                        
                             ,                             

##Temp./›C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 26.75500,  0.01345,5.919281e-12,4.749350e-10,4.586703e-11,2.210934e-10,1.255894e-11,1.081363e-08,3.591639e-13,8.265215e-13,9.343147e-14,2.085972e-13,4.037577e-13,2.002613e-12,7.307355e-12,2.183163e-08,1.681328e-10,2.232552e-12,1.782417e-12,5.772501e-09,5.442619e-12,2.272701e-11,3.153902e-13,4.555334e-10,6.382281e-13,8.502489e-11,4.109865e-11,1.382923e-07,5.499840e-12,1.669884e-12,5.080223e-12,1.251937e-10,2.749443e-12,9.967720e-13,3.604418e-13,1.003581e-12,4.517466e-13,1.688263e-12,3.666986e-12,1.064159e-12,7.722765e-13,5.636889e-13,1.569530e-12,7.662874e-13,1.856777e-12,8.353907e-13,5.106646e-13,4.662996e-13,2.880764e-13,4.221827e-13,1.349078e-12,1.254913e-12,4.254755e-12,5.675036e-13,5.181986e-13,3.967959e-13,8.358294e-13,5.344111e-13,1.064845e-12,2.375317e-13,2.805996e-13,5.588824e-13,5.445772e-13,8.961779e-13,5.719944e-12,2.815602e-12,1.971294e-12,3.854853e-13,4.082400e-13,4.448801e-13,5.864817e-13,3.185374e-13,5.690295e-13,1.937008e-13,2.556133e-13,2.429104e-13,9.798730e-13,2.580929e-13,2.034283e-11,2.053261e-12,2.443981e-13,2.260303e-13,2.842617e-13,4.177576e-13,3.644282e-13,2.513981e-13,2.208805e-13,1.374721e-13,3.048420e-13,7.161051e-13,2.422135e-12,1.487533e-12,2.731774e-12,6.911379e-13,1.640606e-13,1.196766e-13,1.345730e-13,1.791096e-13,1.901913e-13,1.302814e-13,1.990414e-13,1.643467e-13,2.372963e-12,7.983881e-13,2.053081e-12,4.307276e-13,1.299572e-13,1.228809e-13,9.821892e-14,1.337337e-13,1.275730e-13,1.332188e-13,1.733685e-13,2.782345e-13,1.168205e-12,2.898095e-12,1.089001e-11,1.624107e-12,3.969675e-13,1.460934e-13,7.653236e-14,1.290417e-13,6.373405e-14,7.735253e-14,5.398750e-14,1.247692e-13,2.108860e-13,9.875298e-14,3.822809e-13,2.148533e-13,7.724482e-13,1.724720e-13,1.100826e-13,6.926537e-14,9.972572e-14,8.263588e-14,6.747246e-14,1.201725e-13
 27.15100,  0.19130,6.347157e-12,4.978022e-10,4.720408e-11,2.266362e-10,1.262951e-11,1.082698e-08,3.066921e-13,8.434778e-13,8.381844e-14,1.248646e-13,3.584391e-13,1.776058e-12,7.927187e-12,2.277386e-08,1.742363e-10,2.253532e-12,1.851082e-12,6.014544e-09,5.331993e-12,2.276325e-11,2.962780e-13,4.531206e-10,5.898195e-13,8.406740e-11,4.049593e-11,1.373959e-07,5.339622e-12,1.662254e-12,4.946708e-12,1.306392e-10,2.867698e-12,1.013756e-12,3.592783e-13,1.018230e-12,4.387194e-13,1.666862e-12,3.986448e-12,1.152850e-12,8.110339e-13,6.051165e-13,1.530601e-12,7.570177e-13,1.899025e-12,8.292681e-13,5.716616e-13,5.039698e-13,2.536487e-13,4.488093e-13,1.284801e-12,1.398078e-12,4.257349e-12,5.412013e-13,4.997355e-13,4.000956e-13,8.177668e-13,5.984598e-13,1.086913e-12,2.088642e-13,2.297306e-13,5.094630e-13,5.811983e-13,8.850580e-13,5.834480e-12,2.694638e-12,1.875603e-12,3.438288e-13,3.536707e-13,4.629618e-13,5.575091e-13,3.077984e-13,5.692202e-13,2.043056e-13,1.850224e-13,2.440929e-13,9.561265e-13,2.260303e-13,2.036953e-11,2.100944e-12,2.045918e-13,2.283382e-13,2.854061e-13,3.404147e-13,3.583056e-13,2.276707e-13,2.082157e-13,1.738834e-13,2.598667e-13,7.528025e-13,2.299435e-12,1.517802e-12,2.865022e-12,7.569605e-13,1.307392e-13,1.054668e-13,1.657772e-13,1.252079e-13,1.998424e-13,1.095104e-13,1.758099e-13,9.810447e-14,2.504399e-12,8.078486e-13,2.072269e-12,3.724963e-13,1.104260e-13,1.181698e-13,7.325172e-14,1.290417e-13,1.025105e-13,1.388264e-13,1.456928e-13,2.504635e-13,1.169387e-12,3.042386e-12,1.084804e-11,1.637459e-12,3.120518e-13,1.024914e-13,6.953239e-14,8.431434e-14,7.292748e-14,6.857872e-14,8.254051e-14,1.160145e-13,2.052975e-13,1.199246e-13,3.192812e-13,2.030659e-13,7.609469e-13,1.508427e-13,1.138783e-13,6.793022e-14,1.071835e-13,5.463600e-14,7.634163e-14,1.402187e-13
 27.49900,  0.37169,6.447655e-12,5.164294e-10,4.786593e-11,2.315991e-10,1.276493e-11,1.079589e-08,3.217035e-13,8.080965e-13,7.105827e-14,1.459599e-13,4.081637e-13,2.099602e-12,8.254717e-12,2.371056e-08,1.820564e-10,2.261162e-12,1.921654e-12,6.239230e-09,5.766868e-12,2.418423e-11,2.911854e-13,4.503798e-10,6.164080e-13,8.406168e-11,4.048067e-11,1.371479e-07,5.558967e-12,1.683235e-12,5.089760e-12,1.358711e-10,2.858162e-12,1.084328e-12,4.193979e-13,1.032497e-12,4.960924e-13,1.899788e-12,3.787817e-12,1.122714e-12,8.014208e-13,5.082613e-13,1.578628e-12,7.496554e-13,1.747238e-12,7.816416e-13,5.494982e-13,4.753405e-13,2.705479e-13,4.572016e-13,1.350147e-12,1.537315e-12,4.016241e-12,6.496149e-13,4.973704e-13,3.611094e-13,8.123118e-13,5.166918e-13,1.145564e-12,2.703571e-13,2.691555e-13,6.436831e-13,6.643778e-13,9.591019e-13,5.685325e-12,2.782834e-12,2.043278e-12,3.210741e-13,4.044443e-13,4.034716e-13,4.923731e-13,2.819729e-13,6.052118e-13,2.147007e-13,2.170658e-13,2.480984e-13,8.928782e-13,2.274990e-13,2.031612e-11,2.074242e-12,1.975346e-13,2.027035e-13,3.098774e-13,3.589350e-13,4.107958e-13,1.998043e-13,1.783085e-13,1.406002e-13,2.748585e-13,6.959635e-13,2.281239e-12,1.584103e-12,2.730649e-12,7.493502e-13,1.318645e-13,9.631157e-14,1.638699e-13,9.510994e-14,2.018070e-13,1.143932e-13,1.980114e-13,1.440525e-13,2.504799e-12,8.245188e-13,2.087700e-12,4.274470e-13,1.233196e-13,1.486492e-13,7.185936e-14,1.083851e-13,9.860039e-14,1.281071e-13,1.480579e-13,2.132320e-13,1.125385e-12,2.987474e-12,1.074123e-11,1.629829e-12,3.847414e-13,1.080799e-13,7.300377e-14,8.721351e-14,8.725166e-14,6.945610e-14,8.734703e-14,1.352596e-13,2.201748e-13,9.768486e-14,3.110981e-13,1.586056e-13,6.883913e-13,1.662731e-13,7.201195e-14,9.011268e-14,1.180744e-13,8.444786e-14,8.387566e-14,9.982109e-14
 27.90600,  0.54975,6.672226e-12,5.364718e-10,4.884440e-11,2.347786e-10,1.263523e-11,1.075012e-08,3.236300e-13,9.640801e-13,4.843712e-14,1.188564e-13,4.211336e-13,2.099602e-12,8.269671e-12,2.453721e-08,1.879692e-10,2.329826e-12,1.988411e-12,6.466013e-09,5.623817e-12,2.497578e-11,3.273493e-13,4.471258e-10,7.059771e-13,8.382517e-11,3.956133e-11,1.366520e-07,5.566597e-12,1.650810e-12,5.221367e-12,1.414310e-10,3.037453e-12,1.010200e-12,3.841883e-13,1.039821e-12,4.433924e-13,1.777298e-12,3.956274e-12,1.168205e-12,8.177286e-13,5.730921e-13,1.801445e-12,7.596690e-13,1.868412e-12,8.744150e-13,5.026537e-13,5.287463e-13,2.999019e-13,4.772669e-13,1.298133e-12,1.486789e-12,4.024347e-12,5.188280e-13,5.144983e-13,3.518969e-13,7.531076e-13,6.054980e-13,1.121131e-12,1.988888e-13,2.469730e-13,5.646235e-13,5.854326e-13,9.137255e-13,5.789620e-12,2.927526e-12,2.033893e-12,3.376109e-13,4.212290e-13,4.305178e-13,5.256754e-13,3.242785e-13,5.986124e-13,2.176189e-13,2.168941e-13,1.724529e-13,8.643824e-13,2.463627e-13,2.023411e-11,2.068520e-12,2.088261e-13,2.515697e-13,2.722454e-13,3.396517e-13,3.390795e-13,2.615261e-13,2.521801e-13,1.323605e-13,2.645779e-13,7.701594e-13,2.264206e-12,1.480113e-12,2.777569e-12,8.567148e-13,1.532269e-13,1.220608e-13,1.330280e-13,1.344585e-13,1.944065e-13,1.039028e-13,1.922321e-13,1.586246e-13,2.533238e-12,7.197291e-13,2.056343e-12,3.979212e-13,1.089382e-13,1.158810e-13,7.082939e-14,1.366901e-13,8.748055e-14,1.097774e-13,1.368427e-13,2.579403e-13,1.176997e-12,3.021444e-12,1.111698e-11,1.608849e-12,3.552729e-13,1.402569e-13,7.645607e-14,7.645607e-14,9.800911e-14,6.510734e-14,7.733345e-14,1.274776e-13,2.306843e-13,9.278297e-14,3.695017e-13,2.192783e-13,8.516795e-13,1.272297e-13,1.098728e-13,6.432534e-14,1.114178e-13,9.125709e-14,7.710457e-14,9.762764e-14
 28.38000,  0.73224,6.794164e-12,5.540252e-10,4.934031e-11,2.379582e-10,1.263523e-11,1.070396e-08,3.092289e-13,9.006983e-13,5.446434e-14,1.525021e-13,4.047114e-13,2.002670e-12,8.486747e-12,2.544510e-08,1.954079e-10,2.425194e-12,1.889229e-12,6.703860e-09,6.075859e-12,2.579784e-11,3.304583e-13,4.455618e-10,6.358248e-13,8.357531e-11,4.055506e-11,1.362514e-07,5.604744e-12,1.671791e-12,5.347252e-12,1.462566e-10,3.092766e-12,1.126289e-12,3.614718e-13,1.092902e-12,4.258257e-13,1.714641e-12,4.090170e-12,1.151973e-12,7.934290e-13,5.395609e-13,1.645023e-12,7.523066e-13,1.799499e-12,8.321673e-13,5.627734e-13,5.744272e-13,3.041935e-13,5.054957e-13,1.291801e-12,1.441795e-12,4.246249e-12,5.780131e-13,5.469614e-13,3.893954e-13,7.967096e-13,5.244929e-13,1.156894e-12,2.444363e-13,2.255535e-13,5.999094e-13,5.827242e-13,9.609520e-13,5.882107e-12,2.860997e-12,1.952698e-12,3.242785e-13,4.216486e-13,4.579073e-13,6.234080e-13,2.969647e-13,5.161578e-13,1.980877e-13,1.901722e-13,2.069759e-13,9.476006e-13,2.669620e-13,2.066135e-11,2.032280e-12,1.905155e-13,2.130413e-13,2.921581e-13,3.797060e-13,3.359324e-13,2.431393e-13,2.290630e-13,1.453686e-13,2.752018e-13,7.436472e-13,2.325528e-12,1.687900e-12,2.843774e-12,7.746988e-13,1.327610e-13,1.152134e-13,1.475048e-13,1.585293e-13,2.323246e-13,1.107693e-13,2.289677e-13,1.246738e-13,2.486203e-12,7.739550e-13,2.029716e-12,4.340082e-13,9.297371e-14,1.069164e-13,9.131431e-14,1.474094e-13,1.052189e-13,1.187992e-13,1.476955e-13,2.584553e-13,1.158878e-12,3.034986e-12,1.145649e-11,1.736641e-12,3.508479e-13,8.738518e-14,7.817268e-14,9.343147e-14,7.487297e-14,5.530357e-14,8.250236e-14,9.963035e-14,2.519703e-13,8.833885e-14,3.355509e-13,2.247524e-13,7.663447e-13,1.828671e-13,1.224232e-13,8.427620e-14,1.394749e-13,6.331444e-14,7.687569e-14,1.249027e-13
 28.84600,  0.91127,7.038858e-12,5.749851e-10,5.058199e-11,2.423470e-10,1.225758e-11,1.068431e-08,3.255183e-13,1.003982e-12,7.554054e-14,1.589489e-13,4.146677e-13,2.165653e-12,8.500670e-12,2.630513e-08,2.036095e-10,2.438545e-12,2.003670e-12,6.931407e-09,6.041527e-12,2.653599e-11,3.023815e-13,4.439787e-10,5.631739e-13,8.401018e-11,4.109293e-11,1.358891e-07,5.434990e-12,1.721382e-12,5.480766e-12,1.516601e-10,3.453255e-12,1.132011e-12,3.779322e-13,1.263305e-12,4.807574e-13,1.880657e-12,3.965944e-12,1.097938e-12,7.212931e-13,4.913240e-13,1.676189e-12,8.366686e-13,1.903641e-12,9.554971e-13,5.225092e-13,6.163508e-13,3.026104e-13,4.131419e-13,1.267940e-12,1.646206e-12,4.129595e-12,6.285006e-13,5.122095e-13,3.839403e-13,8.280474e-13,5.148226e-13,1.087772e-12,2.672672e-13,2.818775e-13,6.375223e-13,6.363970e-13,9.212977e-13,6.145111e-12,2.826169e-12,1.956169e-12,3.121471e-13,3.876406e-13,4.328066e-13,5.354410e-13,3.493982e-13,6.061464e-13,1.845074e-13,2.237797e-13,2.701473e-13,9.149843e-13,2.519703e-13,2.045917e-11,2.064705e-12,2.279949e-13,2.512073e-13,2.644062e-13,3.532702e-13,3.498369e-13,2.292347e-13,2.039433e-13,1.382542e-13,3.116131e-13,6.938273e-13,2.315915e-12,1.550895e-12,2.902940e-12,7.463938e-13,1.434803e-13,8.351326e-14,1.315212e-13,1.522923e-13,2.271175e-13,1.273441e-13,1.954555e-13,1.465511e-13,2.380860e-12,8.091456e-13,2.065555e-12,3.951174e-13,1.450062e-13,1.349545e-13,8.030891e-14,1.466846e-13,1.052189e-13,8.498192e-14,1.642322e-13,2.220440e-13,1.213447e-12,2.980493e-12,1.111126e-11,1.667976e-12,3.974634e-13,1.515102e-13,9.795189e-14,7.237434e-14,5.736351e-14,3.945351e-14,7.515907e-14,1.401424e-13,1.854229e-13,8.917808e-14,4.159647e-13,1.895046e-13,7.548624e-13,1.516056e-13,1.188183e-13,6.491661e-14,1.390553e-13,5.208015e-14,8.399010e-14,9.417534e-14
 29.43000,  1.09042,7.821195e-12,6.345592e-10,5.124384e-11,2.444088e-10,1.262951e-11,1.057330e-08,2.985478e-13,1.074802e-12,8.448601e-14,1.651669e-13,4.019266e-13,2.200444e-12,9.598732e-12,2.938226e-08,2.278328e-10,2.564430e-12,2.055168e-12,7.805545e-09,6.800651e-12,3.068066e-11,2.981854e-13,4.380335e-10,5.944353e-13,8.183962e-11,3.892428e-11,1.331806e-07,5.566597e-12,1.719475e-12,5.724907e-12,1.573536e-10,3.346443e-12,1.132011e-12,3.702456e-13,1.276027e-12,4.012209e-13,1.895382e-12,3.979067e-12,1.220313e-12,8.230692e-13,5.921847e-13,1.750500e-12,8.636385e-13,1.796200e-12,8.545977e-13,6.043535e-13,6.254870e-13,2.929020e-13,4.756075e-13,1.349231e-12,1.847698e-12,4.177947e-12,6.568438e-13,6.146913e-13,3.709704e-13,9.336192e-13,5.798632e-13,1.169826e-12,2.863216e-13,2.805042e-13,6.787974e-13,6.201273e-13,9.967339e-13,6.101681e-12,2.989019e-12,1.911308e-12,2.743244e-13,3.882891e-13,4.450136e-13,5.738550e-13,3.583819e-13,5.503184e-13,2.076244e-13,1.807880e-13,2.448559e-13,8.855158e-13,2.198887e-13,2.041721e-11,2.087593e-12,2.260876e-13,2.831554e-13,2.924252e-13,3.334719e-13,3.597742e-13,2.077961e-13,2.252674e-13,1.338100e-13,3.179270e-13,7.050043e-13,2.330754e-12,1.501189e-12,2.862771e-12,8.556658e-13,1.677609e-13,6.197929e-14,1.332951e-13,1.696491e-13,2.241039e-13,1.172161e-13,2.009678e-13,1.394177e-13,2.495835e-12,8.520419e-13,1.963131e-12,3.661257e-13,9.619713e-14,1.077366e-13,5.997658e-14,1.440334e-13,1.092052e-13,8.477211e-14,1.232624e-13,2.470303e-13,1.242400e-12,3.115438e-12,1.127720e-11,1.620293e-12,3.812510e-13,1.330280e-13,9.766579e-14,7.584572e-14,4.578591e-14,6.297111e-14,1.067829e-13,1.229954e-13,2.424717e-13,9.209633e-14,3.163820e-13,2.151012e-13,7.362467e-13,1.453876e-13,1.242161e-13,8.362770e-14,1.634502e-13,7.702827e-14,7.523536e-14,1.365185e-13
 30.00200,  1.26680,9.095192e-12,7.709043e-10,5.262476e-11,2.514660e-10,1.191425e-11,1.021529e-08,3.076076e-13,1.003867e-12,7.519722e-14,1.537991e-13,4.228503e-13,2.297776e-12,1.071453e-11,3.597616e-08,2.760887e-10,2.863884e-12,2.449989e-12,9.566796e-09,8.177757e-12,3.689295e-11,3.413492e-13,4.141516e-10,6.707102e-13,7.878023e-11,3.663164e-11,1.277447e-07,5.806923e-12,1.791954e-12,5.827904e-12,1.644947e-10,3.491402e-12,1.183510e-12,3.658396e-13,1.465617e-12,4.787928e-13,1.926548e-12,4.181590e-12,1.210319e-12,8.617121e-13,5.305582e-13,1.712410e-12,8.818346e-13,1.973392e-12,9.710038e-13,5.463701e-13,6.487185e-13,2.900028e-13,4.804903e-13,1.321670e-12,2.066528e-12,4.187445e-12,6.101900e-13,5.607897e-13,4.043490e-13,8.741671e-13,5.526835e-13,1.124164e-12,2.801800e-13,2.395534e-13,6.223970e-13,6.733042e-13,9.191042e-13,6.219670e-12,2.896798e-12,1.946670e-12,3.257853e-13,3.997141e-13,5.169207e-13,6.258494e-13,3.391749e-13,5.892473e-13,2.199841e-13,1.841450e-13,1.975918e-13,9.067446e-13,2.623272e-13,2.068996e-11,2.045631e-12,2.039433e-13,2.511120e-13,2.611446e-13,3.795725e-13,3.612620e-13,2.294254e-13,1.995945e-13,1.454830e-13,3.039074e-13,7.361513e-13,2.339203e-12,1.601211e-12,3.030446e-12,9.001642e-13,1.608181e-13,1.114368e-13,1.617718e-13,1.412106e-13,2.188015e-13,1.108265e-13,1.971912e-13,1.656628e-13,2.602627e-12,8.447939e-13,2.192490e-12,4.375941e-13,1.609707e-13,1.881695e-13,1.004696e-13,1.601887e-13,9.913445e-14,1.039600e-13,1.561451e-13,2.664280e-13,1.286041e-12,3.000024e-12,1.142406e-11,1.643181e-12,3.427607e-13,1.183224e-13,7.973671e-14,9.413719e-14,5.242348e-14,6.773949e-14,1.116657e-13,1.175022e-13,2.295399e-13,7.060051e-14,3.731066e-13,2.278423e-13,7.404429e-13,1.305676e-13,8.034706e-14,6.011009e-14,1.553440e-13,8.938790e-14,8.727074e-14,1.065731e-13
 30.68200,  1.44144,1.095104e-11,9.509087e-10,5.582720e-11,2.588379e-10,1.150608e-11,9.740746e-09,2.710247e-13,1.143295e-12,6.836891e-14,1.446629e-13,4.929071e-13,2.553361e-12,1.226330e-11,4.449972e-08,3.430367e-10,3.178596e-12,2.816200e-12,1.185752e-08,9.776115e-12,4.582315e-11,3.245073e-13,3.914808e-10,6.563288e-13,7.299333e-11,3.367716e-11,1.207066e-07,5.698204e-12,1.872063e-12,6.083488e-12,1.742565e-10,3.592491e-12,1.261711e-12,3.577524e-13,1.557399e-12,4.464442e-13,2.088329e-12,4.271883e-12,1.191760e-12,8.647257e-13,6.195170e-13,1.789600e-12,8.168131e-13,2.064926e-12,9.974397e-13,5.376154e-13,6.173617e-13,3.021908e-13,4.927164e-13,1.396877e-12,2.396004e-12,4.440188e-12,5.997759e-13,5.338961e-13,4.575258e-13,9.440148e-13,5.659777e-13,1.214744e-12,2.953816e-13,2.459812e-13,7.011133e-13,6.753069e-13,9.600365e-13,6.258236e-12,3.142026e-12,2.017967e-12,3.692919e-13,4.372889e-13,4.828936e-13,5.841547e-13,3.822047e-13,5.900484e-13,2.190495e-13,2.210331e-13,2.106571e-13,9.265620e-13,2.791882e-13,2.093983e-11,2.081871e-12,2.149487e-13,2.852726e-13,3.027248e-13,3.639704e-13,3.585917e-13,1.968670e-13,2.435970e-13,1.564693e-13,2.694416e-13,8.088404e-13,2.550423e-12,1.570083e-12,3.290132e-12,1.040927e-12,1.377201e-13,9.840965e-14,1.452732e-13,1.367092e-13,1.861668e-13,1.259136e-13,1.986027e-13,1.283169e-13,2.667573e-12,8.507448e-13,2.172634e-12,4.472452e-13,1.393032e-13,1.611996e-13,1.047611e-13,1.663685e-13,1.112270e-13,9.095192e-14,1.490879e-13,2.459431e-13,1.346236e-12,3.223660e-12,1.212215e-11,1.667976e-12,3.962618e-13,1.479244e-13,5.764961e-14,6.901741e-14,8.492470e-14,5.778312e-14,1.231670e-13,1.023388e-13,2.275371e-13,1.025867e-13,3.434473e-13,2.011776e-13,7.832628e-13,1.635456e-13,1.057529e-13,7.006645e-14,1.696682e-13,6.722451e-14,7.672310e-14,9.003639e-14
 32.02000,  1.80616,1.524830e-11,1.433277e-09,6.202608e-11,2.838853e-10,9.665489e-12,8.334833e-09,2.758884e-13,1.407367e-12,7.523536e-14,1.391697e-13,4.487902e-13,2.829469e-12,1.594639e-11,6.685291e-08,5.167961e-10,4.281044e-12,3.563881e-12,1.780044e-08,1.423931e-11,6.901842e-11,3.164583e-13,3.184846e-10,7.548243e-13,6.123453e-11,2.725124e-11,1.006412e-07,5.530357e-12,1.988411e-12,6.442070e-12,1.907608e-10,3.886223e-12,1.177788e-12,3.343493e-13,1.893169e-12,4.582506e-13,2.235272e-12,4.854369e-12,1.282779e-12,9.528648e-13,7.123858e-13,1.923019e-12,9.231859e-13,2.073624e-12,1.014968e-12,5.603319e-13,6.898790e-13,3.234583e-13,4.736048e-13,1.454021e-12,2.600567e-12,4.524798e-12,7.273203e-13,5.923563e-13,4.645449e-13,9.413826e-13,6.087977e-13,1.272975e-12,3.401095e-13,2.735806e-13,6.787020e-13,7.470423e-13,1.053649e-12,6.962049e-12,3.217786e-12,2.055675e-12,3.090572e-13,4.978854e-13,4.890352e-13,6.564432e-13,4.008776e-13,6.194597e-13,2.223301e-13,2.466297e-13,2.112865e-13,9.525216e-13,2.288341e-13,2.146625e-11,2.221107e-12,2.313900e-13,3.824145e-13,2.938938e-13,3.718668e-13,3.902155e-13,2.503681e-13,2.636051e-13,1.515865e-13,3.323656e-13,7.934672e-13,2.569153e-12,1.820881e-12,3.550352e-12,1.018859e-12,1.883411e-13,1.301479e-13,1.722813e-13,1.684284e-13,1.976490e-13,1.438427e-13,2.184010e-13,1.316929e-13,2.844823e-12,9.308344e-13,2.439282e-12,4.706103e-13,1.410389e-13,1.829815e-13,7.678032e-14,1.771259e-13,1.176548e-13,9.263038e-14,1.814556e-13,2.833843e-13,1.427470e-12,3.373845e-12,1.291752e-11,1.975059e-12,4.584414e-13,1.586056e-13,1.068592e-13,9.566307e-14,8.452416e-14,5.988121e-14,1.178074e-13,1.254368e-13,3.039074e-13,9.421348e-14,4.025751e-13,1.812840e-13,9.325319e-13,1.927280e-13,9.411812e-14,9.684563e-14,1.063633e-13,8.994102e-14,8.641243e-14,1.318455e-13
