#EXPORTTYPE:                 ,DATA SINGLE                                                                           
#FILE:                       ,2024_02_16_SL_005J2-FLASH_PS_280C_isotherm_1pt_min_SCB_with_100C_stabilization.ngb-ss5
#FORMAT:                     ,NETZSCH5                                                                              
#FTYPE:                      ,ANSI                                                                                  
#IDENTITY:                   ,PS                                                                                    
#DECIMAL:                    ,POINT                                                                                 
#SEPARATOR:                  ,COMMA                                                                                 
#MTYPE:                      ,TG                                                                                    
#INSTRUMENT:                 ,NETZSCH STA 449F5                                                                     
#PROJECT:                    ,2024_02_16_SL_005                                                                     
#DATE/TIME:                  ,2/16/2024 8:45:27 AM (UTC-5)                                                          
#CORR. FILE:                 ,                                                                                      
#TEMPCAL:                    ,28-06-2023 13:26                                                                      
#SENSITIVITY:                ,28-06-2023 13:53                                                                      
#LABORATORY:                 ,DS                                                                                    
#OPERATOR:                   ,Stanley                                                                               
#REMARK:                     ,                                                                                      
#SAMPLE:                     ,005J2-FLASH                                                                           
#SAMPLE MASS /mg:            ,5.49                                                                                  
#MATERIAL:                   ,                                                                                      
#REFERENCE:                  ,                                                                                      
#REFERENCE MASS /mg:         ,0                                                                                     
#TYPE OF CRUCIBLE:           ,Al2O3 85 µl, open                                                                     
#SAMPLE CRUCIBLE MASS /mg:   ,0                                                                                     
#REFERENCE CRUCIBLE MASS /mg:,0                                                                                     
#DSC RANGE /µV:              ,5000                                                                                  
#TG RANGE /mg:               ,35000                                                                                 
#TAU-R:                      ,---                                                                                   
#CORR. CODE:                 ,000                                                                                   
#EXO:                        ,-1                                                                                    
#RANGE:                      ,30°C....800°C/0.0....10.0K/min                                                        
#SEGMENT:                    ,S1-5/5                                                                                
#SEG. 1:                     ,30°C/10.0(K/min)/100°C                                                                
#SEG. 2:                     ,100°C/00:10/100°C                                                                     
#SEG. 3:                     ,100°C/10.0(K/min)/350°C                                                               
#SEG. 4:                     ,350°C/04:00/350°C                                                                     
#SEG. 5:                     ,350°C/10.0(K/min)/800°C                                                               

##Temp./°C,Time/min,Mass/%,Segment
 31.91200,  0.00000,100.00000,1
 31.90700,  0.10000, 99.99399,1
 31.91300,  0.20000,100.00000,1
 31.90300,  0.30000,100.00000,1
 31.92900,  0.40000,100.08871,1
 31.96600,  0.50000,100.20000,1
 32.02600,  0.60000,100.35865,1
 32.10600,  0.70000,100.47195,1
 32.21900,  0.80000,100.66157,1
 32.35800,  0.90000,100.85519,1
 32.50700,  1.00000,101.05100,1
 32.71100,  1.10000,101.21785,1
 32.96100,  1.20000,101.45282,1
 33.20500,  1.30000,101.68160,1
 33.50200,  1.40000,101.86903,1
 33.82900,  1.50000,102.11220,1
 34.18100,  1.60000,102.28743,1
 34.54400,  1.70000,102.52641,1
 34.95000,  1.80000,102.68725,1
 35.37000,  1.90000,102.89526,1
 35.84400,  2.00000,103.09927,1
 36.28900,  2.10000,103.25792,1
 36.79100,  2.20000,103.41876,1
 37.29900,  2.30000,103.58561,1
 37.82900,  2.40000,103.76703,1
 38.38100,  2.50000,103.91949,1
 38.96500,  2.60000,104.04317,1
 39.54600,  2.70000,104.23679,1
 40.15300,  2.80000,104.35628,1
 40.78300,  2.90000,104.51712,1
 41.42000,  3.00000,104.67778,1
 42.08300,  3.10000,104.81585,1
 42.79300,  3.20000,104.96011,1
 43.48800,  3.30000,105.09399,1
 44.21000,  3.40000,105.22587,1
 44.96400,  3.50000,105.41348,1
 45.73100,  3.60000,105.54117,1
 46.54000,  3.70000,105.68743,1
 47.34900,  3.80000,105.82969,1
 48.18600,  3.90000,105.98834,1
 49.04900,  4.00000,106.11821,1
 49.92700,  4.10000,106.27067,1
 50.83900,  4.20000,106.41075,1
 51.76000,  4.30000,106.55501,1
 52.70300,  4.40000,106.69308,1
 53.65300,  4.50000,106.79617,1
 54.64500,  4.60000,106.93625,1
 55.65000,  4.70000,107.04135,1
 56.65400,  4.80000,107.18142,1
 57.70300,  4.90000,107.27832,1
 58.73700,  5.00000,107.39982,1
 59.81500,  5.10000,107.52769,1
 60.89700,  5.20000,107.58543,1
 61.99800,  5.30000,107.71730,1
 63.10500,  5.40000,107.81403,1
 64.22500,  5.50000,107.91512,1
 65.37600,  5.60000,108.00364,1
 66.49600,  5.70000,108.08816,1
 67.67000,  5.80000,108.21184,1
 68.82500,  5.90000,108.24882,1
 70.00900,  6.00000,108.32714,1
 71.19500,  6.10000,108.41166,1
 72.39600,  6.20000,108.49818,1
 73.59500,  6.30000,108.54973,1
 74.81600,  6.40000,108.66521,1
 76.03500,  6.50000,108.68980,1
 77.26300,  6.60000,108.71676,1
 78.49600,  6.70000,108.79909,1
 79.73200,  6.80000,108.85064,1
 80.99700,  6.90000,108.92896,1
 82.23900,  7.00000,108.95974,2
 83.50100,  7.10000,109.02568,2
 84.72500,  7.20000,109.05665,2
 85.94500,  7.30000,109.08142,2
 87.12500,  7.40000,109.08142,2
 88.25300,  7.50000,109.03188,2
 89.36400,  7.60000,108.98051,2
 90.44200,  7.70000,108.90219,2
 91.45600,  7.80000,108.84244,2
 92.43800,  7.90000,108.75792,2
 93.37100,  8.00000,108.65483,2
 94.28000,  8.10000,108.54353,2
 95.12200,  8.20000,108.42204,2
 95.92400,  8.30000,108.30874,2
 96.69300,  8.40000,108.18506,2
 97.42900,  8.50000,108.08397,2
 98.11400,  8.60000,107.97887,2
 98.78600,  8.70000,107.84499,2
 99.40400,  8.80000,107.76667,2
100.00700,  8.90000,107.67596,2
100.60100,  9.00000,107.55446,2
101.15800,  9.10000,107.52350,2
101.70300,  9.20000,107.41020,2
102.23500,  9.30000,107.32368,2
102.73100,  9.40000,107.28033,2
103.22900,  9.50000,107.24117,2
