#EXPORTTYPE:                 ,DATA ALL                                                                              
#FILE:                       ,2024_03_11_PS_P40042_Mn_1200_350C_isotherm_1pt_min_SCB_with_100C_stabilization.ngb-ss5
#FORMAT:                     ,NETZSCH5                                                                              
#FTYPE:                      ,ANSI                                                                                  
#IDENTITY:                   ,polystyrene                                                                           
#DECIMAL:                    ,POINT                                                                                 
#SEPARATOR:                  ,COMMA                                                                                 
#MTYPE:                      ,TIC                                                                                   
#INSTRUMENT:                 ,NETZSCH STA 449F5                                                                     
#PROJECT:                    ,005a-E                                                                                
#DATE/TIME:                  ,3/11/2024 3:48:32 PM (UTC-4)                                                          
#CORR. FILE:                 ,                                                                                      
#TEMPCAL:                    ,28-06-2023 13:26                                                                      
#SENSITIVITY:                ,28-06-2023 13:53                                                                      
#LABORATORY:                 ,Tran/AAG                                                                              
#OPERATOR:                   ,Stanley                                                                               
#REMARK:                     ,                                                                                      
#SAMPLE:                     ,PS-P40042-1.2K                                                                        
#SAMPLE MASS /mg:            ,5.58                                                                                  
#MATERIAL:                   ,                                                                                      
#REFERENCE:                  ,                                                                                      
#REFERENCE MASS /mg:         ,0                                                                                     
#TYPE OF CRUCIBLE:           ,Al2O3 85 µl, open                                                                     
#SAMPLE CRUCIBLE MASS /mg:   ,0                                                                                     
#REFERENCE CRUCIBLE MASS /mg:,0                                                                                     
#DSC RANGE /µV:              ,5000                                                                                  
#TG RANGE /mg:               ,35000                                                                                 
                             ,                                                                                      

##Temp./°C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 27.31700,  0.01330,1.195621e-11,1.193905e-09,5.584436e-11,1.974518e-10,6.901652e-13,3.962987e-10,1.670170e-13,1.097652e-12,7.771492e-14,1.419735e-13,2.619457e-13,1.370155e-12,5.050273e-12,4.256491e-08,3.333092e-10,3.808022e-12,1.574516e-12,9.812653e-09,7.815361e-12,3.677660e-11,1.668835e-13,1.559162e-11,2.100468e-13,3.425573e-12,1.278602e-12,5.252939e-09,1.347542e-12,1.013756e-12,2.348900e-12,1.677372e-10,3.113746e-12,9.018999e-13,1.970196e-13,2.822526e-12,2.208996e-13,8.676440e-13,1.114284e-12,3.305536e-13,1.315403e-13,1.637745e-13,2.377987e-13,1.660252e-13,2.399921e-13,2.407932e-13,8.957863e-14,8.393389e-13,1.493168e-13,1.541614e-13,1.921940e-13,3.569483e-12,2.452183e-13,2.557468e-13,6.680489e-14,7.586479e-14,1.127720e-13,1.075077e-13,1.136875e-13,6.302834e-14,1.397419e-13,1.987743e-13,1.665020e-13,1.920032e-13,7.754046e-13,3.340060e-13,1.077938e-13,7.035255e-14,6.239891e-14,6.850243e-14,4.797935e-14,9.419441e-14,9.587288e-14,5.099297e-14,2.474785e-14,6.367683e-14,1.053905e-13,4.849434e-14,2.378750e-13,1.368999e-13,6.039619e-14,6.714821e-14,7.969856e-14,5.742073e-14,4.807472e-14,6.676674e-14,6.539345e-14,6.220817e-14,3.939629e-14,5.890846e-14,1.519871e-13,1.601124e-13,8.259684e-13,3.755861e-13,5.526543e-14,5.484581e-14,4.612923e-14,4.027367e-14,6.232262e-14,2.032280e-14,4.324913e-14,3.859520e-14,9.982109e-14,5.091667e-14,6.451607e-14,8.368492e-14,4.076958e-14,9.860039e-14,6.167412e-14,2.061939e-13,5.230903e-14,2.614021e-14,3.106117e-14,5.455971e-14,1.100445e-13,5.467415e-14,7.054329e-14,4.179954e-14,4.179954e-14,1.755714e-14,3.840446e-14,4.643440e-14,4.151344e-14,1.128197e-14,3.937721e-14,3.928184e-14,4.801750e-14,2.936363e-14,4.733086e-14,5.372047e-14,4.620552e-14,2.644539e-14,7.201195e-14,2.884865e-14,8.067131e-14,3.190041e-14,4.839897e-14,3.714561e-14
 27.61400,  0.19461,1.197147e-11,1.211834e-09,5.697161e-11,1.994163e-10,7.450777e-13,3.966344e-10,2.155590e-13,1.108695e-12,7.882118e-14,1.678753e-13,2.721691e-13,1.406108e-12,5.097403e-12,4.323325e-08,3.344536e-10,3.720283e-12,1.471519e-12,9.869302e-09,8.095741e-12,3.701502e-11,1.452351e-13,1.543713e-11,2.231693e-13,3.461107e-12,1.248409e-12,5.259234e-09,1.336098e-12,1.078606e-12,2.421379e-12,1.686565e-10,3.306389e-12,9.489739e-13,1.467991e-13,2.842305e-12,2.081203e-13,8.738428e-13,1.067401e-12,3.318506e-13,1.525974e-13,1.383114e-13,2.192974e-13,1.352596e-13,2.285290e-13,2.229023e-13,7.706642e-14,7.836443e-13,1.188564e-13,1.286411e-13,1.736927e-13,3.669638e-12,2.373600e-13,2.272892e-13,7.447242e-14,9.987831e-14,1.101398e-13,1.042271e-13,1.096821e-13,5.568504e-14,1.092052e-13,1.865864e-13,1.930141e-13,1.936436e-13,8.448893e-13,3.260523e-13,8.879661e-14,4.527092e-14,7.227897e-14,7.298470e-14,5.137444e-14,1.112652e-13,6.804466e-14,5.122185e-14,3.499031e-14,5.999565e-14,5.858421e-14,2.787590e-14,2.246761e-13,1.462269e-13,5.797386e-14,6.791115e-14,4.179954e-14,4.324913e-14,3.640175e-14,8.383751e-14,5.484581e-14,4.014015e-14,4.282951e-14,5.066871e-14,1.420116e-13,1.893330e-13,8.900362e-13,3.574473e-13,6.768227e-14,4.755974e-14,3.960610e-14,3.636360e-14,5.244255e-14,5.402565e-14,5.478859e-14,3.027916e-14,8.177758e-14,2.856255e-14,6.720543e-14,5.520820e-14,3.706932e-14,1.045132e-13,5.440712e-14,1.858425e-13,5.141258e-14,4.647255e-14,2.764702e-14,3.661156e-14,7.939339e-14,8.414269e-14,6.295204e-14,5.608559e-14,1.988411e-14,4.248619e-14,2.808571e-14,4.847527e-14,3.056526e-14,1.656532e-14,2.696037e-14,2.274513e-14,3.453255e-14,2.232552e-14,3.666878e-14,2.881050e-14,5.654335e-14,1.885414e-14,2.789497e-14,2.387047e-14,9.051323e-14,5.099297e-14,3.199577e-14,2.451897e-14
 27.93000,  0.36792,1.225185e-11,1.214314e-09,5.635172e-11,2.005111e-10,7.559878e-13,3.937849e-10,1.797390e-13,1.082755e-12,8.538246e-14,1.641941e-13,2.874660e-13,1.481639e-12,5.122523e-12,4.309325e-08,3.336907e-10,3.800392e-12,1.494408e-12,9.892571e-09,8.019447e-12,3.724581e-11,1.370716e-13,1.522159e-11,2.205372e-13,3.318971e-12,1.253673e-12,5.218226e-09,1.402855e-12,1.090050e-12,2.497673e-12,1.696426e-10,3.106117e-12,9.524262e-13,1.410961e-13,2.780564e-12,1.674366e-13,7.830530e-13,1.019088e-12,3.503901e-13,1.195240e-13,1.334667e-13,2.253628e-13,1.697063e-13,2.375317e-13,2.263737e-13,5.747795e-14,8.127886e-13,1.064777e-13,1.248455e-13,1.563930e-13,3.626379e-12,1.610661e-13,2.892590e-13,7.222176e-14,8.555412e-14,1.019955e-13,7.754326e-14,1.329899e-13,5.656242e-14,1.197720e-13,1.547527e-13,1.682377e-13,2.212048e-13,8.240801e-13,2.803326e-13,6.979942e-14,4.307747e-14,6.394387e-14,6.657600e-14,5.354881e-14,8.265495e-14,8.496285e-14,5.333900e-14,5.488396e-14,6.321907e-14,6.915092e-14,4.021645e-14,2.623272e-13,1.624393e-13,5.778312e-14,7.950783e-14,4.057884e-14,5.106926e-14,3.813743e-14,5.084038e-14,5.946159e-14,2.909660e-14,5.272865e-14,6.516457e-14,1.355839e-13,1.224995e-13,8.007723e-13,2.546024e-13,5.452156e-14,3.153801e-14,2.409935e-14,4.599571e-14,4.839897e-14,5.778312e-14,4.544258e-14,3.186226e-14,8.618355e-14,3.739357e-14,7.927894e-14,5.551338e-14,2.976418e-14,9.287834e-14,3.878593e-14,2.044010e-13,6.012917e-14,3.083229e-14,2.326012e-14,4.183769e-14,1.082325e-13,6.691933e-14,1.973152e-14,3.443718e-14,4.626274e-14,4.176140e-14,2.268791e-14,4.172325e-14,2.739906e-14,3.464699e-14,2.812386e-14,4.582405e-14,1.238823e-14,3.476143e-14,3.966331e-14,4.103660e-14,3.001213e-14,3.851890e-14,2.663612e-14,3.300667e-14,9.835243e-14,5.511284e-14,1.912117e-14,4.984856e-14
 28.25500,  0.54208,1.217556e-11,1.213932e-09,5.648523e-11,2.010071e-10,7.465464e-13,3.917802e-10,1.798534e-13,1.169082e-12,8.774757e-14,1.492786e-13,3.228098e-13,1.458389e-12,5.220142e-12,4.349742e-08,3.388405e-10,3.863335e-12,1.469612e-12,9.879601e-09,8.154869e-12,3.735643e-11,1.368999e-13,1.521397e-11,2.079487e-13,3.494695e-12,1.395217e-12,5.211741e-09,1.338005e-12,1.135826e-12,2.408028e-12,1.698334e-10,3.129005e-12,9.081179e-13,1.352215e-13,2.745717e-12,1.945019e-13,8.379465e-13,1.058952e-12,3.234583e-13,1.368809e-13,1.252270e-13,2.330875e-13,1.661587e-13,2.134991e-13,2.044010e-13,8.776665e-14,8.758837e-13,1.068401e-13,1.011372e-13,1.771259e-13,3.522104e-12,2.157307e-13,2.749729e-13,7.149696e-14,1.065731e-13,1.141453e-13,1.278591e-13,1.040554e-13,7.199287e-14,1.143742e-13,1.678181e-13,1.899242e-13,2.444363e-13,8.404452e-13,3.011417e-13,6.131172e-14,6.434440e-14,6.035805e-14,6.541252e-14,5.419731e-14,1.084995e-13,7.126808e-14,5.393028e-14,2.776146e-14,3.903389e-14,7.014274e-14,5.070686e-14,2.306461e-13,1.405430e-13,4.481316e-14,7.643700e-14,4.990578e-14,4.010201e-14,2.814293e-14,7.630348e-14,4.580498e-14,2.623558e-14,3.392220e-14,3.954887e-14,1.293469e-13,1.606846e-13,8.729464e-13,3.630739e-13,5.785942e-14,4.946709e-14,3.151894e-14,3.081322e-14,3.077507e-14,3.241539e-14,3.022194e-14,6.188393e-14,1.035404e-13,4.368782e-14,6.670952e-14,3.403664e-14,2.179146e-14,9.579659e-14,3.745079e-14,1.869678e-13,3.520012e-14,3.348350e-14,2.913475e-14,5.457878e-14,1.126385e-13,5.122185e-14,4.967689e-14,3.264427e-14,3.073692e-14,6.742478e-15,1.364708e-14,2.297401e-14,2.713203e-14,3.781319e-14,1.891136e-14,8.096695e-15,3.884316e-14,2.001762e-14,1.461983e-14,1.200676e-14,2.694130e-14,1.637459e-14,3.653526e-14,4.036903e-14,6.211281e-14,4.218101e-14,2.545357e-14,7.117272e-14
 28.65200,  0.71518,1.218128e-11,1.221561e-09,5.647760e-11,2.013256e-10,6.969553e-13,3.876794e-10,1.735401e-13,1.041881e-12,7.073402e-14,1.766872e-13,2.872753e-13,1.449291e-12,5.198760e-12,4.360766e-08,3.390312e-10,3.748894e-12,1.484871e-12,9.916032e-09,8.011818e-12,3.715807e-11,1.094532e-13,1.551914e-11,2.287006e-13,3.373540e-12,1.243640e-12,5.148798e-09,1.324654e-12,1.112938e-12,2.537727e-12,1.706058e-10,3.203392e-12,8.877665e-13,1.522541e-13,2.847817e-12,1.912403e-13,8.091456e-13,1.092407e-12,3.217608e-13,1.414776e-13,1.113224e-13,1.859569e-13,1.510525e-13,2.319240e-13,2.046490e-13,8.841514e-14,8.276469e-13,1.071644e-13,1.152134e-13,1.558781e-13,3.628591e-12,1.839542e-13,2.616215e-13,9.070396e-14,9.165764e-14,8.635521e-14,8.555412e-14,1.101017e-13,4.368782e-14,7.731438e-14,2.027416e-13,1.627064e-13,2.338505e-13,8.595568e-13,2.871609e-13,9.758949e-14,6.913185e-14,9.060860e-14,5.728722e-14,4.958153e-14,9.016990e-14,7.575035e-14,7.533073e-14,2.419472e-14,2.190590e-14,6.873131e-14,2.982139e-14,2.250004e-13,1.177311e-13,4.635811e-14,6.985664e-14,7.222176e-14,5.255699e-14,5.127907e-14,1.891136e-14,6.339073e-14,5.055427e-14,3.138542e-14,4.796028e-14,1.436901e-13,1.790905e-13,8.142954e-13,3.202540e-13,4.204750e-14,2.232552e-14,3.470421e-14,3.186226e-14,5.473137e-14,5.221367e-14,2.202034e-14,3.090858e-14,7.826805e-14,2.871514e-14,7.687569e-14,7.309913e-14,3.384590e-14,1.380825e-13,4.155159e-14,2.169514e-13,5.789757e-14,3.031730e-14,2.709389e-14,3.352165e-14,9.284019e-14,6.936073e-14,5.539894e-14,3.315926e-14,4.950523e-14,1.713753e-14,3.153801e-14,3.155708e-14,2.289772e-14,4.839897e-14,6.246567e-15,1.261711e-14,3.773689e-14,1.935005e-14,3.275871e-14,5.499840e-14,3.840446e-14,3.691673e-14,3.115654e-14,1.315117e-14,6.976127e-14,6.398201e-14,3.357887e-14,2.839088e-14
 29.13100,  0.89412,1.248455e-11,1.219654e-09,5.675035e-11,2.010547e-10,7.329279e-13,3.849119e-10,1.530743e-13,1.091453e-12,8.637428e-14,1.700878e-13,3.115177e-13,1.503345e-12,5.340648e-12,4.359392e-08,3.409386e-10,3.905296e-12,1.532555e-12,1.002151e-08,8.189201e-12,3.755671e-11,1.390553e-13,1.492786e-11,2.012539e-13,3.414815e-12,1.218787e-12,5.135828e-09,1.379967e-12,1.065254e-12,2.598762e-12,1.710312e-10,3.258705e-12,9.737504e-13,1.479435e-13,2.767518e-12,1.583576e-13,8.597666e-13,1.047774e-12,2.931690e-13,1.486301e-13,1.281452e-13,2.247715e-13,1.315975e-13,2.012730e-13,2.375507e-13,1.090908e-13,7.785326e-13,9.074211e-14,1.215458e-13,1.996517e-13,3.703665e-12,2.100849e-13,2.353764e-13,8.189201e-14,8.231163e-14,1.418209e-13,9.661675e-14,8.807182e-14,1.767159e-14,1.324177e-13,1.650333e-13,1.409435e-13,1.960468e-13,7.908350e-13,2.927494e-13,1.269054e-13,6.007194e-14,6.581306e-14,5.167961e-14,5.982399e-14,7.145882e-14,7.794380e-14,6.314278e-14,5.200386e-14,5.015373e-14,6.859779e-14,3.794670e-14,2.108860e-13,1.275349e-13,5.152702e-14,8.349419e-14,5.688667e-14,3.417015e-14,2.770424e-14,6.516457e-14,4.471779e-14,4.162788e-14,2.888679e-14,4.088402e-14,1.377010e-13,1.649189e-13,8.194071e-13,3.476054e-13,2.892494e-14,2.585411e-14,4.498482e-14,2.083778e-14,5.515099e-14,4.078865e-14,3.140450e-14,4.288674e-14,6.197929e-14,3.661156e-14,5.940437e-14,4.153252e-14,3.567696e-14,1.190662e-13,3.729820e-14,2.048588e-13,3.167152e-14,4.971504e-14,2.196312e-14,3.060341e-14,1.138592e-13,8.086205e-14,4.771233e-14,2.238274e-14,3.211021e-14,2.646446e-14,2.829552e-14,5.297661e-14,1.000000e-17,1.511574e-14,1.000000e-17,4.837990e-14,3.172874e-14,2.608299e-14,1.652718e-14,5.751610e-14,3.708839e-14,4.921913e-14,2.635002e-14,2.991676e-14,8.593559e-14,4.446983e-14,2.562523e-14,1.616478e-14
 29.68000,  1.07278,1.254749e-11,1.229954e-09,5.655199e-11,2.015831e-10,7.403475e-13,3.851198e-10,1.467228e-13,1.039096e-12,7.843971e-14,1.662350e-13,2.987766e-13,1.377612e-12,5.410895e-12,4.374842e-08,3.422737e-10,3.888130e-12,1.507759e-12,1.003352e-08,8.170128e-12,3.731829e-11,1.226139e-13,1.515102e-11,2.032757e-13,3.469995e-12,1.206733e-12,5.096918e-09,1.338005e-12,1.095772e-12,2.442360e-12,1.714699e-10,3.260612e-12,9.022814e-13,1.624203e-13,2.771771e-12,1.716900e-13,8.115679e-13,1.100494e-12,3.270060e-13,1.492596e-13,1.310825e-13,2.177715e-13,1.416111e-13,2.186298e-13,2.208614e-13,7.777214e-14,8.839708e-13,1.114368e-13,1.026440e-13,1.839733e-13,3.618253e-12,1.950169e-13,2.495670e-13,1.000309e-13,7.500648e-14,1.183605e-13,8.355140e-14,1.507854e-13,6.949425e-14,1.143169e-13,1.695347e-13,1.508045e-13,2.256298e-13,8.713442e-13,3.047848e-13,7.819176e-14,4.057884e-14,4.208565e-14,5.970955e-14,5.484581e-14,9.964943e-14,4.343986e-14,4.738808e-14,3.026009e-14,5.656242e-14,4.374504e-14,3.745079e-14,2.255154e-13,1.125431e-13,5.003929e-14,7.063866e-14,4.147530e-14,3.539085e-14,3.888130e-14,4.879952e-14,3.544807e-14,4.067421e-14,4.075050e-14,7.418632e-14,1.245213e-13,1.580524e-13,8.392245e-13,3.051281e-13,5.208015e-14,3.233909e-14,5.890846e-14,2.257347e-14,5.660057e-14,4.096031e-14,2.066612e-14,2.165794e-14,6.550789e-14,4.956245e-14,7.313728e-14,5.049705e-14,4.645348e-14,1.073360e-13,7.219314e-15,2.440929e-13,4.319191e-14,2.436638e-14,2.474785e-14,3.075600e-14,9.903908e-14,7.277489e-14,6.039619e-14,3.323555e-14,4.256248e-14,4.364967e-14,3.386497e-14,4.739761e-15,1.000000e-17,3.756523e-14,2.894402e-14,3.136635e-14,1.418114e-14,1.160622e-14,2.326012e-14,4.323006e-14,2.453804e-14,1.257896e-14,7.047653e-15,2.356529e-14,1.141453e-13,4.210472e-14,2.640724e-14,2.377510e-14
 30.41500,  1.25035,1.243496e-11,1.228619e-09,5.659777e-11,2.000343e-10,7.235056e-13,3.816026e-10,1.515102e-13,1.097003e-12,8.549690e-14,1.662350e-13,2.929592e-13,1.411411e-12,5.377364e-12,4.389548e-08,3.386497e-10,3.769875e-12,1.645088e-12,1.004497e-08,8.261680e-12,3.759867e-11,1.310635e-13,1.480770e-11,1.916981e-13,3.371862e-12,1.226779e-12,5.079180e-09,1.353264e-12,1.145363e-12,2.583504e-12,1.722004e-10,3.214836e-12,9.317117e-13,1.561642e-13,2.800877e-12,1.854610e-13,8.169657e-13,1.088077e-12,2.504826e-13,1.109791e-13,1.362324e-13,2.129459e-13,1.519871e-13,2.386951e-13,1.748753e-13,8.927345e-14,8.238894e-13,1.207828e-13,1.118755e-13,2.000141e-13,3.746885e-12,1.849651e-13,2.567959e-13,8.505822e-14,7.912636e-14,8.271217e-14,7.361412e-14,1.062107e-13,5.770683e-14,1.044178e-13,1.668262e-13,1.614094e-13,2.221584e-13,8.594996e-13,2.652264e-13,5.862236e-14,4.185677e-14,5.127907e-14,6.066323e-14,4.448891e-14,1.091099e-13,5.938530e-14,5.913735e-14,3.411293e-14,5.801201e-14,6.155968e-14,3.775597e-14,2.387333e-13,1.382351e-13,4.624367e-14,4.963875e-14,3.920555e-14,4.708290e-14,2.263069e-14,4.155159e-14,4.754067e-14,3.617287e-14,5.732536e-14,4.935265e-14,1.133823e-13,1.628208e-13,8.437449e-13,3.571230e-13,6.106376e-14,3.399849e-14,4.237175e-14,2.541542e-14,3.958702e-14,3.508568e-14,2.421379e-14,3.138542e-14,9.348869e-14,3.317833e-14,8.269310e-14,5.791664e-14,1.404762e-14,1.174831e-13,3.451347e-14,2.527523e-13,2.451897e-14,4.895210e-14,2.617836e-14,1.463890e-14,1.082134e-13,6.499291e-14,5.166054e-14,1.469612e-14,4.073143e-14,4.065514e-14,2.400398e-14,1.505852e-14,3.743172e-14,9.031296e-15,3.176689e-14,2.678871e-14,2.776146e-14,3.617287e-14,4.347801e-14,5.187035e-14,2.490044e-14,1.992226e-14,3.006935e-14,1.879692e-14,9.495735e-14,2.388954e-14,3.102303e-14,3.336906e-14
 31.13200,  1.42552,1.239872e-11,1.233578e-09,5.683619e-11,2.014381e-10,7.483774e-13,3.805078e-10,1.666164e-13,1.183692e-12,7.531166e-14,2.023602e-13,3.033924e-13,1.397067e-12,5.403056e-12,4.390521e-08,3.396034e-10,3.901482e-12,1.511574e-12,1.002818e-08,8.086204e-12,3.694636e-11,1.219463e-13,1.466274e-11,1.782513e-13,3.214582e-12,1.236983e-12,5.013567e-09,1.317024e-12,1.166344e-12,2.524376e-12,1.720707e-10,3.115654e-12,9.105211e-13,1.652431e-13,2.826932e-12,1.797962e-13,8.456904e-13,1.058513e-12,2.906895e-13,1.288509e-13,9.959221e-14,2.065372e-13,1.421833e-13,2.591610e-13,2.076054e-13,4.977226e-14,8.725268e-13,9.701729e-14,1.331234e-13,1.588917e-13,3.610223e-12,1.929951e-13,2.698612e-13,6.258964e-14,9.907723e-14,1.025486e-13,8.023262e-14,9.797096e-14,6.550789e-14,9.333611e-14,1.858044e-13,1.868916e-13,1.853085e-13,8.225542e-13,2.596188e-13,8.267403e-14,4.620552e-14,7.216454e-14,7.905006e-14,6.575585e-14,8.240700e-14,6.476402e-14,5.328178e-14,3.394127e-14,4.925728e-14,6.680489e-14,2.104759e-14,2.029514e-13,1.339054e-13,2.961159e-14,9.324074e-14,4.593849e-14,6.960869e-14,3.104210e-14,4.874229e-14,4.296303e-14,3.207207e-14,3.458977e-14,7.458687e-14,1.389408e-13,1.684475e-13,8.497530e-13,3.619105e-13,4.727364e-14,2.326012e-14,5.131721e-14,4.431724e-14,3.815651e-14,3.926277e-14,2.194405e-14,2.474785e-14,8.065223e-14,4.494667e-14,6.844520e-14,3.291130e-14,2.966881e-14,1.063061e-13,4.736900e-14,1.818752e-13,2.737999e-14,1.690865e-14,3.527641e-14,4.267692e-14,1.391315e-13,6.567955e-14,3.872871e-14,1.770973e-14,3.645897e-14,3.336906e-14,3.798485e-14,2.598762e-14,2.278328e-14,3.956795e-14,2.980232e-14,1.503944e-14,1.179695e-14,3.418922e-14,4.378319e-14,6.884575e-14,1.914024e-14,2.455711e-14,1.620293e-14,2.125740e-14,8.189201e-14,4.031181e-14,3.169060e-14,1.191139e-14
 31.98000,  1.60426,1.278210e-11,1.235676e-09,5.712419e-11,2.005569e-10,7.255655e-13,3.768648e-10,1.676464e-13,1.137649e-12,9.449959e-14,1.365376e-13,2.301312e-13,1.382724e-12,5.354533e-12,4.420466e-08,3.426552e-10,3.855705e-12,1.511574e-12,1.006709e-08,8.423805e-12,3.723818e-11,1.281261e-13,1.477528e-11,2.174473e-13,3.314355e-12,1.241580e-12,4.964930e-09,1.351356e-12,1.111031e-12,2.604485e-12,1.730816e-10,3.300667e-12,9.887230e-13,1.456356e-13,2.802308e-12,1.567745e-13,8.654696e-13,1.055080e-12,2.884960e-13,1.427937e-13,1.186848e-13,2.519703e-13,1.600933e-13,2.347088e-13,2.072430e-13,5.566597e-14,8.687883e-13,1.023579e-13,9.037972e-14,1.558590e-13,3.682035e-12,2.200604e-13,2.373219e-13,5.738259e-14,8.847237e-14,7.384300e-14,7.052421e-14,8.444786e-14,5.330086e-14,1.195240e-13,1.415920e-13,1.658154e-13,2.271366e-13,8.205706e-13,2.742481e-13,8.353234e-14,3.907204e-14,6.972313e-14,7.420540e-14,3.973961e-14,8.734703e-14,6.236076e-14,4.971504e-14,4.830361e-14,2.520561e-14,7.361412e-14,4.509926e-14,2.200222e-13,1.245785e-13,6.148338e-14,7.588387e-14,5.698204e-14,7.554054e-14,3.682137e-14,6.241799e-14,5.305290e-14,1.839638e-14,2.884865e-14,8.072853e-14,1.414204e-13,1.438427e-13,8.543688e-13,3.350741e-13,4.147530e-14,3.178597e-14,6.474495e-14,3.659248e-14,2.696037e-14,3.851890e-14,4.183769e-14,3.628731e-14,7.328987e-14,4.273415e-14,1.026249e-13,4.887581e-14,2.846718e-14,1.262188e-13,2.522469e-14,2.302647e-13,6.272316e-14,4.443169e-14,4.786491e-14,2.514839e-14,8.515358e-14,5.757332e-14,5.911827e-14,1.317024e-14,3.540993e-14,3.050804e-14,3.071785e-14,4.527092e-14,3.802299e-14,1.881599e-14,1.587868e-14,2.062797e-14,2.696037e-14,3.138542e-14,5.263329e-14,2.898216e-14,3.394127e-14,3.706932e-14,1.643181e-14,2.793312e-14,7.914543e-14,3.569603e-14,2.463341e-14,2.905846e-14
