#EXPORTTYPE:                 ,DATA SINGLE                                                                           
#FILE:                       ,2024_03_11_PS_P40042_Mn_1200_350C_isotherm_1pt_min_SCB_with_100C_stabilization.ngb-ss5
#FORMAT:                     ,NETZSCH5                                                                              
#FTYPE:                      ,ANSI                                                                                  
#IDENTITY:                   ,polystyrene                                                                           
#DECIMAL:                    ,POINT                                                                                 
#SEPARATOR:                  ,COMMA                                                                                 
#MTYPE:                      ,TG                                                                                    
#INSTRUMENT:                 ,NETZSCH STA 449F5                                                                     
#PROJECT:                    ,005a-E                                                                                
#DATE/TIME:                  ,3/11/2024 3:48:32 PM (UTC-4)                                                          
#CORR. FILE:                 ,                                                                                      
#TEMPCAL:                    ,28-06-2023 13:26                                                                      
#SENSITIVITY:                ,28-06-2023 13:53                                                                      
#LABORATORY:                 ,Tran/AAG                                                                              
#OPERATOR:                   ,Stanley                                                                               
#REMARK:                     ,                                                                                      
#SAMPLE:                     ,PS-P40042-1.2K                                                                        
#SAMPLE MASS /mg:            ,5.58                                                                                  
#MATERIAL:                   ,                                                                                      
#REFERENCE:                  ,                                                                                      
#REFERENCE MASS /mg:         ,0                                                                                     
#TYPE OF CRUCIBLE:           ,Al2O3 85 µl, open                                                                     
#SAMPLE CRUCIBLE MASS /mg:   ,0                                                                                     
#REFERENCE CRUCIBLE MASS /mg:,0                                                                                     
#DSC RANGE /µV:              ,5000                                                                                  
#TG RANGE /mg:               ,35000                                                                                 
#TAU-R:                      ,---                                                                                   
#CORR. CODE:                 ,000                                                                                   
#EXO:                        ,-1                                                                                    
#RANGE:                      ,30°C....800°C/0.0....10.0K/min                                                        
#SEGMENT:                    ,S1-5/5                                                                                
#SEG. 1:                     ,30°C/10.0(K/min)/100°C                                                                
#SEG. 2:                     ,100°C/00:10/100°C                                                                     
#SEG. 3:                     ,100°C/10.0(K/min)/350°C                                                               
#SEG. 4:                     ,350°C/04:00/350°C                                                                     
#SEG. 5:                     ,350°C/10.0(K/min)/800°C                                                               

##Temp./°C,Time/min,Mass/%,Segment
 27.30400,  0.00000,    100.00000,1
 29.48400,  1.00000,    100.40538,1
 34.17500,  2.00000,     97.21022,1
 40.95800,  3.00000,     97.96237,1
 49.51100,  4.00000,     98.66183,1
 59.85500,  5.00000,     99.35735,1
 71.47200,  6.00000,     99.79516,1
 83.77800,  7.00000,    100.08100,2
 94.60900,  8.00000,     99.66738,2
101.26200,  9.00000,     98.60502,2
105.51200, 10.00000,     97.86505,2
108.42800, 11.00000,     97.18799,2
109.84200, 12.00000,     96.47419,2
110.13800, 13.00000,     95.89857,2
109.72300, 14.00000,     95.30842,2
108.83900, 15.00000,     94.86039,2
107.69400, 16.00000,     94.48136,2
106.44500, 17.00000,     94.12455,3
106.68300, 18.00000,     94.64355,3
111.03700, 19.00000,     95.74642,3
117.44000, 20.00000,     96.33638,3
125.79200, 21.00000,     96.87975,3
136.02800, 22.00000,     97.33387,3
147.31799, 23.00000,     97.58728,3
159.17900, 24.00000,     97.71703,3
171.20399, 25.00000,     97.71093,3
183.14000, 26.00000,     97.65627,3
194.86400, 27.00000,     97.55896,3
206.27699, 28.00000,     97.43530,3
217.38400, 29.00000,     97.28925,3
228.16901, 30.00000,     97.11703,3
238.69600, 31.00000,     96.87366,3
249.03300, 32.00000,     96.52903,3
259.26801, 33.00000,     96.10932,3
269.37201, 34.00000,     95.49910,3
279.39801, 35.00000,     94.64964,3
289.37500, 36.00000,     93.46362,3
299.32999, 37.00000,     91.83961,3
309.23999, 38.00000,     89.67634,3
319.15399, 39.00000,     86.98799,3
329.06900, 40.00000,     83.74606,3
338.95901, 41.00000,     79.94068,3
348.85800, 42.00000,     75.68100,4
353.21600, 43.00000,     71.02401,4
354.42599, 44.00000,     66.99552,4
355.24600, 45.00000,     63.59158,4
355.01599, 46.00000,     60.65376,4
354.51001, 47.00000,     58.11953,4
353.87399, 48.00000,     55.90968,4
353.23700, 49.00000,     54.00394,4
352.64200, 50.00000,     52.23799,4
352.13300, 51.00000,     50.68297,4
351.70901, 52.00000,     49.28602,4
351.36700, 53.00000,     48.01487,4
351.08600, 54.00000,     46.85323,4
350.85400, 55.00000,     45.76039,4
350.68100, 56.00000,     44.73047,4
350.54300, 57.00000,     43.77957,4
350.44000, 58.00000,     42.88351,4
350.33301, 59.00000,     42.01774,4
350.24600, 60.00000,     41.26971,4
350.18201, 61.00000,     40.49104,4
350.14099, 62.00000,     39.80376,4
350.09201, 63.00000,     39.15699,4
350.07300, 64.00000,     38.47796,4
350.06000, 65.00000,     37.96487,4
350.06000, 66.00000,     37.22491,4
350.07199, 67.00000,     36.68961,4
350.05399, 68.00000,     36.18495,4
350.03699, 69.00000,     35.63746,4
350.03000, 70.00000,     35.20358,4
350.02100, 71.00000,     34.63387,4
350.03400, 72.00000,     34.20197,4
350.02899, 73.00000,     33.80663,4
350.05099, 74.00000,     33.34247,4
350.04501, 75.00000,     32.89229,4
350.05099, 76.00000,     32.53548,4
350.04501, 77.00000,     32.12796,4
350.06000, 78.00000,     31.72258,4
350.05499, 79.00000,     31.37581,4
350.04999, 80.00000,     30.99875,4
350.04700, 81.00000,     30.64391,4
350.05200, 82.00000,     30.27294,4
350.03101, 83.00000,     30.03566,4
350.01999, 84.00000,     29.62007,4
350.01599, 85.00000,     29.32007,4
350.02802, 86.00000,     28.99355,4
350.02600, 87.00000,     28.71577,4
