#EXPORTTYPE:                 ,DATA SINGLE                                                                                
#FILE:                       ,2024_03_13_PS-SCF3_P40042_Mn_1200_350C_isotherm_1pt_min_SCB_with_100C_stabilization.ngb-ss5
#FORMAT:                     ,NETZSCH5                                                                                   
#FTYPE:                      ,ANSI                                                                                       
#IDENTITY:                   ,PS-1.2K-SCF3                                                                               
#DECIMAL:                    ,POINT                                                                                      
#SEPARATOR:                  ,COMMA                                                                                      
#MTYPE:                      ,TG                                                                                         
#INSTRUMENT:                 ,NETZSCH STA 449F5                                                                          
#PROJECT:                    ,005a-E                                                                                     
#DATE/TIME:                  ,3/13/2024 8:20:00 PM (UTC-4)                                                               
#CORR. FILE:                 ,                                                                                           
#TEMPCAL:                    ,28-06-2023 13:26                                                                           
#SENSITIVITY:                ,28-06-2023 13:53                                                                           
#LABORATORY:                 ,Tran/AAG                                                                                   
#OPERATOR:                   ,Stanley                                                                                    
#REMARK:                     ,                                                                                           
#SAMPLE:                     ,005a-F1v2                                                                                  
#SAMPLE MASS /mg:            ,5.27                                                                                       
#MATERIAL:                   ,                                                                                           
#REFERENCE:                  ,-----                                                                                      
#REFERENCE MASS /mg:         ,0                                                                                          
#TYPE OF CRUCIBLE:           ,Al2O3 85 µl, open                                                                          
#SAMPLE CRUCIBLE MASS /mg:   ,0                                                                                          
#REFERENCE CRUCIBLE MASS /mg:,0                                                                                          
#DSC RANGE /µV:              ,5000                                                                                       
#TG RANGE /mg:               ,35000                                                                                      
#TAU-R:                      ,---                                                                                        
#CORR. CODE:                 ,000                                                                                        
#EXO:                        ,-1                                                                                         
#RANGE:                      ,30°C....800°C/0.0....10.0K/min                                                             
#SEGMENT:                    ,S1-5/5                                                                                     
#SEG. 1:                     ,30°C/10.0(K/min)/100°C                                                                     
#SEG. 2:                     ,100°C/00:10/100°C                                                                          
#SEG. 3:                     ,100°C/10.0(K/min)/350°C                                                                    
#SEG. 4:                     ,350°C/04:00/350°C                                                                          
#SEG. 5:                     ,350°C/10.0(K/min)/800°C                                                                    

##Temp./°C,Time/min,Mass/%,Segment
 29.37300,  0.00000,    100.00000,1
 31.50200,  1.00000,    100.45712,1
 35.99200,  2.00000,     96.94744,1
 42.33300,  3.00000,     97.67932,1
 50.49800,  4.00000,     98.37268,1
 60.56400,  5.00000,     98.88159,1
 71.94800,  6.00000,     99.16281,1
 84.11328,  7.00000,     99.42259,2
 94.71148,  8.00000,     98.90937,2
101.12736,  9.00000,     97.71218,2
105.31897, 10.00000,     96.88438,2
108.12946, 11.00000,     96.09345,2
109.46871, 12.00000,     95.19056,2
109.73026, 13.00000,     94.42422,2
109.32162, 14.00000,     93.77466,2
108.46473, 15.00000,     93.20720,2
107.36515, 16.00000,     92.74984,2
106.17199, 17.00000,     92.35996,3
106.63109, 18.00000,     92.92452,3
111.22327, 19.00000,     94.06435,3
117.76774, 20.00000,     94.60964,3
126.33015, 21.00000,     95.17224,3
136.68497, 22.00000,     95.62277,3
148.04272, 23.00000,     95.86110,3
159.92593, 24.00000,     95.90626,3
171.91429, 25.00000,     95.93834,3
183.80442, 26.00000,     95.88045,3
195.45226, 27.00000,     95.75161,3
206.79777, 28.00000,     95.64004,3
217.79537, 29.00000,     95.45977,3
228.49266, 30.00000,     95.31594,3
238.97331, 31.00000,     95.13548,3
249.26764, 32.00000,     94.88863,3
259.42917, 33.00000,     94.65693,3
269.49538, 34.00000,     94.36327,3
279.48899, 35.00000,     93.96925,3
289.45247, 36.00000,     93.41600,3
299.36564, 37.00000,     92.64307,3
309.25619, 38.00000,     91.61051,3
319.12788, 39.00000,     90.32698,3
329.01277, 40.00000,     88.69952,3
338.89969, 41.00000,     86.76734,3
348.76290, 42.00000,     84.24008,4
352.70457, 43.00000,     80.70932,4
353.78781, 44.00000,     77.09604,4
354.56511, 45.00000,     73.64039,4
354.34538, 46.00000,     70.34558,4
353.90557, 47.00000,     67.20417,4
353.35681, 48.00000,     64.23696,4
352.81505, 49.00000,     61.52496,4
352.33093, 50.00000,     59.00640,4
351.88999, 51.00000,     56.63828,4
351.53037, 52.00000,     54.48158,4
351.24828, 53.00000,     52.42918,4
350.98910, 54.00000,     50.46085,4
350.79801, 55.00000,     48.63678,4
350.65304, 56.00000,     46.92278,4
350.52128, 57.00000,     45.30637,4
350.42307, 58.00000,     43.75655,4
350.33064, 59.00000,     42.30509,4
350.27453, 60.00000,     40.93623,4
350.22876, 61.00000,     39.66964,4
350.18610, 62.00000,     38.37514,4
350.14787, 63.00000,     37.18575,4
350.13785, 64.00000,     36.09360,4
350.10544, 65.00000,     34.97849,4
350.08413, 66.00000,     33.97811,4
350.07883, 67.00000,     33.01757,4
350.05630, 68.00000,     32.06608,4
350.06573, 69.00000,     31.16851,4
350.04570, 70.00000,     30.32025,4
350.05071, 71.00000,     29.49660,4
350.04504, 72.00000,     28.70652,4
350.03266, 73.00000,     27.94877,4
350.03120, 74.00000,     27.22749,4
350.02662, 75.00000,     26.53014,4
350.02922, 76.00000,     25.89916,4
350.02772, 77.00000,     25.22236,4
350.02145, 78.00000,     24.64930,4
350.02612, 79.00000,     24.01933,4
350.02758, 80.00000,     23.43814,4
350.02927, 81.00000,     22.86329,4
350.03249, 82.00000,     22.37781,4
350.03739, 83.00000,     21.83260,4
350.03523, 84.00000,     21.33055,4
350.03791, 85.00000,     20.81290,4
350.03403, 86.00000,     20.36660,4
350.04025, 87.00000,     19.88586,4
