#EXPORTTYPE:                 ,DATA ALL                                         
#FILE:                       ,2024_03_13_PS-SCF3_P40042_Mn_1200_dynamic.ngb-ss5
#FORMAT:                     ,NETZSCH5                                         
#FTYPE:                      ,ANSI                                             
#IDENTITY:                   ,PS-1.2K-SCF3                                     
#DECIMAL:                    ,POINT                                            
#SEPARATOR:                  ,COMMA                                            
#MTYPE:                      ,TIC                                              
#INSTRUMENT:                 ,NETZSCH STA 449F5                                
#PROJECT:                    ,                                                 
#DATE/TIME:                  ,3/14/2024 3:30:13 AM (UTC-4)                     
#CORR. FILE:                 ,                                                 
#TEMPCAL:                    ,28-06-2023 13:26                                 
#SENSITIVITY:                ,28-06-2023 13:53                                 
#LABORATORY:                 ,Tran/AAG                                         
#OPERATOR:                   ,Stanley                                          
#REMARK:                     ,                                                 
#SAMPLE:                     ,005a-F1v2                                        
#SAMPLE MASS /mg:            ,5.10                                             
#MATERIAL:                   ,                                                 
#REFERENCE:                  ,-----                                            
#REFERENCE MASS /mg:         ,0                                                
#TYPE OF CRUCIBLE:           ,Al2O3 85 µl, open                                
#SAMPLE CRUCIBLE MASS /mg:   ,0                                                
#REFERENCE CRUCIBLE MASS /mg:,0                                                
#DSC RANGE /µV:              ,5000                                             
#TG RANGE /mg:               ,35000                                            
                             ,                                                 

##Temp./°C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 31.65800,  0.01326,7.766130e-12,7.709539e-10,5.781084e-11,2.169296e-10,1.790047e-12,1.331615e-09,3.148943e-13,6.865030e-13,7.731438e-14,1.008320e-13,2.303219e-13,1.142131e-12,4.963965e-12,2.871984e-08,2.224922e-10,2.858162e-12,1.210213e-12,6.778818e-09,5.639076e-12,2.462673e-11,1.285458e-13,5.235010e-11,2.273083e-13,1.074123e-11,3.880501e-12,1.725628e-08,2.343178e-12,1.959801e-12,2.009392e-12,9.705078e-11,1.997948e-12,5.309397e-13,6.867408e-14,1.772892e-12,1.387119e-13,7.256037e-13,1.009189e-12,2.917767e-13,2.030659e-13,2.107525e-13,5.110842e-13,7.498843e-13,2.483845e-13,2.019024e-13,5.835533e-14,5.857759e-13,6.083488e-14,8.234978e-14,1.721287e-13,2.558529e-12,2.235889e-13,2.235699e-13,9.882927e-14,1.209736e-13,3.156572e-13,1.106548e-13,3.640848e-13,2.941609e-13,1.308346e-13,1.633930e-13,1.701832e-13,2.711201e-13,9.035593e-13,3.735262e-13,1.226902e-13,4.609108e-14,9.566307e-14,6.871223e-14,1.017284e-13,3.211123e-13,9.169578e-14,4.271507e-14,6.409645e-14,2.785683e-14,6.304741e-14,4.105568e-14,1.849651e-13,1.213932e-13,4.984856e-14,7.679939e-14,1.755714e-14,4.979133e-14,4.872322e-14,6.039619e-14,3.348350e-14,3.636360e-14,4.811287e-14,6.573677e-14,1.043797e-13,1.953411e-13,6.099230e-13,1.930141e-13,7.172584e-14,4.960060e-14,4.225731e-14,2.696037e-14,5.072594e-14,4.490852e-14,1.194954e-14,2.297401e-14,7.996559e-14,6.265640e-15,7.193566e-14,5.558967e-14,3.861427e-14,7.233619e-14,4.063606e-14,1.555347e-13,6.237984e-14,2.444267e-14,2.087593e-14,1.606941e-14,1.387119e-13,8.677483e-14,2.991676e-14,4.126549e-14,3.819466e-14,2.139091e-14,4.593849e-14,2.621651e-14,7.677078e-15,1.809120e-14,4.607201e-14,2.163887e-14,2.579689e-14,1.534462e-14,3.056526e-14,4.345894e-14,1.231194e-14,3.077507e-14,3.533363e-14,4.700661e-14,6.543159e-14,3.525734e-14,3.960610e-14,4.145622e-14
 31.65800,  0.18635,7.747457e-12,7.748944e-10,5.857950e-11,2.196686e-10,1.866341e-12,1.350498e-09,3.720194e-13,6.637865e-13,1.079083e-13,1.835155e-13,2.117634e-13,1.150638e-12,5.166564e-12,2.863134e-08,2.209663e-10,2.737999e-12,1.217842e-12,6.775767e-09,5.593300e-12,2.403545e-11,1.090908e-13,5.206209e-11,1.858234e-13,1.082134e-11,3.920555e-12,1.746971e-08,2.446175e-12,1.797676e-12,2.173424e-12,9.716904e-11,1.952171e-12,5.985171e-13,9.350777e-14,1.758415e-12,1.418972e-13,7.021815e-13,9.400857e-13,2.561855e-13,1.695728e-13,2.320385e-13,4.754358e-13,7.500559e-13,2.741718e-13,2.049160e-13,5.637169e-14,5.247980e-13,7.498741e-14,9.846688e-14,1.737690e-13,2.505047e-12,2.022266e-13,2.205944e-13,9.007454e-14,1.354694e-13,3.148752e-13,1.010418e-13,3.334719e-13,2.411365e-13,8.297920e-14,1.701832e-13,2.081394e-13,2.347851e-13,8.569628e-13,3.502756e-13,9.003639e-14,6.548881e-14,7.689476e-14,7.664681e-14,9.196281e-14,3.559405e-13,6.966591e-14,4.502297e-14,1.900673e-14,1.629829e-14,7.046700e-14,4.645348e-14,1.995754e-13,1.357555e-13,2.627373e-14,6.405830e-14,3.750801e-14,4.942894e-14,1.212120e-14,5.225182e-14,3.300667e-14,5.009651e-14,1.276970e-14,3.993034e-14,1.031017e-13,1.887035e-13,6.273753e-13,1.772022e-13,2.558708e-14,1.704216e-14,5.578041e-14,3.251076e-14,4.031181e-14,1.645088e-14,1.736641e-14,3.697395e-14,8.606910e-14,2.848625e-14,5.789757e-14,6.308556e-14,3.542900e-14,6.064415e-14,4.626274e-14,2.105618e-13,3.083229e-14,3.561973e-14,2.411842e-14,1.639366e-14,1.100826e-13,1.005840e-13,5.187035e-14,2.524376e-14,3.062248e-14,1.338005e-14,2.326012e-14,2.463341e-14,2.850533e-14,3.423691e-15,5.557060e-14,9.355545e-15,9.489059e-15,1.011848e-14,3.214836e-14,4.042625e-14,3.156662e-15,6.933212e-15,3.674507e-14,6.208420e-15,5.898476e-14,1.360893e-14,4.216194e-14,3.693581e-14
 31.66000,  0.36153,7.917212e-12,7.705591e-10,5.768877e-11,2.167866e-10,1.858711e-12,1.349545e-09,3.871828e-13,7.307154e-13,9.280205e-14,1.418400e-13,2.232265e-13,1.118919e-12,5.152774e-12,2.871373e-08,2.207756e-10,2.636909e-12,1.200676e-12,6.766611e-09,5.700111e-12,2.434635e-11,9.732247e-14,5.254274e-11,1.899624e-13,1.103306e-11,3.987312e-12,1.737930e-08,2.440453e-12,1.927376e-12,2.116203e-12,9.711182e-11,1.929283e-12,5.587679e-13,7.525444e-14,1.769421e-12,1.284695e-13,6.959826e-13,9.662164e-13,2.464199e-13,1.965809e-13,1.909351e-13,4.133326e-13,7.600314e-13,1.989269e-13,1.612186e-13,3.607750e-14,6.104189e-13,8.709908e-14,7.824898e-14,1.741695e-13,2.585881e-12,1.826191e-13,2.458668e-13,9.171486e-14,1.309490e-13,3.219134e-13,1.054096e-13,3.434092e-13,2.470684e-13,1.096630e-13,1.945782e-13,1.496792e-13,2.337170e-13,8.922296e-13,3.606516e-13,1.042843e-13,6.043434e-14,9.104729e-14,7.950783e-14,8.259773e-14,3.492838e-13,5.881310e-14,4.063606e-14,4.881859e-14,3.973961e-14,6.335258e-14,5.049705e-14,1.836491e-13,1.130199e-13,3.592491e-14,5.106926e-14,5.965233e-14,5.023003e-14,2.646446e-14,2.879143e-14,3.682137e-14,1.917839e-14,4.296303e-14,6.424904e-14,1.202297e-13,1.602268e-13,5.642038e-13,2.128506e-13,3.840446e-14,2.156258e-14,4.395485e-14,3.291130e-14,5.955696e-14,1.185417e-14,3.218651e-14,1.211166e-15,6.516457e-14,2.943992e-14,3.912926e-14,4.382133e-14,2.673149e-14,8.471489e-14,8.077621e-15,2.334690e-13,3.931999e-14,3.758431e-14,8.401871e-15,4.073143e-14,1.156902e-13,6.970406e-14,3.325462e-14,4.214287e-14,1.101494e-14,3.630638e-14,2.749443e-14,2.394676e-14,2.802849e-14,3.005028e-14,1.839638e-14,2.459526e-14,3.531456e-14,2.907753e-14,2.594948e-14,2.995491e-14,4.529953e-15,3.272056e-14,2.623558e-14,3.058433e-14,2.984047e-14,4.202843e-14,3.956795e-14,2.581596e-14
 31.68500,  0.54121,7.957915e-12,7.713640e-10,5.809122e-11,2.182247e-10,1.959801e-12,1.362324e-09,1.006126e-12,7.769495e-13,1.046658e-13,1.300526e-13,1.910496e-13,1.135684e-12,5.097651e-12,2.851098e-08,2.209663e-10,2.789497e-12,1.179695e-12,6.801325e-09,5.608558e-12,2.405071e-11,9.993553e-14,5.274874e-11,2.039051e-13,1.099682e-11,4.014015e-12,1.752712e-08,2.463341e-12,1.854896e-12,2.104759e-12,9.648812e-11,1.990318e-12,5.479723e-13,9.694100e-14,1.744644e-12,1.505756e-13,7.016092e-13,1.001655e-12,3.004551e-13,1.563740e-13,1.868534e-13,4.868609e-13,8.233172e-13,2.308369e-13,1.795292e-13,5.850792e-14,6.174189e-13,9.131431e-14,1.027966e-13,1.554203e-13,2.577603e-12,1.968098e-13,1.941586e-13,1.023388e-13,9.594917e-14,2.810001e-13,1.119709e-13,3.310114e-13,2.537441e-13,1.052761e-13,1.954746e-13,1.989269e-13,2.384472e-13,8.874994e-13,3.619295e-13,9.448051e-14,7.229805e-14,9.669304e-14,7.473946e-14,5.158424e-14,3.314310e-13,8.114815e-14,4.445076e-14,3.106117e-14,3.752708e-14,4.734993e-14,3.375053e-14,1.869297e-13,1.338863e-13,5.507469e-14,4.189491e-14,5.660057e-14,3.045082e-14,3.205299e-14,1.515389e-14,2.261162e-14,3.149986e-14,5.433082e-14,3.087044e-14,1.086712e-13,1.865864e-13,5.950647e-13,2.054501e-13,3.226280e-14,1.275063e-14,2.474785e-14,2.848625e-14,3.611565e-14,3.085136e-14,3.039360e-14,5.197525e-15,7.872582e-14,4.109383e-14,6.009102e-14,5.206108e-14,1.249313e-15,5.183220e-14,3.201485e-14,2.015781e-13,3.777504e-14,2.993584e-14,2.596855e-14,3.369331e-14,7.615089e-14,7.990837e-14,4.073143e-14,3.317833e-14,3.298759e-14,2.644539e-14,1.769066e-14,8.077621e-15,2.032280e-14,1.389504e-14,2.385139e-14,2.074242e-14,2.860069e-14,3.096580e-14,3.022194e-14,3.661156e-14,8.172989e-15,1.000000e-17,3.899574e-14,3.247261e-14,4.755974e-14,2.507210e-14,4.281998e-15,2.804756e-14
 31.69500,  0.71362,7.808759e-12,7.706659e-10,5.797487e-11,2.185394e-10,1.971245e-12,1.364231e-09,3.745943e-13,7.539850e-13,1.044750e-13,1.270199e-13,2.482510e-13,1.095515e-12,5.066123e-12,2.856286e-08,2.205849e-10,2.722740e-12,1.114845e-12,6.734949e-09,5.568504e-12,2.423763e-11,7.817268e-14,5.303866e-11,2.263355e-13,1.106358e-11,3.977776e-12,1.759807e-08,2.419472e-12,1.809120e-12,2.041817e-12,9.692872e-11,1.996040e-12,6.041247e-13,1.041889e-13,1.714565e-12,1.216793e-13,7.061106e-13,9.702217e-13,2.861118e-13,1.278973e-13,1.983929e-13,4.637438e-13,7.532221e-13,2.161121e-13,1.640797e-13,4.220009e-14,5.926997e-13,1.039600e-13,7.910729e-14,1.652431e-13,2.590172e-12,1.731014e-13,2.051449e-13,9.348869e-14,1.008701e-13,2.598476e-13,1.042080e-13,3.013134e-13,2.797413e-13,1.152897e-13,1.815128e-13,1.556301e-13,2.372265e-13,9.195238e-13,3.550631e-13,7.954598e-14,5.261421e-14,8.749962e-14,6.388664e-14,9.955406e-14,3.362757e-13,7.206917e-14,5.799294e-14,3.600120e-14,2.934456e-14,3.977775e-14,1.551628e-14,2.131557e-13,1.359653e-13,4.221916e-14,3.220558e-14,1.748085e-14,4.511833e-14,2.591133e-14,2.268791e-14,7.104874e-15,3.369331e-14,1.042366e-14,8.231163e-14,9.346962e-14,1.909351e-13,6.524569e-13,2.020359e-13,4.670143e-14,2.709389e-14,1.803398e-14,1.025200e-14,5.524635e-14,5.269050e-14,5.807877e-15,9.145737e-15,4.933357e-14,4.641533e-14,8.511543e-14,6.917000e-14,2.493858e-14,6.875038e-14,6.226540e-14,2.057362e-13,5.589485e-14,3.218651e-14,4.086495e-14,2.297401e-14,1.317692e-13,1.005459e-13,2.280235e-14,3.352165e-14,3.687858e-14,1.713753e-14,3.397941e-14,2.039909e-14,2.411842e-14,7.562637e-15,8.249283e-15,4.225731e-14,8.211136e-15,3.088951e-14,3.663063e-14,1.145363e-14,4.019737e-14,2.949715e-14,1.973152e-14,3.405571e-14,2.743721e-14,2.488136e-14,1.000000e-17,3.157615e-14
 31.77100,  0.89386,7.787282e-12,7.713258e-10,5.839067e-11,2.169372e-10,1.957893e-12,1.366520e-09,1.006126e-12,7.234293e-13,9.457588e-14,1.375866e-13,2.015018e-13,1.139156e-12,5.220198e-12,2.859071e-08,2.223015e-10,2.854347e-12,1.179695e-12,6.763369e-09,5.417824e-12,2.411747e-11,1.101971e-13,5.361468e-11,2.136135e-13,1.117611e-11,3.840446e-12,1.764538e-08,2.501488e-12,1.812935e-12,2.049446e-12,9.694016e-11,1.940727e-12,6.103235e-13,9.402275e-14,1.724903e-12,1.097774e-13,6.948954e-13,9.816658e-13,2.690601e-13,1.722622e-13,2.090359e-13,4.936701e-13,7.359034e-13,2.146435e-13,1.821041e-13,4.992485e-14,5.903727e-13,7.264137e-14,1.108265e-13,1.331043e-13,2.523587e-12,1.969242e-13,2.129269e-13,1.049900e-13,1.377201e-13,2.816868e-13,1.009083e-13,3.025913e-13,2.473545e-13,1.120090e-13,2.030849e-13,1.565266e-13,2.620411e-13,8.722025e-13,3.800303e-13,9.669304e-14,4.038811e-14,8.790016e-14,6.791115e-14,7.912636e-14,3.949267e-13,5.408287e-14,4.622459e-14,2.764702e-14,1.612663e-14,5.255699e-14,3.836632e-14,1.993465e-13,1.058292e-13,3.378868e-14,5.620003e-14,3.304482e-14,2.938271e-14,2.360344e-14,2.966881e-14,9.202957e-15,2.915382e-14,2.736092e-14,4.693031e-14,1.169681e-13,1.808643e-13,5.904108e-13,1.737118e-13,1.595497e-14,3.865242e-14,2.451897e-14,1.151085e-14,5.255699e-14,4.069328e-14,4.620552e-14,1.919746e-14,6.245613e-14,2.442360e-14,4.836082e-14,5.400658e-14,3.066063e-14,6.083488e-14,3.464699e-14,1.918125e-13,2.327919e-14,3.371239e-14,3.123283e-14,7.333755e-15,8.610726e-14,9.554863e-14,3.882408e-14,4.021645e-14,5.865097e-15,1.336098e-14,3.869057e-14,1.482964e-14,8.630752e-15,2.467155e-14,1.749992e-14,1.233101e-14,2.310753e-14,4.510879e-15,7.104874e-15,1.914024e-14,2.985954e-14,2.196312e-14,3.073692e-14,6.742478e-15,3.386497e-14,4.958153e-14,1.843453e-14,2.804756e-14
 31.85300,  1.06575,7.912004e-12,7.700861e-10,5.799013e-11,2.178909e-10,1.948357e-12,1.362705e-09,3.701311e-13,7.187372e-13,8.898735e-14,1.183605e-13,2.272129e-13,1.109134e-12,5.141597e-12,2.854417e-08,2.213478e-10,2.779961e-12,1.112938e-12,6.751925e-09,5.543709e-12,2.454090e-11,8.379936e-14,5.266863e-11,1.655102e-13,1.103878e-11,3.987312e-12,1.765606e-08,2.490044e-12,1.967430e-12,2.060890e-12,9.610664e-11,1.891136e-12,5.696588e-13,9.486198e-14,1.850464e-12,1.247120e-13,7.662302e-13,9.388650e-13,2.971935e-13,1.442623e-13,2.026462e-13,4.395777e-13,7.294756e-13,2.245998e-13,1.281261e-13,3.380775e-14,5.522829e-13,7.475853e-14,1.068592e-13,1.912785e-13,2.646325e-12,2.078152e-13,1.732922e-13,6.680489e-14,1.231480e-13,2.600765e-13,1.132870e-13,3.313929e-13,2.591801e-13,1.111126e-13,2.071285e-13,1.423359e-13,2.388859e-13,9.280687e-13,3.596789e-13,7.687569e-14,5.980492e-14,9.333611e-14,4.385948e-14,6.924629e-14,3.587633e-13,7.292748e-14,5.480766e-14,2.856255e-14,2.701759e-14,4.906654e-14,3.233909e-14,2.132893e-13,1.278591e-13,1.711845e-14,6.358146e-14,6.115913e-14,3.224373e-14,3.508568e-14,4.324913e-14,2.972603e-14,3.890037e-14,3.323555e-14,3.321647e-14,1.214123e-13,1.645184e-13,5.571085e-13,1.725292e-13,3.085136e-14,2.911568e-14,4.757881e-14,1.837730e-14,2.205849e-14,1.721382e-14,2.089500e-14,2.192497e-14,7.479668e-14,4.042625e-14,6.001472e-14,7.012367e-14,3.512382e-14,6.041527e-14,2.758980e-14,2.124119e-13,4.483223e-14,7.715225e-15,3.027916e-14,1.694679e-14,1.390362e-13,1.060963e-13,2.961159e-14,2.573967e-14,1.433373e-14,3.970146e-14,4.879952e-14,1.399040e-14,2.186775e-14,1.416206e-14,1.952171e-14,3.033638e-14,3.296852e-14,2.039909e-14,8.115768e-15,4.250527e-14,2.299309e-14,2.419472e-14,2.337456e-14,2.335548e-14,2.800941e-14,2.341270e-14,3.449440e-14,2.062797e-14
 31.92500,  1.24404,7.837675e-12,7.663877e-10,5.787951e-11,2.172100e-10,1.896858e-12,1.368046e-09,3.423220e-13,7.598215e-13,1.059246e-13,1.130199e-13,2.289868e-13,1.198207e-12,4.942927e-12,2.862123e-08,2.200127e-10,2.745628e-12,1.133919e-12,6.749827e-09,5.801201e-12,2.423954e-11,9.228707e-14,5.316263e-11,2.205944e-13,1.107311e-11,3.901482e-12,1.760036e-08,2.461433e-12,1.879692e-12,1.992226e-12,9.612381e-11,1.931190e-12,5.358606e-13,9.131431e-14,1.702015e-12,1.509953e-13,7.423312e-13,9.774507e-13,2.893543e-13,1.287365e-13,2.034283e-13,4.592043e-13,7.874590e-13,2.352047e-13,1.701069e-13,3.869057e-14,6.040102e-13,6.674767e-14,8.221626e-14,1.763630e-13,2.591126e-12,1.724148e-13,1.863766e-13,9.421348e-14,1.146412e-13,2.705669e-13,1.231670e-13,2.943706e-13,2.700329e-13,1.208591e-13,1.805019e-13,1.107502e-13,2.478314e-13,8.752352e-13,3.776652e-13,1.283360e-13,3.815651e-14,7.210731e-14,6.180764e-14,7.424354e-14,3.216463e-13,5.635261e-14,4.950523e-14,2.011299e-14,5.375862e-14,5.850792e-14,1.916885e-15,1.774502e-13,1.138973e-13,3.661156e-14,7.161140e-14,3.460884e-14,1.887322e-14,3.840446e-14,3.260612e-14,4.855156e-14,3.384590e-14,2.821922e-14,5.457878e-14,1.181889e-13,1.774693e-13,5.961329e-13,1.891041e-13,4.408836e-14,3.958702e-14,3.657341e-14,3.046989e-14,3.458977e-14,1.343727e-14,4.130363e-14,3.413200e-14,6.630898e-14,3.304482e-14,6.787300e-14,2.015114e-14,8.306503e-15,6.743431e-14,3.735542e-14,2.050495e-13,2.999306e-14,2.298355e-15,4.063606e-14,5.578995e-15,1.364231e-13,8.555412e-14,5.290031e-14,4.082680e-14,2.848625e-14,4.036903e-14,3.422737e-14,4.338265e-14,4.587173e-15,1.322746e-14,2.501488e-14,1.778603e-14,4.343986e-14,2.911568e-14,1.338005e-14,1.641274e-14,2.737999e-14,1.000000e-17,1.761437e-14,4.482269e-16,4.837990e-14,2.715111e-14,4.265785e-14,3.710747e-14
 32.01300,  1.41733,7.833212e-12,7.624261e-10,5.761248e-11,2.149879e-10,1.990318e-12,1.377392e-09,3.541094e-13,6.753260e-13,9.993553e-14,1.101017e-13,2.016544e-13,1.133701e-12,5.119719e-12,2.837022e-08,2.205849e-10,2.655983e-12,1.149178e-12,6.746775e-09,5.663872e-12,2.409840e-11,8.868217e-14,5.308443e-11,2.195835e-13,1.124287e-11,3.981590e-12,1.769821e-08,2.470970e-12,1.896858e-12,1.999855e-12,9.571373e-11,1.873970e-12,6.294161e-13,9.486198e-14,1.707699e-12,1.126766e-13,7.473856e-13,9.789955e-13,2.975178e-13,1.688862e-13,2.035618e-13,4.445177e-13,7.586390e-13,2.133465e-13,1.669979e-13,5.789757e-14,6.094652e-13,9.112358e-14,9.364128e-14,1.695347e-13,2.492497e-12,1.550961e-13,2.219868e-13,1.008129e-13,1.170254e-13,2.805614e-13,1.134586e-13,3.239542e-13,2.623844e-13,9.055137e-14,1.777744e-13,1.745510e-13,2.427578e-13,8.919627e-13,3.389650e-13,9.690285e-14,3.670692e-14,9.303093e-14,6.608010e-14,5.343437e-14,3.233820e-13,6.033897e-14,4.551888e-14,3.033638e-14,4.940986e-14,2.106666e-14,2.581596e-14,1.517582e-13,1.091862e-13,1.599312e-14,3.094673e-14,4.801750e-14,4.395485e-14,1.561165e-14,3.571510e-14,1.391411e-14,1.074791e-14,2.148628e-14,5.646706e-14,1.109982e-13,1.747799e-13,6.159311e-13,1.817799e-13,2.031326e-15,3.050804e-14,1.822472e-14,6.983757e-14,2.903938e-14,2.375603e-14,3.464699e-14,1.151085e-14,2.558708e-14,5.585670e-14,4.586220e-14,5.675316e-14,1.696587e-14,7.403374e-14,2.457619e-14,2.152538e-13,2.020836e-14,4.210472e-14,4.378319e-14,3.153801e-14,1.208782e-13,1.087856e-13,5.307197e-14,3.508568e-14,3.283501e-14,3.834724e-14,1.667976e-14,3.228188e-14,3.102303e-14,3.911018e-14,1.343727e-14,1.189232e-14,2.421379e-14,1.009941e-14,1.559258e-14,4.063606e-14,2.324104e-14,2.663612e-14,1.814842e-14,2.079964e-14,3.787041e-14,3.560066e-14,1.622200e-14,1.015663e-14
 32.10300,  1.58923,8.008555e-12,7.635209e-10,5.770212e-11,2.178814e-10,1.940727e-12,1.372814e-09,3.630358e-13,7.116801e-13,1.091099e-13,1.161480e-13,1.612568e-13,1.076728e-12,5.119796e-12,2.827447e-08,2.190590e-10,2.705574e-12,1.194954e-12,6.689364e-09,5.461693e-12,2.374935e-11,1.164722e-13,5.272394e-11,1.723194e-13,1.113224e-11,4.240990e-12,1.774017e-08,2.472877e-12,1.837730e-12,2.093315e-12,9.607613e-11,2.091408e-12,5.739886e-13,8.667946e-14,1.637127e-12,1.405239e-13,6.532961e-13,9.800446e-13,2.857304e-13,1.554394e-13,2.148914e-13,4.356676e-13,7.972818e-13,2.239323e-13,1.706791e-13,2.802849e-14,5.291087e-13,6.560326e-14,8.090019e-14,1.457500e-13,2.556717e-12,2.002430e-13,2.034283e-13,9.711265e-14,1.028728e-13,2.976704e-13,1.009846e-13,3.010654e-13,2.573872e-13,1.260281e-13,2.090931e-13,1.794720e-13,2.726841e-13,8.710009e-13,3.372675e-13,6.329536e-14,3.611565e-14,7.740974e-14,6.989479e-14,6.894112e-14,3.391940e-13,8.238793e-14,5.566597e-14,3.310203e-14,2.987862e-14,3.954887e-14,3.397941e-14,1.882839e-13,1.163959e-13,4.847527e-14,6.068229e-14,3.947258e-14,2.041817e-14,2.995491e-14,4.197121e-14,1.795769e-14,4.170418e-14,2.900124e-14,4.042625e-14,1.249027e-13,1.501369e-13,6.569010e-13,1.944065e-13,3.407478e-14,1.955986e-14,1.454353e-14,4.717827e-14,3.100395e-14,2.217293e-14,2.575874e-14,1.975059e-14,5.923271e-14,3.287315e-14,5.808830e-14,2.509117e-14,1.559258e-14,6.800651e-14,1.856804e-14,1.653767e-13,2.802849e-14,5.007744e-14,2.966881e-14,4.426003e-14,1.208019e-13,9.707451e-14,6.190300e-14,4.664421e-14,1.809120e-14,1.000000e-17,1.650810e-14,3.245354e-14,4.712105e-14,1.755714e-14,1.105309e-14,1.030922e-14,2.335548e-14,1.852989e-14,1.761437e-14,5.440712e-14,2.205849e-14,2.202034e-14,3.527641e-14,3.434181e-14,5.877495e-14,2.415657e-14,5.273819e-15,1.860619e-14
