#EXPORTTYPE:                 ,DATA ALL                                         
#FILE:                       ,2024_03_13_PS-SCF3_P40042_Mn_1200_dynamic.ngb-ss5
#FORMAT:                     ,NETZSCH5                                         
#FTYPE:                      ,ASCII                                            
#IDENTITY:                   ,PS-1.2K-SCF3                                     
#DECIMAL:                    ,POINT                                            
#SEPARATOR:                  ,COMMA                                            
#MTYPE:                      ,DSC                                              
#INSTRUMENT:                 ,NETZSCH STA 449F5                                
#PROJECT:                    ,                                                 
#DATE/TIME:                  ,3/14/2024 3:30:13 AM (UTC-4)                     
#CORR. FILE:                 ,                                                 
#TEMPCAL:                    ,28-06-2023 13:26                                 
#SENSITIVITY:                ,28-06-2023 13:53                                 
#LABORATORY:                 ,Tran/AAG                                         
#OPERATOR:                   ,Stanley                                          
#REMARK:                     ,                                                 
#SAMPLE:                     ,005a-F1v2                                        
#SAMPLE MASS /mg:            ,5.10                                             
#MATERIAL:                   ,                                                 
#REFERENCE:                  ,-----                                            
#REFERENCE MASS /mg:         ,0                                                
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                                
#SAMPLE CRUCIBLE MASS /mg:   ,0                                                
#REFERENCE CRUCIBLE MASS /mg:,0                                                
#DSC RANGE /‘V:              ,5000                                             
#TG RANGE /mg:               ,35000                                            
#TAU-R:                      ,---                                              
#CORR. CODE:                 ,000                                              
#EXO:                        ,-1                                               
#RANGE:                      ,100›C/1.0(K/min)/400›C                           
#SEGMENT:                    ,S3/4                                             
#SEG. 3:                     ,100›C/1.0(K/min)/400›C                           

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),Sensit./(uV/mW)
107.02100, 21.00083,-3.272398e-02,103.70235,50.00000,20.00000,0.91916
109.02100, 30.31249,      0.14877,102.86605,50.00000,20.00000,0.91857
111.02100, 32.64394,      0.20239,102.86638,50.00000,20.00000,0.91797
113.02100, 34.66231,      0.22829,102.86608,50.00000,20.00000,0.91734
115.02100, 36.57938,      0.24030,102.84334,50.00000,20.00000,0.91669
117.02100, 38.47134,      0.24321,102.81264,50.00000,20.00000,0.91602
119.02100, 40.37493,      0.24652,102.77943,50.00000,20.00000,0.91533
121.02100, 42.29789,      0.24513,102.73962,50.00000,20.00000,0.91462
123.02100, 44.25220,      0.24616,102.71251,50.00000,20.00000,0.91388
125.02100, 46.22177,      0.24783,102.69290,50.00000,20.00000,0.91313
127.02100, 48.21032,      0.25001,102.66647,50.00000,20.00000,0.91235
129.02100, 50.20682,      0.25157,102.66650,50.00000,20.00000,0.91156
131.02100, 52.21345,      0.25631,102.64467,50.00000,20.00000,0.91074
133.02100, 54.21359,      0.25803,102.64944,50.00000,20.00000,0.90990
135.02100, 56.21124,      0.26250,102.62960,50.00000,20.00000,0.90904
137.02100, 58.20598,      0.26393,102.62639,50.00000,20.00000,0.90817
139.02100, 60.20571,      0.26718,102.60641,50.00000,20.00000,0.90727
141.02100, 62.20401,      0.27034,102.61234,50.00000,20.00000,0.90635
143.02100, 64.20300,      0.27280,102.63964,50.00000,20.00000,0.90542
145.02100, 66.19797,      0.27534,102.64654,50.00000,20.00000,0.90446
147.02100, 68.19395,      0.27570,102.64655,50.00000,20.00000,0.90349
149.02100, 70.19344,      0.28025,102.64098,50.00000,20.00000,0.90250
151.02100, 72.20256,      0.28060,102.64642,50.00000,20.00000,0.90148
