#EXPORTTYPE:                 ,DATA ALL                                 
#FILE:                       ,2024_03_13_Styrofoam-SCF3_dynamic.ngb-ss5
#FORMAT:                     ,NETZSCH5                                 
#FTYPE:                      ,ASCII                                    
#IDENTITY:                   ,Styrofoam-SCF3                           
#DECIMAL:                    ,POINT                                    
#SEPARATOR:                  ,COMMA                                    
#MTYPE:                      ,DSC                                      
#INSTRUMENT:                 ,NETZSCH STA 449F5                        
#PROJECT:                    ,                                         
#DATE/TIME:                  ,3/15/2024 4:44:01 AM (UTC-4)             
#CORR. FILE:                 ,                                         
#TEMPCAL:                    ,28-06-2023 13:26                         
#SENSITIVITY:                ,28-06-2023 13:53                         
#LABORATORY:                 ,Tran/AAG                                 
#OPERATOR:                   ,Stanley                                  
#REMARK:                     ,                                         
#SAMPLE:                     ,005a-F4                                  
#SAMPLE MASS /mg:            ,5.42                                     
#MATERIAL:                   ,                                         
#REFERENCE:                  ,-----                                    
#REFERENCE MASS /mg:         ,0                                        
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                        
#SAMPLE CRUCIBLE MASS /mg:   ,0                                        
#REFERENCE CRUCIBLE MASS /mg:,0                                        
#DSC RANGE /‘V:              ,5000                                     
#TG RANGE /mg:               ,35000                                    
#TAU-R:                      ,---                                      
#CORR. CODE:                 ,000                                      
#EXO:                        ,-1                                       
#RANGE:                      ,100›C/1.0(K/min)/400›C                   
#SEGMENT:                    ,S3/4                                     
#SEG. 3:                     ,100›C/1.0(K/min)/400›C                   

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),Sensit./(uV/mW)
106.99400, 21.00000,-2.006841e-02,101.54041,50.00000,20.00000,0.91916
109.49400, 30.93640,      0.16274,100.33398,50.00000,20.00000,0.91843
111.99400, 33.66246,      0.21232,100.29036,50.00000,20.00000,0.91767
114.49400, 36.08999,      0.23217,100.23764,50.00000,20.00000,0.91686
116.99400, 38.45572,      0.23914,100.21174,50.00000,20.00000,0.91603
119.49400, 40.83987,      0.24204,100.13956,50.00000,20.00000,0.91516
121.99400, 43.25639,      0.24181,100.05535,50.00000,20.00000,0.91426
124.49400, 45.71982,      0.24212,100.01993,50.00000,20.00000,0.91333
126.99400, 48.20191,      0.24546, 99.97510,50.00000,20.00000,0.91236
129.49400, 50.69665,      0.24985, 99.93177,50.00000,20.00000,0.91136
131.99400, 53.19472,      0.25175, 99.85545,50.00000,20.00000,0.91033
134.49400, 55.69602,      0.25466, 99.82800,50.00000,20.00000,0.90927
136.99400, 58.19787,      0.25869, 99.78283,50.00000,20.00000,0.90818
139.49400, 60.69666,      0.25988, 99.74523,50.00000,20.00000,0.90706
141.99400, 63.19709,      0.26542, 99.71994,50.00000,20.00000,0.90590
144.49400, 65.68951,      0.26508, 99.68983,50.00000,20.00000,0.90472
146.99400, 68.18648,      0.26773, 99.67643,50.00000,20.00000,0.90350
149.49400, 70.68220,      0.27092, 99.66451,50.00000,20.00000,0.90226
151.99400, 73.17805,      0.27216, 99.65350,50.00000,20.00000,0.90099
154.49400, 75.67671,      0.27396, 99.64002,50.00000,20.00000,0.89968
156.99400, 78.17784,      0.27644, 99.64658,50.00000,20.00000,0.89835
159.49400, 80.66922,      0.27681, 99.65792,50.00000,20.00000,0.89699
