#EXPORTTYPE:                 ,DATA ALL                            
#FILE:                       ,2024_03_13_Styrofoam_dynamic.ngb-ss5
#FORMAT:                     ,NETZSCH5                            
#FTYPE:                      ,ANSI                                
#IDENTITY:                   ,Styrofoam                           
#DECIMAL:                    ,POINT                               
#SEPARATOR:                  ,COMMA                               
#MTYPE:                      ,TIC                                 
#INSTRUMENT:                 ,NETZSCH STA 449F5                   
#PROJECT:                    ,                                    
#DATE/TIME:                  ,3/14/2024 8:19:19 PM (UTC-4)        
#CORR. FILE:                 ,                                    
#TEMPCAL:                    ,28-06-2023 13:26                    
#SENSITIVITY:                ,28-06-2023 13:53                    
#LABORATORY:                 ,Tran/AAG                            
#OPERATOR:                   ,Stanley                             
#REMARK:                     ,                                    
#SAMPLE:                     ,Styrofoam                           
#SAMPLE MASS /mg:            ,5.73                                
#MATERIAL:                   ,                                    
#REFERENCE:                  ,-----                               
#REFERENCE MASS /mg:         ,0                                   
#TYPE OF CRUCIBLE:           ,Al2O3 85 µl, open                   
#SAMPLE CRUCIBLE MASS /mg:   ,0                                   
#REFERENCE CRUCIBLE MASS /mg:,0                                   
#DSC RANGE /µV:              ,5000                                
#TG RANGE /mg:               ,35000                               
                             ,                                    

##Temp./°C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 32.08700,  0.01333,6.044079e-12,6.148735e-10,5.861956e-11,2.262070e-10,2.291679e-12,1.753521e-09,1.908970e-13,4.399019e-13,1.563072e-14,8.412361e-14,1.622868e-13,8.751589e-13,3.779749e-12,2.430088e-08,1.852989e-10,2.396584e-12,9.264857e-13,5.762774e-09,4.944801e-12,2.090168e-11,1.302814e-13,6.922633e-11,1.803684e-13,1.407909e-11,4.435539e-12,2.248700e-08,1.414299e-12,5.939966e-13,1.394950e-12,7.422548e-11,1.603126e-12,4.547030e-13,6.321907e-14,1.251842e-12,1.117420e-13,5.815226e-13,8.876139e-13,2.341747e-13,1.217937e-13,1.562977e-13,1.693630e-13,9.280205e-14,1.879978e-13,1.340961e-13,7.685661e-14,3.732401e-13,8.246422e-14,1.229572e-13,1.900005e-13,1.698582e-12,1.548099e-13,1.714992e-13,6.989479e-14,8.088112e-14,1.057148e-13,8.355140e-14,5.751610e-14,2.757072e-14,1.065159e-13,1.848888e-13,1.460171e-13,2.374744e-13,7.769686e-13,3.937823e-13,9.682655e-14,3.489494e-14,7.021904e-14,8.646965e-14,9.415626e-14,1.047039e-13,5.404472e-14,2.625465e-14,6.390572e-14,5.101204e-14,8.580208e-14,3.682137e-14,2.285290e-13,1.619816e-13,3.624916e-14,6.943702e-14,3.470421e-14,3.615379e-14,4.021645e-14,3.748894e-14,1.687050e-14,2.757072e-14,1.969337e-14,7.367134e-14,1.635647e-13,2.057934e-13,4.755312e-13,1.336193e-13,3.256798e-14,3.153801e-14,2.148628e-14,2.745628e-14,4.235268e-14,4.363060e-14,3.636360e-14,4.069328e-14,5.311012e-14,4.738808e-14,4.954338e-14,5.345344e-14,5.393028e-14,6.087303e-14,1.790047e-14,1.526356e-13,2.137184e-14,2.335548e-14,3.149986e-14,2.894402e-14,1.038837e-13,7.954598e-14,5.030632e-14,1.099586e-14,4.549980e-14,3.840446e-14,5.021095e-14,3.840446e-14,1.559258e-14,1.301765e-14,1.904488e-14,2.541542e-14,3.786087e-15,1.200676e-14,3.745079e-14,3.598213e-14,4.191399e-14,2.190590e-14,3.919601e-15,1.948357e-14,6.190300e-14,4.225731e-14,4.105568e-14,2.484322e-14
 32.07500,  0.19475,6.210972e-12,6.208836e-10,5.926806e-11,2.269394e-10,2.406120e-12,1.772404e-09,1.513195e-13,4.882914e-13,2.982139e-14,5.408287e-14,1.315594e-13,8.580500e-13,3.885378e-12,2.433426e-08,1.851082e-10,2.459526e-12,8.693033e-13,5.773837e-09,4.929542e-12,2.062893e-11,1.247501e-13,6.970698e-11,1.896763e-13,1.425838e-11,4.502296e-12,2.257988e-08,1.502037e-12,6.068331e-13,1.343471e-12,7.388597e-11,1.574516e-12,4.770762e-13,9.354591e-14,1.131011e-12,9.430885e-14,5.590731e-13,8.478838e-13,2.412319e-13,1.011372e-13,1.298046e-13,1.801395e-13,1.305103e-13,1.804066e-13,1.450443e-13,4.286766e-14,3.670603e-13,7.004738e-14,1.240063e-13,1.813412e-13,1.705181e-12,1.716518e-13,1.373577e-13,5.667687e-14,8.753777e-14,1.089191e-13,9.430885e-14,9.186745e-14,5.282402e-14,5.984306e-14,1.778889e-13,1.417637e-13,2.101231e-13,7.420450e-13,3.959376e-13,9.526253e-14,3.705025e-14,1.255131e-13,7.868767e-14,4.841805e-14,8.015633e-14,6.604195e-14,5.190849e-14,5.681038e-14,2.341270e-14,5.221367e-14,4.477501e-14,2.456951e-13,1.564312e-13,2.215385e-14,4.315376e-14,3.037453e-14,2.158165e-14,4.086495e-14,1.133919e-14,3.050804e-14,1.915932e-14,1.324654e-14,5.537987e-14,1.292515e-13,2.293491e-13,4.342371e-13,1.737118e-13,1.883507e-14,1.235008e-14,3.243446e-14,3.743172e-14,4.197121e-14,3.602028e-14,1.276970e-14,3.914833e-14,3.664970e-14,3.811836e-14,5.476952e-14,4.797935e-14,5.602837e-14,3.323555e-14,3.834724e-14,1.445103e-13,2.379417e-14,1.362801e-14,2.017021e-14,2.869606e-14,8.717537e-14,7.596016e-14,6.239891e-14,2.402306e-14,3.636360e-14,2.066612e-14,1.105309e-14,5.347252e-14,3.022194e-14,2.484322e-14,4.712105e-14,1.360893e-14,3.623009e-14,2.377510e-14,3.863335e-14,1.746178e-14,1.000000e-17,1.404762e-14,4.220009e-14,3.404617e-15,4.342079e-14,7.467270e-15,2.908707e-15,3.802299e-14
 32.06800,  0.37148,6.099773e-12,6.196819e-10,5.910021e-11,2.256119e-10,2.326012e-12,1.768971e-09,1.245785e-13,4.522425e-13,1.290321e-14,6.644249e-14,1.297474e-13,8.269984e-13,3.790888e-12,2.422688e-08,1.843452e-10,2.415657e-12,8.642107e-13,5.749804e-09,4.921913e-12,2.054310e-11,1.043606e-13,6.946665e-11,1.785946e-13,1.439571e-11,4.502296e-12,2.266362e-08,1.448631e-12,6.227976e-13,1.337844e-12,7.382494e-11,1.488686e-12,4.642397e-13,9.478569e-14,1.096832e-12,1.230335e-13,5.701738e-13,7.846743e-13,2.390385e-13,1.320553e-13,1.277065e-13,1.697636e-13,1.342678e-13,1.456547e-13,1.512241e-13,4.422188e-14,3.869921e-13,6.970406e-14,9.461403e-14,1.365376e-13,1.691429e-12,1.966190e-13,1.892185e-13,3.626823e-14,9.602547e-14,9.768486e-14,7.817268e-14,1.031208e-13,5.110741e-14,7.819176e-14,1.397419e-13,1.533794e-13,2.166271e-13,7.726389e-13,4.139620e-13,7.485389e-14,5.953788e-14,8.004188e-14,5.782127e-14,6.226540e-14,9.600639e-14,6.865502e-14,4.942894e-14,3.277779e-14,3.514290e-14,5.711555e-14,1.707077e-15,2.784062e-13,1.488590e-13,2.688408e-14,3.695488e-14,2.272606e-14,3.359794e-14,3.447533e-14,3.655434e-14,4.189491e-14,3.647804e-14,2.297401e-14,5.867958e-14,1.090527e-13,2.216625e-13,4.489237e-13,1.206493e-13,2.495766e-14,2.696037e-14,3.243446e-14,2.336502e-15,3.308296e-14,1.875877e-14,2.095222e-14,3.363609e-14,2.806663e-14,3.705025e-14,6.997108e-14,5.736351e-14,1.011848e-14,4.719734e-14,4.324913e-14,1.492596e-13,2.890587e-14,2.976418e-14,2.678871e-14,3.401756e-14,1.051998e-13,1.133442e-13,7.467270e-15,9.450912e-15,2.228737e-14,2.516746e-14,1.400948e-14,1.149178e-14,1.049042e-16,1.893044e-14,3.815651e-14,4.067421e-14,2.518654e-14,5.960465e-15,4.038811e-14,2.795219e-14,2.858162e-14,4.415512e-15,2.097130e-14,2.327919e-14,2.488136e-14,2.087593e-14,2.907753e-14,5.578995e-15
 32.09600,  0.55028,6.328865e-12,6.187779e-10,5.816179e-11,2.274182e-10,2.352714e-12,1.760769e-09,1.408482e-13,4.205996e-13,1.042366e-14,4.597664e-14,1.158810e-13,8.643442e-13,3.865713e-12,2.423070e-08,1.851082e-10,2.320290e-12,8.713633e-13,5.741793e-09,4.857063e-12,2.044392e-11,1.113605e-13,6.982714e-11,1.495457e-13,1.419353e-11,4.357338e-12,2.272809e-08,1.460075e-12,6.103235e-13,1.452037e-12,7.416254e-11,1.532555e-12,4.217058e-13,7.054329e-14,1.145850e-12,1.045132e-13,5.819040e-13,8.561426e-13,2.435017e-13,1.389790e-13,1.713467e-13,1.655674e-13,1.147175e-13,1.556492e-13,1.375484e-13,5.049705e-14,3.574663e-13,6.272316e-14,1.047993e-13,1.806545e-13,1.778213e-12,1.724720e-13,1.633930e-13,6.777763e-14,7.027626e-14,9.022713e-14,8.414269e-14,6.447792e-14,6.625175e-14,7.985115e-14,1.368046e-13,1.530552e-13,2.438641e-13,8.133036e-13,3.717905e-13,9.325981e-14,3.851890e-14,9.505272e-14,3.588676e-14,5.343437e-14,1.336002e-13,6.480217e-14,3.802299e-14,3.214836e-14,5.768776e-14,5.635261e-14,3.327370e-14,2.759266e-13,1.290798e-13,6.646157e-14,7.235527e-14,1.585960e-14,4.498482e-14,3.294945e-14,3.533363e-14,1.254082e-14,3.060341e-14,2.026558e-14,4.611015e-14,1.457119e-13,2.354145e-13,4.449183e-13,1.280308e-13,4.506111e-14,3.493309e-14,1.919746e-14,1.000000e-17,3.746986e-14,1.181602e-14,3.540993e-14,2.041817e-14,6.358146e-14,6.093979e-15,4.738808e-14,6.176948e-14,2.463341e-14,5.558967e-14,1.553536e-14,1.416874e-13,4.347801e-14,9.164810e-15,9.965897e-15,7.677078e-15,8.700371e-14,1.076984e-13,7.208824e-14,2.696037e-14,2.154350e-14,2.247810e-14,3.638267e-14,2.118111e-14,1.000000e-17,1.355171e-14,1.282692e-14,2.097130e-14,3.220558e-14,1.942635e-14,2.427101e-14,1.332283e-14,3.863335e-14,4.078865e-14,3.023148e-15,1.336098e-14,1.585960e-14,3.113747e-14,2.161980e-14,2.495766e-14
 32.13100,  0.72924,5.976807e-12,6.184059e-10,5.833536e-11,2.259591e-10,2.430916e-12,1.774311e-09,1.742268e-13,3.990084e-13,1.000000e-17,4.260063e-14,1.402187e-13,9.532655e-13,3.951658e-12,2.422097e-08,1.852989e-10,2.333641e-12,9.091669e-13,5.734545e-09,4.786491e-12,2.044773e-11,1.255322e-13,6.916910e-11,1.789570e-13,1.428509e-11,4.462242e-12,2.262948e-08,1.498222e-12,5.803209e-13,1.378185e-12,7.346254e-11,1.471519e-12,4.410082e-13,8.852959e-14,1.107322e-12,1.268673e-13,5.323130e-13,8.611208e-13,2.035999e-13,1.051617e-13,1.480198e-13,1.776409e-13,8.448601e-14,1.355267e-13,1.236629e-13,5.745888e-14,4.204470e-13,9.070396e-14,9.091377e-14,1.850224e-13,1.803219e-12,1.739407e-13,1.418591e-13,6.928444e-14,6.852150e-14,1.151943e-13,4.267692e-14,1.007175e-13,4.698753e-14,7.618904e-14,1.734257e-13,1.620960e-13,1.915073e-13,7.907015e-13,3.506571e-13,7.678032e-14,3.912926e-14,4.565239e-14,4.611015e-14,5.116463e-14,9.158134e-14,5.663872e-14,4.897118e-14,4.889488e-14,3.842354e-14,6.207466e-14,2.112389e-14,2.509403e-13,1.622105e-13,6.291389e-14,4.189491e-14,2.652168e-14,3.760338e-14,4.286766e-14,3.663063e-14,3.447533e-14,3.485679e-14,2.800941e-14,4.406929e-14,1.199436e-13,2.231884e-13,4.810435e-13,1.352024e-13,1.242638e-14,1.963615e-14,2.482414e-14,3.512382e-14,2.985954e-14,2.894402e-14,1.156807e-14,2.116203e-14,3.993034e-14,1.969337e-14,4.490852e-14,3.514290e-14,5.496025e-14,3.752708e-14,2.711296e-14,1.159382e-13,6.189346e-15,3.161430e-14,1.879692e-14,6.494522e-15,8.204460e-14,8.204460e-14,6.039619e-14,1.210213e-14,1.830101e-14,3.085136e-14,4.777908e-15,1.355171e-14,1.059532e-14,3.531456e-14,9.202957e-15,2.610207e-14,3.687858e-14,1.479149e-14,2.720833e-14,1.000404e-14,2.051353e-14,2.648354e-14,1.881599e-14,6.399155e-15,2.762794e-14,2.644539e-14,1.097679e-14,3.327370e-14
 32.20000,  0.90719,6.158405e-12,6.133247e-10,5.842882e-11,2.280571e-10,2.284050e-12,1.773357e-09,1.290798e-13,3.797442e-13,5.044937e-15,6.016731e-14,1.089382e-13,8.135134e-13,3.851427e-12,2.424576e-08,1.845360e-10,2.478600e-12,9.179598e-13,5.691057e-09,4.963875e-12,2.044964e-11,1.230144e-13,7.042223e-11,1.786327e-13,1.418591e-11,4.570961e-12,2.277691e-08,1.399040e-12,5.722910e-13,1.390525e-12,7.215029e-11,1.528740e-12,4.356867e-13,1.038456e-13,1.070968e-12,1.015759e-13,5.565554e-13,8.581072e-13,2.221394e-13,9.726524e-14,1.429081e-13,1.650524e-13,1.079845e-13,1.421452e-13,1.553059e-13,3.409386e-14,3.500277e-13,6.552696e-14,1.019192e-13,1.533413e-13,1.743538e-12,1.688290e-13,1.529026e-13,6.155968e-14,8.431434e-14,7.580757e-14,7.725716e-14,9.793282e-14,5.177498e-14,7.744789e-14,1.564503e-13,1.348209e-13,2.067089e-13,7.890612e-13,3.819948e-13,8.154869e-14,5.183220e-14,9.556771e-14,8.242607e-14,8.572579e-14,1.020527e-13,3.188133e-14,7.004738e-14,3.882408e-14,4.323006e-14,5.055427e-14,3.556252e-14,2.413082e-13,1.566792e-13,2.865791e-14,4.548073e-14,1.933098e-14,2.743721e-14,3.626823e-14,2.976418e-14,2.362251e-14,1.000000e-17,3.861427e-14,7.273674e-14,1.654911e-13,2.013111e-13,4.648882e-13,1.135159e-13,2.253532e-14,3.451347e-14,2.135277e-14,1.151085e-14,2.898216e-14,3.283501e-14,2.955437e-14,1.553536e-14,4.738808e-14,1.841545e-14,4.881859e-14,5.076408e-14,1.629829e-14,4.935265e-14,1.000000e-17,1.704884e-13,2.255440e-14,2.377510e-14,1.221657e-14,1.000000e-17,1.083088e-13,9.457588e-14,4.021645e-14,2.644539e-14,4.126549e-14,3.989220e-14,1.990318e-14,4.416466e-14,6.008148e-16,1.326561e-14,3.424644e-14,9.698868e-15,1.000000e-17,9.279251e-15,2.934456e-14,3.214836e-14,4.118919e-14,3.060341e-14,3.283501e-14,1.812935e-14,4.036903e-14,3.710747e-14,1.282692e-14,2.554893e-14
 32.26800,  1.08888,6.307083e-12,6.145893e-10,5.890375e-11,2.255070e-10,2.440453e-12,1.786518e-09,1.455784e-13,4.521662e-13,1.029015e-14,4.179954e-14,1.091480e-13,8.446795e-13,3.910803e-12,2.410862e-08,1.828194e-10,2.415657e-12,8.694178e-13,5.717951e-09,4.780769e-12,2.043819e-11,1.207638e-13,7.026583e-11,1.418018e-13,1.441860e-11,4.256249e-12,2.273018e-08,1.427650e-12,5.704027e-13,1.357108e-12,7.326800e-11,1.500130e-12,4.568774e-13,6.804466e-14,1.168128e-12,1.039600e-13,6.048494e-13,8.081728e-13,1.983357e-13,1.113796e-13,1.541805e-13,1.898670e-13,1.326656e-13,1.453114e-13,1.543522e-13,4.717827e-14,3.935915e-13,8.450508e-14,9.182930e-14,1.629353e-13,1.685230e-12,1.781940e-13,1.760197e-13,6.690025e-14,6.789208e-14,7.376671e-14,8.549690e-14,8.593559e-14,5.198479e-14,1.066113e-13,1.443386e-13,1.755238e-13,2.431202e-13,7.621294e-13,3.764254e-13,7.201195e-14,4.645348e-14,7.479668e-14,7.002831e-14,5.627632e-14,5.743980e-14,7.760048e-14,6.606102e-14,3.043175e-14,3.287315e-14,6.379128e-14,3.652573e-15,2.094746e-13,1.339626e-13,1.980781e-14,3.907204e-14,8.687973e-15,4.641533e-14,3.422737e-14,4.229546e-14,2.409935e-14,4.031181e-14,6.589890e-15,3.460884e-14,1.460743e-13,1.932430e-13,4.368502e-13,1.396656e-13,5.097389e-14,2.512932e-14,4.660606e-14,2.367973e-14,3.323555e-14,3.726005e-14,1.057625e-14,2.812386e-14,5.972862e-14,1.542091e-14,2.873421e-14,3.987312e-14,7.390976e-15,6.501198e-14,2.682686e-14,1.302814e-13,1.038551e-14,9.603500e-15,1.267433e-14,1.135826e-14,9.573936e-14,5.366325e-14,6.293297e-14,4.323006e-14,3.096580e-14,2.324104e-14,1.318932e-14,5.846024e-15,1.441002e-14,3.951073e-14,1.000000e-17,1.000000e-17,2.673149e-14,1.227379e-14,1.248360e-14,2.182960e-14,2.285957e-14,1.700401e-14,3.558159e-14,1.559258e-14,4.593849e-14,3.815651e-14,1.036644e-14,5.017280e-14
 32.31100,  1.26756,6.234166e-12,6.129681e-10,5.835634e-11,2.243397e-10,2.259254e-12,1.790333e-09,1.426601e-13,4.024416e-13,1.000000e-17,4.527092e-14,1.332188e-13,8.199221e-13,3.884061e-12,2.410653e-08,1.826286e-10,2.366066e-12,8.439738e-13,5.699068e-09,4.845619e-12,2.053738e-11,1.323986e-13,7.024866e-11,1.946163e-13,1.443195e-11,4.513741e-12,2.295582e-08,1.463890e-12,5.789286e-13,1.324931e-12,7.383829e-11,1.566887e-12,4.593951e-13,1.001263e-13,1.189910e-12,9.203911e-14,5.653292e-13,7.616717e-13,2.322864e-13,1.188564e-13,1.191044e-13,1.616192e-13,1.341343e-13,1.868725e-13,1.235676e-13,6.737709e-14,3.996760e-13,9.409904e-14,7.708549e-14,1.792812e-13,1.682598e-12,1.843166e-13,1.850605e-13,4.363060e-14,6.978035e-14,1.002789e-13,6.604195e-14,6.798745e-14,2.728462e-14,9.667396e-14,1.723385e-13,1.630497e-13,2.312374e-13,7.565600e-13,3.880984e-13,8.202553e-14,7.569313e-14,7.189751e-14,3.470421e-14,6.281852e-14,1.103115e-13,4.269600e-14,3.077507e-14,5.055427e-14,4.324913e-14,6.638527e-14,2.099037e-14,2.441311e-13,1.377392e-13,3.518105e-14,4.002571e-14,2.545357e-14,3.912926e-14,3.010750e-14,3.565788e-14,5.652428e-14,3.531456e-14,4.597664e-14,7.159233e-14,1.335812e-13,1.903248e-13,4.777056e-13,1.443386e-13,4.548073e-14,2.255440e-14,1.708031e-14,1.679421e-14,2.085686e-14,4.921913e-14,3.022194e-14,4.199028e-14,3.392220e-14,4.868508e-14,3.802299e-14,4.145622e-14,2.404213e-14,4.050255e-14,2.017021e-14,1.082134e-13,3.928184e-14,2.049446e-14,1.866341e-14,1.553536e-14,1.013851e-13,6.999016e-14,2.211571e-14,1.978874e-14,3.741264e-14,2.970695e-14,2.411842e-14,1.000000e-17,1.284599e-14,2.715111e-14,2.182960e-14,4.769325e-14,1.795769e-14,2.394676e-14,2.024650e-14,2.518654e-14,1.000000e-17,1.000000e-17,3.346443e-14,3.132820e-14,2.568245e-14,3.655434e-14,1.000000e-17,2.253532e-14
 32.42400,  1.44427,6.166626e-12,6.087967e-10,5.845934e-11,2.267945e-10,2.232552e-12,1.784992e-09,1.290417e-13,4.815966e-13,1.000000e-17,6.178856e-14,1.297665e-13,9.037882e-13,3.837789e-12,2.397625e-08,1.822472e-10,2.316475e-12,8.522898e-13,5.702311e-09,4.809379e-12,2.023029e-11,1.253605e-13,7.058054e-11,1.282597e-13,1.425266e-11,4.471779e-12,2.287896e-08,1.441002e-12,5.290514e-13,1.373054e-12,7.248980e-11,1.450539e-12,4.423052e-13,1.211071e-13,1.144096e-12,1.221180e-13,5.566317e-13,8.201700e-13,2.206135e-13,1.008701e-13,1.332760e-13,2.046680e-13,1.299000e-13,1.634312e-13,1.543903e-13,6.613732e-14,4.279047e-13,8.137703e-14,1.072216e-13,2.123165e-13,1.681950e-12,1.908970e-13,1.732922e-13,8.065223e-14,9.133339e-14,1.037693e-13,7.231713e-14,9.364128e-14,5.339623e-14,1.073933e-13,1.672649e-13,1.549816e-13,2.075863e-13,7.328516e-13,3.736025e-13,1.034069e-13,3.901482e-14,5.703926e-14,5.324364e-14,5.833626e-14,1.072407e-13,4.111290e-14,1.973152e-14,2.587318e-14,5.543709e-14,4.927635e-14,4.488945e-14,2.513981e-13,1.732922e-13,3.750801e-14,5.583763e-14,3.497124e-14,2.036095e-14,3.046989e-14,3.588676e-14,3.552437e-14,1.497269e-15,4.591942e-14,6.014824e-14,1.166630e-13,2.407169e-13,4.074961e-13,9.547234e-14,3.668785e-14,3.247261e-14,1.200676e-14,5.807877e-15,1.753807e-14,3.567696e-14,1.530647e-14,1.822472e-14,5.328178e-14,3.836632e-14,4.889488e-14,6.375313e-14,2.507210e-14,2.026558e-14,3.445625e-14,1.167965e-13,3.035545e-14,1.732826e-14,4.072189e-15,3.441811e-14,9.305000e-14,8.971214e-14,1.671791e-14,1.790047e-14,3.582954e-14,2.957344e-14,1.702309e-14,1.000000e-17,2.053261e-14,1.452446e-14,2.417564e-14,2.852440e-14,1.160622e-14,1.996040e-14,2.680778e-14,5.333900e-14,3.640175e-14,1.086235e-14,3.012657e-14,7.600784e-15,4.475594e-14,3.447533e-14,3.226280e-14,3.094673e-14
 32.47600,  1.61870,6.072213e-12,6.063877e-10,5.863672e-11,2.255814e-10,2.331734e-12,1.800060e-09,1.383114e-13,4.328829e-13,1.000000e-17,4.775047e-14,1.292324e-13,8.658129e-13,3.910803e-12,2.396367e-08,1.814842e-10,2.335548e-12,8.652216e-13,5.699831e-09,4.887581e-12,2.010059e-11,1.108456e-13,7.114703e-11,1.671696e-13,1.431179e-11,4.372596e-12,2.300770e-08,1.454353e-12,5.818087e-13,1.326991e-12,7.295901e-11,1.549721e-12,4.358202e-13,7.220268e-14,1.136886e-12,1.197147e-13,6.050974e-13,7.679278e-13,2.309513e-13,1.065350e-13,1.373959e-13,1.689816e-13,8.679390e-14,1.597500e-13,1.211834e-13,3.312111e-14,3.721720e-13,7.336617e-14,1.166058e-13,1.617336e-13,1.728737e-12,1.733494e-13,1.204586e-13,6.041527e-14,6.823540e-14,6.855965e-14,7.561683e-14,9.993553e-14,2.743721e-14,9.919166e-14,1.910877e-13,1.443195e-13,2.117062e-13,7.880694e-13,3.759676e-13,6.340981e-14,2.028465e-14,8.303642e-14,4.473686e-14,7.033348e-14,8.061409e-14,4.706383e-14,3.733635e-14,2.816200e-14,3.798485e-14,7.327080e-14,3.703117e-14,2.392292e-13,1.286793e-13,4.385948e-14,6.564140e-14,3.256798e-14,1.744270e-14,4.057884e-14,4.052162e-14,4.155159e-14,2.062797e-14,2.686501e-14,7.220268e-14,1.802540e-13,2.060413e-13,4.481226e-13,1.049519e-13,3.666878e-14,3.808022e-14,3.453255e-14,1.177788e-14,3.558159e-14,3.079414e-14,2.655983e-14,4.784584e-14,3.642082e-14,2.663612e-14,4.508018e-14,6.472587e-14,4.254341e-14,4.223824e-14,2.884865e-14,1.537228e-13,4.363060e-14,3.239632e-14,2.930641e-14,2.316475e-14,7.699012e-14,1.123142e-13,4.630089e-14,2.570152e-14,4.355431e-14,4.710197e-14,4.038811e-14,2.415657e-14,9.469986e-15,2.572060e-14,5.311966e-15,1.305580e-14,1.795769e-14,4.568100e-15,2.516746e-14,2.058983e-14,3.926277e-14,1.574516e-14,2.547264e-14,5.216599e-15,4.668236e-14,1.822472e-14,3.308296e-14,2.053261e-14
