#EXPORTTYPE:                 ,DATA ALL                               
#FILE:                       ,2025_02_28_Styrofoam_Isothermal.ngb-ss5
#FORMAT:                     ,NETZSCH5                               
#FTYPE:                      ,ASCII                                  
#IDENTITY:                   ,2025_02_28_Styrofoam_Is                
#DECIMAL:                    ,POINT                                  
#SEPARATOR:                  ,COMMA                                  
#MTYPE:                      ,DSC                                    
#INSTRUMENT:                 ,NETZSCH STA 449F5                      
#PROJECT:                    ,PS                                     
#DATE/TIME:                  ,2/28/2025 1:55:09 PM (UTC-5)           
#CORR. FILE:                 ,                                       
#TEMPCAL:                    ,13-11-2024 10:37                       
#SENSITIVITY:                ,28-06-2023 13:53                       
#LABORATORY:                 ,Tran/Aspuru                            
#OPERATOR:                   ,Stanley                                
#REMARK:                     ,                                       
#SAMPLE:                     ,2025_02_28_Styrofoam_Is                
#SAMPLE MASS /mg:            ,5.03                                   
#MATERIAL:                   ,                                       
#REFERENCE:                  ,                                       
#REFERENCE MASS /mg:         ,0                                      
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                      
#SAMPLE CRUCIBLE MASS /mg:   ,0                                      
#REFERENCE CRUCIBLE MASS /mg:,0                                      
#DSC RANGE /‘V:              ,5000                                   
#TG RANGE /mg:               ,35000                                  
#TAU-R:                      ,---                                    
#CORR. CODE:                 ,000                                    
#EXO:                        ,-1                                     
#RANGE:                      ,30›C....800›C/0.0....20.0K/min         
#SEGMENT:                    ,S1-5/5                                 
#SEG. 1:                     ,30›C/10.0(K/min)/100›C                 
#SEG. 2:                     ,100›C/00:10/100›C                      
#SEG. 3:                     ,100›C/5.0(K/min)/300›C                 
#SEG. 4:                     ,300›C/20:00/300›C                      
#SEG. 5:                     ,300›C/20.0(K/min)/800›C                

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 28.15900,   0.00000,      0.17695,    100.00000,50.00000,50.00000,            ,0.92320,1
 28.24600,   0.04000,      0.17004,     99.99105,50.00000,50.00000,2.222805e-10,0.92320,1
 28.30300,   0.08000,      0.16511,     99.99105,50.00000,50.00000,2.222805e-10,0.92320,1
 28.36300,   0.12000,      0.15870,     99.99105,50.00000,50.00000,2.229957e-10,0.92322,1
 28.42800,   0.16000,      0.15574,     99.97753,50.00000,50.00000,2.229957e-10,0.92322,1
 28.51200,   0.20000,      0.15098,     99.96402,50.00000,50.00000,2.229957e-10,0.92322,1
 28.57500,   0.24000,      0.14555,     99.96402,50.00000,50.00000,2.229957e-10,0.92322,1
 28.63400,   0.28000,      0.14506,     99.93698,50.00000,50.00000,2.228793e-10,0.92323,1
 28.71200,   0.32000,      0.14391,     99.95726,50.00000,50.00000,2.228793e-10,0.92323,1
 28.78200,   0.36000,      0.14160,     99.97296,50.00000,50.00000,2.228793e-10,0.92323,1
 28.85000,   0.40000,      0.13996,     99.99324,50.00000,50.00000,2.228793e-10,0.92323,1
 28.91200,   0.44000,      0.13963,     99.99324,50.00000,50.00000,2.220745e-10,0.92324,1
 28.99400,   0.48000,      0.14061,    100.06521,50.00000,50.00000,2.220745e-10,0.92324,1
 29.05400,   0.52000,      0.14192,    100.06521,50.00000,50.00000,2.220745e-10,0.92324,1
 29.15600,   0.56000,      0.14471,    100.08091,50.00000,50.00000,2.220745e-10,0.92324,1
 29.23600,   0.60000,      0.14767,     66.87634,50.00000,50.00000,2.224961e-10,0.92325,1
 29.31300,   0.64000,      0.15079,     73.42823,50.00000,50.00000,2.224961e-10,0.92325,1
 29.40700,   0.68000,      0.15407,     80.94493,50.00000,50.00000,2.224961e-10,0.92325,1
 29.50100,   0.72000,      0.16064,     85.37356,50.00000,50.00000,2.224961e-10,0.92325,1
 29.58500,   0.76000,      0.16523,     88.63260,50.00000,50.00000,2.218819e-10,0.92327,1
 29.69200,   0.80000,      0.17344,     90.17336,50.00000,50.00000,2.218819e-10,0.92327,1
 29.80600,   0.84000,      0.17984,     90.88410,50.00000,50.00000,2.218819e-10,0.92327,1
 29.91200,   0.88000,      0.18756,     91.07535,50.00000,50.00000,2.218819e-10,0.92327,1
 30.00700,   0.92000,      0.19856,     91.30020,50.00000,50.00000,2.218819e-10,0.92327,1
 30.13600,   0.96000,      0.20578,     91.48688,50.00000,50.00000,2.218971e-10,0.92328,1
 30.24700,   1.00000,      0.21579,     91.90517,50.00000,50.00000,2.218971e-10,0.92328,1
 30.36000,   1.04000,      0.22482,     91.91650,50.00000,50.00000,2.218971e-10,0.92328,1
 30.51100,   1.08000,      0.23581,     92.23817,50.00000,50.00000,2.218971e-10,0.92328,1
 30.63800,   1.12000,      0.24681,     92.47197,50.00000,50.00000,2.226772e-10,0.92329,1
 30.78500,   1.16000,      0.25813,     92.60477,50.00000,50.00000,2.226772e-10,0.92329,1
 30.92600,   1.20000,      0.27110,     92.76660,50.00000,50.00000,2.226772e-10,0.92329,1
 31.07200,   1.24000,      0.28160,     92.87018,50.00000,50.00000,2.226772e-10,0.92329,1
 31.22500,   1.28000,      0.29276,     92.95785,50.00000,50.00000,2.215366e-10,0.92331,1
 31.37900,   1.32000,      0.30835,     93.07475,50.00000,50.00000,2.215366e-10,0.92331,1
 31.54400,   1.36000,      0.32098,     93.16700,50.00000,50.00000,2.215366e-10,0.92331,1
 31.68900,   1.40000,      0.33312,     93.26143,50.00000,50.00000,2.215366e-10,0.92331,1
 31.86600,   1.44000,      0.34673,     93.35149,50.00000,50.00000,2.223720e-10,0.92332,1
 32.05200,   1.48000,      0.35953,     93.42107,50.00000,50.00000,2.223720e-10,0.92332,1
 32.21500,   1.52000,      0.37232,     93.45050,50.00000,50.00000,2.223720e-10,0.92332,1
 32.39400,   1.56000,      0.38659,     93.48867,50.00000,50.00000,2.223720e-10,0.92332,1
 32.58600,   1.60000,      0.39905,     93.52465,50.00000,50.00000,2.217350e-10,0.92334,1
 32.77400,   1.64000,      0.41299,     93.59205,50.00000,50.00000,2.217350e-10,0.92334,1
 32.95800,   1.68000,      0.42759,     93.66402,50.00000,50.00000,2.217350e-10,0.92334,1
 33.15700,   1.72000,      0.44005,     93.70239,50.00000,50.00000,2.217350e-10,0.92334,1
 33.34500,   1.76000,      0.45250,     93.75845,50.00000,50.00000,2.220993e-10,0.92335,1
 33.55500,   1.80000,      0.46463,     93.83280,50.00000,50.00000,2.220993e-10,0.92335,1
 33.75000,   1.84000,      0.47742,     93.86879,50.00000,50.00000,2.220993e-10,0.92335,1
 33.97500,   1.88000,      0.49201,     93.88231,50.00000,50.00000,2.220993e-10,0.92335,1
 34.17600,   1.92000,      0.50266,     93.90915,50.00000,50.00000,2.220993e-10,0.92335,1
 34.38800,   1.96000,      0.51527,     93.92266,50.00000,50.00000,2.216052e-10,0.92336,1
 34.60900,   2.00000,      0.52625,     93.95427,50.00000,50.00000,2.216052e-10,0.92336,1
 34.82600,   2.04000,      0.54050,     94.01054,50.00000,50.00000,2.216052e-10,0.92336,1
 35.04500,   2.08000,      0.55181,     94.13419,50.00000,50.00000,2.216052e-10,0.92336,1
 35.28900,   2.12000,      0.56179,     94.25109,50.00000,50.00000,2.222958e-10,0.92338,1
 35.51000,   2.16000,      0.57490,     94.21511,50.00000,50.00000,2.222958e-10,0.92338,1
 35.75100,   2.20000,      0.58767,     94.29165,50.00000,50.00000,2.222958e-10,0.92338,1
 35.96200,   2.24000,      0.59815,     94.39284,50.00000,50.00000,2.222958e-10,0.92338,1
 36.21100,   2.28000,      0.61093,     94.29165,50.00000,50.00000,2.221375e-10,0.92340,1
 36.45400,   2.32000,      0.62009,     94.26004,50.00000,50.00000,2.221375e-10,0.92340,1
 36.66800,   2.36000,      0.63254,     94.23996,50.00000,50.00000,2.221375e-10,0.92340,1
 36.92600,   2.40000,      0.64334,     94.26680,50.00000,50.00000,2.221375e-10,0.92340,1
 37.18400,   2.44000,      0.65512,     94.26680,50.00000,50.00000,2.223778e-10,0.92341,1
 37.42500,   2.48000,      0.66510,     94.26680,50.00000,50.00000,2.223778e-10,0.92341,1
 37.68000,   2.52000,      0.67459,     94.30954,50.00000,50.00000,2.223778e-10,0.92341,1
 37.94100,   2.56000,      0.68687,     94.32525,50.00000,50.00000,2.223778e-10,0.92341,1
 38.18100,   2.60000,      0.69685,     94.32525,50.00000,50.00000,2.221909e-10,0.92343,1
 38.45900,   2.64000,      0.70748,     94.35447,50.00000,50.00000,2.221909e-10,0.92343,1
 38.71500,   2.68000,      0.71762,     94.36799,50.00000,50.00000,2.221909e-10,0.92343,1
 38.96500,   2.72000,      0.72891,     94.38151,50.00000,50.00000,2.221909e-10,0.92343,1
 39.23500,   2.76000,      0.73905,     94.42664,50.00000,50.00000,2.222537e-10,0.92344,1
 39.50200,   2.80000,      0.74886,     94.47833,50.00000,50.00000,2.222537e-10,0.92344,1
 39.77600,   2.84000,      0.75982,     94.50755,50.00000,50.00000,2.222537e-10,0.92344,1
 40.06300,   2.88000,      0.76963,     94.53459,50.00000,50.00000,2.222537e-10,0.92344,1
 40.34900,   2.92000,      0.78075,     94.56382,50.00000,50.00000,2.222042e-10,0.92346,1
 40.62000,   2.96000,      0.79237,     94.60199,50.00000,50.00000,2.222042e-10,0.92346,1
 40.88200,   3.00000,      0.80283,     94.65586,50.00000,50.00000,2.222042e-10,0.92346,1
 41.19300,   3.04000,      0.81346,     94.68748,50.00000,50.00000,2.222042e-10,0.92346,1
 41.46900,   3.08000,      0.82327,     94.71670,50.00000,50.00000,2.215461e-10,0.92348,1
 41.76400,   3.12000,      0.83570,     94.76402,50.00000,50.00000,2.215461e-10,0.92348,1
 42.04500,   3.16000,      0.84714,     94.81332,50.00000,50.00000,2.215461e-10,0.92348,1
 42.35600,   3.20000,      0.85760,     94.88091,50.00000,50.00000,2.215461e-10,0.92348,1
 42.64700,   3.24000,      0.86889,     94.90795,50.00000,50.00000,2.219353e-10,0.92350,1
 42.94800,   3.28000,      0.88017,     94.93936,50.00000,50.00000,2.219353e-10,0.92350,1
 43.25600,   3.32000,      0.89243,     94.97078,50.00000,50.00000,2.219353e-10,0.92350,1
 43.56500,   3.36000,      0.90354,     95.00239,50.00000,50.00000,2.219353e-10,0.92350,1
 43.88000,   3.40000,      0.91679,     95.06759,50.00000,50.00000,2.219353e-10,0.92350,1
 44.19700,   3.44000,      0.92823,     95.11252,50.00000,50.00000,2.214756e-10,0.92352,1
 44.50100,   3.48000,      0.94115,     95.15746,50.00000,50.00000,2.214756e-10,0.92352,1
 44.83600,   3.52000,      0.95325,     95.20020,50.00000,50.00000,2.214756e-10,0.92352,1
