#EXPORTTYPE:                 ,DATA ALL                            
#FILE:                       ,2025_03_20_Styrofoam_dynamic.ngb-ss5
#FORMAT:                     ,NETZSCH5                            
#FTYPE:                      ,ASCII                               
#IDENTITY:                   ,2025_03_20_Styrofoam                
#DECIMAL:                    ,POINT                               
#SEPARATOR:                  ,COMMA                               
#MTYPE:                      ,DSC                                 
#INSTRUMENT:                 ,NETZSCH STA 449F5                   
#PROJECT:                    ,PS                                  
#DATE/TIME:                  ,3/20/2025 5:53:13 PM (UTC-4)        
#CORR. FILE:                 ,                                    
#TEMPCAL:                    ,13-11-2024 10:37                    
#SENSITIVITY:                ,28-06-2023 13:53                    
#LABORATORY:                 ,Tran/Aspuru                         
#OPERATOR:                   ,Stanley                             
#REMARK:                     ,2025_03_20_Styrofoam_dynamic        
#SAMPLE:                     ,2025_03_20_Styrofoam                
#SAMPLE MASS /mg:            ,5.09                                
#MATERIAL:                   ,Polystyrene                         
#REFERENCE:                  ,                                    
#REFERENCE MASS /mg:         ,0                                   
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                   
#SAMPLE CRUCIBLE MASS /mg:   ,0                                   
#REFERENCE CRUCIBLE MASS /mg:,0                                   
#DSC RANGE /‘V:              ,5000                                
#TG RANGE /mg:               ,35000                               
#TAU-R:                      ,---                                 
#CORR. CODE:                 ,000                                 
#EXO:                        ,-1                                  
#RANGE:                      ,20›C....800›C/0.0....20.0K/min      
#SEGMENT:                    ,S1-4/4                              
#SEG. 1:                     ,20›C/5.0(K/min)/100›C               
#SEG. 2:                     ,100›C/00:05/100›C                   
#SEG. 3:                     ,100›C/1.0(K/min)/400›C              
#SEG. 4:                     ,400›C/20.0(K/min)/800›C             

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 29.65000,  0.00000, 4.122632e-02,100.00000,50.00000,25.00000,            ,0.92349,1
 29.74600,  0.06667, 3.765481e-02, 99.97328,50.00000,25.00000,2.791118e-10,0.92349,1
 29.86900,  0.13333, 3.473245e-02, 99.95992,50.00000,25.00000,2.785548e-10,0.92351,1
 29.95500,  0.20000, 3.083669e-02, 99.93340,50.00000,25.00000,2.785548e-10,0.92351,1
 30.05600,  0.26667, 2.986229e-02, 99.90668,50.00000,25.00000,2.780761e-10,0.92353,1
 30.16800,  0.33333, 2.726496e-02, 99.87996,50.00000,25.00000,2.780761e-10,0.92353,1
 30.26400,  0.40000, 2.336952e-02, 99.87996,50.00000,25.00000,2.780761e-10,0.92353,1
 30.36500,  0.46667, 2.158391e-02, 99.87996,50.00000,25.00000,2.791233e-10,0.92355,1
 30.45900,  0.53333, 1.979841e-02, 99.87996,50.00000,25.00000,2.791233e-10,0.92355,1
 30.53800,  0.60000, 1.817531e-02, 99.85324,50.00000,25.00000,2.782516e-10,0.92356,1
 30.64800,  0.66667, 1.671443e-02, 99.85324,50.00000,25.00000,2.782516e-10,0.92356,1
 30.73800,  0.73333, 1.590277e-02, 99.85324,50.00000,25.00000,2.782516e-10,0.92356,1
 30.83100,  0.80000, 1.427978e-02, 99.85324,50.00000,25.00000,2.783813e-10,0.92358,1
 30.92000,  0.86667, 1.346820e-02, 99.85324,50.00000,25.00000,2.783813e-10,0.92358,1
 31.02400,  0.93333, 1.249434e-02, 99.82652,50.00000,25.00000,2.793502e-10,0.92360,1
 31.10500,  1.00000, 1.119605e-02, 99.82652,50.00000,25.00000,2.793502e-10,0.92360,1
 31.18600,  1.06667, 1.152039e-02, 99.82652,50.00000,25.00000,2.793502e-10,0.92360,1
 31.29200,  1.13333, 9.573091e-03, 99.76876,50.00000,24.00000,2.787457e-10,0.92362,1
