#EXPORTTYPE:                 ,DATA ALL                                              
#FILE:                       ,2025_07_12_SL_PS_250704-P5EDR1-V3+4_isothermal.ngb-ss5
#FORMAT:                     ,NETZSCH5                                              
#FTYPE:                      ,ASCII                                                 
#IDENTITY:                   ,250704-P5EDR1-V3+4                                    
#DECIMAL:                    ,POINT                                                 
#SEPARATOR:                  ,COMMA                                                 
#MTYPE:                      ,DSC                                                   
#INSTRUMENT:                 ,NETZSCH STA 449F5                                     
#PROJECT:                    ,                                                      
#DATE/TIME:                  ,7/12/2025 6:49:41 PM (UTC-4)                          
#CORR. FILE:                 ,                                                      
#TEMPCAL:                    ,05-05-2025 14:38                                      
#SENSITIVITY:                ,28-06-2023 13:53                                      
#LABORATORY:                 ,Tran/AAG                                              
#OPERATOR:                   ,Stanley                                               
#REMARK:                     ,2025_03_29_SL_005d_M1_isothermal                      
#SAMPLE:                     ,250704-P5EDR1-V3+4                                    
#SAMPLE MASS /mg:            ,4.65                                                  
#MATERIAL:                   ,Polystyrene                                           
#REFERENCE:                  ,                                                      
#REFERENCE MASS /mg:         ,0                                                     
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                                     
#SAMPLE CRUCIBLE MASS /mg:   ,0                                                     
#REFERENCE CRUCIBLE MASS /mg:,0                                                     
#DSC RANGE /‘V:              ,5000                                                  
#TG RANGE /mg:               ,35000                                                 
#TAU-R:                      ,---                                                   
#CORR. CODE:                 ,000                                                   
#EXO:                        ,-1                                                    
#RANGE:                      ,30›C....800›C/0.0....20.0K/min                        
#SEGMENT:                    ,S1-5/5                                                
#SEG. 1:                     ,30›C/10.0(K/min)/100›C                                
#SEG. 2:                     ,100›C/00:10/100›C                                     
#SEG. 3:                     ,100›C/5.0(K/min)/300›C                                
#SEG. 4:                     ,300›C/20:00/300›C                                     
#SEG. 5:                     ,300›C/20.0(K/min)/800›C                               

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 39.51800,   0.00000,      1.10024,    100.00000,50.00000,53.00000,            ,0.92502,1
 39.58500,   0.04000,      1.04666,     99.94409,50.00000,53.00000,2.545979e-09,0.92502,1
 39.64900,   0.08000,      0.99752,     99.94409,50.00000,53.00000,2.545979e-09,0.92502,1
 39.73300,   0.12000,      0.94980,     99.96839,50.00000,53.00000,2.548970e-09,0.92503,1
 39.78500,   0.16000,      0.91024,     99.97806,50.00000,53.00000,2.548970e-09,0.92503,1
 39.84100,   0.20000,      0.87033,     99.93914,50.00000,53.00000,2.548970e-09,0.92503,1
 39.92400,   0.24000,      0.83502,     99.93914,50.00000,53.00000,2.548970e-09,0.92503,1
 39.99300,   0.28000,      0.80362,     99.93914,50.00000,53.00000,2.550625e-09,0.92504,1
 40.07100,   0.32000,      0.77524,     99.96839,50.00000,53.00000,2.550625e-09,0.92504,1
 40.13200,   0.36000,      0.75111,     99.96839,50.00000,53.00000,2.550625e-09,0.92504,1
 40.20100,   0.40000,      0.72840,     99.97570,50.00000,53.00000,2.550625e-09,0.92504,1
 40.28500,   0.44000,      0.70818,     99.99763,50.00000,52.00000,2.553627e-09,0.92505,1
 40.35100,   0.48000,      0.69061,    100.02667,50.00000,52.00000,2.553627e-09,0.92505,1
 40.43600,   0.52000,      0.67624,    100.02667,50.00000,52.00000,2.553627e-09,0.92505,1
 40.51600,   0.56000,      0.66471,    100.05591,50.00000,52.00000,2.553627e-09,0.92505,1
 40.59000,   0.60000,      0.65548,    100.08989,50.00000,52.00000,2.551412e-09,0.92505,1
 40.68300,   0.64000,      0.64589,    100.13140,50.00000,52.00000,2.551412e-09,0.92505,1
 40.76500,   0.68000,      0.63950,    100.15806,50.00000,52.00000,2.551412e-09,0.92505,1
 40.86500,   0.72000,      0.63346,     99.59849,50.00000,52.00000,2.551412e-09,0.92505,1
 40.96000,   0.76000,      0.62796,     96.39419,50.00000,52.00000,2.547040e-09,0.92506,1
 41.06400,   0.80000,      0.62795,     93.01720,50.00000,52.00000,2.547040e-09,0.92506,1
