#EXPORTTYPE:                 ,DATA ALL                                           
#FILE:                       ,2025_07_13_SL_PS_250704-P5EDR1-V3+4_dynamic.ngb-ss5
#FORMAT:                     ,NETZSCH5                                           
#FTYPE:                      ,ASCII                                              
#IDENTITY:                   ,250704-P5EDR1-V3+4                                 
#DECIMAL:                    ,POINT                                              
#SEPARATOR:                  ,COMMA                                              
#MTYPE:                      ,TIC                                                
#INSTRUMENT:                 ,NETZSCH STA 449F5                                  
#PROJECT:                    ,                                                   
#DATE/TIME:                  ,7/13/2025 4:54:32 PM (UTC-4)                       
#CORR. FILE:                 ,                                                   
#TEMPCAL:                    ,05-05-2025 14:38                                   
#SENSITIVITY:                ,28-06-2023 13:53                                   
#LABORATORY:                 ,Tran/AAG                                           
#OPERATOR:                   ,Stanley                                            
#REMARK:                     ,2025_03_20_Styrofoam_dynamic                       
#SAMPLE:                     ,250704-P5EDR1-V3+4                                 
#SAMPLE MASS /mg:            ,5.74                                               
#MATERIAL:                   ,Polystyrene                                        
#REFERENCE:                  ,                                                   
#REFERENCE MASS /mg:         ,0                                                  
#TYPE OF CRUCIBLE:           ,Al2O3 85 �l, open                                  
#SAMPLE CRUCIBLE MASS /mg:   ,0                                                  
#REFERENCE CRUCIBLE MASS /mg:,0                                                  
#DSC RANGE /�V:              ,5000                                               
#TG RANGE /mg:               ,35000                                              
                             ,                                                   

##Temp./�C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 56.08000,  0.01328,5.335146e-11,6.450478e-10,5.659777e-11,2.255871e-10,9.396553e-12,7.861137e-12,5.406379e-12,5.553245e-12,5.654335e-12,5.732536e-12,6.184578e-12,7.504463e-12,1.484966e-11,1.990978e-10,3.337389e-11,3.028393e-11,4.167658e-11,6.681133e-10,6.613731e-12,5.579948e-12,3.005028e-12,2.978325e-12,2.860069e-12,3.167152e-12,3.733635e-12,2.521992e-11,2.860069e-12,3.872871e-12,2.633095e-12,7.990837e-12,2.526283e-12,2.512932e-12,2.379417e-12,2.532005e-12,2.337456e-12,2.354622e-12,2.350807e-12,2.333641e-12,2.299309e-12,2.287865e-12,2.211571e-12,2.270698e-12,2.261162e-12,2.263069e-12,2.261162e-12,2.217293e-12,2.198219e-12,2.140999e-12,2.232552e-12,2.188682e-12,2.156258e-12,2.158165e-12,2.156258e-12,2.108574e-12,2.181053e-12,2.142906e-12,2.146721e-12,2.087593e-12,2.169609e-12,2.118111e-12,2.053261e-12,2.055168e-12,2.036095e-12,2.045631e-12,2.081871e-12,2.068520e-12,2.100944e-12,2.018928e-12,2.017021e-12,2.112389e-12,2.032280e-12,2.036095e-12,1.999855e-12,2.024650e-12,1.935005e-12,2.011299e-12,1.982689e-12,1.950264e-12,2.005577e-12,1.936912e-12,1.935005e-12,1.959801e-12,1.883507e-12,1.933098e-12,1.986504e-12,1.988411e-12,1.923561e-12,1.923561e-12,1.904488e-12,1.938820e-12,1.914024e-12,1.946449e-12,1.837730e-12,1.893043e-12,1.906395e-12,1.875877e-12,1.900673e-12,1.879692e-12,1.864433e-12,1.872063e-12,1.873970e-12,1.938820e-12,1.833916e-12,1.832008e-12,1.852989e-12,1.891136e-12,1.809120e-12,1.910210e-12,1.799583e-12,1.833916e-12,1.801491e-12,1.866341e-12,1.833916e-12,1.805305e-12,1.854896e-12,1.799583e-12,1.776695e-12,1.847267e-12,1.778603e-12,1.797676e-12,1.790047e-12,1.748085e-12,1.778603e-12,1.767158e-12,1.729011e-12,1.708031e-12,1.780510e-12,1.769066e-12,1.723289e-12,1.791954e-12,1.759529e-12,1.759529e-12,1.700401e-12,1.704216e-12,1.715660e-12,1.736641e-12
 57.77800,  0.17434,5.348879e-11,6.508556e-10,5.711847e-11,2.255852e-10,9.421348e-12,7.925987e-12,5.408287e-12,5.585670e-12,5.745888e-12,5.801201e-12,6.239891e-12,7.473945e-12,1.477718e-11,1.999561e-10,3.357989e-11,3.012371e-11,4.191309e-11,6.647984e-10,6.672859e-12,5.656242e-12,2.987861e-12,2.995491e-12,2.924919e-12,3.161430e-12,3.794670e-12,2.519131e-11,2.915382e-12,3.911018e-12,2.686501e-12,7.992744e-12,2.520561e-12,2.411842e-12,2.327919e-12,2.547264e-12,2.396584e-12,2.297401e-12,2.327919e-12,2.329826e-12,2.331734e-12,2.348900e-12,2.303123e-12,2.266884e-12,2.251625e-12,2.280235e-12,2.152443e-12,2.203941e-12,2.184868e-12,2.142906e-12,2.169609e-12,2.219200e-12,2.148628e-12,2.154350e-12,2.121925e-12,2.114296e-12,2.085686e-12,2.120018e-12,2.041817e-12,2.099037e-12,2.188682e-12,2.097130e-12,2.057075e-12,2.026558e-12,2.078056e-12,2.074242e-12,2.020836e-12,1.990318e-12,2.020836e-12,2.036095e-12,2.017021e-12,2.032280e-12,2.005577e-12,1.973152e-12,2.005577e-12,2.036095e-12,2.051353e-12,1.908302e-12,1.967430e-12,2.041817e-12,2.005577e-12,1.971245e-12,1.980781e-12,2.017021e-12,2.051353e-12,1.984596e-12,1.917839e-12,1.931190e-12,1.935005e-12,2.007484e-12,1.955986e-12,1.959801e-12,1.921654e-12,1.965523e-12,1.908302e-12,1.915932e-12,1.898765e-12,1.938820e-12,1.875877e-12,1.933098e-12,1.881599e-12,1.910210e-12,1.854896e-12,1.868248e-12,1.921654e-12,1.856804e-12,1.858711e-12,1.837730e-12,1.873970e-12,1.852989e-12,1.856804e-12,1.875877e-12,1.822472e-12,1.824379e-12,1.851082e-12,1.837730e-12,1.856804e-12,1.812935e-12,1.832008e-12,1.837730e-12,1.755714e-12,1.784325e-12,1.799583e-12,1.725197e-12,1.730919e-12,1.732826e-12,1.765251e-12,1.770973e-12,1.778603e-12,1.816750e-12,1.763344e-12,1.765251e-12,1.732826e-12,1.748085e-12,1.795769e-12,1.780510e-12,1.738548e-12,1.694679e-12
 60.01100,  0.33600,5.393892e-11,6.491638e-10,5.762774e-11,2.279694e-10,9.440422e-12,7.922172e-12,5.421638e-12,5.526542e-12,5.686760e-12,5.740166e-12,6.217003e-12,7.496834e-12,1.496410e-11,2.000725e-10,3.359324e-11,3.023434e-11,4.158884e-11,6.673008e-10,6.674766e-12,5.658150e-12,2.974510e-12,2.966881e-12,2.928734e-12,3.214836e-12,3.851891e-12,2.525425e-11,2.932549e-12,3.912926e-12,2.682686e-12,8.160591e-12,2.644539e-12,2.490044e-12,2.415657e-12,2.537727e-12,2.413750e-12,2.364159e-12,2.371788e-12,2.373695e-12,2.314568e-12,2.289772e-12,2.299309e-12,2.316475e-12,2.219200e-12,2.274513e-12,2.150536e-12,2.175331e-12,2.287865e-12,2.224922e-12,2.181053e-12,2.150536e-12,2.160072e-12,2.179146e-12,2.192497e-12,2.169609e-12,2.184868e-12,2.100944e-12,2.108574e-12,2.070427e-12,2.078056e-12,2.091408e-12,2.129555e-12,2.133369e-12,2.089500e-12,2.085686e-12,2.070427e-12,2.024650e-12,2.015114e-12,1.967430e-12,2.018928e-12,2.034187e-12,1.988411e-12,1.997948e-12,2.032280e-12,2.070427e-12,2.011299e-12,1.971245e-12,2.062797e-12,1.990318e-12,1.980781e-12,1.942634e-12,1.935005e-12,1.973152e-12,1.957893e-12,1.990318e-12,1.936912e-12,1.957893e-12,1.973152e-12,1.954079e-12,1.976967e-12,1.938820e-12,1.914024e-12,1.933098e-12,1.944542e-12,1.906395e-12,1.910210e-12,1.936912e-12,1.893043e-12,1.847267e-12,1.868248e-12,1.893043e-12,1.854896e-12,1.887321e-12,1.935005e-12,1.881599e-12,1.799583e-12,1.873970e-12,1.812935e-12,1.835823e-12,1.879692e-12,1.780510e-12,1.807213e-12,1.826286e-12,1.776695e-12,1.849174e-12,1.845360e-12,1.803398e-12,1.811027e-12,1.803398e-12,1.816750e-12,1.751900e-12,1.729011e-12,1.801491e-12,1.763344e-12,1.812935e-12,1.784325e-12,1.776695e-12,1.711845e-12,1.763344e-12,1.709938e-12,1.706123e-12,1.786232e-12,1.753807e-12,1.774788e-12,1.719475e-12,1.748085e-12,1.713753e-12
 61.39300,  0.49677,5.399996e-11,6.514374e-10,5.764490e-11,2.273018e-10,9.436607e-12,7.863044e-12,5.429268e-12,5.494118e-12,5.669594e-12,5.671501e-12,6.175041e-12,7.473945e-12,1.495075e-11,2.000801e-10,3.344255e-11,3.023624e-11,4.168040e-11,6.686321e-10,6.688118e-12,5.566597e-12,3.008842e-12,3.062248e-12,2.968788e-12,3.190040e-12,3.829002e-12,2.521420e-11,2.892494e-12,4.012108e-12,2.718925e-12,7.985115e-12,2.579689e-12,2.530098e-12,2.381325e-12,2.585411e-12,2.369881e-12,2.322197e-12,2.284050e-12,2.387047e-12,2.331734e-12,2.264976e-12,2.266884e-12,2.253532e-12,2.211571e-12,2.226829e-12,2.221107e-12,2.242088e-12,2.156258e-12,2.177238e-12,2.200127e-12,2.175331e-12,2.173424e-12,2.156258e-12,2.079964e-12,2.181053e-12,2.148628e-12,2.129555e-12,2.154350e-12,2.064705e-12,2.123833e-12,2.070427e-12,2.057075e-12,2.120018e-12,2.104759e-12,2.028465e-12,2.047539e-12,2.070427e-12,2.049446e-12,2.089500e-12,1.988411e-12,2.060890e-12,2.083778e-12,2.011299e-12,1.992226e-12,2.017021e-12,2.045631e-12,1.990318e-12,1.982689e-12,2.034187e-12,1.950264e-12,1.996040e-12,2.020836e-12,1.994133e-12,1.929283e-12,2.022743e-12,1.963615e-12,1.940727e-12,1.992226e-12,1.959801e-12,1.873970e-12,1.961708e-12,1.873970e-12,1.975059e-12,1.935005e-12,1.942634e-12,1.841545e-12,1.889229e-12,1.908302e-12,1.942634e-12,1.875877e-12,1.843452e-12,1.872063e-12,1.845360e-12,1.875877e-12,1.879692e-12,1.851082e-12,1.872063e-12,1.851082e-12,1.830101e-12,1.845360e-12,1.891136e-12,1.862526e-12,1.881599e-12,1.822472e-12,1.772880e-12,1.839638e-12,1.835823e-12,1.830101e-12,1.786232e-12,1.801491e-12,1.793861e-12,1.780510e-12,1.816750e-12,1.788139e-12,1.772880e-12,1.746178e-12,1.780510e-12,1.795769e-12,1.780510e-12,1.770973e-12,1.778603e-12,1.736641e-12,1.801491e-12,1.694679e-12,1.765251e-12,1.732826e-12,1.719475e-12
 63.30200,  0.65875,5.439287e-11,6.489712e-10,5.744272e-11,2.265007e-10,9.444236e-12,7.905007e-12,5.385399e-12,5.564689e-12,5.688667e-12,5.736351e-12,6.201744e-12,7.420540e-12,1.459789e-11,2.008030e-10,3.346735e-11,3.011608e-11,4.174524e-11,6.653152e-10,6.548881e-12,5.595207e-12,2.966881e-12,2.942085e-12,2.987861e-12,3.081322e-12,3.849983e-12,2.533626e-11,2.860069e-12,3.891945e-12,2.642632e-12,7.916450e-12,2.581596e-12,2.472877e-12,2.449989e-12,2.533913e-12,2.314568e-12,2.381325e-12,2.362251e-12,2.329826e-12,2.310753e-12,2.238274e-12,2.242088e-12,2.284050e-12,2.255440e-12,2.234459e-12,2.186775e-12,2.266884e-12,2.182960e-12,2.154350e-12,2.158165e-12,2.198219e-12,2.207756e-12,2.179146e-12,2.099037e-12,2.112389e-12,2.137184e-12,2.120018e-12,2.112389e-12,2.087593e-12,2.142906e-12,2.139091e-12,2.053261e-12,2.083778e-12,2.072334e-12,2.106666e-12,2.068520e-12,2.106666e-12,2.057075e-12,2.038002e-12,2.018928e-12,1.984596e-12,2.022743e-12,2.049446e-12,2.038002e-12,2.049446e-12,2.001762e-12,1.988411e-12,1.984596e-12,2.051353e-12,1.994133e-12,1.935005e-12,1.940727e-12,1.946449e-12,1.963615e-12,1.986504e-12,1.938820e-12,1.952171e-12,1.994133e-12,1.921654e-12,1.942634e-12,1.967430e-12,1.961708e-12,1.954079e-12,1.927376e-12,1.849174e-12,1.887321e-12,1.875877e-12,1.900673e-12,1.860619e-12,1.915932e-12,1.872063e-12,1.872063e-12,1.925468e-12,1.885414e-12,1.854896e-12,1.803398e-12,1.858711e-12,1.868248e-12,1.854896e-12,1.852989e-12,1.860619e-12,1.862526e-12,1.852989e-12,1.826286e-12,1.843452e-12,1.793861e-12,1.780510e-12,1.805305e-12,1.795769e-12,1.776695e-12,1.759529e-12,1.746178e-12,1.805305e-12,1.801491e-12,1.830101e-12,1.759529e-12,1.761436e-12,1.757622e-12,1.776695e-12,1.769066e-12,1.744270e-12,1.730919e-12,1.755714e-12,1.748085e-12,1.704216e-12,1.704216e-12,1.706123e-12
 64.45100,  0.82049,5.411058e-11,6.531158e-10,5.738932e-11,2.278473e-10,9.385109e-12,7.840156e-12,5.404472e-12,5.423546e-12,5.646705e-12,5.780220e-12,6.175041e-12,7.458686e-12,1.497364e-11,1.998474e-10,3.346163e-11,3.036976e-11,4.142481e-11,6.706539e-10,6.590843e-12,5.541801e-12,2.942085e-12,2.993584e-12,2.907753e-12,3.087044e-12,3.869057e-12,2.518177e-11,2.873421e-12,4.046440e-12,2.743721e-12,7.826805e-12,2.575874e-12,2.520561e-12,2.467155e-12,2.583504e-12,2.306938e-12,2.394676e-12,2.369881e-12,2.339363e-12,2.312660e-12,2.278328e-12,2.228737e-12,2.249718e-12,2.177238e-12,2.175331e-12,2.186775e-12,2.224922e-12,2.181053e-12,2.232552e-12,2.247810e-12,2.188682e-12,2.114296e-12,2.213478e-12,2.221107e-12,2.083778e-12,2.066612e-12,2.110481e-12,2.146721e-12,2.095222e-12,2.064705e-12,2.060890e-12,2.114296e-12,2.076149e-12,2.072334e-12,2.099037e-12,2.095222e-12,2.022743e-12,2.068520e-12,2.028465e-12,2.076149e-12,2.045631e-12,1.996040e-12,1.988411e-12,2.024650e-12,2.011299e-12,2.058983e-12,2.005577e-12,1.969337e-12,1.952171e-12,1.997948e-12,1.952171e-12,2.020836e-12,1.952171e-12,1.959801e-12,1.965523e-12,1.988411e-12,1.927376e-12,1.915932e-12,1.944542e-12,1.925468e-12,1.860619e-12,1.982689e-12,1.908302e-12,1.935005e-12,1.887321e-12,1.879692e-12,1.896858e-12,1.915932e-12,1.887321e-12,1.851082e-12,1.914024e-12,1.868248e-12,1.872063e-12,1.862526e-12,1.856804e-12,1.835823e-12,1.851082e-12,1.833916e-12,1.818657e-12,1.847267e-12,1.839638e-12,1.889229e-12,1.769066e-12,1.814842e-12,1.791954e-12,1.790047e-12,1.839638e-12,1.786232e-12,1.807213e-12,1.734734e-12,1.782417e-12,1.799583e-12,1.782417e-12,1.803398e-12,1.757622e-12,1.866341e-12,1.776695e-12,1.761436e-12,1.742363e-12,1.755714e-12,1.772880e-12,1.753807e-12,1.755714e-12,1.774788e-12,1.740456e-12,1.790047e-12,1.683235e-12
 66.04000,  0.98477,5.392939e-11,6.523701e-10,5.743319e-11,2.270958e-10,9.474754e-12,7.872581e-12,5.377769e-12,5.581856e-12,5.787849e-12,5.642891e-12,6.247520e-12,7.418633e-12,1.500225e-11,2.005665e-10,3.341585e-11,3.030682e-11,4.196459e-11,6.675240e-10,6.602287e-12,5.587578e-12,2.945900e-12,3.022194e-12,2.919197e-12,3.087044e-12,3.788948e-12,2.538395e-11,2.909660e-12,3.979683e-12,2.648354e-12,7.851600e-12,2.646446e-12,2.444267e-12,2.364159e-12,2.552986e-12,2.320290e-12,2.358437e-12,2.314568e-12,2.411842e-12,2.291679e-12,2.295494e-12,2.186775e-12,2.232552e-12,2.242088e-12,2.245903e-12,2.228737e-12,2.200127e-12,2.282143e-12,2.175331e-12,2.161980e-12,2.133369e-12,2.148628e-12,2.125740e-12,2.135277e-12,2.070427e-12,2.118111e-12,2.106666e-12,2.104759e-12,2.081871e-12,2.085686e-12,2.116203e-12,2.053261e-12,2.104759e-12,2.043724e-12,2.118111e-12,2.089500e-12,1.988411e-12,2.020836e-12,2.026558e-12,2.068520e-12,2.018928e-12,1.978874e-12,2.018928e-12,2.009392e-12,1.986504e-12,1.992226e-12,1.994133e-12,1.975059e-12,1.988411e-12,1.982689e-12,2.003670e-12,1.944542e-12,1.942634e-12,1.994133e-12,1.954079e-12,1.950264e-12,1.914024e-12,1.992226e-12,1.887321e-12,1.935005e-12,1.925468e-12,1.969337e-12,1.948357e-12,1.898765e-12,1.893043e-12,1.885414e-12,1.843452e-12,1.933098e-12,1.910210e-12,1.875877e-12,1.912117e-12,1.845360e-12,1.904488e-12,1.852989e-12,1.887321e-12,1.894951e-12,1.826286e-12,1.866341e-12,1.818657e-12,1.862526e-12,1.784325e-12,1.881599e-12,1.845360e-12,1.803398e-12,1.862526e-12,1.816750e-12,1.793861e-12,1.790047e-12,1.769066e-12,1.782417e-12,1.776695e-12,1.805305e-12,1.765251e-12,1.772880e-12,1.774788e-12,1.770973e-12,1.687050e-12,1.770973e-12,1.757622e-12,1.765251e-12,1.791954e-12,1.757622e-12,1.729011e-12,1.748085e-12,1.757622e-12,1.717567e-12,1.753807e-12
 66.99700,  1.14770,5.384355e-11,6.518036e-10,5.719477e-11,2.282936e-10,9.413719e-12,7.861137e-12,5.450249e-12,5.553245e-12,5.688667e-12,5.825996e-12,6.260872e-12,7.451057e-12,1.483822e-11,1.993744e-10,3.355318e-11,3.024769e-11,4.182535e-11,6.666427e-10,6.638527e-12,5.637169e-12,3.037453e-12,2.976418e-12,2.923012e-12,3.022194e-12,3.787041e-12,2.530003e-11,2.856255e-12,3.909111e-12,2.673149e-12,7.859230e-12,2.520561e-12,2.444267e-12,2.356529e-12,2.545357e-12,2.436638e-12,2.310753e-12,2.303123e-12,2.253532e-12,2.299309e-12,2.243996e-12,2.305031e-12,2.322197e-12,2.272606e-12,2.270698e-12,2.217293e-12,2.188682e-12,2.140999e-12,2.198219e-12,2.194405e-12,2.167702e-12,2.150536e-12,2.205849e-12,2.142906e-12,2.217293e-12,2.173424e-12,2.064705e-12,2.055168e-12,2.099037e-12,2.087593e-12,2.140999e-12,2.070427e-12,2.062797e-12,2.110481e-12,2.076149e-12,2.053261e-12,2.047539e-12,2.064705e-12,2.055168e-12,2.064705e-12,2.041817e-12,2.074242e-12,2.038002e-12,2.032280e-12,2.015114e-12,2.045631e-12,2.030373e-12,1.976967e-12,1.976967e-12,2.013206e-12,1.988411e-12,1.950264e-12,1.980781e-12,2.028465e-12,1.927376e-12,1.975059e-12,1.963615e-12,1.969337e-12,1.889229e-12,1.917839e-12,1.894951e-12,1.980781e-12,1.946449e-12,1.950264e-12,1.902580e-12,1.885414e-12,1.931190e-12,1.908302e-12,1.933098e-12,1.929283e-12,1.812935e-12,1.881599e-12,1.860619e-12,1.898765e-12,1.870155e-12,1.881599e-12,1.860619e-12,1.851082e-12,1.826286e-12,1.856804e-12,1.791954e-12,1.864433e-12,1.805305e-12,1.790047e-12,1.784325e-12,1.778603e-12,1.801491e-12,1.797676e-12,1.830101e-12,1.851082e-12,1.841545e-12,1.805305e-12,1.757622e-12,1.782417e-12,1.797676e-12,1.746178e-12,1.769066e-12,1.757622e-12,1.769066e-12,1.751900e-12,1.730919e-12,1.723289e-12,1.744270e-12,1.732826e-12,1.677513e-12,1.778603e-12,1.763344e-12
 67.85400,  1.30956,5.384165e-11,6.535870e-10,5.759722e-11,2.280133e-10,9.474754e-12,7.945060e-12,5.398750e-12,5.537987e-12,5.656242e-12,5.759239e-12,6.192207e-12,7.472038e-12,1.481914e-11,2.005379e-10,3.361612e-11,3.001308e-11,4.149538e-11,6.668297e-10,6.627083e-12,5.696297e-12,2.976418e-12,3.014565e-12,2.932549e-12,3.127098e-12,3.878593e-12,2.523327e-11,2.879143e-12,3.983498e-12,2.724648e-12,7.794380e-12,2.598762e-12,2.402306e-12,2.394676e-12,2.509117e-12,2.362251e-12,2.352714e-12,2.345085e-12,2.329826e-12,2.350807e-12,2.272606e-12,2.303123e-12,2.266884e-12,2.203941e-12,2.181053e-12,2.245903e-12,2.255440e-12,2.242088e-12,2.213478e-12,2.156258e-12,2.188682e-12,2.152443e-12,2.182960e-12,2.123833e-12,2.097130e-12,2.161980e-12,2.135277e-12,2.087593e-12,2.089500e-12,2.108574e-12,2.110481e-12,2.072334e-12,2.076149e-12,2.083778e-12,2.072334e-12,2.017021e-12,2.055168e-12,2.039909e-12,2.058983e-12,1.988411e-12,2.078056e-12,1.988411e-12,2.047539e-12,2.028465e-12,2.018928e-12,2.039909e-12,1.969337e-12,2.039909e-12,1.957893e-12,2.001762e-12,1.938820e-12,1.963615e-12,1.982689e-12,1.967430e-12,1.990318e-12,1.954079e-12,1.980781e-12,1.982689e-12,1.997948e-12,1.917839e-12,1.975059e-12,1.967430e-12,1.929283e-12,1.914024e-12,1.929283e-12,1.923561e-12,1.843452e-12,1.917839e-12,1.856804e-12,1.906395e-12,1.914024e-12,1.870155e-12,1.843452e-12,1.856804e-12,1.868248e-12,1.854896e-12,1.875877e-12,1.864433e-12,1.856804e-12,1.837730e-12,1.822472e-12,1.839638e-12,1.805305e-12,1.839638e-12,1.835823e-12,1.816750e-12,1.799583e-12,1.772880e-12,1.830101e-12,1.769066e-12,1.795769e-12,1.790047e-12,1.803398e-12,1.793861e-12,1.770973e-12,1.767158e-12,1.753807e-12,1.738548e-12,1.832008e-12,1.721382e-12,1.769066e-12,1.727104e-12,1.734734e-12,1.732826e-12,1.746178e-12,1.753807e-12,1.673698e-12
 69.03300,  1.47150,5.435854e-11,6.557556e-10,5.774790e-11,2.280095e-10,9.501457e-12,7.878303e-12,5.368233e-12,5.621910e-12,5.631447e-12,5.663872e-12,6.136894e-12,7.399558e-12,1.494694e-11,2.005607e-10,3.341776e-11,3.013706e-11,4.238802e-11,6.693569e-10,6.709099e-12,5.639076e-12,3.003120e-12,3.022194e-12,2.961159e-12,3.027916e-12,3.872871e-12,2.538013e-11,2.892494e-12,3.964424e-12,2.657890e-12,7.754326e-12,2.566338e-12,2.457619e-12,2.446175e-12,2.446175e-12,2.390861e-12,2.394676e-12,2.299309e-12,2.331734e-12,2.303123e-12,2.308845e-12,2.209663e-12,2.280235e-12,2.249718e-12,2.245903e-12,2.190590e-12,2.175331e-12,2.188682e-12,2.184868e-12,2.247810e-12,2.171516e-12,2.150536e-12,2.163887e-12,2.083778e-12,2.097130e-12,2.085686e-12,2.146721e-12,2.095222e-12,2.091408e-12,2.154350e-12,2.104759e-12,2.085686e-12,2.085686e-12,2.072334e-12,2.049446e-12,2.068520e-12,2.041817e-12,2.116203e-12,2.015114e-12,2.049446e-12,2.081871e-12,2.081871e-12,2.055168e-12,2.045631e-12,2.018928e-12,1.994133e-12,2.011299e-12,2.001762e-12,1.969337e-12,2.028465e-12,1.994133e-12,2.001762e-12,1.954079e-12,1.992226e-12,1.969337e-12,1.950264e-12,1.957893e-12,1.933098e-12,1.942634e-12,1.935005e-12,1.906395e-12,1.873970e-12,1.883507e-12,1.914024e-12,1.940727e-12,1.873970e-12,1.851082e-12,1.893043e-12,1.860619e-12,1.814842e-12,1.883507e-12,1.925468e-12,1.875877e-12,1.896858e-12,1.849174e-12,1.856804e-12,1.856804e-12,1.875877e-12,1.809120e-12,1.849174e-12,1.816750e-12,1.797676e-12,1.816750e-12,1.805305e-12,1.824379e-12,1.835823e-12,1.833916e-12,1.774788e-12,1.795769e-12,1.843452e-12,1.793861e-12,1.782417e-12,1.772880e-12,1.791954e-12,1.749992e-12,1.818657e-12,1.782417e-12,1.776695e-12,1.809120e-12,1.753807e-12,1.696587e-12,1.749992e-12,1.814842e-12,1.734734e-12,1.721382e-12,1.755714e-12,1.755714e-12
