#EXPORTTYPE:                 ,DATA ALL                                           
#FILE:                       ,2025_07_13_SL_PS_250704-P5EDR1-V3+4_dynamic.ngb-ss5
#FORMAT:                     ,NETZSCH5                                           
#FTYPE:                      ,ASCII                                              
#IDENTITY:                   ,250704-P5EDR1-V3+4                                 
#DECIMAL:                    ,POINT                                              
#SEPARATOR:                  ,COMMA                                              
#MTYPE:                      ,DSC                                                
#INSTRUMENT:                 ,NETZSCH STA 449F5                                  
#PROJECT:                    ,                                                   
#DATE/TIME:                  ,7/13/2025 4:54:32 PM (UTC-4)                       
#CORR. FILE:                 ,                                                   
#TEMPCAL:                    ,05-05-2025 14:38                                   
#SENSITIVITY:                ,28-06-2023 13:53                                   
#LABORATORY:                 ,Tran/AAG                                           
#OPERATOR:                   ,Stanley                                            
#REMARK:                     ,2025_03_20_Styrofoam_dynamic                       
#SAMPLE:                     ,250704-P5EDR1-V3+4                                 
#SAMPLE MASS /mg:            ,5.74                                               
#MATERIAL:                   ,Polystyrene                                        
#REFERENCE:                  ,                                                   
#REFERENCE MASS /mg:         ,0                                                  
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                                  
#SAMPLE CRUCIBLE MASS /mg:   ,0                                                  
#REFERENCE CRUCIBLE MASS /mg:,0                                                  
#DSC RANGE /‘V:              ,5000                                               
#TG RANGE /mg:               ,35000                                              
#TAU-R:                      ,---                                                
#CORR. CODE:                 ,000                                                
#EXO:                        ,-1                                                 
#RANGE:                      ,20›C....800›C/0.0....20.0K/min                     
#SEGMENT:                    ,S1-4/4                                             
#SEG. 1:                     ,20›C/5.0(K/min)/100›C                              
#SEG. 2:                     ,100›C/00:05/100›C                                  
#SEG. 3:                     ,100›C/1.0(K/min)/400›C                             
#SEG. 4:                     ,400›C/20.0(K/min)/800›C                            

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 56.95500,  0.00000,      2.93877,    100.00000,50.00000,56.00000,            ,0.92619,1
 57.77800,  0.06667,      2.79179,     99.80697,50.00000,56.00000,2.302844e-09,0.92619,1
 58.55000,  0.13333,      2.65387,     99.67091,50.00000,56.00000,2.308098e-09,0.92620,1
 59.30100,  0.20000,      2.52845,     99.44233,50.00000,56.00000,2.308098e-09,0.92620,1
 60.01100,  0.26667,      2.41064,     99.29251,50.00000,55.00000,2.312895e-09,0.92620,1
 60.69900,  0.33333,      2.30288,     99.14268,50.00000,55.00000,2.312895e-09,0.92620,1
 61.39300,  0.40000,      2.20374,     99.00087,50.00000,55.00000,2.312895e-09,0.92620,1
 62.03400,  0.46667,      2.11365,     98.87857,50.00000,55.00000,2.315714e-09,0.92620,1
 62.67900,  0.53333,      2.03001,     98.73676,50.00000,55.00000,2.315714e-09,0.92620,1
 63.30200,  0.60000,      1.95226,     98.63223,50.00000,55.00000,2.308894e-09,0.92620,1
 63.89600,  0.66667,      1.87925,     98.50017,50.00000,54.00000,2.308894e-09,0.92620,1
 64.45100,  0.73333,      1.80910,     98.40941,50.00000,54.00000,2.308894e-09,0.92620,1
 65.00200,  0.80000,      1.74168,     98.30906,50.00000,54.00000,2.318315e-09,0.92619,1
 65.52400,  0.86667,      1.67915,     98.19460,50.00000,54.00000,2.318315e-09,0.92619,1
 66.04000,  0.93333,      1.61603,     98.09617,50.00000,54.00000,2.314684e-09,0.92618,1
 66.51600,  1.00000,      1.55665,     97.80244,50.00000,54.00000,2.314684e-09,0.92618,1
 66.99700,  1.06667,      1.49812,     92.00784,50.00000,54.00000,2.313397e-09,0.92617,1
 67.43700,  1.13333,      1.43974,     90.70697,50.00000,54.00000,2.313397e-09,0.92617,1
 67.85400,  1.20000,      1.38480,     89.99338,50.00000,54.00000,2.313397e-09,0.92617,1
 68.26900,  1.26667,      1.33043,     89.61899,50.00000,54.00000,2.316232e-09,0.92615,1
 68.65700,  1.33333,      1.27806,     89.44756,50.00000,54.00000,2.316232e-09,0.92615,1
 69.03300,  1.40000,      1.22541,     89.31551,50.00000,54.00000,2.322228e-09,0.92614,1
 69.39400,  1.46667,      1.17462,     89.26812,50.00000,54.00000,2.322228e-09,0.92614,1
 69.71200,  1.53333,      1.12382,     89.18920,50.00000,54.00000,2.322228e-09,0.92614,1
 70.04300,  1.60000,      1.07604,     89.12230,50.00000,54.00000,2.313640e-09,0.92612,1
 70.35400,  1.66667,      1.02711,     89.05714,50.00000,54.00000,2.313640e-09,0.92612,1
 70.64000,  1.73333,      0.98004,     89.02369,50.00000,54.00000,2.317381e-09,0.92610,1
 70.91600,  1.80000,      0.93326,     88.99408,50.00000,54.00000,2.317381e-09,0.92610,1
 71.18200,  1.86667,      0.88891,     88.97056,50.00000,54.00000,2.317381e-09,0.92610,1
 71.43500,  1.93333,      0.84471,     88.94686,50.00000,54.00000,2.309580e-09,0.92608,1
 71.66800,  2.00000,      0.80222,     88.92317,50.00000,54.00000,2.309580e-09,0.92608,1
 71.88800,  2.06667,      0.75902,     88.92317,50.00000,54.00000,2.313772e-09,0.92606,1
 72.09800,  2.13333,      0.71839,     88.91132,50.00000,54.00000,2.313772e-09,0.92606,1
 72.29400,  2.20000,      0.67849,     88.87195,50.00000,54.00000,2.313772e-09,0.92606,1
 72.47100,  2.26667,      0.63944,     88.84634,50.00000,54.00000,2.314576e-09,0.92604,1
 72.66600,  2.33333,      0.60068,     88.82265,50.00000,54.00000,2.314576e-09,0.92604,1
 72.81500,  2.40000,      0.56263,     88.82265,50.00000,54.00000,2.314900e-09,0.92601,1
 72.98000,  2.46667,      0.52674,     88.77735,50.00000,54.00000,2.314900e-09,0.92601,1
 73.13100,  2.53333,      0.49085,     88.73798,50.00000,54.00000,2.307269e-09,0.92599,1
 73.25000,  2.60000,      0.45624,     88.67683,50.00000,54.00000,2.307269e-09,0.92599,1
 73.39500,  2.66667,      0.42207,     88.62561,50.00000,54.00000,2.307269e-09,0.92599,1
 73.50200,  2.73333,      0.38876,     88.57038,50.00000,54.00000,2.320597e-09,0.92597,1
 73.60800,  2.80000,      0.35702,     88.51132,50.00000,54.00000,2.320597e-09,0.92597,1
