#EXPORTTYPE:                 ,DATA ALL                                     
#FILE:                       ,2025_07_22_SL_PS_Red_Solo_Cup_Dynamic.ngb-ss5
#FORMAT:                     ,NETZSCH5                                     
#FTYPE:                      ,ASCII                                        
#IDENTITY:                   ,PS-Red-Solo-Cup                              
#DECIMAL:                    ,POINT                                        
#SEPARATOR:                  ,COMMA                                        
#MTYPE:                      ,TIC                                          
#INSTRUMENT:                 ,NETZSCH STA 449F5                            
#PROJECT:                    ,                                             
#DATE/TIME:                  ,7/22/2025 5:22:39 PM (UTC-4)                 
#CORR. FILE:                 ,                                             
#TEMPCAL:                    ,05-05-2025 14:38                             
#SENSITIVITY:                ,28-06-2023 13:53                             
#LABORATORY:                 ,Tran/AAG                                     
#OPERATOR:                   ,Stanley                                      
#REMARK:                     ,2025_03_20_Styrofoam_dynamic                 
#SAMPLE:                     ,PS-Red-Solo-Cup                              
#SAMPLE MASS /mg:            ,4.63                                         
#MATERIAL:                   ,Polystyrene                                  
#REFERENCE:                  ,                                             
#REFERENCE MASS /mg:         ,0                                            
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                            
#SAMPLE CRUCIBLE MASS /mg:   ,0                                            
#REFERENCE CRUCIBLE MASS /mg:,0                                            
#DSC RANGE /‘V:              ,5000                                         
#TG RANGE /mg:               ,35000                                        
                             ,                                             

##Temp./›C,Time/min,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A
133.35100, 54.59956,2.198219e-12,3.216743e-12,7.275581e-12,2.515042e-10,2.646446e-12,8.648872e-12,2.064705e-12,3.933626e-11,2.015114e-12,1.667976e-12,1.490593e-12,2.739906e-12,1.368523e-12,1.423836e-12,1.397133e-12,1.372337e-12,1.414299e-12,1.406670e-12,1.336098e-12,1.349449e-12,1.313210e-12,1.322746e-12,1.259804e-12,1.284599e-12,1.313210e-12,1.286507e-12,1.273155e-12,1.235008e-12,1.301765e-12,1.257896e-12,1.297951e-12,1.219749e-12,1.233101e-12,1.288414e-12,1.269340e-12,1.261711e-12,1.254082e-12,1.227379e-12,1.315117e-12,1.238823e-12,1.227379e-12,1.244545e-12,1.217842e-12,1.240730e-12,1.229286e-12,1.198769e-12,1.233101e-12,1.263618e-12,1.210213e-12,1.242638e-12,1.229286e-12,1.185417e-12,1.204491e-12,1.196861e-12,1.183510e-12,1.196861e-12,1.149178e-12,1.196861e-12,1.231194e-12,1.170158e-12,1.231194e-12,1.181602e-12,1.183510e-12,1.191139e-12,1.193047e-12,1.172066e-12,1.152992e-12,1.130104e-12,1.139641e-12,1.156807e-12,1.112938e-12,1.166344e-12,1.105309e-12,1.120567e-12,1.137733e-12,1.143455e-12,1.132011e-12,1.074791e-12,1.051903e-12,1.162529e-12,1.112938e-12,1.183510e-12,1.126289e-12,1.093864e-12,1.063347e-12,1.074791e-12,1.107216e-12,1.135826e-12,1.082420e-12,1.122475e-12,1.076698e-12,1.063347e-12
133.55200, 54.77118,2.186775e-12,3.106117e-12,7.262230e-12,2.518895e-10,2.686501e-12,8.757591e-12,2.114296e-12,3.893000e-11,2.038002e-12,1.627922e-12,1.469612e-12,2.820015e-12,1.406670e-12,1.416206e-12,1.315117e-12,1.378059e-12,1.336098e-12,1.477242e-12,1.330376e-12,1.320839e-12,1.320839e-12,1.315117e-12,1.267433e-12,1.236916e-12,1.286507e-12,1.292229e-12,1.303673e-12,1.278877e-12,1.305580e-12,1.292229e-12,1.267433e-12,1.257896e-12,1.278877e-12,1.282692e-12,1.248360e-12,1.244545e-12,1.236916e-12,1.227379e-12,1.290321e-12,1.275063e-12,1.204491e-12,1.248360e-12,1.254082e-12,1.255989e-12,1.210213e-12,1.214027e-12,1.246452e-12,1.280785e-12,1.172066e-12,1.229286e-12,1.231194e-12,1.246452e-12,1.189232e-12,1.179695e-12,1.200676e-12,1.185417e-12,1.212120e-12,1.154900e-12,1.233101e-12,1.204491e-12,1.219749e-12,1.181602e-12,1.214027e-12,1.166344e-12,1.181602e-12,1.151085e-12,1.193047e-12,1.156807e-12,1.132011e-12,1.126289e-12,1.147270e-12,1.170158e-12,1.107216e-12,1.133919e-12,1.122475e-12,1.072884e-12,1.116753e-12,1.126289e-12,1.076698e-12,1.114845e-12,1.107216e-12,1.132011e-12,1.072884e-12,1.130104e-12,1.084328e-12,1.112938e-12,1.084328e-12,1.080513e-12,1.095772e-12,1.105309e-12,1.107216e-12,1.059532e-12
133.69701, 54.94304,2.129555e-12,3.205299e-12,7.292747e-12,2.513287e-10,2.617836e-12,8.769035e-12,2.039909e-12,3.911120e-11,1.999855e-12,1.664162e-12,1.471519e-12,2.787590e-12,1.381874e-12,1.420021e-12,1.362801e-12,1.385689e-12,1.343727e-12,1.408577e-12,1.379967e-12,1.330376e-12,1.460075e-12,1.324654e-12,1.355171e-12,1.278877e-12,1.330376e-12,1.267433e-12,1.296043e-12,1.301765e-12,1.292229e-12,1.276970e-12,1.267433e-12,1.286507e-12,1.315117e-12,1.254082e-12,1.257896e-12,1.269340e-12,1.212120e-12,1.189232e-12,1.214027e-12,1.194954e-12,1.267433e-12,1.217842e-12,1.231194e-12,1.215935e-12,1.229286e-12,1.212120e-12,1.221657e-12,1.275063e-12,1.219749e-12,1.227379e-12,1.193047e-12,1.215935e-12,1.187325e-12,1.194954e-12,1.193047e-12,1.154900e-12,1.236916e-12,1.221657e-12,1.212120e-12,1.164436e-12,1.156807e-12,1.221657e-12,1.179695e-12,1.162529e-12,1.093864e-12,1.175880e-12,1.187325e-12,1.177788e-12,1.181602e-12,1.210213e-12,1.168251e-12,1.177788e-12,1.191139e-12,1.099586e-12,1.152992e-12,1.158714e-12,1.128197e-12,1.152992e-12,1.109123e-12,1.175880e-12,1.097679e-12,1.072884e-12,1.103401e-12,1.109123e-12,1.103401e-12,1.114845e-12,1.080513e-12,1.101494e-12,1.069069e-12,1.097679e-12,1.065254e-12,1.029015e-12
133.89500, 55.11490,2.192497e-12,3.190040e-12,7.264137e-12,2.515003e-10,2.614021e-12,8.599281e-12,2.079964e-12,3.920466e-11,2.036095e-12,1.656532e-12,1.490593e-12,2.722740e-12,1.404762e-12,1.435280e-12,1.372337e-12,1.387596e-12,1.330376e-12,1.381874e-12,1.334190e-12,1.303673e-12,1.255989e-12,1.303673e-12,1.303673e-12,1.320839e-12,1.301765e-12,1.318932e-12,1.288414e-12,1.317024e-12,1.275063e-12,1.286507e-12,1.284599e-12,1.265526e-12,1.292229e-12,1.236916e-12,1.275063e-12,1.215935e-12,1.275063e-12,1.265526e-12,1.265526e-12,1.235008e-12,1.177788e-12,1.235008e-12,1.257896e-12,1.204491e-12,1.219749e-12,1.194954e-12,1.229286e-12,1.273155e-12,1.212120e-12,1.183510e-12,1.198769e-12,1.217842e-12,1.240730e-12,1.212120e-12,1.193047e-12,1.198769e-12,1.235008e-12,1.223564e-12,1.187325e-12,1.177788e-12,1.158714e-12,1.179695e-12,1.198769e-12,1.179695e-12,1.215935e-12,1.133919e-12,1.149178e-12,1.156807e-12,1.095772e-12,1.152992e-12,1.132011e-12,1.172066e-12,1.156807e-12,1.143455e-12,1.137733e-12,1.168251e-12,1.103401e-12,1.173973e-12,1.088142e-12,1.162529e-12,1.114845e-12,1.084328e-12,1.135826e-12,1.088142e-12,1.103401e-12,1.061439e-12,1.141548e-12,1.103401e-12,1.055717e-12,1.120567e-12,1.084328e-12,1.074791e-12
134.08099, 55.28460,2.108574e-12,3.260612e-12,7.254600e-12,2.509205e-10,2.655983e-12,8.740425e-12,2.076149e-12,3.922564e-11,2.041817e-12,1.620293e-12,1.482963e-12,2.743721e-12,1.400948e-12,1.421928e-12,1.406670e-12,1.357079e-12,1.358986e-12,1.402855e-12,1.341820e-12,1.303673e-12,1.318932e-12,1.328468e-12,1.301765e-12,1.301765e-12,1.297951e-12,1.299858e-12,1.317024e-12,1.255989e-12,1.273155e-12,1.255989e-12,1.267433e-12,1.242638e-12,1.263618e-12,1.227379e-12,1.233101e-12,1.250267e-12,1.219749e-12,1.238823e-12,1.257896e-12,1.276970e-12,1.252174e-12,1.196861e-12,1.223564e-12,1.183510e-12,1.221657e-12,1.219749e-12,1.265526e-12,1.263618e-12,1.231194e-12,1.214027e-12,1.252174e-12,1.196861e-12,1.177788e-12,1.193047e-12,1.177788e-12,1.215935e-12,1.181602e-12,1.151085e-12,1.191139e-12,1.183510e-12,1.168251e-12,1.137733e-12,1.141548e-12,1.112938e-12,1.196861e-12,1.179695e-12,1.158714e-12,1.130104e-12,1.200676e-12,1.133919e-12,1.114845e-12,1.219749e-12,1.143455e-12,1.069069e-12,1.116753e-12,1.166344e-12,1.151085e-12,1.145363e-12,1.149178e-12,1.112938e-12,1.116753e-12,1.130104e-12,1.112938e-12,1.097679e-12,1.118660e-12,1.099586e-12,1.095772e-12,1.120567e-12,1.103401e-12,1.011848e-12,1.101494e-12,1.080513e-12
134.22900, 55.45675,2.152443e-12,3.140449e-12,7.348061e-12,2.517292e-10,2.608299e-12,8.702278e-12,2.058983e-12,3.911501e-11,2.017021e-12,1.593590e-12,1.458168e-12,2.709389e-12,1.456261e-12,1.450539e-12,1.412392e-12,1.330376e-12,1.360893e-12,1.450539e-12,1.362801e-12,1.292229e-12,1.292229e-12,1.334190e-12,1.387596e-12,1.320839e-12,1.311302e-12,1.292229e-12,1.297951e-12,1.301765e-12,1.269340e-12,1.202583e-12,1.250267e-12,1.313210e-12,1.349449e-12,1.248360e-12,1.198769e-12,1.233101e-12,1.238823e-12,1.259804e-12,1.261711e-12,1.214027e-12,1.191139e-12,1.282692e-12,1.219749e-12,1.200676e-12,1.198769e-12,1.252174e-12,1.193047e-12,1.284599e-12,1.229286e-12,1.229286e-12,1.166344e-12,1.250267e-12,1.244545e-12,1.185417e-12,1.183510e-12,1.225471e-12,1.181602e-12,1.193047e-12,1.202583e-12,1.156807e-12,1.212120e-12,1.187325e-12,1.154900e-12,1.172066e-12,1.156807e-12,1.135826e-12,1.175880e-12,1.208305e-12,1.124382e-12,1.141548e-12,1.145363e-12,1.139641e-12,1.172066e-12,1.137733e-12,1.093864e-12,1.137733e-12,1.128197e-12,1.122475e-12,1.114845e-12,1.137733e-12,1.086235e-12,1.116753e-12,1.107216e-12,1.107216e-12,1.166344e-12,1.093864e-12,1.091957e-12,1.097679e-12,1.112938e-12,1.038551e-12,1.122475e-12,1.091957e-12
134.42599, 55.62875,2.146721e-12,3.222465e-12,7.378578e-12,2.514527e-10,2.667427e-12,8.667946e-12,2.100944e-12,3.924662e-11,2.079964e-12,1.597404e-12,1.431465e-12,2.757072e-12,1.347542e-12,1.404762e-12,1.351356e-12,1.366615e-12,1.309395e-12,1.376152e-12,1.368523e-12,1.370430e-12,1.326561e-12,1.267433e-12,1.299858e-12,1.275063e-12,1.317024e-12,1.278877e-12,1.315117e-12,1.223564e-12,1.257896e-12,1.248360e-12,1.244545e-12,1.252174e-12,1.267433e-12,1.229286e-12,1.269340e-12,1.263618e-12,1.225471e-12,1.284599e-12,1.187325e-12,1.227379e-12,1.238823e-12,1.181602e-12,1.227379e-12,1.219749e-12,1.246452e-12,1.238823e-12,1.282692e-12,1.208305e-12,1.248360e-12,1.217842e-12,1.250267e-12,1.152992e-12,1.210213e-12,1.170158e-12,1.168251e-12,1.236916e-12,1.214027e-12,1.152992e-12,1.206398e-12,1.261711e-12,1.185417e-12,1.158714e-12,1.158714e-12,1.189232e-12,1.181602e-12,1.168251e-12,1.128197e-12,1.130104e-12,1.145363e-12,1.172066e-12,1.193047e-12,1.082420e-12,1.183510e-12,1.183510e-12,1.133919e-12,1.145363e-12,1.122475e-12,1.133919e-12,1.122475e-12,1.101494e-12,1.137733e-12,1.055717e-12,1.107216e-12,1.130104e-12,1.107216e-12,1.082420e-12,1.061439e-12,1.109123e-12,1.072884e-12,1.084328e-12,1.061439e-12,1.074791e-12
134.55299, 55.79602,2.232552e-12,3.211021e-12,7.258415e-12,2.516015e-10,2.604485e-12,8.669853e-12,2.047539e-12,3.915697e-11,2.039909e-12,1.683235e-12,1.505852e-12,2.734184e-12,1.385689e-12,1.336098e-12,1.322746e-12,1.334190e-12,1.402855e-12,1.458168e-12,1.330376e-12,1.349449e-12,1.263618e-12,1.328468e-12,1.341820e-12,1.318932e-12,1.288414e-12,1.286507e-12,1.307487e-12,1.311302e-12,1.297951e-12,1.338005e-12,1.242638e-12,1.288414e-12,1.263618e-12,1.231194e-12,1.254082e-12,1.250267e-12,1.305580e-12,1.248360e-12,1.257896e-12,1.217842e-12,1.236916e-12,1.198769e-12,1.208305e-12,1.217842e-12,1.252174e-12,1.267433e-12,1.196861e-12,1.263618e-12,1.175880e-12,1.154900e-12,1.183510e-12,1.193047e-12,1.244545e-12,1.168251e-12,1.164436e-12,1.193047e-12,1.154900e-12,1.200676e-12,1.187325e-12,1.177788e-12,1.177788e-12,1.156807e-12,1.248360e-12,1.149178e-12,1.133919e-12,1.111031e-12,1.135826e-12,1.172066e-12,1.141548e-12,1.158714e-12,1.181602e-12,1.149178e-12,1.183510e-12,1.177788e-12,1.124382e-12,1.101494e-12,1.149178e-12,1.132011e-12,1.109123e-12,1.069069e-12,1.109123e-12,1.111031e-12,1.109123e-12,1.154900e-12,1.112938e-12,1.112938e-12,1.112938e-12,1.103401e-12,1.088142e-12,1.099586e-12,1.074791e-12,1.070976e-12
134.68700, 55.96083,2.182960e-12,3.182411e-12,7.195473e-12,2.517121e-10,2.644539e-12,8.637428e-12,2.049446e-12,3.928476e-11,2.049446e-12,1.654625e-12,1.448631e-12,2.774239e-12,1.389503e-12,1.341820e-12,1.402855e-12,1.381874e-12,1.362801e-12,1.372337e-12,1.318932e-12,1.311302e-12,1.297951e-12,1.317024e-12,1.309395e-12,1.305580e-12,1.292229e-12,1.307487e-12,1.252174e-12,1.296043e-12,1.273155e-12,1.229286e-12,1.326561e-12,1.284599e-12,1.231194e-12,1.303673e-12,1.267433e-12,1.231194e-12,1.257896e-12,1.215935e-12,1.244545e-12,1.219749e-12,1.217842e-12,1.238823e-12,1.278877e-12,1.261711e-12,1.200676e-12,1.191139e-12,1.236916e-12,1.246452e-12,1.217842e-12,1.231194e-12,1.191139e-12,1.225471e-12,1.217842e-12,1.248360e-12,1.214027e-12,1.200676e-12,1.204491e-12,1.202583e-12,1.147270e-12,1.231194e-12,1.133919e-12,1.158714e-12,1.145363e-12,1.162529e-12,1.173973e-12,1.162529e-12,1.164436e-12,1.120567e-12,1.173973e-12,1.130104e-12,1.185417e-12,1.088142e-12,1.152992e-12,1.137733e-12,1.137733e-12,1.128197e-12,1.151085e-12,1.158714e-12,1.124382e-12,1.149178e-12,1.103401e-12,1.143455e-12,1.132011e-12,1.101494e-12,1.137733e-12,1.078606e-12,1.095772e-12,1.044273e-12,1.057625e-12,1.074791e-12,1.105309e-12,1.036644e-12
134.89101, 56.13295,2.192497e-12,3.270149e-12,7.262230e-12,2.509644e-10,2.621651e-12,8.698463e-12,2.091408e-12,3.903109e-11,2.066612e-12,1.570702e-12,1.441002e-12,2.732277e-12,1.450539e-12,1.389503e-12,1.368523e-12,1.355171e-12,1.379967e-12,1.399040e-12,1.324654e-12,1.368523e-12,1.362801e-12,1.263618e-12,1.330376e-12,1.311302e-12,1.267433e-12,1.269340e-12,1.315117e-12,1.328468e-12,1.242638e-12,1.276970e-12,1.261711e-12,1.282692e-12,1.284599e-12,1.206398e-12,1.248360e-12,1.238823e-12,1.210213e-12,1.263618e-12,1.217842e-12,1.242638e-12,1.238823e-12,1.217842e-12,1.261711e-12,1.265526e-12,1.194954e-12,1.215935e-12,1.231194e-12,1.215935e-12,1.200676e-12,1.233101e-12,1.198769e-12,1.221657e-12,1.219749e-12,1.221657e-12,1.162529e-12,1.179695e-12,1.175880e-12,1.200676e-12,1.219749e-12,1.187325e-12,1.204491e-12,1.168251e-12,1.158714e-12,1.168251e-12,1.200676e-12,1.179695e-12,1.194954e-12,1.181602e-12,1.139641e-12,1.128197e-12,1.173973e-12,1.120567e-12,1.141548e-12,1.152992e-12,1.118660e-12,1.191139e-12,1.143455e-12,1.130104e-12,1.128197e-12,1.078606e-12,1.133919e-12,1.154900e-12,1.063347e-12,1.084328e-12,1.114845e-12,1.107216e-12,1.095772e-12,1.048088e-12,1.088142e-12,1.103401e-12,1.088142e-12,1.069069e-12
