#EXPORTTYPE:                 ,DATA ALL                                     
#FILE:                       ,2025_07_22_SL_PS_Red_Solo_Cup_Dynamic.ngb-ss5
#FORMAT:                     ,NETZSCH5                                     
#FTYPE:                      ,ASCII                                        
#IDENTITY:                   ,PS-Red-Solo-Cup                              
#DECIMAL:                    ,POINT                                        
#SEPARATOR:                  ,COMMA                                        
#MTYPE:                      ,DSC                                          
#INSTRUMENT:                 ,NETZSCH STA 449F5                            
#PROJECT:                    ,                                             
#DATE/TIME:                  ,7/22/2025 5:22:39 PM (UTC-4)                 
#CORR. FILE:                 ,                                             
#TEMPCAL:                    ,05-05-2025 14:38                             
#SENSITIVITY:                ,28-06-2023 13:53                             
#LABORATORY:                 ,Tran/AAG                                     
#OPERATOR:                   ,Stanley                                      
#REMARK:                     ,2025_03_20_Styrofoam_dynamic                 
#SAMPLE:                     ,PS-Red-Solo-Cup                              
#SAMPLE MASS /mg:            ,4.63                                         
#MATERIAL:                   ,Polystyrene                                  
#REFERENCE:                  ,                                             
#REFERENCE MASS /mg:         ,0                                            
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                            
#SAMPLE CRUCIBLE MASS /mg:   ,0                                            
#REFERENCE CRUCIBLE MASS /mg:,0                                            
#DSC RANGE /‘V:              ,5000                                         
#TG RANGE /mg:               ,35000                                        
#TAU-R:                      ,---                                          
#CORR. CODE:                 ,000                                          
#EXO:                        ,-1                                           
#RANGE:                      ,20›C....800›C/0.0....20.0K/min               
#SEGMENT:                    ,S1-4/4                                       
#SEG. 1:                     ,20›C/5.0(K/min)/100›C                        
#SEG. 2:                     ,100›C/00:05/100›C                            
#SEG. 3:                     ,100›C/1.0(K/min)/400›C                       
#SEG. 4:                     ,400›C/20.0(K/min)/800›C                      

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 28.92000,  0.00000,-5.710747e-03,100.00000,50.00000,41.00000,            ,0.92335,1
 29.11200,  0.06667,-1.962991e-02, 99.86307,50.00000,41.00000,1.706369e-08,0.92335,1
 29.27600,  0.13333,-3.265592e-02, 99.77754,50.00000,41.00000,1.703616e-08,0.92339,1
 29.42900,  0.20000,-4.532428e-02, 99.72376,50.00000,40.00000,1.703616e-08,0.92339,1
 29.59200,  0.26667,-5.370928e-02, 99.65788,50.00000,40.00000,1.705526e-08,0.92342,1
 29.78100,  0.33333,-6.459140e-02, 99.57970,50.00000,39.00000,1.705526e-08,0.92342,1
 29.91900,  0.40000,-7.261870e-02, 99.54060,50.00000,39.00000,1.705526e-08,0.92342,1
 30.06500,  0.46667,-7.993176e-02, 99.48920,50.00000,39.00000,1.706737e-08,0.92345,1
 30.21200,  0.53333,-8.635231e-02, 99.45270,50.00000,38.00000,1.706737e-08,0.92345,1
 30.37200,  0.60000,-9.063136e-02, 99.43801,50.00000,38.00000,1.706737e-08,0.92345,1
 30.52300,  0.66667,-9.508872e-02, 99.39395,50.00000,37.00000,1.706148e-08,0.92348,1
 30.64500,  0.73333,-9.972481e-02, 99.34017,50.00000,37.00000,1.706148e-08,0.92348,1
 30.78200,  0.80000,     -0.10275, 99.31102,50.00000,37.00000,1.707598e-08,0.92351,1
 30.92200,  0.86667,     -0.10578, 99.27430,50.00000,37.00000,1.707598e-08,0.92351,1
 31.06700,  0.93333,     -0.10971, 99.24492,50.00000,37.00000,1.707598e-08,0.92351,1
 31.18600,  1.00000,     -0.11256, 99.21555,50.00000,36.00000,1.707290e-08,0.92354,1
 31.31800,  1.06667,     -0.11452, 99.18639,50.00000,36.00000,1.707290e-08,0.92354,1
 31.45000,  1.13333,     -0.11808, 99.15702,50.00000,35.00000,1.707150e-08,0.92357,1
 31.57000,  1.20000,     -0.12058, 99.12765,50.00000,35.00000,1.707150e-08,0.92357,1
 31.67500,  1.26667,     -0.12396, 99.09352,50.00000,35.00000,1.707150e-08,0.92357,1
