#EXPORTTYPE:                 ,DATA ALL                                   
#FILE:                       ,2025_07_23_SL_PS_Petri_Dish_Dynamic.ngb-ss5
#FORMAT:                     ,NETZSCH5                                   
#FTYPE:                      ,ASCII                                      
#IDENTITY:                   ,PS-Petri-Dish                              
#DECIMAL:                    ,POINT                                      
#SEPARATOR:                  ,COMMA                                      
#MTYPE:                      ,DSC                                        
#INSTRUMENT:                 ,NETZSCH STA 449F5                          
#PROJECT:                    ,                                           
#DATE/TIME:                  ,7/23/2025 1:41:24 PM (UTC-4)               
#CORR. FILE:                 ,                                           
#TEMPCAL:                    ,05-05-2025 14:38                           
#SENSITIVITY:                ,28-06-2023 13:53                           
#LABORATORY:                 ,Tran/AAG                                   
#OPERATOR:                   ,Stanley                                    
#REMARK:                     ,2025_03_20_Styrofoam_dynamic               
#SAMPLE:                     ,PS-Petri-Dish                              
#SAMPLE MASS /mg:            ,5.85                                       
#MATERIAL:                   ,Polystyrene                                
#REFERENCE:                  ,                                           
#REFERENCE MASS /mg:         ,0                                          
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                          
#SAMPLE CRUCIBLE MASS /mg:   ,0                                          
#REFERENCE CRUCIBLE MASS /mg:,0                                          
#DSC RANGE /‘V:              ,5000                                       
#TG RANGE /mg:               ,35000                                      
#TAU-R:                      ,---                                        
#CORR. CODE:                 ,000                                        
#EXO:                        ,-1                                         
#RANGE:                      ,20›C....800›C/0.0....20.0K/min             
#SEGMENT:                    ,S1-4/4                                     
#SEG. 1:                     ,20›C/5.0(K/min)/100›C                      
#SEG. 2:                     ,100›C/00:05/100›C                          
#SEG. 3:                     ,100›C/1.0(K/min)/400›C                     
#SEG. 4:                     ,400›C/20.0(K/min)/800›C                    

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 28.00700,  0.00000,      0.46662,    100.00000,50.00000,38.00000,            ,0.92317,1
 28.17000,  0.06667,      0.43609,     99.93624,50.00000,37.00000,1.686128e-08,0.92317,1
 28.33200,  0.13333,      0.40881,     99.87043,50.00000,37.00000,1.688535e-08,0.92320,1
 28.49800,  0.20000,      0.38351,     99.81248,50.00000,37.00000,1.688535e-08,0.92320,1
 28.66200,  0.26667,      0.35948,     99.76017,50.00000,37.00000,1.688535e-08,0.92320,1
 28.81700,  0.33333,      0.33673,     99.70615,50.00000,37.00000,1.686514e-08,0.92324,1
 28.96900,  0.40000,      0.31765,     99.63060,50.00000,37.00000,1.686514e-08,0.92324,1
 29.12000,  0.46667,      0.29942,     99.59966,50.00000,36.00000,1.688885e-08,0.92327,1
 29.25800,  0.53333,      0.28430,     99.57453,50.00000,36.00000,1.688885e-08,0.92327,1
 29.39700,  0.60000,      0.26989,     99.55128,50.00000,36.00000,1.688885e-08,0.92327,1
 29.54500,  0.66667,      0.25675,     99.55128,50.00000,35.00000,1.690248e-08,0.92330,1
 29.69800,  0.73333,      0.24445,     99.50308,50.00000,35.00000,1.690248e-08,0.92330,1
 29.82000,  0.80000,      0.23315,     99.47795,50.00000,35.00000,1.690248e-08,0.92330,1
 29.96500,  0.86667,      0.22283,     99.45470,50.00000,34.00000,1.688949e-08,0.92333,1
 30.09900,  0.93333,      0.21436,     99.43726,50.00000,34.00000,1.688949e-08,0.92333,1
 30.22700,  1.00000,      0.20362,     99.40821,50.00000,34.00000,1.688949e-08,0.92333,1
 30.35300,  1.06667,      0.19444,     99.38496,50.00000,33.00000,1.688949e-08,0.92333,1
 30.48900,  1.13333,      0.18652,     99.36188,50.00000,33.00000,1.689931e-08,0.92336,1
 30.60500,  1.20000,      0.17762,     99.33470,50.00000,33.00000,1.689931e-08,0.92336,1
 30.72700,  1.26667,      0.16901,     99.30000,50.00000,32.00000,1.689931e-08,0.92336,1
 30.83900,  1.33333,      0.15983,     99.28838,50.00000,32.00000,1.687934e-08,0.92339,1
 30.95100,  1.40000,      0.15248,     99.26513,50.00000,32.00000,1.687934e-08,0.92339,1
 31.06700,  1.46667,      0.14372,     99.24188,50.00000,31.00000,1.690694e-08,0.92341,1
 31.16700,  1.53333,      0.13596,     99.21880,50.00000,31.00000,1.690694e-08,0.92341,1
 31.28300,  1.60000,      0.12791,     98.28650,50.00000,31.00000,1.690694e-08,0.92341,1
 31.38500,  1.66667,      0.12056,     93.79402,50.00000,31.00000,1.690638e-08,0.92344,1
 31.48200,  1.73333,      0.11265,     93.12103,50.00000,31.00000,1.690638e-08,0.92344,1
 31.57100,  1.80000,      0.10588,     92.89675,50.00000,31.00000,1.688243e-08,0.92347,1
 31.66200,  1.86667, 9.867536e-02,     92.77692,50.00000,31.00000,1.688243e-08,0.92347,1
 31.73800,  1.93333, 9.161572e-02,     92.80786,50.00000,31.00000,1.688243e-08,0.92347,1
 31.83400,  2.00000, 8.455598e-02,     92.80786,50.00000,31.00000,1.687309e-08,0.92350,1
 31.92500,  2.06667, 7.933163e-02,     92.80786,50.00000,32.00000,1.687309e-08,0.92350,1
 32.01200,  2.13333, 7.340174e-02,     92.85043,50.00000,32.00000,1.693649e-08,0.92352,1
 32.10200,  2.20000, 6.690740e-02,     92.89094,50.00000,32.00000,1.693649e-08,0.92352,1
 32.18200,  2.26667, 6.111914e-02,     92.96838,50.00000,32.00000,1.693649e-08,0.92352,1
 32.26800,  2.33333, 5.674250e-02,     93.03795,50.00000,32.00000,1.688188e-08,0.92355,1
 32.34900,  2.40000, 5.349524e-02,     93.10752,50.00000,32.00000,1.688188e-08,0.92355,1
 32.42700,  2.46667, 4.813092e-02,     93.13846,50.00000,32.00000,1.688188e-08,0.92355,1
 32.50700,  2.53333, 4.671877e-02,     93.19658,50.00000,32.00000,1.690908e-08,0.92357,1
 32.58900,  2.60000, 4.304837e-02,     93.21966,50.00000,32.00000,1.690908e-08,0.92357,1
 32.65900,  2.66667, 4.121300e-02,     93.27385,50.00000,32.00000,1.690683e-08,0.92360,1
