#EXPORTTYPE:                 ,DATA ALL                                        
#FILE:                       ,2025_07_25_SL_PS_Red_Solo_Cup_Isothermal.ngb-ss5
#FORMAT:                     ,NETZSCH5                                        
#FTYPE:                      ,ASCII                                           
#IDENTITY:                   ,PS-Red-Solo-Cup                                 
#DECIMAL:                    ,POINT                                           
#SEPARATOR:                  ,COMMA                                           
#MTYPE:                      ,DSC                                             
#INSTRUMENT:                 ,NETZSCH STA 449F5                               
#PROJECT:                    ,                                                
#DATE/TIME:                  ,7/25/2025 9:05:09 AM (UTC-4)                    
#CORR. FILE:                 ,                                                
#TEMPCAL:                    ,05-05-2025 14:38                                
#SENSITIVITY:                ,28-06-2023 13:53                                
#LABORATORY:                 ,Tran/AAG                                        
#OPERATOR:                   ,Stanley                                         
#REMARK:                     ,2025_03_29_SL_005d_M1_isothermal                
#SAMPLE:                     ,PS-Red-Solo-Cup                                 
#SAMPLE MASS /mg:            ,4.32                                            
#MATERIAL:                   ,Polystyrene                                     
#REFERENCE:                  ,                                                
#REFERENCE MASS /mg:         ,0                                               
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                               
#SAMPLE CRUCIBLE MASS /mg:   ,0                                               
#REFERENCE CRUCIBLE MASS /mg:,0                                               
#DSC RANGE /‘V:              ,5000                                            
#TG RANGE /mg:               ,35000                                           
#TAU-R:                      ,---                                             
#CORR. CODE:                 ,000                                             
#EXO:                        ,-1                                              
#RANGE:                      ,30›C....800›C/0.0....20.0K/min                  
#SEGMENT:                    ,S1-5/5                                          
#SEG. 1:                     ,30›C/10.0(K/min)/100›C                          
#SEG. 2:                     ,100›C/00:10/100›C                               
#SEG. 3:                     ,100›C/5.0(K/min)/300›C                          
#SEG. 4:                     ,300›C/20:00/300›C                               
#SEG. 5:                     ,300›C/20.0(K/min)/800›C                         

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 29.98400,   0.00000,      0.72226,100.00000,50.00000,50.00000,            ,0.92355,1
 30.07400,   0.04000,      0.69834,100.00000,50.00000,50.00000,1.742697e-08,0.92355,1
 30.16900,   0.08000,      0.67328, 99.92407,50.00000,50.00000,1.742697e-08,0.92355,1
 30.27500,   0.12000,      0.65338, 99.91620,50.00000,50.00000,1.740855e-08,0.92357,1
 30.36800,   0.16000,      0.62698, 99.81921,50.00000,50.00000,1.740855e-08,0.92357,1
 30.48100,   0.20000,      0.61033, 99.74074,50.00000,50.00000,1.740855e-08,0.92357,1
 30.56500,   0.24000,      0.59273, 99.73287,50.00000,50.00000,1.740855e-08,0.92357,1
 30.66500,   0.28000,      0.57436, 99.73287,50.00000,50.00000,1.739199e-08,0.92359,1
 30.75900,   0.32000,      0.56250, 99.73287,50.00000,50.00000,1.739199e-08,0.92359,1
 30.84100,   0.36000,      0.54892, 99.73287,50.00000,50.00000,1.739199e-08,0.92359,1
 30.95800,   0.40000,      0.53896, 99.73287,50.00000,50.00000,1.739199e-08,0.92359,1
 31.05200,   0.44000,      0.53226, 99.73287,50.00000,50.00000,1.739199e-08,0.92359,1
 31.15900,   0.48000,      0.52632, 99.70139,50.00000,50.00000,1.744940e-08,0.92360,1
 31.26400,   0.52000,      0.52115, 99.70139,50.00000,50.00000,1.744940e-08,0.92360,1
 31.36400,   0.56000,      0.51942, 99.70139,50.00000,50.00000,1.744940e-08,0.92360,1
 31.48800,   0.60000,      0.51902, 99.73287,50.00000,50.00000,1.744940e-08,0.92360,1
 31.59900,   0.64000,      0.52169, 99.76690,50.00000,50.00000,1.735348e-08,0.92362,1
 31.71600,   0.68000,      0.52569, 99.79838,50.00000,50.00000,1.735348e-08,0.92362,1
 31.84000,   0.72000,      0.53161, 99.79838,50.00000,50.00000,1.735348e-08,0.92362,1
 31.95000,   0.76000,      0.53867, 99.83495,50.00000,50.00000,1.735348e-08,0.92362,1
