#EXPORTTYPE:                 ,DATA ALL                                      
#FILE:                       ,2025_08_01_SL_PS_Petri_Dish_Isothermal.ngb-ss5
#FORMAT:                     ,NETZSCH5                                      
#FTYPE:                      ,ASCII                                         
#IDENTITY:                   ,PS-Petri-Dish                                 
#DECIMAL:                    ,POINT                                         
#SEPARATOR:                  ,COMMA                                         
#MTYPE:                      ,DSC                                           
#INSTRUMENT:                 ,NETZSCH STA 449F5                             
#PROJECT:                    ,                                              
#DATE/TIME:                  ,8/5/2025 1:50:47 PM (UTC-4)                   
#CORR. FILE:                 ,                                              
#TEMPCAL:                    ,05-05-2025 14:38                              
#SENSITIVITY:                ,28-06-2023 13:53                              
#LABORATORY:                 ,Tran/AAG                                      
#OPERATOR:                   ,Stanley                                       
#REMARK:                     ,2025_03_29_SL_005d_M1_isothermal              
#SAMPLE:                     ,PS-Petri-Dish                                 
#SAMPLE MASS /mg:            ,4.90                                          
#MATERIAL:                   ,Polystyrene                                   
#REFERENCE:                  ,                                              
#REFERENCE MASS /mg:         ,0                                             
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                             
#SAMPLE CRUCIBLE MASS /mg:   ,0                                             
#REFERENCE CRUCIBLE MASS /mg:,0                                             
#DSC RANGE /‘V:              ,5000                                          
#TG RANGE /mg:               ,35000                                         
#TAU-R:                      ,---                                           
#CORR. CODE:                 ,000                                           
#EXO:                        ,-1                                            
#RANGE:                      ,30›C....800›C/0.0....20.0K/min                
#SEGMENT:                    ,S1-5/5                                        
#SEG. 1:                     ,30›C/10.0(K/min)/100›C                        
#SEG. 2:                     ,100›C/00:10/100›C                             
#SEG. 3:                     ,100›C/5.0(K/min)/300›C                        
#SEG. 4:                     ,300›C/20:00/300›C                             
#SEG. 5:                     ,300›C/20.0(K/min)/800›C                       

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 29.63400,   0.00000,      1.34090,    100.00000,50.00000,50.00000,            ,0.92349,1
 29.85900,   0.04000,      1.34050,     99.85224,50.00000,50.00000,1.356114e-08,0.92349,1
 30.08600,   0.08000,      1.33706,     99.71143,50.00000,50.00000,1.356114e-08,0.92349,1
 30.26800,   0.12000,      1.32673,     99.56592,50.00000,50.00000,1.358725e-08,0.92353,1
 30.45500,   0.16000,      1.31657,     99.45061,50.00000,50.00000,1.358725e-08,0.92353,1
 30.66000,   0.20000,      1.30269,     99.39041,50.00000,50.00000,1.358725e-08,0.92353,1
 30.84800,   0.24000,      1.28747,     99.30286,50.00000,50.00000,1.358725e-08,0.92353,1
 31.04600,   0.28000,      1.27344,     99.22204,50.00000,50.00000,1.363834e-08,0.92357,1
 31.20300,   0.32000,      1.25604,     99.18265,50.00000,50.00000,1.363834e-08,0.92357,1
 31.38800,   0.36000,      1.24065,     99.11102,50.00000,50.00000,1.363834e-08,0.92357,1
 31.53700,   0.40000,      1.22393,     99.03490,50.00000,50.00000,1.363834e-08,0.92357,1
 31.71500,   0.44000,      1.20670,     98.97714,50.00000,50.00000,1.362506e-08,0.92360,1
 31.89200,   0.48000,      1.19267,     98.92878,50.00000,50.00000,1.362506e-08,0.92360,1
 32.04700,   0.52000,      1.17831,     98.92184,50.00000,50.00000,1.362506e-08,0.92360,1
 32.21300,   0.56000,      1.16379,     98.88714,50.00000,50.00000,1.362506e-08,0.92360,1
 32.38400,   0.60000,      1.14976,     98.87327,50.00000,50.00000,1.359945e-08,0.92364,1
 32.53800,   0.64000,      1.13793,     98.87327,50.00000,50.00000,1.359945e-08,0.92364,1
 32.71900,   0.68000,      1.12560,     98.83408,50.00000,50.00000,1.359945e-08,0.92364,1
 32.86900,   0.72000,      1.11596,     98.81327,50.00000,50.00000,1.359945e-08,0.92364,1
 33.04300,   0.76000,      1.10902,     98.81327,50.00000,50.00000,1.359945e-08,0.92364,1
