#EXPORTTYPE:                 ,DATA ALL                                    
#FILE:                       ,2025_08_03_SL_PS_Blue_Cup_Isothermal.ngb-ss5
#FORMAT:                     ,NETZSCH5                                    
#FTYPE:                      ,ASCII                                       
#IDENTITY:                   ,PS-Blue-Cup                                 
#DECIMAL:                    ,POINT                                       
#SEPARATOR:                  ,COMMA                                       
#MTYPE:                      ,DSC                                         
#INSTRUMENT:                 ,NETZSCH STA 449F5                           
#PROJECT:                    ,                                            
#DATE/TIME:                  ,8/3/2025 5:12:55 PM (UTC-4)                 
#CORR. FILE:                 ,                                            
#TEMPCAL:                    ,05-05-2025 14:38                            
#SENSITIVITY:                ,28-06-2023 13:53                            
#LABORATORY:                 ,Tran/AAG                                    
#OPERATOR:                   ,Stanley                                     
#REMARK:                     ,2025_03_29_SL_005d_M1_isothermal            
#SAMPLE:                     ,PS-Blue-Cup                                 
#SAMPLE MASS /mg:            ,5.04                                        
#MATERIAL:                   ,Polystyrene                                 
#REFERENCE:                  ,                                            
#REFERENCE MASS /mg:         ,0                                           
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                           
#SAMPLE CRUCIBLE MASS /mg:   ,0                                           
#REFERENCE CRUCIBLE MASS /mg:,0                                           
#DSC RANGE /‘V:              ,5000                                        
#TG RANGE /mg:               ,35000                                       
#TAU-R:                      ,---                                         
#CORR. CODE:                 ,000                                         
#EXO:                        ,-1                                          
#RANGE:                      ,30›C....800›C/0.0....20.0K/min              
#SEGMENT:                    ,S1-5/5                                      
#SEG. 1:                     ,30›C/10.0(K/min)/100›C                      
#SEG. 2:                     ,100›C/00:10/100›C                           
#SEG. 3:                     ,100›C/5.0(K/min)/300›C                      
#SEG. 4:                     ,300›C/20:00/300›C                           
#SEG. 5:                     ,300›C/20.0(K/min)/800›C                     

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 40.40600,   0.00000,     -0.19864,100.00000,50.00000,50.00000,            ,0.92513,1
 40.38800,   0.04000,     -0.19799, 99.96865,50.00000,50.00000,1.434347e-08,0.92513,1
 40.38000,   0.08000,     -0.19734, 99.93274,50.00000,50.00000,1.434347e-08,0.92513,1
 40.36000,   0.12000,     -0.19685, 99.89901,50.00000,50.00000,1.433431e-08,0.92513,1
 40.32900,   0.16000,     -0.19586, 99.86984,50.00000,50.00000,1.433431e-08,0.92513,1
 40.31600,   0.20000,     -0.19357, 99.82718,50.00000,50.00000,1.433431e-08,0.92513,1
 40.30100,   0.24000,     -0.19161, 99.81369,50.00000,50.00000,1.433431e-08,0.92513,1
 40.30700,   0.28000,     -0.18948, 99.80694,50.00000,50.00000,1.432683e-08,0.92513,1
 40.27300,   0.32000,     -0.18556, 99.78671,50.00000,50.00000,1.432683e-08,0.92513,1
 40.27200,   0.36000,     -0.18245, 99.80913,50.00000,50.00000,1.432683e-08,0.92513,1
 40.26200,   0.40000,     -0.17705, 99.84504,50.00000,50.00000,1.432683e-08,0.92513,1
 40.26500,   0.44000,     -0.17099, 99.84504,50.00000,50.00000,1.432158e-08,0.92512,1
 40.27800,   0.48000,     -0.16625, 99.84504,50.00000,50.00000,1.432158e-08,0.92512,1
 40.26600,   0.52000,     -0.15741, 99.85853,50.00000,50.00000,1.432158e-08,0.92512,1
 40.29700,   0.56000,     -0.15136, 99.90575,50.00000,50.00000,1.432158e-08,0.92512,1
 40.29200,   0.60000,     -0.14269, 99.93710,50.00000,50.00000,1.432158e-08,0.92512,1
 40.29500,   0.64000,     -0.13385, 99.97083,50.00000,50.00000,1.434130e-08,0.92512,1
 40.33600,   0.68000,     -0.12419,100.02917,50.00000,50.00000,1.434130e-08,0.92512,1
 40.33900,   0.72000,     -0.11241,100.11230,50.00000,50.00000,1.434130e-08,0.92512,1
 40.35900,   0.76000,     -0.10047,100.18175,50.00000,50.00000,1.434130e-08,0.92512,1
