#EXPORTTYPE:                 ,DATA ALL                                                                      
#FILE:                       ,2025_08_06_SL_PS_Blue_Cup_Functionalized_250721_P5EER2_V3_4_Isothermal.ngb-ss5
#FORMAT:                     ,NETZSCH5                                                                      
#FTYPE:                      ,ASCII                                                                         
#IDENTITY:                   ,250721-P5EER2-V3+4                                                            
#DECIMAL:                    ,POINT                                                                         
#SEPARATOR:                  ,COMMA                                                                         
#MTYPE:                      ,DSC                                                                           
#INSTRUMENT:                 ,NETZSCH STA 449F5                                                             
#PROJECT:                    ,                                                                              
#DATE/TIME:                  ,8/6/2025 12:56:57 PM (UTC-4)                                                  
#CORR. FILE:                 ,                                                                              
#TEMPCAL:                    ,05-05-2025 14:38                                                              
#SENSITIVITY:                ,28-06-2023 13:53                                                              
#LABORATORY:                 ,Tran/AAG                                                                      
#OPERATOR:                   ,Stanley                                                                       
#REMARK:                     ,2025_03_29_SL_005d_M1_isothermal                                              
#SAMPLE:                     ,250721-P5EER2-V3+4                                                            
#SAMPLE MASS /mg:            ,4.97                                                                          
#MATERIAL:                   ,Polystyrene                                                                   
#REFERENCE:                  ,                                                                              
#REFERENCE MASS /mg:         ,0                                                                             
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                                                             
#SAMPLE CRUCIBLE MASS /mg:   ,0                                                                             
#REFERENCE CRUCIBLE MASS /mg:,0                                                                             
#DSC RANGE /‘V:              ,5000                                                                          
#TG RANGE /mg:               ,35000                                                                         
#TAU-R:                      ,---                                                                           
#CORR. CODE:                 ,000                                                                           
#EXO:                        ,-1                                                                            
#RANGE:                      ,30›C....800›C/0.0....20.0K/min                                                
#SEGMENT:                    ,S1-5/5                                                                        
#SEG. 1:                     ,30›C/10.0(K/min)/100›C                                                        
#SEG. 2:                     ,100›C/00:10/100›C                                                             
#SEG. 3:                     ,100›C/5.0(K/min)/300›C                                                        
#SEG. 4:                     ,300›C/20:00/300›C                                                             
#SEG. 5:                     ,300›C/20.0(K/min)/800›C                                                       

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 29.01400,   0.00000,      0.64854,    100.00000,50.00000,50.00000,            ,0.92337,1
 29.13800,   0.04000,      0.63422,     99.90664,50.00000,50.00000,1.325312e-08,0.92337,1
 29.24100,   0.08000,      0.62257,     99.81791,50.00000,50.00000,1.325312e-08,0.92337,1
 29.36200,   0.12000,      0.61009,     99.72213,50.00000,50.00000,1.323443e-08,0.92339,1
 29.48100,   0.16000,      0.59644,     99.68571,50.00000,50.00000,1.323443e-08,0.92339,1
 29.59700,   0.20000,      0.58213,     99.64487,50.00000,50.00000,1.323443e-08,0.92339,1
 29.69400,   0.24000,      0.56966,     99.61751,50.00000,50.00000,1.323443e-08,0.92339,1
 29.79800,   0.28000,      0.55817,     99.61751,50.00000,50.00000,1.326795e-08,0.92341,1
 29.90400,   0.32000,      0.54885,     99.58793,50.00000,50.00000,1.326795e-08,0.92341,1
 29.99800,   0.36000,      0.53854,     99.58793,50.00000,50.00000,1.326795e-08,0.92341,1
 30.11300,   0.40000,      0.53238,     99.58793,50.00000,50.00000,1.326795e-08,0.92341,1
 30.20800,   0.44000,      0.52455,     99.56056,50.00000,50.00000,1.327325e-08,0.92343,1
 30.32100,   0.48000,      0.51656,     99.56056,50.00000,50.00000,1.327325e-08,0.92343,1
 30.42300,   0.52000,      0.51207,     99.56056,50.00000,50.00000,1.327325e-08,0.92343,1
 30.53500,   0.56000,      0.50973,     99.58793,50.00000,50.00000,1.327325e-08,0.92343,1
 30.66700,   0.60000,      0.50789,     99.58793,50.00000,50.00000,1.327325e-08,0.92343,1
 30.77900,   0.64000,      0.50555,     99.60161,50.00000,50.00000,1.328717e-08,0.92346,1
 30.90900,   0.68000,      0.50554,     99.61529,50.00000,50.00000,1.328717e-08,0.92346,1
 31.02500,   0.72000,      0.50619,     99.61529,50.00000,50.00000,1.328717e-08,0.92346,1
 31.15200,   0.76000,      0.50967,     99.64266,50.00000,50.00000,1.328717e-08,0.92346,1
 31.28900,   0.80000,      0.51298,     99.70865,50.00000,50.00000,1.324913e-08,0.92348,1
 31.39500,   0.84000,      0.51779,     99.76318,50.00000,50.00000,1.324913e-08,0.92348,1
 31.52700,   0.88000,      0.52342,     99.81549,50.00000,50.00000,1.324913e-08,0.92348,1
 31.67400,   0.92000,      0.52922,     99.81549,50.00000,50.00000,1.324913e-08,0.92348,1
 31.82000,   0.96000,      0.53652,     99.84286,50.00000,50.00000,1.325638e-08,0.92350,1
 31.96700,   1.00000,      0.54548,     99.87465,50.00000,50.00000,1.325638e-08,0.92350,1
 32.09800,   1.04000,      0.55344,     99.94769,50.00000,50.00000,1.325638e-08,0.92350,1
 32.24900,   1.08000,      0.56389,     99.97485,50.00000,50.00000,1.325638e-08,0.92350,1
 32.41700,   1.12000,      0.57434,    100.00684,50.00000,50.00000,1.328491e-08,0.92352,1
 32.57000,   1.16000,      0.58529,    100.05915,50.00000,50.00000,1.328491e-08,0.92352,1
 32.71400,   1.20000,      0.59557,    100.10463,50.00000,50.00000,1.328491e-08,0.92352,1
 32.88700,   1.24000,      0.60735,     98.80483,50.00000,50.00000,1.328491e-08,0.92352,1
 33.04900,   1.28000,      0.61946,     94.21569,50.00000,50.00000,1.328491e-08,0.92352,1
 33.22400,   1.32000,      0.63422,     93.28471,50.00000,50.00000,1.329082e-08,0.92354,1
 33.38200,   1.36000,      0.64583,     92.72475,50.00000,50.00000,1.329082e-08,0.92354,1
 33.55400,   1.40000,      0.66027,     92.29457,50.00000,50.00000,1.329082e-08,0.92354,1
 33.73300,   1.44000,      0.67320,     92.01006,50.00000,50.00000,1.329082e-08,0.92354,1
 33.91400,   1.48000,      0.68713,     91.88712,50.00000,50.00000,1.326299e-08,0.92355,1
 34.09700,   1.52000,      0.70139,     91.80744,50.00000,50.00000,1.326299e-08,0.92355,1
 34.27600,   1.56000,      0.71350,     91.78008,50.00000,50.00000,1.326299e-08,0.92355,1
 34.46000,   1.60000,      0.72842,     91.81187,50.00000,50.00000,1.326299e-08,0.92355,1
 34.66400,   1.64000,      0.74301,     91.83239,50.00000,50.00000,1.330185e-08,0.92357,1
 34.85400,   1.68000,      0.75727,     91.83924,50.00000,50.00000,1.330185e-08,0.92357,1
 35.03100,   1.72000,      0.77070,     91.87123,50.00000,50.00000,1.330185e-08,0.92357,1
 35.24200,   1.76000,      0.78479,     91.89839,50.00000,50.00000,1.330185e-08,0.92357,1
 35.43000,   1.80000,      0.79937,     91.92797,50.00000,50.00000,1.329945e-08,0.92359,1
 35.62900,   1.84000,      0.81330,     91.95775,50.00000,50.00000,1.329945e-08,0.92359,1
 35.82400,   1.88000,      0.82689,     92.03501,50.00000,50.00000,1.329945e-08,0.92359,1
 36.04000,   1.92000,      0.84097,     92.07606,50.00000,50.00000,1.329945e-08,0.92359,1
 36.25600,   1.96000,      0.85389,     92.15573,50.00000,50.00000,1.328092e-08,0.92361,1
 36.46500,   2.00000,      0.86897,     92.22636,50.00000,50.00000,1.328092e-08,0.92361,1
 36.64900,   2.04000,      0.88123,     92.29920,50.00000,50.00000,1.328092e-08,0.92361,1
 36.86300,   2.08000,      0.89498,     92.37867,50.00000,50.00000,1.328092e-08,0.92361,1
 37.07600,   2.12000,      0.90824,     92.41066,50.00000,50.00000,1.328092e-08,0.92361,1
 37.31500,   2.16000,      0.92082,     92.48813,50.00000,50.00000,1.331650e-08,0.92363,1
 37.51700,   2.20000,      0.93358,     92.55634,50.00000,50.00000,1.331650e-08,0.92363,1
 37.73900,   2.24000,      0.94716,     92.62696,50.00000,50.00000,1.331650e-08,0.92363,1
 37.97100,   2.28000,      0.96040,     92.69738,50.00000,50.00000,1.331650e-08,0.92363,1
