#EXPORTTYPE:                 ,DATA ALL                                                              
#FILE:                       ,2025_08_11_SL_PS_Petri_Dish_SCF3_250721_P5EER2_V1_2_Isothermal.ngb-ss5
#FORMAT:                     ,NETZSCH5                                                              
#FTYPE:                      ,ASCII                                                                 
#IDENTITY:                   ,250721-P5EER2-V1+2                                                    
#DECIMAL:                    ,POINT                                                                 
#SEPARATOR:                  ,COMMA                                                                 
#MTYPE:                      ,TG                                                                    
#INSTRUMENT:                 ,NETZSCH STA 449F5                                                     
#PROJECT:                    ,                                                                      
#DATE/TIME:                  ,8/11/2025 1:00:34 PM (UTC-4)                                          
#CORR. FILE:                 ,                                                                      
#TEMPCAL:                    ,05-05-2025 14:38                                                      
#SENSITIVITY:                ,28-06-2023 13:53                                                      
#LABORATORY:                 ,Tran/AAG                                                              
#OPERATOR:                   ,Stanley                                                               
#REMARK:                     ,2025_03_29_SL_005d_M1_isothermal                                      
#SAMPLE:                     ,250721-P5EER2-V1+2                                                    
#SAMPLE MASS /mg:            ,4.93                                                                  
#MATERIAL:                   ,Polystyrene                                                           
#REFERENCE:                  ,                                                                      
#REFERENCE MASS /mg:         ,0                                                                     
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                                                     
#SAMPLE CRUCIBLE MASS /mg:   ,0                                                                     
#REFERENCE CRUCIBLE MASS /mg:,0                                                                     
#DSC RANGE /‘V:              ,5000                                                                  
#TG RANGE /mg:               ,35000                                                                 
#TAU-R:                      ,---                                                                   
#CORR. CODE:                 ,000                                                                   
#EXO:                        ,-1                                                                    
#RANGE:                      ,30›C....800›C/0.0....20.0K/min                                        
#SEGMENT:                    ,S4/5                                                                  
#SEG. 1:                     ,30›C/10.0(K/min)/100›C                                                
#SEG. 2:                     ,100›C/00:10/100›C                                                     
#SEG. 3:                     ,100›C/5.0(K/min)/300›C                                                
#SEG. 4:                     ,300›C/20:00/300›C                                                     
#SEG. 5:                     ,300›C/20.0(K/min)/800›C                                               

##Temp./›C,Time/min,Mass/%,Sensit./(uV/mW)
298.90900,  57.10000,87.30041,0.78822
299.39999,  57.20000,87.27302,0.78777
299.84900,  57.30000,87.21785,0.78735
300.26599,  57.40000,87.16288,0.78696
300.63199,  57.50000,87.06187,0.78662
300.96500,  57.60000,87.00669,0.78631
301.23801,  57.70000,86.91258,0.78605
301.47000,  57.80000,86.81846,0.78583
301.67300,  57.90000,86.75882,0.78565
301.82501,  58.00000,86.66491,0.78550
301.94800,  58.10000,86.60751,0.78539
302.05499,  58.20000,86.51339,0.78529
302.14401,  58.30000,86.40771,0.78521
302.22000,  58.40000,86.38032,0.78513
302.28201,  58.50000,86.30000,0.78508
302.34698,  58.60000,86.23347,0.78502
302.40100,  58.70000,86.16673,0.78496
302.47198,  58.80000,86.12556,0.78490
302.53400,  58.90000,86.07039,0.78484
302.60199,  59.00000,86.04300,0.78478
302.67001,  59.10000,85.98560,0.78471
302.75601,  59.20000,85.95801,0.78463
302.82300,  59.30000,85.90284,0.78457
302.90799,  59.40000,85.84787,0.78449
302.98499,  59.50000,85.82028,0.78442
303.06201,  59.60000,85.76531,0.78435
303.12100,  59.70000,85.71014,0.78429
303.18100,  59.80000,85.68256,0.78424
303.24399,  59.90000,85.62759,0.78418
303.28601,  60.00000,85.57241,0.78414
303.32101,  60.10000,85.53124,0.78410
303.35101,  60.20000,85.45781,0.78408
303.37601,  60.30000,85.39817,0.78405
303.38699,  60.40000,85.37059,0.78404
303.37900,  60.50000,85.31318,0.78405
303.38000,  60.60000,85.28337,0.78405
303.37100,  60.70000,85.22819,0.78406
303.37299,  60.80000,85.16856,0.78406
303.35101,  60.90000,85.10892,0.78408
303.32199,  61.00000,85.05396,0.78410
303.30600,  61.10000,85.05396,0.78412
303.28000,  61.20000,84.99878,0.78414
303.23700,  61.30000,84.97120,0.78418
303.21399,  61.40000,84.91379,0.78420
303.19000,  61.50000,84.88641,0.78423
303.15201,  61.60000,84.83124,0.78426
303.11700,  61.70000,84.80365,0.78430
303.09500,  61.80000,84.76247,0.78432
303.05499,  61.90000,84.72110,0.78435
303.02899,  62.00000,84.69351,0.78438
303.00299,  62.10000,84.65923,0.78440
302.97000,  62.20000,84.61095,0.78443
302.94000,  62.30000,84.58337,0.78446
302.90500,  62.40000,84.55578,0.78449
302.86899,  62.50000,84.52840,0.78453
302.83499,  62.60000,84.47323,0.78456
302.79501,  62.70000,84.44564,0.78460
302.76599,  62.80000,84.41826,0.78462
302.72000,  62.90000,84.39067,0.78467
302.67801,  63.00000,84.36308,0.78471
302.64801,  63.10000,84.30811,0.78473
302.59500,  63.20000,84.28053,0.78478
302.55301,  63.30000,84.25294,0.78482
302.51599,  63.40000,84.22535,0.78486
302.48300,  63.50000,84.17039,0.78489
302.42999,  63.60000,84.14280,0.78494
302.39999,  63.70000,84.14280,0.78497
302.36700,  63.80000,84.10142,0.78500
302.32199,  63.90000,84.06024,0.78504
302.28000,  64.00000,84.03266,0.78508
302.24100,  64.10000,84.00507,0.78511
302.21301,  64.20000,83.96389,0.78514
302.15500,  64.30000,83.95010,0.78519
302.11401,  64.40000,83.95010,0.78523
302.07300,  64.50000,83.89493,0.78527
302.03500,  64.60000,83.86734,0.78531
302.00299,  64.70000,83.86734,0.78534
301.96600,  64.80000,83.81927,0.78537
301.92200,  64.90000,83.81237,0.78541
301.89099,  65.00000,83.75720,0.78544
301.85400,  65.10000,83.75720,0.78548
301.80899,  65.20000,83.72982,0.78552
301.77899,  65.30000,83.70223,0.78555
301.73599,  65.40000,83.66085,0.78559
301.70200,  65.50000,83.61724,0.78562
301.68500,  65.60000,83.58986,0.78563
301.64301,  65.70000,83.56917,0.78567
301.60501,  65.80000,83.54158,0.78571
301.57199,  65.90000,83.53469,0.78574
