#EXPORTTYPE:                 ,DATA ALL                                   
#FILE:                       ,2025_08_13_SL_PS_Cup_Lid_Isothermal.ngb-ss5
#FORMAT:                     ,NETZSCH5                                   
#FTYPE:                      ,ASCII                                      
#IDENTITY:                   ,PS-Cup-Lid                                 
#DECIMAL:                    ,POINT                                      
#SEPARATOR:                  ,COMMA                                      
#MTYPE:                      ,TG                                         
#INSTRUMENT:                 ,NETZSCH STA 449F5                          
#PROJECT:                    ,                                           
#DATE/TIME:                  ,8/13/2025 8:50:47 AM (UTC-4)               
#CORR. FILE:                 ,                                           
#TEMPCAL:                    ,05-05-2025 14:38                           
#SENSITIVITY:                ,28-06-2023 13:53                           
#LABORATORY:                 ,Tran/AAG                                   
#OPERATOR:                   ,Stanley                                    
#REMARK:                     ,2025_03_29_SL_005d_M1_isothermal           
#SAMPLE:                     ,PS-Cup-Lid                                 
#SAMPLE MASS /mg:            ,5.25                                       
#MATERIAL:                   ,Polystyrene                                
#REFERENCE:                  ,                                           
#REFERENCE MASS /mg:         ,0                                          
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                          
#SAMPLE CRUCIBLE MASS /mg:   ,0                                          
#REFERENCE CRUCIBLE MASS /mg:,0                                          
#DSC RANGE /‘V:              ,5000                                       
#TG RANGE /mg:               ,35000                                      
#TAU-R:                      ,---                                        
#CORR. CODE:                 ,000                                        
#EXO:                        ,-1                                         
#RANGE:                      ,30›C....800›C/0.0....20.0K/min             
#SEGMENT:                    ,S1-5/5                                     
#SEG. 1:                     ,30›C/10.0(K/min)/100›C                     
#SEG. 2:                     ,100›C/00:10/100›C                          
#SEG. 3:                     ,100›C/5.0(K/min)/300›C                     
#SEG. 4:                     ,300›C/20:00/300›C                          
#SEG. 5:                     ,300›C/20.0(K/min)/800›C                    

##Temp./›C,Time/min,Mass/%,Sensit./(uV/mW),Segment
 28.60200,   0.00000,    100.00000,0.92329,1
 28.70400,   0.04000,     99.97638,0.92331,1
 28.83100,   0.08000,     99.90952,0.92333,1
 28.94100,   0.12000,     99.89010,0.92335,1
 29.05000,   0.16000,     99.86419,0.92337,1
 29.16600,   0.20000,     99.79962,0.92340,1
 29.27200,   0.24000,     99.76724,0.92342,1
 29.39000,   0.28000,     99.76724,0.92344,1
 29.49500,   0.32000,     99.76724,0.92346,1
 29.59200,   0.36000,     99.76724,0.92348,1
 29.68800,   0.40000,     99.76724,0.92350,1
 29.82700,   0.44000,     99.73924,0.92352,1
 29.92500,   0.48000,     99.72629,0.92354,1
 30.03600,   0.52000,     99.72629,0.92356,1
 30.16500,   0.56000,     99.75657,0.92358,1
 30.28400,   0.60000,     99.78457,0.92361,1
 30.40000,   0.64000,     99.81029,0.92363,1
 30.52400,   0.68000,     99.81029,0.92365,1
 30.65100,   0.72000,     99.81029,0.92367,1
 30.79000,   0.76000,     99.83619,0.92370,1
 30.90100,   0.80000,     99.89219,0.92372,1
 31.04200,   0.84000,     99.93543,0.92374,1
 31.18300,   0.88000,     99.97848,0.92377,1
 31.32800,   0.92000,    100.01505,0.92379,1
 31.48500,   0.96000,    100.02800,0.92382,1
 31.61000,   1.00000,    100.08190,0.92384,1
 31.78400,   1.04000,    100.14438,0.92387,1
 31.93100,   1.08000,    100.18533,0.92390,1
 32.09900,   1.12000,    100.21333,0.92393,1
 32.25300,   1.16000,    100.20895,0.92395,1
 32.42300,   1.20000,     98.61219,0.92398,1
 32.60700,   1.24000,     93.83257,0.92401,1
 32.77700,   1.28000,     93.02019,0.92404,1
 32.95100,   1.32000,     92.50076,0.92407,1
 33.11500,   1.36000,     92.24000,0.92410,1
 33.29600,   1.40000,     92.11505,0.92413,1
 33.47300,   1.44000,     91.99448,0.92416,1
 33.66400,   1.48000,     91.87162,0.92419,1
 33.83800,   1.52000,     91.81981,0.92422,1
 34.04200,   1.56000,     91.85010,0.92425,1
 34.24100,   1.60000,     91.87581,0.92428,1
 34.42900,   1.64000,     91.90819,0.92431,1
 34.62100,   1.68000,     91.96857,0.92434,1
 34.83400,   1.72000,     92.00952,0.92437,1
 35.02500,   1.76000,     92.09352,0.92440,1
 35.23900,   1.80000,     92.12152,0.92443,1
 35.45100,   1.84000,     92.20552,0.92447,1
 35.69100,   1.88000,     92.29390,0.92450,1
 35.87700,   1.92000,     92.38876,0.92453,1
 36.09000,   1.96000,     92.47505,0.92456,1
 36.30700,   2.00000,     92.56762,0.92459,1
 36.54400,   2.04000,     92.68400,0.92463,1
 36.75800,   2.08000,     92.75086,0.92466,1
 36.98900,   2.12000,     92.82400,0.92469,1
 37.20800,   2.16000,     92.90381,0.92472,1
 37.45100,   2.20000,     92.97924,0.92475,1
 37.67700,   2.24000,     93.04381,0.92478,1
 37.91300,   2.28000,     93.10857,0.92482,1
 38.14100,   2.32000,     93.14305,0.92485,1
 38.38400,   2.36000,     93.21410,0.92488,1
 38.63000,   2.40000,     93.27010,0.92491,1
 38.86400,   2.44000,     93.30686,0.92494,1
 39.11500,   2.48000,     93.34133,0.92497,1
 39.35800,   2.52000,     93.40590,0.92500,1
 39.61200,   2.56000,     93.47486,0.92503,1
 39.84600,   2.60000,     93.51371,0.92506,1
 40.10400,   2.64000,     93.58038,0.92509,1
 40.36900,   2.68000,     93.61276,0.92512,1
 40.63200,   2.72000,     93.64076,0.92515,1
 40.89300,   2.76000,     93.67105,0.92518,1
 41.13800,   2.80000,     93.73124,0.92521,1
 41.39800,   2.84000,     93.75714,0.92524,1
 41.66400,   2.88000,     93.78724,0.92527,1
 41.95100,   2.92000,     93.81314,0.92530,1
 42.21700,   2.96000,     93.84990,0.92533,1
 42.48700,   3.00000,     93.91238,0.92536,1
 42.76600,   3.04000,     93.95543,0.92539,1
 43.05600,   3.08000,     93.97048,0.92542,1
 43.32400,   3.12000,     93.99848,0.92544,1
 43.62000,   3.16000,     94.02648,0.92547,1
 43.91200,   3.20000,     94.06971,0.92550,1
 44.20000,   3.24000,     94.11276,0.92553,1
 44.49400,   3.28000,     94.14286,0.92555,1
 44.79500,   3.32000,     94.16876,0.92558,1
 45.09600,   3.36000,     94.16876,0.92561,1
 45.38800,   3.40000,     94.20114,0.92563,1
 45.69200,   3.44000,     94.24419,0.92566,1
 46.01700,   3.48000,     94.28076,0.92568,1
 46.31300,   3.52000,     94.30667,0.92571,1
 46.63500,   3.56000,     94.33676,0.92573,1
 46.94300,   3.60000,     94.36476,0.92576,1
 47.26600,   3.64000,     94.37124,0.92578,1
 47.58300,   3.68000,     94.42305,0.92580,1
 47.92200,   3.72000,     94.45314,0.92583,1
 48.24600,   3.76000,     94.48343,0.92585,1
 48.56300,   3.80000,     94.51562,0.92587,1
 48.91500,   3.84000,     94.55886,0.92589,1
 49.25400,   3.88000,     94.58895,0.92591,1
 49.58800,   3.92000,     94.60190,0.92593,1
 49.92900,   3.96000,     94.62781,0.92595,1
 50.28300,   4.00000,     94.67295,0.92597,1
 50.62400,   4.04000,     94.69029,0.92599,1
 50.97000,   4.08000,     94.71619,0.92601,1
 51.33300,   4.12000,     94.74419,0.92603,1
 51.70000,   4.16000,     94.78933,0.92604,1
 52.05900,   4.20000,     94.83676,0.92606,1
 52.41600,   4.24000,     94.83676,0.92607,1
 52.78000,   4.28000,     94.86267,0.92609,1
 53.15500,   4.32000,     94.88857,0.92610,1
 53.52700,   4.36000,     94.91657,0.92611,1
 53.90500,   4.40000,     94.94667,0.92613,1
 54.27300,   4.44000,     94.97467,0.92614,1
 54.66400,   4.48000,     95.00057,0.92615,1
 55.04300,   4.52000,     95.02648,0.92616,1
 55.42500,   4.56000,     95.05219,0.92617,1
 55.81500,   4.60000,     95.07810,0.92617,1
 56.20000,   4.64000,     95.10400,0.92618,1
 56.59300,   4.68000,     95.13200,0.92619,1
 56.99800,   4.72000,     95.16000,0.92619,1
 57.40200,   4.76000,     95.18800,0.92620,1
 57.80600,   4.80000,     95.21390,0.92620,1
 58.20100,   4.84000,     95.23333,0.92620,1
 58.62300,   4.88000,     95.25276,0.92620,1
 59.00900,   4.92000,     95.30000,0.92620,1
 59.43200,   4.96000,     95.33676,0.92620,1
 59.84800,   5.00000,     95.35619,0.92620,1
 60.26200,   5.04000,     95.35619,0.92619,1
 60.67000,   5.08000,     95.38190,0.92619,1
 61.09400,   5.12000,     95.40343,0.92618,1
 61.52000,   5.16000,     95.44667,0.92618,1
 61.92500,   5.20000,     95.47467,0.92617,1
 62.35700,   5.24000,     95.50057,0.92616,1
 62.78500,   5.28000,     95.50705,0.92615,1
 63.21500,   5.32000,     95.52629,0.92614,1
 63.65500,   5.36000,     95.55219,0.92613,1
 64.08700,   5.40000,     95.56514,0.92611,1
 64.51400,   5.44000,     95.57810,0.92610,1
 64.94500,   5.48000,     95.60610,0.92608,1
 65.38700,   5.52000,     95.63619,0.92607,1
