#EXPORTTYPE:                 ,DATA ALL                                 
#FILE:                       ,2025_08_14_SL_PS_Blue_Cup_Dynamic.ngb-ss5
#FORMAT:                     ,NETZSCH5                                 
#FTYPE:                      ,ASCII                                    
#IDENTITY:                   ,PS-Blue-Cup                              
#DECIMAL:                    ,POINT                                    
#SEPARATOR:                  ,COMMA                                    
#MTYPE:                      ,TIC                                      
#INSTRUMENT:                 ,NETZSCH STA 449F5                        
#PROJECT:                    ,                                         
#DATE/TIME:                  ,8/14/2025 8:52:56 AM (UTC-4)             
#CORR. FILE:                 ,                                         
#TEMPCAL:                    ,05-05-2025 14:38                         
#SENSITIVITY:                ,28-06-2023 13:53                         
#LABORATORY:                 ,Tran/AAG                                 
#OPERATOR:                   ,Stanley                                  
#REMARK:                     ,2025_03_20_Styrofoam_dynamic             
#SAMPLE:                     ,PS-Blue-Cup                              
#SAMPLE MASS /mg:            ,4.75                                     
#MATERIAL:                   ,Polystyrene                              
#REFERENCE:                  ,                                         
#REFERENCE MASS /mg:         ,0                                        
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                        
#SAMPLE CRUCIBLE MASS /mg:   ,0                                        
#REFERENCE CRUCIBLE MASS /mg:,0                                        
#DSC RANGE /‘V:              ,5000                                     
#TG RANGE /mg:               ,35000                                    
                             ,                                         

##Temp./›C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 28.64100,  0.01002,1.158439e-10,1.771450e-09,1.809120e-10,6.825447e-10,1.192760e-11,2.395153e-11,6.920814e-12,8.008003e-12,8.812904e-12,9.743690e-12,1.241970e-11,1.965809e-11,1.069785e-10,4.152781e-09,1.179695e-10,9.281832e-11,1.539565e-10,3.956896e-09,1.536274e-11,1.612186e-11,2.150536e-12,2.606392e-12,2.213478e-12,3.058433e-12,6.245613e-12,1.711399e-10,2.667427e-12,7.163047e-12,2.158165e-12,3.096676e-11,2.121925e-12,1.748085e-12,1.675606e-12,2.518654e-12,1.576424e-12,1.603126e-12,1.543999e-12,1.530647e-12,1.513481e-12,1.553535e-12,1.500130e-12,1.521110e-12,1.454353e-12,1.500130e-12,1.454353e-12,1.490593e-12,1.429558e-12,1.448631e-12,1.406670e-12,1.441002e-12,1.397133e-12,1.442909e-12,1.433372e-12,1.416206e-12,1.423836e-12,1.410484e-12,1.355171e-12,1.410484e-12,1.383781e-12,1.393318e-12,1.374245e-12,1.366615e-12,1.376152e-12,1.324654e-12,1.360893e-12,1.399040e-12,1.366615e-12,1.330376e-12,1.307487e-12,1.404762e-12,1.362801e-12,1.349449e-12,1.389503e-12,1.280785e-12,1.284599e-12,1.322746e-12,1.317024e-12,1.288414e-12,1.297951e-12,1.273155e-12,1.301765e-12,1.286507e-12,1.324654e-12,1.275063e-12,1.294136e-12,1.271248e-12,1.318932e-12,1.292229e-12,1.244545e-12,1.236916e-12,1.267433e-12,1.271248e-12,1.248360e-12,1.227379e-12,1.219749e-12,1.257896e-12,1.252174e-12,1.196861e-12,1.250267e-12,1.175880e-12,1.189232e-12,1.252174e-12,1.233101e-12,1.233101e-12,1.227379e-12,1.219749e-12,1.217842e-12,1.198769e-12,1.225471e-12,1.214027e-12,1.187325e-12,1.202583e-12,1.193047e-12,1.212120e-12,1.227379e-12,1.194954e-12,1.200676e-12,1.175880e-12,1.164436e-12,1.179695e-12,1.181602e-12,1.212120e-12,1.154900e-12,1.107216e-12,1.158714e-12,1.141548e-12,1.120567e-12,1.154900e-12,1.128197e-12,1.187325e-12,1.147270e-12,1.128197e-12,1.122475e-12,1.126289e-12,1.145363e-12,1.158714e-12
 29.04500,  0.17940,1.153632e-10,1.781940e-09,1.828194e-10,6.865502e-10,1.189899e-11,2.376461e-11,6.903648e-12,7.943153e-12,8.906364e-12,9.760856e-12,1.243305e-11,2.008533e-11,1.074153e-10,4.162318e-09,1.181602e-10,9.311205e-11,1.547214e-10,3.930765e-09,1.544094e-11,1.616383e-11,2.240181e-12,2.707481e-12,2.276421e-12,3.125191e-12,6.346702e-12,1.715919e-10,2.654076e-12,7.212638e-12,2.158165e-12,3.096676e-11,2.102852e-12,1.749992e-12,1.662254e-12,2.449989e-12,1.523018e-12,1.521110e-12,1.523018e-12,1.515388e-12,1.498222e-12,1.557350e-12,1.482963e-12,1.465797e-12,1.463890e-12,1.423836e-12,1.471519e-12,1.532555e-12,1.469612e-12,1.414299e-12,1.421928e-12,1.416206e-12,1.416206e-12,1.435280e-12,1.433372e-12,1.357079e-12,1.358986e-12,1.379967e-12,1.420021e-12,1.378059e-12,1.338005e-12,1.372337e-12,1.385689e-12,1.309395e-12,1.372337e-12,1.378059e-12,1.347542e-12,1.368523e-12,1.353264e-12,1.311302e-12,1.296043e-12,1.374245e-12,1.379967e-12,1.317024e-12,1.399040e-12,1.358986e-12,1.336098e-12,1.313210e-12,1.326561e-12,1.317024e-12,1.305580e-12,1.269340e-12,1.320839e-12,1.338005e-12,1.292229e-12,1.257896e-12,1.336098e-12,1.259804e-12,1.286507e-12,1.252174e-12,1.208305e-12,1.286507e-12,1.246452e-12,1.284599e-12,1.231194e-12,1.259804e-12,1.254082e-12,1.271248e-12,1.292229e-12,1.271248e-12,1.257896e-12,1.282692e-12,1.198769e-12,1.221657e-12,1.200676e-12,1.223564e-12,1.257896e-12,1.181602e-12,1.221657e-12,1.219749e-12,1.254082e-12,1.227379e-12,1.242638e-12,1.225471e-12,1.168251e-12,1.187325e-12,1.210213e-12,1.238823e-12,1.198769e-12,1.179695e-12,1.166344e-12,1.214027e-12,1.181602e-12,1.212120e-12,1.208305e-12,1.225471e-12,1.143455e-12,1.154900e-12,1.145363e-12,1.175880e-12,1.132011e-12,1.093864e-12,1.166344e-12,1.141548e-12,1.124382e-12,1.141548e-12,1.111031e-12,1.118660e-12
 29.57500,  0.35130,1.176769e-10,1.785374e-09,1.809120e-10,6.846428e-10,1.196766e-11,2.382755e-11,6.884575e-12,7.937431e-12,9.009361e-12,9.631157e-12,1.233959e-11,2.001667e-11,1.066867e-10,4.148013e-09,1.183510e-10,9.322458e-11,1.529819e-10,3.955179e-09,1.541042e-11,1.620197e-11,2.268791e-12,2.663612e-12,2.249718e-12,3.155708e-12,6.335258e-12,1.713554e-10,2.692223e-12,7.088661e-12,2.175331e-12,3.089428e-11,2.097130e-12,1.713753e-12,1.694679e-12,2.486229e-12,1.549721e-12,1.553535e-12,1.469612e-12,1.523018e-12,1.517296e-12,1.526833e-12,1.460075e-12,1.519203e-12,1.492500e-12,1.496315e-12,1.484871e-12,1.400948e-12,1.437187e-12,1.435280e-12,1.444817e-12,1.387596e-12,1.427650e-12,1.420021e-12,1.328468e-12,1.423836e-12,1.391411e-12,1.399040e-12,1.362801e-12,1.358986e-12,1.383781e-12,1.358986e-12,1.351356e-12,1.347542e-12,1.339912e-12,1.341820e-12,1.315117e-12,1.400948e-12,1.328468e-12,1.309395e-12,1.366615e-12,1.399040e-12,1.353264e-12,1.311302e-12,1.364708e-12,1.311302e-12,1.336098e-12,1.294136e-12,1.315117e-12,1.313210e-12,1.309395e-12,1.296043e-12,1.318932e-12,1.254082e-12,1.322746e-12,1.292229e-12,1.307487e-12,1.292229e-12,1.311302e-12,1.288414e-12,1.290321e-12,1.269340e-12,1.255989e-12,1.235008e-12,1.280785e-12,1.273155e-12,1.238823e-12,1.223564e-12,1.214027e-12,1.231194e-12,1.240730e-12,1.252174e-12,1.238823e-12,1.225471e-12,1.263618e-12,1.212120e-12,1.198769e-12,1.257896e-12,1.194954e-12,1.208305e-12,1.154900e-12,1.215935e-12,1.151085e-12,1.231194e-12,1.294136e-12,1.267433e-12,1.168251e-12,1.196861e-12,1.191139e-12,1.179695e-12,1.158714e-12,1.210213e-12,1.175880e-12,1.204491e-12,1.223564e-12,1.164436e-12,1.193047e-12,1.151085e-12,1.111031e-12,1.130104e-12,1.177788e-12,1.067162e-12,1.132011e-12,1.122475e-12,1.162529e-12,1.103401e-12,1.141548e-12,1.093864e-12
 29.87400,  0.52177,1.166774e-10,1.774693e-09,1.809120e-10,6.838798e-10,1.195431e-11,2.410030e-11,6.995201e-12,7.914543e-12,8.929252e-12,9.781837e-12,1.233768e-11,1.990414e-11,1.070663e-10,4.139811e-09,1.181602e-10,9.344965e-11,1.531535e-10,3.936106e-09,1.551342e-11,1.617908e-11,2.226829e-12,2.625465e-12,2.257347e-12,3.167152e-12,6.249428e-12,1.712066e-10,2.614021e-12,7.241249e-12,2.150536e-12,3.139979e-11,2.066612e-12,1.717567e-12,1.629829e-12,2.497673e-12,1.618385e-12,1.538277e-12,1.582146e-12,1.507759e-12,1.484871e-12,1.513481e-12,1.452446e-12,1.500130e-12,1.492500e-12,1.502037e-12,1.484871e-12,1.439095e-12,1.406670e-12,1.503944e-12,1.393318e-12,1.431465e-12,1.481056e-12,1.412392e-12,1.441002e-12,1.429558e-12,1.427650e-12,1.416206e-12,1.343727e-12,1.368523e-12,1.412392e-12,1.395226e-12,1.345634e-12,1.368523e-12,1.358986e-12,1.399040e-12,1.322746e-12,1.318932e-12,1.339912e-12,1.374245e-12,1.332283e-12,1.351356e-12,1.313210e-12,1.391411e-12,1.360893e-12,1.305580e-12,1.345634e-12,1.349449e-12,1.309395e-12,1.353264e-12,1.328468e-12,1.269340e-12,1.347542e-12,1.297951e-12,1.278877e-12,1.294136e-12,1.284599e-12,1.235008e-12,1.320839e-12,1.330376e-12,1.263618e-12,1.322746e-12,1.217842e-12,1.229286e-12,1.235008e-12,1.225471e-12,1.278877e-12,1.235008e-12,1.210213e-12,1.238823e-12,1.250267e-12,1.235008e-12,1.206398e-12,1.255989e-12,1.214027e-12,1.219749e-12,1.214027e-12,1.175880e-12,1.217842e-12,1.175880e-12,1.212120e-12,1.204491e-12,1.238823e-12,1.223564e-12,1.198769e-12,1.204491e-12,1.179695e-12,1.177788e-12,1.212120e-12,1.114845e-12,1.147270e-12,1.166344e-12,1.126289e-12,1.133919e-12,1.189232e-12,1.151085e-12,1.154900e-12,1.162529e-12,1.185417e-12,1.172066e-12,1.122475e-12,1.126289e-12,1.154900e-12,1.101494e-12,1.147270e-12,1.111031e-12,1.080513e-12,1.103401e-12
 30.33300,  0.68918,1.161376e-10,1.782894e-09,1.809120e-10,6.861687e-10,1.198101e-11,2.386570e-11,6.985664e-12,7.798194e-12,8.984566e-12,9.766578e-12,1.238728e-11,2.007771e-11,1.087981e-10,4.156214e-09,1.183510e-10,9.340006e-11,1.513625e-10,3.965289e-09,1.548672e-11,1.622486e-11,2.181053e-12,2.665520e-12,2.318382e-12,3.067970e-12,6.339073e-12,1.718208e-10,2.615929e-12,7.189751e-12,2.158165e-12,3.154093e-11,2.163887e-12,1.725197e-12,1.646995e-12,2.511024e-12,1.524925e-12,1.543999e-12,1.524925e-12,1.530647e-12,1.502037e-12,1.536369e-12,1.482963e-12,1.505852e-12,1.437187e-12,1.463890e-12,1.481056e-12,1.404762e-12,1.507759e-12,1.416206e-12,1.463890e-12,1.427650e-12,1.423836e-12,1.395226e-12,1.389503e-12,1.402855e-12,1.420021e-12,1.423836e-12,1.328468e-12,1.429558e-12,1.406670e-12,1.402855e-12,1.332283e-12,1.366615e-12,1.374245e-12,1.336098e-12,1.372337e-12,1.328468e-12,1.317024e-12,1.385689e-12,1.353264e-12,1.355171e-12,1.326561e-12,1.355171e-12,1.318932e-12,1.357079e-12,1.299858e-12,1.303673e-12,1.330376e-12,1.315117e-12,1.318932e-12,1.303673e-12,1.271248e-12,1.315117e-12,1.313210e-12,1.318932e-12,1.332283e-12,1.263618e-12,1.288414e-12,1.284599e-12,1.288414e-12,1.276970e-12,1.225471e-12,1.263618e-12,1.292229e-12,1.246452e-12,1.275063e-12,1.217842e-12,1.233101e-12,1.246452e-12,1.246452e-12,1.221657e-12,1.273155e-12,1.217842e-12,1.265526e-12,1.250267e-12,1.271248e-12,1.236916e-12,1.194954e-12,1.208305e-12,1.198769e-12,1.204491e-12,1.219749e-12,1.151085e-12,1.208305e-12,1.175880e-12,1.198769e-12,1.198769e-12,1.204491e-12,1.217842e-12,1.173973e-12,1.107216e-12,1.141548e-12,1.143455e-12,1.215935e-12,1.145363e-12,1.149178e-12,1.141548e-12,1.126289e-12,1.162529e-12,1.204491e-12,1.139641e-12,1.133919e-12,1.111031e-12,1.133919e-12,1.105309e-12,1.080513e-12,1.126289e-12
 30.61300,  0.85856,1.178600e-10,1.782513e-09,1.828194e-10,6.850243e-10,1.198673e-11,2.384090e-11,6.979942e-12,7.880210e-12,8.845329e-12,9.734154e-12,1.238728e-11,1.981640e-11,1.081821e-10,4.158503e-09,1.185417e-10,9.358316e-11,1.558391e-10,3.948313e-09,1.548099e-11,1.615429e-11,2.247810e-12,2.646446e-12,2.343178e-12,3.088951e-12,6.308555e-12,1.716186e-10,2.680778e-12,7.157326e-12,2.173424e-12,3.126055e-11,2.072334e-12,1.786232e-12,1.589775e-12,2.497673e-12,1.547813e-12,1.545906e-12,1.545906e-12,1.534462e-12,1.467705e-12,1.557350e-12,1.442909e-12,1.492500e-12,1.423836e-12,1.494408e-12,1.473427e-12,1.479149e-12,1.439095e-12,1.381874e-12,1.406670e-12,1.442909e-12,1.482963e-12,1.410484e-12,1.395226e-12,1.410484e-12,1.383781e-12,1.391411e-12,1.399040e-12,1.395226e-12,1.326561e-12,1.383781e-12,1.404762e-12,1.341820e-12,1.357079e-12,1.318932e-12,1.351356e-12,1.393318e-12,1.357079e-12,1.347542e-12,1.286507e-12,1.374245e-12,1.309395e-12,1.345634e-12,1.292229e-12,1.370430e-12,1.299858e-12,1.286507e-12,1.336098e-12,1.299858e-12,1.299858e-12,1.278877e-12,1.339912e-12,1.290321e-12,1.299858e-12,1.271248e-12,1.257896e-12,1.307487e-12,1.278877e-12,1.299858e-12,1.240730e-12,1.278877e-12,1.301765e-12,1.286507e-12,1.290321e-12,1.261711e-12,1.244545e-12,1.238823e-12,1.242638e-12,1.214027e-12,1.269340e-12,1.246452e-12,1.255989e-12,1.206398e-12,1.242638e-12,1.173973e-12,1.189232e-12,1.193047e-12,1.233101e-12,1.221657e-12,1.275063e-12,1.215935e-12,1.217842e-12,1.191139e-12,1.191139e-12,1.227379e-12,1.183510e-12,1.162529e-12,1.236916e-12,1.185417e-12,1.177788e-12,1.189232e-12,1.170158e-12,1.194954e-12,1.164436e-12,1.132011e-12,1.172066e-12,1.137733e-12,1.164436e-12,1.135826e-12,1.114845e-12,1.133919e-12,1.166344e-12,1.173973e-12,1.166344e-12,1.097679e-12,1.126289e-12,1.088142e-12
 31.03300,  1.03141,1.153213e-10,1.778126e-09,1.811028e-10,6.861687e-10,1.199818e-11,2.391338e-11,7.002830e-12,7.954597e-12,8.885384e-12,9.778022e-12,1.242352e-11,1.986408e-11,1.075431e-10,4.146296e-09,1.181602e-10,9.368044e-11,1.534511e-10,3.960711e-09,1.543713e-11,1.620579e-11,2.278328e-12,2.625465e-12,2.284050e-12,3.098488e-12,6.361961e-12,1.718914e-10,2.631187e-12,7.136345e-12,2.146721e-12,3.099346e-11,2.110481e-12,1.769066e-12,1.608849e-12,2.530098e-12,1.563072e-12,1.505852e-12,1.587868e-12,1.553535e-12,1.507759e-12,1.561165e-12,1.498222e-12,1.481056e-12,1.446724e-12,1.505852e-12,1.481056e-12,1.488686e-12,1.509666e-12,1.391411e-12,1.416206e-12,1.410484e-12,1.402855e-12,1.410484e-12,1.444817e-12,1.416206e-12,1.427650e-12,1.404762e-12,1.370430e-12,1.383781e-12,1.370430e-12,1.328468e-12,1.376152e-12,1.399040e-12,1.349449e-12,1.301765e-12,1.353264e-12,1.275063e-12,1.366615e-12,1.378059e-12,1.332283e-12,1.395226e-12,1.311302e-12,1.332283e-12,1.292229e-12,1.322746e-12,1.296043e-12,1.345634e-12,1.282692e-12,1.320839e-12,1.330376e-12,1.330376e-12,1.301765e-12,1.309395e-12,1.292229e-12,1.338005e-12,1.299858e-12,1.355171e-12,1.271248e-12,1.246452e-12,1.309395e-12,1.259804e-12,1.282692e-12,1.261711e-12,1.286507e-12,1.236916e-12,1.263618e-12,1.288414e-12,1.179695e-12,1.269340e-12,1.215935e-12,1.214027e-12,1.250267e-12,1.261711e-12,1.202583e-12,1.233101e-12,1.259804e-12,1.238823e-12,1.198769e-12,1.214027e-12,1.225471e-12,1.219749e-12,1.206398e-12,1.254082e-12,1.214027e-12,1.179695e-12,1.156807e-12,1.179695e-12,1.196861e-12,1.191139e-12,1.143455e-12,1.164436e-12,1.120567e-12,1.170158e-12,1.128197e-12,1.168251e-12,1.154900e-12,1.139641e-12,1.151085e-12,1.173973e-12,1.152992e-12,1.091957e-12,1.126289e-12,1.194954e-12,1.086235e-12,1.114845e-12,1.160622e-12,1.109123e-12
 31.28000,  1.19971,1.163226e-10,1.773739e-09,1.814842e-10,6.854057e-10,1.190853e-11,2.392864e-11,7.048606e-12,7.981301e-12,8.749962e-12,9.642601e-12,1.240253e-11,1.996136e-11,1.069537e-10,4.157358e-09,1.183510e-10,9.427178e-11,1.545268e-10,3.970820e-09,1.551914e-11,1.620769e-11,2.243996e-12,2.654076e-12,2.314568e-12,3.134727e-12,6.335258e-12,1.718551e-10,2.654076e-12,7.246971e-12,2.125740e-12,3.067684e-11,2.110481e-12,1.748085e-12,1.603126e-12,2.469063e-12,1.589775e-12,1.618385e-12,1.543999e-12,1.549721e-12,1.563072e-12,1.605034e-12,1.494408e-12,1.481056e-12,1.448631e-12,1.475334e-12,1.454353e-12,1.469612e-12,1.425743e-12,1.408577e-12,1.404762e-12,1.420021e-12,1.452446e-12,1.414299e-12,1.412392e-12,1.397133e-12,1.349449e-12,1.442909e-12,1.379967e-12,1.406670e-12,1.429558e-12,1.425743e-12,1.404762e-12,1.290321e-12,1.324654e-12,1.318932e-12,1.357079e-12,1.376152e-12,1.336098e-12,1.330376e-12,1.307487e-12,1.387596e-12,1.400948e-12,1.345634e-12,1.336098e-12,1.320839e-12,1.301765e-12,1.334190e-12,1.313210e-12,1.278877e-12,1.301765e-12,1.317024e-12,1.349449e-12,1.299858e-12,1.324654e-12,1.254082e-12,1.284599e-12,1.242638e-12,1.288414e-12,1.261711e-12,1.288414e-12,1.275063e-12,1.299858e-12,1.246452e-12,1.244545e-12,1.275063e-12,1.288414e-12,1.255989e-12,1.229286e-12,1.294136e-12,1.254082e-12,1.214027e-12,1.271248e-12,1.269340e-12,1.235008e-12,1.164436e-12,1.210213e-12,1.214027e-12,1.193047e-12,1.204491e-12,1.151085e-12,1.235008e-12,1.191139e-12,1.225471e-12,1.193047e-12,1.219749e-12,1.143455e-12,1.154900e-12,1.156807e-12,1.130104e-12,1.179695e-12,1.116753e-12,1.154900e-12,1.173973e-12,1.194954e-12,1.206398e-12,1.191139e-12,1.189232e-12,1.185417e-12,1.151085e-12,1.191139e-12,1.154900e-12,1.147270e-12,1.124382e-12,1.133919e-12,1.149178e-12,1.091957e-12,1.118660e-12
 31.65000,  1.37284,1.174518e-10,1.787663e-09,1.812935e-10,6.854057e-10,1.202106e-11,2.398205e-11,6.926536e-12,7.895470e-12,8.976936e-12,9.722710e-12,1.237011e-11,1.988888e-11,1.080047e-10,4.146868e-09,1.183510e-10,9.344202e-11,1.569740e-10,3.973681e-09,1.541042e-11,1.635075e-11,2.203941e-12,2.707481e-12,2.348900e-12,3.073692e-12,6.226539e-12,1.714565e-10,2.602577e-12,7.128715e-12,2.217293e-12,3.057385e-11,2.148628e-12,1.742363e-12,1.606941e-12,2.478600e-12,1.542091e-12,1.564979e-12,1.524925e-12,1.475334e-12,1.477242e-12,1.553535e-12,1.450539e-12,1.503944e-12,1.469612e-12,1.427650e-12,1.391411e-12,1.446724e-12,1.452446e-12,1.420021e-12,1.425743e-12,1.442909e-12,1.448631e-12,1.397133e-12,1.374245e-12,1.408577e-12,1.414299e-12,1.381874e-12,1.437187e-12,1.313210e-12,1.408577e-12,1.351356e-12,1.334190e-12,1.315117e-12,1.423836e-12,1.343727e-12,1.368523e-12,1.355171e-12,1.362801e-12,1.341820e-12,1.366615e-12,1.345634e-12,1.328468e-12,1.334190e-12,1.339912e-12,1.299858e-12,1.336098e-12,1.276970e-12,1.297951e-12,1.305580e-12,1.332283e-12,1.301765e-12,1.296043e-12,1.347542e-12,1.311302e-12,1.288414e-12,1.345634e-12,1.301765e-12,1.223564e-12,1.273155e-12,1.339912e-12,1.290321e-12,1.275063e-12,1.297951e-12,1.275063e-12,1.255989e-12,1.313210e-12,1.246452e-12,1.267433e-12,1.255989e-12,1.202583e-12,1.259804e-12,1.236916e-12,1.259804e-12,1.235008e-12,1.235008e-12,1.215935e-12,1.263618e-12,1.221657e-12,1.166344e-12,1.194954e-12,1.233101e-12,1.164436e-12,1.229286e-12,1.187325e-12,1.189232e-12,1.172066e-12,1.231194e-12,1.135826e-12,1.193047e-12,1.166344e-12,1.177788e-12,1.177788e-12,1.231194e-12,1.145363e-12,1.166344e-12,1.191139e-12,1.151085e-12,1.168251e-12,1.132011e-12,1.114845e-12,1.143455e-12,1.162529e-12,1.162529e-12,1.112938e-12,1.118660e-12,1.116753e-12,1.160622e-12
 31.86400,  1.53778,1.179553e-10,1.780796e-09,1.809120e-10,6.854057e-10,1.190090e-11,2.393246e-11,6.960869e-12,7.781028e-12,8.862495e-12,9.808540e-12,1.250553e-11,1.981830e-11,1.082412e-10,4.153735e-09,1.181602e-10,9.339243e-11,1.556064e-10,3.956896e-09,1.533794e-11,1.624012e-11,2.297401e-12,2.623558e-12,2.305031e-12,3.060341e-12,6.262779e-12,1.717045e-10,2.690315e-12,7.151604e-12,2.158165e-12,3.040791e-11,2.108574e-12,1.755714e-12,1.574516e-12,2.495766e-12,1.549721e-12,1.543999e-12,1.507759e-12,1.534462e-12,1.530647e-12,1.597404e-12,1.465797e-12,1.490593e-12,1.490593e-12,1.475334e-12,1.441002e-12,1.469612e-12,1.511574e-12,1.458168e-12,1.418114e-12,1.469612e-12,1.418114e-12,1.439095e-12,1.400948e-12,1.372337e-12,1.397133e-12,1.338005e-12,1.406670e-12,1.408577e-12,1.347542e-12,1.339912e-12,1.383781e-12,1.349449e-12,1.412392e-12,1.425743e-12,1.341820e-12,1.372337e-12,1.389503e-12,1.307487e-12,1.425743e-12,1.357079e-12,1.326561e-12,1.315117e-12,1.317024e-12,1.271248e-12,1.322746e-12,1.374245e-12,1.315117e-12,1.349449e-12,1.336098e-12,1.259804e-12,1.267433e-12,1.275063e-12,1.284599e-12,1.313210e-12,1.290321e-12,1.330376e-12,1.309395e-12,1.288414e-12,1.250267e-12,1.276970e-12,1.246452e-12,1.322746e-12,1.233101e-12,1.265526e-12,1.299858e-12,1.248360e-12,1.225471e-12,1.271248e-12,1.233101e-12,1.261711e-12,1.212120e-12,1.202583e-12,1.290321e-12,1.193047e-12,1.215935e-12,1.198769e-12,1.271248e-12,1.145363e-12,1.202583e-12,1.204491e-12,1.204491e-12,1.185417e-12,1.168251e-12,1.212120e-12,1.162529e-12,1.191139e-12,1.200676e-12,1.128197e-12,1.181602e-12,1.227379e-12,1.215935e-12,1.183510e-12,1.145363e-12,1.162529e-12,1.202583e-12,1.185417e-12,1.154900e-12,1.088142e-12,1.151085e-12,1.097679e-12,1.162529e-12,1.133919e-12,1.137733e-12,1.139641e-12,1.137733e-12,1.162529e-12
