#EXPORTTYPE:                 ,DATA ALL                                 
#FILE:                       ,2025_08_14_SL_PS_Blue_Cup_Dynamic.ngb-ss5
#FORMAT:                     ,NETZSCH5                                 
#FTYPE:                      ,ASCII                                    
#IDENTITY:                   ,PS-Blue-Cup                              
#DECIMAL:                    ,POINT                                    
#SEPARATOR:                  ,COMMA                                    
#MTYPE:                      ,TG                                       
#INSTRUMENT:                 ,NETZSCH STA 449F5                        
#PROJECT:                    ,                                         
#DATE/TIME:                  ,8/14/2025 8:52:56 AM (UTC-4)             
#CORR. FILE:                 ,                                         
#TEMPCAL:                    ,05-05-2025 14:38                         
#SENSITIVITY:                ,28-06-2023 13:53                         
#LABORATORY:                 ,Tran/AAG                                 
#OPERATOR:                   ,Stanley                                  
#REMARK:                     ,2025_03_20_Styrofoam_dynamic             
#SAMPLE:                     ,PS-Blue-Cup                              
#SAMPLE MASS /mg:            ,4.75                                     
#MATERIAL:                   ,Polystyrene                              
#REFERENCE:                  ,                                         
#REFERENCE MASS /mg:         ,0                                        
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                        
#SAMPLE CRUCIBLE MASS /mg:   ,0                                        
#REFERENCE CRUCIBLE MASS /mg:,0                                        
#DSC RANGE /‘V:              ,5000                                     
#TG RANGE /mg:               ,35000                                    
#TAU-R:                      ,---                                      
#CORR. CODE:                 ,000                                      
#EXO:                        ,-1                                       
#RANGE:                      ,20›C....800›C/0.0....20.0K/min           
#SEGMENT:                    ,S1-4/4                                   
#SEG. 1:                     ,20›C/5.0(K/min)/100›C                    
#SEG. 2:                     ,100›C/00:05/100›C                        
#SEG. 3:                     ,100›C/1.0(K/min)/400›C                   
#SEG. 4:                     ,400›C/20.0(K/min)/800›C                  

##Temp./›C,Time/min,Mass/%,Sensit./(uV/mW),Segment
 28.87700,  0.00000,    100.00000,0.92334,1
 29.04500,  0.06667,     99.95937,0.92337,1
 29.22300,  0.13333,     99.89284,0.92341,1
 29.40800,  0.20000,     99.89284,0.92344,1
 29.57500,  0.26667,     99.82611,0.92347,1
 29.72300,  0.33333,     99.76421,0.92350,1
 29.87400,  0.40000,     99.70463,0.92353,1
 30.02400,  0.46667,     99.67368,0.92356,1
 30.17500,  0.53333,     99.64505,0.92359,1
 30.33300,  0.60000,     99.60695,0.92362,1
 30.46300,  0.66667,     99.58547,0.92364,1
 30.61300,  0.73333,     99.55705,0.92367,1
 30.74700,  0.80000,     99.52842,0.92369,1
 30.88700,  0.86667,     99.49979,0.92372,1
 31.03300,  0.93333,     99.47116,0.92374,1
 31.15200,  1.00000,     99.46400,0.92376,1
 31.28000,  1.06667,     99.44253,0.92379,1
 31.40600,  1.13333,     99.39747,0.92381,1
 31.51300,  1.20000,     96.47495,0.92383,1
 31.65000,  1.26667,     91.89242,0.92385,1
 31.74600,  1.33333,     91.03979,0.92387,1
 31.86400,  1.40000,     90.66589,0.92389,1
 31.95800,  1.46667,     90.44905,0.92390,1
 32.06400,  1.53333,     90.43726,0.92392,1
 32.18000,  1.60000,     90.41326,0.92394,1
 32.25800,  1.66667,     90.41326,0.92396,1
 32.35600,  1.73333,     90.41326,0.92397,1
 32.45200,  1.80000,     90.41326,0.92399,1
 32.54300,  1.86667,     90.48716,0.92400,1
 32.62300,  1.93333,     90.54674,0.92402,1
 32.69800,  2.00000,     90.62295,0.92403,1
 32.79400,  2.06667,     90.67768,0.92405,1
 32.87900,  2.13333,     90.70632,0.92406,1
 32.95100,  2.20000,     90.73495,0.92407,1
 33.02900,  2.26667,     90.79684,0.92409,1
 33.10500,  2.33333,     90.82547,0.92410,1
 33.18300,  2.40000,     90.86105,0.92411,1
 33.26100,  2.46667,     90.91600,0.92412,1
 33.33400,  2.53333,     90.94442,0.92414,1
 33.41600,  2.60000,     90.94442,0.92415,1
 33.49400,  2.66667,     91.00400,0.92416,1
 33.57100,  2.73333,     91.03263,0.92417,1
