#EXPORTTYPE:                 ,DATA ALL                                
#FILE:                       ,2025_08_14_SL_PS_Cup_Lid_dynamic.ngb-ss5
#FORMAT:                     ,NETZSCH5                                
#FTYPE:                      ,ASCII                                   
#IDENTITY:                   ,PS-Coffee-Lid                           
#DECIMAL:                    ,POINT                                   
#SEPARATOR:                  ,COMMA                                   
#MTYPE:                      ,TIC                                     
#INSTRUMENT:                 ,NETZSCH STA 449F5                       
#PROJECT:                    ,                                        
#DATE/TIME:                  ,8/14/2025 3:28:47 PM (UTC-4)            
#CORR. FILE:                 ,                                        
#TEMPCAL:                    ,05-05-2025 14:38                        
#SENSITIVITY:                ,28-06-2023 13:53                        
#LABORATORY:                 ,Tran/AAG                                
#OPERATOR:                   ,Stanley                                 
#REMARK:                     ,2025_03_20_Styrofoam_dynamic            
#SAMPLE:                     ,PS-Coffee-Lid                           
#SAMPLE MASS /mg:            ,4.46                                    
#MATERIAL:                   ,Polystyrene                             
#REFERENCE:                  ,                                        
#REFERENCE MASS /mg:         ,0                                       
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                       
#SAMPLE CRUCIBLE MASS /mg:   ,0                                       
#REFERENCE CRUCIBLE MASS /mg:,0                                       
#DSC RANGE /‘V:              ,5000                                    
#TG RANGE /mg:               ,35000                                   
                             ,                                        

##Temp./›C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 36.31500,  0.00985,1.158267e-10,1.756573e-09,1.692772e-10,6.371498e-10,1.144505e-11,2.354336e-11,6.903648e-12,7.840156e-12,8.843422e-12,9.638786e-12,1.232243e-11,1.988506e-11,1.057884e-10,4.075342e-09,1.120567e-10,9.215456e-11,1.505786e-10,3.932100e-09,1.509190e-11,1.609135e-11,2.196312e-12,2.636909e-12,2.312660e-12,3.121376e-12,6.316185e-12,1.694385e-10,2.652168e-12,7.109642e-12,2.135277e-12,3.043270e-11,2.093315e-12,1.761436e-12,1.589775e-12,2.501488e-12,1.572609e-12,1.574516e-12,1.534462e-12,1.494408e-12,1.515388e-12,1.563072e-12,1.498222e-12,1.549721e-12,1.425743e-12,1.435280e-12,1.423836e-12,1.461983e-12,1.431465e-12,1.460075e-12,1.439095e-12,1.408577e-12,1.393318e-12,1.461983e-12,1.458168e-12,1.404762e-12,1.431465e-12,1.423836e-12,1.404762e-12,1.435280e-12,1.358986e-12,1.334190e-12,1.353264e-12,1.349449e-12,1.391411e-12,1.368523e-12,1.383781e-12,1.362801e-12,1.309395e-12,1.385689e-12,1.318932e-12,1.328468e-12,1.370430e-12,1.328468e-12,1.322746e-12,1.351356e-12,1.282692e-12,1.349449e-12,1.347542e-12,1.309395e-12,1.315117e-12,1.299858e-12,1.332283e-12,1.290321e-12,1.246452e-12,1.317024e-12,1.345634e-12,1.280785e-12,1.317024e-12,1.275063e-12,1.305580e-12,1.250267e-12,1.248360e-12,1.242638e-12,1.259804e-12,1.286507e-12,1.250267e-12,1.294136e-12,1.248360e-12,1.235008e-12,1.221657e-12,1.196861e-12,1.280785e-12,1.217842e-12,1.204491e-12,1.246452e-12,1.238823e-12,1.221657e-12,1.261711e-12,1.223564e-12,1.187325e-12,1.202583e-12,1.173973e-12,1.219749e-12,1.236916e-12,1.189232e-12,1.196861e-12,1.215935e-12,1.202583e-12,1.141548e-12,1.194954e-12,1.135826e-12,1.225471e-12,1.175880e-12,1.158714e-12,1.185417e-12,1.152992e-12,1.149178e-12,1.164436e-12,1.152992e-12,1.149178e-12,1.145363e-12,1.122475e-12,1.067162e-12,1.116753e-12,1.151085e-12,1.156807e-12,1.193047e-12
 37.59100,  0.17484,1.154891e-10,1.767635e-09,1.688957e-10,6.367684e-10,1.138401e-11,2.341747e-11,6.934166e-12,8.040428e-12,8.826256e-12,9.697913e-12,1.230335e-11,1.994610e-11,1.053554e-10,4.086214e-09,1.126289e-10,9.236627e-11,1.519920e-10,3.904062e-09,1.524830e-11,1.606274e-11,2.242088e-12,2.635002e-12,2.306938e-12,3.129005e-12,6.245613e-12,1.693374e-10,2.612114e-12,7.109642e-12,2.146721e-12,3.036976e-11,2.125740e-12,1.694679e-12,1.652718e-12,2.556801e-12,1.551628e-12,1.532555e-12,1.557350e-12,1.534462e-12,1.543999e-12,1.578331e-12,1.465797e-12,1.461983e-12,1.486778e-12,1.482963e-12,1.458168e-12,1.469612e-12,1.383781e-12,1.433372e-12,1.465797e-12,1.492500e-12,1.435280e-12,1.456261e-12,1.385689e-12,1.458168e-12,1.437187e-12,1.399040e-12,1.416206e-12,1.391411e-12,1.412392e-12,1.385689e-12,1.404762e-12,1.406670e-12,1.358986e-12,1.368523e-12,1.414299e-12,1.414299e-12,1.372337e-12,1.418114e-12,1.376152e-12,1.389503e-12,1.273155e-12,1.383781e-12,1.372337e-12,1.372337e-12,1.313210e-12,1.311302e-12,1.311302e-12,1.328468e-12,1.297951e-12,1.296043e-12,1.317024e-12,1.305580e-12,1.347542e-12,1.313210e-12,1.265526e-12,1.280785e-12,1.269340e-12,1.322746e-12,1.282692e-12,1.254082e-12,1.257896e-12,1.242638e-12,1.276970e-12,1.252174e-12,1.235008e-12,1.233101e-12,1.246452e-12,1.250267e-12,1.229286e-12,1.244545e-12,1.255989e-12,1.261711e-12,1.223564e-12,1.208305e-12,1.248360e-12,1.172066e-12,1.162529e-12,1.238823e-12,1.242638e-12,1.252174e-12,1.210213e-12,1.116753e-12,1.137733e-12,1.214027e-12,1.217842e-12,1.202583e-12,1.196861e-12,1.168251e-12,1.168251e-12,1.210213e-12,1.158714e-12,1.147270e-12,1.244545e-12,1.162529e-12,1.158714e-12,1.172066e-12,1.147270e-12,1.076698e-12,1.111031e-12,1.111031e-12,1.120567e-12,1.151085e-12,1.175880e-12,1.116753e-12,1.114845e-12,1.151085e-12
 39.22600,  0.34020,1.167022e-10,1.764202e-09,1.687050e-10,6.363869e-10,1.134968e-11,2.346706e-11,6.964683e-12,7.956504e-12,8.755684e-12,9.732246e-12,1.239490e-11,1.986980e-11,1.071483e-10,4.097849e-09,1.124382e-10,9.265238e-11,1.514102e-10,3.903109e-09,1.497746e-11,1.598072e-11,2.270698e-12,2.747536e-12,2.278328e-12,3.088951e-12,6.337166e-12,1.692535e-10,2.606392e-12,7.164955e-12,2.108574e-12,3.014278e-11,2.081871e-12,1.711845e-12,1.568794e-12,2.532005e-12,1.614571e-12,1.526833e-12,1.502037e-12,1.515388e-12,1.517296e-12,1.564979e-12,1.523018e-12,1.500130e-12,1.498222e-12,1.460075e-12,1.507759e-12,1.456261e-12,1.439095e-12,1.393318e-12,1.437187e-12,1.414299e-12,1.395226e-12,1.408577e-12,1.397133e-12,1.454353e-12,1.402855e-12,1.442909e-12,1.431465e-12,1.393318e-12,1.332283e-12,1.336098e-12,1.408577e-12,1.385689e-12,1.347542e-12,1.383781e-12,1.357079e-12,1.376152e-12,1.351356e-12,1.372337e-12,1.364708e-12,1.383781e-12,1.341820e-12,1.358986e-12,1.315117e-12,1.349449e-12,1.368523e-12,1.381874e-12,1.358986e-12,1.339912e-12,1.282692e-12,1.303673e-12,1.317024e-12,1.334190e-12,1.328468e-12,1.286507e-12,1.284599e-12,1.257896e-12,1.273155e-12,1.229286e-12,1.294136e-12,1.318932e-12,1.236916e-12,1.261711e-12,1.221657e-12,1.210213e-12,1.240730e-12,1.208305e-12,1.236916e-12,1.269340e-12,1.273155e-12,1.242638e-12,1.252174e-12,1.284599e-12,1.250267e-12,1.223564e-12,1.275063e-12,1.231194e-12,1.231194e-12,1.225471e-12,1.233101e-12,1.261711e-12,1.238823e-12,1.235008e-12,1.181602e-12,1.183510e-12,1.132011e-12,1.151085e-12,1.160622e-12,1.214027e-12,1.111031e-12,1.179695e-12,1.200676e-12,1.168251e-12,1.189232e-12,1.191139e-12,1.160622e-12,1.126289e-12,1.139641e-12,1.132011e-12,1.137733e-12,1.156807e-12,1.145363e-12,1.099586e-12,1.132011e-12,1.172066e-12,1.168251e-12,1.069069e-12
 41.41000,  0.68047,1.168929e-10,1.764393e-09,1.679420e-10,6.325722e-10,1.138592e-11,2.345562e-11,7.054329e-12,7.842064e-12,8.854866e-12,9.755134e-12,1.233959e-11,1.985073e-11,1.053821e-10,4.090220e-09,1.126289e-10,9.242922e-11,1.512824e-10,3.902346e-09,1.514530e-11,1.602459e-11,2.278328e-12,2.600670e-12,2.322197e-12,3.052711e-12,6.283760e-12,1.699039e-10,2.608299e-12,7.100105e-12,2.148628e-12,2.995205e-11,2.083778e-12,1.736641e-12,1.580238e-12,2.501488e-12,1.551628e-12,1.549721e-12,1.545906e-12,1.528740e-12,1.490593e-12,1.530647e-12,1.502037e-12,1.515388e-12,1.423836e-12,1.473427e-12,1.526833e-12,1.473427e-12,1.444817e-12,1.454353e-12,1.448631e-12,1.441002e-12,1.418114e-12,1.500130e-12,1.406670e-12,1.420021e-12,1.433372e-12,1.385689e-12,1.399040e-12,1.406670e-12,1.408577e-12,1.358986e-12,1.374245e-12,1.362801e-12,1.374245e-12,1.368523e-12,1.334190e-12,1.399040e-12,1.368523e-12,1.326561e-12,1.343727e-12,1.353264e-12,1.324654e-12,1.332283e-12,1.311302e-12,1.349449e-12,1.351356e-12,1.362801e-12,1.349449e-12,1.303673e-12,1.330376e-12,1.357079e-12,1.355171e-12,1.332283e-12,1.286507e-12,1.292229e-12,1.261711e-12,1.307487e-12,1.326561e-12,1.273155e-12,1.276970e-12,1.257896e-12,1.269340e-12,1.282692e-12,1.242638e-12,1.219749e-12,1.233101e-12,1.271248e-12,1.280785e-12,1.252174e-12,1.261711e-12,1.240730e-12,1.244545e-12,1.248360e-12,1.185417e-12,1.202583e-12,1.206398e-12,1.238823e-12,1.219749e-12,1.208305e-12,1.227379e-12,1.231194e-12,1.252174e-12,1.196861e-12,1.185417e-12,1.204491e-12,1.202583e-12,1.156807e-12,1.219749e-12,1.194954e-12,1.164436e-12,1.175880e-12,1.198769e-12,1.116753e-12,1.181602e-12,1.160622e-12,1.145363e-12,1.183510e-12,1.152992e-12,1.149178e-12,1.124382e-12,1.116753e-12,1.135826e-12,1.126289e-12,1.124382e-12,1.109123e-12,1.179695e-12,1.149178e-12
 42.47000,  0.84753,1.157047e-10,1.763821e-09,1.702309e-10,6.350517e-10,1.142597e-11,2.349949e-11,6.896019e-12,7.744789e-12,8.818626e-12,9.728432e-12,1.236439e-11,1.986027e-11,1.054889e-10,4.094797e-09,1.126289e-10,9.265238e-11,1.530563e-10,3.910929e-09,1.506138e-11,1.607799e-11,2.194405e-12,2.667427e-12,2.305031e-12,3.117561e-12,6.140709e-12,1.692383e-10,2.579689e-12,7.222176e-12,2.112389e-12,2.941990e-11,2.079964e-12,1.751900e-12,1.606941e-12,2.535820e-12,1.519203e-12,1.559257e-12,1.517296e-12,1.492500e-12,1.503944e-12,1.572609e-12,1.547813e-12,1.517296e-12,1.463890e-12,1.475334e-12,1.471519e-12,1.448631e-12,1.454353e-12,1.456261e-12,1.450539e-12,1.435280e-12,1.467705e-12,1.397133e-12,1.364708e-12,1.351356e-12,1.402855e-12,1.404762e-12,1.404762e-12,1.416206e-12,1.416206e-12,1.360893e-12,1.364708e-12,1.381874e-12,1.351356e-12,1.376152e-12,1.376152e-12,1.389503e-12,1.343727e-12,1.343727e-12,1.324654e-12,1.364708e-12,1.338005e-12,1.393318e-12,1.275063e-12,1.313210e-12,1.349449e-12,1.294136e-12,1.271248e-12,1.345634e-12,1.284599e-12,1.328468e-12,1.307487e-12,1.309395e-12,1.246452e-12,1.263618e-12,1.355171e-12,1.261711e-12,1.273155e-12,1.290321e-12,1.252174e-12,1.255989e-12,1.255989e-12,1.255989e-12,1.250267e-12,1.254082e-12,1.198769e-12,1.288414e-12,1.296043e-12,1.259804e-12,1.196861e-12,1.290321e-12,1.231194e-12,1.263618e-12,1.223564e-12,1.252174e-12,1.252174e-12,1.179695e-12,1.221657e-12,1.210213e-12,1.275063e-12,1.185417e-12,1.189232e-12,1.229286e-12,1.231194e-12,1.250267e-12,1.221657e-12,1.160622e-12,1.193047e-12,1.196861e-12,1.143455e-12,1.173973e-12,1.189232e-12,1.160622e-12,1.172066e-12,1.181602e-12,1.128197e-12,1.194954e-12,1.151085e-12,1.162529e-12,1.189232e-12,1.133919e-12,1.151085e-12,1.187325e-12,1.116753e-12,1.130104e-12,1.120567e-12,1.097679e-12
 43.11200,  1.01923,1.162559e-10,1.767445e-09,1.673698e-10,6.297112e-10,1.144695e-11,2.355099e-11,6.993294e-12,7.802009e-12,8.847236e-12,9.612083e-12,1.241589e-11,1.993847e-11,1.059161e-10,4.089648e-09,1.120567e-10,9.242159e-11,1.521464e-10,3.919894e-09,1.497746e-11,1.597881e-11,2.230644e-12,2.657890e-12,2.295494e-12,3.104210e-12,6.209373e-12,1.695263e-10,2.631187e-12,7.092475e-12,2.118111e-12,2.953624e-11,2.085686e-12,1.776695e-12,1.643181e-12,2.495766e-12,1.555443e-12,1.578331e-12,1.553535e-12,1.589775e-12,1.559257e-12,1.570702e-12,1.507759e-12,1.526833e-12,1.509666e-12,1.448631e-12,1.460075e-12,1.420021e-12,1.471519e-12,1.458168e-12,1.450539e-12,1.448631e-12,1.427650e-12,1.393318e-12,1.456261e-12,1.357079e-12,1.381874e-12,1.406670e-12,1.362801e-12,1.425743e-12,1.313210e-12,1.383781e-12,1.357079e-12,1.385689e-12,1.347542e-12,1.381874e-12,1.338005e-12,1.374245e-12,1.376152e-12,1.400948e-12,1.395226e-12,1.381874e-12,1.358986e-12,1.345634e-12,1.343727e-12,1.334190e-12,1.303673e-12,1.351356e-12,1.309395e-12,1.336098e-12,1.334190e-12,1.311302e-12,1.271248e-12,1.330376e-12,1.276970e-12,1.324654e-12,1.265526e-12,1.299858e-12,1.284599e-12,1.292229e-12,1.271248e-12,1.286507e-12,1.250267e-12,1.297951e-12,1.254082e-12,1.263618e-12,1.280785e-12,1.193047e-12,1.273155e-12,1.238823e-12,1.250267e-12,1.263618e-12,1.238823e-12,1.244545e-12,1.252174e-12,1.227379e-12,1.221657e-12,1.240730e-12,1.189232e-12,1.231194e-12,1.206398e-12,1.175880e-12,1.166344e-12,1.198769e-12,1.139641e-12,1.219749e-12,1.219749e-12,1.214027e-12,1.189232e-12,1.135826e-12,1.170158e-12,1.215935e-12,1.179695e-12,1.175880e-12,1.132011e-12,1.189232e-12,1.130104e-12,1.147270e-12,1.208305e-12,1.149178e-12,1.112938e-12,1.164436e-12,1.141548e-12,1.109123e-12,1.126289e-12,1.107216e-12,1.097679e-12,1.137733e-12
 43.97800,  1.18999,1.156532e-10,1.769352e-09,1.690865e-10,6.346703e-10,1.136303e-11,2.343464e-11,6.985664e-12,7.920265e-12,8.969307e-12,9.711266e-12,1.233196e-11,1.991558e-11,1.056262e-10,4.090029e-09,1.122475e-10,9.240823e-11,1.534454e-10,3.918558e-09,1.506329e-11,1.598453e-11,2.230644e-12,2.648354e-12,2.253532e-12,3.153801e-12,6.236076e-12,1.692268e-10,2.663612e-12,7.084846e-12,2.169609e-12,2.950191e-11,2.085686e-12,1.767158e-12,1.626015e-12,2.465248e-12,1.538277e-12,1.553535e-12,1.517296e-12,1.467705e-12,1.509666e-12,1.576424e-12,1.494408e-12,1.469612e-12,1.446724e-12,1.423836e-12,1.463890e-12,1.460075e-12,1.492500e-12,1.433372e-12,1.442909e-12,1.418114e-12,1.404762e-12,1.385689e-12,1.427650e-12,1.441002e-12,1.425743e-12,1.414299e-12,1.404762e-12,1.341820e-12,1.395226e-12,1.408577e-12,1.425743e-12,1.435280e-12,1.404762e-12,1.349449e-12,1.353264e-12,1.343727e-12,1.408577e-12,1.364708e-12,1.399040e-12,1.427650e-12,1.297951e-12,1.355171e-12,1.374245e-12,1.374245e-12,1.330376e-12,1.338005e-12,1.280785e-12,1.334190e-12,1.296043e-12,1.294136e-12,1.261711e-12,1.267433e-12,1.276970e-12,1.301765e-12,1.294136e-12,1.297951e-12,1.263618e-12,1.280785e-12,1.318932e-12,1.276970e-12,1.324654e-12,1.240730e-12,1.273155e-12,1.273155e-12,1.238823e-12,1.246452e-12,1.215935e-12,1.263618e-12,1.248360e-12,1.254082e-12,1.206398e-12,1.231194e-12,1.206398e-12,1.196861e-12,1.208305e-12,1.215935e-12,1.229286e-12,1.227379e-12,1.231194e-12,1.166344e-12,1.231194e-12,1.231194e-12,1.189232e-12,1.166344e-12,1.227379e-12,1.196861e-12,1.172066e-12,1.189232e-12,1.156807e-12,1.194954e-12,1.193047e-12,1.227379e-12,1.173973e-12,1.114845e-12,1.116753e-12,1.143455e-12,1.151085e-12,1.151085e-12,1.143455e-12,1.152992e-12,1.191139e-12,1.120567e-12,1.122475e-12,1.143455e-12,1.137733e-12,1.145363e-12
 44.48900,  1.35491,1.167709e-10,1.771641e-09,1.698494e-10,6.333351e-10,1.139355e-11,2.350902e-11,6.852150e-12,7.889747e-12,8.975029e-12,9.711266e-12,1.224804e-11,1.984692e-11,1.068813e-10,4.093844e-09,1.124382e-10,9.228616e-11,1.533843e-10,3.906542e-09,1.497555e-11,1.595020e-11,2.184868e-12,2.593040e-12,2.322197e-12,3.077507e-12,6.299019e-12,1.706325e-10,2.673149e-12,7.113457e-12,2.148628e-12,2.950954e-11,2.133369e-12,1.763344e-12,1.639366e-12,2.505302e-12,1.605034e-12,1.585960e-12,1.547813e-12,1.532555e-12,1.521110e-12,1.563072e-12,1.469612e-12,1.454353e-12,1.507759e-12,1.486778e-12,1.475334e-12,1.435280e-12,1.446724e-12,1.439095e-12,1.383781e-12,1.425743e-12,1.383781e-12,1.416206e-12,1.418114e-12,1.385689e-12,1.442909e-12,1.360893e-12,1.442909e-12,1.416206e-12,1.410484e-12,1.364708e-12,1.364708e-12,1.358986e-12,1.372337e-12,1.360893e-12,1.355171e-12,1.330376e-12,1.374245e-12,1.364708e-12,1.400948e-12,1.404762e-12,1.309395e-12,1.374245e-12,1.336098e-12,1.338005e-12,1.370430e-12,1.345634e-12,1.282692e-12,1.334190e-12,1.355171e-12,1.305580e-12,1.313210e-12,1.338005e-12,1.227379e-12,1.311302e-12,1.345634e-12,1.282692e-12,1.313210e-12,1.257896e-12,1.294136e-12,1.309395e-12,1.328468e-12,1.311302e-12,1.267433e-12,1.252174e-12,1.259804e-12,1.204491e-12,1.280785e-12,1.269340e-12,1.196861e-12,1.179695e-12,1.233101e-12,1.265526e-12,1.267433e-12,1.257896e-12,1.236916e-12,1.231194e-12,1.181602e-12,1.191139e-12,1.173973e-12,1.185417e-12,1.227379e-12,1.168251e-12,1.202583e-12,1.152992e-12,1.166344e-12,1.231194e-12,1.181602e-12,1.175880e-12,1.141548e-12,1.172066e-12,1.164436e-12,1.181602e-12,1.091957e-12,1.158714e-12,1.200676e-12,1.143455e-12,1.118660e-12,1.139641e-12,1.122475e-12,1.156807e-12,1.189232e-12,1.172066e-12,1.141548e-12,1.093864e-12,1.143455e-12,1.152992e-12
 44.97400,  1.52063,1.156074e-10,1.773167e-09,1.692772e-10,6.350517e-10,1.138782e-11,2.366352e-11,6.966590e-12,7.910728e-12,8.864402e-12,9.707451e-12,1.236439e-11,1.991176e-11,1.063892e-10,4.100710e-09,1.124382e-10,9.242540e-11,1.520492e-10,3.925997e-09,1.502132e-11,1.604938e-11,2.232552e-12,2.671242e-12,2.318382e-12,3.090858e-12,6.176948e-12,1.699020e-10,2.623558e-12,7.168769e-12,2.152443e-12,2.958012e-11,2.104759e-12,1.702309e-12,1.687050e-12,2.535820e-12,1.568794e-12,1.498222e-12,1.503944e-12,1.563072e-12,1.528740e-12,1.540184e-12,1.461983e-12,1.502037e-12,1.528740e-12,1.463890e-12,1.496315e-12,1.496315e-12,1.473427e-12,1.441002e-12,1.421928e-12,1.406670e-12,1.378059e-12,1.410484e-12,1.423836e-12,1.414299e-12,1.374245e-12,1.467705e-12,1.402855e-12,1.416206e-12,1.341820e-12,1.351356e-12,1.338005e-12,1.416206e-12,1.387596e-12,1.402855e-12,1.357079e-12,1.368523e-12,1.286507e-12,1.391411e-12,1.379967e-12,1.334190e-12,1.292229e-12,1.320839e-12,1.328468e-12,1.372337e-12,1.309395e-12,1.280785e-12,1.328468e-12,1.318932e-12,1.345634e-12,1.296043e-12,1.317024e-12,1.309395e-12,1.303673e-12,1.301765e-12,1.351356e-12,1.275063e-12,1.317024e-12,1.330376e-12,1.284599e-12,1.257896e-12,1.271248e-12,1.301765e-12,1.244545e-12,1.231194e-12,1.273155e-12,1.286507e-12,1.242638e-12,1.229286e-12,1.248360e-12,1.210213e-12,1.292229e-12,1.252174e-12,1.290321e-12,1.252174e-12,1.208305e-12,1.214027e-12,1.212120e-12,1.240730e-12,1.215935e-12,1.196861e-12,1.231194e-12,1.227379e-12,1.200676e-12,1.212120e-12,1.152992e-12,1.193047e-12,1.185417e-12,1.156807e-12,1.187325e-12,1.147270e-12,1.189232e-12,1.173973e-12,1.139641e-12,1.143455e-12,1.177788e-12,1.179695e-12,1.111031e-12,1.152992e-12,1.170158e-12,1.130104e-12,1.112938e-12,1.191139e-12,1.170158e-12,1.154900e-12,1.103401e-12,1.132011e-12
 45.60800,  1.69386,1.168071e-10,1.765537e-09,1.687050e-10,6.350517e-10,1.142406e-11,2.337551e-11,6.978035e-12,7.758140e-12,8.835792e-12,9.701728e-12,1.237774e-11,1.982021e-11,1.063930e-10,4.091937e-09,1.118660e-10,9.243876e-11,1.516563e-10,3.914362e-09,1.498508e-11,1.607418e-11,2.163887e-12,2.652168e-12,2.291679e-12,3.037453e-12,6.287575e-12,1.698105e-10,2.636909e-12,7.212638e-12,2.158165e-12,2.941418e-11,2.102852e-12,1.780510e-12,1.618385e-12,2.522469e-12,1.490593e-12,1.614571e-12,1.507759e-12,1.566887e-12,1.500130e-12,1.624107e-12,1.509666e-12,1.486778e-12,1.526833e-12,1.496315e-12,1.454353e-12,1.412392e-12,1.481056e-12,1.481056e-12,1.433372e-12,1.479149e-12,1.429558e-12,1.416206e-12,1.412392e-12,1.460075e-12,1.402855e-12,1.437187e-12,1.412392e-12,1.360893e-12,1.418114e-12,1.336098e-12,1.376152e-12,1.374245e-12,1.387596e-12,1.357079e-12,1.385689e-12,1.307487e-12,1.368523e-12,1.385689e-12,1.379967e-12,1.399040e-12,1.307487e-12,1.338005e-12,1.370430e-12,1.328468e-12,1.328468e-12,1.297951e-12,1.303673e-12,1.332283e-12,1.282692e-12,1.290321e-12,1.292229e-12,1.257896e-12,1.271248e-12,1.227379e-12,1.284599e-12,1.290321e-12,1.265526e-12,1.305580e-12,1.296043e-12,1.254082e-12,1.290321e-12,1.280785e-12,1.200676e-12,1.252174e-12,1.255989e-12,1.296043e-12,1.242638e-12,1.196861e-12,1.235008e-12,1.212120e-12,1.286507e-12,1.198769e-12,1.278877e-12,1.229286e-12,1.233101e-12,1.219749e-12,1.236916e-12,1.183510e-12,1.202583e-12,1.191139e-12,1.238823e-12,1.187325e-12,1.200676e-12,1.210213e-12,1.181602e-12,1.145363e-12,1.198769e-12,1.185417e-12,1.202583e-12,1.229286e-12,1.196861e-12,1.179695e-12,1.151085e-12,1.103401e-12,1.181602e-12,1.090050e-12,1.193047e-12,1.191139e-12,1.124382e-12,1.118660e-12,1.151085e-12,1.173973e-12,1.112938e-12,1.133919e-12,1.160622e-12,1.151085e-12
