#EXPORTTYPE:                 ,DATA ALL                                
#FILE:                       ,2025_08_14_SL_PS_Cup_Lid_dynamic.ngb-ss5
#FORMAT:                     ,NETZSCH5                                
#FTYPE:                      ,ASCII                                   
#IDENTITY:                   ,PS-Coffee-Lid                           
#DECIMAL:                    ,POINT                                   
#SEPARATOR:                  ,COMMA                                   
#MTYPE:                      ,TG                                      
#INSTRUMENT:                 ,NETZSCH STA 449F5                       
#PROJECT:                    ,                                        
#DATE/TIME:                  ,8/14/2025 3:28:47 PM (UTC-4)            
#CORR. FILE:                 ,                                        
#TEMPCAL:                    ,05-05-2025 14:38                        
#SENSITIVITY:                ,28-06-2023 13:53                        
#LABORATORY:                 ,Tran/AAG                                
#OPERATOR:                   ,Stanley                                 
#REMARK:                     ,2025_03_20_Styrofoam_dynamic            
#SAMPLE:                     ,PS-Coffee-Lid                           
#SAMPLE MASS /mg:            ,4.46                                    
#MATERIAL:                   ,Polystyrene                             
#REFERENCE:                  ,                                        
#REFERENCE MASS /mg:         ,0                                       
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                       
#SAMPLE CRUCIBLE MASS /mg:   ,0                                       
#REFERENCE CRUCIBLE MASS /mg:,0                                       
#DSC RANGE /‘V:              ,5000                                    
#TG RANGE /mg:               ,35000                                   
#TAU-R:                      ,---                                     
#CORR. CODE:                 ,000                                     
#EXO:                        ,-1                                      
#RANGE:                      ,20›C....800›C/0.0....20.0K/min          
#SEGMENT:                    ,S1-4/4                                  
#SEG. 1:                     ,20›C/5.0(K/min)/100›C                   
#SEG. 2:                     ,100›C/00:05/100›C                       
#SEG. 3:                     ,100›C/1.0(K/min)/400›C                  
#SEG. 4:                     ,400›C/20.0(K/min)/800›C                 

##Temp./›C,Time/min,Mass/%,Sensit./(uV/mW),Segment
 34.86300,  0.00000,    100.00000,0.92438,1
 35.63200,  0.06667,     99.62713,0.92449,1
 36.31500,  0.13333,     99.30224,0.92459,1
 36.98000,  0.20000,     99.05381,0.92469,1
 37.59100,  0.26667,     98.79753,0.92477,1
 38.17200,  0.33333,     98.53632,0.92485,1
 38.70200,  0.40000,     98.33587,0.92492,1
 39.22600,  0.46667,     98.13812,0.92499,1
 39.68900,  0.53333,     97.94529,0.92504,1
 40.14300,  0.60000,     97.76256,0.92510,1
 40.58600,  0.66667,     97.59529,0.92515,1
 40.99100,  0.73333,     97.43789,0.92520,1
 41.41000,  0.80000,     97.27556,0.92524,1
 41.78200,  0.86667,     97.11839,0.92528,1
 42.12700,  0.93333,     96.97377,0.92532,1
 42.47000,  1.00000,     96.86973,0.92536,1
 42.80500,  1.06667,     96.75561,0.92539,1
 43.11200,  1.13333,     96.63117,0.92542,1
 43.42000,  1.20000,     96.53498,0.92545,1
 43.70700,  1.26667,     96.41323,0.92548,1
 43.97800,  1.33333,     96.33700,0.92551,1
 44.22800,  1.40000,     96.22040,0.92553,1
 44.48900,  1.46667,     96.14933,0.92555,1
 44.72800,  1.53333,     96.08341,0.92557,1
 44.97400,  1.60000,     95.97175,0.92560,1
 45.18100,  1.66667,     95.90830,0.92561,1
 45.39900,  1.73333,     95.49731,0.92563,1
 45.60800,  1.80000,     89.12534,0.92565,1
 45.78500,  1.86667,     87.71749,0.92567,1
 45.97300,  1.93333,     86.84238,0.92568,1
 46.14200,  2.00000,     86.34013,0.92569,1
 46.31000,  2.06667,     86.05852,0.92571,1
 46.46400,  2.13333,     85.95448,0.92572,1
 46.60600,  2.20000,     85.87848,0.92573,1
 46.76300,  2.26667,     85.76188,0.92574,1
 46.89900,  2.33333,     85.69327,0.92575,1
 47.02400,  2.40000,     85.69327,0.92576,1
 47.14500,  2.46667,     85.69327,0.92577,1
 47.27500,  2.53333,     85.66278,0.92578,1
 47.37100,  2.60000,     85.67803,0.92579,1
 47.49600,  2.66667,     85.69327,0.92580,1
 47.58100,  2.73333,     85.69327,0.92580,1
 47.67700,  2.80000,     85.69327,0.92581,1
 47.78800,  2.86667,     85.69327,0.92582,1
 47.85600,  2.93333,     85.69327,0.92582,1
 47.93500,  3.00000,     85.69327,0.92583,1
 48.01500,  3.06667,     85.69327,0.92583,1
 48.09200,  3.13333,     85.69327,0.92584,1
 48.15200,  3.20000,     85.68565,0.92584,1
 48.22800,  3.26667,     85.66278,0.92585,1
 48.27700,  3.33333,     85.66278,0.92585,1
 48.34200,  3.40000,     85.63251,0.92586,1
 48.38900,  3.46667,     85.60202,0.92586,1
 48.43900,  3.53333,     85.57152,0.92586,1
 48.47600,  3.60000,     85.52578,0.92587,1
 48.53800,  3.66667,     85.47511,0.92587,1
 48.55800,  3.73333,     85.44462,0.92587,1
 48.60300,  3.80000,     85.37870,0.92587,1
 48.63400,  3.86667,     85.32803,0.92588,1
 48.65400,  3.93333,     85.28229,0.92588,1
 48.70000,  4.00000,     85.22915,0.92588,1
 48.74100,  4.06667,     85.19103,0.92588,1
 48.75100,  4.13333,     85.15807,0.92588,1
 48.76900,  4.20000,     85.12758,0.92588,1
 48.78500,  4.26667,     85.06166,0.92589,1
 48.78800,  4.33333,     85.06166,0.92589,1
 48.80000,  4.40000,     85.00090,0.92589,1
 48.82600,  4.46667,     84.93744,0.92589,1
 48.82200,  4.53333,     84.92982,0.92589,1
 48.83000,  4.60000,     84.87399,0.92589,1
 48.83900,  4.66667,     84.80807,0.92589,1
 48.83100,  4.73333,     84.77758,0.92589,1
 48.81900,  4.80000,     84.71166,0.92589,1
 48.84100,  4.86667,     84.68117,0.92589,1
 48.83000,  4.93333,     84.65067,0.92589,1
 48.82400,  5.00000,     84.62040,0.92589,1
 48.82500,  5.06667,     84.58991,0.92589,1
 48.80500,  5.13333,     84.52892,0.92589,1
 48.79000,  5.20000,     84.48834,0.92589,1
 48.79800,  5.26667,     84.48834,0.92589,1
 48.76600,  5.33333,     84.43767,0.92588,1
 48.76200,  5.40000,     84.39193,0.92588,1
 48.73500,  5.46667,     84.34641,0.92588,1
 48.72300,  5.53333,     84.30067,0.92588,1
 48.70300,  5.60000,     84.30067,0.92588,1
 48.69400,  5.66667,     84.24731,0.92588,1
 48.66400,  5.73333,     84.23722,0.92588,1
 48.64100,  5.80000,     84.20179,0.92588,1
 48.62500,  5.86667,     84.26256,0.92587,1
 48.59900,  5.93333,     84.23991,0.92587,1
 48.58600,  6.00000,     84.20942,0.92587,1
 48.56000,  6.06667,     84.17892,0.92587,1
 48.52200,  6.13333,     84.13318,0.92587,1
 48.48000,  6.20000,     84.08767,0.92587,1
 48.46600,  6.26667,     84.05471,0.92586,1
 48.44000,  6.33333,     83.99126,0.92586,1
 48.39500,  6.40000,     83.96076,0.92586,1
 48.37600,  6.46667,     83.99372,0.92586,1
 48.35000,  6.53333,     83.92265,0.92586,1
 48.31400,  6.60000,     83.89238,0.92585,1
 48.29500,  6.66667,     83.89238,0.92585,1
 48.27200,  6.73333,     83.86188,0.92585,1
 48.25600,  6.80000,     83.86188,0.92585,1
 48.22600,  6.86667,     83.86188,0.92585,1
 48.21100,  6.93333,     83.85426,0.92585,1
 48.19100,  7.00000,     83.85426,0.92585,1
 48.19100,  7.06667,     83.85426,0.92585,1
 48.18600,  7.13333,     83.85426,0.92585,1
 48.17700,  7.20000,     83.85426,0.92585,1
 48.18200,  7.26667,     83.91502,0.92585,1
 48.20300,  7.33333,     83.91502,0.92585,1
 48.21100,  7.40000,     83.94552,0.92585,1
 48.23000,  7.46667,     83.97601,0.92585,1
 48.25700,  7.53333,     83.97601,0.92585,1
 48.30600,  7.60000,     84.03677,0.92585,1
 48.33200,  7.66667,     84.08498,0.92586,1
 48.38600,  7.73333,     84.10022,0.92586,1
 48.42600,  7.80000,     84.16121,0.92586,1
 48.50800,  7.86667,     84.21704,0.92587,1
 48.55800,  7.93333,     84.25493,0.92587,1
 48.63700,  8.00000,     84.31345,0.92588,1
 48.71200,  8.06667,     84.35650,0.92588,1
 48.79500,  8.13333,     84.41996,0.92589,1
 48.89200,  8.20000,     84.48834,0.92589,1
 49.00600,  8.26667,     84.55426,0.92590,1
 49.10200,  8.33333,     84.62040,0.92590,1
 49.22000,  8.40000,     84.67108,0.92591,1
 49.34600,  8.46667,     84.72422,0.92592,1
 49.46300,  8.53333,     84.75471,0.92593,1
 49.61500,  8.60000,     84.82825,0.92594,1
 49.75800,  8.66667,     84.92220,0.92594,1
 49.90300,  8.73333,     84.99821,0.92595,1
 50.06000,  8.80000,     85.05650,0.92596,1
 50.22100,  8.86667,     85.09978,0.92597,1
 50.38800,  8.93333,     85.16816,0.92598,1
 50.54900,  9.00000,     85.23924,0.92599,1
 50.73600,  9.06667,     85.35090,0.92600,1
 50.93500,  9.13333,     85.38139,0.92601,1
 51.12100,  9.20000,     85.41435,0.92602,1
 51.31900,  9.26667,     85.49798,0.92603,1
 51.52300,  9.33333,     85.59193,0.92603,1
 51.75000,  9.40000,     85.59193,0.92604,1
 51.95900,  9.46667,     85.65785,0.92605,1
 52.19000,  9.53333,     85.75426,0.92606,1
 52.41500,  9.60000,     85.82780,0.92607,1
 52.64800,  9.66667,     85.87332,0.92608,1
 52.89800,  9.73333,     85.92422,0.92609,1
 53.14000,  9.80000,     85.97735,0.92610,1
 53.38300,  9.86667,     86.04843,0.92611,1
 53.65000,  9.93333,     86.15247,0.92612,1
 53.91600, 10.00000,     86.22085,0.92613,1
 54.18100, 10.06667,     86.26659,0.92613,1
 54.45500, 10.13333,     86.31726,0.92614,1
 54.72700, 10.20000,     86.35022,0.92615,1
 55.01700, 10.26667,     86.38072,0.92616,1
 55.31200, 10.33333,     86.44933,0.92616,1
 55.60800, 10.40000,     86.52534,0.92617,1
 55.91100, 10.46667,     86.63430,0.92618,1
 56.21100, 10.53333,     86.69776,0.92618,1
 56.52600, 10.60000,     86.73072,0.92619,1
 56.84400, 10.66667,     86.77646,0.92619,1
 57.18100, 10.73333,     86.82466,0.92619,1
 57.49300, 10.80000,     86.90830,0.92620,1
 57.83100, 10.86667,     86.99978,0.92620,1
 58.16400, 10.93333,     87.03520,0.92620,1
 58.50200, 11.00000,     87.09865,0.92620,1
 58.83700, 11.06667,     87.16457,0.92620,1
 59.19600, 11.13333,     87.22534,0.92620,1
 59.54200, 11.20000,     87.30650,0.92620,1
 59.90600, 11.26667,     87.39283,0.92620,1
 60.26900, 11.33333,     87.39283,0.92619,1
 60.63800, 11.40000,     87.44865,0.92619,1
 61.01100, 11.46667,     87.53229,0.92619,1
 61.38500, 11.53333,     87.56278,0.92618,1
 61.77100, 11.60000,     87.59327,0.92617,1
 62.15100, 11.66667,     87.65919,0.92617,1
 62.53500, 11.73333,     87.68969,0.92616,1
 62.91900, 11.80000,     87.75045,0.92615,1
 63.32000, 11.86667,     87.81390,0.92614,1
 63.70600, 11.93333,     87.84933,0.92613,1
 64.12200, 12.00000,     87.91794,0.92611,1
 64.50500, 12.06667,     87.95605,0.92610,1
 64.92800, 12.13333,     88.00157,0.92608,1
 65.32600, 12.20000,     88.05740,0.92607,1
 65.75100, 12.26667,     88.10807,0.92605,1
 66.14700, 12.33333,     88.12332,0.92603,1
 66.57100, 12.40000,     88.17668,0.92601,1
 66.99300, 12.46667,     88.23251,0.92599,1
 67.41600, 12.53333,     88.27556,0.92597,1
 67.83900, 12.60000,     88.34148,0.92595,1
 68.27000, 12.66667,     88.38475,0.92592,1
 68.70900, 12.73333,     88.44552,0.92589,1
