#EXPORTTYPE:                 ,DATA ALL                                     
#FILE:                       ,2025_08_15_SL_PS_Container_Isothermal.ngb-ss5
#FORMAT:                     ,NETZSCH5                                     
#FTYPE:                      ,ASCII                                        
#IDENTITY:                   ,PS-Container                                 
#DECIMAL:                    ,POINT                                        
#SEPARATOR:                  ,COMMA                                        
#MTYPE:                      ,TG                                           
#INSTRUMENT:                 ,NETZSCH STA 449F5                            
#PROJECT:                    ,                                             
#DATE/TIME:                  ,8/15/2025 9:51:52 AM (UTC-4)                 
#CORR. FILE:                 ,                                             
#TEMPCAL:                    ,05-05-2025 14:38                             
#SENSITIVITY:                ,28-06-2023 13:53                             
#LABORATORY:                 ,Tran/AAG                                     
#OPERATOR:                   ,Stanley                                      
#REMARK:                     ,2025_03_29_SL_005d_M1_isothermal             
#SAMPLE:                     ,PS-Container                                 
#SAMPLE MASS /mg:            ,4.91                                         
#MATERIAL:                   ,Polystyrene                                  
#REFERENCE:                  ,                                             
#REFERENCE MASS /mg:         ,0                                            
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                            
#SAMPLE CRUCIBLE MASS /mg:   ,0                                            
#REFERENCE CRUCIBLE MASS /mg:,0                                            
#DSC RANGE /‘V:              ,5000                                         
#TG RANGE /mg:               ,35000                                        
#TAU-R:                      ,---                                          
#CORR. CODE:                 ,000                                          
#EXO:                        ,-1                                           
#RANGE:                      ,30›C....800›C/0.0....20.0K/min               
#SEGMENT:                    ,S1-5/5                                       
#SEG. 1:                     ,30›C/10.0(K/min)/100›C                       
#SEG. 2:                     ,100›C/00:10/100›C                            
#SEG. 3:                     ,100›C/5.0(K/min)/300›C                       
#SEG. 4:                     ,300›C/20:00/300›C                            
#SEG. 5:                     ,300›C/20.0(K/min)/800›C                      

##Temp./›C,Time/min,Mass/%,Sensit./(uV/mW),Segment
 25.63600,   0.00000,    100.00000,0.92268,1
 25.86800,   0.04000,     99.86640,0.92273,1
 26.04900,   0.08000,     99.79715,0.92277,1
 26.24200,   0.12000,     99.63585,0.92281,1
 26.41200,   0.16000,     99.51141,0.92285,1
 26.59500,   0.20000,     99.39857,0.92288,1
 26.77300,   0.24000,     99.29267,0.92292,1
 26.92800,   0.28000,     99.22587,0.92295,1
 27.10400,   0.32000,     99.13360,0.92299,1
 27.25800,   0.36000,     99.05071,0.92302,1
 27.41600,   0.40000,     99.00000,0.92305,1
 27.58100,   0.44000,     98.94460,0.92309,1
 27.72100,   0.48000,     98.93544,0.92311,1
 27.87300,   0.52000,     98.90081,0.92314,1
 28.02100,   0.56000,     98.88024,0.92317,1
 28.16500,   0.60000,     98.85255,0.92320,1
 28.33700,   0.64000,     98.85255,0.92324,1
 28.48600,   0.68000,     98.85255,0.92327,1
 28.63900,   0.72000,     98.85255,0.92330,1
 28.80000,   0.76000,     98.82485,0.92333,1
 28.95200,   0.80000,     98.82485,0.92336,1
 29.11100,   0.84000,     98.82485,0.92339,1
 29.27400,   0.88000,     98.82485,0.92342,1
 29.44600,   0.92000,     98.83177,0.92345,1
 29.60000,   0.96000,     98.85255,0.92348,1
 29.78100,   1.00000,     98.88024,0.92351,1
 29.95400,   1.04000,     98.91018,0.92355,1
 30.11200,   1.08000,     98.94012,0.92357,1
 30.29000,   1.12000,     98.96782,0.92361,1
 30.48100,   1.16000,     98.99776,0.92364,1
 30.65000,   1.20000,     99.08065,0.92367,1
 30.85200,   1.24000,     99.11283,0.92371,1
 31.04100,   1.28000,     99.14277,0.92374,1
 31.22400,   1.32000,     99.17515,0.92378,1
 31.40800,   1.36000,     99.20733,0.92381,1
 31.62800,   1.40000,     99.25336,0.92385,1
 31.81300,   1.44000,     99.30183,0.92388,1
 32.02600,   1.48000,     99.33401,0.92392,1
 32.22600,   1.52000,     99.36640,0.92395,1
 32.44200,   1.56000,     99.42159,0.92399,1
 32.66300,   1.60000,     99.46538,0.92402,1
 32.86800,   1.64000,     99.53218,0.92406,1
 33.08400,   1.68000,     99.58289,0.92409,1
 33.28400,   1.72000,     99.63585,0.92413,1
 33.52500,   1.76000,     99.66578,0.92417,1
 33.73700,   1.80000,     99.52525,0.92420,1
 33.97200,   1.84000,     96.64277,0.92424,1
 34.17800,   1.88000,     92.58513,0.92427,1
 34.41300,   1.92000,     91.86171,0.92431,1
 34.63500,   1.96000,     91.35703,0.92434,1
 34.86400,   2.00000,     91.04379,0.92438,1
 35.11200,   2.04000,     90.89389,0.92442,1
 35.34000,   2.08000,     90.88697,0.92445,1
 35.56300,   2.12000,     90.86640,0.92448,1
 35.79900,   2.16000,     90.89389,0.92452,1
 36.04200,   2.20000,     90.93544,0.92455,1
 36.30800,   2.24000,     90.98839,0.92459,1
 36.53200,   2.28000,     91.02077,0.92462,1
 36.79300,   2.32000,     91.05519,0.92466,1
 37.01900,   2.36000,     91.11507,0.92469,1
 37.27200,   2.40000,     91.14969,0.92473,1
 37.53800,   2.44000,     91.21650,0.92476,1
 37.78100,   2.48000,     91.30183,0.92480,1
 38.02500,   2.52000,     91.39857,0.92483,1
