#EXPORTTYPE:                 ,DATA ALL                                  
#FILE:                       ,2025_08_17_SL_PS_Container_Dynamic.ngb-ss5
#FORMAT:                     ,NETZSCH5                                  
#FTYPE:                      ,ASCII                                     
#IDENTITY:                   ,PS-Container                              
#DECIMAL:                    ,POINT                                     
#SEPARATOR:                  ,COMMA                                     
#MTYPE:                      ,TIC                                       
#INSTRUMENT:                 ,NETZSCH STA 449F5                         
#PROJECT:                    ,                                          
#DATE/TIME:                  ,8/17/2025 12:32:47 PM (UTC-4)             
#CORR. FILE:                 ,                                          
#TEMPCAL:                    ,05-05-2025 14:38                          
#SENSITIVITY:                ,28-06-2023 13:53                          
#LABORATORY:                 ,Tran/AAG                                  
#OPERATOR:                   ,Stanley                                   
#REMARK:                     ,2025_03_20_Styrofoam_dynamic              
#SAMPLE:                     ,PS-Container                              
#SAMPLE MASS /mg:            ,5.15                                      
#MATERIAL:                   ,Polystyrene                               
#REFERENCE:                  ,                                          
#REFERENCE MASS /mg:         ,0                                         
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                         
#SAMPLE CRUCIBLE MASS /mg:   ,0                                         
#REFERENCE CRUCIBLE MASS /mg:,0                                         
#DSC RANGE /‘V:              ,5000                                      
#TG RANGE /mg:               ,35000                                     
                             ,                                          

##Temp./›C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 29.93500,  0.01000,1.125671e-10,1.719189e-09,1.816750e-10,6.884575e-10,1.225758e-11,2.314472e-11,6.886482e-12,7.754326e-12,8.778572e-12,9.551048e-12,1.204777e-11,1.931095e-11,1.028892e-10,3.880984e-09,1.168251e-10,9.077555e-11,1.514255e-10,3.836924e-09,1.549625e-11,1.567364e-11,2.263069e-12,2.663612e-12,2.360344e-12,3.090858e-12,6.260872e-12,1.616031e-10,2.669334e-12,6.966590e-12,2.139091e-12,2.908802e-11,2.118111e-12,1.780510e-12,1.669884e-12,2.484322e-12,1.601219e-12,1.589775e-12,1.549721e-12,1.517296e-12,1.568794e-12,1.595497e-12,1.477242e-12,1.496315e-12,1.484871e-12,1.500130e-12,1.482963e-12,1.454353e-12,1.475334e-12,1.484871e-12,1.450539e-12,1.463890e-12,1.452446e-12,1.467705e-12,1.429558e-12,1.402855e-12,1.473427e-12,1.416206e-12,1.389503e-12,1.385689e-12,1.431465e-12,1.393318e-12,1.412392e-12,1.404762e-12,1.399040e-12,1.362801e-12,1.372337e-12,1.427650e-12,1.366615e-12,1.465797e-12,1.343727e-12,1.338005e-12,1.406670e-12,1.360893e-12,1.347542e-12,1.374245e-12,1.349449e-12,1.381874e-12,1.324654e-12,1.297951e-12,1.355171e-12,1.338005e-12,1.318932e-12,1.336098e-12,1.271248e-12,1.339912e-12,1.358986e-12,1.338005e-12,1.320839e-12,1.313210e-12,1.347542e-12,1.311302e-12,1.318932e-12,1.318932e-12,1.296043e-12,1.276970e-12,1.273155e-12,1.292229e-12,1.252174e-12,1.280785e-12,1.275063e-12,1.257896e-12,1.265526e-12,1.227379e-12,1.294136e-12,1.280785e-12,1.204491e-12,1.244545e-12,1.231194e-12,1.233101e-12,1.294136e-12,1.223564e-12,1.229286e-12,1.189232e-12,1.210213e-12,1.273155e-12,1.208305e-12,1.181602e-12,1.219749e-12,1.177788e-12,1.204491e-12,1.204491e-12,1.219749e-12,1.175880e-12,1.208305e-12,1.233101e-12,1.212120e-12,1.175880e-12,1.145363e-12,1.173973e-12,1.166344e-12,1.172066e-12,1.164436e-12,1.152992e-12,1.181602e-12,1.139641e-12,1.147270e-12,1.149178e-12
 30.19600,  0.17934,1.134559e-10,1.719952e-09,1.805305e-10,6.888390e-10,1.236439e-11,2.320957e-11,6.920814e-12,7.956504e-12,8.744240e-12,9.543419e-12,1.203823e-11,1.930141e-11,1.027614e-10,3.883272e-09,1.172066e-10,9.089952e-11,1.492950e-10,3.833109e-09,1.547337e-11,1.585483e-11,2.211571e-12,2.638817e-12,2.253532e-12,3.127098e-12,6.230354e-12,1.618797e-10,2.669334e-12,7.063866e-12,2.223015e-12,2.931881e-11,2.110481e-12,1.799583e-12,1.648903e-12,2.436638e-12,1.627922e-12,1.605034e-12,1.528740e-12,1.585960e-12,1.568794e-12,1.559257e-12,1.557350e-12,1.517296e-12,1.454353e-12,1.496315e-12,1.467705e-12,1.463890e-12,1.469612e-12,1.473427e-12,1.399040e-12,1.441002e-12,1.452446e-12,1.393318e-12,1.406670e-12,1.460075e-12,1.341820e-12,1.378059e-12,1.410484e-12,1.431465e-12,1.435280e-12,1.404762e-12,1.431465e-12,1.412392e-12,1.385689e-12,1.442909e-12,1.402855e-12,1.374245e-12,1.395226e-12,1.402855e-12,1.442909e-12,1.418114e-12,1.322746e-12,1.368523e-12,1.355171e-12,1.368523e-12,1.366615e-12,1.368523e-12,1.301765e-12,1.360893e-12,1.378059e-12,1.378059e-12,1.328468e-12,1.318932e-12,1.339912e-12,1.360893e-12,1.313210e-12,1.395226e-12,1.311302e-12,1.341820e-12,1.311302e-12,1.326561e-12,1.276970e-12,1.328468e-12,1.275063e-12,1.263618e-12,1.261711e-12,1.301765e-12,1.263618e-12,1.288414e-12,1.294136e-12,1.280785e-12,1.235008e-12,1.227379e-12,1.254082e-12,1.284599e-12,1.242638e-12,1.246452e-12,1.172066e-12,1.223564e-12,1.235008e-12,1.250267e-12,1.257896e-12,1.168251e-12,1.210213e-12,1.282692e-12,1.225471e-12,1.202583e-12,1.160622e-12,1.198769e-12,1.168251e-12,1.208305e-12,1.227379e-12,1.170158e-12,1.147270e-12,1.221657e-12,1.145363e-12,1.183510e-12,1.158714e-12,1.170158e-12,1.191139e-12,1.151085e-12,1.179695e-12,1.147270e-12,1.111031e-12,1.177788e-12,1.133919e-12,1.130104e-12
 30.58500,  0.34892,1.131221e-10,1.723957e-09,1.830101e-10,6.897927e-10,1.237202e-11,2.302647e-11,6.850243e-12,7.842064e-12,8.694648e-12,9.535789e-12,1.209736e-11,1.930332e-11,1.021930e-10,3.874689e-09,1.172066e-10,9.068018e-11,1.514598e-10,3.846079e-09,1.544094e-11,1.569271e-11,2.226829e-12,2.640724e-12,2.327919e-12,3.134727e-12,6.163597e-12,1.617386e-10,2.659798e-12,6.949425e-12,2.198219e-12,2.929592e-11,2.167702e-12,1.793861e-12,1.641273e-12,2.467155e-12,1.597404e-12,1.608849e-12,1.538277e-12,1.564979e-12,1.536369e-12,1.612663e-12,1.513481e-12,1.542091e-12,1.543999e-12,1.460075e-12,1.505852e-12,1.502037e-12,1.461983e-12,1.486778e-12,1.425743e-12,1.448631e-12,1.446724e-12,1.433372e-12,1.425743e-12,1.410484e-12,1.444817e-12,1.418114e-12,1.429558e-12,1.448631e-12,1.418114e-12,1.404762e-12,1.420021e-12,1.406670e-12,1.399040e-12,1.391411e-12,1.366615e-12,1.393318e-12,1.404762e-12,1.349449e-12,1.360893e-12,1.370430e-12,1.345634e-12,1.416206e-12,1.311302e-12,1.290321e-12,1.332283e-12,1.339912e-12,1.332283e-12,1.360893e-12,1.376152e-12,1.307487e-12,1.338005e-12,1.307487e-12,1.311302e-12,1.347542e-12,1.349449e-12,1.275063e-12,1.328468e-12,1.296043e-12,1.252174e-12,1.322746e-12,1.278877e-12,1.257896e-12,1.282692e-12,1.343727e-12,1.252174e-12,1.265526e-12,1.267433e-12,1.358986e-12,1.292229e-12,1.276970e-12,1.280785e-12,1.299858e-12,1.250267e-12,1.315117e-12,1.223564e-12,1.246452e-12,1.189232e-12,1.267433e-12,1.242638e-12,1.267433e-12,1.240730e-12,1.181602e-12,1.193047e-12,1.225471e-12,1.156807e-12,1.193047e-12,1.210213e-12,1.261711e-12,1.206398e-12,1.202583e-12,1.151085e-12,1.177788e-12,1.208305e-12,1.191139e-12,1.200676e-12,1.145363e-12,1.187325e-12,1.154900e-12,1.194954e-12,1.120567e-12,1.191139e-12,1.137733e-12,1.132011e-12,1.158714e-12,1.185417e-12,1.135826e-12
 30.83100,  0.51451,1.130668e-10,1.720905e-09,1.824379e-10,6.894112e-10,1.220417e-11,2.293301e-11,6.884575e-12,7.815361e-12,8.688926e-12,9.604454e-12,1.210690e-11,1.927471e-11,1.020633e-10,3.865153e-09,1.168251e-10,9.093767e-11,1.509868e-10,3.864199e-09,1.543903e-11,1.590824e-11,2.284050e-12,2.669334e-12,2.234459e-12,3.096581e-12,6.165504e-12,1.618511e-10,2.655983e-12,6.964683e-12,2.177238e-12,2.909374e-11,2.062797e-12,1.790047e-12,1.631737e-12,2.499580e-12,1.574516e-12,1.629829e-12,1.563072e-12,1.568794e-12,1.505852e-12,1.576424e-12,1.488686e-12,1.521110e-12,1.477242e-12,1.513481e-12,1.444817e-12,1.488686e-12,1.479149e-12,1.503944e-12,1.473427e-12,1.431465e-12,1.503944e-12,1.444817e-12,1.429558e-12,1.410484e-12,1.400948e-12,1.427650e-12,1.395226e-12,1.383781e-12,1.446724e-12,1.423836e-12,1.389503e-12,1.387596e-12,1.379967e-12,1.421928e-12,1.320839e-12,1.347542e-12,1.397133e-12,1.397133e-12,1.381874e-12,1.379967e-12,1.332283e-12,1.338005e-12,1.345634e-12,1.334190e-12,1.362801e-12,1.372337e-12,1.353264e-12,1.345634e-12,1.334190e-12,1.273155e-12,1.341820e-12,1.244545e-12,1.309395e-12,1.347542e-12,1.294136e-12,1.317024e-12,1.339912e-12,1.282692e-12,1.305580e-12,1.275063e-12,1.299858e-12,1.255989e-12,1.269340e-12,1.242638e-12,1.292229e-12,1.208305e-12,1.233101e-12,1.284599e-12,1.286507e-12,1.259804e-12,1.320839e-12,1.286507e-12,1.255989e-12,1.223564e-12,1.257896e-12,1.233101e-12,1.248360e-12,1.206398e-12,1.282692e-12,1.244545e-12,1.196861e-12,1.200676e-12,1.225471e-12,1.267433e-12,1.210213e-12,1.173973e-12,1.202583e-12,1.248360e-12,1.194954e-12,1.202583e-12,1.172066e-12,1.212120e-12,1.158714e-12,1.132011e-12,1.204491e-12,1.158714e-12,1.170158e-12,1.175880e-12,1.149178e-12,1.147270e-12,1.132011e-12,1.116753e-12,1.177788e-12,1.132011e-12,1.152992e-12,1.101494e-12
 31.19200,  0.68735,1.133605e-10,1.722050e-09,1.826286e-10,6.915092e-10,1.226139e-11,2.327251e-11,6.886482e-12,7.861137e-12,8.826256e-12,9.583473e-12,1.216602e-11,1.934338e-11,1.037971e-10,3.880984e-09,1.173973e-10,9.144503e-11,1.502772e-10,3.842837e-09,1.532078e-11,1.574993e-11,2.228737e-12,2.648354e-12,2.301216e-12,3.138542e-12,6.310463e-12,1.617729e-10,2.705574e-12,7.004738e-12,2.173424e-12,2.878475e-11,2.140999e-12,1.770973e-12,1.658440e-12,2.532005e-12,1.646995e-12,1.582146e-12,1.534462e-12,1.576424e-12,1.521110e-12,1.671791e-12,1.559257e-12,1.526833e-12,1.524925e-12,1.542091e-12,1.454353e-12,1.490593e-12,1.473427e-12,1.460075e-12,1.452446e-12,1.465797e-12,1.435280e-12,1.444817e-12,1.425743e-12,1.469612e-12,1.433372e-12,1.404762e-12,1.439095e-12,1.393318e-12,1.410484e-12,1.442909e-12,1.435280e-12,1.347542e-12,1.416206e-12,1.372337e-12,1.370430e-12,1.345634e-12,1.345634e-12,1.406670e-12,1.397133e-12,1.410484e-12,1.349449e-12,1.381874e-12,1.341820e-12,1.326561e-12,1.336098e-12,1.355171e-12,1.381874e-12,1.320839e-12,1.351356e-12,1.303673e-12,1.378059e-12,1.328468e-12,1.280785e-12,1.347542e-12,1.294136e-12,1.347542e-12,1.309395e-12,1.297951e-12,1.284599e-12,1.263618e-12,1.292229e-12,1.288414e-12,1.286507e-12,1.332283e-12,1.275063e-12,1.317024e-12,1.303673e-12,1.229286e-12,1.244545e-12,1.311302e-12,1.303673e-12,1.257896e-12,1.210213e-12,1.252174e-12,1.263618e-12,1.250267e-12,1.206398e-12,1.223564e-12,1.267433e-12,1.210213e-12,1.259804e-12,1.198769e-12,1.246452e-12,1.250267e-12,1.198769e-12,1.225471e-12,1.212120e-12,1.200676e-12,1.217842e-12,1.217842e-12,1.198769e-12,1.185417e-12,1.204491e-12,1.183510e-12,1.128197e-12,1.154900e-12,1.236916e-12,1.206398e-12,1.168251e-12,1.133919e-12,1.160622e-12,1.200676e-12,1.185417e-12,1.132011e-12,1.196861e-12,1.185417e-12
 31.43900,  0.85688,1.138545e-10,1.724911e-09,1.824379e-10,6.886482e-10,1.230526e-11,2.294636e-11,6.911278e-12,7.922172e-12,8.767128e-12,9.554863e-12,1.211262e-11,1.948071e-11,1.019088e-10,3.882700e-09,1.168251e-10,9.137827e-11,1.523086e-10,3.842264e-09,1.558018e-11,1.575184e-11,2.249718e-12,2.619743e-12,2.232552e-12,3.069877e-12,6.217003e-12,1.617500e-10,2.701759e-12,7.021904e-12,2.194405e-12,2.868748e-11,2.066612e-12,1.736641e-12,1.643181e-12,2.539635e-12,1.606941e-12,1.599312e-12,1.528740e-12,1.536369e-12,1.540184e-12,1.612663e-12,1.559257e-12,1.557350e-12,1.519203e-12,1.511574e-12,1.439095e-12,1.463890e-12,1.446724e-12,1.433372e-12,1.479149e-12,1.467705e-12,1.465797e-12,1.391411e-12,1.484871e-12,1.446724e-12,1.421928e-12,1.437187e-12,1.370430e-12,1.383781e-12,1.416206e-12,1.395226e-12,1.362801e-12,1.372337e-12,1.355171e-12,1.408577e-12,1.345634e-12,1.385689e-12,1.372337e-12,1.404762e-12,1.391411e-12,1.355171e-12,1.330376e-12,1.381874e-12,1.374245e-12,1.355171e-12,1.324654e-12,1.357079e-12,1.364708e-12,1.383781e-12,1.322746e-12,1.330376e-12,1.334190e-12,1.301765e-12,1.338005e-12,1.318932e-12,1.345634e-12,1.273155e-12,1.320839e-12,1.284599e-12,1.318932e-12,1.301765e-12,1.275063e-12,1.290321e-12,1.296043e-12,1.280785e-12,1.322746e-12,1.324654e-12,1.271248e-12,1.296043e-12,1.261711e-12,1.265526e-12,1.254082e-12,1.208305e-12,1.299858e-12,1.250267e-12,1.210213e-12,1.221657e-12,1.200676e-12,1.257896e-12,1.160622e-12,1.221657e-12,1.255989e-12,1.189232e-12,1.238823e-12,1.238823e-12,1.149178e-12,1.198769e-12,1.194954e-12,1.210213e-12,1.225471e-12,1.200676e-12,1.196861e-12,1.196861e-12,1.147270e-12,1.202583e-12,1.183510e-12,1.128197e-12,1.170158e-12,1.183510e-12,1.170158e-12,1.147270e-12,1.135826e-12,1.105309e-12,1.198769e-12,1.229286e-12,1.120567e-12,1.097679e-12
 31.75300,  1.02640,1.142741e-10,1.731396e-09,1.826286e-10,6.890297e-10,1.227856e-11,2.324581e-11,6.987572e-12,7.782936e-12,8.725166e-12,9.453773e-12,1.213360e-11,1.941585e-11,1.019775e-10,3.877932e-09,1.170158e-10,9.105974e-11,1.516696e-10,3.830821e-09,1.544094e-11,1.583195e-11,2.268791e-12,2.623558e-12,2.219200e-12,3.127098e-12,6.196022e-12,1.620457e-10,2.648354e-12,7.044792e-12,2.160072e-12,2.841091e-11,2.196312e-12,1.770973e-12,1.614571e-12,2.606392e-12,1.597404e-12,1.530647e-12,1.578331e-12,1.517296e-12,1.614571e-12,1.563072e-12,1.540184e-12,1.543999e-12,1.481056e-12,1.515388e-12,1.437187e-12,1.441002e-12,1.456261e-12,1.418114e-12,1.437187e-12,1.469612e-12,1.463890e-12,1.414299e-12,1.402855e-12,1.461983e-12,1.444817e-12,1.425743e-12,1.441002e-12,1.441002e-12,1.427650e-12,1.395226e-12,1.393318e-12,1.324654e-12,1.368523e-12,1.338005e-12,1.408577e-12,1.423836e-12,1.379967e-12,1.399040e-12,1.399040e-12,1.397133e-12,1.385689e-12,1.362801e-12,1.343727e-12,1.364708e-12,1.370430e-12,1.378059e-12,1.343727e-12,1.368523e-12,1.320839e-12,1.303673e-12,1.353264e-12,1.284599e-12,1.328468e-12,1.307487e-12,1.320839e-12,1.347542e-12,1.254082e-12,1.244545e-12,1.315117e-12,1.309395e-12,1.307487e-12,1.332283e-12,1.275063e-12,1.320839e-12,1.343727e-12,1.261711e-12,1.259804e-12,1.267433e-12,1.276970e-12,1.257896e-12,1.229286e-12,1.267433e-12,1.259804e-12,1.250267e-12,1.257896e-12,1.233101e-12,1.271248e-12,1.255989e-12,1.276970e-12,1.235008e-12,1.252174e-12,1.183510e-12,1.193047e-12,1.206398e-12,1.168251e-12,1.202583e-12,1.200676e-12,1.170158e-12,1.198769e-12,1.202583e-12,1.210213e-12,1.196861e-12,1.191139e-12,1.177788e-12,1.152992e-12,1.212120e-12,1.172066e-12,1.198769e-12,1.194954e-12,1.164436e-12,1.202583e-12,1.179695e-12,1.139641e-12,1.177788e-12,1.130104e-12,1.133919e-12
 31.97000,  1.19137,1.146365e-10,1.717281e-09,1.812935e-10,6.897927e-10,1.229000e-11,2.320576e-11,6.985664e-12,7.702827e-12,8.809090e-12,9.617805e-12,1.212215e-11,1.916409e-11,1.020366e-10,3.878886e-09,1.172066e-10,9.133440e-11,1.531135e-10,3.828722e-09,1.532078e-11,1.583767e-11,2.312660e-12,2.629280e-12,2.293587e-12,3.178596e-12,6.196022e-12,1.619942e-10,2.610207e-12,7.000923e-12,2.202034e-12,2.813244e-11,2.169609e-12,1.748085e-12,1.652718e-12,2.497673e-12,1.595497e-12,1.549721e-12,1.555443e-12,1.530647e-12,1.547813e-12,1.614571e-12,1.488686e-12,1.566887e-12,1.452446e-12,1.528740e-12,1.515388e-12,1.458168e-12,1.515388e-12,1.475334e-12,1.402855e-12,1.429558e-12,1.416206e-12,1.441002e-12,1.429558e-12,1.481056e-12,1.399040e-12,1.406670e-12,1.406670e-12,1.404762e-12,1.418114e-12,1.379967e-12,1.435280e-12,1.469612e-12,1.389503e-12,1.345634e-12,1.374245e-12,1.416206e-12,1.374245e-12,1.355171e-12,1.391411e-12,1.374245e-12,1.397133e-12,1.418114e-12,1.357079e-12,1.322746e-12,1.313210e-12,1.362801e-12,1.357079e-12,1.299858e-12,1.263618e-12,1.273155e-12,1.358986e-12,1.282692e-12,1.296043e-12,1.320839e-12,1.294136e-12,1.288414e-12,1.292229e-12,1.303673e-12,1.231194e-12,1.341820e-12,1.290321e-12,1.324654e-12,1.278877e-12,1.276970e-12,1.265526e-12,1.299858e-12,1.259804e-12,1.286507e-12,1.280785e-12,1.238823e-12,1.254082e-12,1.299858e-12,1.273155e-12,1.244545e-12,1.210213e-12,1.261711e-12,1.275063e-12,1.236916e-12,1.179695e-12,1.202583e-12,1.227379e-12,1.235008e-12,1.235008e-12,1.244545e-12,1.206398e-12,1.191139e-12,1.202583e-12,1.194954e-12,1.177788e-12,1.217842e-12,1.261711e-12,1.221657e-12,1.198769e-12,1.111031e-12,1.240730e-12,1.168251e-12,1.160622e-12,1.120567e-12,1.143455e-12,1.124382e-12,1.151085e-12,1.130104e-12,1.133919e-12,1.156807e-12,1.132011e-12,1.152992e-12
 32.25300,  1.35646,1.144172e-10,1.719189e-09,1.809120e-10,6.890297e-10,1.216602e-11,2.301502e-11,6.981850e-12,7.876396e-12,8.696556e-12,9.524345e-12,1.207638e-11,1.938534e-11,1.045581e-10,3.885180e-09,1.170158e-10,9.141451e-11,1.524097e-10,3.845126e-09,1.548672e-11,1.579189e-11,2.209663e-12,2.541542e-12,2.348900e-12,3.073692e-12,6.243706e-12,1.620018e-10,2.701759e-12,6.937981e-12,2.152443e-12,2.807331e-11,2.093315e-12,1.729011e-12,1.645088e-12,2.465248e-12,1.639366e-12,1.612663e-12,1.509666e-12,1.612663e-12,1.530647e-12,1.597404e-12,1.517296e-12,1.513481e-12,1.553535e-12,1.479149e-12,1.532555e-12,1.511574e-12,1.482963e-12,1.492500e-12,1.477242e-12,1.454353e-12,1.458168e-12,1.477242e-12,1.437187e-12,1.391411e-12,1.461983e-12,1.410484e-12,1.431465e-12,1.381874e-12,1.381874e-12,1.378059e-12,1.433372e-12,1.379967e-12,1.395226e-12,1.339912e-12,1.372337e-12,1.421928e-12,1.381874e-12,1.379967e-12,1.400948e-12,1.416206e-12,1.364708e-12,1.374245e-12,1.347542e-12,1.351356e-12,1.383781e-12,1.370430e-12,1.296043e-12,1.336098e-12,1.294136e-12,1.303673e-12,1.349449e-12,1.317024e-12,1.326561e-12,1.297951e-12,1.315117e-12,1.235008e-12,1.315117e-12,1.296043e-12,1.313210e-12,1.275063e-12,1.324654e-12,1.271248e-12,1.250267e-12,1.309395e-12,1.309395e-12,1.214027e-12,1.275063e-12,1.284599e-12,1.275063e-12,1.261711e-12,1.246452e-12,1.254082e-12,1.255989e-12,1.233101e-12,1.255989e-12,1.202583e-12,1.235008e-12,1.217842e-12,1.284599e-12,1.212120e-12,1.219749e-12,1.181602e-12,1.227379e-12,1.242638e-12,1.229286e-12,1.183510e-12,1.185417e-12,1.206398e-12,1.194954e-12,1.172066e-12,1.166344e-12,1.185417e-12,1.191139e-12,1.179695e-12,1.177788e-12,1.170158e-12,1.149178e-12,1.133919e-12,1.175880e-12,1.139641e-12,1.172066e-12,1.183510e-12,1.154900e-12,1.137733e-12,1.137733e-12,1.082420e-12
 32.52000,  1.52835,1.133662e-10,1.722813e-09,1.824379e-10,6.917000e-10,1.230526e-11,2.304172e-11,6.922722e-12,7.819176e-12,8.810997e-12,9.528160e-12,1.209354e-11,1.942921e-11,1.030246e-10,3.870493e-09,1.170158e-10,9.113413e-11,1.515113e-10,3.851611e-09,1.540661e-11,1.576328e-11,2.200127e-12,2.621651e-12,2.299309e-12,3.201485e-12,6.203651e-12,1.616165e-10,2.652168e-12,7.027626e-12,2.129555e-12,2.809811e-11,2.106666e-12,1.713753e-12,1.593590e-12,2.490044e-12,1.595497e-12,1.584053e-12,1.566887e-12,1.616478e-12,1.570702e-12,1.585960e-12,1.509666e-12,1.540184e-12,1.494408e-12,1.456261e-12,1.503944e-12,1.503944e-12,1.505852e-12,1.471519e-12,1.444817e-12,1.492500e-12,1.448631e-12,1.482963e-12,1.416206e-12,1.435280e-12,1.416206e-12,1.460075e-12,1.446724e-12,1.433372e-12,1.408577e-12,1.362801e-12,1.421928e-12,1.431465e-12,1.305580e-12,1.383781e-12,1.332283e-12,1.383781e-12,1.397133e-12,1.355171e-12,1.343727e-12,1.406670e-12,1.347542e-12,1.372337e-12,1.368523e-12,1.379967e-12,1.334190e-12,1.395226e-12,1.334190e-12,1.357079e-12,1.280785e-12,1.339912e-12,1.322746e-12,1.338005e-12,1.303673e-12,1.276970e-12,1.307487e-12,1.364708e-12,1.290321e-12,1.320839e-12,1.320839e-12,1.296043e-12,1.307487e-12,1.290321e-12,1.280785e-12,1.257896e-12,1.242638e-12,1.317024e-12,1.290321e-12,1.280785e-12,1.263618e-12,1.238823e-12,1.221657e-12,1.267433e-12,1.233101e-12,1.215935e-12,1.263618e-12,1.273155e-12,1.191139e-12,1.235008e-12,1.212120e-12,1.194954e-12,1.250267e-12,1.271248e-12,1.227379e-12,1.202583e-12,1.215935e-12,1.233101e-12,1.208305e-12,1.204491e-12,1.235008e-12,1.164436e-12,1.223564e-12,1.229286e-12,1.170158e-12,1.235008e-12,1.166344e-12,1.175880e-12,1.208305e-12,1.132011e-12,1.166344e-12,1.172066e-12,1.170158e-12,1.185417e-12,1.191139e-12,1.149178e-12,1.162529e-12,1.147270e-12
