#EXPORTTYPE:                 ,DATA ALL                                  
#FILE:                       ,2025_08_17_SL_PS_Container_Dynamic.ngb-ss5
#FORMAT:                     ,NETZSCH5                                  
#FTYPE:                      ,ASCII                                     
#IDENTITY:                   ,PS-Container                              
#DECIMAL:                    ,POINT                                     
#SEPARATOR:                  ,COMMA                                     
#MTYPE:                      ,TG                                        
#INSTRUMENT:                 ,NETZSCH STA 449F5                         
#PROJECT:                    ,                                          
#DATE/TIME:                  ,8/17/2025 12:32:47 PM (UTC-4)             
#CORR. FILE:                 ,                                          
#TEMPCAL:                    ,05-05-2025 14:38                          
#SENSITIVITY:                ,28-06-2023 13:53                          
#LABORATORY:                 ,Tran/AAG                                  
#OPERATOR:                   ,Stanley                                   
#REMARK:                     ,2025_03_20_Styrofoam_dynamic              
#SAMPLE:                     ,PS-Container                              
#SAMPLE MASS /mg:            ,5.15                                      
#MATERIAL:                   ,Polystyrene                               
#REFERENCE:                  ,                                          
#REFERENCE MASS /mg:         ,0                                         
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                         
#SAMPLE CRUCIBLE MASS /mg:   ,0                                         
#REFERENCE CRUCIBLE MASS /mg:,0                                         
#DSC RANGE /‘V:              ,5000                                      
#TG RANGE /mg:               ,35000                                     
#TAU-R:                      ,---                                       
#CORR. CODE:                 ,000                                       
#EXO:                        ,-1                                        
#RANGE:                      ,20›C....800›C/0.0....20.0K/min            
#SEGMENT:                    ,S1-4/4                                    
#SEG. 1:                     ,20›C/5.0(K/min)/100›C                     
#SEG. 2:                     ,100›C/00:05/100›C                         
#SEG. 3:                     ,100›C/1.0(K/min)/400›C                    
#SEG. 4:                     ,400›C/20.0(K/min)/800›C                   

##Temp./›C,Time/min,Mass/%,Sensit./(uV/mW),Segment
 30.07900,  0.00000,    100.00000,0.92357,1
 30.19600,  0.06667,     99.96913,0.92359,1
 30.33800,  0.13333,     99.93398,0.92362,1
 30.46100,  0.20000,     99.93398,0.92364,1
 30.58500,  0.26667,     99.90777,0.92366,1
 30.70800,  0.33333,     99.88136,0.92368,1
 30.83100,  0.40000,     99.85495,0.92371,1
 30.94800,  0.46667,     99.82854,0.92373,1
 31.07300,  0.53333,     99.82854,0.92375,1
 31.19200,  0.60000,     99.82854,0.92377,1
 31.30500,  0.66667,     98.96311,0.92379,1
 31.43900,  0.73333,     92.83417,0.92381,1
 31.55300,  0.80000,     91.85864,0.92383,1
 31.65500,  0.86667,     91.41942,0.92385,1
 31.75300,  0.93333,     91.25689,0.92387,1
 31.86400,  1.00000,     91.22155,0.92389,1
 31.97000,  1.06667,     91.24796,0.92391,1
 32.06600,  1.13333,     91.24796,0.92392,1
 32.16800,  1.20000,     91.24796,0.92394,1
 32.25300,  1.26667,     91.24796,0.92395,1
 32.33600,  1.33333,     91.24796,0.92397,1
 32.41700,  1.40000,     91.26117,0.92398,1
 32.52000,  1.46667,     91.29417,0.92400,1
 32.61400,  1.53333,     91.34466,0.92402,1
 32.69600,  1.60000,     91.39301,0.92403,1
 32.78000,  1.66667,     91.44796,0.92404,1
 32.84900,  1.73333,     91.44796,0.92406,1
 32.94700,  1.80000,     91.49398,0.92407,1
 33.00500,  1.86667,     91.50058,0.92408,1
 33.08500,  1.93333,     91.52699,0.92409,1
 33.15900,  2.00000,     91.55340,0.92411,1
 33.24100,  2.06667,     91.57981,0.92412,1
 33.30300,  2.13333,     91.57981,0.92413,1
 33.38600,  2.20000,     91.57981,0.92414,1
 33.45900,  2.26667,     91.57981,0.92416,1
