#EXPORTTYPE:                 ,DATA ALL                                        
#FILE:                       ,2025_08_21_SL_PS_Cup_Lid_SCF3_Isothermal.ngb-ss5
#FORMAT:                     ,NETZSCH5                                        
#FTYPE:                      ,ASCII                                           
#IDENTITY:                   ,PS-CUP-LID-SCF3                                 
#DECIMAL:                    ,POINT                                           
#SEPARATOR:                  ,COMMA                                           
#MTYPE:                      ,TG                                              
#INSTRUMENT:                 ,NETZSCH STA 449F5                               
#PROJECT:                    ,NO2                                             
#DATE/TIME:                  ,8/21/2025 9:04:38 AM (UTC-4)                    
#CORR. FILE:                 ,                                                
#TEMPCAL:                    ,05-05-2025 14:38                                
#SENSITIVITY:                ,28-06-2023 13:53                                
#LABORATORY:                 ,Seferos                                         
#OPERATOR:                   ,Peter                                           
#REMARK:                     ,2025_03_29_SL_005d_M1_isothermal                
#SAMPLE:                     ,PS-CUP-LID-SCF3                                 
#SAMPLE MASS /mg:            ,4.58                                            
#MATERIAL:                   ,Polystyrene                                     
#REFERENCE:                  ,                                                
#REFERENCE MASS /mg:         ,0                                               
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                               
#SAMPLE CRUCIBLE MASS /mg:   ,0                                               
#REFERENCE CRUCIBLE MASS /mg:,0                                               
#DSC RANGE /‘V:              ,5000                                            
#TG RANGE /mg:               ,35000                                           
#TAU-R:                      ,---                                             
#CORR. CODE:                 ,000                                             
#EXO:                        ,-1                                              
#RANGE:                      ,30›C....800›C/0.0....20.0K/min                  
#SEGMENT:                    ,S1-5/5                                          
#SEG. 1:                     ,30›C/10.0(K/min)/100›C                          
#SEG. 2:                     ,100›C/00:10/100›C                               
#SEG. 3:                     ,100›C/5.0(K/min)/300›C                          
#SEG. 4:                     ,300›C/20:00/300›C                               
#SEG. 5:                     ,300›C/20.0(K/min)/800›C                         

##Temp./›C,Time/min,Mass/%,Sensit./(uV/mW),Segment
 27.81500,   0.00000,    100.00000,0.92313,1
 27.94200,   0.04000,     99.92096,0.92316,1
 28.04900,   0.08000,     99.85677,0.92318,1
 28.15900,   0.12000,     99.74323,0.92320,1
 28.26400,   0.16000,     99.74323,0.92322,1
 28.36800,   0.20000,     99.71354,0.92324,1
 28.47800,   0.24000,     99.68144,0.92326,1
 28.57400,   0.28000,     99.65175,0.92328,1
 28.68200,   0.32000,     99.65175,0.92330,1
 28.78000,   0.36000,     99.61965,0.92332,1
 28.88600,   0.40000,     99.58996,0.92334,1
 29.00500,   0.44000,     99.58996,0.92337,1
 29.10500,   0.48000,     99.58996,0.92339,1
 29.19400,   0.52000,     99.58996,0.92340,1
 29.30700,   0.56000,     99.58996,0.92342,1
 29.43300,   0.60000,     99.58996,0.92345,1
 29.54100,   0.64000,     99.61965,0.92347,1
 29.67200,   0.68000,     99.62707,0.92349,1
 29.78600,   0.72000,     99.66659,0.92351,1
 29.91900,   0.76000,     99.69127,0.92354,1
 30.03000,   0.80000,     99.72096,0.92356,1
 30.15500,   0.84000,     99.78275,0.92358,1
 30.29100,   0.88000,     99.81725,0.92361,1
 30.43500,   0.92000,     99.87402,0.92363,1
 30.57800,   0.96000,     99.93821,0.92366,1
 30.72000,   1.00000,    100.01485,0.92369,1
 30.89000,   1.04000,    100.05437,0.92372,1
 31.03300,   1.08000,    100.08406,0.92374,1
 31.18500,   1.12000,    100.16812,0.92377,1
 31.33400,   1.16000,    100.10131,0.92380,1
 31.49500,   1.20000,     96.17620,0.92382,1
 31.65600,   1.24000,     91.19891,0.92385,1
 31.82500,   1.28000,     90.46026,0.92388,1
 31.99300,   1.32000,     90.09956,0.92391,1
 32.18000,   1.36000,     89.97620,0.92394,1
 32.34600,   1.40000,     89.91921,0.92397,1
 32.53400,   1.44000,     89.91179,0.92400,1
 32.70900,   1.48000,     89.91179,0.92403,1
