#EXPORTTYPE:                 ,DATA ALL                                     
#FILE:                       ,2025_08_22_SL_PS_Cup_Lid_SCF3_Dynamic.ngb-ss5
#FORMAT:                     ,NETZSCH5                                     
#FTYPE:                      ,ASCII                                        
#IDENTITY:                   ,PS-Cup-Lid-SCF3                              
#DECIMAL:                    ,POINT                                        
#SEPARATOR:                  ,COMMA                                        
#MTYPE:                      ,TIC                                          
#INSTRUMENT:                 ,NETZSCH STA 449F5                            
#PROJECT:                    ,Polystyrene                                  
#DATE/TIME:                  ,8/22/2025 5:43:50 PM (UTC-4)                 
#CORR. FILE:                 ,                                             
#TEMPCAL:                    ,05-05-2025 14:38                             
#SENSITIVITY:                ,28-06-2023 13:53                             
#LABORATORY:                 ,Tran/AAG                                     
#OPERATOR:                   ,Stanley                                      
#REMARK:                     ,2025_03_20_Styrofoam_dynamic                 
#SAMPLE:                     ,PS-Cup-Lid-SCF3                              
#SAMPLE MASS /mg:            ,3.26                                         
#MATERIAL:                   ,Polystyrene                                  
#REFERENCE:                  ,                                             
#REFERENCE MASS /mg:         ,0                                            
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                            
#SAMPLE CRUCIBLE MASS /mg:   ,0                                            
#REFERENCE CRUCIBLE MASS /mg:,0                                            
#DSC RANGE /‘V:              ,5000                                         
#TG RANGE /mg:               ,35000                                        
                             ,                                             

##Temp./›C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 27.99100,  0.01023,1.063347e-10,1.614284e-09,1.252174e-10,4.630089e-10,9.751320e-12,2.046680e-11,6.743431e-12,7.618904e-12,8.343696e-12,9.261131e-12,1.162624e-11,1.821804e-11,8.814913e-11,3.259760e-09,9.064966e-11,8.359629e-11,1.379081e-10,3.414065e-09,1.342487e-11,1.423168e-11,2.221107e-12,2.638817e-12,2.308845e-12,3.081322e-12,5.999565e-12,1.454478e-10,2.568245e-12,6.638527e-12,2.140999e-12,2.663898e-11,2.041817e-12,1.841545e-12,1.587868e-12,2.383232e-12,1.618385e-12,1.610756e-12,1.532555e-12,1.563072e-12,1.587868e-12,1.570702e-12,1.534462e-12,1.561165e-12,1.538277e-12,1.482963e-12,1.532555e-12,1.473427e-12,1.473427e-12,1.481056e-12,1.461983e-12,1.481056e-12,1.509666e-12,1.437187e-12,1.484871e-12,1.502037e-12,1.475334e-12,1.515388e-12,1.431465e-12,1.402855e-12,1.414299e-12,1.389503e-12,1.477242e-12,1.441002e-12,1.431465e-12,1.404762e-12,1.402855e-12,1.406670e-12,1.425743e-12,1.397133e-12,1.404762e-12,1.454353e-12,1.364708e-12,1.421928e-12,1.391411e-12,1.339912e-12,1.362801e-12,1.406670e-12,1.318932e-12,1.347542e-12,1.370430e-12,1.370430e-12,1.358986e-12,1.336098e-12,1.338005e-12,1.355171e-12,1.349449e-12,1.303673e-12,1.297951e-12,1.297951e-12,1.288414e-12,1.307487e-12,1.284599e-12,1.345634e-12,1.313210e-12,1.288414e-12,1.379967e-12,1.292229e-12,1.317024e-12,1.271248e-12,1.322746e-12,1.322746e-12,1.315117e-12,1.271248e-12,1.244545e-12,1.299858e-12,1.296043e-12,1.263618e-12,1.261711e-12,1.273155e-12,1.248360e-12,1.246452e-12,1.252174e-12,1.225471e-12,1.233101e-12,1.231194e-12,1.250267e-12,1.236916e-12,1.248360e-12,1.212120e-12,1.273155e-12,1.242638e-12,1.210213e-12,1.225471e-12,1.238823e-12,1.191139e-12,1.210213e-12,1.242638e-12,1.191139e-12,1.141548e-12,1.215935e-12,1.185417e-12,1.158714e-12,1.151085e-12,1.170158e-12,1.187325e-12,1.189232e-12,1.179695e-12
 28.42800,  0.18109,1.094733e-10,1.625156e-09,1.255989e-10,4.649162e-10,9.707451e-12,2.038479e-11,6.663322e-12,7.576943e-12,8.564949e-12,9.264946e-12,1.175594e-11,1.820850e-11,9.072214e-11,3.262049e-09,9.084231e-11,8.369356e-11,1.355659e-10,3.423792e-09,1.348019e-11,1.432133e-11,2.264976e-12,2.612114e-12,2.341270e-12,3.045082e-12,6.012916e-12,1.452209e-10,2.537727e-12,6.590843e-12,2.150536e-12,2.656269e-11,2.049446e-12,1.812935e-12,1.624107e-12,2.427101e-12,1.601219e-12,1.618385e-12,1.576424e-12,1.536369e-12,1.576424e-12,1.629829e-12,1.580238e-12,1.545906e-12,1.551628e-12,1.528740e-12,1.530647e-12,1.536369e-12,1.505852e-12,1.475334e-12,1.519203e-12,1.526833e-12,1.490593e-12,1.437187e-12,1.463890e-12,1.446724e-12,1.458168e-12,1.408577e-12,1.450539e-12,1.431465e-12,1.450539e-12,1.433372e-12,1.395226e-12,1.427650e-12,1.425743e-12,1.402855e-12,1.446724e-12,1.364708e-12,1.435280e-12,1.370430e-12,1.414299e-12,1.469612e-12,1.387596e-12,1.385689e-12,1.379967e-12,1.423836e-12,1.341820e-12,1.364708e-12,1.315117e-12,1.355171e-12,1.330376e-12,1.305580e-12,1.336098e-12,1.288414e-12,1.345634e-12,1.326561e-12,1.343727e-12,1.364708e-12,1.334190e-12,1.328468e-12,1.349449e-12,1.345634e-12,1.275063e-12,1.259804e-12,1.297951e-12,1.313210e-12,1.303673e-12,1.288414e-12,1.290321e-12,1.320839e-12,1.246452e-12,1.317024e-12,1.276970e-12,1.254082e-12,1.276970e-12,1.259804e-12,1.255989e-12,1.254082e-12,1.214027e-12,1.233101e-12,1.284599e-12,1.271248e-12,1.231194e-12,1.263618e-12,1.231194e-12,1.263618e-12,1.208305e-12,1.194954e-12,1.183510e-12,1.269340e-12,1.191139e-12,1.250267e-12,1.250267e-12,1.248360e-12,1.194954e-12,1.198769e-12,1.229286e-12,1.164436e-12,1.191139e-12,1.198769e-12,1.204491e-12,1.156807e-12,1.173973e-12,1.223564e-12,1.133919e-12,1.172066e-12,1.168251e-12,1.130104e-12
 29.00800,  0.35277,1.090575e-10,1.620197e-09,1.257896e-10,4.670143e-10,9.814262e-12,2.045154e-11,6.733894e-12,7.616996e-12,8.511543e-12,9.156227e-12,1.169491e-11,1.823139e-11,8.944994e-11,3.275210e-09,9.098536e-11,8.335405e-11,1.389152e-10,3.425318e-09,1.351070e-11,1.419163e-11,2.337456e-12,2.560616e-12,2.289772e-12,3.073692e-12,6.096840e-12,1.448737e-10,2.552986e-12,6.651878e-12,2.158165e-12,2.641010e-11,2.083778e-12,1.791954e-12,1.677513e-12,2.430916e-12,1.683235e-12,1.597404e-12,1.618385e-12,1.561165e-12,1.551628e-12,1.626015e-12,1.603126e-12,1.498222e-12,1.566887e-12,1.511574e-12,1.492500e-12,1.469612e-12,1.482963e-12,1.484871e-12,1.471519e-12,1.461983e-12,1.427650e-12,1.498222e-12,1.475334e-12,1.482963e-12,1.460075e-12,1.418114e-12,1.397133e-12,1.446724e-12,1.399040e-12,1.399040e-12,1.444817e-12,1.439095e-12,1.400948e-12,1.385689e-12,1.425743e-12,1.338005e-12,1.383781e-12,1.408577e-12,1.391411e-12,1.379967e-12,1.393318e-12,1.349449e-12,1.351356e-12,1.307487e-12,1.336098e-12,1.364708e-12,1.362801e-12,1.370430e-12,1.358986e-12,1.364708e-12,1.318932e-12,1.366615e-12,1.320839e-12,1.313210e-12,1.299858e-12,1.343727e-12,1.343727e-12,1.358986e-12,1.278877e-12,1.353264e-12,1.290321e-12,1.280785e-12,1.328468e-12,1.292229e-12,1.257896e-12,1.324654e-12,1.252174e-12,1.322746e-12,1.288414e-12,1.301765e-12,1.225471e-12,1.265526e-12,1.269340e-12,1.326561e-12,1.263618e-12,1.255989e-12,1.290321e-12,1.278877e-12,1.265526e-12,1.204491e-12,1.217842e-12,1.214027e-12,1.240730e-12,1.263618e-12,1.229286e-12,1.236916e-12,1.257896e-12,1.189232e-12,1.254082e-12,1.225471e-12,1.210213e-12,1.210213e-12,1.210213e-12,1.214027e-12,1.204491e-12,1.168251e-12,1.193047e-12,1.185417e-12,1.200676e-12,1.181602e-12,1.172066e-12,1.202583e-12,1.183510e-12,1.166344e-12,1.147270e-12,1.120567e-12
 29.35700,  0.52345,1.086665e-10,1.615620e-09,1.257896e-10,4.679680e-10,9.703635e-12,2.054882e-11,6.749153e-12,7.493019e-12,8.542060e-12,9.251594e-12,1.165485e-11,1.819515e-11,8.993250e-11,3.260905e-09,9.047418e-11,8.352190e-11,1.365710e-10,3.427798e-09,1.356792e-11,1.430988e-11,2.270698e-12,2.636909e-12,2.278328e-12,3.088951e-12,5.946159e-12,1.452514e-10,2.577782e-12,6.590843e-12,2.188682e-12,2.632618e-11,2.133369e-12,1.852989e-12,1.667976e-12,2.472877e-12,1.620293e-12,1.597404e-12,1.564979e-12,1.526833e-12,1.591682e-12,1.585960e-12,1.517296e-12,1.553535e-12,1.482963e-12,1.505852e-12,1.532555e-12,1.534462e-12,1.517296e-12,1.465797e-12,1.488686e-12,1.507759e-12,1.446724e-12,1.505852e-12,1.460075e-12,1.456261e-12,1.452446e-12,1.465797e-12,1.427650e-12,1.402855e-12,1.444817e-12,1.412392e-12,1.416206e-12,1.385689e-12,1.410484e-12,1.383781e-12,1.391411e-12,1.425743e-12,1.400948e-12,1.374245e-12,1.408577e-12,1.496315e-12,1.437187e-12,1.416206e-12,1.372337e-12,1.362801e-12,1.313210e-12,1.372337e-12,1.339912e-12,1.328468e-12,1.379967e-12,1.360893e-12,1.334190e-12,1.315117e-12,1.358986e-12,1.326561e-12,1.357079e-12,1.351356e-12,1.296043e-12,1.273155e-12,1.309395e-12,1.338005e-12,1.296043e-12,1.311302e-12,1.313210e-12,1.326561e-12,1.307487e-12,1.296043e-12,1.267433e-12,1.261711e-12,1.235008e-12,1.296043e-12,1.275063e-12,1.225471e-12,1.259804e-12,1.275063e-12,1.265526e-12,1.292229e-12,1.275063e-12,1.269340e-12,1.267433e-12,1.244545e-12,1.244545e-12,1.275063e-12,1.261711e-12,1.238823e-12,1.223564e-12,1.217842e-12,1.189232e-12,1.246452e-12,1.173973e-12,1.233101e-12,1.181602e-12,1.242638e-12,1.187325e-12,1.187325e-12,1.177788e-12,1.154900e-12,1.206398e-12,1.122475e-12,1.189232e-12,1.196861e-12,1.196861e-12,1.145363e-12,1.156807e-12,1.126289e-12,1.143455e-12,1.156807e-12
 29.84900,  0.68932,1.088897e-10,1.625538e-09,1.259804e-10,4.664421e-10,9.659767e-12,2.051830e-11,6.808281e-12,7.584572e-12,8.484840e-12,9.329796e-12,1.163578e-11,1.829433e-11,9.018618e-11,3.270441e-09,9.073168e-11,8.337694e-11,1.384956e-10,3.426272e-09,1.350880e-11,1.418400e-11,2.196312e-12,2.604485e-12,2.295494e-12,3.060341e-12,5.867958e-12,1.451331e-10,2.556801e-12,6.634712e-12,2.226829e-12,2.596188e-11,2.072334e-12,1.767158e-12,1.637459e-12,2.430916e-12,1.591682e-12,1.620293e-12,1.568794e-12,1.631737e-12,1.536369e-12,1.656532e-12,1.532555e-12,1.500130e-12,1.564979e-12,1.465797e-12,1.507759e-12,1.452446e-12,1.492500e-12,1.488686e-12,1.490593e-12,1.465797e-12,1.467705e-12,1.431465e-12,1.484871e-12,1.452446e-12,1.425743e-12,1.435280e-12,1.450539e-12,1.448631e-12,1.442909e-12,1.408577e-12,1.379967e-12,1.444817e-12,1.395226e-12,1.427650e-12,1.385689e-12,1.427650e-12,1.385689e-12,1.421928e-12,1.408577e-12,1.379967e-12,1.400948e-12,1.400948e-12,1.368523e-12,1.427650e-12,1.378059e-12,1.378059e-12,1.357079e-12,1.368523e-12,1.433372e-12,1.391411e-12,1.334190e-12,1.351356e-12,1.357079e-12,1.372337e-12,1.315117e-12,1.353264e-12,1.303673e-12,1.292229e-12,1.317024e-12,1.324654e-12,1.324654e-12,1.339912e-12,1.303673e-12,1.358986e-12,1.326561e-12,1.219749e-12,1.332283e-12,1.301765e-12,1.309395e-12,1.233101e-12,1.271248e-12,1.290321e-12,1.315117e-12,1.290321e-12,1.240730e-12,1.242638e-12,1.265526e-12,1.288414e-12,1.221657e-12,1.223564e-12,1.250267e-12,1.206398e-12,1.246452e-12,1.235008e-12,1.254082e-12,1.217842e-12,1.235008e-12,1.214027e-12,1.191139e-12,1.204491e-12,1.214027e-12,1.156807e-12,1.223564e-12,1.206398e-12,1.214027e-12,1.242638e-12,1.170158e-12,1.193047e-12,1.206398e-12,1.217842e-12,1.210213e-12,1.152992e-12,1.187325e-12,1.202583e-12,1.175880e-12,1.166344e-12
 30.15100,  0.86243,1.103336e-10,1.620007e-09,1.255989e-10,4.672051e-10,9.667396e-12,2.039242e-11,6.762504e-12,7.573128e-12,8.477211e-12,9.387016e-12,1.166820e-11,1.817226e-11,9.071642e-11,3.270441e-09,9.079653e-11,8.327585e-11,1.369315e-10,3.435046e-09,1.354313e-11,1.431179e-11,2.329826e-12,2.617836e-12,2.329826e-12,3.033638e-12,5.990028e-12,1.448489e-10,2.560616e-12,6.711006e-12,2.137184e-12,2.598667e-11,1.999855e-12,1.749992e-12,1.692772e-12,2.430916e-12,1.608849e-12,1.627922e-12,1.656532e-12,1.589775e-12,1.570702e-12,1.616478e-12,1.553535e-12,1.547813e-12,1.513481e-12,1.545906e-12,1.513481e-12,1.494408e-12,1.475334e-12,1.461983e-12,1.486778e-12,1.433372e-12,1.441002e-12,1.444817e-12,1.515388e-12,1.442909e-12,1.505852e-12,1.488686e-12,1.441002e-12,1.450539e-12,1.374245e-12,1.433372e-12,1.427650e-12,1.379967e-12,1.423836e-12,1.454353e-12,1.420021e-12,1.381874e-12,1.355171e-12,1.420021e-12,1.376152e-12,1.416206e-12,1.364708e-12,1.336098e-12,1.376152e-12,1.326561e-12,1.381874e-12,1.303673e-12,1.372337e-12,1.376152e-12,1.332283e-12,1.379967e-12,1.418114e-12,1.309395e-12,1.320839e-12,1.334190e-12,1.338005e-12,1.336098e-12,1.338005e-12,1.301765e-12,1.299858e-12,1.297951e-12,1.326561e-12,1.309395e-12,1.334190e-12,1.280785e-12,1.328468e-12,1.290321e-12,1.286507e-12,1.299858e-12,1.265526e-12,1.263618e-12,1.296043e-12,1.307487e-12,1.318932e-12,1.269340e-12,1.242638e-12,1.244545e-12,1.276970e-12,1.297951e-12,1.231194e-12,1.223564e-12,1.276970e-12,1.221657e-12,1.231194e-12,1.175880e-12,1.244545e-12,1.198769e-12,1.193047e-12,1.210213e-12,1.198769e-12,1.215935e-12,1.221657e-12,1.225471e-12,1.240730e-12,1.215935e-12,1.166344e-12,1.208305e-12,1.193047e-12,1.170158e-12,1.233101e-12,1.187325e-12,1.221657e-12,1.172066e-12,1.158714e-12,1.133919e-12,1.147270e-12,1.212120e-12
 30.59100,  1.03559,1.096450e-10,1.625729e-09,1.250267e-10,4.662514e-10,9.686470e-12,2.050876e-11,6.758690e-12,7.470130e-12,8.543968e-12,9.261131e-12,1.164722e-11,1.829624e-11,9.104448e-11,3.270441e-09,9.060961e-11,8.328539e-11,1.387702e-10,3.417879e-09,1.345539e-11,1.438045e-11,2.230644e-12,2.596855e-12,2.289772e-12,3.033638e-12,6.028175e-12,1.448013e-10,2.518654e-12,6.640434e-12,2.215385e-12,2.573109e-11,2.020836e-12,1.790047e-12,1.646995e-12,2.417564e-12,1.616478e-12,1.601219e-12,1.633644e-12,1.553535e-12,1.572609e-12,1.610756e-12,1.585960e-12,1.566887e-12,1.509666e-12,1.513481e-12,1.530647e-12,1.458168e-12,1.500130e-12,1.500130e-12,1.456261e-12,1.492500e-12,1.490593e-12,1.456261e-12,1.458168e-12,1.414299e-12,1.494408e-12,1.479149e-12,1.469612e-12,1.381874e-12,1.393318e-12,1.429558e-12,1.460075e-12,1.381874e-12,1.418114e-12,1.399040e-12,1.423836e-12,1.406670e-12,1.381874e-12,1.412392e-12,1.406670e-12,1.431465e-12,1.395226e-12,1.397133e-12,1.372337e-12,1.383781e-12,1.368523e-12,1.378059e-12,1.357079e-12,1.349449e-12,1.349449e-12,1.326561e-12,1.349449e-12,1.393318e-12,1.343727e-12,1.336098e-12,1.381874e-12,1.349449e-12,1.273155e-12,1.334190e-12,1.336098e-12,1.366615e-12,1.292229e-12,1.267433e-12,1.276970e-12,1.286507e-12,1.290321e-12,1.294136e-12,1.276970e-12,1.236916e-12,1.269340e-12,1.280785e-12,1.296043e-12,1.288414e-12,1.248360e-12,1.229286e-12,1.265526e-12,1.242638e-12,1.242638e-12,1.305580e-12,1.250267e-12,1.259804e-12,1.326561e-12,1.250267e-12,1.225471e-12,1.215935e-12,1.252174e-12,1.240730e-12,1.217842e-12,1.185417e-12,1.217842e-12,1.212120e-12,1.215935e-12,1.185417e-12,1.191139e-12,1.240730e-12,1.179695e-12,1.206398e-12,1.143455e-12,1.212120e-12,1.181602e-12,1.194954e-12,1.194954e-12,1.181602e-12,1.162529e-12,1.177788e-12,1.133919e-12,1.145363e-12
 31.01500,  1.20631,1.093723e-10,1.616955e-09,1.257896e-10,4.670143e-10,9.646416e-12,2.048969e-11,6.739616e-12,7.630348e-12,8.559227e-12,9.289741e-12,1.155949e-11,1.831913e-11,8.937937e-11,3.265864e-09,9.027201e-11,8.292490e-11,1.390163e-10,3.427225e-09,1.358318e-11,1.423550e-11,2.282143e-12,2.579689e-12,2.306938e-12,3.060341e-12,5.953789e-12,1.450359e-10,2.537727e-12,6.697655e-12,2.137184e-12,2.559566e-11,2.081871e-12,1.776695e-12,1.666069e-12,2.411842e-12,1.601219e-12,1.576424e-12,1.608849e-12,1.582146e-12,1.555443e-12,1.605034e-12,1.599312e-12,1.500130e-12,1.545906e-12,1.519203e-12,1.542091e-12,1.542091e-12,1.475334e-12,1.547813e-12,1.456261e-12,1.475334e-12,1.460075e-12,1.473427e-12,1.477242e-12,1.471519e-12,1.496315e-12,1.437187e-12,1.444817e-12,1.399040e-12,1.513481e-12,1.442909e-12,1.446724e-12,1.374245e-12,1.376152e-12,1.379967e-12,1.395226e-12,1.402855e-12,1.387596e-12,1.387596e-12,1.435280e-12,1.429558e-12,1.383781e-12,1.389503e-12,1.322746e-12,1.420021e-12,1.383781e-12,1.357079e-12,1.357079e-12,1.341820e-12,1.357079e-12,1.410484e-12,1.347542e-12,1.332283e-12,1.341820e-12,1.368523e-12,1.402855e-12,1.360893e-12,1.254082e-12,1.273155e-12,1.362801e-12,1.332283e-12,1.311302e-12,1.305580e-12,1.351356e-12,1.282692e-12,1.317024e-12,1.294136e-12,1.313210e-12,1.254082e-12,1.282692e-12,1.322746e-12,1.273155e-12,1.265526e-12,1.294136e-12,1.305580e-12,1.255989e-12,1.238823e-12,1.280785e-12,1.204491e-12,1.257896e-12,1.276970e-12,1.233101e-12,1.227379e-12,1.229286e-12,1.244545e-12,1.236916e-12,1.204491e-12,1.221657e-12,1.204491e-12,1.233101e-12,1.286507e-12,1.194954e-12,1.219749e-12,1.187325e-12,1.212120e-12,1.185417e-12,1.187325e-12,1.179695e-12,1.240730e-12,1.189232e-12,1.173973e-12,1.187325e-12,1.168251e-12,1.149178e-12,1.173973e-12,1.168251e-12,1.193047e-12
 31.26000,  1.37782,1.086513e-10,1.620579e-09,1.255989e-10,4.670143e-10,9.715080e-12,2.035427e-11,6.724358e-12,7.557868e-12,8.448600e-12,9.350776e-12,1.178455e-11,1.827526e-11,9.001833e-11,3.282648e-09,9.050852e-11,8.359057e-11,1.395675e-10,3.428942e-09,1.344967e-11,1.424885e-11,2.228737e-12,2.568245e-12,2.314568e-12,3.102302e-12,6.024361e-12,1.449424e-10,2.541542e-12,6.638527e-12,2.179146e-12,2.545452e-11,2.089500e-12,1.770973e-12,1.666069e-12,2.459526e-12,1.591682e-12,1.603126e-12,1.559257e-12,1.553535e-12,1.589775e-12,1.626015e-12,1.526833e-12,1.553535e-12,1.511574e-12,1.519203e-12,1.532555e-12,1.488686e-12,1.503944e-12,1.494408e-12,1.452446e-12,1.467705e-12,1.463890e-12,1.437187e-12,1.494408e-12,1.471519e-12,1.410484e-12,1.441002e-12,1.414299e-12,1.475334e-12,1.437187e-12,1.395226e-12,1.416206e-12,1.456261e-12,1.402855e-12,1.395226e-12,1.444817e-12,1.421928e-12,1.431465e-12,1.431465e-12,1.431465e-12,1.418114e-12,1.343727e-12,1.381874e-12,1.372337e-12,1.341820e-12,1.387596e-12,1.364708e-12,1.355171e-12,1.383781e-12,1.349449e-12,1.330376e-12,1.376152e-12,1.303673e-12,1.339912e-12,1.347542e-12,1.351356e-12,1.257896e-12,1.338005e-12,1.343727e-12,1.336098e-12,1.297951e-12,1.275063e-12,1.290321e-12,1.347542e-12,1.318932e-12,1.282692e-12,1.271248e-12,1.284599e-12,1.255989e-12,1.309395e-12,1.265526e-12,1.303673e-12,1.246452e-12,1.303673e-12,1.215935e-12,1.294136e-12,1.265526e-12,1.238823e-12,1.275063e-12,1.261711e-12,1.217842e-12,1.227379e-12,1.242638e-12,1.236916e-12,1.265526e-12,1.193047e-12,1.242638e-12,1.185417e-12,1.202583e-12,1.219749e-12,1.223564e-12,1.173973e-12,1.257896e-12,1.214027e-12,1.229286e-12,1.164436e-12,1.175880e-12,1.210213e-12,1.132011e-12,1.217842e-12,1.217842e-12,1.164436e-12,1.145363e-12,1.135826e-12,1.198769e-12,1.105309e-12,1.162529e-12
 31.60300,  1.55442,1.092616e-10,1.617336e-09,1.248360e-10,4.673958e-10,9.745598e-12,2.048588e-11,6.751060e-12,7.634162e-12,8.519172e-12,9.192466e-12,1.161671e-11,1.817608e-11,9.031587e-11,3.270060e-09,9.062678e-11,8.367639e-11,1.358291e-10,3.421694e-09,1.356411e-11,1.423740e-11,2.243996e-12,2.627373e-12,2.270698e-12,3.060341e-12,5.938530e-12,1.449462e-10,2.545357e-12,6.619453e-12,2.152443e-12,2.536297e-11,2.076149e-12,1.828194e-12,1.725197e-12,2.430916e-12,1.633644e-12,1.614571e-12,1.561165e-12,1.585960e-12,1.605034e-12,1.635551e-12,1.568794e-12,1.570702e-12,1.543999e-12,1.484871e-12,1.481056e-12,1.528740e-12,1.486778e-12,1.505852e-12,1.473427e-12,1.446724e-12,1.463890e-12,1.458168e-12,1.471519e-12,1.488686e-12,1.463890e-12,1.421928e-12,1.437187e-12,1.473427e-12,1.446724e-12,1.444817e-12,1.444817e-12,1.404762e-12,1.414299e-12,1.412392e-12,1.399040e-12,1.381874e-12,1.397133e-12,1.429558e-12,1.420021e-12,1.420021e-12,1.379967e-12,1.376152e-12,1.336098e-12,1.423836e-12,1.374245e-12,1.353264e-12,1.349449e-12,1.385689e-12,1.370430e-12,1.399040e-12,1.341820e-12,1.336098e-12,1.357079e-12,1.339912e-12,1.343727e-12,1.288414e-12,1.324654e-12,1.343727e-12,1.357079e-12,1.360893e-12,1.313210e-12,1.303673e-12,1.286507e-12,1.328468e-12,1.307487e-12,1.269340e-12,1.286507e-12,1.303673e-12,1.284599e-12,1.292229e-12,1.221657e-12,1.240730e-12,1.286507e-12,1.240730e-12,1.286507e-12,1.267433e-12,1.250267e-12,1.240730e-12,1.206398e-12,1.271248e-12,1.221657e-12,1.204491e-12,1.238823e-12,1.248360e-12,1.261711e-12,1.288414e-12,1.221657e-12,1.183510e-12,1.202583e-12,1.208305e-12,1.204491e-12,1.194954e-12,1.255989e-12,1.181602e-12,1.172066e-12,1.177788e-12,1.200676e-12,1.183510e-12,1.229286e-12,1.168251e-12,1.143455e-12,1.154900e-12,1.145363e-12,1.139641e-12,1.135826e-12,1.145363e-12
