#EXPORTTYPE:                 ,DATA ALL                                     
#FILE:                       ,2025_08_22_SL_PS_Cup_Lid_SCF3_Dynamic.ngb-ss5
#FORMAT:                     ,NETZSCH5                                     
#FTYPE:                      ,ASCII                                        
#IDENTITY:                   ,PS-Cup-Lid-SCF3                              
#DECIMAL:                    ,POINT                                        
#SEPARATOR:                  ,COMMA                                        
#MTYPE:                      ,DSC                                          
#INSTRUMENT:                 ,NETZSCH STA 449F5                            
#PROJECT:                    ,Polystyrene                                  
#DATE/TIME:                  ,8/22/2025 5:43:50 PM (UTC-4)                 
#CORR. FILE:                 ,                                             
#TEMPCAL:                    ,05-05-2025 14:38                             
#SENSITIVITY:                ,28-06-2023 13:53                             
#LABORATORY:                 ,Tran/AAG                                     
#OPERATOR:                   ,Stanley                                      
#REMARK:                     ,2025_03_20_Styrofoam_dynamic                 
#SAMPLE:                     ,PS-Cup-Lid-SCF3                              
#SAMPLE MASS /mg:            ,3.26                                         
#MATERIAL:                   ,Polystyrene                                  
#REFERENCE:                  ,                                             
#REFERENCE MASS /mg:         ,0                                            
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                            
#SAMPLE CRUCIBLE MASS /mg:   ,0                                            
#REFERENCE CRUCIBLE MASS /mg:,0                                            
#DSC RANGE /‘V:              ,5000                                         
#TG RANGE /mg:               ,35000                                        
#TAU-R:                      ,---                                          
#CORR. CODE:                 ,000                                          
#EXO:                        ,-1                                           
#RANGE:                      ,20›C....800›C/0.0....20.0K/min               
#SEGMENT:                    ,S1-4/4                                       
#SEG. 1:                     ,20›C/5.0(K/min)/100›C                        
#SEG. 2:                     ,100›C/00:05/100›C                            
#SEG. 3:                     ,100›C/1.0(K/min)/400›C                       
#SEG. 4:                     ,400›C/20.0(K/min)/800›C                      

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 28.24600,  0.00000,      0.84084,    100.00000,50.00000,54.00000,            ,0.92322,1
 28.42800,  0.06667,      0.81191,     99.76380,50.00000,54.00000,9.847795e-09,0.92322,1
 28.63200,  0.13333,      0.78425,     99.65644,50.00000,53.00000,9.876227e-09,0.92325,1
 28.82400,  0.20000,      0.75431,     99.56626,50.00000,53.00000,9.876227e-09,0.92325,1
 29.00800,  0.26667,      0.72589,     99.47945,50.00000,53.00000,9.876227e-09,0.92325,1
 29.18200,  0.33333,      0.70179,     99.43436,50.00000,53.00000,9.889026e-09,0.92329,1
 29.35700,  0.40000,      0.67414,     99.38221,50.00000,53.00000,9.889026e-09,0.92329,1
 29.52500,  0.46667,      0.65055,     99.29540,50.00000,52.00000,9.871287e-09,0.92333,1
 29.69900,  0.53333,      0.62772,     99.25368,50.00000,52.00000,9.871287e-09,0.92333,1
 29.84900,  0.60000,      0.60920,     99.21227,50.00000,52.00000,9.871287e-09,0.92333,1
 30.00700,  0.66667,      0.58688,     99.17055,50.00000,52.00000,9.890197e-09,0.92337,1
 30.15100,  0.73333,      0.56887,     99.12883,50.00000,52.00000,9.890197e-09,0.92337,1
 30.30800,  0.80000,      0.55086,     99.09755,50.00000,51.00000,9.893825e-09,0.92340,1
 30.44800,  0.86667,      0.53438,     99.04571,50.00000,51.00000,9.893825e-09,0.92340,1
 30.59100,  0.93333,      0.51764,     99.02485,50.00000,51.00000,9.893825e-09,0.92340,1
 30.73900,  1.00000,      0.50268,     99.00399,50.00000,51.00000,9.881779e-09,0.92343,1
 30.87500,  1.06667,      0.48695,     98.96227,50.00000,51.00000,9.881779e-09,0.92343,1
 31.01500,  1.13333,      0.47225,     98.95184,50.00000,50.00000,9.877465e-09,0.92347,1
 31.15200,  1.20000,      0.45830,     98.92055,50.00000,50.00000,9.877465e-09,0.92347,1
 31.26000,  1.26667,      0.44410,     95.75920,50.00000,50.00000,9.877465e-09,0.92347,1
 31.39100,  1.33333,      0.42991,     85.43129,50.00000,50.00000,9.899848e-09,0.92350,1
 31.51900,  1.40000,      0.41774,     84.15767,50.00000,50.00000,9.899848e-09,0.92350,1
 31.60300,  1.46667,      0.40405,     83.71350,50.00000,50.00000,9.873943e-09,0.92353,1
 31.73500,  1.53333,      0.39289,     83.50184,50.00000,51.00000,9.873943e-09,0.92353,1
 31.83500,  1.60000,      0.38199,     83.50184,50.00000,51.00000,9.873943e-09,0.92353,1
 31.95300,  1.66667,      0.36780,     83.54356,50.00000,51.00000,9.885595e-09,0.92356,1
 32.04100,  1.73333,      0.35690,     83.68589,50.00000,51.00000,9.885595e-09,0.92356,1
 32.12900,  1.80000,      0.34575,     83.90798,50.00000,51.00000,9.885595e-09,0.92356,1
 32.21300,  1.86667,      0.33359,     84.15767,50.00000,51.00000,9.902389e-09,0.92358,1
 32.31400,  1.93333,      0.32345,     84.36595,50.00000,51.00000,9.902389e-09,0.92358,1
 32.39300,  2.00000,      0.31230,     84.61595,50.00000,51.00000,9.874300e-09,0.92361,1
 32.48200,  2.06667,      0.30090,     84.75123,50.00000,51.00000,9.874300e-09,0.92361,1
 32.58000,  2.13333,      0.28975,     84.93497,50.00000,51.00000,9.874300e-09,0.92361,1
 32.65800,  2.20000,      0.28164,     85.09479,50.00000,51.00000,9.889377e-09,0.92364,1
 32.73200,  2.26667,      0.27303,     85.21963,50.00000,51.00000,9.889377e-09,0.92364,1
 32.83900,  2.33333,      0.26390,     85.35491,50.00000,51.00000,9.883205e-09,0.92366,1
 32.90900,  2.40000,      0.25605,     85.39663,50.00000,51.00000,9.883205e-09,0.92366,1
 32.99800,  2.46667,      0.24895,     85.48681,50.00000,51.00000,9.883205e-09,0.92366,1
 33.07100,  2.53333,      0.24262,     85.52853,50.00000,51.00000,9.888168e-09,0.92369,1
 33.15600,  2.60000,      0.23704,     85.52853,50.00000,51.00000,9.888168e-09,0.92369,1
 33.24300,  2.66667,      0.23071,     85.62577,50.00000,51.00000,9.878512e-09,0.92371,1
 33.29400,  2.73333,      0.22843,     85.67086,50.00000,51.00000,9.878512e-09,0.92371,1
 33.37300,  2.80000,      0.22336,     85.67086,50.00000,51.00000,9.878512e-09,0.92371,1
 33.46400,  2.86667,      0.22133,     85.70215,50.00000,51.00000,9.866062e-09,0.92374,1
 33.56100,  2.93333,      0.21829,     85.71258,50.00000,51.00000,9.866062e-09,0.92374,1
 33.62100,  3.00000,      0.21803,     85.71258,50.00000,51.00000,9.867598e-09,0.92376,1
 33.71000,  3.06667,      0.21701,     85.71258,50.00000,51.00000,9.867598e-09,0.92376,1
 33.80100,  3.13333,      0.21676,     85.67086,50.00000,51.00000,9.867598e-09,0.92376,1
 33.87200,  3.20000,      0.21903,     85.62914,50.00000,51.00000,9.861854e-09,0.92378,1
 33.95600,  3.26667,      0.22156,     85.62914,50.00000,51.00000,9.861854e-09,0.92378,1
 34.06100,  3.33333,      0.22485,     85.62914,50.00000,51.00000,9.869084e-09,0.92381,1
 34.13600,  3.40000,      0.22941,     85.66043,50.00000,51.00000,9.869084e-09,0.92381,1
 34.24400,  3.46667,      0.23447,     85.61534,50.00000,51.00000,9.869084e-09,0.92381,1
 34.34600,  3.53333,      0.23927,     85.61534,50.00000,51.00000,9.876286e-09,0.92383,1
 34.44400,  3.60000,      0.24484,     85.61534,50.00000,51.00000,9.876286e-09,0.92383,1
 34.54400,  3.66667,      0.25192,     85.57362,50.00000,51.00000,9.878365e-09,0.92384,1
 34.65900,  3.73333,      0.26053,     85.57362,50.00000,51.00000,9.878365e-09,0.92384,1
 34.75900,  3.80000,      0.26736,     85.57362,50.00000,51.00000,9.878365e-09,0.92384,1
 34.87400,  3.86667,      0.27773,     85.57362,50.00000,51.00000,9.876739e-09,0.92387,1
 34.99500,  3.93333,      0.28861,     85.61534,50.00000,51.00000,9.876739e-09,0.92387,1
 35.10900,  4.00000,      0.29696,     85.59448,50.00000,51.00000,9.867994e-09,0.92388,1
 35.22800,  4.06667,      0.30835,     85.58405,50.00000,51.00000,9.867994e-09,0.92388,1
 35.37200,  4.13333,      0.32049,     85.58405,50.00000,51.00000,9.867994e-09,0.92388,1
 35.50300,  4.20000,      0.33289,     85.60491,50.00000,51.00000,9.858087e-09,0.92390,1
 35.62300,  4.26667,      0.34428,     85.66718,50.00000,51.00000,9.858087e-09,0.92390,1
 35.77500,  4.33333,      0.35718,     85.66718,50.00000,51.00000,9.868318e-09,0.92392,1
 35.91800,  4.40000,      0.37160,     85.66718,50.00000,51.00000,9.868318e-09,0.92392,1
 36.07000,  4.46667,      0.38349,     85.66718,50.00000,51.00000,9.868318e-09,0.92392,1
 36.20800,  4.53333,      0.39791,     85.70890,50.00000,51.00000,9.868145e-09,0.92393,1
 36.35300,  4.60000,      0.41182,     85.75399,50.00000,51.00000,9.868145e-09,0.92393,1
 36.53000,  4.66667,      0.42725,     85.79571,50.00000,51.00000,9.868145e-09,0.92393,1
 36.68000,  4.73333,      0.44369,     85.79571,50.00000,51.00000,9.876127e-09,0.92395,1
 36.85300,  4.80000,      0.45937,     85.79571,50.00000,51.00000,9.876127e-09,0.92395,1
 37.02400,  4.86667,      0.47252,     85.83742,50.00000,51.00000,9.899400e-09,0.92397,1
 37.18900,  4.93333,      0.48921,     85.85828,50.00000,51.00000,9.899400e-09,0.92397,1
 37.37400,  5.00000,      0.50565,     85.87914,50.00000,51.00000,9.899400e-09,0.92397,1
 37.55000,  5.06667,      0.52259,     85.92055,50.00000,51.00000,9.887467e-09,0.92398,1
 37.73400,  5.13333,      0.53624,     85.96227,50.00000,51.00000,9.887467e-09,0.92398,1
 37.92700,  5.20000,      0.55141,     86.00399,50.00000,51.00000,9.868002e-09,0.92399,1
 38.13400,  5.26667,      0.56835,     86.04571,50.00000,51.00000,9.868002e-09,0.92399,1
 38.34200,  5.33333,      0.58857,     86.07669,50.00000,51.00000,9.868002e-09,0.92399,1
 38.51200,  5.40000,      0.60071,     86.08712,50.00000,51.00000,9.890868e-09,0.92401,1
