#EXPORTTYPE:                 ,DATA ALL                                                           
#FILE:                       ,2025_08_23_SL_PS_Petri_Dish_SCF3_250721_P5EER2_V1_2_Dynamic.ngb-ss5
#FORMAT:                     ,NETZSCH5                                                           
#FTYPE:                      ,ASCII                                                              
#IDENTITY:                   ,PS-Petri-Dish-SCF3                                                 
#DECIMAL:                    ,POINT                                                              
#SEPARATOR:                  ,COMMA                                                              
#MTYPE:                      ,TIC                                                                
#INSTRUMENT:                 ,NETZSCH STA 449F5                                                  
#PROJECT:                    ,Polystyrene                                                        
#DATE/TIME:                  ,8/23/2025 10:46:43 AM (UTC-4)                                      
#CORR. FILE:                 ,                                                                   
#TEMPCAL:                    ,05-05-2025 14:38                                                   
#SENSITIVITY:                ,28-06-2023 13:53                                                   
#LABORATORY:                 ,Tran/AAG                                                           
#OPERATOR:                   ,Stanley                                                            
#REMARK:                     ,2025_03_20_Styrofoam_dynamic                                       
#SAMPLE:                     ,PS-Petri-Dish-SCF3                                                 
#SAMPLE MASS /mg:            ,4.5                                                                
#MATERIAL:                   ,Polystyrene                                                        
#REFERENCE:                  ,                                                                   
#REFERENCE MASS /mg:         ,0                                                                  
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                                                  
#SAMPLE CRUCIBLE MASS /mg:   ,0                                                                  
#REFERENCE CRUCIBLE MASS /mg:,0                                                                  
#DSC RANGE /‘V:              ,5000                                                               
#TG RANGE /mg:               ,35000                                                              
                             ,                                                                   

##Temp./›C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 31.30200,  0.01003,1.091071e-10,1.620007e-09,1.694679e-10,6.463051e-10,1.195049e-11,2.116299e-11,6.741524e-12,7.464408e-12,8.389473e-12,9.148598e-12,1.158237e-11,1.829052e-11,9.119898e-11,3.285891e-09,1.072884e-10,8.430010e-11,1.408397e-10,3.449923e-09,1.440144e-11,1.467609e-11,2.238274e-12,2.568245e-12,2.320290e-12,3.056526e-12,6.022453e-12,1.459018e-10,2.665520e-12,6.697655e-12,2.177238e-12,2.863789e-11,2.072334e-12,1.761436e-12,1.646995e-12,2.411842e-12,1.616478e-12,1.601219e-12,1.606941e-12,1.603126e-12,1.526833e-12,1.585960e-12,1.587868e-12,1.526833e-12,1.526833e-12,1.568794e-12,1.481056e-12,1.482963e-12,1.511574e-12,1.502037e-12,1.490593e-12,1.467705e-12,1.465797e-12,1.473427e-12,1.473427e-12,1.461983e-12,1.433372e-12,1.418114e-12,1.458168e-12,1.389503e-12,1.416206e-12,1.368523e-12,1.427650e-12,1.351356e-12,1.408577e-12,1.433372e-12,1.421928e-12,1.429558e-12,1.387596e-12,1.397133e-12,1.400948e-12,1.381874e-12,1.366615e-12,1.389503e-12,1.374245e-12,1.374245e-12,1.393318e-12,1.303673e-12,1.275063e-12,1.294136e-12,1.343727e-12,1.389503e-12,1.290321e-12,1.328468e-12,1.317024e-12,1.318932e-12,1.320839e-12,1.248360e-12,1.332283e-12,1.296043e-12,1.330376e-12,1.311302e-12,1.320839e-12,1.288414e-12,1.318932e-12,1.311302e-12,1.276970e-12,1.276970e-12,1.341820e-12,1.280785e-12,1.282692e-12,1.288414e-12,1.242638e-12,1.255989e-12,1.208305e-12,1.221657e-12,1.236916e-12,1.246452e-12,1.275063e-12,1.202583e-12,1.290321e-12,1.233101e-12,1.206398e-12,1.227379e-12,1.233101e-12,1.259804e-12,1.244545e-12,1.223564e-12,1.179695e-12,1.235008e-12,1.255989e-12,1.202583e-12,1.235008e-12,1.160622e-12,1.187325e-12,1.193047e-12,1.177788e-12,1.158714e-12,1.212120e-12,1.193047e-12,1.173973e-12,1.177788e-12,1.162529e-12,1.151085e-12,1.215935e-12,1.229286e-12,1.164436e-12,1.135826e-12
 31.55800,  0.18171,1.083976e-10,1.628590e-09,1.694679e-10,6.470680e-10,1.205921e-11,2.102566e-11,6.848335e-12,7.449150e-12,8.475304e-12,9.196281e-12,1.160145e-11,1.814556e-11,9.166437e-11,3.287798e-09,1.067162e-10,8.478266e-11,1.422435e-10,3.451258e-09,1.443386e-11,1.451206e-11,2.324104e-12,2.652168e-12,2.303123e-12,3.050804e-12,5.928993e-12,1.459018e-10,2.612114e-12,6.758690e-12,2.181053e-12,2.882481e-11,2.171516e-12,1.791954e-12,1.650810e-12,2.457619e-12,1.624107e-12,1.666069e-12,1.629829e-12,1.561165e-12,1.534462e-12,1.578331e-12,1.559257e-12,1.526833e-12,1.540184e-12,1.488686e-12,1.521110e-12,1.555443e-12,1.484871e-12,1.513481e-12,1.490593e-12,1.484871e-12,1.494408e-12,1.479149e-12,1.439095e-12,1.441002e-12,1.393318e-12,1.435280e-12,1.463890e-12,1.389503e-12,1.425743e-12,1.414299e-12,1.399040e-12,1.416206e-12,1.378059e-12,1.360893e-12,1.389503e-12,1.370430e-12,1.452446e-12,1.385689e-12,1.362801e-12,1.429558e-12,1.303673e-12,1.345634e-12,1.355171e-12,1.320839e-12,1.364708e-12,1.378059e-12,1.341820e-12,1.305580e-12,1.330376e-12,1.286507e-12,1.374245e-12,1.370430e-12,1.360893e-12,1.328468e-12,1.301765e-12,1.326561e-12,1.318932e-12,1.303673e-12,1.347542e-12,1.275063e-12,1.330376e-12,1.313210e-12,1.355171e-12,1.275063e-12,1.280785e-12,1.284599e-12,1.259804e-12,1.301765e-12,1.280785e-12,1.259804e-12,1.248360e-12,1.257896e-12,1.315117e-12,1.322746e-12,1.311302e-12,1.236916e-12,1.271248e-12,1.214027e-12,1.273155e-12,1.229286e-12,1.221657e-12,1.191139e-12,1.242638e-12,1.208305e-12,1.236916e-12,1.185417e-12,1.219749e-12,1.185417e-12,1.238823e-12,1.217842e-12,1.206398e-12,1.214027e-12,1.185417e-12,1.206398e-12,1.166344e-12,1.198769e-12,1.214027e-12,1.185417e-12,1.126289e-12,1.118660e-12,1.166344e-12,1.189232e-12,1.124382e-12,1.168251e-12,1.147270e-12,1.156807e-12
 31.69400,  0.34788,1.099502e-10,1.625538e-09,1.698494e-10,6.482124e-10,1.196194e-11,2.128696e-11,6.703377e-12,7.554054e-12,8.576393e-12,9.211540e-12,1.154613e-11,1.825237e-11,9.073168e-11,3.279597e-09,1.069069e-10,8.514505e-11,1.396190e-10,3.464037e-09,1.436138e-11,1.449871e-11,2.257347e-12,2.570152e-12,2.261162e-12,3.012657e-12,5.967140e-12,1.463424e-10,2.596855e-12,6.657600e-12,2.200127e-12,2.922726e-11,2.112389e-12,1.872063e-12,1.667976e-12,2.409935e-12,1.580238e-12,1.578331e-12,1.616478e-12,1.555443e-12,1.523018e-12,1.584053e-12,1.494408e-12,1.528740e-12,1.570702e-12,1.502037e-12,1.475334e-12,1.500130e-12,1.484871e-12,1.502037e-12,1.393318e-12,1.427650e-12,1.460075e-12,1.498222e-12,1.475334e-12,1.446724e-12,1.421928e-12,1.437187e-12,1.406670e-12,1.448631e-12,1.402855e-12,1.420021e-12,1.399040e-12,1.427650e-12,1.425743e-12,1.347542e-12,1.370430e-12,1.345634e-12,1.339912e-12,1.383781e-12,1.416206e-12,1.439095e-12,1.357079e-12,1.416206e-12,1.387596e-12,1.368523e-12,1.370430e-12,1.355171e-12,1.355171e-12,1.334190e-12,1.381874e-12,1.297951e-12,1.339912e-12,1.317024e-12,1.326561e-12,1.349449e-12,1.311302e-12,1.322746e-12,1.355171e-12,1.349449e-12,1.322746e-12,1.297951e-12,1.317024e-12,1.326561e-12,1.280785e-12,1.303673e-12,1.301765e-12,1.288414e-12,1.227379e-12,1.275063e-12,1.282692e-12,1.286507e-12,1.284599e-12,1.255989e-12,1.278877e-12,1.267433e-12,1.242638e-12,1.305580e-12,1.265526e-12,1.200676e-12,1.194954e-12,1.267433e-12,1.229286e-12,1.187325e-12,1.290321e-12,1.196861e-12,1.233101e-12,1.198769e-12,1.208305e-12,1.309395e-12,1.185417e-12,1.227379e-12,1.257896e-12,1.206398e-12,1.193047e-12,1.156807e-12,1.187325e-12,1.238823e-12,1.200676e-12,1.177788e-12,1.151085e-12,1.170158e-12,1.164436e-12,1.198769e-12,1.158714e-12,1.202583e-12,1.154900e-12,1.158714e-12
 31.94000,  0.51276,1.082774e-10,1.629162e-09,1.690865e-10,6.468773e-10,1.200390e-11,2.128124e-11,6.722450e-12,7.521629e-12,8.440971e-12,9.160042e-12,1.163197e-11,1.807880e-11,9.049326e-11,3.292948e-09,1.067162e-10,8.506304e-11,1.395312e-10,3.464419e-09,1.436520e-11,1.437282e-11,2.196312e-12,2.682686e-12,2.257347e-12,3.031730e-12,6.115913e-12,1.464893e-10,2.608299e-12,6.764412e-12,2.177238e-12,2.936268e-11,2.165794e-12,1.795769e-12,1.658440e-12,2.442360e-12,1.667976e-12,1.614571e-12,1.603126e-12,1.534462e-12,1.568794e-12,1.622200e-12,1.538277e-12,1.482963e-12,1.528740e-12,1.475334e-12,1.521110e-12,1.492500e-12,1.469612e-12,1.486778e-12,1.471519e-12,1.460075e-12,1.488686e-12,1.400948e-12,1.475334e-12,1.441002e-12,1.416206e-12,1.454353e-12,1.431465e-12,1.418114e-12,1.420021e-12,1.368523e-12,1.444817e-12,1.400948e-12,1.391411e-12,1.399040e-12,1.358986e-12,1.374245e-12,1.364708e-12,1.353264e-12,1.374245e-12,1.431465e-12,1.360893e-12,1.379967e-12,1.383781e-12,1.349449e-12,1.364708e-12,1.341820e-12,1.309395e-12,1.404762e-12,1.345634e-12,1.347542e-12,1.345634e-12,1.370430e-12,1.383781e-12,1.315117e-12,1.341820e-12,1.343727e-12,1.290321e-12,1.301765e-12,1.307487e-12,1.339912e-12,1.328468e-12,1.328468e-12,1.288414e-12,1.267433e-12,1.290321e-12,1.301765e-12,1.301765e-12,1.280785e-12,1.233101e-12,1.280785e-12,1.280785e-12,1.257896e-12,1.252174e-12,1.254082e-12,1.252174e-12,1.286507e-12,1.240730e-12,1.273155e-12,1.229286e-12,1.244545e-12,1.187325e-12,1.250267e-12,1.219749e-12,1.233101e-12,1.227379e-12,1.183510e-12,1.246452e-12,1.214027e-12,1.240730e-12,1.210213e-12,1.154900e-12,1.193047e-12,1.162529e-12,1.206398e-12,1.214027e-12,1.246452e-12,1.152992e-12,1.183510e-12,1.187325e-12,1.147270e-12,1.233101e-12,1.133919e-12,1.162529e-12,1.111031e-12,1.149178e-12,1.151085e-12
 32.19100,  0.68488,1.094104e-10,1.620388e-09,1.696587e-10,6.491661e-10,1.202297e-11,2.122974e-11,6.663322e-12,7.502556e-12,8.408546e-12,9.190559e-12,1.160908e-11,1.797199e-11,9.088999e-11,3.276545e-09,1.070976e-10,8.491235e-11,1.418811e-10,3.470141e-09,1.449871e-11,1.456928e-11,2.213478e-12,2.604485e-12,2.327919e-12,3.079414e-12,5.930900e-12,1.461688e-10,2.579689e-12,6.686211e-12,2.234459e-12,2.930737e-11,2.144813e-12,1.824379e-12,1.650810e-12,2.448082e-12,1.658440e-12,1.584053e-12,1.633644e-12,1.620293e-12,1.612663e-12,1.616478e-12,1.524925e-12,1.555443e-12,1.484871e-12,1.488686e-12,1.523018e-12,1.507759e-12,1.498222e-12,1.469612e-12,1.456261e-12,1.452446e-12,1.500130e-12,1.467705e-12,1.456261e-12,1.450539e-12,1.435280e-12,1.416206e-12,1.410484e-12,1.461983e-12,1.439095e-12,1.454353e-12,1.364708e-12,1.410484e-12,1.381874e-12,1.406670e-12,1.395226e-12,1.433372e-12,1.364708e-12,1.385689e-12,1.368523e-12,1.429558e-12,1.378059e-12,1.376152e-12,1.351356e-12,1.351356e-12,1.353264e-12,1.299858e-12,1.372337e-12,1.378059e-12,1.378059e-12,1.322746e-12,1.355171e-12,1.301765e-12,1.307487e-12,1.326561e-12,1.284599e-12,1.339912e-12,1.317024e-12,1.286507e-12,1.320839e-12,1.307487e-12,1.307487e-12,1.311302e-12,1.305580e-12,1.311302e-12,1.305580e-12,1.328468e-12,1.330376e-12,1.286507e-12,1.275063e-12,1.267433e-12,1.286507e-12,1.290321e-12,1.292229e-12,1.229286e-12,1.246452e-12,1.294136e-12,1.255989e-12,1.273155e-12,1.215935e-12,1.229286e-12,1.223564e-12,1.238823e-12,1.265526e-12,1.196861e-12,1.177788e-12,1.202583e-12,1.250267e-12,1.217842e-12,1.217842e-12,1.210213e-12,1.238823e-12,1.208305e-12,1.198769e-12,1.147270e-12,1.181602e-12,1.200676e-12,1.141548e-12,1.194954e-12,1.214027e-12,1.185417e-12,1.223564e-12,1.193047e-12,1.172066e-12,1.229286e-12,1.139641e-12,1.145363e-12
 32.35000,  0.85666,1.083118e-10,1.622105e-09,1.696587e-10,6.459236e-10,1.190662e-11,2.122402e-11,6.775856e-12,7.451057e-12,8.461952e-12,9.100914e-12,1.159954e-11,1.818180e-11,9.164530e-11,3.289133e-09,1.067162e-10,8.467966e-11,1.417362e-10,3.451449e-09,1.435375e-11,1.444721e-11,2.150536e-12,2.568245e-12,2.274513e-12,3.035545e-12,5.936622e-12,1.456767e-10,2.623558e-12,6.756782e-12,2.238274e-12,2.882099e-11,2.121925e-12,1.797676e-12,1.635551e-12,2.459526e-12,1.645088e-12,1.610756e-12,1.601219e-12,1.606941e-12,1.568794e-12,1.614571e-12,1.568794e-12,1.486778e-12,1.540184e-12,1.503944e-12,1.530647e-12,1.475334e-12,1.458168e-12,1.482963e-12,1.448631e-12,1.437187e-12,1.465797e-12,1.452446e-12,1.420021e-12,1.471519e-12,1.406670e-12,1.402855e-12,1.439095e-12,1.404762e-12,1.399040e-12,1.404762e-12,1.444817e-12,1.437187e-12,1.420021e-12,1.389503e-12,1.374245e-12,1.397133e-12,1.395226e-12,1.358986e-12,1.387596e-12,1.391411e-12,1.338005e-12,1.421928e-12,1.370430e-12,1.351356e-12,1.376152e-12,1.376152e-12,1.351356e-12,1.358986e-12,1.341820e-12,1.366615e-12,1.328468e-12,1.360893e-12,1.360893e-12,1.318932e-12,1.322746e-12,1.305580e-12,1.324654e-12,1.330376e-12,1.311302e-12,1.301765e-12,1.292229e-12,1.276970e-12,1.305580e-12,1.269340e-12,1.328468e-12,1.267433e-12,1.271248e-12,1.286507e-12,1.271248e-12,1.275063e-12,1.242638e-12,1.280785e-12,1.219749e-12,1.273155e-12,1.257896e-12,1.301765e-12,1.257896e-12,1.238823e-12,1.263618e-12,1.252174e-12,1.267433e-12,1.252174e-12,1.208305e-12,1.181602e-12,1.244545e-12,1.261711e-12,1.196861e-12,1.196861e-12,1.250267e-12,1.238823e-12,1.221657e-12,1.185417e-12,1.170158e-12,1.118660e-12,1.151085e-12,1.198769e-12,1.147270e-12,1.160622e-12,1.177788e-12,1.137733e-12,1.196861e-12,1.181602e-12,1.193047e-12,1.103401e-12,1.111031e-12,1.145363e-12
 32.58600,  1.02929,1.083804e-10,1.632214e-09,1.694679e-10,6.463051e-10,1.183224e-11,2.117062e-11,6.731987e-12,7.601738e-12,8.433342e-12,9.161949e-12,1.149654e-11,1.831722e-11,9.097010e-11,3.284556e-09,1.069069e-10,8.501726e-11,1.404506e-10,3.454691e-09,1.434040e-11,1.450253e-11,2.228737e-12,2.593040e-12,2.278328e-12,3.012657e-12,5.957603e-12,1.458312e-10,2.600670e-12,6.609917e-12,2.184868e-12,2.995777e-11,2.209663e-12,1.847267e-12,1.652718e-12,2.415657e-12,1.605034e-12,1.553535e-12,1.631737e-12,1.576424e-12,1.563072e-12,1.576424e-12,1.542091e-12,1.587868e-12,1.521110e-12,1.484871e-12,1.460075e-12,1.471519e-12,1.461983e-12,1.481056e-12,1.450539e-12,1.444817e-12,1.442909e-12,1.479149e-12,1.458168e-12,1.450539e-12,1.461983e-12,1.391411e-12,1.389503e-12,1.418114e-12,1.454353e-12,1.454353e-12,1.400948e-12,1.439095e-12,1.391411e-12,1.456261e-12,1.404762e-12,1.366615e-12,1.463890e-12,1.399040e-12,1.395226e-12,1.408577e-12,1.376152e-12,1.402855e-12,1.343727e-12,1.387596e-12,1.360893e-12,1.343727e-12,1.362801e-12,1.372337e-12,1.339912e-12,1.341820e-12,1.357079e-12,1.339912e-12,1.332283e-12,1.336098e-12,1.288414e-12,1.322746e-12,1.294136e-12,1.275063e-12,1.303673e-12,1.236916e-12,1.292229e-12,1.290321e-12,1.278877e-12,1.286507e-12,1.309395e-12,1.269340e-12,1.307487e-12,1.320839e-12,1.242638e-12,1.254082e-12,1.315117e-12,1.254082e-12,1.290321e-12,1.244545e-12,1.257896e-12,1.275063e-12,1.236916e-12,1.259804e-12,1.236916e-12,1.252174e-12,1.227379e-12,1.248360e-12,1.233101e-12,1.198769e-12,1.208305e-12,1.202583e-12,1.202583e-12,1.196861e-12,1.229286e-12,1.215935e-12,1.185417e-12,1.250267e-12,1.175880e-12,1.210213e-12,1.189232e-12,1.172066e-12,1.210213e-12,1.200676e-12,1.185417e-12,1.145363e-12,1.149178e-12,1.193047e-12,1.160622e-12,1.179695e-12,1.166344e-12,1.183510e-12
 32.74700,  1.19457,1.087276e-10,1.631260e-09,1.698494e-10,6.506920e-10,1.183796e-11,2.106380e-11,6.836891e-12,7.439613e-12,8.530616e-12,9.118080e-12,1.153278e-11,1.807880e-11,9.103113e-11,3.283602e-09,1.069069e-10,8.492571e-11,1.409541e-10,3.468043e-09,1.444340e-11,1.448917e-11,2.247810e-12,2.594948e-12,2.278328e-12,3.033638e-12,5.995750e-12,1.458751e-10,2.676964e-12,6.674766e-12,2.190590e-12,2.971935e-11,2.165794e-12,1.841545e-12,1.637459e-12,2.442360e-12,1.618385e-12,1.564979e-12,1.580238e-12,1.597404e-12,1.603126e-12,1.555443e-12,1.542091e-12,1.585960e-12,1.513481e-12,1.465797e-12,1.574516e-12,1.505852e-12,1.484871e-12,1.507759e-12,1.456261e-12,1.467705e-12,1.460075e-12,1.458168e-12,1.460075e-12,1.431465e-12,1.376152e-12,1.406670e-12,1.418114e-12,1.404762e-12,1.397133e-12,1.458168e-12,1.357079e-12,1.439095e-12,1.408577e-12,1.391411e-12,1.385689e-12,1.347542e-12,1.389503e-12,1.442909e-12,1.387596e-12,1.395226e-12,1.357079e-12,1.379967e-12,1.385689e-12,1.362801e-12,1.317024e-12,1.347542e-12,1.362801e-12,1.349449e-12,1.368523e-12,1.338005e-12,1.362801e-12,1.309395e-12,1.311302e-12,1.288414e-12,1.326561e-12,1.332283e-12,1.336098e-12,1.347542e-12,1.286507e-12,1.358986e-12,1.311302e-12,1.282692e-12,1.379967e-12,1.305580e-12,1.318932e-12,1.286507e-12,1.309395e-12,1.297951e-12,1.267433e-12,1.315117e-12,1.244545e-12,1.248360e-12,1.231194e-12,1.206398e-12,1.210213e-12,1.246452e-12,1.225471e-12,1.225471e-12,1.215935e-12,1.200676e-12,1.215935e-12,1.250267e-12,1.204491e-12,1.231194e-12,1.215935e-12,1.217842e-12,1.204491e-12,1.265526e-12,1.212120e-12,1.235008e-12,1.181602e-12,1.210213e-12,1.221657e-12,1.183510e-12,1.185417e-12,1.208305e-12,1.233101e-12,1.194954e-12,1.137733e-12,1.160622e-12,1.210213e-12,1.143455e-12,1.141548e-12,1.177788e-12,1.183510e-12,1.202583e-12
 32.95600,  1.36609,1.099120e-10,1.625347e-09,1.700401e-10,6.445885e-10,1.199627e-11,2.139187e-11,6.649971e-12,7.596016e-12,8.452415e-12,9.179115e-12,1.146984e-11,1.807499e-11,9.184176e-11,3.280550e-09,1.067162e-10,8.517748e-11,1.392909e-10,3.460032e-09,1.446247e-11,1.456738e-11,2.221107e-12,2.591133e-12,2.272606e-12,3.096581e-12,6.056785e-12,1.462451e-10,2.627373e-12,6.728172e-12,2.186775e-12,2.969074e-11,2.181053e-12,1.852989e-12,1.683235e-12,2.387047e-12,1.589775e-12,1.658440e-12,1.563072e-12,1.576424e-12,1.524925e-12,1.555443e-12,1.503944e-12,1.547813e-12,1.450539e-12,1.513481e-12,1.507759e-12,1.467705e-12,1.433372e-12,1.490593e-12,1.521110e-12,1.471519e-12,1.425743e-12,1.496315e-12,1.418114e-12,1.503944e-12,1.461983e-12,1.460075e-12,1.435280e-12,1.421928e-12,1.397133e-12,1.389503e-12,1.477242e-12,1.391411e-12,1.376152e-12,1.372337e-12,1.406670e-12,1.414299e-12,1.343727e-12,1.402855e-12,1.416206e-12,1.410484e-12,1.381874e-12,1.383781e-12,1.372337e-12,1.376152e-12,1.353264e-12,1.318932e-12,1.366615e-12,1.353264e-12,1.357079e-12,1.324654e-12,1.305580e-12,1.297951e-12,1.303673e-12,1.267433e-12,1.343727e-12,1.338005e-12,1.343727e-12,1.336098e-12,1.332283e-12,1.290321e-12,1.259804e-12,1.276970e-12,1.322746e-12,1.292229e-12,1.280785e-12,1.269340e-12,1.265526e-12,1.229286e-12,1.288414e-12,1.246452e-12,1.231194e-12,1.252174e-12,1.240730e-12,1.223564e-12,1.309395e-12,1.212120e-12,1.254082e-12,1.227379e-12,1.263618e-12,1.215935e-12,1.225471e-12,1.221657e-12,1.175880e-12,1.229286e-12,1.278877e-12,1.263618e-12,1.210213e-12,1.206398e-12,1.156807e-12,1.240730e-12,1.181602e-12,1.273155e-12,1.225471e-12,1.172066e-12,1.196861e-12,1.179695e-12,1.215935e-12,1.170158e-12,1.206398e-12,1.185417e-12,1.164436e-12,1.221657e-12,1.166344e-12,1.173973e-12,1.193047e-12,1.194954e-12
 33.10100,  1.53556,1.101371e-10,1.626873e-09,1.700401e-10,6.472587e-10,1.194668e-11,2.114582e-11,6.609917e-12,7.586479e-12,8.343696e-12,9.148598e-12,1.150799e-11,1.806355e-11,9.133249e-11,3.293520e-09,1.067162e-10,8.458048e-11,1.414043e-10,3.460413e-09,1.430988e-11,1.447964e-11,2.236366e-12,2.669334e-12,2.350807e-12,3.026008e-12,5.885124e-12,1.461955e-10,2.614021e-12,6.674766e-12,2.177238e-12,2.920818e-11,2.163887e-12,1.812935e-12,1.631737e-12,2.432823e-12,1.612663e-12,1.570702e-12,1.576424e-12,1.595497e-12,1.584053e-12,1.532555e-12,1.496315e-12,1.517296e-12,1.524925e-12,1.471519e-12,1.494408e-12,1.505852e-12,1.473427e-12,1.477242e-12,1.467705e-12,1.448631e-12,1.456261e-12,1.454353e-12,1.418114e-12,1.420021e-12,1.427650e-12,1.467705e-12,1.442909e-12,1.446724e-12,1.412392e-12,1.423836e-12,1.399040e-12,1.469612e-12,1.387596e-12,1.391411e-12,1.389503e-12,1.372337e-12,1.387596e-12,1.360893e-12,1.395226e-12,1.393318e-12,1.397133e-12,1.368523e-12,1.376152e-12,1.334190e-12,1.368523e-12,1.370430e-12,1.378059e-12,1.336098e-12,1.406670e-12,1.292229e-12,1.322746e-12,1.336098e-12,1.288414e-12,1.317024e-12,1.301765e-12,1.315117e-12,1.332283e-12,1.336098e-12,1.317024e-12,1.376152e-12,1.324654e-12,1.330376e-12,1.294136e-12,1.263618e-12,1.269340e-12,1.273155e-12,1.317024e-12,1.311302e-12,1.307487e-12,1.275063e-12,1.235008e-12,1.242638e-12,1.235008e-12,1.273155e-12,1.273155e-12,1.257896e-12,1.221657e-12,1.183510e-12,1.200676e-12,1.263618e-12,1.233101e-12,1.202583e-12,1.198769e-12,1.233101e-12,1.233101e-12,1.177788e-12,1.229286e-12,1.183510e-12,1.240730e-12,1.185417e-12,1.221657e-12,1.202583e-12,1.219749e-12,1.191139e-12,1.198769e-12,1.194954e-12,1.156807e-12,1.189232e-12,1.202583e-12,1.194954e-12,1.175880e-12,1.166344e-12,1.164436e-12,1.191139e-12,1.162529e-12,1.204491e-12
