#EXPORTTYPE:                 ,DATA ALL                                                           
#FILE:                       ,2025_08_23_SL_PS_Petri_Dish_SCF3_250721_P5EER2_V1_2_Dynamic.ngb-ss5
#FORMAT:                     ,NETZSCH5                                                           
#FTYPE:                      ,ASCII                                                              
#IDENTITY:                   ,PS-Petri-Dish-SCF3                                                 
#DECIMAL:                    ,POINT                                                              
#SEPARATOR:                  ,COMMA                                                              
#MTYPE:                      ,DSC                                                                
#INSTRUMENT:                 ,NETZSCH STA 449F5                                                  
#PROJECT:                    ,Polystyrene                                                        
#DATE/TIME:                  ,8/23/2025 10:46:43 AM (UTC-4)                                      
#CORR. FILE:                 ,                                                                   
#TEMPCAL:                    ,05-05-2025 14:38                                                   
#SENSITIVITY:                ,28-06-2023 13:53                                                   
#LABORATORY:                 ,Tran/AAG                                                           
#OPERATOR:                   ,Stanley                                                            
#REMARK:                     ,2025_03_20_Styrofoam_dynamic                                       
#SAMPLE:                     ,PS-Petri-Dish-SCF3                                                 
#SAMPLE MASS /mg:            ,4.5                                                                
#MATERIAL:                   ,Polystyrene                                                        
#REFERENCE:                  ,                                                                   
#REFERENCE MASS /mg:         ,0                                                                  
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                                                  
#SAMPLE CRUCIBLE MASS /mg:   ,0                                                                  
#REFERENCE CRUCIBLE MASS /mg:,0                                                                  
#DSC RANGE /‘V:              ,5000                                                               
#TG RANGE /mg:               ,35000                                                              
#TAU-R:                      ,---                                                                
#CORR. CODE:                 ,000                                                                
#EXO:                        ,-1                                                                 
#RANGE:                      ,20›C....800›C/0.0....20.0K/min                                     
#SEGMENT:                    ,S1-4/4                                                             
#SEG. 1:                     ,20›C/5.0(K/min)/100›C                                              
#SEG. 2:                     ,100›C/00:05/100›C                                                  
#SEG. 3:                     ,100›C/1.0(K/min)/400›C                                             
#SEG. 4:                     ,400›C/20.0(K/min)/800›C                                            

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 31.12600,  0.00000,      0.41259,100.00000,50.00000,50.00000,            ,0.92376,1
 31.22200,  0.06667,      0.39643, 99.94222,50.00000,50.00000,1.017459e-08,0.92376,1
 31.30200,  0.13333,      0.38229, 99.97489,50.00000,50.00000,1.018861e-08,0.92378,1
 31.37800,  0.20000,      0.36962,100.02511,50.00000,50.00000,1.018861e-08,0.92378,1
 31.45300,  0.26667,      0.35732,100.20622,50.00000,50.00000,1.019094e-08,0.92379,1
 31.55800,  0.33333,      0.34612,100.41978,50.00000,50.00000,1.019094e-08,0.92379,1
 31.62000,  0.40000,      0.33804,100.57822,50.00000,50.00000,1.019094e-08,0.92379,1
 31.69400,  0.46667,      0.32886,100.68644,50.00000,50.00000,1.020405e-08,0.92380,1
 31.78500,  0.53333,      0.32151,100.85978,50.00000,50.00000,1.020405e-08,0.92380,1
 31.85600,  0.60000,      0.31527,100.99800,50.00000,50.00000,1.019165e-08,0.92382,1
 31.94000,  0.66667,      0.30976,101.09356,50.00000,50.00000,1.019165e-08,0.92382,1
 32.02400,  0.73333,      0.30608,101.19911,50.00000,50.00000,1.019165e-08,0.92382,1
 32.10700,  0.80000,      0.30278,101.27467,50.00000,50.00000,1.018105e-08,0.92383,1
 32.19100,  0.86667,      0.29929,101.36511,50.00000,50.00000,1.018105e-08,0.92383,1
 32.26400,  0.93333,      0.29635,101.43311,50.00000,50.00000,1.018105e-08,0.92383,1
 32.35000,  1.00000,      0.29414,101.49844,50.00000,50.00000,1.019018e-08,0.92385,1
 32.41600,  1.06667,      0.28973,101.55111,50.00000,50.00000,1.019018e-08,0.92385,1
 32.50400,  1.13333,      0.28716,101.53600,50.00000,50.00000,1.020696e-08,0.92386,1
 32.58600,  1.20000,      0.28532,101.56622,50.00000,50.00000,1.020696e-08,0.92386,1
 32.66300,  1.26667,      0.28165,101.59644,50.00000,50.00000,1.020696e-08,0.92386,1
 32.74700,  1.33333,      0.27926,101.56378,50.00000,50.00000,1.018519e-08,0.92387,1
 32.79600,  1.40000,      0.27467,101.53356,50.00000,50.00000,1.018519e-08,0.92387,1
 32.87600,  1.46667,      0.27191,101.53356,50.00000,50.00000,1.020253e-08,0.92389,1
 32.95600,  1.53333,      0.26714,101.47067,50.00000,50.00000,1.020253e-08,0.92389,1
 33.02100,  1.60000,      0.26420,101.44067,50.00000,50.00000,1.020253e-08,0.92389,1
 33.10100,  1.66667,      0.25961,101.41044,50.00000,50.00000,1.017423e-08,0.92390,1
