#EXPORTTYPE:                 ,DATA ALL                                             
#FILE:                       ,2025_08_24_SL_PS_Red_Solo_Cup_SCF3_Isothermal.ngb-ss5
#FORMAT:                     ,NETZSCH5                                             
#FTYPE:                      ,ASCII                                                
#IDENTITY:                   ,250821-P5EER3-V1+2                                   
#DECIMAL:                    ,POINT                                                
#SEPARATOR:                  ,COMMA                                                
#MTYPE:                      ,DSC                                                  
#INSTRUMENT:                 ,NETZSCH STA 449F5                                    
#PROJECT:                    ,Polystyrene                                          
#DATE/TIME:                  ,8/24/2025 11:16:25 AM (UTC-4)                        
#CORR. FILE:                 ,                                                     
#TEMPCAL:                    ,05-05-2025 14:38                                     
#SENSITIVITY:                ,28-06-2023 13:53                                     
#LABORATORY:                 ,Tran/AAG                                             
#OPERATOR:                   ,Stanley                                              
#REMARK:                     ,2025_03_29_SL_005d_M1_isothermal                     
#SAMPLE:                     ,250821-P5EER3-V1+2                                   
#SAMPLE MASS /mg:            ,4.10                                                 
#MATERIAL:                   ,Polystyrene                                          
#REFERENCE:                  ,                                                     
#REFERENCE MASS /mg:         ,0                                                    
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                                    
#SAMPLE CRUCIBLE MASS /mg:   ,0                                                    
#REFERENCE CRUCIBLE MASS /mg:,0                                                    
#DSC RANGE /‘V:              ,5000                                                 
#TG RANGE /mg:               ,35000                                                
#TAU-R:                      ,---                                                  
#CORR. CODE:                 ,000                                                  
#EXO:                        ,-1                                                   
#RANGE:                      ,30›C....800›C/0.0....20.0K/min                       
#SEGMENT:                    ,S1-5/5                                               
#SEG. 1:                     ,30›C/10.0(K/min)/100›C                               
#SEG. 2:                     ,100›C/00:10/100›C                                    
#SEG. 3:                     ,100›C/5.0(K/min)/300›C                               
#SEG. 4:                     ,300›C/20:00/300›C                                    
#SEG. 5:                     ,300›C/20.0(K/min)/800›C                              

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 28.26500,   0.00000,      0.94410,    100.00000,50.00000,54.00000,            ,0.92322,1
 28.36900,   0.04000,      0.92694,    100.01927,50.00000,54.00000,9.855182e-09,0.92322,1
 28.49200,   0.08000,      0.91140,     99.93927,50.00000,54.00000,9.855182e-09,0.92322,1
 28.59800,   0.12000,      0.89405,     99.88146,50.00000,54.00000,9.879577e-09,0.92324,1
 28.71200,   0.16000,      0.87790,     99.88146,50.00000,54.00000,9.879577e-09,0.92324,1
 28.82400,   0.20000,      0.86398,     99.84268,50.00000,54.00000,9.879577e-09,0.92324,1
 28.92200,   0.24000,      0.84743,     99.80976,50.00000,54.00000,9.879577e-09,0.92324,1
 29.01500,   0.28000,      0.83392,     99.77098,50.00000,54.00000,9.881123e-09,0.92327,1
 29.12700,   0.32000,      0.82261,     99.73780,50.00000,53.00000,9.881123e-09,0.92327,1
 29.24900,   0.36000,      0.81151,     99.73780,50.00000,53.00000,9.881123e-09,0.92327,1
 29.36800,   0.40000,      0.79879,     99.73780,50.00000,53.00000,9.881123e-09,0.92327,1
 29.45800,   0.44000,      0.78910,     99.73780,50.00000,53.00000,9.900984e-09,0.92329,1
 29.57600,   0.48000,      0.78304,     99.73780,50.00000,53.00000,9.900984e-09,0.92329,1
 29.68500,   0.52000,      0.77678,     99.77098,50.00000,53.00000,9.900984e-09,0.92329,1
 29.79800,   0.56000,      0.77273,     99.77098,50.00000,53.00000,9.900984e-09,0.92329,1
 29.91500,   0.60000,      0.76848,     99.80683,50.00000,53.00000,9.900984e-09,0.92329,1
 30.03200,   0.64000,      0.76584,     99.84000,50.00000,52.00000,9.897287e-09,0.92331,1
 30.15500,   0.68000,      0.76703,     99.87585,50.00000,52.00000,9.897287e-09,0.92331,1
 30.28600,   0.72000,      0.76883,     99.92000,50.00000,52.00000,9.897287e-09,0.92331,1
 30.41600,   0.76000,      0.77163,     99.95854,50.00000,52.00000,9.897287e-09,0.92331,1
 30.54600,   0.80000,      0.77684,    100.01098,50.00000,52.00000,9.900359e-09,0.92333,1
 30.67900,   0.84000,      0.78448,    100.07171,50.00000,52.00000,9.900359e-09,0.92333,1
 30.80400,   0.88000,      0.79191,    100.11049,50.00000,52.00000,9.900359e-09,0.92333,1
 30.96500,   0.92000,      0.79934,    100.15463,50.00000,52.00000,9.900359e-09,0.92333,1
 31.10300,   0.96000,      0.81020,    100.24000,50.00000,52.00000,9.905342e-09,0.92335,1
 31.23700,   1.00000,      0.82065,    100.33951,50.00000,51.00000,9.905342e-09,0.92335,1
 31.40600,   1.04000,      0.83231,    100.43878,50.00000,51.00000,9.905342e-09,0.92335,1
 31.55800,   1.08000,      0.84679,    100.47195,50.00000,51.00000,9.905342e-09,0.92335,1
 31.72300,   1.12000,      0.86006,    100.47195,50.00000,51.00000,9.886542e-09,0.92337,1
 31.87400,   1.16000,      0.87614,    100.50512,50.00000,51.00000,9.886542e-09,0.92337,1
 32.05800,   1.20000,      0.89041,    100.03317,50.00000,51.00000,9.886542e-09,0.92337,1
 32.20700,   1.24000,      0.90791,     93.66463,50.00000,51.00000,9.886542e-09,0.92337,1
 32.36300,   1.28000,      0.92520,     90.77537,50.00000,51.00000,9.886542e-09,0.92337,1
 32.55400,   1.32000,      0.94189,     90.07463,50.00000,51.00000,9.895064e-09,0.92339,1
 32.72000,   1.36000,      0.96159,     89.69098,50.00000,51.00000,9.895064e-09,0.92339,1
 32.91200,   1.40000,      0.97928,     89.48146,50.00000,51.00000,9.895064e-09,0.92339,1
 33.08900,   1.44000,      0.99758,     89.44829,50.00000,51.00000,9.895064e-09,0.92339,1
 33.27100,   1.48000,      1.01848,     89.42341,50.00000,51.00000,9.903855e-09,0.92341,1
 33.45400,   1.52000,      1.03818,     89.45659,50.00000,51.00000,9.903855e-09,0.92341,1
 33.64100,   1.56000,      1.05627,     89.55585,50.00000,51.00000,9.903855e-09,0.92341,1
 33.86200,   1.60000,      1.07697,     89.65512,50.00000,51.00000,9.903855e-09,0.92341,1
 34.03300,   1.64000,      1.09566,     89.75171,50.00000,51.00000,9.909650e-09,0.92344,1
 34.22600,   1.68000,      1.11616,     89.85659,50.00000,51.00000,9.909650e-09,0.92344,1
 34.43100,   1.72000,      1.13726,     89.88976,50.00000,51.00000,9.909650e-09,0.92344,1
 34.63700,   1.76000,      1.15594,     90.00000,50.00000,51.00000,9.909650e-09,0.92344,1
 34.83600,   1.80000,      1.17644,     90.10488,50.00000,51.00000,9.907557e-09,0.92345,1
 35.05700,   1.84000,      1.19753,     90.25122,50.00000,51.00000,9.907557e-09,0.92345,1
 35.25300,   1.88000,      1.21641,     90.38366,50.00000,51.00000,9.907557e-09,0.92345,1
 35.48100,   1.92000,      1.23831,     90.53000,50.00000,51.00000,9.907557e-09,0.92345,1
 35.68900,   1.96000,      1.25598,     90.65415,50.00000,51.00000,9.907557e-09,0.92345,1
 35.91300,   2.00000,      1.27465,     90.75073,50.00000,51.00000,9.911040e-09,0.92347,1
 36.12500,   2.04000,      1.29554,     90.91073,50.00000,51.00000,9.911040e-09,0.92347,1
 36.34500,   2.08000,      1.31401,     91.01561,50.00000,51.00000,9.911040e-09,0.92347,1
 36.55300,   2.12000,      1.33249,     91.10927,50.00000,51.00000,9.911040e-09,0.92347,1
 36.80200,   2.16000,      1.35296,     91.23073,50.00000,51.00000,9.913333e-09,0.92350,1
 37.04000,   2.20000,      1.37062,     91.36049,50.00000,51.00000,9.913333e-09,0.92350,1
 37.25300,   2.24000,      1.38869,     91.46537,50.00000,51.00000,9.913333e-09,0.92350,1
 37.49100,   2.28000,      1.41118,     91.57293,50.00000,52.00000,9.913333e-09,0.92350,1
 37.72700,   2.32000,      1.42642,     91.67780,50.00000,52.00000,9.939059e-09,0.92352,1
 37.95900,   2.36000,      1.44690,     91.76610,50.00000,52.00000,9.939059e-09,0.92352,1
 38.20700,   2.40000,      1.46475,     91.79927,50.00000,52.00000,9.939059e-09,0.92352,1
 38.44700,   2.44000,      1.48261,     91.88756,50.00000,52.00000,9.939059e-09,0.92352,1
 38.69300,   2.48000,      1.49966,     91.97585,50.00000,52.00000,9.933631e-09,0.92354,1
 38.92800,   2.52000,      1.51611,     92.01732,50.00000,52.00000,9.933631e-09,0.92354,1
 39.18200,   2.56000,      1.53678,     92.10829,50.00000,52.00000,9.933631e-09,0.92354,1
 39.43000,   2.60000,      1.55523,     92.19927,50.00000,52.00000,9.933631e-09,0.92354,1
 39.69100,   2.64000,      1.57429,     92.23805,50.00000,52.00000,9.933631e-09,0.92354,1
 39.95300,   2.68000,      1.59093,     92.32341,50.00000,52.00000,9.936954e-09,0.92356,1
 40.20600,   2.72000,      1.60918,     92.38976,50.00000,52.00000,9.936954e-09,0.92356,1
 40.45000,   2.76000,      1.62925,     92.44756,50.00000,52.00000,9.936954e-09,0.92356,1
 40.71600,   2.80000,      1.64549,     92.46415,50.00000,52.00000,9.936954e-09,0.92356,1
 40.99800,   2.84000,      1.66554,     92.52756,50.00000,52.00000,9.928470e-09,0.92358,1
 41.25200,   2.88000,      1.68279,     92.60780,50.00000,52.00000,9.928470e-09,0.92358,1
 41.51100,   2.92000,      1.70244,     92.66561,50.00000,52.00000,9.928470e-09,0.92358,1
 41.78800,   2.96000,      1.71908,     92.73195,50.00000,52.00000,9.928470e-09,0.92358,1
 42.07400,   3.00000,      1.73873,     92.74293,50.00000,52.00000,9.915529e-09,0.92361,1
 42.34400,   3.04000,      1.75798,     92.77878,50.00000,52.00000,9.915529e-09,0.92361,1
 42.62500,   3.08000,      1.77743,     92.81195,50.00000,52.00000,9.915529e-09,0.92361,1
 42.91700,   3.12000,      1.79688,     92.84512,50.00000,52.00000,9.915529e-09,0.92361,1
 43.19700,   3.16000,      1.81653,     92.88098,50.00000,52.00000,9.915529e-09,0.92361,1
 43.47700,   3.20000,      1.83719,     92.95268,50.00000,52.00000,9.918599e-09,0.92363,1
 43.76500,   3.24000,      1.85764,     93.00220,50.00000,52.00000,9.918599e-09,0.92363,1
 44.05300,   3.28000,      1.87709,     93.00220,50.00000,52.00000,9.918599e-09,0.92363,1
 44.36100,   3.32000,      1.89774,     93.04366,50.00000,52.00000,9.918599e-09,0.92363,1
 44.66500,   3.36000,      1.91738,     93.11537,50.00000,52.00000,9.922263e-09,0.92365,1
 44.96600,   3.40000,      1.93763,     93.19537,50.00000,52.00000,9.922263e-09,0.92365,1
 45.27200,   3.44000,      1.96090,     93.15683,50.00000,52.00000,9.922263e-09,0.92365,1
 45.57300,   3.48000,      1.98155,     93.17341,50.00000,52.00000,9.922263e-09,0.92365,1
 45.88600,   3.52000,      2.00401,     93.23683,50.00000,52.00000,9.931679e-09,0.92368,1
 46.19700,   3.56000,      2.02426,     93.33341,50.00000,52.00000,9.931679e-09,0.92368,1
 46.50800,   3.60000,      2.04571,     93.37195,50.00000,52.00000,9.931679e-09,0.92368,1
 46.84000,   3.64000,      2.06897,     93.40512,50.00000,52.00000,9.931679e-09,0.92368,1
 47.16000,   3.68000,      2.09143,     93.40512,50.00000,52.00000,9.925488e-09,0.92370,1
 47.46700,   3.72000,      2.11409,     93.46585,50.00000,52.00000,9.925488e-09,0.92370,1
 47.79600,   3.76000,      2.13695,     93.50439,50.00000,52.00000,9.925488e-09,0.92370,1
