#EXPORTTYPE:                 ,DATA ALL                                         
#FILE:                       ,2025_08_27_SL_PS_Blue_Cup_SCF3_Isothermal.ngb-ss5
#FORMAT:                     ,NETZSCH5                                         
#FTYPE:                      ,ASCII                                            
#IDENTITY:                   ,250821-P5EER3-V3+4                               
#DECIMAL:                    ,POINT                                            
#SEPARATOR:                  ,COMMA                                            
#MTYPE:                      ,DSC                                              
#INSTRUMENT:                 ,NETZSCH STA 449F5                                
#PROJECT:                    ,Polystyrene                                      
#DATE/TIME:                  ,8/27/2025 12:05:40 PM (UTC-4)                    
#CORR. FILE:                 ,                                                 
#TEMPCAL:                    ,05-05-2025 14:38                                 
#SENSITIVITY:                ,28-06-2023 13:53                                 
#LABORATORY:                 ,Tran/AAG                                         
#OPERATOR:                   ,Stanley                                          
#REMARK:                     ,2025_03_29_SL_005d_M1_isothermal                 
#SAMPLE:                     ,250821-P5EER3-V3+4                               
#SAMPLE MASS /mg:            ,5.35                                             
#MATERIAL:                   ,Polystyrene                                      
#REFERENCE:                  ,                                                 
#REFERENCE MASS /mg:         ,0                                                
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                                
#SAMPLE CRUCIBLE MASS /mg:   ,0                                                
#REFERENCE CRUCIBLE MASS /mg:,0                                                
#DSC RANGE /‘V:              ,5000                                             
#TG RANGE /mg:               ,35000                                            
#TAU-R:                      ,---                                              
#CORR. CODE:                 ,000                                              
#EXO:                        ,-1                                               
#RANGE:                      ,30›C....800›C/0.0....20.0K/min                   
#SEGMENT:                    ,S1-5/5                                           
#SEG. 1:                     ,30›C/10.0(K/min)/100›C                           
#SEG. 2:                     ,100›C/00:10/100›C                                
#SEG. 3:                     ,100›C/5.0(K/min)/300›C                           
#SEG. 4:                     ,300›C/20:00/300›C                                
#SEG. 5:                     ,300›C/20.0(K/min)/800›C                          

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 26.41200,   0.00000,      0.69924,    100.00000,50.00000,50.00000,            ,0.92285,1
 26.58600,   0.04000,      0.70338,     99.91327,50.00000,50.00000,8.287325e-09,0.92285,1
 26.76300,   0.08000,      0.70629,     99.91327,50.00000,50.00000,8.287325e-09,0.92285,1
 26.94300,   0.12000,      0.70704,     99.83720,50.00000,50.00000,8.271941e-09,0.92288,1
 27.12400,   0.16000,      0.70871,     99.80561,50.00000,50.00000,8.271941e-09,0.92288,1
 27.29400,   0.20000,      0.71146,     99.78019,50.00000,50.00000,8.271941e-09,0.92288,1
 27.47400,   0.24000,      0.71251,     99.78019,50.00000,50.00000,8.271941e-09,0.92288,1
 27.64800,   0.28000,      0.71388,     99.75477,50.00000,50.00000,8.283750e-09,0.92292,1
 27.82300,   0.32000,      0.71493,     99.75477,50.00000,50.00000,8.283750e-09,0.92292,1
 28.00800,   0.36000,      0.71768,     99.75477,50.00000,50.00000,8.283750e-09,0.92292,1
 28.18000,   0.40000,      0.71920,     99.75477,50.00000,50.00000,8.283750e-09,0.92292,1
 28.35300,   0.44000,      0.72118,     99.75477,50.00000,50.00000,8.283750e-09,0.92292,1
 28.55100,   0.48000,      0.72347,     99.75477,50.00000,50.00000,8.262842e-09,0.92296,1
 28.73100,   0.52000,      0.72653,     99.78019,50.00000,50.00000,8.262842e-09,0.92296,1
 28.94200,   0.56000,      0.73021,     99.80561,50.00000,50.00000,8.262842e-09,0.92296,1
 29.11500,   0.60000,      0.73435,     99.80561,50.00000,50.00000,8.262842e-09,0.92296,1
 29.31200,   0.64000,      0.73895,     99.83084,50.00000,50.00000,8.260366e-09,0.92299,1
 29.49100,   0.68000,      0.74310,     99.83084,50.00000,50.00000,8.260366e-09,0.92299,1
 29.67800,   0.72000,      0.74693,     99.85626,50.00000,50.00000,8.260366e-09,0.92299,1
 29.87600,   0.76000,      0.75323,     99.88168,50.00000,50.00000,8.260366e-09,0.92299,1
 30.07700,   0.80000,      0.75814,     99.90710,50.00000,50.00000,8.260597e-09,0.92303,1
 30.27300,   0.84000,      0.76212,     99.93234,50.00000,50.00000,8.260597e-09,0.92303,1
 30.47400,   0.88000,      0.76781,     99.95981,50.00000,50.00000,8.260597e-09,0.92303,1
 30.67900,   0.92000,      0.77534,     99.98523,50.00000,50.00000,8.260597e-09,0.92303,1
