#EXPORTTYPE:                 ,DATA ALL                                                      
#FILE:                       ,2025_09_04_SL_PS_Container-SCF3_Isothermal_P5EER5_V1_2.ngb-ss5
#FORMAT:                     ,NETZSCH5                                                      
#FTYPE:                      ,ASCII                                                         
#IDENTITY:                   ,250825-P5EER5-V1+2                                            
#DECIMAL:                    ,POINT                                                         
#SEPARATOR:                  ,COMMA                                                         
#MTYPE:                      ,DSC                                                           
#INSTRUMENT:                 ,NETZSCH STA 449F5                                             
#PROJECT:                    ,PS-SCF3                                                       
#DATE/TIME:                  ,9/4/2025 10:06:24 AM (UTC-4)                                  
#CORR. FILE:                 ,                                                              
#TEMPCAL:                    ,05-05-2025 14:38                                              
#SENSITIVITY:                ,28-06-2023 13:53                                              
#LABORATORY:                 ,Tran                                                          
#OPERATOR:                   ,Stanley                                                       
#REMARK:                     ,2025_03_29_SL_005d_M1_isothermal                              
#SAMPLE:                     ,250825-P5EER5-V1+2                                            
#SAMPLE MASS /mg:            ,4.53                                                          
#MATERIAL:                   ,Polystyrene                                                   
#REFERENCE:                  ,                                                              
#REFERENCE MASS /mg:         ,0                                                             
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                                             
#SAMPLE CRUCIBLE MASS /mg:   ,0                                                             
#REFERENCE CRUCIBLE MASS /mg:,0                                                             
#DSC RANGE /‘V:              ,5000                                                          
#TG RANGE /mg:               ,35000                                                         
#TAU-R:                      ,---                                                           
#CORR. CODE:                 ,000                                                           
#EXO:                        ,-1                                                            
#RANGE:                      ,30›C....800›C/0.0....20.0K/min                                
#SEGMENT:                    ,S1-5/5                                                        
#SEG. 1:                     ,30›C/10.0(K/min)/100›C                                        
#SEG. 2:                     ,100›C/00:10/100›C                                             
#SEG. 3:                     ,100›C/5.0(K/min)/300›C                                        
#SEG. 4:                     ,300›C/20:00/300›C                                             
#SEG. 5:                     ,300›C/20.0(K/min)/800›C                                       

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 26.67700,   0.00000,      1.55371,    100.00000,50.00000,50.00000,            ,0.92290,1
 27.12300,   0.04000,      1.64662,     99.85011,50.00000,50.00000,8.281719e-09,0.92290,1
 27.52100,   0.08000,      1.72018,     99.74768,50.00000,50.00000,8.281719e-09,0.92290,1
 27.90800,   0.12000,      1.77477,     99.42561,50.00000,50.00000,8.287232e-09,0.92299,1
 28.28900,   0.16000,      1.81987,     99.22826,50.00000,50.00000,8.287232e-09,0.92299,1
 28.62900,   0.20000,      1.85421,     99.10839,50.00000,50.00000,8.287232e-09,0.92299,1
 28.97100,   0.24000,      1.87925,     98.93841,50.00000,50.00000,8.287232e-09,0.92299,1
 29.29300,   0.28000,      1.89335,     98.79868,50.00000,50.00000,8.291030e-09,0.92307,1
 29.61300,   0.32000,      1.90435,     98.62141,50.00000,50.00000,8.291030e-09,0.92307,1
 29.91300,   0.36000,      1.90734,     98.47903,50.00000,50.00000,8.291030e-09,0.92307,1
 30.20600,   0.40000,      1.90777,     98.36909,50.00000,50.00000,8.291030e-09,0.92307,1
 30.50400,   0.44000,      1.90255,     98.23664,50.00000,50.00000,8.279335e-09,0.92315,1
 30.77900,   0.48000,      1.89315,     98.13179,50.00000,50.00000,8.279335e-09,0.92315,1
 31.04100,   0.52000,      1.88102,     98.04194,50.00000,50.00000,8.279335e-09,0.92315,1
 31.31700,   0.56000,      1.86798,     97.94945,50.00000,50.00000,8.279335e-09,0.92315,1
 31.57400,   0.60000,      1.85330,     97.85717,50.00000,50.00000,8.279335e-09,0.92315,1
 31.82900,   0.64000,      1.83571,     97.81457,50.00000,50.00000,8.290367e-09,0.92323,1
 32.08300,   0.68000,      1.81776,     97.74216,50.00000,50.00000,8.290367e-09,0.92323,1
 32.31900,   0.72000,      1.79964,     97.65740,50.00000,50.00000,8.290367e-09,0.92323,1
 32.57800,   0.76000,      1.78224,     97.58742,50.00000,50.00000,8.290367e-09,0.92323,1
 32.81900,   0.80000,      1.76247,     97.55254,50.00000,50.00000,8.285608e-09,0.92329,1
