#EXPORTTYPE:                 ,DATA ALL                                                      
#FILE:                       ,2025_09_07_SL_PS_Red_Solo_Cup_SCF3_P5EER3_V1_2_Dynamic.ngb-ss5
#FORMAT:                     ,NETZSCH5                                                      
#FTYPE:                      ,ASCII                                                         
#IDENTITY:                   ,250821-P5EER3-V1+2                                            
#DECIMAL:                    ,POINT                                                         
#SEPARATOR:                  ,COMMA                                                         
#MTYPE:                      ,TIC                                                           
#INSTRUMENT:                 ,NETZSCH STA 449F5                                             
#PROJECT:                    ,PS-SCF3                                                       
#DATE/TIME:                  ,9/7/2025 2:06:17 PM (UTC-4)                                   
#CORR. FILE:                 ,                                                              
#TEMPCAL:                    ,05-05-2025 14:38                                              
#SENSITIVITY:                ,28-06-2023 13:53                                              
#LABORATORY:                 ,Tran                                                          
#OPERATOR:                   ,Stanley                                                       
#REMARK:                     ,2025_03_20_Styrofoam_dynamic                                  
#SAMPLE:                     ,250821-P5EER3-V1+2                                            
#SAMPLE MASS /mg:            ,4.84                                                          
#MATERIAL:                   ,Polystyrene                                                   
#REFERENCE:                  ,                                                              
#REFERENCE MASS /mg:         ,0                                                             
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                                             
#SAMPLE CRUCIBLE MASS /mg:   ,0                                                             
#REFERENCE CRUCIBLE MASS /mg:,0                                                             
#DSC RANGE /‘V:              ,5000                                                          
#TG RANGE /mg:               ,35000                                                         
                             ,                                                              

##Temp./›C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 30.33600,  0.01000,9.344011e-11,1.324177e-09,6.821352e-11,2.443135e-10,7.008552e-12,1.550198e-11,6.018638e-12,6.722450e-12,7.452964e-12,8.046150e-12,9.951592e-12,1.477528e-11,6.216341e-11,2.139759e-09,5.592447e-11,5.484682e-11,1.043636e-10,2.654553e-09,1.088238e-11,1.123524e-11,2.161980e-12,2.346992e-12,2.161980e-12,2.797127e-12,5.019188e-12,1.049987e-10,2.255440e-12,5.509376e-12,2.020836e-12,1.979351e-11,1.910210e-12,1.736641e-12,1.603126e-12,2.188682e-12,1.576424e-12,1.540184e-12,1.524925e-12,1.509666e-12,1.545906e-12,1.502037e-12,1.538277e-12,1.503944e-12,1.477242e-12,1.454353e-12,1.404762e-12,1.456261e-12,1.435280e-12,1.461983e-12,1.442909e-12,1.406670e-12,1.446724e-12,1.374245e-12,1.355171e-12,1.379967e-12,1.378059e-12,1.383781e-12,1.364708e-12,1.410484e-12,1.355171e-12,1.358986e-12,1.368523e-12,1.400948e-12,1.345634e-12,1.338005e-12,1.305580e-12,1.355171e-12,1.284599e-12,1.364708e-12,1.336098e-12,1.351356e-12,1.284599e-12,1.278877e-12,1.330376e-12,1.294136e-12,1.246452e-12,1.284599e-12,1.294136e-12,1.309395e-12,1.280785e-12,1.282692e-12,1.246452e-12,1.284599e-12,1.276970e-12,1.244545e-12,1.196861e-12,1.221657e-12,1.257896e-12,1.282692e-12,1.248360e-12,1.261711e-12,1.286507e-12,1.309395e-12,1.229286e-12,1.196861e-12,1.261711e-12,1.219749e-12,1.189232e-12,1.215935e-12,1.191139e-12,1.229286e-12,1.194954e-12,1.212120e-12,1.189232e-12,1.214027e-12,1.210213e-12,1.202583e-12,1.185417e-12,1.198769e-12,1.160622e-12,1.206398e-12,1.191139e-12,1.156807e-12,1.198769e-12,1.154900e-12,1.107216e-12,1.147270e-12,1.166344e-12,1.196861e-12,1.183510e-12,1.187325e-12,1.124382e-12,1.116753e-12,1.151085e-12,1.198769e-12,1.120567e-12,1.162529e-12,1.126289e-12,1.132011e-12,1.149178e-12,1.120567e-12,1.086235e-12,1.128197e-12,1.133919e-12,1.143455e-12,1.088142e-12,1.086235e-12
 31.05100,  0.17957,9.391320e-11,1.339245e-09,6.808001e-11,2.463791e-10,7.042885e-12,1.554203e-11,6.205559e-12,6.789207e-12,7.473945e-12,8.021354e-12,9.936332e-12,1.478481e-11,6.280809e-11,2.133083e-09,5.616671e-11,5.469805e-11,1.067001e-10,2.630329e-09,1.093006e-11,1.133633e-11,2.123833e-12,2.335548e-12,2.121925e-12,2.770424e-12,5.114555e-12,1.051570e-10,2.272606e-12,5.537987e-12,1.931190e-12,1.986217e-11,1.898765e-12,1.627922e-12,1.578331e-12,2.169609e-12,1.564979e-12,1.513481e-12,1.530647e-12,1.515388e-12,1.475334e-12,1.513481e-12,1.536369e-12,1.469612e-12,1.475334e-12,1.444817e-12,1.482963e-12,1.454353e-12,1.475334e-12,1.391411e-12,1.400948e-12,1.406670e-12,1.458168e-12,1.351356e-12,1.387596e-12,1.425743e-12,1.374245e-12,1.385689e-12,1.339912e-12,1.374245e-12,1.374245e-12,1.364708e-12,1.338005e-12,1.347542e-12,1.366615e-12,1.347542e-12,1.341820e-12,1.311302e-12,1.353264e-12,1.338005e-12,1.328468e-12,1.299858e-12,1.349449e-12,1.299858e-12,1.322746e-12,1.276970e-12,1.294136e-12,1.336098e-12,1.286507e-12,1.269340e-12,1.286507e-12,1.252174e-12,1.254082e-12,1.261711e-12,1.276970e-12,1.238823e-12,1.276970e-12,1.263618e-12,1.271248e-12,1.255989e-12,1.276970e-12,1.257896e-12,1.225471e-12,1.227379e-12,1.278877e-12,1.231194e-12,1.225471e-12,1.217842e-12,1.219749e-12,1.221657e-12,1.223564e-12,1.215935e-12,1.238823e-12,1.223564e-12,1.215935e-12,1.233101e-12,1.229286e-12,1.229286e-12,1.185417e-12,1.158714e-12,1.175880e-12,1.181602e-12,1.183510e-12,1.173973e-12,1.208305e-12,1.170158e-12,1.147270e-12,1.198769e-12,1.139641e-12,1.206398e-12,1.105309e-12,1.160622e-12,1.149178e-12,1.164436e-12,1.156807e-12,1.143455e-12,1.145363e-12,1.145363e-12,1.139641e-12,1.168251e-12,1.141548e-12,1.135826e-12,1.160622e-12,1.141548e-12,1.107216e-12,1.116753e-12,1.114845e-12,1.128197e-12
 31.98900,  0.35010,9.425270e-11,1.337337e-09,6.796175e-11,2.468827e-10,6.993294e-12,1.569462e-11,6.037712e-12,6.747246e-12,7.540702e-12,8.099556e-12,9.860038e-12,1.493740e-11,6.280809e-11,2.143192e-09,5.607897e-11,5.502039e-11,1.046172e-10,2.661228e-09,1.080990e-11,1.132679e-11,2.085686e-12,2.360344e-12,2.177238e-12,2.795219e-12,5.148887e-12,1.049300e-10,2.282143e-12,5.537987e-12,1.967430e-12,1.982784e-11,1.914024e-12,1.732826e-12,1.648903e-12,2.167702e-12,1.540184e-12,1.616478e-12,1.513481e-12,1.505852e-12,1.526833e-12,1.502037e-12,1.454353e-12,1.435280e-12,1.471519e-12,1.408577e-12,1.477242e-12,1.427650e-12,1.456261e-12,1.446724e-12,1.351356e-12,1.429558e-12,1.439095e-12,1.393318e-12,1.378059e-12,1.349449e-12,1.416206e-12,1.379967e-12,1.347542e-12,1.368523e-12,1.357079e-12,1.378059e-12,1.355171e-12,1.355171e-12,1.341820e-12,1.372337e-12,1.336098e-12,1.345634e-12,1.358986e-12,1.349449e-12,1.357079e-12,1.347542e-12,1.324654e-12,1.339912e-12,1.301765e-12,1.330376e-12,1.267433e-12,1.303673e-12,1.303673e-12,1.276970e-12,1.320839e-12,1.263618e-12,1.320839e-12,1.288414e-12,1.309395e-12,1.330376e-12,1.246452e-12,1.284599e-12,1.242638e-12,1.250267e-12,1.215935e-12,1.183510e-12,1.198769e-12,1.208305e-12,1.181602e-12,1.250267e-12,1.242638e-12,1.202583e-12,1.219749e-12,1.238823e-12,1.229286e-12,1.208305e-12,1.175880e-12,1.267433e-12,1.189232e-12,1.236916e-12,1.231194e-12,1.204491e-12,1.173973e-12,1.183510e-12,1.196861e-12,1.204491e-12,1.185417e-12,1.181602e-12,1.151085e-12,1.151085e-12,1.191139e-12,1.168251e-12,1.149178e-12,1.139641e-12,1.154900e-12,1.152992e-12,1.191139e-12,1.114845e-12,1.139641e-12,1.162529e-12,1.120567e-12,1.162529e-12,1.124382e-12,1.130104e-12,1.082420e-12,1.141548e-12,1.130104e-12,1.097679e-12,1.147270e-12,1.088142e-12,1.116753e-12,1.088142e-12
 32.55300,  0.51853,9.379494e-11,1.338482e-09,6.819826e-11,2.458565e-10,6.995201e-12,1.575756e-11,6.070137e-12,6.754875e-12,7.441520e-12,8.128166e-12,1.000881e-11,1.496601e-11,6.293017e-11,2.143383e-09,5.622774e-11,5.478770e-11,1.063720e-10,2.640629e-09,1.078701e-11,1.129436e-11,2.160072e-12,2.398491e-12,2.175331e-12,2.760887e-12,5.030632e-12,1.051971e-10,2.295494e-12,5.537987e-12,1.997948e-12,1.955318e-11,1.914024e-12,1.751900e-12,1.595497e-12,2.133369e-12,1.603126e-12,1.523018e-12,1.515388e-12,1.498222e-12,1.490593e-12,1.513481e-12,1.481056e-12,1.511574e-12,1.448631e-12,1.427650e-12,1.431465e-12,1.420021e-12,1.397133e-12,1.463890e-12,1.399040e-12,1.404762e-12,1.399040e-12,1.378059e-12,1.357079e-12,1.393318e-12,1.381874e-12,1.400948e-12,1.412392e-12,1.309395e-12,1.355171e-12,1.299858e-12,1.328468e-12,1.360893e-12,1.347542e-12,1.334190e-12,1.393318e-12,1.328468e-12,1.336098e-12,1.338005e-12,1.336098e-12,1.358986e-12,1.261711e-12,1.322746e-12,1.330376e-12,1.307487e-12,1.246452e-12,1.248360e-12,1.288414e-12,1.259804e-12,1.280785e-12,1.282692e-12,1.280785e-12,1.301765e-12,1.259804e-12,1.259804e-12,1.233101e-12,1.261711e-12,1.294136e-12,1.244545e-12,1.307487e-12,1.246452e-12,1.236916e-12,1.250267e-12,1.259804e-12,1.219749e-12,1.210213e-12,1.227379e-12,1.202583e-12,1.194954e-12,1.223564e-12,1.227379e-12,1.193047e-12,1.215935e-12,1.221657e-12,1.143455e-12,1.208305e-12,1.202583e-12,1.208305e-12,1.189232e-12,1.214027e-12,1.185417e-12,1.191139e-12,1.164436e-12,1.177788e-12,1.208305e-12,1.145363e-12,1.124382e-12,1.183510e-12,1.208305e-12,1.107216e-12,1.162529e-12,1.132011e-12,1.132011e-12,1.147270e-12,1.139641e-12,1.141548e-12,1.170158e-12,1.116753e-12,1.103401e-12,1.124382e-12,1.084328e-12,1.130104e-12,1.091957e-12,1.097679e-12,1.069069e-12,1.105309e-12,1.101494e-12
 33.32700,  0.69030,9.411919e-11,1.336765e-09,6.839663e-11,2.459843e-10,6.993294e-12,1.586819e-11,6.073952e-12,6.760597e-12,7.498741e-12,8.093834e-12,9.913444e-12,1.486874e-11,6.313235e-11,2.138424e-09,5.576998e-11,5.496699e-11,1.050864e-10,2.652073e-09,1.088428e-11,1.121616e-11,2.148628e-12,2.413750e-12,2.213478e-12,2.736092e-12,5.141258e-12,1.051685e-10,2.257347e-12,5.463600e-12,1.961708e-12,1.942158e-11,1.919746e-12,1.708031e-12,1.564979e-12,2.120018e-12,1.620293e-12,1.568794e-12,1.519203e-12,1.513481e-12,1.515388e-12,1.509666e-12,1.442909e-12,1.456261e-12,1.482963e-12,1.458168e-12,1.467705e-12,1.408577e-12,1.498222e-12,1.423836e-12,1.479149e-12,1.406670e-12,1.435280e-12,1.420021e-12,1.397133e-12,1.410484e-12,1.357079e-12,1.385689e-12,1.406670e-12,1.366615e-12,1.336098e-12,1.328468e-12,1.339912e-12,1.349449e-12,1.317024e-12,1.400948e-12,1.357079e-12,1.353264e-12,1.286507e-12,1.345634e-12,1.320839e-12,1.376152e-12,1.286507e-12,1.320839e-12,1.278877e-12,1.278877e-12,1.294136e-12,1.307487e-12,1.255989e-12,1.297951e-12,1.257896e-12,1.311302e-12,1.280785e-12,1.250267e-12,1.265526e-12,1.263618e-12,1.217842e-12,1.263618e-12,1.202583e-12,1.282692e-12,1.280785e-12,1.246452e-12,1.250267e-12,1.263618e-12,1.257896e-12,1.214027e-12,1.267433e-12,1.208305e-12,1.242638e-12,1.212120e-12,1.196861e-12,1.189232e-12,1.276970e-12,1.191139e-12,1.212120e-12,1.235008e-12,1.225471e-12,1.152992e-12,1.179695e-12,1.160622e-12,1.198769e-12,1.191139e-12,1.154900e-12,1.120567e-12,1.156807e-12,1.168251e-12,1.166344e-12,1.166344e-12,1.145363e-12,1.139641e-12,1.164436e-12,1.116753e-12,1.107216e-12,1.151085e-12,1.143455e-12,1.158714e-12,1.164436e-12,1.147270e-12,1.105309e-12,1.141548e-12,1.139641e-12,1.095772e-12,1.135826e-12,1.097679e-12,1.126289e-12,1.090050e-12,1.109123e-12,1.099586e-12
 33.99700,  0.85747,9.395516e-11,1.332569e-09,6.825739e-11,2.453721e-10,6.993294e-12,1.562595e-11,6.056785e-12,6.737709e-12,7.452964e-12,8.097648e-12,9.949683e-12,1.490879e-11,6.278139e-11,2.135563e-09,5.597979e-11,5.467325e-11,1.049548e-10,2.645397e-09,1.093197e-11,1.134396e-11,2.160072e-12,2.369881e-12,2.152443e-12,2.781868e-12,5.093574e-12,1.049796e-10,2.261162e-12,5.557060e-12,2.007484e-12,1.935291e-11,1.931190e-12,1.700401e-12,1.591682e-12,2.184868e-12,1.524925e-12,1.545906e-12,1.458168e-12,1.524925e-12,1.469612e-12,1.509666e-12,1.496315e-12,1.488686e-12,1.444817e-12,1.500130e-12,1.397133e-12,1.456261e-12,1.376152e-12,1.458168e-12,1.442909e-12,1.379967e-12,1.418114e-12,1.364708e-12,1.402855e-12,1.379967e-12,1.391411e-12,1.379967e-12,1.425743e-12,1.349449e-12,1.353264e-12,1.397133e-12,1.305580e-12,1.330376e-12,1.307487e-12,1.318932e-12,1.370430e-12,1.364708e-12,1.330376e-12,1.307487e-12,1.341820e-12,1.372337e-12,1.334190e-12,1.313210e-12,1.294136e-12,1.288414e-12,1.339912e-12,1.328468e-12,1.305580e-12,1.292229e-12,1.275063e-12,1.275063e-12,1.269340e-12,1.275063e-12,1.250267e-12,1.290321e-12,1.261711e-12,1.242638e-12,1.259804e-12,1.238823e-12,1.235008e-12,1.276970e-12,1.236916e-12,1.280785e-12,1.286507e-12,1.225471e-12,1.265526e-12,1.252174e-12,1.238823e-12,1.204491e-12,1.254082e-12,1.233101e-12,1.202583e-12,1.231194e-12,1.177788e-12,1.177788e-12,1.227379e-12,1.189232e-12,1.194954e-12,1.154900e-12,1.210213e-12,1.166344e-12,1.185417e-12,1.147270e-12,1.212120e-12,1.105309e-12,1.217842e-12,1.147270e-12,1.185417e-12,1.172066e-12,1.143455e-12,1.172066e-12,1.164436e-12,1.124382e-12,1.172066e-12,1.204491e-12,1.181602e-12,1.147270e-12,1.145363e-12,1.137733e-12,1.078606e-12,1.143455e-12,1.137733e-12,1.109123e-12,1.040459e-12,1.078606e-12,1.105309e-12,1.122475e-12
 34.40400,  1.03058,9.464562e-11,1.335430e-09,6.780344e-11,2.439187e-10,7.039070e-12,1.569653e-11,6.089210e-12,6.831169e-12,7.506371e-12,8.170128e-12,9.943961e-12,1.479054e-11,6.354624e-11,2.130985e-09,5.595308e-11,5.476862e-11,1.066104e-10,2.654362e-09,1.086712e-11,1.122570e-11,2.114296e-12,2.371788e-12,2.215385e-12,2.802849e-12,5.167961e-12,1.048728e-10,2.190590e-12,5.572319e-12,2.003670e-12,1.927280e-11,1.875877e-12,1.706123e-12,1.593590e-12,2.207756e-12,1.589775e-12,1.564979e-12,1.563072e-12,1.555443e-12,1.456261e-12,1.559257e-12,1.479149e-12,1.458168e-12,1.502037e-12,1.425743e-12,1.412392e-12,1.465797e-12,1.408577e-12,1.389503e-12,1.450539e-12,1.427650e-12,1.385689e-12,1.431465e-12,1.404762e-12,1.433372e-12,1.343727e-12,1.402855e-12,1.370430e-12,1.410484e-12,1.364708e-12,1.322746e-12,1.383781e-12,1.317024e-12,1.355171e-12,1.339912e-12,1.320839e-12,1.322746e-12,1.360893e-12,1.318932e-12,1.339912e-12,1.343727e-12,1.349449e-12,1.307487e-12,1.278877e-12,1.307487e-12,1.299858e-12,1.336098e-12,1.263618e-12,1.290321e-12,1.271248e-12,1.330376e-12,1.248360e-12,1.299858e-12,1.286507e-12,1.231194e-12,1.282692e-12,1.280785e-12,1.223564e-12,1.269340e-12,1.276970e-12,1.238823e-12,1.259804e-12,1.212120e-12,1.269340e-12,1.254082e-12,1.196861e-12,1.236916e-12,1.246452e-12,1.225471e-12,1.202583e-12,1.225471e-12,1.238823e-12,1.189232e-12,1.202583e-12,1.194954e-12,1.208305e-12,1.175880e-12,1.181602e-12,1.198769e-12,1.210213e-12,1.185417e-12,1.175880e-12,1.147270e-12,1.164436e-12,1.214027e-12,1.170158e-12,1.147270e-12,1.118660e-12,1.137733e-12,1.152992e-12,1.185417e-12,1.158714e-12,1.175880e-12,1.126289e-12,1.116753e-12,1.145363e-12,1.183510e-12,1.057625e-12,1.170158e-12,1.151085e-12,1.166344e-12,1.099586e-12,1.133919e-12,1.160622e-12,1.122475e-12,1.103401e-12,1.088142e-12
 34.96800,  1.20237,9.337145e-11,1.333332e-09,6.802851e-11,2.462094e-10,6.966590e-12,1.581478e-11,6.085396e-12,6.764412e-12,7.567406e-12,8.122444e-12,9.871483e-12,1.478291e-11,6.295114e-11,2.134228e-09,5.629068e-11,5.476290e-11,1.062347e-10,2.643299e-09,1.084995e-11,1.132870e-11,2.118111e-12,2.354622e-12,2.161980e-12,2.814293e-12,5.095482e-12,1.049644e-10,2.320290e-12,5.581856e-12,1.957893e-12,1.921177e-11,1.921654e-12,1.751900e-12,1.620293e-12,2.135277e-12,1.543999e-12,1.578331e-12,1.528740e-12,1.484871e-12,1.471519e-12,1.549721e-12,1.517296e-12,1.486778e-12,1.461983e-12,1.412392e-12,1.402855e-12,1.414299e-12,1.389503e-12,1.402855e-12,1.423836e-12,1.400948e-12,1.378059e-12,1.402855e-12,1.431465e-12,1.427650e-12,1.364708e-12,1.379967e-12,1.364708e-12,1.330376e-12,1.379967e-12,1.404762e-12,1.311302e-12,1.366615e-12,1.317024e-12,1.349449e-12,1.364708e-12,1.284599e-12,1.347542e-12,1.317024e-12,1.299858e-12,1.326561e-12,1.282692e-12,1.318932e-12,1.311302e-12,1.255989e-12,1.336098e-12,1.345634e-12,1.290321e-12,1.271248e-12,1.292229e-12,1.317024e-12,1.290321e-12,1.320839e-12,1.294136e-12,1.275063e-12,1.267433e-12,1.242638e-12,1.214027e-12,1.284599e-12,1.254082e-12,1.263618e-12,1.242638e-12,1.263618e-12,1.191139e-12,1.252174e-12,1.200676e-12,1.238823e-12,1.229286e-12,1.204491e-12,1.225471e-12,1.175880e-12,1.240730e-12,1.196861e-12,1.189232e-12,1.164436e-12,1.196861e-12,1.204491e-12,1.202583e-12,1.172066e-12,1.225471e-12,1.191139e-12,1.177788e-12,1.200676e-12,1.202583e-12,1.158714e-12,1.147270e-12,1.177788e-12,1.152992e-12,1.132011e-12,1.132011e-12,1.124382e-12,1.122475e-12,1.147270e-12,1.137733e-12,1.139641e-12,1.111031e-12,1.137733e-12,1.160622e-12,1.152992e-12,1.130104e-12,1.095772e-12,1.093864e-12,1.097679e-12,1.120567e-12,1.091957e-12,1.065254e-12,1.103401e-12
 35.33300,  1.36711,9.397995e-11,1.334858e-09,6.812197e-11,2.444260e-10,7.079124e-12,1.566791e-11,6.001472e-12,6.735802e-12,7.466316e-12,8.107185e-12,1.001453e-11,1.480007e-11,6.224924e-11,2.151012e-09,5.601793e-11,5.467135e-11,1.049434e-10,2.648640e-09,1.087093e-11,1.122379e-11,2.146721e-12,2.358437e-12,2.184868e-12,2.800941e-12,5.097389e-12,1.052905e-10,2.268791e-12,5.566597e-12,1.959801e-12,1.907253e-11,1.925468e-12,1.646995e-12,1.584053e-12,2.181053e-12,1.564979e-12,1.481056e-12,1.547813e-12,1.507759e-12,1.528740e-12,1.547813e-12,1.450539e-12,1.471519e-12,1.456261e-12,1.467705e-12,1.502037e-12,1.490593e-12,1.458168e-12,1.414299e-12,1.393318e-12,1.370430e-12,1.416206e-12,1.341820e-12,1.383781e-12,1.412392e-12,1.362801e-12,1.366615e-12,1.374245e-12,1.332283e-12,1.374245e-12,1.360893e-12,1.353264e-12,1.328468e-12,1.353264e-12,1.345634e-12,1.311302e-12,1.347542e-12,1.280785e-12,1.303673e-12,1.326561e-12,1.324654e-12,1.378059e-12,1.307487e-12,1.311302e-12,1.349449e-12,1.250267e-12,1.265526e-12,1.307487e-12,1.257896e-12,1.273155e-12,1.322746e-12,1.301765e-12,1.278877e-12,1.284599e-12,1.248360e-12,1.278877e-12,1.236916e-12,1.286507e-12,1.275063e-12,1.299858e-12,1.244545e-12,1.252174e-12,1.193047e-12,1.235008e-12,1.236916e-12,1.212120e-12,1.254082e-12,1.191139e-12,1.202583e-12,1.244545e-12,1.154900e-12,1.183510e-12,1.189232e-12,1.166344e-12,1.160622e-12,1.242638e-12,1.196861e-12,1.173973e-12,1.210213e-12,1.189232e-12,1.160622e-12,1.168251e-12,1.198769e-12,1.152992e-12,1.160622e-12,1.212120e-12,1.177788e-12,1.154900e-12,1.156807e-12,1.177788e-12,1.158714e-12,1.154900e-12,1.116753e-12,1.141548e-12,1.156807e-12,1.112938e-12,1.093864e-12,1.149178e-12,1.114845e-12,1.181602e-12,1.124382e-12,1.103401e-12,1.103401e-12,1.112938e-12,1.126289e-12,1.082420e-12,1.128197e-12
 35.79000,  1.53763,9.425079e-11,1.339626e-09,6.812006e-11,2.465451e-10,7.039070e-12,1.565647e-11,6.070137e-12,6.789207e-12,7.609367e-12,8.109092e-12,9.860038e-12,1.501370e-11,6.327921e-11,2.144337e-09,5.610376e-11,5.482584e-11,1.063014e-10,2.651692e-09,1.089764e-11,1.122189e-11,2.184868e-12,2.337456e-12,2.181053e-12,2.760887e-12,5.127907e-12,1.049129e-10,2.295494e-12,5.488395e-12,1.948357e-12,1.907635e-11,1.908302e-12,1.700401e-12,1.597404e-12,2.182960e-12,1.521110e-12,1.511574e-12,1.503944e-12,1.503944e-12,1.532555e-12,1.488686e-12,1.467705e-12,1.500130e-12,1.433372e-12,1.500130e-12,1.463890e-12,1.444817e-12,1.479149e-12,1.420021e-12,1.433372e-12,1.429558e-12,1.383781e-12,1.465797e-12,1.385689e-12,1.412392e-12,1.355171e-12,1.381874e-12,1.383781e-12,1.406670e-12,1.414299e-12,1.383781e-12,1.303673e-12,1.345634e-12,1.353264e-12,1.370430e-12,1.322746e-12,1.336098e-12,1.339912e-12,1.305580e-12,1.336098e-12,1.324654e-12,1.267433e-12,1.288414e-12,1.324654e-12,1.343727e-12,1.301765e-12,1.299858e-12,1.324654e-12,1.267433e-12,1.248360e-12,1.343727e-12,1.265526e-12,1.217842e-12,1.254082e-12,1.290321e-12,1.311302e-12,1.250267e-12,1.273155e-12,1.223564e-12,1.257896e-12,1.227379e-12,1.233101e-12,1.286507e-12,1.248360e-12,1.269340e-12,1.246452e-12,1.214027e-12,1.208305e-12,1.214027e-12,1.212120e-12,1.223564e-12,1.204491e-12,1.217842e-12,1.233101e-12,1.173973e-12,1.173973e-12,1.160622e-12,1.168251e-12,1.172066e-12,1.185417e-12,1.143455e-12,1.158714e-12,1.172066e-12,1.179695e-12,1.179695e-12,1.179695e-12,1.116753e-12,1.151085e-12,1.173973e-12,1.149178e-12,1.152992e-12,1.151085e-12,1.133919e-12,1.183510e-12,1.172066e-12,1.137733e-12,1.130104e-12,1.166344e-12,1.103401e-12,1.143455e-12,1.164436e-12,1.139641e-12,1.130104e-12,1.112938e-12,1.114845e-12,1.105309e-12,1.132011e-12
