#EXPORTTYPE:                 ,DATA ALL                                                      
#FILE:                       ,2025_09_07_SL_PS_Red_Solo_Cup_SCF3_P5EER3_V1_2_Dynamic.ngb-ss5
#FORMAT:                     ,NETZSCH5                                                      
#FTYPE:                      ,ASCII                                                         
#IDENTITY:                   ,250821-P5EER3-V1+2                                            
#DECIMAL:                    ,POINT                                                         
#SEPARATOR:                  ,COMMA                                                         
#MTYPE:                      ,DSC                                                           
#INSTRUMENT:                 ,NETZSCH STA 449F5                                             
#PROJECT:                    ,PS-SCF3                                                       
#DATE/TIME:                  ,9/7/2025 2:06:17 PM (UTC-4)                                   
#CORR. FILE:                 ,                                                              
#TEMPCAL:                    ,05-05-2025 14:38                                              
#SENSITIVITY:                ,28-06-2023 13:53                                              
#LABORATORY:                 ,Tran                                                          
#OPERATOR:                   ,Stanley                                                       
#REMARK:                     ,2025_03_20_Styrofoam_dynamic                                  
#SAMPLE:                     ,250821-P5EER3-V1+2                                            
#SAMPLE MASS /mg:            ,4.84                                                          
#MATERIAL:                   ,Polystyrene                                                   
#REFERENCE:                  ,                                                              
#REFERENCE MASS /mg:         ,0                                                             
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                                             
#SAMPLE CRUCIBLE MASS /mg:   ,0                                                             
#REFERENCE CRUCIBLE MASS /mg:,0                                                             
#DSC RANGE /‘V:              ,5000                                                          
#TG RANGE /mg:               ,35000                                                         
#TAU-R:                      ,---                                                           
#CORR. CODE:                 ,000                                                           
#EXO:                        ,-1                                                            
#RANGE:                      ,20›C....800›C/0.0....20.0K/min                                
#SEGMENT:                    ,S1-4/4                                                        
#SEG. 1:                     ,20›C/5.0(K/min)/100›C                                         
#SEG. 2:                     ,100›C/00:05/100›C                                             
#SEG. 3:                     ,100›C/1.0(K/min)/400›C                                        
#SEG. 4:                     ,400›C/20.0(K/min)/800›C                                       

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 30.33600,  0.00000,      1.28582,    100.00000,50.00000,37.00000,            ,0.92362,1
 30.70300,  0.06667,      1.24647,     99.75227,50.00000,37.00000,7.186360e-09,0.92362,1
 31.05100,  0.13333,      1.20680,     99.57459,50.00000,37.00000,7.176746e-09,0.92368,1
 31.38000,  0.20000,      1.16697,     99.47417,50.00000,37.00000,7.176746e-09,0.92368,1
 31.69300,  0.26667,      1.12799,     99.35950,50.00000,37.00000,7.214505e-09,0.92375,1
 31.98900,  0.33333,      1.08545,     99.28471,50.00000,37.00000,7.214505e-09,0.92375,1
 32.27400,  0.40000,      1.04445,     99.15145,50.00000,37.00000,7.214505e-09,0.92375,1
 32.55300,  0.46667,      1.00550,     99.02521,50.00000,36.00000,7.195358e-09,0.92380,1
 32.82000,  0.53333,      0.96724,     98.95744,50.00000,36.00000,7.195358e-09,0.92380,1
 33.08800,  0.60000,      0.92949,     98.88967,50.00000,36.00000,7.195358e-09,0.92380,1
 33.32700,  0.66667,      0.89329,     98.83368,50.00000,36.00000,7.199471e-09,0.92386,1
 33.55600,  0.73333,      0.85999,     98.72376,50.00000,36.00000,7.199471e-09,0.92386,1
 33.77700,  0.80000,      0.82653,     98.62087,50.00000,35.00000,7.184247e-09,0.92391,1
 33.99700,  0.86667,      0.79392,     98.55083,50.00000,35.00000,7.184247e-09,0.92391,1
 34.19600,  0.93333,      0.76217,     98.48760,50.00000,35.00000,7.184247e-09,0.92391,1
 34.40400,  1.00000,      0.73367,     98.43616,50.00000,35.00000,7.192894e-09,0.92396,1
 34.59800,  1.06667,      0.70636,     98.38946,50.00000,35.00000,7.192894e-09,0.92396,1
 34.77600,  1.13333,      0.67973,     98.33099,50.00000,34.00000,7.182942e-09,0.92401,1
 34.96800,  1.20000,      0.65482,     98.23988,50.00000,34.00000,7.182942e-09,0.92401,1
 35.14000,  1.26667,      0.62973,     98.20248,50.00000,34.00000,7.182942e-09,0.92401,1
 35.33300,  1.33333,      0.60618,     98.14174,50.00000,34.00000,7.203155e-09,0.92405,1
 35.48100,  1.40000,      0.58315,     98.08802,50.00000,34.00000,7.203155e-09,0.92405,1
 35.63100,  1.46667,      0.56250,     98.05289,50.00000,33.00000,7.209601e-09,0.92409,1
 35.79000,  1.53333,      0.54015,     98.02252,50.00000,33.00000,7.209601e-09,0.92409,1
 35.92700,  1.60000,      0.52207,     97.96880,50.00000,33.00000,7.209601e-09,0.92409,1
 36.08000,  1.66667,      0.50313,     97.93140,50.00000,33.00000,7.209601e-09,0.92413,1
 36.20900,  1.73333,      0.48300,     97.86116,50.00000,33.00000,7.209601e-09,0.92413,1
 36.33900,  1.80000,      0.46611,     94.89731,50.00000,33.00000,7.210545e-09,0.92417,1
 36.46100,  1.86667,      0.44735,     90.74835,50.00000,33.00000,7.210545e-09,0.92417,1
 36.57400,  1.93333,      0.43098,     90.01901,50.00000,33.00000,7.210545e-09,0.92417,1
 36.70500,  2.00000,      0.41562,     89.71054,50.00000,33.00000,7.218391e-09,0.92421,1
 36.80400,  2.06667,      0.40147,     89.50702,50.00000,33.00000,7.218391e-09,0.92421,1
 36.90900,  2.13333,      0.38510,     89.37376,50.00000,33.00000,7.214354e-09,0.92424,1
 37.01200,  2.20000,      0.36992,     89.32252,50.00000,33.00000,7.214354e-09,0.92424,1
 37.11000,  2.26667,      0.35594,     89.17975,50.00000,33.00000,7.214354e-09,0.92424,1
 37.19100,  2.33333,      0.34400,     89.12149,50.00000,33.00000,7.202559e-09,0.92427,1
 37.28900,  2.40000,      0.32985,     89.15186,50.00000,33.00000,7.202559e-09,0.92427,1
 37.37300,  2.46667,      0.31723,     89.26405,50.00000,33.00000,7.202559e-09,0.92427,1
