#EXPORTTYPE:                 ,DATA ALL                                                   
#FILE:                       ,2025_09_08_SL_PS_Container-SCF3_Dynamic_P5EER5_V1_2.ngb-ss5
#FORMAT:                     ,NETZSCH5                                                   
#FTYPE:                      ,ASCII                                                      
#IDENTITY:                   ,P5EER5_V1+2                                                
#DECIMAL:                    ,POINT                                                      
#SEPARATOR:                  ,COMMA                                                      
#MTYPE:                      ,TIC                                                        
#INSTRUMENT:                 ,NETZSCH STA 449F5                                          
#PROJECT:                    ,PS-SCF3                                                    
#DATE/TIME:                  ,9/8/2025 4:49:01 PM (UTC-4)                                
#CORR. FILE:                 ,                                                           
#TEMPCAL:                    ,05-05-2025 14:38                                           
#SENSITIVITY:                ,28-06-2023 13:53                                           
#LABORATORY:                 ,Tran                                                       
#OPERATOR:                   ,Stanley                                                    
#REMARK:                     ,2025_03_20_Styrofoam_dynamic                               
#SAMPLE:                     ,P5EER5_V1+2                                                
#SAMPLE MASS /mg:            ,4.63                                                       
#MATERIAL:                   ,Polystyrene                                                
#REFERENCE:                  ,                                                           
#REFERENCE MASS /mg:         ,0                                                          
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                                          
#SAMPLE CRUCIBLE MASS /mg:   ,0                                                          
#REFERENCE CRUCIBLE MASS /mg:,0                                                          
#DSC RANGE /‘V:              ,5000                                                       
#TG RANGE /mg:               ,35000                                                      
                             ,                                                           

##Temp./›C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 38.58900,  0.01000,9.059244e-11,1.268673e-09,6.758028e-11,2.441475e-10,6.962776e-12,1.499271e-11,5.951881e-12,6.644249e-12,7.378578e-12,7.933616e-12,9.709358e-12,1.439953e-11,5.830294e-11,1.981449e-09,5.474382e-11,5.260569e-11,9.967148e-11,2.518940e-09,1.053524e-11,1.077175e-11,2.144813e-12,2.346992e-12,2.163887e-12,2.764702e-12,5.002022e-12,9.847557e-11,2.274513e-12,5.347252e-12,1.946449e-12,1.879215e-11,1.898765e-12,1.717567e-12,1.603126e-12,2.100944e-12,1.589775e-12,1.509666e-12,1.553535e-12,1.513481e-12,1.490593e-12,1.517296e-12,1.463890e-12,1.557350e-12,1.481056e-12,1.475334e-12,1.456261e-12,1.427650e-12,1.458168e-12,1.439095e-12,1.435280e-12,1.439095e-12,1.460075e-12,1.412392e-12,1.347542e-12,1.414299e-12,1.454353e-12,1.427650e-12,1.355171e-12,1.427650e-12,1.408577e-12,1.366615e-12,1.358986e-12,1.339912e-12,1.336098e-12,1.351356e-12,1.345634e-12,1.376152e-12,1.338005e-12,1.355171e-12,1.334190e-12,1.301765e-12,1.343727e-12,1.307487e-12,1.299858e-12,1.303673e-12,1.318932e-12,1.271248e-12,1.240730e-12,1.271248e-12,1.265526e-12,1.326561e-12,1.280785e-12,1.255989e-12,1.261711e-12,1.305580e-12,1.286507e-12,1.267433e-12,1.233101e-12,1.231194e-12,1.278877e-12,1.233101e-12,1.265526e-12,1.244545e-12,1.246452e-12,1.229286e-12,1.223564e-12,1.242638e-12,1.225471e-12,1.227379e-12,1.221657e-12,1.214027e-12,1.191139e-12,1.185417e-12,1.170158e-12,1.172066e-12,1.181602e-12,1.194954e-12,1.183510e-12,1.168251e-12,1.162529e-12,1.191139e-12,1.179695e-12,1.214027e-12,1.198769e-12,1.170158e-12,1.156807e-12,1.164436e-12,1.111031e-12,1.166344e-12,1.172066e-12,1.133919e-12,1.156807e-12,1.189232e-12,1.145363e-12,1.145363e-12,1.143455e-12,1.078606e-12,1.158714e-12,1.105309e-12,1.172066e-12,1.156807e-12,1.135826e-12,1.135826e-12,1.149178e-12,1.147270e-12,1.152992e-12,1.124382e-12
 40.29500,  0.17942,9.072977e-11,1.277065e-09,6.744486e-11,2.452900e-10,7.039070e-12,1.496029e-11,6.033897e-12,6.678581e-12,7.443428e-12,7.929802e-12,9.757042e-12,1.441479e-11,5.820566e-11,1.987171e-09,5.475336e-11,5.267817e-11,9.958755e-11,2.516842e-09,1.059246e-11,1.068592e-11,2.154350e-12,2.369881e-12,2.161980e-12,2.667427e-12,4.920006e-12,9.848320e-11,2.266884e-12,5.328178e-12,1.976967e-12,1.885128e-11,1.902580e-12,1.711845e-12,1.595497e-12,2.171516e-12,1.561165e-12,1.563072e-12,1.524925e-12,1.530647e-12,1.481056e-12,1.524925e-12,1.429558e-12,1.498222e-12,1.467705e-12,1.463890e-12,1.477242e-12,1.461983e-12,1.404762e-12,1.408577e-12,1.441002e-12,1.410484e-12,1.427650e-12,1.463890e-12,1.355171e-12,1.393318e-12,1.421928e-12,1.378059e-12,1.351356e-12,1.305580e-12,1.328468e-12,1.391411e-12,1.378059e-12,1.347542e-12,1.355171e-12,1.282692e-12,1.311302e-12,1.357079e-12,1.330376e-12,1.338005e-12,1.271248e-12,1.353264e-12,1.299858e-12,1.246452e-12,1.328468e-12,1.311302e-12,1.276970e-12,1.305580e-12,1.278877e-12,1.263618e-12,1.313210e-12,1.278877e-12,1.303673e-12,1.261711e-12,1.284599e-12,1.240730e-12,1.254082e-12,1.286507e-12,1.259804e-12,1.242638e-12,1.257896e-12,1.242638e-12,1.246452e-12,1.227379e-12,1.261711e-12,1.250267e-12,1.233101e-12,1.233101e-12,1.208305e-12,1.173973e-12,1.280785e-12,1.236916e-12,1.194954e-12,1.242638e-12,1.217842e-12,1.172066e-12,1.212120e-12,1.202583e-12,1.200676e-12,1.202583e-12,1.225471e-12,1.149178e-12,1.160622e-12,1.177788e-12,1.154900e-12,1.164436e-12,1.181602e-12,1.166344e-12,1.177788e-12,1.151085e-12,1.122475e-12,1.130104e-12,1.191139e-12,1.183510e-12,1.185417e-12,1.143455e-12,1.173973e-12,1.160622e-12,1.154900e-12,1.143455e-12,1.109123e-12,1.111031e-12,1.147270e-12,1.101494e-12,1.126289e-12,1.152992e-12,1.122475e-12,1.135826e-12
 42.42100,  0.34640,9.071833e-11,1.276684e-09,6.770998e-11,2.444832e-10,6.943703e-12,1.493740e-11,6.033897e-12,6.642342e-12,7.317542e-12,7.952690e-12,9.709358e-12,1.452541e-11,5.787569e-11,1.981640e-09,5.501848e-11,5.281550e-11,1.007377e-10,2.525044e-09,1.065350e-11,1.081371e-11,2.062797e-12,2.398491e-12,2.194405e-12,2.758980e-12,4.954338e-12,9.887612e-11,2.306938e-12,5.339622e-12,1.957893e-12,1.881885e-11,1.841545e-12,1.692772e-12,1.610756e-12,2.120018e-12,1.543999e-12,1.549721e-12,1.568794e-12,1.524925e-12,1.532555e-12,1.555443e-12,1.538277e-12,1.463890e-12,1.505852e-12,1.486778e-12,1.442909e-12,1.469612e-12,1.420021e-12,1.427650e-12,1.385689e-12,1.397133e-12,1.366615e-12,1.385689e-12,1.387596e-12,1.421928e-12,1.353264e-12,1.341820e-12,1.383781e-12,1.334190e-12,1.397133e-12,1.303673e-12,1.320839e-12,1.330376e-12,1.318932e-12,1.353264e-12,1.372337e-12,1.355171e-12,1.332283e-12,1.374245e-12,1.305580e-12,1.362801e-12,1.328468e-12,1.318932e-12,1.305580e-12,1.299858e-12,1.296043e-12,1.334190e-12,1.307487e-12,1.290321e-12,1.240730e-12,1.284599e-12,1.248360e-12,1.299858e-12,1.240730e-12,1.299858e-12,1.223564e-12,1.255989e-12,1.221657e-12,1.252174e-12,1.229286e-12,1.254082e-12,1.288414e-12,1.278877e-12,1.191139e-12,1.280785e-12,1.235008e-12,1.238823e-12,1.215935e-12,1.255989e-12,1.217842e-12,1.265526e-12,1.214027e-12,1.210213e-12,1.214027e-12,1.202583e-12,1.214027e-12,1.175880e-12,1.183510e-12,1.166344e-12,1.191139e-12,1.173973e-12,1.189232e-12,1.229286e-12,1.194954e-12,1.132011e-12,1.143455e-12,1.189232e-12,1.143455e-12,1.156807e-12,1.164436e-12,1.166344e-12,1.162529e-12,1.101494e-12,1.099586e-12,1.132011e-12,1.147270e-12,1.132011e-12,1.137733e-12,1.109123e-12,1.126289e-12,1.130104e-12,1.181602e-12,1.156807e-12,1.135826e-12,1.107216e-12,1.156807e-12,1.126289e-12
 43.64800,  0.51935,8.973604e-11,1.277447e-09,6.777102e-11,2.440789e-10,6.991386e-12,1.488590e-11,6.066322e-12,6.730080e-12,7.428169e-12,7.935524e-12,9.682655e-12,1.429653e-11,5.826670e-11,1.979160e-09,5.479914e-11,5.258852e-11,9.999001e-11,2.517605e-09,1.067066e-11,1.075458e-11,2.156258e-12,2.402306e-12,2.188682e-12,2.720833e-12,4.998207e-12,9.873116e-11,2.280235e-12,5.402565e-12,1.954079e-12,1.890469e-11,1.894951e-12,1.709938e-12,1.616478e-12,2.112389e-12,1.572609e-12,1.523018e-12,1.572609e-12,1.513481e-12,1.481056e-12,1.486778e-12,1.490593e-12,1.530647e-12,1.431465e-12,1.448631e-12,1.446724e-12,1.400948e-12,1.452446e-12,1.427650e-12,1.414299e-12,1.368523e-12,1.446724e-12,1.412392e-12,1.442909e-12,1.379967e-12,1.420021e-12,1.404762e-12,1.353264e-12,1.334190e-12,1.339912e-12,1.364708e-12,1.347542e-12,1.339912e-12,1.423836e-12,1.338005e-12,1.347542e-12,1.322746e-12,1.330376e-12,1.313210e-12,1.353264e-12,1.332283e-12,1.318932e-12,1.320839e-12,1.311302e-12,1.309395e-12,1.303673e-12,1.299858e-12,1.324654e-12,1.275063e-12,1.294136e-12,1.275063e-12,1.271248e-12,1.250267e-12,1.288414e-12,1.286507e-12,1.311302e-12,1.233101e-12,1.214027e-12,1.231194e-12,1.267433e-12,1.263618e-12,1.290321e-12,1.227379e-12,1.244545e-12,1.194954e-12,1.250267e-12,1.227379e-12,1.204491e-12,1.235008e-12,1.236916e-12,1.215935e-12,1.225471e-12,1.215935e-12,1.162529e-12,1.223564e-12,1.160622e-12,1.189232e-12,1.210213e-12,1.139641e-12,1.196861e-12,1.166344e-12,1.202583e-12,1.206398e-12,1.164436e-12,1.162529e-12,1.152992e-12,1.189232e-12,1.132011e-12,1.151085e-12,1.152992e-12,1.194954e-12,1.151085e-12,1.149178e-12,1.141548e-12,1.112938e-12,1.137733e-12,1.160622e-12,1.126289e-12,1.139641e-12,1.111031e-12,1.126289e-12,1.122475e-12,1.147270e-12,1.128197e-12,1.067162e-12,1.086235e-12,1.078606e-12
 45.24900,  0.69227,9.077745e-11,1.277447e-09,6.758791e-11,2.455876e-10,6.968498e-12,1.515675e-11,6.068230e-12,6.615639e-12,7.353783e-12,7.945060e-12,9.842872e-12,1.450443e-11,5.783373e-11,1.980114e-09,5.490404e-11,5.241114e-11,9.833443e-11,2.514172e-09,1.060390e-11,1.086712e-11,2.144813e-12,2.356529e-12,2.121925e-12,2.741814e-12,4.866600e-12,9.906113e-11,2.226829e-12,5.333900e-12,1.955986e-12,1.893139e-11,1.887321e-12,1.702309e-12,1.652718e-12,2.118111e-12,1.570702e-12,1.543999e-12,1.509666e-12,1.479149e-12,1.502037e-12,1.494408e-12,1.515388e-12,1.469612e-12,1.507759e-12,1.444817e-12,1.463890e-12,1.425743e-12,1.463890e-12,1.448631e-12,1.431465e-12,1.402855e-12,1.475334e-12,1.387596e-12,1.441002e-12,1.416206e-12,1.383781e-12,1.397133e-12,1.366615e-12,1.372337e-12,1.353264e-12,1.376152e-12,1.379967e-12,1.332283e-12,1.349449e-12,1.364708e-12,1.343727e-12,1.362801e-12,1.305580e-12,1.338005e-12,1.376152e-12,1.320839e-12,1.286507e-12,1.301765e-12,1.294136e-12,1.358986e-12,1.317024e-12,1.278877e-12,1.309395e-12,1.353264e-12,1.276970e-12,1.261711e-12,1.286507e-12,1.286507e-12,1.284599e-12,1.280785e-12,1.212120e-12,1.269340e-12,1.267433e-12,1.242638e-12,1.235008e-12,1.244545e-12,1.250267e-12,1.257896e-12,1.236916e-12,1.217842e-12,1.221657e-12,1.191139e-12,1.206398e-12,1.219749e-12,1.231194e-12,1.238823e-12,1.189232e-12,1.210213e-12,1.225471e-12,1.219749e-12,1.193047e-12,1.183510e-12,1.267433e-12,1.185417e-12,1.173973e-12,1.191139e-12,1.193047e-12,1.162529e-12,1.244545e-12,1.185417e-12,1.154900e-12,1.133919e-12,1.158714e-12,1.137733e-12,1.135826e-12,1.162529e-12,1.135826e-12,1.137733e-12,1.170158e-12,1.147270e-12,1.090050e-12,1.093864e-12,1.091957e-12,1.162529e-12,1.114845e-12,1.118660e-12,1.116753e-12,1.114845e-12,1.122475e-12,1.132011e-12,1.088142e-12,1.137733e-12
 46.17100,  0.85729,9.119516e-11,1.278973e-09,6.776148e-11,2.454407e-10,7.014275e-12,1.484585e-11,6.014824e-12,6.777763e-12,7.380485e-12,7.962226e-12,9.814262e-12,1.446438e-11,5.911165e-11,1.986980e-09,5.490595e-11,5.303484e-11,9.866821e-11,2.523899e-09,1.058483e-11,1.082516e-11,2.091408e-12,2.310753e-12,2.205849e-12,2.732277e-12,4.902839e-12,9.900391e-11,2.259254e-12,5.335808e-12,1.992226e-12,1.895428e-11,1.908302e-12,1.675606e-12,1.597404e-12,2.209663e-12,1.605034e-12,1.591682e-12,1.513481e-12,1.502037e-12,1.490593e-12,1.519203e-12,1.513481e-12,1.437187e-12,1.505852e-12,1.421928e-12,1.477242e-12,1.442909e-12,1.463890e-12,1.391411e-12,1.400948e-12,1.425743e-12,1.404762e-12,1.404762e-12,1.372337e-12,1.360893e-12,1.418114e-12,1.416206e-12,1.362801e-12,1.366615e-12,1.345634e-12,1.383781e-12,1.378059e-12,1.339912e-12,1.305580e-12,1.324654e-12,1.280785e-12,1.357079e-12,1.296043e-12,1.315117e-12,1.341820e-12,1.364708e-12,1.343727e-12,1.286507e-12,1.288414e-12,1.326561e-12,1.263618e-12,1.286507e-12,1.301765e-12,1.282692e-12,1.301765e-12,1.278877e-12,1.240730e-12,1.282692e-12,1.223564e-12,1.261711e-12,1.282692e-12,1.286507e-12,1.273155e-12,1.246452e-12,1.269340e-12,1.284599e-12,1.227379e-12,1.254082e-12,1.206398e-12,1.255989e-12,1.282692e-12,1.219749e-12,1.221657e-12,1.219749e-12,1.231194e-12,1.208305e-12,1.252174e-12,1.185417e-12,1.170158e-12,1.149178e-12,1.200676e-12,1.191139e-12,1.200676e-12,1.175880e-12,1.173973e-12,1.233101e-12,1.193047e-12,1.177788e-12,1.164436e-12,1.164436e-12,1.179695e-12,1.173973e-12,1.147270e-12,1.128197e-12,1.200676e-12,1.133919e-12,1.143455e-12,1.130104e-12,1.137733e-12,1.133919e-12,1.160622e-12,1.181602e-12,1.141548e-12,1.101494e-12,1.152992e-12,1.090050e-12,1.105309e-12,1.093864e-12,1.099586e-12,1.126289e-12,1.128197e-12,1.080513e-12
 47.41400,  1.02792,9.113413e-11,1.281834e-09,6.826693e-11,2.450058e-10,6.928443e-12,1.497746e-11,6.121635e-12,6.680488e-12,7.414818e-12,7.969856e-12,9.724617e-12,1.438999e-11,5.830103e-11,1.984882e-09,5.488878e-11,5.262095e-11,1.000873e-10,2.511883e-09,1.053715e-11,1.076221e-11,2.167702e-12,2.345085e-12,2.173424e-12,2.749443e-12,4.956245e-12,9.907257e-11,2.303123e-12,5.373955e-12,1.999855e-12,1.901340e-11,1.889229e-12,1.729011e-12,1.563072e-12,2.154350e-12,1.574516e-12,1.538277e-12,1.496315e-12,1.503944e-12,1.528740e-12,1.534462e-12,1.433372e-12,1.503944e-12,1.406670e-12,1.473427e-12,1.496315e-12,1.458168e-12,1.421928e-12,1.412392e-12,1.402855e-12,1.475334e-12,1.412392e-12,1.423836e-12,1.418114e-12,1.404762e-12,1.416206e-12,1.360893e-12,1.378059e-12,1.372337e-12,1.374245e-12,1.330376e-12,1.339912e-12,1.317024e-12,1.355171e-12,1.345634e-12,1.334190e-12,1.358986e-12,1.288414e-12,1.328468e-12,1.341820e-12,1.343727e-12,1.317024e-12,1.257896e-12,1.307487e-12,1.271248e-12,1.315117e-12,1.301765e-12,1.273155e-12,1.238823e-12,1.328468e-12,1.292229e-12,1.233101e-12,1.305580e-12,1.269340e-12,1.286507e-12,1.282692e-12,1.246452e-12,1.236916e-12,1.292229e-12,1.259804e-12,1.240730e-12,1.263618e-12,1.189232e-12,1.219749e-12,1.231194e-12,1.240730e-12,1.214027e-12,1.217842e-12,1.196861e-12,1.219749e-12,1.236916e-12,1.215935e-12,1.236916e-12,1.229286e-12,1.217842e-12,1.219749e-12,1.147270e-12,1.152992e-12,1.189232e-12,1.214027e-12,1.158714e-12,1.170158e-12,1.191139e-12,1.156807e-12,1.183510e-12,1.179695e-12,1.143455e-12,1.151085e-12,1.133919e-12,1.130104e-12,1.210213e-12,1.147270e-12,1.160622e-12,1.170158e-12,1.172066e-12,1.124382e-12,1.097679e-12,1.093864e-12,1.160622e-12,1.160622e-12,1.109123e-12,1.118660e-12,1.111031e-12,1.139641e-12,1.099586e-12,1.147270e-12,1.099586e-12
 48.48700,  1.20086,9.111124e-11,1.284504e-09,6.792170e-11,2.451107e-10,6.922722e-12,1.517963e-11,6.028175e-12,6.585121e-12,7.433891e-12,7.941246e-12,9.696006e-12,1.451778e-11,5.927378e-11,1.986217e-09,5.484873e-11,5.251223e-11,9.952652e-11,2.522564e-09,1.060390e-11,1.084995e-11,2.106666e-12,2.337456e-12,2.161980e-12,2.688408e-12,4.950523e-12,9.884369e-11,2.263069e-12,5.417824e-12,1.996040e-12,1.885700e-11,1.938820e-12,1.673698e-12,1.582146e-12,2.173424e-12,1.530647e-12,1.561165e-12,1.532555e-12,1.509666e-12,1.515388e-12,1.530647e-12,1.479149e-12,1.479149e-12,1.444817e-12,1.452446e-12,1.423836e-12,1.420021e-12,1.421928e-12,1.408577e-12,1.404762e-12,1.400948e-12,1.421928e-12,1.332283e-12,1.395226e-12,1.334190e-12,1.376152e-12,1.383781e-12,1.357079e-12,1.370430e-12,1.374245e-12,1.318932e-12,1.353264e-12,1.284599e-12,1.349449e-12,1.341820e-12,1.376152e-12,1.368523e-12,1.330376e-12,1.278877e-12,1.301765e-12,1.358986e-12,1.374245e-12,1.294136e-12,1.273155e-12,1.288414e-12,1.317024e-12,1.236916e-12,1.296043e-12,1.288414e-12,1.341820e-12,1.317024e-12,1.282692e-12,1.242638e-12,1.320839e-12,1.255989e-12,1.286507e-12,1.254082e-12,1.236916e-12,1.238823e-12,1.255989e-12,1.263618e-12,1.280785e-12,1.191139e-12,1.194954e-12,1.238823e-12,1.208305e-12,1.284599e-12,1.271248e-12,1.252174e-12,1.210213e-12,1.202583e-12,1.231194e-12,1.212120e-12,1.208305e-12,1.202583e-12,1.240730e-12,1.185417e-12,1.183510e-12,1.183510e-12,1.212120e-12,1.219749e-12,1.175880e-12,1.196861e-12,1.210213e-12,1.191139e-12,1.164436e-12,1.225471e-12,1.158714e-12,1.149178e-12,1.175880e-12,1.198769e-12,1.154900e-12,1.114845e-12,1.151085e-12,1.130104e-12,1.143455e-12,1.090050e-12,1.137733e-12,1.162529e-12,1.166344e-12,1.112938e-12,1.132011e-12,1.105309e-12,1.103401e-12,1.112938e-12,1.099586e-12,1.141548e-12
 49.13100,  1.37404,9.056574e-11,1.282597e-09,6.791025e-11,2.449009e-10,6.945610e-12,1.506901e-11,6.022453e-12,6.653786e-12,7.424355e-12,7.950782e-12,9.764671e-12,1.438618e-11,5.944925e-11,1.985073e-09,5.479914e-11,5.266100e-11,9.905922e-11,2.523136e-09,1.059246e-11,1.068783e-11,2.152443e-12,2.364159e-12,2.161980e-12,2.751350e-12,4.940986e-12,9.893524e-11,2.261162e-12,5.280494e-12,1.975059e-12,1.886654e-11,1.904488e-12,1.633644e-12,1.641273e-12,2.161980e-12,1.545906e-12,1.528740e-12,1.538277e-12,1.534462e-12,1.528740e-12,1.540184e-12,1.479149e-12,1.471519e-12,1.494408e-12,1.471519e-12,1.414299e-12,1.427650e-12,1.385689e-12,1.439095e-12,1.389503e-12,1.442909e-12,1.376152e-12,1.412392e-12,1.366615e-12,1.391411e-12,1.389503e-12,1.399040e-12,1.381874e-12,1.364708e-12,1.347542e-12,1.336098e-12,1.355171e-12,1.358986e-12,1.299858e-12,1.343727e-12,1.376152e-12,1.355171e-12,1.408577e-12,1.297951e-12,1.368523e-12,1.307487e-12,1.296043e-12,1.320839e-12,1.311302e-12,1.305580e-12,1.297951e-12,1.311302e-12,1.309395e-12,1.292229e-12,1.288414e-12,1.236916e-12,1.294136e-12,1.292229e-12,1.282692e-12,1.235008e-12,1.263618e-12,1.261711e-12,1.290321e-12,1.307487e-12,1.282692e-12,1.255989e-12,1.227379e-12,1.238823e-12,1.286507e-12,1.240730e-12,1.233101e-12,1.221657e-12,1.233101e-12,1.215935e-12,1.254082e-12,1.225471e-12,1.200676e-12,1.225471e-12,1.187325e-12,1.179695e-12,1.172066e-12,1.181602e-12,1.198769e-12,1.194954e-12,1.181602e-12,1.179695e-12,1.151085e-12,1.181602e-12,1.166344e-12,1.145363e-12,1.132011e-12,1.235008e-12,1.193047e-12,1.158714e-12,1.130104e-12,1.156807e-12,1.152992e-12,1.162529e-12,1.160622e-12,1.139641e-12,1.130104e-12,1.118660e-12,1.175880e-12,1.088142e-12,1.139641e-12,1.109123e-12,1.170158e-12,1.088142e-12,1.103401e-12,1.114845e-12,1.111031e-12,1.065254e-12
 49.97200,  1.54686,9.073359e-11,1.283169e-09,6.732279e-11,2.452786e-10,6.941795e-12,1.499843e-11,5.972862e-12,6.665230e-12,7.355690e-12,7.967948e-12,9.688377e-12,1.445866e-11,5.933862e-11,1.989269e-09,5.503374e-11,5.274874e-11,9.976876e-11,2.521992e-09,1.049328e-11,1.079655e-11,2.139091e-12,2.369881e-12,2.192497e-12,2.739906e-12,4.990577e-12,9.932434e-11,2.264976e-12,5.415916e-12,1.984596e-12,1.886463e-11,1.957893e-12,1.702309e-12,1.606941e-12,2.163887e-12,1.543999e-12,1.549721e-12,1.526833e-12,1.479149e-12,1.471519e-12,1.509666e-12,1.450539e-12,1.444817e-12,1.488686e-12,1.456261e-12,1.463890e-12,1.448631e-12,1.418114e-12,1.421928e-12,1.448631e-12,1.378059e-12,1.355171e-12,1.458168e-12,1.414299e-12,1.381874e-12,1.372337e-12,1.423836e-12,1.379967e-12,1.347542e-12,1.374245e-12,1.381874e-12,1.341820e-12,1.301765e-12,1.315117e-12,1.332283e-12,1.313210e-12,1.303673e-12,1.309395e-12,1.332283e-12,1.353264e-12,1.378059e-12,1.320839e-12,1.296043e-12,1.318932e-12,1.296043e-12,1.286507e-12,1.288414e-12,1.299858e-12,1.276970e-12,1.339912e-12,1.317024e-12,1.269340e-12,1.301765e-12,1.305580e-12,1.254082e-12,1.254082e-12,1.240730e-12,1.290321e-12,1.271248e-12,1.252174e-12,1.290321e-12,1.217842e-12,1.261711e-12,1.284599e-12,1.250267e-12,1.275063e-12,1.252174e-12,1.238823e-12,1.233101e-12,1.202583e-12,1.231194e-12,1.204491e-12,1.179695e-12,1.183510e-12,1.185417e-12,1.177788e-12,1.212120e-12,1.164436e-12,1.149178e-12,1.196861e-12,1.143455e-12,1.168251e-12,1.172066e-12,1.166344e-12,1.166344e-12,1.181602e-12,1.183510e-12,1.170158e-12,1.168251e-12,1.133919e-12,1.151085e-12,1.149178e-12,1.152992e-12,1.147270e-12,1.095772e-12,1.111031e-12,1.164436e-12,1.152992e-12,1.086235e-12,1.099586e-12,1.101494e-12,1.116753e-12,1.139641e-12,1.114845e-12,1.101494e-12,1.112938e-12,1.093864e-12
