#EXPORTTYPE:                 ,DATA ALL                                                   
#FILE:                       ,2025_09_08_SL_PS_Container-SCF3_Dynamic_P5EER5_V1_2.ngb-ss5
#FORMAT:                     ,NETZSCH5                                                   
#FTYPE:                      ,ASCII                                                      
#IDENTITY:                   ,P5EER5_V1+2                                                
#DECIMAL:                    ,POINT                                                      
#SEPARATOR:                  ,COMMA                                                      
#MTYPE:                      ,DSC                                                        
#INSTRUMENT:                 ,NETZSCH STA 449F5                                          
#PROJECT:                    ,PS-SCF3                                                    
#DATE/TIME:                  ,9/8/2025 4:49:01 PM (UTC-4)                                
#CORR. FILE:                 ,                                                           
#TEMPCAL:                    ,05-05-2025 14:38                                           
#SENSITIVITY:                ,28-06-2023 13:53                                           
#LABORATORY:                 ,Tran                                                       
#OPERATOR:                   ,Stanley                                                    
#REMARK:                     ,2025_03_20_Styrofoam_dynamic                               
#SAMPLE:                     ,P5EER5_V1+2                                                
#SAMPLE MASS /mg:            ,4.63                                                       
#MATERIAL:                   ,Polystyrene                                                
#REFERENCE:                  ,                                                           
#REFERENCE MASS /mg:         ,0                                                          
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                                          
#SAMPLE CRUCIBLE MASS /mg:   ,0                                                          
#REFERENCE CRUCIBLE MASS /mg:,0                                                          
#DSC RANGE /‘V:              ,5000                                                       
#TG RANGE /mg:               ,35000                                                      
#TAU-R:                      ,---                                                        
#CORR. CODE:                 ,000                                                        
#EXO:                        ,-1                                                         
#RANGE:                      ,20›C....800›C/0.0....20.0K/min                             
#SEGMENT:                    ,S1-4/4                                                     
#SEG. 1:                     ,20›C/5.0(K/min)/100›C                                      
#SEG. 2:                     ,100›C/00:05/100›C                                          
#SEG. 3:                     ,100›C/1.0(K/min)/400›C                                     
#SEG. 4:                     ,400›C/20.0(K/min)/800›C                                    

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 38.58900,  0.00000,      3.10036,    100.00000,50.00000,38.00000,            ,0.92490,1
 39.48300,  0.06667,      3.02391,     99.63348,50.00000,38.00000,6.811574e-09,0.92490,1
 40.29500,  0.13333,      2.93542,     99.32073,50.00000,38.00000,6.824496e-09,0.92502,1
 41.05300,  0.20000,      2.83612,     98.99568,50.00000,38.00000,6.824496e-09,0.92502,1
 41.76100,  0.26667,      2.73134,     98.74406,50.00000,37.00000,6.827904e-09,0.92512,1
 42.42100,  0.33333,      2.62162,     98.52657,50.00000,37.00000,6.827904e-09,0.92512,1
 43.06200,  0.40000,      2.51121,     98.22851,50.00000,37.00000,6.827904e-09,0.92512,1
 43.64800,  0.46667,      2.40102,     98.07451,50.00000,37.00000,6.816428e-09,0.92520,1
 44.21000,  0.53333,      2.29299,     97.81793,50.00000,37.00000,6.816428e-09,0.92520,1
 44.74700,  0.60000,      2.18836,     97.62009,50.00000,37.00000,6.816428e-09,0.92520,1
 45.24900,  0.66667,      2.08518,     97.46112,50.00000,37.00000,6.814915e-09,0.92528,1
 45.73000,  0.73333,      1.98843,     97.27300,50.00000,37.00000,6.814915e-09,0.92528,1
 46.17100,  0.80000,      1.89330,     97.08488,50.00000,37.00000,6.835216e-09,0.92535,1
 46.60300,  0.86667,      1.80067,     96.94320,50.00000,37.00000,6.835216e-09,0.92535,1
 47.02900,  0.93333,      1.71588,     96.73305,50.00000,36.00000,6.835216e-09,0.92535,1
 47.41400,  1.00000,      1.63324,     96.63045,50.00000,36.00000,6.824334e-09,0.92542,1
 47.80600,  1.06667,      1.55363,     96.49849,50.00000,36.00000,6.824334e-09,0.92542,1
 48.15500,  1.13333,      1.48097,     96.34946,50.00000,36.00000,6.838849e-09,0.92547,1
 48.48700,  1.20000,      1.40815,     96.23931,50.00000,36.00000,6.838849e-09,0.92547,1
 48.81500,  1.26667,      1.34120,     96.08790,50.00000,35.00000,6.838849e-09,0.92547,1
 49.13100,  1.33333,      1.27745,     95.95097,50.00000,35.00000,6.835244e-09,0.92553,1
 49.43300,  1.40000,      1.21728,     95.88272,50.00000,35.00000,6.835244e-09,0.92553,1
 49.71500,  1.46667,      1.15924,     95.76285,50.00000,35.00000,6.839997e-09,0.92558,1
 49.97200,  1.53333,      1.10530,     95.65292,50.00000,35.00000,6.839997e-09,0.92558,1
 50.23100,  1.60000,      1.05279,     95.57732,50.00000,34.00000,6.839997e-09,0.92558,1
 50.46500,  1.66667,      1.00223,     95.46976,50.00000,34.00000,6.842265e-09,0.92562,1
 50.71300,  1.73333,      0.95489,     95.38164,50.00000,34.00000,6.842265e-09,0.92562,1
 50.94100,  1.80000,      0.90967,     95.32549,50.00000,34.00000,6.837296e-09,0.92566,1
 51.15100,  1.86667,      0.86731,     95.19849,50.00000,33.00000,6.837296e-09,0.92566,1
 51.35000,  1.93333,      0.82353,     94.92959,50.00000,33.00000,6.837296e-09,0.92566,1
 51.52700,  2.00000,      0.78562,     88.08294,50.00000,33.00000,6.852111e-09,0.92570,1
 51.70900,  2.06667,      0.74700,     86.63650,50.00000,34.00000,6.852111e-09,0.92570,1
 51.87000,  2.13333,      0.71105,     86.09892,50.00000,34.00000,6.852111e-09,0.92570,1
 52.04600,  2.20000,      0.67546,     85.80324,50.00000,34.00000,6.836052e-09,0.92573,1
 52.20000,  2.26667,      0.64164,     85.71771,50.00000,34.00000,6.836052e-09,0.92573,1
 52.32200,  2.33333,      0.61015,     85.60281,50.00000,34.00000,6.846895e-09,0.92576,1
 52.46400,  2.40000,      0.57900,     85.58078,50.00000,34.00000,6.846895e-09,0.92576,1
 52.59300,  2.46667,      0.54875,     85.55896,50.00000,34.00000,6.846895e-09,0.92576,1
 52.70600,  2.53333,      0.52046,     85.59546,50.00000,34.00000,6.862505e-09,0.92579,1
 52.82600,  2.60000,      0.49252,     85.67862,50.00000,34.00000,6.862505e-09,0.92579,1
 52.91500,  2.66667,      0.46583,     85.75918,50.00000,34.00000,6.855818e-09,0.92582,1
 53.01600,  2.73333,      0.44002,     85.82765,50.00000,34.00000,6.855818e-09,0.92582,1
 53.12100,  2.80000,      0.41600,     85.96458,50.00000,34.00000,6.855818e-09,0.92582,1
 53.19200,  2.86667,      0.39340,     86.13801,50.00000,34.00000,6.864859e-09,0.92584,1
 53.27100,  2.93333,      0.36920,     86.29201,50.00000,34.00000,6.864859e-09,0.92584,1
 53.35100,  3.00000,      0.34910,     86.38963,50.00000,34.00000,6.864859e-09,0.92584,1
 53.41500,  3.06667,      0.32775,     86.41404,50.00000,34.00000,6.859253e-09,0.92587,1
 53.48800,  3.13333,      0.30639,     86.41404,50.00000,34.00000,6.859253e-09,0.92587,1
 53.56300,  3.20000,      0.28682,     86.41404,50.00000,34.00000,6.864924e-09,0.92589,1
 53.59900,  3.26667,      0.26760,     86.38488,50.00000,34.00000,6.864924e-09,0.92589,1
 53.63600,  3.33333,      0.24874,     86.33348,50.00000,34.00000,6.864924e-09,0.92589,1
 53.69100,  3.40000,      0.23202,     86.29676,50.00000,34.00000,6.851645e-09,0.92591,1
 53.72900,  3.46667,      0.21636,     86.26739,50.00000,34.00000,6.851645e-09,0.92591,1
 53.76600,  3.53333,      0.19750,     86.23326,50.00000,34.00000,6.861872e-09,0.92592,1
 53.78500,  3.60000,      0.18202,     86.15745,50.00000,34.00000,6.861872e-09,0.92592,1
