#EXPORTTYPE:                 ,DATA ALL                                                  
#FILE:                       ,2025_09_09_SL_PS_Blue_Cup_SCF3_P5EER3_V3_4_Dynamic.ngb-ss5
#FORMAT:                     ,NETZSCH5                                                  
#FTYPE:                      ,ASCII                                                     
#IDENTITY:                   ,P5EER3-V3+4                                               
#DECIMAL:                    ,POINT                                                     
#SEPARATOR:                  ,COMMA                                                     
#MTYPE:                      ,TIC                                                       
#INSTRUMENT:                 ,NETZSCH STA 449F5                                         
#PROJECT:                    ,PS-SCF3                                                   
#DATE/TIME:                  ,9/8/2025 10:19:03 AM (UTC-4)                              
#CORR. FILE:                 ,                                                          
#TEMPCAL:                    ,05-05-2025 14:38                                          
#SENSITIVITY:                ,28-06-2023 13:53                                          
#LABORATORY:                 ,Tran                                                      
#OPERATOR:                   ,Stanley                                                   
#REMARK:                     ,2025_03_20_Styrofoam_dynamic                              
#SAMPLE:                     ,P5EER3-V3+4                                               
#SAMPLE MASS /mg:            ,4.99                                                      
#MATERIAL:                   ,Polystyrene                                               
#REFERENCE:                  ,                                                          
#REFERENCE MASS /mg:         ,0                                                         
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                                         
#SAMPLE CRUCIBLE MASS /mg:   ,0                                                         
#REFERENCE CRUCIBLE MASS /mg:,0                                                         
#DSC RANGE /‘V:              ,5000                                                      
#TG RANGE /mg:               ,35000                                                     
                             ,                                                          

##Temp./›C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 24.05700,  0.01351,9.006601e-11,1.269627e-09,7.150942e-11,2.602742e-10,7.128715e-12,1.499843e-11,6.062507e-12,6.676674e-12,7.317542e-12,7.880210e-12,9.842872e-12,1.441288e-11,5.718142e-11,1.960087e-09,5.612474e-11,5.213267e-11,9.814560e-11,2.509213e-09,1.065731e-11,1.080036e-11,2.150536e-12,2.413750e-12,2.259254e-12,2.743721e-12,4.931450e-12,9.810554e-11,2.299309e-12,5.400657e-12,2.030373e-12,2.011204e-11,1.879692e-12,1.706123e-12,1.612663e-12,2.154350e-12,1.584053e-12,1.589775e-12,1.563072e-12,1.509666e-12,1.492500e-12,1.490593e-12,1.498222e-12,1.450539e-12,1.463890e-12,1.461983e-12,1.393318e-12,1.433372e-12,1.427650e-12,1.404762e-12,1.467705e-12,1.429558e-12,1.412392e-12,1.412392e-12,1.404762e-12,1.406670e-12,1.381874e-12,1.366615e-12,1.379967e-12,1.379967e-12,1.353264e-12,1.313210e-12,1.347542e-12,1.374245e-12,1.389503e-12,1.343727e-12,1.385689e-12,1.362801e-12,1.370430e-12,1.318932e-12,1.311302e-12,1.347542e-12,1.351356e-12,1.307487e-12,1.297951e-12,1.284599e-12,1.339912e-12,1.301765e-12,1.317024e-12,1.263618e-12,1.275063e-12,1.332283e-12,1.353264e-12,1.271248e-12,1.271248e-12,1.265526e-12,1.263618e-12,1.284599e-12,1.299858e-12,1.225471e-12,1.290321e-12,1.269340e-12,1.219749e-12,1.269340e-12,1.217842e-12,1.275063e-12,1.252174e-12,1.246452e-12,1.223564e-12,1.248360e-12,1.242638e-12,1.215935e-12,1.219749e-12,1.189232e-12,1.189232e-12,1.215935e-12,1.206398e-12,1.202583e-12,1.263618e-12,1.208305e-12,1.193047e-12,1.170158e-12,1.187325e-12,1.202583e-12,1.179695e-12,1.124382e-12,1.166344e-12,1.194954e-12,1.166344e-12,1.124382e-12,1.132011e-12,1.149178e-12,1.172066e-12,1.152992e-12,1.124382e-12,1.160622e-12,1.116753e-12,1.132011e-12,1.114845e-12,1.111031e-12,1.082420e-12,1.149178e-12,1.097679e-12,1.141548e-12,1.084328e-12,1.105309e-12,1.126289e-12,1.133919e-12
 24.85500,  0.17593,9.023386e-11,1.273632e-09,7.107073e-11,2.583859e-10,7.113457e-12,1.507092e-11,6.077766e-12,6.672859e-12,7.363319e-12,8.090019e-12,9.730339e-12,1.442623e-11,5.798632e-11,1.964092e-09,5.620295e-11,5.247026e-11,9.860146e-11,2.519321e-09,1.076603e-11,1.059627e-11,2.095222e-12,2.367973e-12,2.173424e-12,2.766609e-12,4.948616e-12,9.804451e-11,2.261162e-12,5.352974e-12,1.996040e-12,1.981830e-11,1.921654e-12,1.666069e-12,1.595497e-12,2.064705e-12,1.532555e-12,1.566887e-12,1.526833e-12,1.496315e-12,1.536369e-12,1.481056e-12,1.456261e-12,1.519203e-12,1.469612e-12,1.458168e-12,1.425743e-12,1.452446e-12,1.505852e-12,1.406670e-12,1.400948e-12,1.425743e-12,1.385689e-12,1.393318e-12,1.433372e-12,1.410484e-12,1.383781e-12,1.391411e-12,1.389503e-12,1.347542e-12,1.406670e-12,1.381874e-12,1.383781e-12,1.343727e-12,1.393318e-12,1.318932e-12,1.341820e-12,1.338005e-12,1.336098e-12,1.336098e-12,1.322746e-12,1.362801e-12,1.296043e-12,1.330376e-12,1.341820e-12,1.307487e-12,1.290321e-12,1.273155e-12,1.273155e-12,1.297951e-12,1.294136e-12,1.227379e-12,1.252174e-12,1.322746e-12,1.330376e-12,1.269340e-12,1.275063e-12,1.271248e-12,1.252174e-12,1.244545e-12,1.244545e-12,1.254082e-12,1.227379e-12,1.278877e-12,1.242638e-12,1.301765e-12,1.254082e-12,1.246452e-12,1.219749e-12,1.235008e-12,1.233101e-12,1.231194e-12,1.252174e-12,1.238823e-12,1.208305e-12,1.225471e-12,1.225471e-12,1.179695e-12,1.202583e-12,1.194954e-12,1.191139e-12,1.187325e-12,1.196861e-12,1.175880e-12,1.200676e-12,1.198769e-12,1.206398e-12,1.194954e-12,1.210213e-12,1.166344e-12,1.156807e-12,1.112938e-12,1.141548e-12,1.162529e-12,1.179695e-12,1.082420e-12,1.122475e-12,1.114845e-12,1.151085e-12,1.109123e-12,1.105309e-12,1.099586e-12,1.156807e-12,1.132011e-12,1.112938e-12,1.099586e-12,1.042366e-12,1.139641e-12
 25.71600,  0.50597,9.076791e-11,1.274204e-09,7.153612e-11,2.591984e-10,7.164955e-12,1.492786e-11,6.073952e-12,6.634712e-12,7.420540e-12,8.027076e-12,9.625435e-12,1.442814e-11,5.811983e-11,1.969433e-09,5.638224e-11,5.243212e-11,9.892952e-11,2.508259e-09,1.075649e-11,1.069164e-11,2.181053e-12,2.295494e-12,2.184868e-12,2.734184e-12,4.902839e-12,9.848702e-11,2.280235e-12,5.368233e-12,2.047539e-12,1.946926e-11,1.904488e-12,1.666069e-12,1.605034e-12,2.150536e-12,1.578331e-12,1.566887e-12,1.595497e-12,1.536369e-12,1.498222e-12,1.580238e-12,1.444817e-12,1.475334e-12,1.479149e-12,1.523018e-12,1.452446e-12,1.433372e-12,1.393318e-12,1.412392e-12,1.421928e-12,1.408577e-12,1.391411e-12,1.435280e-12,1.360893e-12,1.374245e-12,1.393318e-12,1.410484e-12,1.456261e-12,1.381874e-12,1.372337e-12,1.385689e-12,1.297951e-12,1.347542e-12,1.379967e-12,1.343727e-12,1.349449e-12,1.330376e-12,1.315117e-12,1.326561e-12,1.309395e-12,1.372337e-12,1.332283e-12,1.334190e-12,1.257896e-12,1.292229e-12,1.297951e-12,1.296043e-12,1.345634e-12,1.317024e-12,1.339912e-12,1.307487e-12,1.271248e-12,1.269340e-12,1.273155e-12,1.246452e-12,1.257896e-12,1.275063e-12,1.275063e-12,1.282692e-12,1.238823e-12,1.278877e-12,1.225471e-12,1.286507e-12,1.179695e-12,1.244545e-12,1.196861e-12,1.202583e-12,1.225471e-12,1.202583e-12,1.208305e-12,1.236916e-12,1.191139e-12,1.223564e-12,1.170158e-12,1.214027e-12,1.185417e-12,1.187325e-12,1.233101e-12,1.158714e-12,1.206398e-12,1.166344e-12,1.229286e-12,1.235008e-12,1.145363e-12,1.179695e-12,1.158714e-12,1.179695e-12,1.181602e-12,1.137733e-12,1.118660e-12,1.133919e-12,1.168251e-12,1.175880e-12,1.116753e-12,1.173973e-12,1.126289e-12,1.120567e-12,1.168251e-12,1.124382e-12,1.139641e-12,1.099586e-12,1.111031e-12,1.152992e-12,1.126289e-12,1.126289e-12,1.080513e-12,1.072884e-12
 26.32900,  0.67110,9.063822e-11,1.274014e-09,7.123858e-11,2.601883e-10,7.147789e-12,1.501751e-11,6.070137e-12,6.670952e-12,7.321358e-12,7.983208e-12,9.688377e-12,1.435184e-11,5.836016e-11,1.973629e-09,5.615526e-11,5.261332e-11,9.968865e-11,2.519321e-09,1.066303e-11,1.083279e-11,2.160072e-12,2.392769e-12,2.173424e-12,2.749443e-12,4.961967e-12,9.831726e-11,2.310753e-12,5.385399e-12,2.022743e-12,1.933384e-11,1.902580e-12,1.715660e-12,1.572609e-12,2.154350e-12,1.523018e-12,1.561165e-12,1.576424e-12,1.498222e-12,1.521110e-12,1.526833e-12,1.454353e-12,1.498222e-12,1.498222e-12,1.435280e-12,1.429558e-12,1.414299e-12,1.439095e-12,1.461983e-12,1.479149e-12,1.507759e-12,1.355171e-12,1.372337e-12,1.427650e-12,1.376152e-12,1.406670e-12,1.416206e-12,1.397133e-12,1.332283e-12,1.357079e-12,1.376152e-12,1.307487e-12,1.324654e-12,1.330376e-12,1.324654e-12,1.305580e-12,1.366615e-12,1.324654e-12,1.368523e-12,1.360893e-12,1.366615e-12,1.345634e-12,1.296043e-12,1.271248e-12,1.322746e-12,1.292229e-12,1.278877e-12,1.303673e-12,1.311302e-12,1.265526e-12,1.320839e-12,1.286507e-12,1.296043e-12,1.305580e-12,1.225471e-12,1.271248e-12,1.261711e-12,1.284599e-12,1.217842e-12,1.254082e-12,1.294136e-12,1.269340e-12,1.259804e-12,1.229286e-12,1.255989e-12,1.242638e-12,1.191139e-12,1.235008e-12,1.269340e-12,1.282692e-12,1.223564e-12,1.156807e-12,1.231194e-12,1.196861e-12,1.187325e-12,1.219749e-12,1.177788e-12,1.156807e-12,1.185417e-12,1.214027e-12,1.152992e-12,1.118660e-12,1.170158e-12,1.177788e-12,1.172066e-12,1.193047e-12,1.166344e-12,1.147270e-12,1.151085e-12,1.162529e-12,1.126289e-12,1.095772e-12,1.101494e-12,1.099586e-12,1.147270e-12,1.173973e-12,1.118660e-12,1.122475e-12,1.175880e-12,1.152992e-12,1.124382e-12,1.130104e-12,1.074791e-12,1.090050e-12,1.107216e-12,1.141548e-12,1.141548e-12
 26.86700,  0.84192,9.066874e-11,1.278400e-09,7.100207e-11,2.595074e-10,7.185936e-12,1.498699e-11,6.009102e-12,6.737709e-12,7.405281e-12,7.906914e-12,9.713173e-12,1.439953e-11,5.865770e-11,1.962948e-09,5.623156e-11,5.242830e-11,9.847176e-11,2.523518e-09,1.072216e-11,1.076984e-11,2.169609e-12,2.320290e-12,2.175331e-12,2.737999e-12,5.009651e-12,9.800828e-11,2.284050e-12,5.345344e-12,1.961708e-12,1.930904e-11,1.898765e-12,1.683235e-12,1.587868e-12,2.144813e-12,1.526833e-12,1.564979e-12,1.523018e-12,1.488686e-12,1.524925e-12,1.498222e-12,1.494408e-12,1.448631e-12,1.502037e-12,1.479149e-12,1.461983e-12,1.439095e-12,1.400948e-12,1.465797e-12,1.400948e-12,1.429558e-12,1.410484e-12,1.399040e-12,1.404762e-12,1.406670e-12,1.353264e-12,1.454353e-12,1.368523e-12,1.341820e-12,1.378059e-12,1.351356e-12,1.372337e-12,1.366615e-12,1.299858e-12,1.339912e-12,1.351356e-12,1.357079e-12,1.328468e-12,1.292229e-12,1.378059e-12,1.345634e-12,1.339912e-12,1.261711e-12,1.278877e-12,1.297951e-12,1.338005e-12,1.334190e-12,1.322746e-12,1.265526e-12,1.267433e-12,1.330376e-12,1.296043e-12,1.303673e-12,1.221657e-12,1.255989e-12,1.231194e-12,1.278877e-12,1.286507e-12,1.233101e-12,1.259804e-12,1.200676e-12,1.257896e-12,1.278877e-12,1.236916e-12,1.311302e-12,1.238823e-12,1.240730e-12,1.214027e-12,1.236916e-12,1.206398e-12,1.143455e-12,1.217842e-12,1.194954e-12,1.204491e-12,1.172066e-12,1.200676e-12,1.191139e-12,1.156807e-12,1.175880e-12,1.196861e-12,1.193047e-12,1.204491e-12,1.168251e-12,1.145363e-12,1.126289e-12,1.196861e-12,1.202583e-12,1.124382e-12,1.231194e-12,1.183510e-12,1.204491e-12,1.170158e-12,1.156807e-12,1.152992e-12,1.128197e-12,1.109123e-12,1.101494e-12,1.069069e-12,1.082420e-12,1.107216e-12,1.128197e-12,1.116753e-12,1.080513e-12,1.107216e-12,1.120567e-12,1.133919e-12,1.065254e-12
 27.22300,  1.01509,9.027391e-11,1.279545e-09,7.115084e-11,2.592995e-10,7.092475e-12,1.503467e-11,6.041527e-12,6.714821e-12,7.292747e-12,7.988930e-12,9.770393e-12,1.438236e-11,5.830294e-11,1.971531e-09,5.629641e-11,5.230051e-11,9.967911e-11,2.521229e-09,1.070309e-11,1.073933e-11,2.148628e-12,2.360344e-12,2.146721e-12,2.772331e-12,4.887581e-12,9.866249e-11,2.274513e-12,5.333900e-12,1.997948e-12,1.914883e-11,1.923561e-12,1.685142e-12,1.584053e-12,2.127647e-12,1.585960e-12,1.572609e-12,1.519203e-12,1.503944e-12,1.521110e-12,1.530647e-12,1.500130e-12,1.507759e-12,1.482963e-12,1.437187e-12,1.482963e-12,1.416206e-12,1.463890e-12,1.441002e-12,1.494408e-12,1.379967e-12,1.435280e-12,1.427650e-12,1.418114e-12,1.387596e-12,1.404762e-12,1.389503e-12,1.322746e-12,1.338005e-12,1.339912e-12,1.303673e-12,1.362801e-12,1.334190e-12,1.338005e-12,1.322746e-12,1.374245e-12,1.364708e-12,1.330376e-12,1.301765e-12,1.385689e-12,1.343727e-12,1.303673e-12,1.313210e-12,1.322746e-12,1.290321e-12,1.307487e-12,1.257896e-12,1.292229e-12,1.294136e-12,1.263618e-12,1.280785e-12,1.294136e-12,1.259804e-12,1.276970e-12,1.301765e-12,1.252174e-12,1.299858e-12,1.254082e-12,1.235008e-12,1.261711e-12,1.217842e-12,1.194954e-12,1.250267e-12,1.217842e-12,1.263618e-12,1.204491e-12,1.219749e-12,1.259804e-12,1.189232e-12,1.193047e-12,1.233101e-12,1.225471e-12,1.217842e-12,1.154900e-12,1.206398e-12,1.187325e-12,1.137733e-12,1.210213e-12,1.210213e-12,1.185417e-12,1.166344e-12,1.198769e-12,1.154900e-12,1.175880e-12,1.177788e-12,1.193047e-12,1.204491e-12,1.137733e-12,1.164436e-12,1.111031e-12,1.183510e-12,1.175880e-12,1.124382e-12,1.143455e-12,1.152992e-12,1.107216e-12,1.128197e-12,1.183510e-12,1.194954e-12,1.135826e-12,1.147270e-12,1.130104e-12,1.111031e-12,1.120567e-12,1.072884e-12,1.078606e-12,1.095772e-12
 27.69900,  1.17995,9.048944e-11,1.277638e-09,7.147890e-11,2.595475e-10,7.138252e-12,1.515675e-11,6.022453e-12,6.632805e-12,7.369041e-12,7.998466e-12,9.623528e-12,1.440334e-11,5.898768e-11,1.972294e-09,5.588442e-11,5.237299e-11,9.910500e-11,2.511692e-09,1.067829e-11,1.079845e-11,2.135277e-12,2.329826e-12,2.175331e-12,2.743721e-12,4.899025e-12,9.838021e-11,2.264976e-12,5.356788e-12,1.965523e-12,1.928234e-11,1.898765e-12,1.666069e-12,1.626015e-12,2.148628e-12,1.587868e-12,1.490593e-12,1.513481e-12,1.542091e-12,1.498222e-12,1.547813e-12,1.494408e-12,1.500130e-12,1.500130e-12,1.452446e-12,1.471519e-12,1.402855e-12,1.421928e-12,1.408577e-12,1.435280e-12,1.404762e-12,1.441002e-12,1.421928e-12,1.374245e-12,1.370430e-12,1.420021e-12,1.347542e-12,1.349449e-12,1.343727e-12,1.339912e-12,1.332283e-12,1.391411e-12,1.364708e-12,1.362801e-12,1.347542e-12,1.299858e-12,1.353264e-12,1.338005e-12,1.362801e-12,1.324654e-12,1.309395e-12,1.290321e-12,1.309395e-12,1.288414e-12,1.313210e-12,1.259804e-12,1.330376e-12,1.309395e-12,1.297951e-12,1.282692e-12,1.248360e-12,1.261711e-12,1.288414e-12,1.288414e-12,1.311302e-12,1.294136e-12,1.307487e-12,1.206398e-12,1.252174e-12,1.252174e-12,1.233101e-12,1.286507e-12,1.238823e-12,1.263618e-12,1.221657e-12,1.210213e-12,1.223564e-12,1.221657e-12,1.225471e-12,1.254082e-12,1.198769e-12,1.223564e-12,1.194954e-12,1.214027e-12,1.196861e-12,1.193047e-12,1.208305e-12,1.181602e-12,1.170158e-12,1.217842e-12,1.200676e-12,1.168251e-12,1.208305e-12,1.151085e-12,1.164436e-12,1.149178e-12,1.193047e-12,1.133919e-12,1.229286e-12,1.118660e-12,1.189232e-12,1.166344e-12,1.122475e-12,1.166344e-12,1.156807e-12,1.137733e-12,1.145363e-12,1.093864e-12,1.122475e-12,1.152992e-12,1.147270e-12,1.132011e-12,1.183510e-12,1.145363e-12,1.126289e-12,1.149178e-12,1.099586e-12
 28.00000,  1.35054,9.123712e-11,1.275730e-09,7.107454e-11,2.599309e-10,7.153511e-12,1.498508e-11,6.001472e-12,6.653786e-12,7.370948e-12,8.021354e-12,9.762764e-12,1.436901e-11,5.866534e-11,1.966572e-09,5.609423e-11,5.262095e-11,9.920990e-11,2.526569e-09,1.068020e-11,1.070309e-11,2.114296e-12,2.352714e-12,2.184868e-12,2.671242e-12,4.992485e-12,9.814179e-11,2.318382e-12,5.385399e-12,2.028465e-12,1.914883e-11,1.900673e-12,1.698494e-12,1.639366e-12,2.125740e-12,1.509666e-12,1.568794e-12,1.559257e-12,1.507759e-12,1.513481e-12,1.545906e-12,1.488686e-12,1.456261e-12,1.467705e-12,1.519203e-12,1.482963e-12,1.412392e-12,1.477242e-12,1.418114e-12,1.441002e-12,1.391411e-12,1.435280e-12,1.366615e-12,1.423836e-12,1.397133e-12,1.385689e-12,1.393318e-12,1.379967e-12,1.351356e-12,1.368523e-12,1.355171e-12,1.351356e-12,1.362801e-12,1.355171e-12,1.341820e-12,1.284599e-12,1.324654e-12,1.330376e-12,1.355171e-12,1.311302e-12,1.317024e-12,1.305580e-12,1.339912e-12,1.278877e-12,1.328468e-12,1.311302e-12,1.301765e-12,1.257896e-12,1.305580e-12,1.296043e-12,1.284599e-12,1.242638e-12,1.324654e-12,1.273155e-12,1.257896e-12,1.280785e-12,1.246452e-12,1.290321e-12,1.225471e-12,1.263618e-12,1.223564e-12,1.273155e-12,1.214027e-12,1.250267e-12,1.223564e-12,1.231194e-12,1.240730e-12,1.267433e-12,1.229286e-12,1.194954e-12,1.194954e-12,1.254082e-12,1.223564e-12,1.173973e-12,1.200676e-12,1.200676e-12,1.187325e-12,1.194954e-12,1.227379e-12,1.196861e-12,1.193047e-12,1.132011e-12,1.235008e-12,1.143455e-12,1.187325e-12,1.170158e-12,1.156807e-12,1.172066e-12,1.168251e-12,1.133919e-12,1.090050e-12,1.143455e-12,1.105309e-12,1.179695e-12,1.151085e-12,1.194954e-12,1.124382e-12,1.181602e-12,1.099586e-12,1.135826e-12,1.097679e-12,1.105309e-12,1.158714e-12,1.149178e-12,1.091957e-12,1.116753e-12,1.086235e-12
 28.45000,  1.51676,9.069162e-11,1.272869e-09,7.150942e-11,2.602169e-10,7.151604e-12,1.511478e-11,6.052971e-12,6.722450e-12,7.369041e-12,7.954597e-12,9.720802e-12,1.436520e-11,5.840212e-11,1.972294e-09,5.600077e-11,5.270106e-11,1.004268e-10,2.526379e-09,1.067066e-11,1.077175e-11,2.099037e-12,2.375603e-12,2.148628e-12,2.787590e-12,4.998207e-12,9.836113e-11,2.289772e-12,5.393028e-12,1.992226e-12,1.913357e-11,1.944542e-12,1.666069e-12,1.637459e-12,2.146721e-12,1.534462e-12,1.559257e-12,1.563072e-12,1.517296e-12,1.561165e-12,1.526833e-12,1.479149e-12,1.498222e-12,1.500130e-12,1.465797e-12,1.425743e-12,1.425743e-12,1.437187e-12,1.418114e-12,1.423836e-12,1.387596e-12,1.444817e-12,1.362801e-12,1.381874e-12,1.358986e-12,1.425743e-12,1.410484e-12,1.376152e-12,1.358986e-12,1.343727e-12,1.311302e-12,1.334190e-12,1.353264e-12,1.404762e-12,1.357079e-12,1.307487e-12,1.303673e-12,1.345634e-12,1.332283e-12,1.318932e-12,1.322746e-12,1.311302e-12,1.324654e-12,1.328468e-12,1.280785e-12,1.334190e-12,1.339912e-12,1.324654e-12,1.334190e-12,1.284599e-12,1.238823e-12,1.301765e-12,1.282692e-12,1.265526e-12,1.231194e-12,1.275063e-12,1.275063e-12,1.225471e-12,1.290321e-12,1.305580e-12,1.189232e-12,1.250267e-12,1.238823e-12,1.238823e-12,1.278877e-12,1.198769e-12,1.250267e-12,1.210213e-12,1.233101e-12,1.175880e-12,1.200676e-12,1.204491e-12,1.214027e-12,1.223564e-12,1.210213e-12,1.227379e-12,1.183510e-12,1.175880e-12,1.164436e-12,1.198769e-12,1.173973e-12,1.156807e-12,1.191139e-12,1.215935e-12,1.196861e-12,1.158714e-12,1.158714e-12,1.128197e-12,1.183510e-12,1.183510e-12,1.168251e-12,1.118660e-12,1.160622e-12,1.135826e-12,1.120567e-12,1.118660e-12,1.112938e-12,1.158714e-12,1.122475e-12,1.103401e-12,1.160622e-12,1.126289e-12,1.133919e-12,1.122475e-12,1.160622e-12,1.118660e-12,1.135826e-12
 28.72100,  1.68734,9.067636e-11,1.274586e-09,7.109743e-11,2.599213e-10,7.079124e-12,1.500606e-11,6.072044e-12,6.701469e-12,7.323265e-12,7.891654e-12,9.760856e-12,1.436901e-11,5.894762e-11,1.972485e-09,5.619341e-11,5.250651e-11,9.810745e-11,2.530193e-09,1.060581e-11,1.073551e-11,2.158165e-12,2.333641e-12,2.140999e-12,2.701759e-12,4.986763e-12,9.841072e-11,2.343178e-12,5.387306e-12,1.959801e-12,1.922893e-11,1.875877e-12,1.715660e-12,1.645088e-12,2.160072e-12,1.566887e-12,1.568794e-12,1.564979e-12,1.515388e-12,1.479149e-12,1.494408e-12,1.545906e-12,1.515388e-12,1.448631e-12,1.458168e-12,1.463890e-12,1.416206e-12,1.437187e-12,1.465797e-12,1.437187e-12,1.418114e-12,1.358986e-12,1.441002e-12,1.444817e-12,1.471519e-12,1.408577e-12,1.318932e-12,1.368523e-12,1.376152e-12,1.374245e-12,1.374245e-12,1.313210e-12,1.408577e-12,1.378059e-12,1.309395e-12,1.330376e-12,1.339912e-12,1.366615e-12,1.286507e-12,1.368523e-12,1.320839e-12,1.299858e-12,1.330376e-12,1.334190e-12,1.309395e-12,1.292229e-12,1.271248e-12,1.286507e-12,1.292229e-12,1.292229e-12,1.255989e-12,1.284599e-12,1.301765e-12,1.223564e-12,1.309395e-12,1.236916e-12,1.275063e-12,1.240730e-12,1.299858e-12,1.273155e-12,1.229286e-12,1.255989e-12,1.271248e-12,1.162529e-12,1.227379e-12,1.236916e-12,1.236916e-12,1.208305e-12,1.210213e-12,1.193047e-12,1.206398e-12,1.204491e-12,1.233101e-12,1.198769e-12,1.183510e-12,1.189232e-12,1.154900e-12,1.200676e-12,1.187325e-12,1.172066e-12,1.158714e-12,1.198769e-12,1.219749e-12,1.145363e-12,1.200676e-12,1.170158e-12,1.196861e-12,1.193047e-12,1.162529e-12,1.193047e-12,1.166344e-12,1.168251e-12,1.133919e-12,1.185417e-12,1.128197e-12,1.152992e-12,1.116753e-12,1.147270e-12,1.130104e-12,1.128197e-12,1.116753e-12,1.114845e-12,1.132011e-12,1.137733e-12,1.116753e-12,1.137733e-12,1.097679e-12
