#EXPORTTYPE:                 ,DATA ALL                                                  
#FILE:                       ,2025_09_09_SL_PS_Blue_Cup_SCF3_P5EER3_V3_4_Dynamic.ngb-ss5
#FORMAT:                     ,NETZSCH5                                                  
#FTYPE:                      ,ASCII                                                     
#IDENTITY:                   ,P5EER3-V3+4                                               
#DECIMAL:                    ,POINT                                                     
#SEPARATOR:                  ,COMMA                                                     
#MTYPE:                      ,DSC                                                       
#INSTRUMENT:                 ,NETZSCH STA 449F5                                         
#PROJECT:                    ,PS-SCF3                                                   
#DATE/TIME:                  ,9/8/2025 10:19:03 AM (UTC-4)                              
#CORR. FILE:                 ,                                                          
#TEMPCAL:                    ,05-05-2025 14:38                                          
#SENSITIVITY:                ,28-06-2023 13:53                                          
#LABORATORY:                 ,Tran                                                      
#OPERATOR:                   ,Stanley                                                   
#REMARK:                     ,2025_03_20_Styrofoam_dynamic                              
#SAMPLE:                     ,P5EER3-V3+4                                               
#SAMPLE MASS /mg:            ,4.99                                                      
#MATERIAL:                   ,Polystyrene                                               
#REFERENCE:                  ,                                                          
#REFERENCE MASS /mg:         ,0                                                         
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                                         
#SAMPLE CRUCIBLE MASS /mg:   ,0                                                         
#REFERENCE CRUCIBLE MASS /mg:,0                                                         
#DSC RANGE /‘V:              ,5000                                                      
#TG RANGE /mg:               ,35000                                                     
#TAU-R:                      ,---                                                       
#CORR. CODE:                 ,000                                                       
#EXO:                        ,-1                                                        
#RANGE:                      ,20›C....800›C/0.0....20.0K/min                            
#SEGMENT:                    ,S1-4/4                                                    
#SEG. 1:                     ,20›C/5.0(K/min)/100›C                                     
#SEG. 2:                     ,100›C/00:05/100›C                                         
#SEG. 3:                     ,100›C/1.0(K/min)/400›C                                    
#SEG. 4:                     ,400›C/20.0(K/min)/800›C                                   

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 23.39900,  0.00000,      0.84240,    100.00000,50.00000,38.00000,            ,0.92219,1
 23.73900,  0.06667,      0.88842,     99.82545,50.00000,38.00000,6.800927e-09,0.92219,1
 24.05700,  0.13333,      0.91670,     99.57154,50.00000,37.00000,6.818039e-09,0.92226,1
 24.34500,  0.20000,      0.93221,     99.34028,50.00000,37.00000,6.818039e-09,0.92226,1
 24.59100,  0.26667,      0.93813,     99.21563,50.00000,37.00000,6.818039e-09,0.92226,1
 24.85500,  0.33333,      0.93558,     99.08397,50.00000,37.00000,6.818039e-09,0.92226,1
 25.08200,  0.40000,      0.92973,     98.89579,50.00000,37.00000,6.815141e-09,0.92234,1
 25.31100,  0.46667,      0.91824,     98.82325,50.00000,37.00000,6.815141e-09,0.92234,1
 25.51000,  0.53333,      0.90312,     98.71904,50.00000,37.00000,6.815141e-09,0.92234,1
 25.71600,  0.60000,      0.88833,     98.63507,50.00000,37.00000,6.831395e-09,0.92240,1
 25.93000,  0.66667,      0.86973,     98.54669,50.00000,37.00000,6.831395e-09,0.92240,1
 26.14000,  0.73333,      0.85229,     98.47194,50.00000,37.00000,6.831395e-09,0.92240,1
 26.32900,  0.80000,      0.83270,     98.40842,50.00000,37.00000,6.826746e-09,0.92246,1
 26.52400,  0.86667,      0.81362,     98.38116,50.00000,36.00000,6.826746e-09,0.92246,1
 26.70000,  0.93333,      0.79519,     98.34950,50.00000,36.00000,6.834999e-09,0.92251,1
 26.86700,  1.00000,      0.77959,     98.26794,50.00000,36.00000,6.834999e-09,0.92251,1
 27.03300,  1.06667,      0.75919,     98.22485,50.00000,36.00000,6.834999e-09,0.92251,1
 27.22300,  1.13333,      0.74176,     98.16593,50.00000,36.00000,6.824974e-09,0.92256,1
 27.37700,  1.20000,      0.72534,     98.16593,50.00000,35.00000,6.824974e-09,0.92256,1
 27.54100,  1.26667,      0.70709,     98.13186,50.00000,35.00000,6.832784e-09,0.92261,1
 27.69900,  1.33333,      0.69001,     98.09098,50.00000,35.00000,6.832784e-09,0.92261,1
 27.85800,  1.40000,      0.67293,     98.05471,50.00000,35.00000,6.832784e-09,0.92261,1
 28.00000,  1.46667,      0.65916,     98.02745,50.00000,35.00000,6.837083e-09,0.92266,1
 28.15100,  1.53333,      0.64407,     98.00040,50.00000,34.00000,6.837083e-09,0.92266,1
 28.30500,  1.60000,      0.62716,     97.94369,50.00000,34.00000,6.837083e-09,0.92266,1
 28.45000,  1.66667,      0.61323,     97.91643,50.00000,34.00000,6.840182e-09,0.92270,1
 28.58400,  1.73333,      0.59880,     97.88918,50.00000,34.00000,6.840182e-09,0.92270,1
 28.72100,  1.80000,      0.58587,     97.88918,50.00000,34.00000,6.831801e-09,0.92275,1
 28.85700,  1.86667,      0.57227,     97.86212,50.00000,33.00000,6.831801e-09,0.92275,1
 28.98000,  1.93333,      0.55967,     97.86212,50.00000,33.00000,6.831801e-09,0.92275,1
 29.11500,  2.00000,      0.54774,     97.83487,50.00000,33.00000,6.834180e-09,0.92279,1
 29.22300,  2.06667,      0.53663,     97.80762,50.00000,33.00000,6.834180e-09,0.92279,1
 29.37600,  2.13333,      0.52585,     97.78036,50.00000,33.00000,6.831582e-09,0.92283,1
 29.49600,  2.20000,      0.51326,     97.75331,50.00000,32.00000,6.831582e-09,0.92283,1
 29.59700,  2.26667,      0.50646,     97.05491,50.00000,32.00000,6.831582e-09,0.92283,1
 29.73300,  2.33333,      0.49552,     90.58196,50.00000,32.00000,6.839457e-09,0.92287,1
 29.83100,  2.40000,      0.48723,     89.62064,50.00000,33.00000,6.839457e-09,0.92287,1
 29.94900,  2.46667,      0.48010,     89.41443,50.00000,33.00000,6.843593e-09,0.92291,1
 30.07400,  2.53333,      0.47297,     89.38257,50.00000,33.00000,6.843593e-09,0.92291,1
 30.17400,  2.60000,      0.46816,     89.34870,50.00000,33.00000,6.843593e-09,0.92291,1
 30.27500,  2.66667,      0.46202,     89.35992,50.00000,33.00000,6.829480e-09,0.92294,1
 30.40000,  2.73333,      0.45804,     89.46874,50.00000,33.00000,6.829480e-09,0.92294,1
 30.51500,  2.80000,      0.45472,     89.62525,50.00000,33.00000,6.828939e-09,0.92298,1
 30.62000,  2.86667,      0.45156,     89.83166,50.00000,33.00000,6.828939e-09,0.92298,1
 30.74100,  2.93333,      0.45056,     89.89499,50.00000,33.00000,6.828939e-09,0.92298,1
 30.86100,  3.00000,      0.44889,     90.08557,50.00000,33.00000,6.837457e-09,0.92301,1
 30.99300,  3.06667,      0.44938,     90.34850,50.00000,33.00000,6.837457e-09,0.92301,1
 31.11400,  3.13333,      0.45119,     90.60701,50.00000,33.00000,6.852296e-09,0.92305,1
 31.22000,  3.20000,      0.45333,     90.78156,50.00000,33.00000,6.852296e-09,0.92305,1
 31.35600,  3.26667,      0.45564,     90.87675,50.00000,33.00000,6.852296e-09,0.92305,1
 31.49200,  3.33333,      0.45910,     90.94028,50.00000,33.00000,6.848844e-09,0.92308,1
 31.62300,  3.40000,      0.46455,     90.97415,50.00000,33.00000,6.848844e-09,0.92308,1
 31.76800,  3.46667,      0.46917,     91.06493,50.00000,33.00000,6.848844e-09,0.92308,1
