#EXPORTTYPE:                 ,DATA ALL                                                              
#FILE:                       ,2025_09_14_SL_PS_Petri_Dish_SCF3_250912_P5EER7_V1_2_Isothermal.ngb-ss5
#FORMAT:                     ,NETZSCH5                                                              
#FTYPE:                      ,ASCII                                                                 
#IDENTITY:                   ,P5EER7-V1+2                                                           
#DECIMAL:                    ,POINT                                                                 
#SEPARATOR:                  ,COMMA                                                                 
#MTYPE:                      ,DSC                                                                   
#INSTRUMENT:                 ,NETZSCH STA 449F5                                                     
#PROJECT:                    ,PS-SCF3                                                               
#DATE/TIME:                  ,9/14/2025 9:11:45 PM (UTC-4)                                          
#CORR. FILE:                 ,                                                                      
#TEMPCAL:                    ,05-05-2025 14:38                                                      
#SENSITIVITY:                ,28-06-2023 13:53                                                      
#LABORATORY:                 ,Tran                                                                  
#OPERATOR:                   ,Stanley                                                               
#REMARK:                     ,2025_03_29_SL_005d_M1_isothermal                                      
#SAMPLE:                     ,P5EER7-V1+2                                                           
#SAMPLE MASS /mg:            ,4.98                                                                  
#MATERIAL:                   ,Polystyrene                                                           
#REFERENCE:                  ,                                                                      
#REFERENCE MASS /mg:         ,0                                                                     
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                                                     
#SAMPLE CRUCIBLE MASS /mg:   ,0                                                                     
#REFERENCE CRUCIBLE MASS /mg:,0                                                                     
#DSC RANGE /‘V:              ,5000                                                                  
#TG RANGE /mg:               ,35000                                                                 
#TAU-R:                      ,---                                                                   
#CORR. CODE:                 ,000                                                                   
#EXO:                        ,-1                                                                    
#RANGE:                      ,30›C....800›C/0.0....20.0K/min                                        
#SEGMENT:                    ,S1-5/5                                                                
#SEG. 1:                     ,30›C/10.0(K/min)/100›C                                                
#SEG. 2:                     ,100›C/00:10/100›C                                                     
#SEG. 3:                     ,100›C/5.0(K/min)/300›C                                                
#SEG. 4:                     ,300›C/20:00/300›C                                                     
#SEG. 5:                     ,300›C/20.0(K/min)/800›C                                               

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 40.64900,   0.00000,      0.91590,100.00000,50.00000,50.00000,            ,0.92516,1
 40.66900,   0.04000,      0.85844,100.00683,50.00000,50.00000,6.808675e-09,0.92516,1
 40.70000,   0.08000,      0.80561,100.03193,50.00000,50.00000,6.808675e-09,0.92516,1
 40.72000,   0.12000,      0.75378,100.00462,50.00000,50.00000,6.830069e-09,0.92516,1
 40.73600,   0.16000,      0.70758,100.00462,50.00000,50.00000,6.830069e-09,0.92516,1
 40.77100,   0.20000,      0.66469,100.00462,50.00000,50.00000,6.830069e-09,0.92516,1
 40.76400,   0.24000,      0.62677,100.00462,50.00000,50.00000,6.830069e-09,0.92516,1
 40.80400,   0.28000,      0.59050,100.00462,50.00000,50.00000,6.830187e-09,0.92516,1
 40.81800,   0.32000,      0.55605,100.03193,50.00000,50.00000,6.830187e-09,0.92516,1
 40.84300,   0.36000,      0.52542,100.05904,50.00000,50.00000,6.830187e-09,0.92516,1
 40.88000,   0.40000,      0.49826,100.08635,50.00000,50.00000,6.830187e-09,0.92516,1
 40.89800,   0.44000,      0.47359,100.08635,50.00000,50.00000,6.823075e-09,0.92516,1
 40.93800,   0.48000,      0.45024,100.11586,50.00000,50.00000,6.823075e-09,0.92516,1
 40.96100,   0.52000,      0.42871,100.14317,50.00000,50.00000,6.823075e-09,0.92516,1
 41.01000,   0.56000,      0.41297,100.17490,50.00000,50.00000,6.823075e-09,0.92516,1
 41.04900,   0.60000,      0.39757,100.24317,50.00000,50.00000,6.818625e-09,0.92517,1
 41.10200,   0.64000,      0.38399,100.27490,50.00000,50.00000,6.818625e-09,0.92517,1
 41.13700,   0.68000,      0.37422,100.30000,50.00000,50.00000,6.818625e-09,0.92517,1
 41.18100,   0.72000,      0.36594, 98.95723,50.00000,50.00000,6.818625e-09,0.92517,1
 41.24000,   0.76000,      0.35948, 93.95040,50.00000,50.00000,6.818625e-09,0.92517,1
 41.27500,   0.80000,      0.35401, 93.04839,50.00000,50.00000,6.842904e-09,0.92517,1
 41.34400,   0.84000,      0.35037, 92.38735,50.00000,50.00000,6.842904e-09,0.92517,1
 41.40000,   0.88000,      0.34854, 92.02851,50.00000,50.00000,6.842904e-09,0.92517,1
 41.46800,   0.92000,      0.34887, 91.87390,50.00000,50.00000,6.842904e-09,0.92517,1
 41.53100,   0.96000,      0.34887, 91.82631,50.00000,50.00000,6.825394e-09,0.92517,1
 41.59000,   1.00000,      0.35135, 91.82631,50.00000,50.00000,6.825394e-09,0.92517,1
 41.64700,   1.04000,      0.35532, 91.82631,50.00000,50.00000,6.825394e-09,0.92517,1
 41.72700,   1.08000,      0.35962, 91.81948,50.00000,50.00000,6.825394e-09,0.92517,1
 41.80200,   1.12000,      0.36691, 91.81948,50.00000,50.00000,6.831107e-09,0.92517,1
 41.87800,   1.16000,      0.37204, 91.86486,50.00000,50.00000,6.831107e-09,0.92517,1
 41.96700,   1.20000,      0.38014, 91.92169,50.00000,50.00000,6.831107e-09,0.92517,1
 42.02800,   1.24000,      0.38776, 91.99438,50.00000,50.00000,6.831107e-09,0.92517,1
 42.13600,   1.28000,      0.39669, 92.07610,50.00000,50.00000,6.829624e-09,0.92518,1
 42.22700,   1.32000,      0.40629, 92.17610,50.00000,50.00000,6.829624e-09,0.92518,1
 42.31800,   1.36000,      0.41539, 92.26687,50.00000,50.00000,6.829624e-09,0.92518,1
 42.40700,   1.40000,      0.42450, 92.35562,50.00000,50.00000,6.829624e-09,0.92518,1
