#EXPORTTYPE:                 ,DATA ALL                                                    
#FILE:                       ,2025_09_15_SL_PS_Petri-Dish-SCF3_Dynamic_P5EER7_V1_2.ngb-ss5
#FORMAT:                     ,NETZSCH5                                                    
#FTYPE:                      ,ASCII                                                       
#IDENTITY:                   ,P5-EE-R7-V1+2                                               
#DECIMAL:                    ,POINT                                                       
#SEPARATOR:                  ,COMMA                                                       
#MTYPE:                      ,TIC                                                         
#INSTRUMENT:                 ,NETZSCH STA 449F5                                           
#PROJECT:                    ,PS-SCF3                                                     
#DATE/TIME:                  ,9/15/2025 7:24:08 PM (UTC-4)                                
#CORR. FILE:                 ,                                                            
#TEMPCAL:                    ,05-05-2025 14:38                                            
#SENSITIVITY:                ,28-06-2023 13:53                                            
#LABORATORY:                 ,Tran                                                        
#OPERATOR:                   ,Stanley                                                     
#REMARK:                     ,2025_03_20_Styrofoam_dynamic                                
#SAMPLE:                     ,P5-EE-R7-V1+2                                               
#SAMPLE MASS /mg:            ,4.83                                                        
#MATERIAL:                   ,Polystyrene                                                 
#REFERENCE:                  ,                                                            
#REFERENCE MASS /mg:         ,0                                                           
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                                           
#SAMPLE CRUCIBLE MASS /mg:   ,0                                                           
#REFERENCE CRUCIBLE MASS /mg:,0                                                           
#DSC RANGE /‘V:              ,5000                                                        
#TG RANGE /mg:               ,35000                                                       
                             ,                                                            

##Temp./›C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 40.22300,  0.01006,8.877855e-11,1.232433e-09,9.335047e-11,3.513502e-10,8.488655e-12,1.488400e-11,6.020546e-12,6.609917e-12,7.201195e-12,7.834434e-12,9.484291e-12,1.378918e-11,5.569369e-11,1.763439e-09,6.473452e-11,5.131632e-11,9.698784e-11,2.337170e-09,1.078320e-11,1.038647e-11,2.232552e-12,2.482414e-12,2.238274e-12,2.749443e-12,4.900932e-12,9.324366e-11,2.436638e-12,5.337715e-12,2.085686e-12,1.907635e-11,1.988411e-12,1.818657e-12,1.740456e-12,2.238274e-12,1.637459e-12,1.633644e-12,1.595497e-12,1.572609e-12,1.601219e-12,1.570702e-12,1.534462e-12,1.605034e-12,1.557350e-12,1.576424e-12,1.509666e-12,1.513481e-12,1.536369e-12,1.532555e-12,1.479149e-12,1.503944e-12,1.521110e-12,1.521110e-12,1.482963e-12,1.503944e-12,1.429558e-12,1.465797e-12,1.484871e-12,1.463890e-12,1.469612e-12,1.469612e-12,1.416206e-12,1.467705e-12,1.393318e-12,1.442909e-12,1.416206e-12,1.467705e-12,1.431465e-12,1.404762e-12,1.374245e-12,1.418114e-12,1.423836e-12,1.370430e-12,1.391411e-12,1.362801e-12,1.351356e-12,1.395226e-12,1.360893e-12,1.374245e-12,1.370430e-12,1.357079e-12,1.379967e-12,1.370430e-12,1.345634e-12,1.362801e-12,1.322746e-12,1.332283e-12,1.360893e-12,1.351356e-12,1.322746e-12,1.305580e-12,1.311302e-12,1.311302e-12,1.332283e-12,1.297951e-12,1.317024e-12,1.257896e-12,1.358986e-12,1.313210e-12,1.284599e-12,1.305580e-12,1.374245e-12,1.294136e-12,1.276970e-12,1.275063e-12,1.301765e-12,1.303673e-12,1.311302e-12,1.288414e-12,1.240730e-12,1.278877e-12,1.252174e-12,1.297951e-12,1.238823e-12,1.259804e-12,1.244545e-12,1.257896e-12,1.305580e-12,1.231194e-12,1.273155e-12,1.219749e-12,1.238823e-12,1.227379e-12,1.242638e-12,1.235008e-12,1.198769e-12,1.223564e-12,1.263618e-12,1.206398e-12,1.227379e-12,1.217842e-12,1.177788e-12,1.212120e-12,1.233101e-12,1.166344e-12,1.193047e-12,1.185417e-12
 42.23000,  0.18316,8.840471e-11,1.226330e-09,9.385597e-11,3.548063e-10,8.442878e-12,1.470661e-11,6.022453e-12,6.585121e-12,7.317542e-12,7.847786e-12,9.310722e-12,1.383495e-11,5.499941e-11,1.766491e-09,6.471163e-11,5.144793e-11,9.787476e-11,2.338123e-09,1.079655e-11,1.043606e-11,2.202034e-12,2.415657e-12,2.259254e-12,2.844810e-12,4.923820e-12,9.340769e-11,2.417564e-12,5.444526e-12,2.070427e-12,1.890278e-11,2.038002e-12,1.761436e-12,1.679420e-12,2.234459e-12,1.694679e-12,1.633644e-12,1.637459e-12,1.593590e-12,1.582146e-12,1.578331e-12,1.591682e-12,1.580238e-12,1.517296e-12,1.601219e-12,1.534462e-12,1.486778e-12,1.542091e-12,1.526833e-12,1.517296e-12,1.551628e-12,1.519203e-12,1.463890e-12,1.479149e-12,1.433372e-12,1.454353e-12,1.450539e-12,1.475334e-12,1.482963e-12,1.456261e-12,1.418114e-12,1.431465e-12,1.433372e-12,1.467705e-12,1.475334e-12,1.442909e-12,1.446724e-12,1.431465e-12,1.414299e-12,1.439095e-12,1.406670e-12,1.406670e-12,1.414299e-12,1.387596e-12,1.378059e-12,1.446724e-12,1.410484e-12,1.355171e-12,1.366615e-12,1.374245e-12,1.347542e-12,1.315117e-12,1.385689e-12,1.372337e-12,1.362801e-12,1.358986e-12,1.351356e-12,1.313210e-12,1.322746e-12,1.269340e-12,1.328468e-12,1.317024e-12,1.297951e-12,1.317024e-12,1.280785e-12,1.336098e-12,1.309395e-12,1.311302e-12,1.248360e-12,1.299858e-12,1.225471e-12,1.257896e-12,1.276970e-12,1.288414e-12,1.290321e-12,1.242638e-12,1.297951e-12,1.301765e-12,1.259804e-12,1.242638e-12,1.267433e-12,1.259804e-12,1.248360e-12,1.265526e-12,1.240730e-12,1.273155e-12,1.231194e-12,1.254082e-12,1.233101e-12,1.250267e-12,1.235008e-12,1.261711e-12,1.219749e-12,1.200676e-12,1.231194e-12,1.210213e-12,1.193047e-12,1.236916e-12,1.240730e-12,1.221657e-12,1.202583e-12,1.231194e-12,1.172066e-12,1.242638e-12,1.194954e-12,1.191139e-12,1.128197e-12
 44.29500,  0.35127,8.915812e-11,1.228237e-09,9.391510e-11,3.531850e-10,8.383750e-12,1.478863e-11,5.988121e-12,6.608009e-12,7.262230e-12,7.866859e-12,9.446144e-12,1.380825e-11,5.581003e-11,1.772213e-09,6.472498e-11,5.126864e-11,9.701263e-11,2.342129e-09,1.081943e-11,1.047039e-11,2.240181e-12,2.423286e-12,2.238274e-12,2.856255e-12,4.946708e-12,9.336572e-11,2.421379e-12,5.351066e-12,2.114296e-12,1.890850e-11,2.051353e-12,1.784325e-12,1.727104e-12,2.230644e-12,1.654625e-12,1.666069e-12,1.641273e-12,1.601219e-12,1.563072e-12,1.654625e-12,1.555443e-12,1.597404e-12,1.624107e-12,1.545906e-12,1.534462e-12,1.513481e-12,1.540184e-12,1.555443e-12,1.502037e-12,1.482963e-12,1.488686e-12,1.479149e-12,1.500130e-12,1.477242e-12,1.473427e-12,1.496315e-12,1.463890e-12,1.446724e-12,1.467705e-12,1.433372e-12,1.460075e-12,1.490593e-12,1.477242e-12,1.420021e-12,1.439095e-12,1.414299e-12,1.412392e-12,1.397133e-12,1.408577e-12,1.502037e-12,1.416206e-12,1.406670e-12,1.399040e-12,1.416206e-12,1.400948e-12,1.402855e-12,1.366615e-12,1.437187e-12,1.360893e-12,1.395226e-12,1.358986e-12,1.362801e-12,1.366615e-12,1.370430e-12,1.326561e-12,1.336098e-12,1.345634e-12,1.338005e-12,1.360893e-12,1.339912e-12,1.315117e-12,1.336098e-12,1.317024e-12,1.332283e-12,1.343727e-12,1.271248e-12,1.282692e-12,1.324654e-12,1.307487e-12,1.275063e-12,1.290321e-12,1.280785e-12,1.292229e-12,1.288414e-12,1.269340e-12,1.296043e-12,1.276970e-12,1.236916e-12,1.255989e-12,1.278877e-12,1.284599e-12,1.280785e-12,1.215935e-12,1.248360e-12,1.236916e-12,1.248360e-12,1.278877e-12,1.324654e-12,1.227379e-12,1.235008e-12,1.198769e-12,1.233101e-12,1.225471e-12,1.196861e-12,1.187325e-12,1.254082e-12,1.225471e-12,1.259804e-12,1.225471e-12,1.196861e-12,1.206398e-12,1.214027e-12,1.200676e-12,1.143455e-12,1.158714e-12,1.122475e-12
 45.46900,  0.52301,8.798891e-11,1.232052e-09,9.323984e-11,3.543409e-10,8.412361e-12,1.480198e-11,5.949974e-12,6.609917e-12,7.277489e-12,7.832527e-12,9.495735e-12,1.391697e-11,5.582911e-11,1.773357e-09,6.458765e-11,5.181986e-11,9.796059e-11,2.336979e-09,1.073551e-11,1.036549e-11,2.257347e-12,2.432823e-12,2.295494e-12,2.814293e-12,4.927635e-12,9.345156e-11,2.398491e-12,5.473137e-12,2.099037e-12,1.882076e-11,1.955986e-12,1.744270e-12,1.709938e-12,2.249718e-12,1.698494e-12,1.658440e-12,1.662254e-12,1.587868e-12,1.585960e-12,1.643181e-12,1.593590e-12,1.538277e-12,1.585960e-12,1.521110e-12,1.551628e-12,1.507759e-12,1.549721e-12,1.471519e-12,1.532555e-12,1.511574e-12,1.511574e-12,1.488686e-12,1.505852e-12,1.477242e-12,1.454353e-12,1.498222e-12,1.395226e-12,1.488686e-12,1.406670e-12,1.433372e-12,1.418114e-12,1.435280e-12,1.473427e-12,1.429558e-12,1.425743e-12,1.421928e-12,1.372337e-12,1.431465e-12,1.425743e-12,1.433372e-12,1.421928e-12,1.400948e-12,1.374245e-12,1.423836e-12,1.381874e-12,1.408577e-12,1.343727e-12,1.383781e-12,1.389503e-12,1.326561e-12,1.349449e-12,1.334190e-12,1.338005e-12,1.301765e-12,1.294136e-12,1.347542e-12,1.362801e-12,1.343727e-12,1.334190e-12,1.378059e-12,1.324654e-12,1.353264e-12,1.326561e-12,1.322746e-12,1.290321e-12,1.320839e-12,1.288414e-12,1.276970e-12,1.317024e-12,1.318932e-12,1.332283e-12,1.278877e-12,1.244545e-12,1.296043e-12,1.244545e-12,1.303673e-12,1.315117e-12,1.282692e-12,1.296043e-12,1.290321e-12,1.294136e-12,1.273155e-12,1.271248e-12,1.223564e-12,1.223564e-12,1.242638e-12,1.244545e-12,1.269340e-12,1.229286e-12,1.238823e-12,1.225471e-12,1.248360e-12,1.215935e-12,1.202583e-12,1.231194e-12,1.263618e-12,1.223564e-12,1.151085e-12,1.221657e-12,1.248360e-12,1.271248e-12,1.217842e-12,1.227379e-12,1.151085e-12,1.181602e-12,1.208305e-12
 46.99900,  0.69041,8.952051e-11,1.232815e-09,9.344202e-11,3.550123e-10,8.372306e-12,1.481724e-11,6.005287e-12,6.594658e-12,7.248878e-12,7.727622e-12,9.480476e-12,1.390362e-11,5.576807e-11,1.777935e-09,6.481653e-11,5.181986e-11,9.784615e-11,2.346134e-09,1.081943e-11,1.040363e-11,2.188682e-12,2.480507e-12,2.266884e-12,2.820015e-12,4.965782e-12,9.356409e-11,2.381325e-12,5.438804e-12,2.142906e-12,1.881885e-11,2.011299e-12,1.814842e-12,1.667976e-12,2.205849e-12,1.675606e-12,1.698494e-12,1.620293e-12,1.620293e-12,1.603126e-12,1.658440e-12,1.547813e-12,1.568794e-12,1.551628e-12,1.582146e-12,1.585960e-12,1.498222e-12,1.543999e-12,1.517296e-12,1.505852e-12,1.524925e-12,1.479149e-12,1.486778e-12,1.482963e-12,1.494408e-12,1.515388e-12,1.448631e-12,1.524925e-12,1.465797e-12,1.460075e-12,1.376152e-12,1.503944e-12,1.477242e-12,1.393318e-12,1.370430e-12,1.397133e-12,1.395226e-12,1.433372e-12,1.429558e-12,1.376152e-12,1.463890e-12,1.416206e-12,1.400948e-12,1.400948e-12,1.372337e-12,1.383781e-12,1.381874e-12,1.368523e-12,1.324654e-12,1.370430e-12,1.330376e-12,1.324654e-12,1.374245e-12,1.299858e-12,1.362801e-12,1.324654e-12,1.301765e-12,1.358986e-12,1.341820e-12,1.318932e-12,1.347542e-12,1.290321e-12,1.315117e-12,1.307487e-12,1.328468e-12,1.320839e-12,1.332283e-12,1.339912e-12,1.334190e-12,1.309395e-12,1.303673e-12,1.311302e-12,1.280785e-12,1.280785e-12,1.305580e-12,1.294136e-12,1.332283e-12,1.309395e-12,1.244545e-12,1.271248e-12,1.263618e-12,1.267433e-12,1.299858e-12,1.244545e-12,1.248360e-12,1.233101e-12,1.240730e-12,1.231194e-12,1.259804e-12,1.187325e-12,1.202583e-12,1.244545e-12,1.271248e-12,1.278877e-12,1.214027e-12,1.208305e-12,1.231194e-12,1.273155e-12,1.185417e-12,1.225471e-12,1.196861e-12,1.206398e-12,1.173973e-12,1.185417e-12,1.183510e-12,1.149178e-12,1.185417e-12
 47.89300,  0.86211,8.815485e-11,1.231480e-09,9.384453e-11,3.545889e-10,8.492470e-12,1.473713e-11,6.093025e-12,6.600380e-12,7.267952e-12,7.765770e-12,9.467125e-12,1.391888e-11,5.589205e-11,1.774502e-09,6.473070e-11,5.167681e-11,9.880555e-11,2.337360e-09,1.083469e-11,1.028347e-11,2.177238e-12,2.476692e-12,2.245903e-12,2.825737e-12,4.954338e-12,9.329706e-11,2.371788e-12,5.419731e-12,2.142906e-12,1.868343e-11,1.982689e-12,1.765251e-12,1.681328e-12,2.217293e-12,1.696587e-12,1.688957e-12,1.635551e-12,1.667976e-12,1.610756e-12,1.641273e-12,1.580238e-12,1.595497e-12,1.605034e-12,1.503944e-12,1.620293e-12,1.513481e-12,1.566887e-12,1.513481e-12,1.543999e-12,1.511574e-12,1.448631e-12,1.461983e-12,1.431465e-12,1.467705e-12,1.448631e-12,1.488686e-12,1.460075e-12,1.456261e-12,1.431465e-12,1.444817e-12,1.429558e-12,1.418114e-12,1.429558e-12,1.477242e-12,1.397133e-12,1.406670e-12,1.414299e-12,1.412392e-12,1.437187e-12,1.399040e-12,1.400948e-12,1.399040e-12,1.379967e-12,1.362801e-12,1.421928e-12,1.334190e-12,1.395226e-12,1.345634e-12,1.330376e-12,1.336098e-12,1.366615e-12,1.338005e-12,1.349449e-12,1.334190e-12,1.315117e-12,1.311302e-12,1.353264e-12,1.368523e-12,1.328468e-12,1.318932e-12,1.383781e-12,1.364708e-12,1.338005e-12,1.317024e-12,1.328468e-12,1.307487e-12,1.294136e-12,1.317024e-12,1.307487e-12,1.282692e-12,1.280785e-12,1.292229e-12,1.343727e-12,1.320839e-12,1.292229e-12,1.286507e-12,1.265526e-12,1.227379e-12,1.257896e-12,1.263618e-12,1.257896e-12,1.257896e-12,1.231194e-12,1.261711e-12,1.284599e-12,1.212120e-12,1.235008e-12,1.212120e-12,1.282692e-12,1.261711e-12,1.233101e-12,1.233101e-12,1.231194e-12,1.215935e-12,1.223564e-12,1.238823e-12,1.240730e-12,1.219749e-12,1.257896e-12,1.193047e-12,1.210213e-12,1.198769e-12,1.225471e-12,1.214027e-12,1.231194e-12,1.177788e-12
 49.07900,  1.03528,8.843905e-11,1.230717e-09,9.437477e-11,3.561949e-10,8.301734e-12,1.477909e-11,5.953789e-12,6.562233e-12,7.290840e-12,7.729530e-12,9.493828e-12,1.390362e-11,5.572992e-11,1.771832e-09,6.433398e-11,5.149180e-11,9.723198e-11,2.338505e-09,1.081181e-11,1.044750e-11,2.217293e-12,2.457619e-12,2.285957e-12,2.768517e-12,4.858970e-12,9.372240e-11,2.415657e-12,5.373955e-12,2.123833e-12,1.859188e-11,2.001762e-12,1.776695e-12,1.688957e-12,2.200127e-12,1.635551e-12,1.654625e-12,1.593590e-12,1.675606e-12,1.589775e-12,1.591682e-12,1.610756e-12,1.593590e-12,1.580238e-12,1.530647e-12,1.505852e-12,1.542091e-12,1.517296e-12,1.551628e-12,1.517296e-12,1.481056e-12,1.444817e-12,1.469612e-12,1.492500e-12,1.450539e-12,1.446724e-12,1.467705e-12,1.523018e-12,1.456261e-12,1.393318e-12,1.475334e-12,1.437187e-12,1.444817e-12,1.481056e-12,1.376152e-12,1.450539e-12,1.378059e-12,1.370430e-12,1.450539e-12,1.389503e-12,1.437187e-12,1.364708e-12,1.389503e-12,1.370430e-12,1.400948e-12,1.416206e-12,1.404762e-12,1.399040e-12,1.374245e-12,1.372337e-12,1.376152e-12,1.330376e-12,1.366615e-12,1.338005e-12,1.376152e-12,1.391411e-12,1.355171e-12,1.341820e-12,1.360893e-12,1.328468e-12,1.374245e-12,1.355171e-12,1.278877e-12,1.387596e-12,1.309395e-12,1.286507e-12,1.332283e-12,1.309395e-12,1.273155e-12,1.320839e-12,1.299858e-12,1.280785e-12,1.284599e-12,1.297951e-12,1.275063e-12,1.320839e-12,1.261711e-12,1.297951e-12,1.254082e-12,1.276970e-12,1.269340e-12,1.286507e-12,1.219749e-12,1.215935e-12,1.265526e-12,1.269340e-12,1.206398e-12,1.255989e-12,1.217842e-12,1.250267e-12,1.217842e-12,1.261711e-12,1.210213e-12,1.225471e-12,1.212120e-12,1.240730e-12,1.229286e-12,1.200676e-12,1.254082e-12,1.191139e-12,1.208305e-12,1.231194e-12,1.212120e-12,1.208305e-12,1.149178e-12,1.200676e-12,1.194954e-12
 49.76300,  1.20021,8.794886e-11,1.231670e-09,9.458840e-11,3.577570e-10,8.395195e-12,1.480579e-11,5.860329e-12,6.615639e-12,7.277489e-12,7.786750e-12,9.453773e-12,1.401806e-11,5.581957e-11,1.771259e-09,6.486803e-11,5.195337e-11,9.926903e-11,2.342129e-09,1.088428e-11,1.056576e-11,2.207756e-12,2.369881e-12,2.284050e-12,2.825737e-12,4.986763e-12,9.419548e-11,2.423286e-12,5.379677e-12,2.133369e-12,1.851749e-11,1.969337e-12,1.759529e-12,1.700401e-12,2.234459e-12,1.666069e-12,1.660347e-12,1.606941e-12,1.599312e-12,1.566887e-12,1.582146e-12,1.622200e-12,1.563072e-12,1.566887e-12,1.523018e-12,1.549721e-12,1.542091e-12,1.540184e-12,1.526833e-12,1.532555e-12,1.524925e-12,1.477242e-12,1.509666e-12,1.414299e-12,1.446724e-12,1.427650e-12,1.446724e-12,1.406670e-12,1.467705e-12,1.446724e-12,1.456261e-12,1.433372e-12,1.456261e-12,1.414299e-12,1.360893e-12,1.358986e-12,1.431465e-12,1.427650e-12,1.383781e-12,1.416206e-12,1.433372e-12,1.378059e-12,1.399040e-12,1.420021e-12,1.349449e-12,1.431465e-12,1.307487e-12,1.364708e-12,1.355171e-12,1.376152e-12,1.395226e-12,1.381874e-12,1.355171e-12,1.290321e-12,1.358986e-12,1.418114e-12,1.339912e-12,1.317024e-12,1.353264e-12,1.360893e-12,1.290321e-12,1.313210e-12,1.324654e-12,1.320839e-12,1.315117e-12,1.303673e-12,1.303673e-12,1.324654e-12,1.317024e-12,1.318932e-12,1.263618e-12,1.257896e-12,1.332283e-12,1.315117e-12,1.265526e-12,1.282692e-12,1.233101e-12,1.265526e-12,1.252174e-12,1.280785e-12,1.255989e-12,1.210213e-12,1.240730e-12,1.215935e-12,1.236916e-12,1.246452e-12,1.255989e-12,1.227379e-12,1.240730e-12,1.208305e-12,1.208305e-12,1.215935e-12,1.210213e-12,1.240730e-12,1.204491e-12,1.204491e-12,1.263618e-12,1.214027e-12,1.238823e-12,1.257896e-12,1.231194e-12,1.223564e-12,1.162529e-12,1.214027e-12,1.202583e-12,1.168251e-12,1.208305e-12
 50.69900,  1.36576,8.794313e-11,1.232052e-09,9.473335e-11,3.565382e-10,8.379936e-12,1.492405e-11,6.022453e-12,6.560326e-12,7.243156e-12,7.721900e-12,9.518623e-12,1.392078e-11,5.530458e-11,1.779842e-09,6.458956e-11,5.186564e-11,9.880364e-11,2.350903e-09,1.082706e-11,1.046085e-11,2.190590e-12,2.448082e-12,2.297401e-12,2.812386e-12,5.043983e-12,9.373385e-11,2.346992e-12,5.368233e-12,2.137184e-12,1.850986e-11,2.015114e-12,1.782417e-12,1.702309e-12,2.221107e-12,1.696587e-12,1.608849e-12,1.585960e-12,1.654625e-12,1.614571e-12,1.662254e-12,1.572609e-12,1.572609e-12,1.503944e-12,1.591682e-12,1.532555e-12,1.500130e-12,1.505852e-12,1.509666e-12,1.481056e-12,1.461983e-12,1.496315e-12,1.500130e-12,1.460075e-12,1.454353e-12,1.442909e-12,1.515388e-12,1.450539e-12,1.442909e-12,1.448631e-12,1.503944e-12,1.427650e-12,1.431465e-12,1.441002e-12,1.427650e-12,1.385689e-12,1.450539e-12,1.414299e-12,1.391411e-12,1.481056e-12,1.444817e-12,1.450539e-12,1.420021e-12,1.378059e-12,1.379967e-12,1.345634e-12,1.358986e-12,1.341820e-12,1.383781e-12,1.381874e-12,1.395226e-12,1.326561e-12,1.368523e-12,1.353264e-12,1.347542e-12,1.362801e-12,1.343727e-12,1.357079e-12,1.317024e-12,1.311302e-12,1.349449e-12,1.328468e-12,1.296043e-12,1.326561e-12,1.313210e-12,1.290321e-12,1.286507e-12,1.330376e-12,1.349449e-12,1.284599e-12,1.261711e-12,1.242638e-12,1.303673e-12,1.307487e-12,1.242638e-12,1.284599e-12,1.236916e-12,1.278877e-12,1.263618e-12,1.263618e-12,1.278877e-12,1.221657e-12,1.282692e-12,1.269340e-12,1.265526e-12,1.229286e-12,1.261711e-12,1.257896e-12,1.231194e-12,1.271248e-12,1.269340e-12,1.259804e-12,1.236916e-12,1.191139e-12,1.212120e-12,1.206398e-12,1.238823e-12,1.242638e-12,1.198769e-12,1.204491e-12,1.210213e-12,1.172066e-12,1.194954e-12,1.173973e-12,1.166344e-12,1.173973e-12,1.187325e-12
 51.23500,  1.53895,8.885103e-11,1.236439e-09,9.400284e-11,3.562025e-10,8.410454e-12,1.476383e-11,6.037712e-12,6.539345e-12,7.216454e-12,7.836342e-12,9.531974e-12,1.385784e-11,5.551630e-11,1.777554e-09,6.471544e-11,5.177981e-11,9.855378e-11,2.347469e-09,1.069546e-11,1.036358e-11,2.219200e-12,2.482414e-12,2.301216e-12,2.825737e-12,4.839897e-12,9.322458e-11,2.429008e-12,5.370140e-12,2.085686e-12,1.857281e-11,1.967430e-12,1.801491e-12,1.709938e-12,2.213478e-12,1.639366e-12,1.660347e-12,1.648903e-12,1.605034e-12,1.627922e-12,1.652718e-12,1.612663e-12,1.605034e-12,1.532555e-12,1.633644e-12,1.574516e-12,1.524925e-12,1.490593e-12,1.517296e-12,1.481056e-12,1.454353e-12,1.502037e-12,1.461983e-12,1.484871e-12,1.481056e-12,1.393318e-12,1.494408e-12,1.467705e-12,1.412392e-12,1.444817e-12,1.482963e-12,1.420021e-12,1.442909e-12,1.465797e-12,1.421928e-12,1.418114e-12,1.465797e-12,1.423836e-12,1.429558e-12,1.458168e-12,1.393318e-12,1.376152e-12,1.378059e-12,1.442909e-12,1.376152e-12,1.364708e-12,1.385689e-12,1.372337e-12,1.328468e-12,1.374245e-12,1.374245e-12,1.355171e-12,1.351356e-12,1.343727e-12,1.374245e-12,1.320839e-12,1.296043e-12,1.324654e-12,1.328468e-12,1.328468e-12,1.345634e-12,1.296043e-12,1.301765e-12,1.393318e-12,1.360893e-12,1.244545e-12,1.275063e-12,1.324654e-12,1.305580e-12,1.303673e-12,1.238823e-12,1.299858e-12,1.267433e-12,1.292229e-12,1.276970e-12,1.307487e-12,1.261711e-12,1.227379e-12,1.303673e-12,1.242638e-12,1.263618e-12,1.246452e-12,1.236916e-12,1.233101e-12,1.265526e-12,1.227379e-12,1.240730e-12,1.181602e-12,1.250267e-12,1.248360e-12,1.212120e-12,1.179695e-12,1.259804e-12,1.246452e-12,1.204491e-12,1.204491e-12,1.221657e-12,1.223564e-12,1.194954e-12,1.193047e-12,1.221657e-12,1.217842e-12,1.208305e-12,1.225471e-12,1.246452e-12,1.177788e-12,1.198769e-12
