#EXPORTTYPE:                 ,DATA ALL                                                    
#FILE:                       ,2025_09_15_SL_PS_Petri-Dish-SCF3_Dynamic_P5EER7_V1_2.ngb-ss5
#FORMAT:                     ,NETZSCH5                                                    
#FTYPE:                      ,ASCII                                                       
#IDENTITY:                   ,P5-EE-R7-V1+2                                               
#DECIMAL:                    ,POINT                                                       
#SEPARATOR:                  ,COMMA                                                       
#MTYPE:                      ,DSC                                                         
#INSTRUMENT:                 ,NETZSCH STA 449F5                                           
#PROJECT:                    ,PS-SCF3                                                     
#DATE/TIME:                  ,9/15/2025 7:24:08 PM (UTC-4)                                
#CORR. FILE:                 ,                                                            
#TEMPCAL:                    ,05-05-2025 14:38                                            
#SENSITIVITY:                ,28-06-2023 13:53                                            
#LABORATORY:                 ,Tran                                                        
#OPERATOR:                   ,Stanley                                                     
#REMARK:                     ,2025_03_20_Styrofoam_dynamic                                
#SAMPLE:                     ,P5-EE-R7-V1+2                                               
#SAMPLE MASS /mg:            ,4.83                                                        
#MATERIAL:                   ,Polystyrene                                                 
#REFERENCE:                  ,                                                            
#REFERENCE MASS /mg:         ,0                                                           
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                                           
#SAMPLE CRUCIBLE MASS /mg:   ,0                                                           
#REFERENCE CRUCIBLE MASS /mg:,0                                                           
#DSC RANGE /‘V:              ,5000                                                        
#TG RANGE /mg:               ,35000                                                       
#TAU-R:                      ,---                                                         
#CORR. CODE:                 ,000                                                         
#EXO:                        ,-1                                                          
#RANGE:                      ,20›C....800›C/0.0....20.0K/min                              
#SEGMENT:                    ,S1-4/4                                                      
#SEG. 1:                     ,20›C/5.0(K/min)/100›C                                       
#SEG. 2:                     ,100›C/00:05/100›C                                           
#SEG. 3:                     ,100›C/1.0(K/min)/400›C                                      
#SEG. 4:                     ,400›C/20.0(K/min)/800›C                                     

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 40.57000,  0.00000,      0.62729,    100.00000,50.00000,53.00000,            ,0.92515,1
 41.45800,  0.06667,      0.60264,     99.68613,50.00000,53.00000,6.514588e-09,0.92515,1
 42.23000,  0.13333,      0.57306,     99.36522,50.00000,52.00000,6.515945e-09,0.92525,1
 42.96400,  0.20000,      0.54399,     99.10994,50.00000,52.00000,6.515945e-09,0.92525,1
 43.65000,  0.26667,      0.51272,     98.84990,50.00000,52.00000,6.515945e-09,0.92525,1
 44.29500,  0.33333,      0.48265,     98.65072,50.00000,52.00000,6.527345e-09,0.92533,1
 44.89300,  0.40000,      0.45224,     98.42588,50.00000,51.00000,6.527345e-09,0.92533,1
 45.46900,  0.46667,      0.42628,     98.24327,50.00000,51.00000,6.527571e-09,0.92541,1
 46.00300,  0.53333,      0.39810,     98.05114,50.00000,51.00000,6.527571e-09,0.92541,1
 46.50600,  0.60000,      0.37164,     97.88489,50.00000,51.00000,6.527571e-09,0.92541,1
 46.99900,  0.66667,      0.34859,     97.73954,50.00000,50.00000,6.544538e-09,0.92547,1
 47.44000,  0.73333,      0.32554,     97.61325,50.00000,50.00000,6.544538e-09,0.92547,1
 47.89300,  0.80000,      0.30352,     97.41180,50.00000,50.00000,6.530195e-09,0.92554,1
 48.31900,  0.86667,      0.28577,     97.31097,50.00000,50.00000,6.530195e-09,0.92554,1
 48.68400,  0.93333,      0.26597,     97.17288,50.00000,50.00000,6.530195e-09,0.92554,1
 49.07900,  1.00000,      0.24942,     97.05797,50.00000,49.00000,6.527852e-09,0.92559,1
 49.41900,  1.06667,      0.23474,     96.96439,50.00000,49.00000,6.527852e-09,0.92559,1
 49.76300,  1.13333,      0.21904,     96.85197,50.00000,49.00000,6.536545e-09,0.92564,1
 50.08600,  1.20000,      0.20641,     96.73954,50.00000,49.00000,6.536545e-09,0.92564,1
 50.39500,  1.26667,      0.19361,     96.66915,50.00000,48.00000,6.536545e-09,0.92564,1
 50.69900,  1.33333,      0.18065,     96.55445,50.00000,48.00000,6.551702e-09,0.92568,1
 50.96400,  1.40000,      0.16973,     96.48882,50.00000,48.00000,6.551702e-09,0.92568,1
 51.23500,  1.46667,      0.16068,     96.38344,50.00000,48.00000,6.549300e-09,0.92572,1
 51.49200,  1.53333,      0.14891,     96.32733,50.00000,48.00000,6.549300e-09,0.92572,1
 51.72000,  1.60000,      0.14209,     96.17971,50.00000,47.00000,6.549300e-09,0.92572,1
 51.97100,  1.66667,      0.13202,     89.67743,50.00000,47.00000,6.551174e-09,0.92576,1
 52.17800,  1.73333,      0.12520,     87.76605,50.00000,47.00000,6.551174e-09,0.92576,1
 52.38200,  1.80000,      0.11667,     86.85487,50.00000,48.00000,6.542745e-09,0.92579,1
 52.57700,  1.86667,      0.10916,     86.39586,50.00000,48.00000,6.542745e-09,0.92579,1
 52.76000,  1.93333,      0.10234,     86.11470,50.00000,48.00000,6.542745e-09,0.92579,1
 52.94100,  2.00000, 9.722168e-02,     86.02567,50.00000,48.00000,6.557578e-09,0.92583,1
 53.11500,  2.06667, 9.073962e-02,     86.02567,50.00000,48.00000,6.557578e-09,0.92583,1
 53.25900,  2.13333, 8.340494e-02,     86.02567,50.00000,48.00000,6.544048e-09,0.92585,1
 53.40700,  2.20000, 7.896989e-02,     86.05383,50.00000,48.00000,6.544048e-09,0.92585,1
 53.55200,  2.26667, 7.334098e-02,     86.11698,50.00000,48.00000,6.544048e-09,0.92585,1
 53.67500,  2.33333, 6.685939e-02,     86.18261,50.00000,48.00000,6.560271e-09,0.92588,1
