#EXPORTTYPE:                 ,DATA ALL                              
#FILE:                       ,2025_02_20_PS-A1000-dynamic-1K.ngb-ss5
#FORMAT:                     ,NETZSCH5                              
#FTYPE:                      ,ASCII                                 
#IDENTITY:                   ,PS-A1000                              
#DECIMAL:                    ,POINT                                 
#SEPARATOR:                  ,COMMA                                 
#MTYPE:                      ,DSC                                   
#INSTRUMENT:                 ,NETZSCH STA 449F5                     
#PROJECT:                    ,PS                                    
#DATE/TIME:                  ,2/19/2025 6:36:45 PM (UTC-5)          
#CORR. FILE:                 ,                                      
#TEMPCAL:                    ,13-11-2024 10:37                      
#SENSITIVITY:                ,28-06-2023 13:53                      
#LABORATORY:                 ,Tran/Aspuru                           
#OPERATOR:                   ,Stanley                               
#REMARK:                     ,                                      
#SAMPLE:                     ,PS                                    
#SAMPLE MASS /mg:            ,5.12                                  
#MATERIAL:                   ,                                      
#REFERENCE:                  ,                                      
#REFERENCE MASS /mg:         ,0                                     
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                     
#SAMPLE CRUCIBLE MASS /mg:   ,0                                     
#REFERENCE CRUCIBLE MASS /mg:,0                                     
#DSC RANGE /‘V:              ,5000                                  
#TG RANGE /mg:               ,35000                                 
#TAU-R:                      ,---                                   
#CORR. CODE:                 ,000                                   
#EXO:                        ,-1                                    
#RANGE:                      ,20›C....800›C/0.0....20.0K/min        
#SEGMENT:                    ,S1-4/4                                
#SEG. 1:                     ,20›C/5.0(K/min)/100›C                 
#SEG. 2:                     ,100›C/00:05/100›C                     
#SEG. 3:                     ,100›C/1.0(K/min)/400›C                
#SEG. 4:                     ,400›C/20.0(K/min)/800›C               

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 28.55100,  0.00000,      0.52389,    100.00000,50.00000,34.00000,            ,0.92328,1
 28.62400,  0.06667,      0.47772,     99.94922,50.00000,34.00000,1.776046e-10,0.92328,1
 28.72500,  0.13333,      0.43591,     99.88965,50.00000,34.00000,1.773204e-10,0.92329,1
 28.79300,  0.20000,      0.39588,     99.86309,50.00000,34.00000,1.773204e-10,0.92329,1
 28.85800,  0.26667,      0.36247,     99.86309,50.00000,34.00000,1.778430e-10,0.92331,1
 28.96200,  0.33333,      0.33373,     99.82109,50.00000,34.00000,1.778430e-10,0.92331,1
 29.03100,  0.40000,      0.30646,     99.80781,50.00000,34.00000,1.778430e-10,0.92331,1
 29.09900,  0.46667,      0.28402,     99.78125,50.00000,34.00000,1.778430e-10,0.92331,1
 29.18900,  0.53333,      0.26223,     99.76133,50.00000,34.00000,1.783257e-10,0.92333,1
 29.27200,  0.60000,      0.24480,     99.75469,50.00000,34.00000,1.783257e-10,0.92333,1
 29.35100,  0.66667,      0.23092,     99.75469,50.00000,34.00000,1.783257e-10,0.92333,1
 29.43600,  0.73333,      0.21687,     99.75469,50.00000,33.00000,1.783257e-10,0.92333,1
 29.50800,  0.80000,      0.20767,     99.74160,50.00000,33.00000,1.774807e-10,0.92334,1
 29.58000,  0.86667,      0.19541,     99.74160,50.00000,33.00000,1.774807e-10,0.92334,1
 29.67100,  0.93333,      0.18846,     99.74160,50.00000,33.00000,1.775380e-10,0.92336,1
 29.76100,  1.00000,      0.18120,     99.76797,50.00000,33.00000,1.775380e-10,0.92336,1
 29.85000,  1.06667,      0.17539,     99.76797,50.00000,33.00000,1.775380e-10,0.92336,1
 29.92600,  1.13333,      0.16893,     99.76797,50.00000,33.00000,1.774330e-10,0.92337,1
 30.02000,  1.20000,      0.16457,     99.74160,50.00000,33.00000,1.774330e-10,0.92337,1
 30.08000,  1.26667,      0.15957,     99.74160,50.00000,33.00000,1.777687e-10,0.92338,1
 30.21900,  1.33333,      0.15472,     99.74160,50.00000,33.00000,1.777687e-10,0.92338,1
 30.25200,  1.40000,      0.15053,     99.74160,50.00000,33.00000,1.777687e-10,0.92338,1
 30.32600,  1.46667,      0.14746,     99.74160,50.00000,33.00000,1.784286e-10,0.92340,1
 30.41900,  1.53333,      0.14472,     99.71504,50.00000,33.00000,1.784286e-10,0.92340,1
 30.49200,  1.60000,      0.14133,     72.43477,50.00000,33.00000,1.775074e-10,0.92342,1
 30.55200,  1.66667,      0.13713,     83.57578,50.00000,33.00000,1.775074e-10,0.92342,1
 30.62600,  1.73333,      0.13422,     88.79941,50.00000,33.00000,1.784249e-10,0.92343,1
 30.69800,  1.80000,      0.13099,     90.50078,50.00000,33.00000,1.784249e-10,0.92343,1
 30.74500,  1.86667,      0.12938,     91.65430,50.00000,33.00000,1.784249e-10,0.92343,1
 30.81600,  1.93333,      0.12647,     92.48281,50.00000,33.00000,1.780186e-10,0.92345,1
 30.90100,  2.00000,      0.12438,     93.01094,50.00000,33.00000,1.780186e-10,0.92345,1
 30.96400,  2.06667,      0.12195,     93.33789,50.00000,33.00000,1.781693e-10,0.92346,1
 31.04700,  2.13333,      0.11953,     93.55449,50.00000,33.00000,1.781693e-10,0.92346,1
 31.10700,  2.20000,      0.11840,     93.63184,50.00000,33.00000,1.781693e-10,0.92346,1
 31.16800,  2.26667,      0.11711,     93.63184,50.00000,33.00000,1.782150e-10,0.92348,1
 31.25300,  2.33333,      0.11646,     93.65840,50.00000,33.00000,1.782150e-10,0.92348,1
 31.33500,  2.40000,      0.11582,     93.68496,50.00000,33.00000,1.775722e-10,0.92349,1
 31.40000,  2.46667,      0.11678,     93.68496,50.00000,33.00000,1.775722e-10,0.92349,1
 31.47500,  2.53333,      0.11678,     93.68496,50.00000,33.00000,1.775722e-10,0.92349,1
 31.53300,  2.60000,      0.11855,     93.68496,50.00000,33.00000,1.778831e-10,0.92351,1
 31.60900,  2.66667,      0.12033,     93.68496,50.00000,33.00000,1.778831e-10,0.92351,1
 31.71800,  2.73333,      0.12258,     93.65840,50.00000,33.00000,1.776314e-10,0.92353,1
 31.77900,  2.80000,      0.12468,     93.65840,50.00000,33.00000,1.776314e-10,0.92353,1
 31.86000,  2.86667,      0.12742,     93.65840,50.00000,33.00000,1.776314e-10,0.92353,1
 31.93500,  2.93333,      0.13161,     93.63184,50.00000,33.00000,1.778125e-10,0.92354,1
 32.05700,  3.00000,      0.13644,     93.60527,50.00000,33.00000,1.778125e-10,0.92354,1
 32.13700,  3.06667,      0.14128,     93.57871,50.00000,33.00000,1.777954e-10,0.92356,1
 32.23400,  3.13333,      0.14579,     93.57871,50.00000,33.00000,1.777954e-10,0.92356,1
 32.33800,  3.20000,      0.15224,     93.55234,50.00000,33.00000,1.777954e-10,0.92356,1
 32.42600,  3.26667,      0.15901,     93.55234,50.00000,33.00000,1.778946e-10,0.92357,1
 32.54000,  3.33333,      0.16627,     93.52578,50.00000,33.00000,1.778946e-10,0.92357,1
 32.66200,  3.40000,      0.17352,     93.52578,50.00000,33.00000,1.779804e-10,0.92359,1
 32.75600,  3.46667,      0.17997,     93.52578,50.00000,33.00000,1.779804e-10,0.92359,1
 32.88900,  3.53333,      0.18915,     93.52578,50.00000,33.00000,1.778431e-10,0.92360,1
 33.00100,  3.60000,      0.19818,     93.55234,50.00000,33.00000,1.778431e-10,0.92360,1
 33.11800,  3.66667,      0.20576,     93.55234,50.00000,33.00000,1.778431e-10,0.92360,1
 33.23700,  3.73333,      0.21559,     93.57871,50.00000,33.00000,1.777706e-10,0.92361,1
 33.39700,  3.80000,      0.22703,     93.57871,50.00000,33.00000,1.777706e-10,0.92361,1
 33.53300,  3.86667,      0.23799,     93.57871,50.00000,33.00000,1.781025e-10,0.92363,1
 33.66300,  3.93333,      0.24814,     93.57871,50.00000,33.00000,1.781025e-10,0.92363,1
 33.81300,  4.00000,      0.25910,     93.60527,50.00000,33.00000,1.781025e-10,0.92363,1
 33.97000,  4.06667,      0.27005,     93.60527,50.00000,33.00000,1.783905e-10,0.92364,1
