#EXPORTTYPE:                 ,DATA ALL                                    
#FILE:                       ,2025_11_11_SL_PS_Tosoh_A1000_15K_min.ngb-ss5
#FORMAT:                     ,NETZSCH5                                    
#FTYPE:                      ,ASCII                                       
#IDENTITY:                   ,PS_A1000_15K_min                            
#DECIMAL:                    ,POINT                                       
#SEPARATOR:                  ,COMMA                                       
#MTYPE:                      ,TIC                                         
#INSTRUMENT:                 ,NETZSCH STA 449F5                           
#PROJECT:                    ,PS                                          
#DATE/TIME:                  ,11/12/2025 2:00:09 PM (UTC-5)               
#CORR. FILE:                 ,                                            
#TEMPCAL:                    ,05-05-2025 14:38                            
#SENSITIVITY:                ,28-06-2023 13:53                            
#LABORATORY:                 ,Tran/AAG                                    
#OPERATOR:                   ,Stan                                        
#REMARK:                     ,                                            
#SAMPLE:                     ,PS_A1000_15K_min                            
#SAMPLE MASS /mg:            ,4.55                                        
#MATERIAL:                   ,                                            
#REFERENCE:                  ,                                            
#REFERENCE MASS /mg:         ,0                                           
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                           
#SAMPLE CRUCIBLE MASS /mg:   ,0                                           
#REFERENCE CRUCIBLE MASS /mg:,0                                           
#DSC RANGE /‘V:              ,5000                                        
#TG RANGE /mg:               ,35000                                       
                             ,                                            

##Temp./›C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 24.53800, 0.01350,6.546503e-11,8.635481e-10,3.504091e-11,1.207172e-10,5.599022e-12,9.825706e-12,5.263328e-12,5.700111e-12,6.110191e-12,6.472587e-12,7.540702e-12,1.017857e-11,3.040791e-11,7.840688e-10,2.865314e-11,3.615671e-11,6.282335e-11,1.414585e-09,7.742882e-12,7.132530e-12,2.251625e-12,2.316475e-12,2.253532e-12,2.619743e-12,3.916740e-12,5.312258e-11,2.255440e-12,4.120827e-12,2.078056e-12,1.296902e-11,1.976967e-12,1.885414e-12,1.812935e-12,1.997948e-12,1.784325e-12,1.725197e-12,1.723289e-12,1.732826e-12,1.688957e-12,1.740456e-12,1.675606e-12,1.608849e-12,1.627922e-12,1.616478e-12,1.584053e-12,1.671791e-12,1.606941e-12,1.587868e-12,1.601219e-12,1.597404e-12,1.584053e-12,1.555443e-12,1.605034e-12,1.605034e-12,1.511574e-12,1.559257e-12,1.589775e-12,1.561165e-12,1.561165e-12,1.526833e-12,1.532555e-12,1.492500e-12,1.530647e-12,1.507759e-12,1.479149e-12,1.517296e-12,1.458168e-12,1.496315e-12,1.523018e-12,1.545906e-12,1.511574e-12,1.511574e-12,1.456261e-12,1.523018e-12,1.461983e-12,1.444817e-12,1.429558e-12,1.475334e-12,1.490593e-12,1.465797e-12,1.406670e-12,1.410484e-12,1.435280e-12,1.446724e-12,1.463890e-12,1.498222e-12,1.439095e-12,1.446724e-12,1.420021e-12,1.423836e-12,1.391411e-12,1.437187e-12,1.355171e-12,1.402855e-12,1.444817e-12,1.452446e-12,1.454353e-12,1.416206e-12,1.379967e-12,1.372337e-12,1.376152e-12,1.368523e-12,1.341820e-12,1.389503e-12,1.418114e-12,1.349449e-12,1.397133e-12,1.341820e-12,1.330376e-12,1.395226e-12,1.326561e-12,1.362801e-12,1.399040e-12,1.328468e-12,1.296043e-12,1.338005e-12,1.318932e-12,1.370430e-12,1.326561e-12,1.324654e-12,1.282692e-12,1.322746e-12,1.315117e-12,1.294136e-12,1.330376e-12,1.294136e-12,1.290321e-12,1.284599e-12,1.267433e-12,1.309395e-12,1.303673e-12,1.255989e-12,1.259804e-12,1.338005e-12,1.334190e-12,1.292229e-12
 26.32000, 0.34585,6.586749e-11,8.692377e-10,3.529650e-11,1.214057e-10,5.684852e-12,9.890556e-12,5.202293e-12,5.606651e-12,6.052971e-12,6.398201e-12,7.548332e-12,1.032162e-11,3.072643e-11,7.901190e-10,2.895641e-11,3.628451e-11,6.292063e-11,1.420498e-09,7.634162e-12,7.115364e-12,2.243996e-12,2.371788e-12,2.274513e-12,2.612114e-12,3.958702e-12,5.316073e-11,2.213478e-12,4.218102e-12,2.005577e-12,1.289654e-11,1.982689e-12,1.889229e-12,1.797676e-12,2.076149e-12,1.776695e-12,1.759529e-12,1.650810e-12,1.688957e-12,1.730919e-12,1.698494e-12,1.719475e-12,1.664162e-12,1.666069e-12,1.666069e-12,1.673698e-12,1.606941e-12,1.622200e-12,1.585960e-12,1.597404e-12,1.591682e-12,1.534462e-12,1.572609e-12,1.526833e-12,1.549721e-12,1.555443e-12,1.530647e-12,1.523018e-12,1.578331e-12,1.549721e-12,1.545906e-12,1.500130e-12,1.574516e-12,1.507759e-12,1.538277e-12,1.530647e-12,1.521110e-12,1.467705e-12,1.461983e-12,1.500130e-12,1.549721e-12,1.540184e-12,1.500130e-12,1.484871e-12,1.450539e-12,1.511574e-12,1.513481e-12,1.494408e-12,1.538277e-12,1.481056e-12,1.467705e-12,1.452446e-12,1.439095e-12,1.465797e-12,1.461983e-12,1.442909e-12,1.427650e-12,1.397133e-12,1.410484e-12,1.408577e-12,1.418114e-12,1.515388e-12,1.420021e-12,1.395226e-12,1.454353e-12,1.404762e-12,1.391411e-12,1.387596e-12,1.378059e-12,1.421928e-12,1.366615e-12,1.408577e-12,1.395226e-12,1.397133e-12,1.360893e-12,1.372337e-12,1.355171e-12,1.379967e-12,1.376152e-12,1.341820e-12,1.366615e-12,1.322746e-12,1.364708e-12,1.355171e-12,1.326561e-12,1.353264e-12,1.370430e-12,1.336098e-12,1.296043e-12,1.383781e-12,1.322746e-12,1.307487e-12,1.311302e-12,1.305580e-12,1.366615e-12,1.294136e-12,1.307487e-12,1.275063e-12,1.309395e-12,1.317024e-12,1.320839e-12,1.278877e-12,1.286507e-12,1.271248e-12,1.294136e-12,1.288414e-12,1.307487e-12
 27.17000, 0.50884,6.665522e-11,8.692397e-10,3.515345e-11,1.214324e-10,5.648613e-12,9.926795e-12,5.225181e-12,5.690574e-12,6.155968e-12,6.491661e-12,7.580757e-12,1.025677e-11,3.056812e-11,7.888868e-10,2.867603e-11,3.634935e-11,6.234652e-11,1.422405e-09,7.678032e-12,7.004738e-12,2.251625e-12,2.350807e-12,2.303123e-12,2.663612e-12,3.952980e-12,5.306345e-11,2.240181e-12,4.172325e-12,2.097130e-12,1.282597e-11,1.992226e-12,1.820564e-12,1.788139e-12,2.053261e-12,1.717567e-12,1.738548e-12,1.671791e-12,1.704216e-12,1.675606e-12,1.671791e-12,1.683235e-12,1.666069e-12,1.605034e-12,1.624107e-12,1.650810e-12,1.675606e-12,1.639366e-12,1.610756e-12,1.589775e-12,1.563072e-12,1.551628e-12,1.557350e-12,1.582146e-12,1.608849e-12,1.559257e-12,1.566887e-12,1.563072e-12,1.549721e-12,1.532555e-12,1.561165e-12,1.494408e-12,1.543999e-12,1.524925e-12,1.578331e-12,1.507759e-12,1.503944e-12,1.500130e-12,1.545906e-12,1.463890e-12,1.542091e-12,1.507759e-12,1.505852e-12,1.505852e-12,1.492500e-12,1.425743e-12,1.441002e-12,1.477242e-12,1.442909e-12,1.461983e-12,1.473427e-12,1.477242e-12,1.416206e-12,1.450539e-12,1.479149e-12,1.481056e-12,1.439095e-12,1.437187e-12,1.435280e-12,1.423836e-12,1.421928e-12,1.399040e-12,1.442909e-12,1.395226e-12,1.387596e-12,1.381874e-12,1.452446e-12,1.364708e-12,1.395226e-12,1.393318e-12,1.410484e-12,1.391411e-12,1.378059e-12,1.423836e-12,1.368523e-12,1.366615e-12,1.360893e-12,1.368523e-12,1.376152e-12,1.381874e-12,1.410484e-12,1.368523e-12,1.343727e-12,1.322746e-12,1.353264e-12,1.374245e-12,1.347542e-12,1.347542e-12,1.332283e-12,1.282692e-12,1.324654e-12,1.362801e-12,1.317024e-12,1.305580e-12,1.297951e-12,1.244545e-12,1.318932e-12,1.345634e-12,1.336098e-12,1.288414e-12,1.242638e-12,1.326561e-12,1.296043e-12,1.307487e-12,1.292229e-12,1.276970e-12,1.278877e-12
 27.68600, 0.67110,6.580644e-11,8.692931e-10,3.530794e-11,1.216956e-10,5.583763e-12,9.909630e-12,5.276680e-12,5.658150e-12,6.150246e-12,6.529808e-12,7.582665e-12,1.028156e-11,3.073597e-11,7.873914e-10,2.880764e-11,3.625399e-11,6.176096e-11,1.418972e-09,7.651329e-12,7.073402e-12,2.245903e-12,2.326012e-12,2.242088e-12,2.594948e-12,3.996849e-12,5.325991e-11,2.253532e-12,4.193306e-12,2.085686e-12,1.263905e-11,1.967430e-12,1.845360e-12,1.774788e-12,2.032280e-12,1.763344e-12,1.688957e-12,1.753807e-12,1.698494e-12,1.673698e-12,1.702309e-12,1.700401e-12,1.700401e-12,1.643181e-12,1.648903e-12,1.648903e-12,1.614571e-12,1.616478e-12,1.606941e-12,1.601219e-12,1.603126e-12,1.589775e-12,1.587868e-12,1.584053e-12,1.542091e-12,1.572609e-12,1.543999e-12,1.534462e-12,1.595497e-12,1.530647e-12,1.528740e-12,1.528740e-12,1.532555e-12,1.519203e-12,1.568794e-12,1.473427e-12,1.479149e-12,1.532555e-12,1.509666e-12,1.490593e-12,1.523018e-12,1.456261e-12,1.488686e-12,1.496315e-12,1.484871e-12,1.479149e-12,1.507759e-12,1.441002e-12,1.492500e-12,1.404762e-12,1.460075e-12,1.450539e-12,1.486778e-12,1.441002e-12,1.446724e-12,1.452446e-12,1.450539e-12,1.420021e-12,1.435280e-12,1.406670e-12,1.420021e-12,1.458168e-12,1.448631e-12,1.441002e-12,1.404762e-12,1.421928e-12,1.397133e-12,1.395226e-12,1.385689e-12,1.389503e-12,1.395226e-12,1.404762e-12,1.406670e-12,1.372337e-12,1.339912e-12,1.351356e-12,1.385689e-12,1.351356e-12,1.317024e-12,1.349449e-12,1.368523e-12,1.341820e-12,1.357079e-12,1.368523e-12,1.311302e-12,1.351356e-12,1.357079e-12,1.370430e-12,1.349449e-12,1.328468e-12,1.311302e-12,1.284599e-12,1.326561e-12,1.322746e-12,1.292229e-12,1.324654e-12,1.322746e-12,1.273155e-12,1.307487e-12,1.290321e-12,1.290321e-12,1.299858e-12,1.318932e-12,1.280785e-12,1.255989e-12,1.284599e-12,1.326561e-12
 28.32900, 0.83384,6.562525e-11,8.705882e-10,3.503519e-11,1.210414e-10,5.637169e-12,9.947776e-12,5.162239e-12,5.732536e-12,6.157875e-12,6.485939e-12,7.668495e-12,1.031399e-11,3.069210e-11,7.898653e-10,2.884197e-11,3.634935e-11,6.242472e-11,1.420498e-09,7.626533e-12,7.035255e-12,2.287865e-12,2.358437e-12,2.263069e-12,2.640724e-12,3.952980e-12,5.349833e-11,2.215385e-12,4.204750e-12,2.070427e-12,1.270390e-11,1.954079e-12,1.839638e-12,1.774788e-12,2.068520e-12,1.715660e-12,1.696587e-12,1.729011e-12,1.694679e-12,1.692772e-12,1.671791e-12,1.654625e-12,1.746178e-12,1.643181e-12,1.654625e-12,1.660347e-12,1.637459e-12,1.603126e-12,1.606941e-12,1.614571e-12,1.564979e-12,1.610756e-12,1.576424e-12,1.595497e-12,1.559257e-12,1.578331e-12,1.528740e-12,1.555443e-12,1.574516e-12,1.568794e-12,1.559257e-12,1.564979e-12,1.515388e-12,1.570702e-12,1.521110e-12,1.523018e-12,1.519203e-12,1.481056e-12,1.528740e-12,1.509666e-12,1.463890e-12,1.458168e-12,1.523018e-12,1.481056e-12,1.475334e-12,1.511574e-12,1.463890e-12,1.488686e-12,1.482963e-12,1.454353e-12,1.481056e-12,1.425743e-12,1.399040e-12,1.397133e-12,1.507759e-12,1.463890e-12,1.454353e-12,1.410484e-12,1.450539e-12,1.383781e-12,1.393318e-12,1.475334e-12,1.402855e-12,1.408577e-12,1.421928e-12,1.408577e-12,1.376152e-12,1.378059e-12,1.410484e-12,1.427650e-12,1.368523e-12,1.425743e-12,1.406670e-12,1.378059e-12,1.385689e-12,1.397133e-12,1.368523e-12,1.393318e-12,1.364708e-12,1.355171e-12,1.412392e-12,1.381874e-12,1.332283e-12,1.324654e-12,1.309395e-12,1.364708e-12,1.339912e-12,1.351356e-12,1.336098e-12,1.362801e-12,1.334190e-12,1.311302e-12,1.326561e-12,1.349449e-12,1.322746e-12,1.349449e-12,1.296043e-12,1.320839e-12,1.294136e-12,1.328468e-12,1.286507e-12,1.313210e-12,1.276970e-12,1.257896e-12,1.238823e-12,1.282692e-12,1.240730e-12
 28.74000, 1.00432,6.558138e-11,8.688887e-10,3.523546e-11,1.215507e-10,5.560875e-12,1.002026e-11,5.320549e-12,5.629539e-12,6.104469e-12,6.457329e-12,7.506371e-12,1.029873e-11,3.091526e-11,7.870252e-10,2.869511e-11,3.645235e-11,6.341273e-11,1.419544e-09,7.555961e-12,7.067680e-12,2.242088e-12,2.362251e-12,2.263069e-12,2.627373e-12,3.954887e-12,5.356508e-11,2.240181e-12,4.202843e-12,2.118111e-12,1.267910e-11,1.980781e-12,1.858711e-12,1.767158e-12,2.091408e-12,1.763344e-12,1.702309e-12,1.730919e-12,1.666069e-12,1.643181e-12,1.713753e-12,1.667976e-12,1.692772e-12,1.656532e-12,1.635551e-12,1.589775e-12,1.603126e-12,1.616478e-12,1.612663e-12,1.605034e-12,1.599312e-12,1.566887e-12,1.618385e-12,1.566887e-12,1.517296e-12,1.545906e-12,1.570702e-12,1.561165e-12,1.568794e-12,1.530647e-12,1.564979e-12,1.503944e-12,1.591682e-12,1.509666e-12,1.540184e-12,1.513481e-12,1.528740e-12,1.511574e-12,1.503944e-12,1.461983e-12,1.484871e-12,1.481056e-12,1.477242e-12,1.486778e-12,1.461983e-12,1.475334e-12,1.490593e-12,1.486778e-12,1.467705e-12,1.519203e-12,1.473427e-12,1.471519e-12,1.488686e-12,1.437187e-12,1.475334e-12,1.418114e-12,1.461983e-12,1.460075e-12,1.479149e-12,1.427650e-12,1.385689e-12,1.429558e-12,1.442909e-12,1.421928e-12,1.412392e-12,1.425743e-12,1.349449e-12,1.370430e-12,1.406670e-12,1.393318e-12,1.399040e-12,1.450539e-12,1.370430e-12,1.418114e-12,1.374245e-12,1.334190e-12,1.397133e-12,1.360893e-12,1.349449e-12,1.362801e-12,1.408577e-12,1.378059e-12,1.338005e-12,1.374245e-12,1.345634e-12,1.330376e-12,1.379967e-12,1.372337e-12,1.383781e-12,1.391411e-12,1.341820e-12,1.313210e-12,1.313210e-12,1.299858e-12,1.334190e-12,1.307487e-12,1.286507e-12,1.273155e-12,1.326561e-12,1.315117e-12,1.309395e-12,1.286507e-12,1.238823e-12,1.288414e-12,1.276970e-12,1.233101e-12,1.309395e-12
 29.30300, 1.17209,6.621843e-11,8.747080e-10,3.518587e-11,1.207591e-10,5.661964e-12,9.844780e-12,5.286217e-12,5.642891e-12,6.140709e-12,6.464958e-12,7.494927e-12,1.035404e-11,3.068447e-11,7.909506e-10,2.882099e-11,3.617769e-11,6.193834e-11,1.416111e-09,7.672310e-12,7.163047e-12,2.270698e-12,2.348900e-12,2.263069e-12,2.566338e-12,3.943443e-12,5.372530e-11,2.305031e-12,4.202843e-12,2.097130e-12,1.256084e-11,1.935005e-12,1.833916e-12,1.759529e-12,2.039909e-12,1.765251e-12,1.708031e-12,1.715660e-12,1.700401e-12,1.708031e-12,1.675606e-12,1.645088e-12,1.633644e-12,1.662254e-12,1.635551e-12,1.652718e-12,1.637459e-12,1.620293e-12,1.585960e-12,1.622200e-12,1.603126e-12,1.646995e-12,1.547813e-12,1.599312e-12,1.641273e-12,1.585960e-12,1.538277e-12,1.585960e-12,1.509666e-12,1.557350e-12,1.542091e-12,1.563072e-12,1.511574e-12,1.538277e-12,1.547813e-12,1.545906e-12,1.496315e-12,1.437187e-12,1.511574e-12,1.481056e-12,1.496315e-12,1.503944e-12,1.452446e-12,1.471519e-12,1.460075e-12,1.479149e-12,1.507759e-12,1.482963e-12,1.473427e-12,1.444817e-12,1.421928e-12,1.437187e-12,1.406670e-12,1.475334e-12,1.450539e-12,1.477242e-12,1.429558e-12,1.421928e-12,1.410484e-12,1.414299e-12,1.410484e-12,1.421928e-12,1.389503e-12,1.418114e-12,1.410484e-12,1.393318e-12,1.425743e-12,1.400948e-12,1.355171e-12,1.414299e-12,1.378059e-12,1.374245e-12,1.349449e-12,1.338005e-12,1.402855e-12,1.357079e-12,1.339912e-12,1.372337e-12,1.351356e-12,1.410484e-12,1.387596e-12,1.296043e-12,1.391411e-12,1.383781e-12,1.341820e-12,1.362801e-12,1.347542e-12,1.366615e-12,1.349449e-12,1.338005e-12,1.343727e-12,1.357079e-12,1.296043e-12,1.322746e-12,1.282692e-12,1.332283e-12,1.292229e-12,1.294136e-12,1.265526e-12,1.284599e-12,1.254082e-12,1.271248e-12,1.284599e-12,1.282692e-12,1.299858e-12,1.269340e-12,1.288414e-12
 29.64000, 1.33877,6.592470e-11,8.708819e-10,3.496843e-11,1.216003e-10,5.614281e-12,9.961128e-12,5.179405e-12,5.623817e-12,6.085396e-12,6.428718e-12,7.569313e-12,1.020718e-11,3.067493e-11,7.873571e-10,2.853298e-11,3.613573e-11,6.170756e-11,1.416302e-09,7.637977e-12,7.132530e-12,2.280235e-12,2.316475e-12,2.243996e-12,2.585411e-12,3.941536e-12,5.319124e-11,2.263069e-12,4.185677e-12,2.114296e-12,1.267910e-11,1.992226e-12,1.864433e-12,1.795769e-12,2.066612e-12,1.765251e-12,1.708031e-12,1.662254e-12,1.721382e-12,1.683235e-12,1.641273e-12,1.664162e-12,1.662254e-12,1.618385e-12,1.648903e-12,1.635551e-12,1.610756e-12,1.620293e-12,1.543999e-12,1.595497e-12,1.635551e-12,1.631737e-12,1.542091e-12,1.589775e-12,1.559257e-12,1.528740e-12,1.561165e-12,1.555443e-12,1.540184e-12,1.503944e-12,1.582146e-12,1.547813e-12,1.524925e-12,1.519203e-12,1.534462e-12,1.521110e-12,1.509666e-12,1.503944e-12,1.467705e-12,1.526833e-12,1.500130e-12,1.486778e-12,1.494408e-12,1.488686e-12,1.492500e-12,1.475334e-12,1.475334e-12,1.446724e-12,1.439095e-12,1.442909e-12,1.471519e-12,1.473427e-12,1.406670e-12,1.442909e-12,1.528740e-12,1.416206e-12,1.479149e-12,1.412392e-12,1.423836e-12,1.441002e-12,1.477242e-12,1.469612e-12,1.429558e-12,1.410484e-12,1.435280e-12,1.412392e-12,1.427650e-12,1.427650e-12,1.418114e-12,1.406670e-12,1.400948e-12,1.408577e-12,1.339912e-12,1.376152e-12,1.357079e-12,1.362801e-12,1.349449e-12,1.303673e-12,1.341820e-12,1.307487e-12,1.364708e-12,1.338005e-12,1.364708e-12,1.328468e-12,1.269340e-12,1.320839e-12,1.326561e-12,1.343727e-12,1.322746e-12,1.309395e-12,1.341820e-12,1.353264e-12,1.282692e-12,1.336098e-12,1.309395e-12,1.364708e-12,1.282692e-12,1.297951e-12,1.273155e-12,1.303673e-12,1.269340e-12,1.280785e-12,1.303673e-12,1.309395e-12,1.294136e-12,1.248360e-12,1.269340e-12
 30.12300, 1.51240,6.543642e-11,8.711528e-10,3.530031e-11,1.211978e-10,5.551338e-12,1.001644e-11,5.209923e-12,5.700111e-12,6.146431e-12,6.464958e-12,7.590294e-12,1.024151e-11,3.075123e-11,7.871282e-10,2.866840e-11,3.614718e-11,6.237894e-11,1.418972e-09,7.571221e-12,7.145882e-12,2.274513e-12,2.320290e-12,2.264976e-12,2.568245e-12,3.909111e-12,5.357080e-11,2.278328e-12,4.176140e-12,2.087593e-12,1.267338e-11,1.906395e-12,1.841545e-12,1.767158e-12,2.049446e-12,1.751900e-12,1.740456e-12,1.709938e-12,1.729011e-12,1.688957e-12,1.706123e-12,1.610756e-12,1.706123e-12,1.635551e-12,1.645088e-12,1.666069e-12,1.627922e-12,1.643181e-12,1.612663e-12,1.599312e-12,1.589775e-12,1.599312e-12,1.576424e-12,1.589775e-12,1.545906e-12,1.595497e-12,1.570702e-12,1.584053e-12,1.576424e-12,1.572609e-12,1.553535e-12,1.536369e-12,1.538277e-12,1.482963e-12,1.509666e-12,1.553535e-12,1.557350e-12,1.530647e-12,1.538277e-12,1.486778e-12,1.494408e-12,1.490593e-12,1.526833e-12,1.465797e-12,1.465797e-12,1.444817e-12,1.441002e-12,1.421928e-12,1.494408e-12,1.452446e-12,1.521110e-12,1.439095e-12,1.481056e-12,1.433372e-12,1.448631e-12,1.408577e-12,1.414299e-12,1.454353e-12,1.479149e-12,1.402855e-12,1.437187e-12,1.439095e-12,1.395226e-12,1.471519e-12,1.397133e-12,1.385689e-12,1.414299e-12,1.378059e-12,1.400948e-12,1.376152e-12,1.399040e-12,1.406670e-12,1.378059e-12,1.378059e-12,1.347542e-12,1.351356e-12,1.357079e-12,1.353264e-12,1.385689e-12,1.351356e-12,1.368523e-12,1.338005e-12,1.360893e-12,1.343727e-12,1.296043e-12,1.301765e-12,1.330376e-12,1.334190e-12,1.334190e-12,1.334190e-12,1.343727e-12,1.290321e-12,1.265526e-12,1.296043e-12,1.313210e-12,1.313210e-12,1.296043e-12,1.307487e-12,1.339912e-12,1.271248e-12,1.282692e-12,1.271248e-12,1.296043e-12,1.296043e-12,1.276970e-12,1.261711e-12,1.280785e-12
 30.41000, 1.68150,6.589037e-11,8.721121e-10,3.538805e-11,1.208087e-10,5.635261e-12,9.928703e-12,5.257606e-12,5.553245e-12,6.134987e-12,6.497383e-12,7.624626e-12,1.026249e-11,3.065777e-11,7.870137e-10,2.872372e-11,3.642374e-11,6.345278e-11,1.416492e-09,7.594109e-12,7.132530e-12,2.247810e-12,2.308845e-12,2.200127e-12,2.560616e-12,3.979683e-12,5.385691e-11,2.240181e-12,4.225731e-12,2.060890e-12,1.260471e-11,1.967430e-12,1.847267e-12,1.725197e-12,2.062797e-12,1.725197e-12,1.692772e-12,1.767158e-12,1.704216e-12,1.666069e-12,1.683235e-12,1.648903e-12,1.627922e-12,1.664162e-12,1.645088e-12,1.608849e-12,1.652718e-12,1.610756e-12,1.606941e-12,1.545906e-12,1.595497e-12,1.570702e-12,1.578331e-12,1.599312e-12,1.601219e-12,1.576424e-12,1.587868e-12,1.563072e-12,1.528740e-12,1.511574e-12,1.542091e-12,1.534462e-12,1.547813e-12,1.521110e-12,1.545906e-12,1.505852e-12,1.494408e-12,1.502037e-12,1.467705e-12,1.521110e-12,1.484871e-12,1.482963e-12,1.477242e-12,1.465797e-12,1.482963e-12,1.444817e-12,1.400948e-12,1.439095e-12,1.444817e-12,1.439095e-12,1.473427e-12,1.437187e-12,1.496315e-12,1.481056e-12,1.492500e-12,1.454353e-12,1.452446e-12,1.429558e-12,1.416206e-12,1.416206e-12,1.408577e-12,1.435280e-12,1.408577e-12,1.412392e-12,1.414299e-12,1.410484e-12,1.429558e-12,1.374245e-12,1.395226e-12,1.385689e-12,1.372337e-12,1.357079e-12,1.431465e-12,1.349449e-12,1.376152e-12,1.357079e-12,1.395226e-12,1.393318e-12,1.343727e-12,1.402855e-12,1.320839e-12,1.318932e-12,1.397133e-12,1.313210e-12,1.358986e-12,1.334190e-12,1.334190e-12,1.322746e-12,1.309395e-12,1.334190e-12,1.294136e-12,1.290321e-12,1.284599e-12,1.315117e-12,1.294136e-12,1.345634e-12,1.334190e-12,1.296043e-12,1.284599e-12,1.311302e-12,1.275063e-12,1.296043e-12,1.303673e-12,1.242638e-12,1.307487e-12,1.301765e-12,1.334190e-12
