#EXPORTTYPE:                 ,DATA ALL                                    
#FILE:                       ,2025_11_11_SL_PS_Tosoh_A1000_15K_min.ngb-ss5
#FORMAT:                     ,NETZSCH5                                    
#FTYPE:                      ,ASCII                                       
#IDENTITY:                   ,PS_A1000_15K_min                            
#DECIMAL:                    ,POINT                                       
#SEPARATOR:                  ,COMMA                                       
#MTYPE:                      ,DSC                                         
#INSTRUMENT:                 ,NETZSCH STA 449F5                           
#PROJECT:                    ,PS                                          
#DATE/TIME:                  ,11/12/2025 2:00:09 PM (UTC-5)               
#CORR. FILE:                 ,                                            
#TEMPCAL:                    ,05-05-2025 14:38                            
#SENSITIVITY:                ,28-06-2023 13:53                            
#LABORATORY:                 ,Tran/AAG                                    
#OPERATOR:                   ,Stan                                        
#REMARK:                     ,                                            
#SAMPLE:                     ,PS_A1000_15K_min                            
#SAMPLE MASS /mg:            ,4.55                                        
#MATERIAL:                   ,                                            
#REFERENCE:                  ,                                            
#REFERENCE MASS /mg:         ,0                                           
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                           
#SAMPLE CRUCIBLE MASS /mg:   ,0                                           
#REFERENCE CRUCIBLE MASS /mg:,0                                           
#DSC RANGE /‘V:              ,5000                                        
#TG RANGE /mg:               ,35000                                       
#TAU-R:                      ,---                                         
#CORR. CODE:                 ,000                                         
#EXO:                        ,-1                                          
#RANGE:                      ,20›C....800›C/0.0....20.0K/min              
#SEGMENT:                    ,S1-4/4                                      
#SEG. 1:                     ,20›C/5.0(K/min)/100›C                       
#SEG. 2:                     ,100›C/00:05/100›C                           
#SEG. 3:                     ,100›C/15.0(K/min)/600›C                     
#SEG. 4:                     ,600›C/20.0(K/min)/800›C                     

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 23.61300, 0.00000,      0.79927,    100.00000,50.00000,54.00000,            ,0.92224,1
 24.07500, 0.06667,      0.90481,     99.92549,50.00000,53.00000,3.757066e-09,0.92224,1
 24.53800, 0.13333,      0.98323,     99.57978,50.00000,53.00000,3.757066e-09,0.92224,1
 24.95000, 0.20000,      1.03385,     99.36352,50.00000,53.00000,3.777254e-09,0.92234,1
 25.34100, 0.26667,      1.06574,     99.12242,50.00000,53.00000,3.777254e-09,0.92234,1
 25.68300, 0.33333,      1.08183,     98.90110,50.00000,53.00000,3.777254e-09,0.92234,1
 26.00600, 0.40000,      1.08611,     98.73934,50.00000,52.00000,3.777254e-09,0.92234,1
 26.32000, 0.46667,      1.07949,     98.55780,50.00000,52.00000,3.777552e-09,0.92244,1
 26.62500, 0.53333,      1.06760,     98.41868,50.00000,52.00000,3.777552e-09,0.92244,1
 26.89900, 0.60000,      1.04828,     98.30681,50.00000,52.00000,3.771767e-09,0.92253,1
 27.17000, 0.66667,      1.02714,     98.17758,50.00000,52.00000,3.771767e-09,0.92253,1
 27.41300, 0.73333,      1.00257,     98.06813,50.00000,51.00000,3.771767e-09,0.92253,1
 27.68600, 0.80000,      0.97508,     97.97604,50.00000,51.00000,3.777359e-09,0.92262,1
 27.90000, 0.86667,      0.94724,     97.88418,50.00000,51.00000,3.777359e-09,0.92262,1
 28.12200, 0.93333,      0.91832,     97.79209,50.00000,51.00000,3.773587e-09,0.92269,1
 28.32900, 1.00000,      0.88976,     97.72989,50.00000,51.00000,3.773587e-09,0.92269,1
 28.53500, 1.06667,      0.86266,     97.65780,50.00000,50.00000,3.773587e-09,0.92269,1
 28.74000, 1.13333,      0.83284,     97.58813,50.00000,50.00000,3.777510e-09,0.92276,1
 28.93100, 1.20000,      0.80521,     97.52352,50.00000,50.00000,3.777510e-09,0.92276,1
 29.11500, 1.26667,      0.77757,     97.49363,50.00000,50.00000,3.769220e-09,0.92283,1
 29.30300, 1.33333,      0.75158,     97.45385,50.00000,50.00000,3.769220e-09,0.92283,1
 29.46300, 1.40000,      0.72468,     97.37429,50.00000,49.00000,3.769220e-09,0.92283,1
 29.64000, 1.46667,      0.70232,     97.32967,50.00000,49.00000,3.772947e-09,0.92289,1
 29.82100, 1.53333,      0.67415,     97.29736,50.00000,49.00000,3.772947e-09,0.92289,1
 29.96500, 1.60000,      0.65253,     97.23758,50.00000,49.00000,3.772637e-09,0.92295,1
 30.12300, 1.66667,      0.62908,     97.20769,50.00000,49.00000,3.772637e-09,0.92295,1
 30.26200, 1.73333,      0.60746,     97.14549,50.00000,48.00000,3.772637e-09,0.92295,1
 30.41000, 1.80000,      0.58711,     97.11582,50.00000,48.00000,3.782028e-09,0.92300,1
 30.55000, 1.86667,      0.56658,     97.08593,50.00000,48.00000,3.782028e-09,0.92300,1
 30.67600, 1.93333,      0.54660,     97.03626,50.00000,48.00000,3.778219e-09,0.92305,1
 30.81300, 2.00000,      0.52879,     94.81341,50.00000,48.00000,3.778219e-09,0.92305,1
 30.93400, 2.06667,      0.51099,     89.23626,50.00000,48.00000,3.778219e-09,0.92305,1
 31.06000, 2.13333,      0.49483,     88.36352,50.00000,48.00000,3.781840e-09,0.92311,1
 31.17400, 2.20000,      0.47793,     88.03780,50.00000,48.00000,3.781840e-09,0.92311,1
 31.30500, 2.26667,      0.46013,     87.81648,50.00000,48.00000,3.779862e-09,0.92315,1
 31.39700, 2.33333,      0.44687,     87.69451,50.00000,48.00000,3.779862e-09,0.92315,1
 31.51900, 2.40000,      0.43107,     87.62505,50.00000,48.00000,3.779862e-09,0.92315,1
 31.61900, 2.46667,      0.41709,     87.61758,50.00000,48.00000,3.785296e-09,0.92319,1
 31.70300, 2.53333,      0.40311,     87.56022,50.00000,48.00000,3.785296e-09,0.92319,1
 31.81200, 2.60000,      0.39185,     87.53055,50.00000,48.00000,3.790148e-09,0.92323,1
 31.91000, 2.66667,      0.38149,     87.53055,50.00000,48.00000,3.790148e-09,0.92323,1
 32.01000, 2.73333,      0.37005,     87.53055,50.00000,48.00000,3.790148e-09,0.92323,1
 32.08800, 2.80000,      0.36025,     87.53055,50.00000,48.00000,3.784057e-09,0.92328,1
 32.19800, 2.86667,      0.35099,     87.53055,50.00000,48.00000,3.784057e-09,0.92328,1
 32.27900, 2.93333,      0.34300,     87.50066,50.00000,48.00000,3.778794e-09,0.92332,1
 32.37600, 3.00000,      0.33736,     87.53055,50.00000,48.00000,3.778794e-09,0.92332,1
 32.47700, 3.06667,      0.33101,     87.53055,50.00000,48.00000,3.778794e-09,0.92332,1
 32.57100, 3.13333,      0.32628,     87.60264,50.00000,48.00000,3.792506e-09,0.92335,1
 32.67300, 3.20000,      0.32228,     87.63231,50.00000,48.00000,3.792506e-09,0.92335,1
 32.76700, 3.26667,      0.32064,     87.74681,50.00000,48.00000,3.792726e-09,0.92339,1
 32.87300, 3.33333,      0.31919,     87.81385,50.00000,48.00000,3.792726e-09,0.92339,1
 32.97800, 3.40000,      0.31755,     87.78418,50.00000,48.00000,3.792726e-09,0.92339,1
 33.06800, 3.46667,      0.31754,     87.78418,50.00000,48.00000,3.797584e-09,0.92342,1
 33.18900, 3.53333,      0.31899,     87.81385,50.00000,48.00000,3.797584e-09,0.92342,1
 33.27400, 3.60000,      0.32043,     87.81385,50.00000,48.00000,3.805806e-09,0.92345,1
 33.41300, 3.66667,      0.32496,     87.81385,50.00000,48.00000,3.805806e-09,0.92345,1
 33.53100, 3.73333,      0.32858,     87.81385,50.00000,48.00000,3.805806e-09,0.92345,1
 33.63400, 3.80000,      0.33330,     87.84615,50.00000,48.00000,3.794118e-09,0.92349,1
 33.74200, 3.86667,      0.33964,     87.87604,50.00000,48.00000,3.794118e-09,0.92349,1
 33.86600, 3.93333,      0.34562,     87.84615,50.00000,48.00000,3.795387e-09,0.92352,1
 33.98600, 4.00000,      0.35359,     87.84615,50.00000,48.00000,3.795387e-09,0.92352,1
 34.13900, 4.06667,      0.36229,     87.84615,50.00000,48.00000,3.795387e-09,0.92352,1
 34.27500, 4.13333,      0.36900,     87.87846,50.00000,48.00000,3.794058e-09,0.92355,1
 34.40600, 4.20000,      0.37969,     87.90835,50.00000,48.00000,3.794058e-09,0.92355,1
 34.54800, 4.26667,      0.39039,     87.90835,50.00000,48.00000,3.797914e-09,0.92358,1
 34.68900, 4.33333,      0.39927,     87.93824,50.00000,48.00000,3.797914e-09,0.92358,1
 34.83500, 4.40000,      0.41123,     87.93824,50.00000,48.00000,3.797914e-09,0.92358,1
 34.98400, 4.46667,      0.42138,     88.00286,50.00000,48.00000,3.808623e-09,0.92360,1
 35.13900, 4.53333,      0.43370,     88.00286,50.00000,48.00000,3.808623e-09,0.92360,1
 35.29100, 4.60000,      0.44548,     88.03275,50.00000,48.00000,3.804317e-09,0.92363,1
 35.45500, 4.66667,      0.45798,     88.03275,50.00000,48.00000,3.804317e-09,0.92363,1
 35.62900, 4.73333,      0.46813,     88.03275,50.00000,48.00000,3.804317e-09,0.92363,1
 35.80200, 4.80000,      0.48371,     88.06264,50.00000,48.00000,3.802660e-09,0.92365,1
 35.97000, 4.86667,      0.49531,     88.09231,50.00000,48.00000,3.802660e-09,0.92365,1
 36.14500, 4.93333,      0.51053,     88.09231,50.00000,48.00000,3.806797e-09,0.92368,1
 36.33500, 5.00000,      0.52375,     88.12220,50.00000,48.00000,3.806797e-09,0.92368,1
 36.51900, 5.06667,      0.53842,     88.12220,50.00000,48.00000,3.806797e-09,0.92368,1
 36.70800, 5.13333,      0.55165,     88.15209,50.00000,48.00000,3.797831e-09,0.92370,1
 36.88700, 5.20000,      0.56523,     88.18198,50.00000,48.00000,3.797831e-09,0.92370,1
 37.09300, 5.26667,      0.58026,     88.21165,50.00000,48.00000,3.808490e-09,0.92372,1
 37.30500, 5.33333,      0.59439,     88.21165,50.00000,48.00000,3.808490e-09,0.92372,1
 37.49300, 5.40000,      0.60815,     88.24154,50.00000,48.00000,3.808490e-09,0.92372,1
 37.71900, 5.46667,      0.62336,     88.27143,50.00000,48.00000,3.804865e-09,0.92375,1
 37.92000, 5.53333,      0.63876,     88.30132,50.00000,48.00000,3.804865e-09,0.92375,1
 38.14300, 5.60000,      0.65324,     88.33121,50.00000,48.00000,3.812946e-09,0.92377,1
 38.36300, 5.66667,      0.66845,     88.36088,50.00000,48.00000,3.812946e-09,0.92377,1
 38.58600, 5.73333,      0.68311,     88.36088,50.00000,48.00000,3.812946e-09,0.92377,1
 38.80900, 5.80000,      0.69760,     88.39077,50.00000,48.00000,3.810927e-09,0.92379,1
 39.03600, 5.86667,      0.71226,     88.42308,50.00000,48.00000,3.810927e-09,0.92379,1
 39.27600, 5.93333,      0.72674,     88.45297,50.00000,48.00000,3.807535e-09,0.92381,1
 39.49600, 6.00000,      0.74194,     88.48286,50.00000,48.00000,3.807535e-09,0.92381,1
 39.75100, 6.06667,      0.75714,     88.52264,50.00000,48.00000,3.807535e-09,0.92381,1
 39.98400, 6.13333,      0.77307,     88.57473,50.00000,48.00000,3.805940e-09,0.92383,1
 40.23100, 6.20000,      0.78809,     88.57473,50.00000,48.00000,3.805940e-09,0.92383,1
 40.49000, 6.26667,      0.80202,     88.57473,50.00000,48.00000,3.817877e-09,0.92385,1
 40.74200, 6.33333,      0.81432,     88.63451,50.00000,48.00000,3.817877e-09,0.92385,1
 41.00700, 6.40000,      0.83115,     88.63451,50.00000,48.00000,3.817877e-09,0.92385,1
 41.27800, 6.46667,      0.84634,     88.70418,50.00000,48.00000,3.806316e-09,0.92386,1
 41.53700, 6.53333,      0.86136,     88.73385,50.00000,48.00000,3.806316e-09,0.92386,1
 41.82100, 6.60000,      0.87565,     88.79846,50.00000,48.00000,3.811141e-09,0.92388,1
 42.09500, 6.66667,      0.89247,     88.79846,50.00000,48.00000,3.811141e-09,0.92388,1
 42.36200, 6.73333,      0.90730,     88.82835,50.00000,48.00000,3.811141e-09,0.92388,1
 42.63600, 6.80000,      0.92141,     88.88813,50.00000,48.00000,3.815776e-09,0.92390,1
 42.91800, 6.86667,      0.93642,     88.91780,50.00000,48.00000,3.815776e-09,0.92390,1
 43.19400, 6.93333,      0.95288,     88.91780,50.00000,48.00000,3.807744e-09,0.92391,1
 43.51000, 7.00000,      0.96644,     88.94769,50.00000,48.00000,3.807744e-09,0.92391,1
 43.80600, 7.06667,      0.98018,     88.94769,50.00000,48.00000,3.807744e-09,0.92391,1
 44.09000, 7.13333,      0.99591,     88.97758,50.00000,48.00000,3.814014e-09,0.92393,1
 44.41400, 7.20000,      1.01019,     89.00747,50.00000,48.00000,3.814014e-09,0.92393,1
 44.72200, 7.26667,      1.02375,     89.03736,50.00000,48.00000,3.812810e-09,0.92395,1
 45.02700, 7.33333,      1.04075,     89.03736,50.00000,48.00000,3.812810e-09,0.92395,1
 45.32700, 7.40000,      1.05467,     89.06703,50.00000,48.00000,3.812810e-09,0.92395,1
 45.65000, 7.46667,      1.06967,     89.10198,50.00000,48.00000,3.815351e-09,0.92396,1
 45.95100, 7.53333,      1.08522,     89.10198,50.00000,48.00000,3.815351e-09,0.92396,1
 46.28100, 7.60000,      1.09859,     89.12418,50.00000,48.00000,3.811767e-09,0.92398,1
 46.60200, 7.66667,      1.11233,     89.16154,50.00000,48.00000,3.811767e-09,0.92398,1
 46.91900, 7.73333,      1.12588,     89.16154,50.00000,48.00000,3.811767e-09,0.92398,1
 47.24900, 7.80000,      1.14034,     89.19648,50.00000,48.00000,3.812311e-09,0.92399,1
 47.58500, 7.86667,      1.15444,     89.23626,50.00000,48.00000,3.812311e-09,0.92399,1
 47.91000, 7.93333,      1.16709,     89.28835,50.00000,48.00000,3.818994e-09,0.92401,1
 48.27000, 8.00000,      1.18209,     89.28835,50.00000,48.00000,3.818994e-09,0.92401,1
 48.61200, 8.06667,      1.19583,     89.28835,50.00000,48.00000,3.818994e-09,0.92401,1
 48.95100, 8.13333,      1.21011,     89.34813,50.00000,48.00000,3.813875e-09,0.92403,1
 49.29100, 8.20000,      1.22239,     89.34813,50.00000,48.00000,3.813875e-09,0.92403,1
 49.64600, 8.26667,      1.23577,     89.37780,50.00000,48.00000,3.815196e-09,0.92404,1
 49.99800, 8.33333,      1.24823,     89.40769,50.00000,48.00000,3.815196e-09,0.92404,1
 50.34700, 8.40000,      1.26288,     89.43758,50.00000,48.00000,3.815196e-09,0.92404,1
 50.71400, 8.46667,      1.27534,     89.46747,50.00000,48.00000,3.818506e-09,0.92406,1
 51.06400, 8.53333,      1.28872,     89.53209,50.00000,48.00000,3.818506e-09,0.92406,1
 51.42700, 8.60000,      1.30119,     89.53209,50.00000,48.00000,3.824346e-09,0.92408,1
 51.78700, 8.66667,      1.31113,     89.53209,50.00000,48.00000,3.824346e-09,0.92408,1
 52.14800, 8.73333,      1.32613,     89.59429,50.00000,48.00000,3.824346e-09,0.92408,1
 52.51600, 8.80000,      1.33842,     89.62396,50.00000,48.00000,3.815615e-09,0.92409,1
 52.90700, 8.86667,      1.34963,     89.65385,50.00000,48.00000,3.815615e-09,0.92409,1
 53.26400, 8.93333,      1.36102,     89.65385,50.00000,48.00000,3.829111e-09,0.92411,1
 53.64800, 9.00000,      1.37313,     89.68374,50.00000,48.00000,3.829111e-09,0.92411,1
 54.01400, 9.06667,      1.38506,     89.68374,50.00000,48.00000,3.829111e-09,0.92411,1
 54.41100, 9.13333,      1.39735,     89.74593,50.00000,48.00000,3.822572e-09,0.92413,1
 54.77400, 9.20000,      1.40694,     89.77582,50.00000,48.00000,3.822572e-09,0.92413,1
 55.16700, 9.26667,      1.41887,     89.77582,50.00000,48.00000,3.818814e-09,0.92415,1
 55.53800, 9.33333,      1.42972,     89.77582,50.00000,48.00000,3.818814e-09,0.92415,1
 55.94000, 9.40000,      1.43985,     89.80549,50.00000,48.00000,3.818397e-09,0.92417,1
 56.33200, 9.46667,      1.45124,     89.86769,50.00000,48.00000,3.818397e-09,0.92417,1
 56.70700, 9.53333,      1.46228,     89.86769,50.00000,48.00000,3.818397e-09,0.92417,1
 57.10300, 9.60000,      1.47223,     89.86769,50.00000,48.00000,3.830602e-09,0.92418,1
