#EXPORTTYPE:                 ,DATA ALL                                    
#FILE:                       ,2025_11_11_SL_PS_Tosoh_A1000_20K_min.ngb-ss5
#FORMAT:                     ,NETZSCH5                                    
#FTYPE:                      ,ASCII                                       
#IDENTITY:                   ,PS_A1000_20K_min                            
#DECIMAL:                    ,POINT                                       
#SEPARATOR:                  ,COMMA                                       
#MTYPE:                      ,TIC                                         
#INSTRUMENT:                 ,NETZSCH STA 449F5                           
#PROJECT:                    ,PS                                          
#DATE/TIME:                  ,11/12/2025 10:51:39 AM (UTC-5)              
#CORR. FILE:                 ,                                            
#TEMPCAL:                    ,05-05-2025 14:38                            
#SENSITIVITY:                ,28-06-2023 13:53                            
#LABORATORY:                 ,Tran/AAG                                    
#OPERATOR:                   ,Stan                                        
#REMARK:                     ,                                            
#SAMPLE:                     ,PS_A1000_20K_min                            
#SAMPLE MASS /mg:            ,4.92                                        
#MATERIAL:                   ,                                            
#REFERENCE:                  ,                                            
#REFERENCE MASS /mg:         ,0                                           
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                           
#SAMPLE CRUCIBLE MASS /mg:   ,0                                           
#REFERENCE CRUCIBLE MASS /mg:,0                                           
#DSC RANGE /‘V:              ,5000                                        
#TG RANGE /mg:               ,35000                                       
                             ,                                            

##Temp./›C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 33.69100, 0.01337,6.630617e-11,8.838366e-10,3.226000e-11,1.090785e-10,5.467415e-12,9.978294e-12,5.223274e-12,5.600929e-12,6.157875e-12,6.369591e-12,7.565498e-12,1.024532e-11,3.143984e-11,7.949331e-10,2.733517e-11,3.656298e-11,6.421572e-11,1.429272e-09,7.395744e-12,7.130622e-12,2.221107e-12,2.364159e-12,2.228737e-12,2.566338e-12,3.939629e-12,5.453974e-11,2.236366e-12,4.227638e-12,2.085686e-12,1.299953e-11,1.988411e-12,1.852989e-12,1.767158e-12,1.997948e-12,1.729011e-12,1.702309e-12,1.723289e-12,1.667976e-12,1.656532e-12,1.666069e-12,1.660347e-12,1.654625e-12,1.629829e-12,1.597404e-12,1.641273e-12,1.587868e-12,1.614571e-12,1.629829e-12,1.595497e-12,1.557350e-12,1.545906e-12,1.576424e-12,1.568794e-12,1.574516e-12,1.555443e-12,1.582146e-12,1.524925e-12,1.557350e-12,1.530647e-12,1.500130e-12,1.490593e-12,1.494408e-12,1.509666e-12,1.454353e-12,1.496315e-12,1.530647e-12,1.494408e-12,1.460075e-12,1.465797e-12,1.524925e-12,1.503944e-12,1.442909e-12,1.519203e-12,1.461983e-12,1.475334e-12,1.454353e-12,1.412392e-12,1.475334e-12,1.452446e-12,1.435280e-12,1.420021e-12,1.400948e-12,1.414299e-12,1.456261e-12,1.406670e-12,1.465797e-12,1.421928e-12,1.399040e-12,1.395226e-12,1.391411e-12,1.452446e-12,1.385689e-12,1.461983e-12,1.389503e-12,1.376152e-12,1.376152e-12,1.385689e-12,1.406670e-12,1.391411e-12,1.336098e-12,1.404762e-12,1.355171e-12,1.368523e-12,1.326561e-12,1.326561e-12,1.336098e-12,1.334190e-12,1.368523e-12,1.320839e-12,1.309395e-12,1.322746e-12,1.355171e-12,1.332283e-12,1.311302e-12,1.301765e-12,1.355171e-12,1.324654e-12,1.343727e-12,1.294136e-12,1.338005e-12,1.318932e-12,1.299858e-12,1.309395e-12,1.320839e-12,1.284599e-12,1.271248e-12,1.278877e-12,1.330376e-12,1.278877e-12,1.296043e-12,1.284599e-12,1.267433e-12,1.334190e-12,1.257896e-12,1.271248e-12,1.248360e-12
 34.20700, 0.17553,6.706148e-11,8.870486e-10,3.240114e-11,1.093818e-10,5.478859e-12,9.936332e-12,5.246162e-12,5.707741e-12,6.152153e-12,6.449699e-12,7.601738e-12,1.022434e-11,3.130633e-11,7.996767e-10,2.720928e-11,3.690630e-11,6.360918e-11,1.432896e-09,7.428169e-12,7.287025e-12,2.257347e-12,2.318382e-12,2.249718e-12,2.636909e-12,4.033089e-12,5.472284e-11,2.291679e-12,4.206657e-12,2.076149e-12,1.304340e-11,1.963615e-12,1.795769e-12,1.717567e-12,2.097130e-12,1.738548e-12,1.667976e-12,1.732826e-12,1.660347e-12,1.694679e-12,1.683235e-12,1.622200e-12,1.643181e-12,1.669884e-12,1.589775e-12,1.633644e-12,1.633644e-12,1.597404e-12,1.561165e-12,1.570702e-12,1.551628e-12,1.585960e-12,1.605034e-12,1.551628e-12,1.570702e-12,1.536369e-12,1.507759e-12,1.566887e-12,1.502037e-12,1.526833e-12,1.503944e-12,1.523018e-12,1.532555e-12,1.524925e-12,1.561165e-12,1.452446e-12,1.505852e-12,1.500130e-12,1.526833e-12,1.503944e-12,1.502037e-12,1.460075e-12,1.460075e-12,1.498222e-12,1.467705e-12,1.454353e-12,1.471519e-12,1.425743e-12,1.452446e-12,1.416206e-12,1.435280e-12,1.444817e-12,1.420021e-12,1.433372e-12,1.393318e-12,1.421928e-12,1.414299e-12,1.465797e-12,1.439095e-12,1.439095e-12,1.435280e-12,1.372337e-12,1.433372e-12,1.399040e-12,1.391411e-12,1.383781e-12,1.393318e-12,1.379967e-12,1.355171e-12,1.372337e-12,1.376152e-12,1.379967e-12,1.389503e-12,1.366615e-12,1.391411e-12,1.362801e-12,1.368523e-12,1.355171e-12,1.364708e-12,1.328468e-12,1.311302e-12,1.322746e-12,1.317024e-12,1.297951e-12,1.313210e-12,1.311302e-12,1.351356e-12,1.338005e-12,1.399040e-12,1.313210e-12,1.286507e-12,1.311302e-12,1.297951e-12,1.345634e-12,1.284599e-12,1.292229e-12,1.276970e-12,1.315117e-12,1.282692e-12,1.271248e-12,1.299858e-12,1.275063e-12,1.336098e-12,1.275063e-12,1.296043e-12,1.248360e-12,1.280785e-12
 34.90000, 0.34358,6.644350e-11,8.867911e-10,3.229052e-11,1.094829e-10,5.547523e-12,1.012516e-11,5.248070e-12,5.654335e-12,6.182670e-12,6.472587e-12,7.620811e-12,1.035976e-11,3.145319e-11,7.988565e-10,2.733707e-11,3.680902e-11,6.430537e-11,1.430225e-09,7.575035e-12,7.166862e-12,2.255440e-12,2.341270e-12,2.242088e-12,2.581596e-12,4.015923e-12,5.458361e-11,2.188682e-12,4.261971e-12,2.030373e-12,1.301479e-11,1.959801e-12,1.818657e-12,1.793861e-12,2.022743e-12,1.692772e-12,1.690864e-12,1.660347e-12,1.690864e-12,1.692772e-12,1.692772e-12,1.679420e-12,1.645088e-12,1.643181e-12,1.620293e-12,1.660347e-12,1.652718e-12,1.593590e-12,1.612663e-12,1.557350e-12,1.566887e-12,1.559257e-12,1.568794e-12,1.568794e-12,1.595497e-12,1.616478e-12,1.553535e-12,1.561165e-12,1.526833e-12,1.568794e-12,1.515388e-12,1.521110e-12,1.515388e-12,1.582146e-12,1.521110e-12,1.509666e-12,1.492500e-12,1.484871e-12,1.502037e-12,1.502037e-12,1.538277e-12,1.458168e-12,1.505852e-12,1.492500e-12,1.484871e-12,1.446724e-12,1.465797e-12,1.461983e-12,1.454353e-12,1.477242e-12,1.439095e-12,1.425743e-12,1.465797e-12,1.427650e-12,1.477242e-12,1.421928e-12,1.437187e-12,1.452446e-12,1.393318e-12,1.492500e-12,1.439095e-12,1.410484e-12,1.395226e-12,1.420021e-12,1.425743e-12,1.429558e-12,1.311302e-12,1.448631e-12,1.383781e-12,1.349449e-12,1.355171e-12,1.381874e-12,1.378059e-12,1.332283e-12,1.355171e-12,1.349449e-12,1.347542e-12,1.345634e-12,1.351356e-12,1.360893e-12,1.290321e-12,1.326561e-12,1.328468e-12,1.370430e-12,1.351356e-12,1.297951e-12,1.328468e-12,1.332283e-12,1.299858e-12,1.288414e-12,1.338005e-12,1.284599e-12,1.294136e-12,1.286507e-12,1.322746e-12,1.282692e-12,1.292229e-12,1.290321e-12,1.339912e-12,1.324654e-12,1.297951e-12,1.225471e-12,1.276970e-12,1.263618e-12,1.315117e-12,1.244545e-12,1.231194e-12
 35.33400, 0.50916,6.672960e-11,8.856658e-10,3.231722e-11,1.089755e-10,5.515098e-12,1.003170e-11,5.221367e-12,5.690574e-12,6.119728e-12,6.556511e-12,7.609367e-12,1.027775e-11,3.141695e-11,7.959879e-10,2.735615e-11,3.664690e-11,6.466204e-11,1.433086e-09,7.504463e-12,7.227898e-12,2.284050e-12,2.356529e-12,2.272606e-12,2.594948e-12,4.006386e-12,5.466944e-11,2.259254e-12,4.252433e-12,2.099037e-12,1.307583e-11,1.980781e-12,1.841545e-12,1.729011e-12,2.038002e-12,1.702309e-12,1.719475e-12,1.700401e-12,1.708031e-12,1.702309e-12,1.681328e-12,1.669884e-12,1.614571e-12,1.688957e-12,1.601219e-12,1.614571e-12,1.610756e-12,1.597404e-12,1.587868e-12,1.584053e-12,1.578331e-12,1.587868e-12,1.557350e-12,1.608849e-12,1.570702e-12,1.519203e-12,1.574516e-12,1.540184e-12,1.555443e-12,1.557350e-12,1.488686e-12,1.555443e-12,1.488686e-12,1.482963e-12,1.496315e-12,1.528740e-12,1.511574e-12,1.500130e-12,1.446724e-12,1.490593e-12,1.454353e-12,1.494408e-12,1.494408e-12,1.460075e-12,1.484871e-12,1.469612e-12,1.456261e-12,1.536369e-12,1.486778e-12,1.502037e-12,1.458168e-12,1.421928e-12,1.441002e-12,1.444817e-12,1.454353e-12,1.412392e-12,1.475334e-12,1.418114e-12,1.448631e-12,1.381874e-12,1.437187e-12,1.381874e-12,1.406670e-12,1.418114e-12,1.387596e-12,1.389503e-12,1.385689e-12,1.421928e-12,1.360893e-12,1.364708e-12,1.362801e-12,1.387596e-12,1.400948e-12,1.364708e-12,1.385689e-12,1.357079e-12,1.362801e-12,1.355171e-12,1.378059e-12,1.328468e-12,1.326561e-12,1.336098e-12,1.309395e-12,1.315117e-12,1.353264e-12,1.332283e-12,1.343727e-12,1.345634e-12,1.360893e-12,1.261711e-12,1.273155e-12,1.368523e-12,1.303673e-12,1.322746e-12,1.315117e-12,1.305580e-12,1.307487e-12,1.292229e-12,1.313210e-12,1.284599e-12,1.276970e-12,1.297951e-12,1.265526e-12,1.292229e-12,1.261711e-12,1.248360e-12,1.286507e-12
 35.72300, 0.67371,6.720072e-11,8.888568e-10,3.240877e-11,1.097251e-10,5.528450e-12,9.955406e-12,5.202293e-12,5.709648e-12,6.150246e-12,6.510734e-12,7.575035e-12,1.027584e-11,3.129488e-11,8.000467e-10,2.736378e-11,3.682810e-11,6.446749e-11,1.435375e-09,7.529258e-12,7.132530e-12,2.255440e-12,2.306938e-12,2.211571e-12,2.593040e-12,3.975868e-12,5.451494e-11,2.217293e-12,4.195213e-12,2.091408e-12,1.308727e-11,1.999855e-12,1.807213e-12,1.786232e-12,2.066612e-12,1.736641e-12,1.751900e-12,1.709938e-12,1.719475e-12,1.690864e-12,1.696587e-12,1.639366e-12,1.626015e-12,1.702309e-12,1.658440e-12,1.635551e-12,1.610756e-12,1.606941e-12,1.570702e-12,1.648903e-12,1.601219e-12,1.563072e-12,1.572609e-12,1.538277e-12,1.574516e-12,1.515388e-12,1.549721e-12,1.545906e-12,1.503944e-12,1.603126e-12,1.553535e-12,1.564979e-12,1.503944e-12,1.523018e-12,1.511574e-12,1.521110e-12,1.498222e-12,1.538277e-12,1.555443e-12,1.507759e-12,1.523018e-12,1.526833e-12,1.421928e-12,1.549721e-12,1.490593e-12,1.444817e-12,1.471519e-12,1.473427e-12,1.500130e-12,1.460075e-12,1.454353e-12,1.482963e-12,1.437187e-12,1.500130e-12,1.437187e-12,1.471519e-12,1.429558e-12,1.379967e-12,1.397133e-12,1.446724e-12,1.433372e-12,1.433372e-12,1.408577e-12,1.395226e-12,1.454353e-12,1.374245e-12,1.376152e-12,1.397133e-12,1.378059e-12,1.399040e-12,1.357079e-12,1.343727e-12,1.349449e-12,1.431465e-12,1.374245e-12,1.360893e-12,1.332283e-12,1.341820e-12,1.326561e-12,1.362801e-12,1.336098e-12,1.353264e-12,1.374245e-12,1.353264e-12,1.326561e-12,1.376152e-12,1.317024e-12,1.326561e-12,1.330376e-12,1.324654e-12,1.299858e-12,1.351356e-12,1.320839e-12,1.336098e-12,1.307487e-12,1.290321e-12,1.244545e-12,1.263618e-12,1.286507e-12,1.305580e-12,1.294136e-12,1.311302e-12,1.297951e-12,1.263618e-12,1.280785e-12,1.278877e-12,1.301765e-12
 36.28200, 0.83917,6.698137e-11,8.876131e-10,3.227335e-11,1.093513e-10,5.543709e-12,1.003742e-11,5.305290e-12,5.780220e-12,6.188393e-12,6.421089e-12,7.605552e-12,1.028347e-11,3.112125e-11,7.992628e-10,2.747440e-11,3.683382e-11,6.397730e-11,1.430798e-09,7.502556e-12,7.218361e-12,2.223015e-12,2.367973e-12,2.289772e-12,2.541542e-12,3.954887e-12,5.444819e-11,2.249718e-12,4.265785e-12,2.081871e-12,1.302433e-11,1.988411e-12,1.809120e-12,1.734734e-12,2.053261e-12,1.770973e-12,1.719475e-12,1.685142e-12,1.692772e-12,1.658440e-12,1.709938e-12,1.694679e-12,1.627922e-12,1.654625e-12,1.654625e-12,1.646995e-12,1.626015e-12,1.599312e-12,1.595497e-12,1.612663e-12,1.526833e-12,1.576424e-12,1.570702e-12,1.555443e-12,1.591682e-12,1.608849e-12,1.534462e-12,1.542091e-12,1.534462e-12,1.557350e-12,1.542091e-12,1.557350e-12,1.507759e-12,1.536369e-12,1.549721e-12,1.500130e-12,1.523018e-12,1.513481e-12,1.473427e-12,1.456261e-12,1.502037e-12,1.498222e-12,1.528740e-12,1.524925e-12,1.490593e-12,1.460075e-12,1.465797e-12,1.467705e-12,1.492500e-12,1.460075e-12,1.471519e-12,1.433372e-12,1.431465e-12,1.427650e-12,1.400948e-12,1.406670e-12,1.408577e-12,1.416206e-12,1.397133e-12,1.444817e-12,1.406670e-12,1.420021e-12,1.427650e-12,1.370430e-12,1.374245e-12,1.442909e-12,1.395226e-12,1.385689e-12,1.368523e-12,1.381874e-12,1.378059e-12,1.381874e-12,1.379967e-12,1.385689e-12,1.357079e-12,1.336098e-12,1.425743e-12,1.357079e-12,1.338005e-12,1.364708e-12,1.347542e-12,1.339912e-12,1.347542e-12,1.372337e-12,1.324654e-12,1.364708e-12,1.313210e-12,1.355171e-12,1.305580e-12,1.307487e-12,1.294136e-12,1.372337e-12,1.267433e-12,1.315117e-12,1.297951e-12,1.328468e-12,1.307487e-12,1.299858e-12,1.261711e-12,1.292229e-12,1.282692e-12,1.278877e-12,1.267433e-12,1.265526e-12,1.217842e-12,1.225471e-12,1.244545e-12
 36.78100, 1.00584,6.642252e-11,8.853281e-10,3.213030e-11,1.096317e-10,5.511284e-12,9.972572e-12,5.341530e-12,5.639076e-12,6.106377e-12,6.510734e-12,7.601738e-12,1.034832e-11,3.104687e-11,7.997358e-10,2.738476e-11,3.681475e-11,6.403261e-11,1.430798e-09,7.540702e-12,7.193565e-12,2.240181e-12,2.331734e-12,2.232552e-12,2.593040e-12,3.962517e-12,5.456835e-11,2.228737e-12,4.168510e-12,2.087593e-12,1.300907e-11,1.957893e-12,1.862526e-12,1.727104e-12,2.064705e-12,1.742363e-12,1.753807e-12,1.723289e-12,1.717567e-12,1.662254e-12,1.662254e-12,1.706123e-12,1.654625e-12,1.627922e-12,1.646995e-12,1.585960e-12,1.584053e-12,1.667976e-12,1.580238e-12,1.572609e-12,1.589775e-12,1.599312e-12,1.553535e-12,1.587868e-12,1.543999e-12,1.561165e-12,1.549721e-12,1.553535e-12,1.557350e-12,1.523018e-12,1.532555e-12,1.517296e-12,1.559257e-12,1.519203e-12,1.519203e-12,1.492500e-12,1.528740e-12,1.498222e-12,1.519203e-12,1.471519e-12,1.488686e-12,1.460075e-12,1.471519e-12,1.496315e-12,1.482963e-12,1.446724e-12,1.427650e-12,1.496315e-12,1.454353e-12,1.471519e-12,1.406670e-12,1.420021e-12,1.439095e-12,1.452446e-12,1.439095e-12,1.429558e-12,1.433372e-12,1.444817e-12,1.410484e-12,1.439095e-12,1.391411e-12,1.385689e-12,1.387596e-12,1.366615e-12,1.399040e-12,1.406670e-12,1.400948e-12,1.374245e-12,1.404762e-12,1.358986e-12,1.366615e-12,1.353264e-12,1.393318e-12,1.412392e-12,1.385689e-12,1.395226e-12,1.292229e-12,1.349449e-12,1.324654e-12,1.366615e-12,1.330376e-12,1.349449e-12,1.389503e-12,1.341820e-12,1.328468e-12,1.292229e-12,1.305580e-12,1.301765e-12,1.276970e-12,1.343727e-12,1.265526e-12,1.322746e-12,1.305580e-12,1.271248e-12,1.324654e-12,1.311302e-12,1.282692e-12,1.282692e-12,1.290321e-12,1.292229e-12,1.320839e-12,1.286507e-12,1.284599e-12,1.288414e-12,1.221657e-12,1.309395e-12,1.248360e-12
 37.08600, 1.16825,6.711107e-11,8.841170e-10,3.255183e-11,1.095382e-10,5.440712e-12,1.002216e-11,5.251884e-12,5.663872e-12,6.155968e-12,6.478310e-12,7.615089e-12,1.029873e-11,3.162676e-11,7.999971e-10,2.711773e-11,3.661448e-11,6.400400e-11,1.434040e-09,7.517814e-12,7.182121e-12,2.221107e-12,2.320290e-12,2.247810e-12,2.610207e-12,3.996849e-12,5.475718e-11,2.219200e-12,4.229546e-12,2.072334e-12,1.284313e-11,1.971245e-12,1.801491e-12,1.738548e-12,2.060890e-12,1.694679e-12,1.690864e-12,1.700401e-12,1.702309e-12,1.715660e-12,1.631737e-12,1.694679e-12,1.608849e-12,1.658440e-12,1.612663e-12,1.597404e-12,1.591682e-12,1.555443e-12,1.614571e-12,1.585960e-12,1.561165e-12,1.605034e-12,1.555443e-12,1.576424e-12,1.627922e-12,1.530647e-12,1.572609e-12,1.540184e-12,1.572609e-12,1.542091e-12,1.542091e-12,1.519203e-12,1.538277e-12,1.502037e-12,1.540184e-12,1.530647e-12,1.517296e-12,1.452446e-12,1.437187e-12,1.519203e-12,1.503944e-12,1.486778e-12,1.446724e-12,1.494408e-12,1.498222e-12,1.431465e-12,1.463890e-12,1.479149e-12,1.408577e-12,1.484871e-12,1.427650e-12,1.395226e-12,1.427650e-12,1.387596e-12,1.486778e-12,1.450539e-12,1.433372e-12,1.421928e-12,1.420021e-12,1.452446e-12,1.423836e-12,1.418114e-12,1.404762e-12,1.444817e-12,1.448631e-12,1.418114e-12,1.372337e-12,1.393318e-12,1.421928e-12,1.330376e-12,1.404762e-12,1.364708e-12,1.368523e-12,1.410484e-12,1.404762e-12,1.338005e-12,1.334190e-12,1.320839e-12,1.351356e-12,1.372337e-12,1.330376e-12,1.358986e-12,1.296043e-12,1.332283e-12,1.332283e-12,1.309395e-12,1.366615e-12,1.364708e-12,1.311302e-12,1.320839e-12,1.269340e-12,1.324654e-12,1.299858e-12,1.294136e-12,1.307487e-12,1.305580e-12,1.275063e-12,1.288414e-12,1.303673e-12,1.282692e-12,1.278877e-12,1.257896e-12,1.309395e-12,1.290321e-12,1.284599e-12,1.246452e-12,1.282692e-12
 37.34700, 1.33073,6.633478e-11,8.873614e-10,3.224855e-11,1.098815e-10,5.482673e-12,1.003551e-11,5.295753e-12,5.719185e-12,6.114006e-12,6.432533e-12,7.586479e-12,1.033878e-11,3.144175e-11,7.995641e-10,2.744007e-11,3.704554e-11,6.437975e-11,1.438427e-09,7.576943e-12,7.239342e-12,2.243996e-12,2.348900e-12,2.289772e-12,2.549171e-12,4.029274e-12,5.460840e-11,2.255440e-12,4.189491e-12,2.079964e-12,1.295757e-11,1.967430e-12,1.822472e-12,1.774788e-12,2.099037e-12,1.738548e-12,1.736641e-12,1.696587e-12,1.694679e-12,1.671791e-12,1.671791e-12,1.650810e-12,1.624107e-12,1.601219e-12,1.639366e-12,1.631737e-12,1.591682e-12,1.576424e-12,1.605034e-12,1.605034e-12,1.563072e-12,1.545906e-12,1.606941e-12,1.595497e-12,1.543999e-12,1.555443e-12,1.513481e-12,1.551628e-12,1.564979e-12,1.543999e-12,1.517296e-12,1.515388e-12,1.536369e-12,1.479149e-12,1.568794e-12,1.511574e-12,1.469612e-12,1.519203e-12,1.490593e-12,1.515388e-12,1.456261e-12,1.454353e-12,1.503944e-12,1.475334e-12,1.479149e-12,1.442909e-12,1.446724e-12,1.471519e-12,1.502037e-12,1.463890e-12,1.519203e-12,1.482963e-12,1.477242e-12,1.389503e-12,1.439095e-12,1.431465e-12,1.473427e-12,1.460075e-12,1.442909e-12,1.425743e-12,1.397133e-12,1.416206e-12,1.414299e-12,1.395226e-12,1.410484e-12,1.404762e-12,1.402855e-12,1.435280e-12,1.431465e-12,1.397133e-12,1.414299e-12,1.372337e-12,1.406670e-12,1.400948e-12,1.366615e-12,1.381874e-12,1.347542e-12,1.313210e-12,1.339912e-12,1.370430e-12,1.341820e-12,1.345634e-12,1.326561e-12,1.341820e-12,1.341820e-12,1.347542e-12,1.296043e-12,1.330376e-12,1.305580e-12,1.305580e-12,1.362801e-12,1.296043e-12,1.246452e-12,1.292229e-12,1.313210e-12,1.301765e-12,1.280785e-12,1.265526e-12,1.265526e-12,1.257896e-12,1.301765e-12,1.309395e-12,1.292229e-12,1.244545e-12,1.248360e-12,1.233101e-12,1.259804e-12
 37.72600, 1.49721,6.663614e-11,8.901442e-10,3.232866e-11,1.089774e-10,5.517006e-12,9.987831e-12,5.188942e-12,5.665779e-12,6.184578e-12,6.522179e-12,7.534980e-12,1.027775e-11,3.141314e-11,8.001059e-10,2.733898e-11,3.687006e-11,6.384378e-11,1.432896e-09,7.571221e-12,7.225990e-12,2.192497e-12,2.322197e-12,2.228737e-12,2.678871e-12,4.033089e-12,5.453020e-11,2.259254e-12,4.225731e-12,2.140999e-12,1.302814e-11,1.961708e-12,1.841545e-12,1.755714e-12,2.060890e-12,1.749992e-12,1.717567e-12,1.730919e-12,1.673698e-12,1.643181e-12,1.692772e-12,1.698494e-12,1.652718e-12,1.637459e-12,1.681328e-12,1.612663e-12,1.610756e-12,1.629829e-12,1.593590e-12,1.572609e-12,1.582146e-12,1.597404e-12,1.559257e-12,1.572609e-12,1.559257e-12,1.505852e-12,1.566887e-12,1.574516e-12,1.523018e-12,1.536369e-12,1.549721e-12,1.517296e-12,1.542091e-12,1.538277e-12,1.524925e-12,1.515388e-12,1.505852e-12,1.517296e-12,1.503944e-12,1.532555e-12,1.475334e-12,1.471519e-12,1.460075e-12,1.471519e-12,1.441002e-12,1.448631e-12,1.467705e-12,1.435280e-12,1.488686e-12,1.454353e-12,1.502037e-12,1.408577e-12,1.494408e-12,1.414299e-12,1.429558e-12,1.439095e-12,1.444817e-12,1.448631e-12,1.400948e-12,1.410484e-12,1.450539e-12,1.420021e-12,1.395226e-12,1.400948e-12,1.351356e-12,1.454353e-12,1.395226e-12,1.414299e-12,1.395226e-12,1.387596e-12,1.364708e-12,1.406670e-12,1.378059e-12,1.385689e-12,1.353264e-12,1.339912e-12,1.341820e-12,1.315117e-12,1.336098e-12,1.410484e-12,1.345634e-12,1.318932e-12,1.296043e-12,1.334190e-12,1.357079e-12,1.345634e-12,1.366615e-12,1.284599e-12,1.307487e-12,1.353264e-12,1.339912e-12,1.286507e-12,1.317024e-12,1.257896e-12,1.341820e-12,1.280785e-12,1.252174e-12,1.288414e-12,1.320839e-12,1.296043e-12,1.257896e-12,1.290321e-12,1.254082e-12,1.303673e-12,1.286507e-12,1.282692e-12,1.244545e-12
