#EXPORTTYPE:                 ,DATA ALL                                    
#FILE:                       ,2025_11_11_SL_PS_Tosoh_A1000_20K_min.ngb-ss5
#FORMAT:                     ,NETZSCH5                                    
#FTYPE:                      ,ASCII                                       
#IDENTITY:                   ,PS_A1000_20K_min                            
#DECIMAL:                    ,POINT                                       
#SEPARATOR:                  ,COMMA                                       
#MTYPE:                      ,DSC                                         
#INSTRUMENT:                 ,NETZSCH STA 449F5                           
#PROJECT:                    ,PS                                          
#DATE/TIME:                  ,11/12/2025 10:51:39 AM (UTC-5)              
#CORR. FILE:                 ,                                            
#TEMPCAL:                    ,05-05-2025 14:38                            
#SENSITIVITY:                ,28-06-2023 13:53                            
#LABORATORY:                 ,Tran/AAG                                    
#OPERATOR:                   ,Stan                                        
#REMARK:                     ,                                            
#SAMPLE:                     ,PS_A1000_20K_min                            
#SAMPLE MASS /mg:            ,4.92                                        
#MATERIAL:                   ,                                            
#REFERENCE:                  ,                                            
#REFERENCE MASS /mg:         ,0                                           
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                           
#SAMPLE CRUCIBLE MASS /mg:   ,0                                           
#REFERENCE CRUCIBLE MASS /mg:,0                                           
#DSC RANGE /‘V:              ,5000                                        
#TG RANGE /mg:               ,35000                                       
#TAU-R:                      ,---                                         
#CORR. CODE:                 ,000                                         
#EXO:                        ,-1                                          
#RANGE:                      ,20›C....800›C/0.0....20.0K/min              
#SEGMENT:                    ,S1-4/4                                      
#SEG. 1:                     ,20›C/5.0(K/min)/100›C                       
#SEG. 2:                     ,100›C/00:05/100›C                           
#SEG. 3:                     ,100›C/20.0(K/min)/600›C                     
#SEG. 4:                     ,600›C/20.0(K/min)/800›C                     

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 33.69100, 0.00000,      1.31748,100.00000,50.00000,50.00000,            ,0.92419,1
 33.96200, 0.06667,      1.26674, 99.86890,50.00000,50.00000,3.790291e-09,0.92419,1
 34.20700, 0.13333,      1.21820, 99.81138,50.00000,49.00000,3.803524e-09,0.92424,1
 34.45000, 0.20000,      1.17135, 99.68252,50.00000,49.00000,3.803524e-09,0.92424,1
 34.67900, 0.26667,      1.12366, 99.72175,50.00000,49.00000,3.800590e-09,0.92428,1
 34.90000, 0.33333,      1.08403, 99.60447,50.00000,49.00000,3.800590e-09,0.92428,1
 35.09900, 0.40000,      1.04306, 99.57459,50.00000,49.00000,3.800590e-09,0.92428,1
 35.33400, 0.46667,      1.00209, 99.51931,50.00000,48.00000,3.799615e-09,0.92431,1
 35.52300, 0.53333,      0.96516, 99.45732,50.00000,48.00000,3.799615e-09,0.92431,1
 35.72300, 0.60000,      0.93108, 99.39065,50.00000,48.00000,3.810479e-09,0.92435,1
 35.92700, 0.66667,      0.89767, 99.32154,50.00000,48.00000,3.810479e-09,0.92435,1
 36.10500, 0.73333,      0.86628, 99.09390,50.00000,48.00000,3.810479e-09,0.92435,1
 36.28200, 0.80000,      0.83422, 92.72215,50.00000,48.00000,3.802317e-09,0.92438,1
 36.46200, 0.86667,      0.80418, 91.51728,50.00000,48.00000,3.802317e-09,0.92438,1
 36.62200, 0.93333,      0.77531, 90.86646,50.00000,48.00000,3.799487e-09,0.92441,1
 36.78100, 1.00000,      0.74880, 90.54228,50.00000,48.00000,3.799487e-09,0.92441,1
 36.93900, 1.06667,      0.72144, 90.33760,50.00000,48.00000,3.799487e-09,0.92441,1
 37.08600, 1.13333,      0.69611, 90.21565,50.00000,48.00000,3.802842e-09,0.92445,1
 37.20900, 1.20000,      0.67077, 90.16280,50.00000,48.00000,3.802842e-09,0.92445,1
 37.34700, 1.26667,      0.64762, 90.09390,50.00000,48.00000,3.810716e-09,0.92448,1
 37.47400, 1.33333,      0.62363, 90.09390,50.00000,48.00000,3.810716e-09,0.92448,1
 37.59900, 1.40000,      0.60098, 90.06626,50.00000,48.00000,3.810716e-09,0.92448,1
 37.72600, 1.46667,      0.57900, 90.06626,50.00000,48.00000,3.807126e-09,0.92451,1
 37.84700, 1.53333,      0.55686, 90.03862,50.00000,48.00000,3.807126e-09,0.92451,1
 37.95500, 1.60000,      0.53723, 90.03862,50.00000,48.00000,3.809513e-09,0.92454,1
 38.06600, 1.66667,      0.51911, 90.03862,50.00000,48.00000,3.809513e-09,0.92454,1
 38.17200, 1.73333,      0.49915, 90.03862,50.00000,48.00000,3.809513e-09,0.92454,1
 38.26600, 1.80000,      0.48037, 90.03862,50.00000,48.00000,3.809994e-09,0.92456,1
 38.37500, 1.86667,      0.46292, 90.03862,50.00000,48.00000,3.809994e-09,0.92456,1
 38.44000, 1.93333,      0.44632, 90.03862,50.00000,48.00000,3.807808e-09,0.92459,1
 38.54700, 2.00000,      0.42753, 90.06626,50.00000,48.00000,3.807808e-09,0.92459,1
 38.63200, 2.06667,      0.41278, 90.06626,50.00000,48.00000,3.807808e-09,0.92459,1
 38.73100, 2.13333,      0.39634, 90.06626,50.00000,48.00000,3.802860e-09,0.92461,1
 38.80300, 2.20000,      0.38058, 90.03862,50.00000,48.00000,3.802860e-09,0.92461,1
 38.87900, 2.26667,      0.36615, 90.03862,50.00000,48.00000,3.813724e-09,0.92464,1
 38.94800, 2.33333,      0.35324, 90.01098,50.00000,48.00000,3.813724e-09,0.92464,1
 39.01700, 2.40000,      0.33647, 89.98354,50.00000,48.00000,3.813724e-09,0.92464,1
 39.09200, 2.46667,      0.32306, 89.95589,50.00000,48.00000,3.804644e-09,0.92466,1
 39.14100, 2.53333,      0.30998, 89.92825,50.00000,48.00000,3.804644e-09,0.92466,1
 39.22500, 2.60000,      0.29723, 89.87073,50.00000,48.00000,3.803913e-09,0.92468,1
 39.28400, 2.66667,      0.28449, 89.80630,50.00000,48.00000,3.803913e-09,0.92468,1
 39.33200, 2.73333,      0.27242, 89.80630,50.00000,48.00000,3.803913e-09,0.92468,1
 39.39900, 2.80000,      0.26135, 89.77419,50.00000,48.00000,3.802298e-09,0.92470,1
 39.45300, 2.86667,      0.24861, 89.70061,50.00000,48.00000,3.802298e-09,0.92470,1
 39.48600, 2.93333,      0.23805, 89.66850,50.00000,48.00000,3.803586e-09,0.92472,1
 39.55800, 3.00000,      0.22782, 89.64085,50.00000,48.00000,3.803586e-09,0.92472,1
 39.58800, 3.06667,      0.21675, 89.61321,50.00000,48.00000,3.803586e-09,0.92472,1
 39.62200, 3.13333,      0.20653, 89.57419,50.00000,48.00000,3.806805e-09,0.92474,1
 39.66400, 3.20000,      0.19529, 89.53963,50.00000,48.00000,3.806805e-09,0.92474,1
 39.71700, 3.26667,      0.18792, 89.49593,50.00000,48.00000,3.808715e-09,0.92476,1
 39.75300, 3.33333,      0.17803, 89.43394,50.00000,48.00000,3.808715e-09,0.92476,1
 39.79700, 3.40000,      0.16847, 89.39715,50.00000,48.00000,3.808715e-09,0.92476,1
 39.83400, 3.46667,      0.15992, 89.34187,50.00000,48.00000,3.809038e-09,0.92477,1
 39.87100, 3.53333,      0.15120, 89.31423,50.00000,48.00000,3.809038e-09,0.92477,1
 39.89200, 3.60000,      0.14399, 89.25691,50.00000,48.00000,3.812267e-09,0.92479,1
 39.92900, 3.66667,      0.13444, 89.24309,50.00000,48.00000,3.812267e-09,0.92479,1
 39.95000, 3.73333,      0.12740, 89.22236,50.00000,48.00000,3.812267e-09,0.92479,1
 39.97700, 3.80000,      0.11902, 89.14187,50.00000,48.00000,3.808867e-09,0.92481,1
 39.99400, 3.86667,      0.11265, 89.10285,50.00000,48.00000,3.808867e-09,0.92481,1
 40.04700, 3.93333,      0.10544, 89.03841,50.00000,48.00000,3.807850e-09,0.92482,1
 40.05600, 4.00000,      0.10024, 89.00610,50.00000,48.00000,3.807850e-09,0.92482,1
 40.08200, 4.06667, 9.403816e-02, 88.97866,50.00000,48.00000,3.807850e-09,0.92482,1
 40.11500, 4.13333, 8.900900e-02, 88.95102,50.00000,48.00000,3.806425e-09,0.92484,1
 40.14400, 4.20000, 8.431518e-02, 88.95102,50.00000,48.00000,3.806425e-09,0.92484,1
 40.15400, 4.26667, 8.079496e-02, 88.89350,50.00000,48.00000,3.800373e-09,0.92485,1
 40.18700, 4.33333, 7.760977e-02, 88.83374,50.00000,48.00000,3.800373e-09,0.92485,1
 40.21300, 4.40000, 7.576566e-02, 88.83374,50.00000,48.00000,3.800373e-09,0.92485,1
 40.24100, 4.46667, 7.475965e-02, 88.83374,50.00000,48.00000,3.809750e-09,0.92486,1
 40.28600, 4.53333, 7.576495e-02, 88.80610,50.00000,48.00000,3.809750e-09,0.92486,1
 40.31600, 4.60000, 7.693801e-02, 88.80610,50.00000,48.00000,3.807523e-09,0.92488,1
 40.33600, 4.66667, 7.811115e-02, 88.77846,50.00000,48.00000,3.807523e-09,0.92488,1
 40.38200, 4.73333, 8.129547e-02, 88.77846,50.00000,48.00000,3.807523e-09,0.92488,1
 40.43100, 4.80000, 8.565304e-02, 88.77846,50.00000,48.00000,3.808651e-09,0.92488,1
 40.45700, 4.86667, 8.984320e-02, 88.77846,50.00000,48.00000,3.808651e-09,0.92488,1
 40.52800, 4.93333, 9.721753e-02, 88.79919,50.00000,48.00000,3.813533e-09,0.92490,1
 40.58800, 5.00000,      0.10442, 88.77154,50.00000,48.00000,3.813533e-09,0.92490,1
 40.64800, 5.06667,      0.11163, 88.77154,50.00000,48.00000,3.813533e-09,0.92490,1
 40.70000, 5.13333,      0.12269, 88.79228,50.00000,48.00000,3.802494e-09,0.92491,1
 40.76900, 5.20000,      0.13191, 88.79919,50.00000,48.00000,3.802494e-09,0.92491,1
 40.83600, 5.26667,      0.14297, 88.80610,50.00000,48.00000,3.806250e-09,0.92492,1
 40.91300, 5.33333,      0.15554, 88.82683,50.00000,48.00000,3.806250e-09,0.92492,1
 40.99000, 5.40000,      0.16844, 88.81992,50.00000,48.00000,3.806250e-09,0.92492,1
