#EXPORTTYPE:                 ,DATA ALL                                   
#FILE:                       ,2025_11_11_SL_PS_Tosoh_A1000_5K_min.ngb-ss5
#FORMAT:                     ,NETZSCH5                                   
#FTYPE:                      ,ASCII                                      
#IDENTITY:                   ,PS_A1000_5K_min                            
#DECIMAL:                    ,POINT                                      
#SEPARATOR:                  ,COMMA                                      
#MTYPE:                      ,TIC                                        
#INSTRUMENT:                 ,NETZSCH STA 449F5                          
#PROJECT:                    ,PS                                         
#DATE/TIME:                  ,11/11/2025 5:18:43 PM (UTC-5)              
#CORR. FILE:                 ,                                           
#TEMPCAL:                    ,05-05-2025 14:38                           
#SENSITIVITY:                ,28-06-2023 13:53                           
#LABORATORY:                 ,Tran/AAG                                   
#OPERATOR:                   ,Stan                                       
#REMARK:                     ,                                           
#SAMPLE:                     ,PS_A1000_5K_min                            
#SAMPLE MASS /mg:            ,5.11                                       
#MATERIAL:                   ,                                           
#REFERENCE:                  ,                                           
#REFERENCE MASS /mg:         ,0                                          
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                          
#SAMPLE CRUCIBLE MASS /mg:   ,0                                          
#REFERENCE CRUCIBLE MASS /mg:,0                                          
#DSC RANGE /‘V:              ,5000                                       
#TG RANGE /mg:               ,35000                                      
                             ,                                           

##Temp./›C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 32.39500,  0.01353,6.548792e-11,8.679675e-10,2.777767e-11,9.072024e-11,5.351066e-12,9.848594e-12,5.240440e-12,5.671501e-12,6.110191e-12,6.394386e-12,7.506371e-12,1.011562e-11,3.027057e-11,7.714688e-10,2.484035e-11,3.611666e-11,6.214052e-11,1.405430e-09,7.435799e-12,7.063866e-12,2.240181e-12,2.381325e-12,2.261162e-12,2.640724e-12,4.002571e-12,5.311495e-11,2.221107e-12,4.132270e-12,2.081871e-12,1.284695e-11,1.984596e-12,1.830101e-12,1.778603e-12,2.051353e-12,1.727104e-12,1.725197e-12,1.746178e-12,1.688957e-12,1.669884e-12,1.650810e-12,1.641273e-12,1.677513e-12,1.637459e-12,1.624107e-12,1.566887e-12,1.639366e-12,1.585960e-12,1.627922e-12,1.624107e-12,1.597404e-12,1.513481e-12,1.597404e-12,1.570702e-12,1.545906e-12,1.572609e-12,1.576424e-12,1.532555e-12,1.606941e-12,1.543999e-12,1.511574e-12,1.503944e-12,1.475334e-12,1.566887e-12,1.461983e-12,1.490593e-12,1.479149e-12,1.435280e-12,1.482963e-12,1.534462e-12,1.553535e-12,1.463890e-12,1.505852e-12,1.408577e-12,1.475334e-12,1.425743e-12,1.460075e-12,1.435280e-12,1.439095e-12,1.488686e-12,1.429558e-12,1.461983e-12,1.463890e-12,1.421928e-12,1.458168e-12,1.448631e-12,1.446724e-12,1.387596e-12,1.496315e-12,1.442909e-12,1.446724e-12,1.423836e-12,1.402855e-12,1.416206e-12,1.404762e-12,1.406670e-12,1.383781e-12,1.385689e-12,1.412392e-12,1.383781e-12,1.404762e-12,1.433372e-12,1.355171e-12,1.358986e-12,1.355171e-12,1.410484e-12,1.349449e-12,1.351356e-12,1.376152e-12,1.379967e-12,1.362801e-12,1.305580e-12,1.305580e-12,1.309395e-12,1.341820e-12,1.378059e-12,1.366615e-12,1.324654e-12,1.313210e-12,1.330376e-12,1.288414e-12,1.297951e-12,1.290321e-12,1.322746e-12,1.318932e-12,1.336098e-12,1.280785e-12,1.307487e-12,1.282692e-12,1.273155e-12,1.317024e-12,1.307487e-12,1.315117e-12,1.254082e-12,1.259804e-12,1.259804e-12,1.322746e-12
 32.99900,  0.18385,6.648928e-11,8.733405e-10,2.779674e-11,9.158426e-11,5.314827e-12,9.814262e-12,5.261421e-12,5.631447e-12,6.083488e-12,6.510734e-12,7.443428e-12,1.024532e-11,3.045177e-11,7.750299e-10,2.508259e-11,3.621012e-11,6.252962e-11,1.410389e-09,7.506371e-12,7.082939e-12,2.219200e-12,2.324104e-12,2.234459e-12,2.583504e-12,3.960609e-12,5.320078e-11,2.165794e-12,4.170417e-12,2.095222e-12,1.273251e-11,1.929283e-12,1.822472e-12,1.782417e-12,2.081871e-12,1.690864e-12,1.679420e-12,1.729011e-12,1.683235e-12,1.736641e-12,1.692772e-12,1.643181e-12,1.641273e-12,1.652718e-12,1.656532e-12,1.633644e-12,1.612663e-12,1.578331e-12,1.574516e-12,1.626015e-12,1.536369e-12,1.572609e-12,1.496315e-12,1.545906e-12,1.576424e-12,1.608849e-12,1.568794e-12,1.507759e-12,1.542091e-12,1.563072e-12,1.523018e-12,1.564979e-12,1.534462e-12,1.523018e-12,1.509666e-12,1.503944e-12,1.496315e-12,1.490593e-12,1.528740e-12,1.496315e-12,1.505852e-12,1.486778e-12,1.490593e-12,1.496315e-12,1.481056e-12,1.484871e-12,1.473427e-12,1.490593e-12,1.439095e-12,1.458168e-12,1.460075e-12,1.521110e-12,1.429558e-12,1.435280e-12,1.473427e-12,1.477242e-12,1.467705e-12,1.427650e-12,1.425743e-12,1.446724e-12,1.408577e-12,1.395226e-12,1.427650e-12,1.423836e-12,1.427650e-12,1.454353e-12,1.404762e-12,1.381874e-12,1.397133e-12,1.427650e-12,1.353264e-12,1.387596e-12,1.368523e-12,1.400948e-12,1.378059e-12,1.437187e-12,1.355171e-12,1.339912e-12,1.349449e-12,1.358986e-12,1.322746e-12,1.372337e-12,1.370430e-12,1.357079e-12,1.368523e-12,1.347542e-12,1.265526e-12,1.345634e-12,1.282692e-12,1.297951e-12,1.273155e-12,1.351356e-12,1.317024e-12,1.326561e-12,1.244545e-12,1.345634e-12,1.276970e-12,1.292229e-12,1.296043e-12,1.294136e-12,1.292229e-12,1.235008e-12,1.273155e-12,1.257896e-12,1.246452e-12,1.257896e-12,1.236916e-12
 33.81000,  0.34602,6.618792e-11,8.728674e-10,2.800083e-11,9.206682e-11,5.345344e-12,9.926795e-12,5.238533e-12,5.591392e-12,6.085396e-12,6.493568e-12,7.405281e-12,1.014805e-11,3.042507e-11,7.708528e-10,2.507305e-11,3.641802e-11,6.384378e-11,1.407147e-09,7.519722e-12,7.109642e-12,2.255440e-12,2.385139e-12,2.230644e-12,2.562523e-12,3.954887e-12,5.310541e-11,2.238274e-12,4.082680e-12,2.066612e-12,1.334476e-11,1.967430e-12,1.801491e-12,1.782417e-12,2.026558e-12,1.730919e-12,1.721382e-12,1.725197e-12,1.690864e-12,1.673698e-12,1.708031e-12,1.687050e-12,1.685142e-12,1.673698e-12,1.675606e-12,1.603126e-12,1.639366e-12,1.656532e-12,1.641273e-12,1.624107e-12,1.599312e-12,1.584053e-12,1.616478e-12,1.576424e-12,1.561165e-12,1.545906e-12,1.561165e-12,1.585960e-12,1.524925e-12,1.528740e-12,1.551628e-12,1.542091e-12,1.507759e-12,1.517296e-12,1.471519e-12,1.524925e-12,1.534462e-12,1.532555e-12,1.490593e-12,1.507759e-12,1.484871e-12,1.481056e-12,1.543999e-12,1.469612e-12,1.448631e-12,1.477242e-12,1.521110e-12,1.420021e-12,1.473427e-12,1.465797e-12,1.395226e-12,1.477242e-12,1.441002e-12,1.444817e-12,1.368523e-12,1.421928e-12,1.418114e-12,1.465797e-12,1.427650e-12,1.410484e-12,1.461983e-12,1.402855e-12,1.427650e-12,1.460075e-12,1.399040e-12,1.414299e-12,1.345634e-12,1.420021e-12,1.374245e-12,1.385689e-12,1.364708e-12,1.336098e-12,1.406670e-12,1.355171e-12,1.414299e-12,1.370430e-12,1.328468e-12,1.339912e-12,1.370430e-12,1.341820e-12,1.326561e-12,1.328468e-12,1.309395e-12,1.330376e-12,1.311302e-12,1.313210e-12,1.318932e-12,1.324654e-12,1.339912e-12,1.317024e-12,1.341820e-12,1.345634e-12,1.330376e-12,1.334190e-12,1.299858e-12,1.320839e-12,1.330376e-12,1.267433e-12,1.278877e-12,1.309395e-12,1.278877e-12,1.273155e-12,1.255989e-12,1.282692e-12,1.288414e-12,1.338005e-12,1.299858e-12
 34.30600,  0.50803,6.622797e-11,8.747176e-10,2.805042e-11,9.183412e-11,5.339622e-12,9.873390e-12,5.200386e-12,5.681038e-12,6.108284e-12,6.390571e-12,7.658959e-12,1.017666e-11,3.072834e-11,7.766378e-10,2.516460e-11,3.629214e-11,6.299692e-11,1.412296e-09,7.460594e-12,7.121086e-12,2.215385e-12,2.381325e-12,2.289772e-12,2.636909e-12,3.989220e-12,5.335146e-11,2.198219e-12,4.212379e-12,2.072334e-12,1.323414e-11,1.927376e-12,1.826286e-12,1.769066e-12,2.074242e-12,1.721382e-12,1.734734e-12,1.734734e-12,1.759529e-12,1.719475e-12,1.694679e-12,1.671791e-12,1.683235e-12,1.631737e-12,1.635551e-12,1.650810e-12,1.656532e-12,1.603126e-12,1.633644e-12,1.574516e-12,1.549721e-12,1.564979e-12,1.599312e-12,1.496315e-12,1.599312e-12,1.551628e-12,1.570702e-12,1.574516e-12,1.587868e-12,1.530647e-12,1.606941e-12,1.496315e-12,1.511574e-12,1.523018e-12,1.555443e-12,1.494408e-12,1.503944e-12,1.507759e-12,1.467705e-12,1.538277e-12,1.509666e-12,1.509666e-12,1.523018e-12,1.473427e-12,1.454353e-12,1.503944e-12,1.444817e-12,1.482963e-12,1.494408e-12,1.452446e-12,1.435280e-12,1.427650e-12,1.431465e-12,1.444817e-12,1.502037e-12,1.442909e-12,1.412392e-12,1.435280e-12,1.418114e-12,1.454353e-12,1.420021e-12,1.399040e-12,1.429558e-12,1.374245e-12,1.393318e-12,1.416206e-12,1.383781e-12,1.355171e-12,1.446724e-12,1.368523e-12,1.393318e-12,1.378059e-12,1.349449e-12,1.372337e-12,1.374245e-12,1.324654e-12,1.378059e-12,1.297951e-12,1.389503e-12,1.345634e-12,1.322746e-12,1.343727e-12,1.349449e-12,1.355171e-12,1.290321e-12,1.284599e-12,1.355171e-12,1.328468e-12,1.288414e-12,1.332283e-12,1.351356e-12,1.290321e-12,1.347542e-12,1.263618e-12,1.280785e-12,1.315117e-12,1.315117e-12,1.303673e-12,1.313210e-12,1.309395e-12,1.326561e-12,1.235008e-12,1.318932e-12,1.307487e-12,1.275063e-12,1.242638e-12,1.259804e-12
 34.97700,  0.67268,6.577212e-11,8.742388e-10,2.803516e-11,9.189897e-11,5.368233e-12,9.818077e-12,5.223274e-12,5.660057e-12,6.083488e-12,6.457329e-12,7.557868e-12,1.023960e-11,3.071689e-11,7.737615e-10,2.517986e-11,3.628260e-11,6.258303e-11,1.412678e-09,7.451057e-12,7.172584e-12,2.230644e-12,2.362251e-12,2.179146e-12,2.627373e-12,3.993034e-12,5.320650e-11,2.142906e-12,4.178047e-12,2.038002e-12,1.298618e-11,1.954079e-12,1.801491e-12,1.795769e-12,2.100944e-12,1.736641e-12,1.708031e-12,1.704216e-12,1.685142e-12,1.685142e-12,1.671791e-12,1.677513e-12,1.635551e-12,1.673698e-12,1.660347e-12,1.658440e-12,1.589775e-12,1.608849e-12,1.585960e-12,1.574516e-12,1.620293e-12,1.540184e-12,1.530647e-12,1.566887e-12,1.566887e-12,1.542091e-12,1.553535e-12,1.559257e-12,1.526833e-12,1.540184e-12,1.488686e-12,1.503944e-12,1.547813e-12,1.536369e-12,1.481056e-12,1.536369e-12,1.521110e-12,1.543999e-12,1.498222e-12,1.568794e-12,1.519203e-12,1.498222e-12,1.479149e-12,1.547813e-12,1.452446e-12,1.490593e-12,1.425743e-12,1.400948e-12,1.423836e-12,1.471519e-12,1.418114e-12,1.420021e-12,1.490593e-12,1.456261e-12,1.490593e-12,1.433372e-12,1.433372e-12,1.475334e-12,1.423836e-12,1.437187e-12,1.393318e-12,1.420021e-12,1.414299e-12,1.482963e-12,1.395226e-12,1.406670e-12,1.366615e-12,1.399040e-12,1.378059e-12,1.400948e-12,1.378059e-12,1.357079e-12,1.376152e-12,1.385689e-12,1.441002e-12,1.347542e-12,1.364708e-12,1.366615e-12,1.353264e-12,1.315117e-12,1.338005e-12,1.320839e-12,1.341820e-12,1.368523e-12,1.336098e-12,1.334190e-12,1.307487e-12,1.280785e-12,1.311302e-12,1.313210e-12,1.360893e-12,1.290321e-12,1.324654e-12,1.318932e-12,1.328468e-12,1.299858e-12,1.311302e-12,1.303673e-12,1.345634e-12,1.282692e-12,1.296043e-12,1.231194e-12,1.282692e-12,1.282692e-12,1.328468e-12,1.278877e-12,1.265526e-12
 35.38300,  0.83510,6.610018e-11,8.738860e-10,2.790737e-11,9.241587e-11,5.291939e-12,9.785651e-12,5.209923e-12,5.621910e-12,6.155968e-12,6.495476e-12,7.515907e-12,1.013851e-11,3.081608e-11,7.747323e-10,2.508068e-11,3.616434e-11,6.315905e-11,1.410580e-09,7.452964e-12,7.142067e-12,2.276421e-12,2.329826e-12,2.272606e-12,2.560616e-12,4.000664e-12,5.341250e-11,2.232552e-12,4.153252e-12,2.091408e-12,1.286030e-11,1.969337e-12,1.870155e-12,1.797676e-12,2.127647e-12,1.715660e-12,1.706123e-12,1.681328e-12,1.687050e-12,1.652718e-12,1.709938e-12,1.671791e-12,1.595497e-12,1.612663e-12,1.616478e-12,1.633644e-12,1.650810e-12,1.633644e-12,1.584053e-12,1.620293e-12,1.589775e-12,1.547813e-12,1.572609e-12,1.582146e-12,1.517296e-12,1.561165e-12,1.538277e-12,1.540184e-12,1.503944e-12,1.545906e-12,1.532555e-12,1.502037e-12,1.542091e-12,1.486778e-12,1.513481e-12,1.511574e-12,1.519203e-12,1.528740e-12,1.517296e-12,1.521110e-12,1.532555e-12,1.509666e-12,1.517296e-12,1.477242e-12,1.477242e-12,1.494408e-12,1.437187e-12,1.479149e-12,1.467705e-12,1.521110e-12,1.402855e-12,1.454353e-12,1.486778e-12,1.461983e-12,1.393318e-12,1.431465e-12,1.450539e-12,1.450539e-12,1.461983e-12,1.393318e-12,1.412392e-12,1.387596e-12,1.370430e-12,1.418114e-12,1.416206e-12,1.446724e-12,1.358986e-12,1.368523e-12,1.362801e-12,1.400948e-12,1.410484e-12,1.376152e-12,1.379967e-12,1.385689e-12,1.366615e-12,1.410484e-12,1.330376e-12,1.383781e-12,1.381874e-12,1.345634e-12,1.362801e-12,1.332283e-12,1.339912e-12,1.402855e-12,1.292229e-12,1.330376e-12,1.353264e-12,1.349449e-12,1.292229e-12,1.332283e-12,1.328468e-12,1.292229e-12,1.336098e-12,1.313210e-12,1.322746e-12,1.311302e-12,1.286507e-12,1.307487e-12,1.284599e-12,1.301765e-12,1.265526e-12,1.269340e-12,1.284599e-12,1.259804e-12,1.259804e-12,1.242638e-12,1.299858e-12
 35.93000,  0.99822,6.610018e-11,8.741931e-10,2.808666e-11,9.168726e-11,5.339622e-12,9.930610e-12,5.223274e-12,5.610466e-12,6.085396e-12,6.384849e-12,7.445335e-12,1.028728e-11,3.057003e-11,7.743527e-10,2.500057e-11,3.622538e-11,6.293970e-11,1.407909e-09,7.458686e-12,7.172584e-12,2.287865e-12,2.373695e-12,2.284050e-12,2.581596e-12,3.941536e-12,5.333620e-11,2.238274e-12,4.097939e-12,2.051353e-12,1.267338e-11,2.018928e-12,1.837730e-12,1.776695e-12,2.032280e-12,1.706123e-12,1.732826e-12,1.725197e-12,1.721382e-12,1.687050e-12,1.679420e-12,1.667976e-12,1.639366e-12,1.612663e-12,1.629829e-12,1.618385e-12,1.597404e-12,1.597404e-12,1.597404e-12,1.629829e-12,1.545906e-12,1.605034e-12,1.574516e-12,1.564979e-12,1.549721e-12,1.523018e-12,1.519203e-12,1.563072e-12,1.566887e-12,1.513481e-12,1.509666e-12,1.576424e-12,1.484871e-12,1.488686e-12,1.526833e-12,1.553535e-12,1.496315e-12,1.484871e-12,1.517296e-12,1.503944e-12,1.496315e-12,1.444817e-12,1.479149e-12,1.486778e-12,1.496315e-12,1.456261e-12,1.486778e-12,1.486778e-12,1.519203e-12,1.427650e-12,1.496315e-12,1.448631e-12,1.420021e-12,1.420021e-12,1.444817e-12,1.425743e-12,1.446724e-12,1.477242e-12,1.454353e-12,1.431465e-12,1.416206e-12,1.435280e-12,1.427650e-12,1.406670e-12,1.402855e-12,1.393318e-12,1.381874e-12,1.358986e-12,1.370430e-12,1.370430e-12,1.395226e-12,1.391411e-12,1.429558e-12,1.381874e-12,1.364708e-12,1.355171e-12,1.378059e-12,1.366615e-12,1.400948e-12,1.351356e-12,1.341820e-12,1.353264e-12,1.318932e-12,1.355171e-12,1.307487e-12,1.347542e-12,1.322746e-12,1.309395e-12,1.311302e-12,1.336098e-12,1.284599e-12,1.303673e-12,1.313210e-12,1.320839e-12,1.315117e-12,1.248360e-12,1.341820e-12,1.292229e-12,1.265526e-12,1.296043e-12,1.294136e-12,1.265526e-12,1.288414e-12,1.273155e-12,1.301765e-12,1.246452e-12,1.263618e-12
 36.28000,  1.16095,6.605250e-11,8.758086e-10,2.805042e-11,9.153849e-11,5.406379e-12,9.892464e-12,5.242347e-12,5.707741e-12,6.163597e-12,6.464958e-12,7.512093e-12,1.028538e-11,3.095913e-11,7.759702e-10,2.512264e-11,3.620631e-11,6.283671e-11,1.407337e-09,7.431984e-12,7.126808e-12,2.243996e-12,2.383232e-12,2.242088e-12,2.610207e-12,3.960609e-12,5.328852e-11,2.177238e-12,4.204750e-12,2.066612e-12,1.275349e-11,1.950264e-12,1.849174e-12,1.730919e-12,2.028465e-12,1.692772e-12,1.748085e-12,1.706123e-12,1.690864e-12,1.700401e-12,1.740456e-12,1.698494e-12,1.643181e-12,1.593590e-12,1.645088e-12,1.626015e-12,1.601219e-12,1.612663e-12,1.584053e-12,1.585960e-12,1.582146e-12,1.608849e-12,1.561165e-12,1.532555e-12,1.521110e-12,1.540184e-12,1.515388e-12,1.563072e-12,1.542091e-12,1.530647e-12,1.540184e-12,1.502037e-12,1.488686e-12,1.570702e-12,1.456261e-12,1.532555e-12,1.509666e-12,1.498222e-12,1.502037e-12,1.509666e-12,1.513481e-12,1.502037e-12,1.515388e-12,1.446724e-12,1.484871e-12,1.530647e-12,1.465797e-12,1.442909e-12,1.498222e-12,1.486778e-12,1.416206e-12,1.461983e-12,1.469612e-12,1.414299e-12,1.437187e-12,1.418114e-12,1.370430e-12,1.463890e-12,1.416206e-12,1.364708e-12,1.433372e-12,1.397133e-12,1.414299e-12,1.393318e-12,1.385689e-12,1.406670e-12,1.431465e-12,1.414299e-12,1.414299e-12,1.349449e-12,1.326561e-12,1.387596e-12,1.441002e-12,1.332283e-12,1.370430e-12,1.324654e-12,1.366615e-12,1.387596e-12,1.343727e-12,1.336098e-12,1.315117e-12,1.343727e-12,1.320839e-12,1.349449e-12,1.290321e-12,1.322746e-12,1.334190e-12,1.338005e-12,1.278877e-12,1.322746e-12,1.280785e-12,1.351356e-12,1.305580e-12,1.355171e-12,1.282692e-12,1.296043e-12,1.303673e-12,1.297951e-12,1.286507e-12,1.259804e-12,1.320839e-12,1.280785e-12,1.282692e-12,1.280785e-12,1.263618e-12,1.242638e-12,1.294136e-12
 36.59100,  1.32320,6.569201e-11,8.756731e-10,2.790928e-11,9.122568e-11,5.364418e-12,9.863853e-12,5.259514e-12,5.595207e-12,6.121635e-12,6.318092e-12,7.569313e-12,1.026630e-11,3.092480e-11,7.774408e-10,2.503300e-11,3.651148e-11,6.349474e-11,1.407147e-09,7.445335e-12,7.184029e-12,2.230644e-12,2.312660e-12,2.264976e-12,2.606392e-12,3.943443e-12,5.340296e-11,2.215385e-12,4.220009e-12,2.055168e-12,1.284885e-11,2.039909e-12,1.820564e-12,1.862526e-12,2.078056e-12,1.738548e-12,1.730919e-12,1.706123e-12,1.719475e-12,1.706123e-12,1.708031e-12,1.645088e-12,1.648903e-12,1.635551e-12,1.643181e-12,1.660347e-12,1.584053e-12,1.667976e-12,1.597404e-12,1.589775e-12,1.582146e-12,1.633644e-12,1.603126e-12,1.608849e-12,1.536369e-12,1.582146e-12,1.523018e-12,1.547813e-12,1.555443e-12,1.519203e-12,1.494408e-12,1.549721e-12,1.519203e-12,1.534462e-12,1.467705e-12,1.542091e-12,1.576424e-12,1.477242e-12,1.503944e-12,1.517296e-12,1.465797e-12,1.538277e-12,1.488686e-12,1.484871e-12,1.463890e-12,1.435280e-12,1.500130e-12,1.481056e-12,1.421928e-12,1.473427e-12,1.442909e-12,1.460075e-12,1.461983e-12,1.437187e-12,1.420021e-12,1.427650e-12,1.416206e-12,1.463890e-12,1.421928e-12,1.425743e-12,1.423836e-12,1.404762e-12,1.452446e-12,1.410484e-12,1.393318e-12,1.378059e-12,1.374245e-12,1.399040e-12,1.332283e-12,1.347542e-12,1.366615e-12,1.358986e-12,1.406670e-12,1.343727e-12,1.313210e-12,1.339912e-12,1.362801e-12,1.393318e-12,1.376152e-12,1.347542e-12,1.332283e-12,1.357079e-12,1.326561e-12,1.358986e-12,1.318932e-12,1.338005e-12,1.381874e-12,1.294136e-12,1.341820e-12,1.328468e-12,1.324654e-12,1.263618e-12,1.336098e-12,1.320839e-12,1.292229e-12,1.286507e-12,1.311302e-12,1.242638e-12,1.311302e-12,1.280785e-12,1.313210e-12,1.267433e-12,1.297951e-12,1.275063e-12,1.282692e-12,1.299858e-12,1.296043e-12
 37.02400,  1.48441,6.597430e-11,8.718108e-10,2.790928e-11,9.119135e-11,5.379677e-12,9.821892e-12,5.305290e-12,5.660057e-12,6.066322e-12,6.403923e-12,7.519722e-12,1.027966e-11,3.093052e-11,7.741697e-10,2.510166e-11,3.607470e-11,6.264597e-11,1.402760e-09,7.472038e-12,7.071495e-12,2.228737e-12,2.318382e-12,2.282143e-12,2.602577e-12,3.952980e-12,5.356890e-11,2.196312e-12,4.181862e-12,2.085686e-12,1.253986e-11,1.978874e-12,1.864433e-12,1.782417e-12,2.024650e-12,1.772880e-12,1.717567e-12,1.734734e-12,1.700401e-12,1.666069e-12,1.675606e-12,1.698494e-12,1.637459e-12,1.664162e-12,1.650810e-12,1.593590e-12,1.605034e-12,1.595497e-12,1.603126e-12,1.576424e-12,1.570702e-12,1.608849e-12,1.574516e-12,1.551628e-12,1.532555e-12,1.593590e-12,1.545906e-12,1.528740e-12,1.549721e-12,1.530647e-12,1.549721e-12,1.570702e-12,1.498222e-12,1.564979e-12,1.534462e-12,1.486778e-12,1.515388e-12,1.521110e-12,1.509666e-12,1.450539e-12,1.536369e-12,1.471519e-12,1.441002e-12,1.492500e-12,1.477242e-12,1.494408e-12,1.450539e-12,1.458168e-12,1.460075e-12,1.477242e-12,1.473427e-12,1.486778e-12,1.452446e-12,1.460075e-12,1.458168e-12,1.421928e-12,1.433372e-12,1.441002e-12,1.431465e-12,1.441002e-12,1.463890e-12,1.397133e-12,1.427650e-12,1.439095e-12,1.385689e-12,1.400948e-12,1.425743e-12,1.423836e-12,1.360893e-12,1.376152e-12,1.420021e-12,1.404762e-12,1.355171e-12,1.357079e-12,1.360893e-12,1.360893e-12,1.301765e-12,1.349449e-12,1.345634e-12,1.330376e-12,1.347542e-12,1.370430e-12,1.381874e-12,1.328468e-12,1.387596e-12,1.322746e-12,1.400948e-12,1.357079e-12,1.320839e-12,1.366615e-12,1.347542e-12,1.338005e-12,1.273155e-12,1.332283e-12,1.284599e-12,1.294136e-12,1.273155e-12,1.263618e-12,1.330376e-12,1.282692e-12,1.257896e-12,1.276970e-12,1.309395e-12,1.259804e-12,1.263618e-12,1.280785e-12,1.259804e-12
