#EXPORTTYPE:                 ,DATA ALL                                   
#FILE:                       ,2025_11_11_SL_PS_Tosoh_A1000_5K_min.ngb-ss5
#FORMAT:                     ,NETZSCH5                                   
#FTYPE:                      ,ASCII                                      
#IDENTITY:                   ,PS_A1000_5K_min                            
#DECIMAL:                    ,POINT                                      
#SEPARATOR:                  ,COMMA                                      
#MTYPE:                      ,DSC                                        
#INSTRUMENT:                 ,NETZSCH STA 449F5                          
#PROJECT:                    ,PS                                         
#DATE/TIME:                  ,11/11/2025 5:18:43 PM (UTC-5)              
#CORR. FILE:                 ,                                           
#TEMPCAL:                    ,05-05-2025 14:38                           
#SENSITIVITY:                ,28-06-2023 13:53                           
#LABORATORY:                 ,Tran/AAG                                   
#OPERATOR:                   ,Stan                                       
#REMARK:                     ,                                           
#SAMPLE:                     ,PS_A1000_5K_min                            
#SAMPLE MASS /mg:            ,5.11                                       
#MATERIAL:                   ,                                           
#REFERENCE:                  ,                                           
#REFERENCE MASS /mg:         ,0                                          
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                          
#SAMPLE CRUCIBLE MASS /mg:   ,0                                          
#REFERENCE CRUCIBLE MASS /mg:,0                                          
#DSC RANGE /‘V:              ,5000                                       
#TG RANGE /mg:               ,35000                                      
#TAU-R:                      ,---                                        
#CORR. CODE:                 ,000                                        
#EXO:                        ,-1                                         
#RANGE:                      ,20›C....800›C/0.0....20.0K/min             
#SEGMENT:                    ,S1-4/4                                     
#SEG. 1:                     ,20›C/5.0(K/min)/100›C                      
#SEG. 2:                     ,100›C/00:05/100›C                          
#SEG. 3:                     ,100›C/5.0(K/min)/600›C                     
#SEG. 4:                     ,600›C/20.0(K/min)/800›C                    

##Temp./›C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),TIC(scan:1)/A,Sensit./(uV/mW),Segment
 32.71600,  0.00000,      0.90484,    100.00000,50.00000,51.00000,            ,0.92403,1
 32.99900,  0.06667,      0.86521,     99.90685,50.00000,51.00000,3.696286e-09,0.92403,1
 33.28500,  0.13333,      0.82606,     99.82505,50.00000,51.00000,3.713017e-09,0.92408,1
 33.55800,  0.20000,      0.78757,     99.71213,50.00000,51.00000,3.713017e-09,0.92408,1
 33.81000,  0.26667,      0.75071,     99.64795,50.00000,50.00000,3.707723e-09,0.92413,1
 34.06500,  0.33333,      0.71804,     99.55714,50.00000,50.00000,3.707723e-09,0.92413,1
 34.30600,  0.40000,      0.68458,     99.48630,50.00000,50.00000,3.707723e-09,0.92413,1
 34.53100,  0.46667,      0.65386,     99.42427,50.00000,50.00000,3.720220e-09,0.92417,1
 34.75200,  0.53333,      0.62412,     99.36223,50.00000,49.00000,3.720220e-09,0.92417,1
 34.97700,  0.60000,      0.59647,     99.30254,50.00000,49.00000,3.715718e-09,0.92421,1
 35.17700,  0.66667,      0.56980,     99.24501,50.00000,49.00000,3.715718e-09,0.92421,1
 35.38300,  0.73333,      0.54459,     99.18748,50.00000,49.00000,3.715718e-09,0.92421,1
 35.57100,  0.80000,      0.52051,     99.16086,50.00000,49.00000,3.715421e-09,0.92425,1
 35.75100,  0.86667,      0.49837,     99.10098,50.00000,48.00000,3.715421e-09,0.92425,1
 35.93000,  0.93333,      0.47704,     99.03679,50.00000,48.00000,3.711287e-09,0.92429,1
 36.11100,  1.00000,      0.45539,     98.97476,50.00000,48.00000,3.711287e-09,0.92429,1
 36.28000,  1.06667,      0.43632,     98.88415,50.00000,48.00000,3.711287e-09,0.92429,1
 36.44300,  1.13333,      0.41871,     96.30489,50.00000,48.00000,3.714058e-09,0.92433,1
 36.59100,  1.20000,      0.40158,     92.65832,50.00000,48.00000,3.714058e-09,0.92433,1
 36.73900,  1.26667,      0.38333,     91.72192,50.00000,48.00000,3.715833e-09,0.92436,1
 36.88500,  1.33333,      0.36685,     91.25245,50.00000,48.00000,3.715833e-09,0.92436,1
 37.02400,  1.40000,      0.35134,     90.88943,50.00000,48.00000,3.715833e-09,0.92436,1
 37.12600,  1.46667,      0.33632,     90.65029,50.00000,48.00000,3.703294e-09,0.92439,1
 37.26600,  1.53333,      0.32017,     90.52642,50.00000,48.00000,3.703294e-09,0.92439,1
 37.38500,  1.60000,      0.30676,     90.44658,50.00000,48.00000,3.718865e-09,0.92443,1
 37.50000,  1.66667,      0.29497,     90.40685,50.00000,48.00000,3.718865e-09,0.92443,1
 37.61400,  1.73333,      0.28140,     90.32485,50.00000,48.00000,3.718865e-09,0.92443,1
 37.72100,  1.80000,      0.26897,     90.29824,50.00000,48.00000,3.710074e-09,0.92446,1
 37.81800,  1.86667,      0.25621,     90.27182,50.00000,48.00000,3.710074e-09,0.92446,1
 37.93100,  1.93333,      0.24426,     90.20528,50.00000,48.00000,3.713548e-09,0.92448,1
 38.02200,  2.00000,      0.23441,     90.12348,50.00000,48.00000,3.713548e-09,0.92448,1
 38.11100,  2.06667,      0.22359,     90.07691,50.00000,48.00000,3.715247e-09,0.92451,1
 38.19700,  2.13333,      0.21277,     90.07691,50.00000,48.00000,3.715247e-09,0.92451,1
 38.28600,  2.20000,      0.20179,     90.07691,50.00000,48.00000,3.715247e-09,0.92451,1
 38.37600,  2.26667,      0.19388,     90.01937,50.00000,48.00000,3.709139e-09,0.92454,1
 38.44300,  2.33333,      0.18274,     89.99276,50.00000,48.00000,3.709139e-09,0.92454,1
 38.52900,  2.40000,      0.17612,     89.99276,50.00000,48.00000,3.717529e-09,0.92456,1
 38.57800,  2.46667,      0.16546,     89.99276,50.00000,48.00000,3.717529e-09,0.92456,1
 38.67600,  2.53333,      0.15852,     89.99276,50.00000,48.00000,3.717529e-09,0.92456,1
 38.73400,  2.60000,      0.14948,     89.96184,50.00000,48.00000,3.720174e-09,0.92459,1
 38.78800,  2.66667,      0.14173,     89.89980,50.00000,48.00000,3.720174e-09,0.92459,1
 38.87000,  2.73333,      0.13479,     89.86654,50.00000,48.00000,3.709578e-09,0.92461,1
 38.92200,  2.80000,      0.12768,     89.81115,50.00000,48.00000,3.709578e-09,0.92461,1
 38.97200,  2.86667,      0.11929,     89.72035,50.00000,48.00000,3.709578e-09,0.92461,1
 39.02800,  2.93333,      0.11331,     89.67847,50.00000,48.00000,3.714417e-09,0.92463,1
 39.08300,  3.00000,      0.10653,     89.67847,50.00000,48.00000,3.714417e-09,0.92463,1
 39.12900,  3.06667, 9.910800e-02,     89.65186,50.00000,48.00000,3.715671e-09,0.92465,1
 39.16400,  3.13333, 9.313525e-02,     89.65186,50.00000,48.00000,3.715671e-09,0.92465,1
 39.22400,  3.20000, 8.748508e-02,     89.63855,50.00000,48.00000,3.715671e-09,0.92465,1
 39.26000,  3.26667, 8.054399e-02,     89.62524,50.00000,48.00000,3.713840e-09,0.92467,1
 39.30200,  3.33333, 7.457137e-02,     89.59863,50.00000,48.00000,3.713840e-09,0.92467,1
 39.35800,  3.40000, 6.988996e-02,     89.59863,50.00000,48.00000,3.717061e-09,0.92469,1
 39.38200,  3.46667, 6.456326e-02,     89.57202,50.00000,48.00000,3.717061e-09,0.92469,1
 39.42000,  3.53333, 5.891368e-02,     89.53894,50.00000,48.00000,3.717061e-09,0.92469,1
 39.44900,  3.60000, 5.374844e-02,     89.46360,50.00000,48.00000,3.713624e-09,0.92471,1
 39.48800,  3.66667, 4.809895e-02,     89.43483,50.00000,48.00000,3.713624e-09,0.92471,1
 39.53100,  3.73333, 4.454776e-02,     89.40822,50.00000,48.00000,3.718944e-09,0.92473,1
 39.55400,  3.80000, 3.938269e-02,     89.39491,50.00000,48.00000,3.718944e-09,0.92473,1
 39.57700,  3.86667, 3.534747e-02,     89.38180,50.00000,48.00000,3.718944e-09,0.92473,1
 39.61200,  3.93333, 3.211924e-02,     89.38180,50.00000,48.00000,3.714612e-09,0.92474,1
 39.64800,  4.00000, 2.985945e-02,     89.32857,50.00000,48.00000,3.714612e-09,0.92474,1
 39.68300,  4.06667, 2.646988e-02,     89.30196,50.00000,48.00000,3.721095e-09,0.92476,1
 39.69900,  4.13333, 2.501721e-02,     89.27554,50.00000,48.00000,3.721095e-09,0.92476,1
 39.75100,  4.20000, 2.356444e-02,     89.27554,50.00000,48.00000,3.721095e-09,0.92476,1
 39.76400,  4.26667, 2.259600e-02,     89.23562,50.00000,48.00000,3.719228e-09,0.92477,1
 39.82100,  4.33333, 2.146604e-02,     89.22231,50.00000,48.00000,3.719228e-09,0.92477,1
 39.86000,  4.40000, 2.259571e-02,     89.22231,50.00000,48.00000,3.716103e-09,0.92479,1
