#EXPORTTYPE:                 ,DATA ALL                                    
#FILE:                       ,2025_11_13_SL_PSSCF3_005f_J3_10K_min.ngb-ss5
#FORMAT:                     ,NETZSCH5                                    
#FTYPE:                      ,ASCII                                       
#IDENTITY:                   ,005F-J3                                     
#DECIMAL:                    ,POINT                                       
#SEPARATOR:                  ,COMMA                                       
#MTYPE:                      ,TIC                                         
#INSTRUMENT:                 ,NETZSCH STA 449F5                           
#PROJECT:                    ,PS                                          
#DATE/TIME:                  ,11/13/2025 2:11:34 PM (UTC-5)               
#CORR. FILE:                 ,                                            
#TEMPCAL:                    ,05-05-2025 14:38                            
#SENSITIVITY:                ,28-06-2023 13:53                            
#LABORATORY:                 ,Tran/AAG                                    
#OPERATOR:                   ,Stan                                        
#REMARK:                     ,                                            
#SAMPLE:                     ,005F-J3                                     
#SAMPLE MASS /mg:            ,4.0                                         
#MATERIAL:                   ,                                            
#REFERENCE:                  ,                                            
#REFERENCE MASS /mg:         ,0                                           
#TYPE OF CRUCIBLE:           ,Al2O3 85 ‘l, open                           
#SAMPLE CRUCIBLE MASS /mg:   ,0                                           
#REFERENCE CRUCIBLE MASS /mg:,0                                           
#DSC RANGE /‘V:              ,5000                                        
#TG RANGE /mg:               ,35000                                       
                             ,                                            

##Temp./›C,Time/min,QMID(s:1|m:15)/A,QMID(s:1|m:16)/A,QMID(s:1|m:17)/A,QMID(s:1|m:18)/A,QMID(s:1|m:19)/A,QMID(s:1|m:20)/A,QMID(s:1|m:21)/A,QMID(s:1|m:22)/A,QMID(s:1|m:23)/A,QMID(s:1|m:24)/A,QMID(s:1|m:25)/A,QMID(s:1|m:26)/A,QMID(s:1|m:27)/A,QMID(s:1|m:28)/A,QMID(s:1|m:29)/A,QMID(s:1|m:30)/A,QMID(s:1|m:31)/A,QMID(s:1|m:32)/A,QMID(s:1|m:33)/A,QMID(s:1|m:34)/A,QMID(s:1|m:35)/A,QMID(s:1|m:36)/A,QMID(s:1|m:37)/A,QMID(s:1|m:38)/A,QMID(s:1|m:39)/A,QMID(s:1|m:40)/A,QMID(s:1|m:41)/A,QMID(s:1|m:42)/A,QMID(s:1|m:43)/A,QMID(s:1|m:44)/A,QMID(s:1|m:45)/A,QMID(s:1|m:46)/A,QMID(s:1|m:47)/A,QMID(s:1|m:48)/A,QMID(s:1|m:49)/A,QMID(s:1|m:50)/A,QMID(s:1|m:51)/A,QMID(s:1|m:52)/A,QMID(s:1|m:53)/A,QMID(s:1|m:54)/A,QMID(s:1|m:55)/A,QMID(s:1|m:56)/A,QMID(s:1|m:57)/A,QMID(s:1|m:58)/A,QMID(s:1|m:59)/A,QMID(s:1|m:60)/A,QMID(s:1|m:61)/A,QMID(s:1|m:62)/A,QMID(s:1|m:63)/A,QMID(s:1|m:64)/A,QMID(s:1|m:65)/A,QMID(s:1|m:66)/A,QMID(s:1|m:67)/A,QMID(s:1|m:68)/A,QMID(s:1|m:69)/A,QMID(s:1|m:70)/A,QMID(s:1|m:71)/A,QMID(s:1|m:72)/A,QMID(s:1|m:73)/A,QMID(s:1|m:74)/A,QMID(s:1|m:75)/A,QMID(s:1|m:76)/A,QMID(s:1|m:77)/A,QMID(s:1|m:78)/A,QMID(s:1|m:79)/A,QMID(s:1|m:80)/A,QMID(s:1|m:81)/A,QMID(s:1|m:82)/A,QMID(s:1|m:83)/A,QMID(s:1|m:84)/A,QMID(s:1|m:85)/A,QMID(s:1|m:86)/A,QMID(s:1|m:87)/A,QMID(s:1|m:88)/A,QMID(s:1|m:89)/A,QMID(s:1|m:90)/A,QMID(s:1|m:91)/A,QMID(s:1|m:92)/A,QMID(s:1|m:93)/A,QMID(s:1|m:94)/A,QMID(s:1|m:95)/A,QMID(s:1|m:96)/A,QMID(s:1|m:97)/A,QMID(s:1|m:98)/A,QMID(s:1|m:99)/A,QMID(s:1|m:100)/A,QMID(s:1|m:101)/A,QMID(s:1|m:102)/A,QMID(s:1|m:103)/A,QMID(s:1|m:104)/A,QMID(s:1|m:105)/A,QMID(s:1|m:106)/A,QMID(s:1|m:107)/A,QMID(s:1|m:108)/A,QMID(s:1|m:109)/A,QMID(s:1|m:110)/A,QMID(s:1|m:111)/A,QMID(s:1|m:112)/A,QMID(s:1|m:113)/A,QMID(s:1|m:114)/A,QMID(s:1|m:115)/A,QMID(s:1|m:116)/A,QMID(s:1|m:117)/A,QMID(s:1|m:118)/A,QMID(s:1|m:119)/A,QMID(s:1|m:120)/A,QMID(s:1|m:121)/A,QMID(s:1|m:122)/A,QMID(s:1|m:123)/A,QMID(s:1|m:124)/A,QMID(s:1|m:125)/A,QMID(s:1|m:126)/A,QMID(s:1|m:127)/A,QMID(s:1|m:128)/A,QMID(s:1|m:129)/A,QMID(s:1|m:130)/A,QMID(s:1|m:131)/A,QMID(s:1|m:132)/A,QMID(s:1|m:133)/A,QMID(s:1|m:134)/A,QMID(s:1|m:135)/A,QMID(s:1|m:136)/A,QMID(s:1|m:137)/A,QMID(s:1|m:138)/A,QMID(s:1|m:139)/A,QMID(s:1|m:140)/A,QMID(s:1|m:141)/A,QMID(s:1|m:142)/A,QMID(s:1|m:143)/A,QMID(s:1|m:144)/A,QMID(s:1|m:145)/A,QMID(s:1|m:146)/A,QMID(s:1|m:147)/A,QMID(s:1|m:148)/A,QMID(s:1|m:149)/A,QMID(s:1|m:150)/A
 35.00400, 0.01333,6.425005e-11,8.413485e-10,3.232676e-11,1.098605e-10,5.476951e-12,9.505272e-12,5.196571e-12,5.599022e-12,6.077766e-12,6.379127e-12,7.424355e-12,1.000881e-11,2.881908e-11,7.179029e-10,2.656269e-11,3.513247e-11,5.942637e-11,1.342106e-09,7.599830e-12,6.957054e-12,2.329826e-12,2.390861e-12,2.314568e-12,2.650261e-12,3.993034e-12,5.038744e-11,2.268791e-12,4.111290e-12,2.173424e-12,1.282406e-11,2.013206e-12,1.908302e-12,1.839638e-12,2.036095e-12,1.746178e-12,1.749992e-12,1.765251e-12,1.738548e-12,1.723289e-12,1.749992e-12,1.658440e-12,1.667976e-12,1.702309e-12,1.748085e-12,1.658440e-12,1.626015e-12,1.685142e-12,1.620293e-12,1.641273e-12,1.641273e-12,1.627922e-12,1.582146e-12,1.631737e-12,1.614571e-12,1.589775e-12,1.585960e-12,1.580238e-12,1.618385e-12,1.576424e-12,1.555443e-12,1.585960e-12,1.597404e-12,1.563072e-12,1.528740e-12,1.538277e-12,1.543999e-12,1.542091e-12,1.530647e-12,1.540184e-12,1.517296e-12,1.496315e-12,1.473427e-12,1.519203e-12,1.559257e-12,1.521110e-12,1.528740e-12,1.543999e-12,1.519203e-12,1.530647e-12,1.563072e-12,1.503944e-12,1.441002e-12,1.507759e-12,1.505852e-12,1.502037e-12,1.441002e-12,1.460075e-12,1.509666e-12,1.461983e-12,1.505852e-12,1.441002e-12,1.416206e-12,1.423836e-12,1.423836e-12,1.471519e-12,1.429558e-12,1.416206e-12,1.425743e-12,1.423836e-12,1.460075e-12,1.397133e-12,1.385689e-12,1.378059e-12,1.444817e-12,1.400948e-12,1.414299e-12,1.383781e-12,1.351356e-12,1.414299e-12,1.385689e-12,1.393318e-12,1.387596e-12,1.332283e-12,1.406670e-12,1.366615e-12,1.364708e-12,1.349449e-12,1.376152e-12,1.368523e-12,1.324654e-12,1.338005e-12,1.360893e-12,1.381874e-12,1.368523e-12,1.347542e-12,1.343727e-12,1.309395e-12,1.366615e-12,1.362801e-12,1.334190e-12,1.297951e-12,1.339912e-12,1.301765e-12,1.362801e-12,1.296043e-12,1.286507e-12
 35.33900, 0.17609,6.467539e-11,8.469065e-10,3.210551e-11,1.103164e-10,5.520820e-12,9.686470e-12,5.202293e-12,5.597114e-12,6.073952e-12,6.430626e-12,7.422447e-12,1.019192e-11,2.905178e-11,7.203710e-10,2.657223e-11,3.486735e-11,6.030375e-11,1.348591e-09,7.607460e-12,7.088661e-12,2.327919e-12,2.402306e-12,2.348900e-12,2.705574e-12,3.987312e-12,5.045229e-11,2.268791e-12,4.153252e-12,2.116203e-12,1.280498e-11,2.047539e-12,1.791954e-12,1.784325e-12,2.093315e-12,1.805305e-12,1.776695e-12,1.807213e-12,1.748085e-12,1.742363e-12,1.727104e-12,1.681328e-12,1.675606e-12,1.694679e-12,1.736641e-12,1.688957e-12,1.664162e-12,1.633644e-12,1.641273e-12,1.681328e-12,1.612663e-12,1.648903e-12,1.593590e-12,1.618385e-12,1.669884e-12,1.591682e-12,1.610756e-12,1.627922e-12,1.582146e-12,1.574516e-12,1.578331e-12,1.574516e-12,1.517296e-12,1.536369e-12,1.568794e-12,1.595497e-12,1.627922e-12,1.538277e-12,1.519203e-12,1.566887e-12,1.599312e-12,1.521110e-12,1.503944e-12,1.498222e-12,1.561165e-12,1.534462e-12,1.490593e-12,1.507759e-12,1.479149e-12,1.456261e-12,1.467705e-12,1.502037e-12,1.502037e-12,1.517296e-12,1.524925e-12,1.523018e-12,1.456261e-12,1.418114e-12,1.431465e-12,1.469612e-12,1.494408e-12,1.473427e-12,1.471519e-12,1.454353e-12,1.471519e-12,1.444817e-12,1.429558e-12,1.408577e-12,1.421928e-12,1.420021e-12,1.442909e-12,1.408577e-12,1.406670e-12,1.433372e-12,1.400948e-12,1.389503e-12,1.427650e-12,1.368523e-12,1.439095e-12,1.404762e-12,1.400948e-12,1.391411e-12,1.383781e-12,1.427650e-12,1.393318e-12,1.364708e-12,1.383781e-12,1.362801e-12,1.418114e-12,1.378059e-12,1.372337e-12,1.347542e-12,1.338005e-12,1.307487e-12,1.364708e-12,1.345634e-12,1.320839e-12,1.378059e-12,1.372337e-12,1.345634e-12,1.328468e-12,1.296043e-12,1.305580e-12,1.372337e-12,1.355171e-12,1.324654e-12,1.317024e-12
 35.59100, 0.34652,6.392771e-11,8.464812e-10,3.243738e-11,1.094543e-10,5.496025e-12,9.615897e-12,5.217552e-12,5.616188e-12,6.047249e-12,6.388664e-12,7.407189e-12,1.001644e-11,2.896023e-11,7.195546e-10,2.650356e-11,3.495508e-11,6.083208e-11,1.347637e-09,7.567406e-12,6.939888e-12,2.337456e-12,2.469063e-12,2.318382e-12,2.665520e-12,3.956795e-12,5.072313e-11,2.272606e-12,4.149437e-12,2.148628e-12,1.260471e-11,2.038002e-12,1.864433e-12,1.847267e-12,2.131462e-12,1.805305e-12,1.751900e-12,1.797676e-12,1.757622e-12,1.704216e-12,1.700401e-12,1.694679e-12,1.730919e-12,1.671791e-12,1.690864e-12,1.679420e-12,1.664162e-12,1.626015e-12,1.629829e-12,1.656532e-12,1.660347e-12,1.667976e-12,1.627922e-12,1.578331e-12,1.660347e-12,1.551628e-12,1.574516e-12,1.622200e-12,1.637459e-12,1.549721e-12,1.606941e-12,1.563072e-12,1.555443e-12,1.593590e-12,1.563072e-12,1.549721e-12,1.519203e-12,1.534462e-12,1.559257e-12,1.570702e-12,1.528740e-12,1.553535e-12,1.551628e-12,1.498222e-12,1.551628e-12,1.477242e-12,1.536369e-12,1.498222e-12,1.519203e-12,1.523018e-12,1.530647e-12,1.511574e-12,1.524925e-12,1.530647e-12,1.490593e-12,1.494408e-12,1.465797e-12,1.454353e-12,1.530647e-12,1.536369e-12,1.441002e-12,1.454353e-12,1.439095e-12,1.423836e-12,1.475334e-12,1.450539e-12,1.397133e-12,1.444817e-12,1.435280e-12,1.420021e-12,1.460075e-12,1.404762e-12,1.372337e-12,1.400948e-12,1.408577e-12,1.461983e-12,1.420021e-12,1.421928e-12,1.368523e-12,1.395226e-12,1.368523e-12,1.421928e-12,1.391411e-12,1.381874e-12,1.379967e-12,1.343727e-12,1.410484e-12,1.385689e-12,1.358986e-12,1.355171e-12,1.364708e-12,1.379967e-12,1.357079e-12,1.370430e-12,1.320839e-12,1.328468e-12,1.358986e-12,1.320839e-12,1.324654e-12,1.324654e-12,1.311302e-12,1.385689e-12,1.278877e-12,1.324654e-12,1.334190e-12,1.273155e-12,1.301765e-12
 35.91600, 0.51222,6.476885e-11,8.491763e-10,3.235537e-11,1.094085e-10,5.545616e-12,9.631157e-12,5.228996e-12,5.505562e-12,6.094932e-12,6.329536e-12,7.401467e-12,9.961128e-12,2.914333e-11,7.225606e-10,2.670574e-11,3.516108e-11,5.946070e-11,1.345539e-09,7.563590e-12,7.025719e-12,2.312660e-12,2.400398e-12,2.348900e-12,2.654076e-12,3.941536e-12,5.068690e-11,2.293587e-12,4.124641e-12,2.144813e-12,1.258564e-11,2.036095e-12,1.898765e-12,1.809120e-12,2.055168e-12,1.790047e-12,1.757622e-12,1.746178e-12,1.734734e-12,1.780510e-12,1.801491e-12,1.694679e-12,1.641273e-12,1.652718e-12,1.709938e-12,1.685142e-12,1.675606e-12,1.631737e-12,1.616478e-12,1.620293e-12,1.626015e-12,1.662254e-12,1.648903e-12,1.547813e-12,1.631737e-12,1.618385e-12,1.574516e-12,1.610756e-12,1.587868e-12,1.612663e-12,1.570702e-12,1.576424e-12,1.584053e-12,1.589775e-12,1.547813e-12,1.532555e-12,1.564979e-12,1.526833e-12,1.549721e-12,1.494408e-12,1.530647e-12,1.521110e-12,1.557350e-12,1.536369e-12,1.507759e-12,1.555443e-12,1.505852e-12,1.502037e-12,1.505852e-12,1.481056e-12,1.540184e-12,1.471519e-12,1.505852e-12,1.475334e-12,1.486778e-12,1.490593e-12,1.433372e-12,1.444817e-12,1.444817e-12,1.490593e-12,1.437187e-12,1.473427e-12,1.431465e-12,1.433372e-12,1.423836e-12,1.484871e-12,1.414299e-12,1.429558e-12,1.406670e-12,1.460075e-12,1.446724e-12,1.450539e-12,1.402855e-12,1.400948e-12,1.452446e-12,1.448631e-12,1.414299e-12,1.385689e-12,1.408577e-12,1.404762e-12,1.385689e-12,1.423836e-12,1.391411e-12,1.379967e-12,1.383781e-12,1.353264e-12,1.339912e-12,1.339912e-12,1.383781e-12,1.370430e-12,1.332283e-12,1.379967e-12,1.332283e-12,1.311302e-12,1.347542e-12,1.336098e-12,1.318932e-12,1.315117e-12,1.347542e-12,1.328468e-12,1.341820e-12,1.315117e-12,1.326561e-12,1.303673e-12,1.301765e-12,1.292229e-12,1.353264e-12
 36.10600, 0.67641,6.486994e-11,8.498610e-10,3.223520e-11,1.099197e-10,5.526542e-12,9.648323e-12,5.183220e-12,5.553245e-12,6.152153e-12,6.411552e-12,7.384300e-12,1.001644e-11,2.914143e-11,7.227571e-10,2.657795e-11,3.517061e-11,6.020838e-11,1.352024e-09,7.580757e-12,7.092475e-12,2.341270e-12,2.457619e-12,2.333641e-12,2.579689e-12,3.972054e-12,5.069262e-11,2.305031e-12,4.158974e-12,2.118111e-12,1.248074e-11,2.038002e-12,1.864433e-12,1.809120e-12,2.076149e-12,1.730919e-12,1.765251e-12,1.748085e-12,1.788139e-12,1.763344e-12,1.660347e-12,1.732826e-12,1.709938e-12,1.685142e-12,1.687050e-12,1.626015e-12,1.626015e-12,1.704216e-12,1.660347e-12,1.627922e-12,1.675606e-12,1.637459e-12,1.608849e-12,1.614571e-12,1.597404e-12,1.622200e-12,1.576424e-12,1.648903e-12,1.597404e-12,1.568794e-12,1.576424e-12,1.603126e-12,1.576424e-12,1.591682e-12,1.545906e-12,1.528740e-12,1.566887e-12,1.530647e-12,1.532555e-12,1.524925e-12,1.526833e-12,1.570702e-12,1.545906e-12,1.551628e-12,1.503944e-12,1.511574e-12,1.503944e-12,1.446724e-12,1.460075e-12,1.502037e-12,1.484871e-12,1.473427e-12,1.488686e-12,1.488686e-12,1.494408e-12,1.461983e-12,1.477242e-12,1.502037e-12,1.435280e-12,1.458168e-12,1.420021e-12,1.471519e-12,1.442909e-12,1.461983e-12,1.420021e-12,1.439095e-12,1.416206e-12,1.395226e-12,1.437187e-12,1.444817e-12,1.465797e-12,1.414299e-12,1.376152e-12,1.412392e-12,1.420021e-12,1.437187e-12,1.383781e-12,1.408577e-12,1.387596e-12,1.404762e-12,1.399040e-12,1.345634e-12,1.376152e-12,1.420021e-12,1.357079e-12,1.324654e-12,1.391411e-12,1.353264e-12,1.353264e-12,1.399040e-12,1.339912e-12,1.355171e-12,1.303673e-12,1.332283e-12,1.364708e-12,1.292229e-12,1.374245e-12,1.330376e-12,1.364708e-12,1.313210e-12,1.278877e-12,1.318932e-12,1.317024e-12,1.336098e-12,1.317024e-12,1.286507e-12,1.299858e-12
 36.37600, 0.83972,6.480318e-11,8.489188e-10,3.221041e-11,1.097747e-10,5.536079e-12,9.646416e-12,5.194664e-12,5.604744e-12,6.136894e-12,6.382942e-12,7.430077e-12,1.005650e-11,2.892017e-11,7.213399e-10,2.673817e-11,3.515154e-11,6.041247e-11,1.347446e-09,7.542610e-12,7.016182e-12,2.375603e-12,2.385139e-12,2.301216e-12,2.572060e-12,3.983498e-12,5.057818e-11,2.291679e-12,4.162788e-12,2.095222e-12,1.229763e-11,2.018928e-12,1.856804e-12,1.761436e-12,2.049446e-12,1.812935e-12,1.770973e-12,1.742363e-12,1.742363e-12,1.746178e-12,1.729011e-12,1.717567e-12,1.706123e-12,1.685142e-12,1.704216e-12,1.694679e-12,1.650810e-12,1.620293e-12,1.645088e-12,1.637459e-12,1.650810e-12,1.629829e-12,1.656532e-12,1.582146e-12,1.603126e-12,1.608849e-12,1.585960e-12,1.574516e-12,1.547813e-12,1.587868e-12,1.584053e-12,1.570702e-12,1.627922e-12,1.513481e-12,1.543999e-12,1.572609e-12,1.601219e-12,1.582146e-12,1.542091e-12,1.511574e-12,1.551628e-12,1.540184e-12,1.545906e-12,1.507759e-12,1.484871e-12,1.477242e-12,1.519203e-12,1.526833e-12,1.519203e-12,1.484871e-12,1.494408e-12,1.513481e-12,1.503944e-12,1.517296e-12,1.498222e-12,1.442909e-12,1.442909e-12,1.456261e-12,1.481056e-12,1.500130e-12,1.420021e-12,1.444817e-12,1.431465e-12,1.439095e-12,1.467705e-12,1.465797e-12,1.418114e-12,1.397133e-12,1.433372e-12,1.423836e-12,1.423836e-12,1.429558e-12,1.433372e-12,1.408577e-12,1.406670e-12,1.414299e-12,1.379967e-12,1.368523e-12,1.374245e-12,1.379967e-12,1.374245e-12,1.343727e-12,1.420021e-12,1.370430e-12,1.389503e-12,1.402855e-12,1.366615e-12,1.345634e-12,1.338005e-12,1.338005e-12,1.355171e-12,1.372337e-12,1.259804e-12,1.307487e-12,1.332283e-12,1.364708e-12,1.347542e-12,1.317024e-12,1.326561e-12,1.330376e-12,1.292229e-12,1.307487e-12,1.288414e-12,1.358986e-12,1.324654e-12,1.345634e-12,1.303673e-12
 36.63300, 1.00895,6.521326e-11,8.472937e-10,3.237253e-11,1.104594e-10,5.497932e-12,9.661674e-12,5.223274e-12,5.633354e-12,6.070137e-12,6.430626e-12,7.479667e-12,9.989738e-12,2.895832e-11,7.193601e-10,2.662945e-11,3.513247e-11,5.971056e-11,1.343822e-09,7.548332e-12,7.056236e-12,2.348900e-12,2.379417e-12,2.337456e-12,2.640724e-12,3.941536e-12,5.093485e-11,2.243996e-12,4.172325e-12,2.091408e-12,1.226330e-11,1.969337e-12,1.862526e-12,1.807213e-12,2.118111e-12,1.767158e-12,1.749992e-12,1.723289e-12,1.723289e-12,1.755714e-12,1.725197e-12,1.778603e-12,1.738548e-12,1.721382e-12,1.683235e-12,1.681328e-12,1.616478e-12,1.605034e-12,1.652718e-12,1.620293e-12,1.584053e-12,1.606941e-12,1.601219e-12,1.595497e-12,1.605034e-12,1.582146e-12,1.566887e-12,1.624107e-12,1.584053e-12,1.584053e-12,1.599312e-12,1.538277e-12,1.595497e-12,1.572609e-12,1.543999e-12,1.557350e-12,1.551628e-12,1.578331e-12,1.566887e-12,1.557350e-12,1.566887e-12,1.551628e-12,1.540184e-12,1.540184e-12,1.494408e-12,1.532555e-12,1.471519e-12,1.479149e-12,1.479149e-12,1.498222e-12,1.482963e-12,1.435280e-12,1.477242e-12,1.479149e-12,1.517296e-12,1.467705e-12,1.446724e-12,1.423836e-12,1.439095e-12,1.498222e-12,1.442909e-12,1.452446e-12,1.458168e-12,1.448631e-12,1.414299e-12,1.425743e-12,1.404762e-12,1.416206e-12,1.458168e-12,1.406670e-12,1.414299e-12,1.410484e-12,1.454353e-12,1.395226e-12,1.418114e-12,1.402855e-12,1.381874e-12,1.427650e-12,1.408577e-12,1.387596e-12,1.345634e-12,1.412392e-12,1.397133e-12,1.368523e-12,1.368523e-12,1.374245e-12,1.353264e-12,1.368523e-12,1.370430e-12,1.378059e-12,1.360893e-12,1.339912e-12,1.379967e-12,1.338005e-12,1.360893e-12,1.284599e-12,1.311302e-12,1.374245e-12,1.313210e-12,1.307487e-12,1.278877e-12,1.278877e-12,1.372337e-12,1.334190e-12,1.381874e-12,1.284599e-12,1.330376e-12
 36.78500, 1.17161,6.490427e-11,8.488329e-10,3.211504e-11,1.097575e-10,5.600929e-12,9.762764e-12,5.156517e-12,5.557060e-12,6.041527e-12,6.379127e-12,7.351875e-12,1.004696e-11,2.890491e-11,7.241952e-10,2.664280e-11,3.532511e-11,5.947977e-11,1.349354e-09,7.529258e-12,6.993294e-12,2.301216e-12,2.448082e-12,2.367973e-12,2.709389e-12,3.943443e-12,5.062014e-11,2.242088e-12,4.105568e-12,2.129555e-12,1.219082e-11,2.041817e-12,1.864433e-12,1.801491e-12,2.108574e-12,1.738548e-12,1.784325e-12,1.753807e-12,1.761436e-12,1.711845e-12,1.723289e-12,1.721382e-12,1.734734e-12,1.723289e-12,1.658440e-12,1.650810e-12,1.652718e-12,1.679420e-12,1.650810e-12,1.561165e-12,1.585960e-12,1.658440e-12,1.620293e-12,1.614571e-12,1.540184e-12,1.582146e-12,1.626015e-12,1.629829e-12,1.612663e-12,1.561165e-12,1.582146e-12,1.545906e-12,1.528740e-12,1.578331e-12,1.563072e-12,1.524925e-12,1.589775e-12,1.545906e-12,1.507759e-12,1.511574e-12,1.551628e-12,1.463890e-12,1.465797e-12,1.502037e-12,1.486778e-12,1.557350e-12,1.500130e-12,1.479149e-12,1.519203e-12,1.490593e-12,1.482963e-12,1.463890e-12,1.481056e-12,1.433372e-12,1.460075e-12,1.475334e-12,1.475334e-12,1.509666e-12,1.473427e-12,1.458168e-12,1.439095e-12,1.404762e-12,1.431465e-12,1.444817e-12,1.433372e-12,1.450539e-12,1.404762e-12,1.488686e-12,1.399040e-12,1.425743e-12,1.458168e-12,1.397133e-12,1.450539e-12,1.439095e-12,1.402855e-12,1.360893e-12,1.416206e-12,1.442909e-12,1.404762e-12,1.410484e-12,1.410484e-12,1.400948e-12,1.370430e-12,1.378059e-12,1.360893e-12,1.395226e-12,1.345634e-12,1.313210e-12,1.364708e-12,1.372337e-12,1.345634e-12,1.338005e-12,1.379967e-12,1.324654e-12,1.368523e-12,1.347542e-12,1.307487e-12,1.374245e-12,1.294136e-12,1.339912e-12,1.309395e-12,1.366615e-12,1.311302e-12,1.303673e-12,1.303673e-12,1.328468e-12,1.301765e-12
 36.99000, 1.33947,6.507021e-11,8.503493e-10,3.222376e-11,1.095725e-10,5.568504e-12,9.583473e-12,5.242347e-12,5.620003e-12,6.001472e-12,6.422996e-12,7.382392e-12,1.003742e-11,2.926540e-11,7.204568e-10,2.673244e-11,3.537279e-11,6.035715e-11,1.344585e-09,7.605552e-12,7.086753e-12,2.335548e-12,2.379417e-12,2.339363e-12,2.663612e-12,3.899574e-12,5.106264e-11,2.320290e-12,4.094124e-12,2.106666e-12,1.209354e-11,1.996040e-12,1.854896e-12,1.780510e-12,2.089500e-12,1.845360e-12,1.759529e-12,1.732826e-12,1.717567e-12,1.738548e-12,1.748085e-12,1.732826e-12,1.730919e-12,1.685142e-12,1.709938e-12,1.669884e-12,1.666069e-12,1.709938e-12,1.639366e-12,1.603126e-12,1.627922e-12,1.650810e-12,1.601219e-12,1.593590e-12,1.645088e-12,1.614571e-12,1.570702e-12,1.545906e-12,1.584053e-12,1.578331e-12,1.589775e-12,1.543999e-12,1.574516e-12,1.606941e-12,1.509666e-12,1.576424e-12,1.521110e-12,1.555443e-12,1.519203e-12,1.530647e-12,1.605034e-12,1.515388e-12,1.513481e-12,1.488686e-12,1.536369e-12,1.503944e-12,1.543999e-12,1.452446e-12,1.494408e-12,1.557350e-12,1.482963e-12,1.486778e-12,1.444817e-12,1.498222e-12,1.446724e-12,1.475334e-12,1.477242e-12,1.479149e-12,1.442909e-12,1.452446e-12,1.439095e-12,1.479149e-12,1.450539e-12,1.465797e-12,1.458168e-12,1.435280e-12,1.412392e-12,1.437187e-12,1.381874e-12,1.421928e-12,1.414299e-12,1.385689e-12,1.395226e-12,1.442909e-12,1.418114e-12,1.418114e-12,1.423836e-12,1.387596e-12,1.357079e-12,1.360893e-12,1.423836e-12,1.364708e-12,1.341820e-12,1.330376e-12,1.372337e-12,1.376152e-12,1.374245e-12,1.376152e-12,1.351356e-12,1.364708e-12,1.332283e-12,1.330376e-12,1.368523e-12,1.276970e-12,1.341820e-12,1.362801e-12,1.322746e-12,1.339912e-12,1.320839e-12,1.324654e-12,1.353264e-12,1.286507e-12,1.339912e-12,1.286507e-12,1.250267e-12,1.309395e-12,1.267433e-12
 37.11000, 1.50877,6.484133e-11,8.495005e-10,3.214174e-11,1.094714e-10,5.578041e-12,9.644508e-12,5.211830e-12,5.640983e-12,6.140709e-12,6.321907e-12,7.489205e-12,1.006031e-11,2.904224e-11,7.210176e-10,2.645206e-11,3.529269e-11,6.005007e-11,1.347828e-09,7.534980e-12,6.995201e-12,2.322197e-12,2.444267e-12,2.345085e-12,2.642632e-12,3.920555e-12,5.110269e-11,2.295494e-12,4.151344e-12,2.129555e-12,1.213741e-11,1.954079e-12,1.826286e-12,1.828194e-12,2.066612e-12,1.790047e-12,1.736641e-12,1.757622e-12,1.759529e-12,1.709938e-12,1.753807e-12,1.614571e-12,1.662254e-12,1.629829e-12,1.645088e-12,1.627922e-12,1.683235e-12,1.662254e-12,1.626015e-12,1.648903e-12,1.635551e-12,1.679420e-12,1.605034e-12,1.561165e-12,1.593590e-12,1.624107e-12,1.584053e-12,1.605034e-12,1.545906e-12,1.589775e-12,1.515388e-12,1.542091e-12,1.564979e-12,1.576424e-12,1.570702e-12,1.551628e-12,1.580238e-12,1.557350e-12,1.540184e-12,1.524925e-12,1.584053e-12,1.526833e-12,1.540184e-12,1.490593e-12,1.511574e-12,1.467705e-12,1.530647e-12,1.513481e-12,1.498222e-12,1.507759e-12,1.484871e-12,1.494408e-12,1.439095e-12,1.471519e-12,1.492500e-12,1.448631e-12,1.456261e-12,1.494408e-12,1.467705e-12,1.427650e-12,1.416206e-12,1.418114e-12,1.387596e-12,1.439095e-12,1.452446e-12,1.461983e-12,1.414299e-12,1.452446e-12,1.418114e-12,1.450539e-12,1.395226e-12,1.368523e-12,1.370430e-12,1.389503e-12,1.366615e-12,1.341820e-12,1.414299e-12,1.383781e-12,1.368523e-12,1.378059e-12,1.358986e-12,1.353264e-12,1.420021e-12,1.383781e-12,1.393318e-12,1.370430e-12,1.288414e-12,1.366615e-12,1.385689e-12,1.358986e-12,1.397133e-12,1.372337e-12,1.347542e-12,1.305580e-12,1.374245e-12,1.332283e-12,1.317024e-12,1.282692e-12,1.324654e-12,1.334190e-12,1.320839e-12,1.288414e-12,1.294136e-12,1.324654e-12,1.278877e-12,1.297951e-12,1.267433e-12
